1300000005	Psalm
3203140066	A deu atail mi nanlang, wasa me se kin auiaui Kaun Iesus Kristus atail Saunkamaur pan pwarado sang ia.
3203150076	Me pan kotin kalinganada war atail pwel, pwen ras ong war a lingan ki manaman, me a pan kotin kaloe kidi meakan karos.
320401005d	ARI ri ai kompok kan, ai peren o ai lingan komail, katengetengdi ren Kaun o kompoke pa i kan!
3204020047	I panaui Ewodia o i panaui Sintike, pwe ira en minimin pena ren Kaun o.
320403009c	O i pil poeki re omui ai warok melel, sauasa ira, me iang ia er dodok ni rongamau, iangaki Klemens o ai warok tei kan, me arail mar akan mi nan puk en maur.
3204040047	Komail peren ki Kaun o ansau karos! I pil pan indada: Komail pereperen!
320405003d	Komail kadek ong aramas akan karos, Kaun o me kotin korendor.
3204060077	Komail der patauki meakot, a komail kasale ong Kot meakaros me komail inong iong ni omail kapakap o ngidingid ki danke.
3204070065	O popol en Kot, me lapa sang lolekong, pan apapwali mongiong omail o omail lamelam ren Kristus Iesus.
32040800b4	Pil eu ri ai kan, karos me melel, karos me kon ong, karos me pung, karos me min, karos me kaselel, karos me kalok mau, o ma pil eu tiak mau de men kaping, komail ap madamadaua due!
320409007a	Meakan, me komail padakkier o aleer, o rongadar, o kilanger re i, i me komail wia, a Kot en popol ap pan kotikot re omail.
32040a0099	A ngai me perenki Kaun o kaualap, pweki ni ansau wet omail apwali ia me tapwendar; ari so, komail apwali ia ansau karos, a ansau kis komail sota kak ong.
32040b005a	I sota inda mepukat pweki ai samamalar, pwe i kin insenemau ni ai samama o ni ai kapwapwa.
32040c008b	I asada duen tiak en samama o duen tiak en kapwapwa. Ngai koiokki meakaros o song karos, i kak metier o men mangadar, o muei met o tutupok.
32040d002c	I kak ong meakaros, pweki i, me katin ia da.
32040e0035	Ari so, me mau omail apwali ia la ni ai paiolar akan.
32040f008b	A komail men Pilipi pil asaer, me sota momodisou apapwali ia ni meakaros dueta komail sang ni tapin rongamau, ni ai ko wei sang Masetonien.
3204100044	Pwe komail kisakis dong ia pan riapak ni ai samamalar nan Tesalonik.
3204110057	Kaidin kisakis, me i kin rapaki, a i kin rapaki wa, pwen kalaudela noumail kisin likau.
32041200a3	Pwe me mi re i itar ong ia, op il laud sang. Muei met mi re i, ni ai aleer omail kisakis ren Epaprotitus. Meakan ras ong pomau eu o mairong mau eu, me kon ong Kot.
3204130053	A ai Kot pan kotin kaitar omail samama duen a kapwapwa ni lingan ren Kristus Iesus.
3204140032	A lingan en ko ong Kot o Sam atail kokolata! Amen.
3204150066	Ai ranamau ong saraui kan karos ren Kristus Iesus. Ri atail akan, me mi re i, kin ranamau wong komail.
3204160048	Saraui kan karos kin ranamau wong komail, pil toun im en Sisa mon karos.
320417003b	Mak en atail Kaun Iesus Kristus en mi ren ngen omail! Amen.
330000000a	Men Kolose
330101004b	PAULUS wanporon en Kristus Iesus amen pan kupur en Kot o ri atail Timoteus,
3301020072	Ong ri at saraui o lelapok ren Krisus akan, me mi Kolose; mak o popol sang ren Kot Sam atail o Kaun Iesus Kristus!
3301030053	Kit kin danke Kot o Sam en atail Kaun Iesus Kristus o kapakapa kin komail kaukaule.
3301040055	Kit lao rongadar duen omail poson Kristus Iesus, o omail limpok ong saraui kan karos,
330105006d	Pweki kaporopor eu, me nekineki ong komail nanlang, duen me komail rongadar mas o ni padak melel en rongamau,
330106008f	Me lel wong komail o pil sap akan karos, o a kin wada o kakairida dueta re omail sang ni ran o, me komail rongadar o dedekier melel mak en Kot;
3301070065	Duen omail padakki sang ren Epapras at warok kompok amen, me papa lelapok en Kristus ong komail amen,
3301080037	Me pil kaireki dong kit duen omail limpok pena ni Ngen.
33010900a8	I me se sota kin dukedi sang at kapakapa kin komail o poekipoeki sang ni ran en at rongadar, pwe komail en direki erpit en kupur a, o komail en lolekong o koiok ngenin,
33010a005d	O kekeid wei duen me kon ong Kaun o, o kapareda wan wiawia mau karos, o kakairida ki asa Kot,
33010b0050	O keleki kel karos duen manaman en a lingan pwen dadaurata o kanongama ki peren,
33010c005c	Danke Sam o, me kotin kamau kitail lar, en iang pwaisaneki soso en me saraui kan nan marain.
33010d0061	Me kotin kapiti sang kitail manaman en rotorot, ap kotin kasau kitail dong nan wein Na kompokepa,
33010e002d	Me kotin dore kitail la iei lapwan dip atail,
33010f003d	I me kasale pan Kot, me so sansal, me meseni en audepa karos.
33011000a3	Pwe karos wiauiki i, karos me mi nanlang o sappa, me sansal o me so sansal, ma me poe kan, de saumas akan, de wei kan, de manaman akan, meakaros wiauiki i o ong i.
3301110033	O i me kotikot mon meakaros o meakaros memaureki i.
3301120072	O i tapwin war a, iei momodisou, o i me tapi o meseni en me iasadar sang ren me melar akan, pwe i en mon meakaros.
3301130035	Pwe Kot kotin kileledier me mau kan karos en mi re a.
330114006d	I ari kalolamau penang pein i meakan karos, ma ni sappa de nanlang, ni a kotin wiada muei mau ki ntan a lopu.
3301150051	O komail, me doo wei sang o imwintiti mas o ni omail lamelame o wiawia sued akan,
330116007b	A kotin kalolamau komail lar ki war a uduk ni a matala, pwen kapware kin komail da saraui o pung o so kadeik pa omail mo a.
33011700b3	Ma komail dadaurata poson o tengeteng o so mokid wei sang ni kaporopor ki rongamau, me komail rongadar, o me lolok ong audepa karos me mi pan lang, me ngai Paulus wialar papa men.
330118007c	I ap perenki ai kalokolok ki komail o men kaimwisok kila uduk ai me luedi ni kamekam en Kristus, pweki war a, iei momodisou,
330119005c	Me i wialar papa men duen koa dodok en Kot, me i aleer pweki komail pwen usela masan en Kot.
33011a0062	Iei me rir kot, me rir sang nin tapin kaua o men kaua, a met a kadiarok ong sapwilim a saraui kan,
33011b007f	Me Kot men kasansaleda kapwapwa en lingan en rir wet ong men liki kan, iei Kristus me kotikot lol omail, i kaporopor en lingan.
33011c0094	I me kit kin padaki o panepanaui aramas karos, o padapadaki aramas karos ni lolekong karos, pwe kit en kapwareda aramas karos ni unsoki ong Kristus.
33011d0044	I me i pil dodok kelail, duen wiawia en i me kin dodok kelail lol i.
3302010076	A I men, komail en asa iran ai pei laud pweki komail, o men Laodisäa, o irail karos, me sota kilang mas ai ni uduk o.
330202007b	Pwe mongiong arail en kamaitala o irail en warok pena ni limpok o irail en kakairida ni ar dedeki melel duen me rir en Kot.
3302030029	Pwe pai en erpit o dedeki, me okiok re a.
330204004b	I me i inda mepukat, pwe aramas amen ede kotau ki komail lokaia widing kan.
3302050082	A ni pali uduk o ngai me doo, a ni pali ngen i ngai mi re omail, i perenki o kilang omail sondi mau, o omail poson kelail Kristus.
3302060048	A duen omail wuki ong Kristus Iesus Kaun o, iduen komail en weweideki i,
3302070067	O podidi ong i, o kakau kida i, o komail kelail ni poson, duen me komail padak kidar, o nantiong danke.
330208007a	Kalaka pwe amen ede sali kin komail padak mal o padok en kaua duen tiak en aramas akan en sappa, a kaidin tiak en Kristus.
330209003c	Pwe aude pan me udan Kot karos kotikot re a, nan pein war a.
33020a003f	O komail me unsok kilar i, me tapwin wei karos o manaman karos.
33020b007e	Me komail pil sirkomsaiseki ong sirkomsais eu, me so mangin pa, a duen pwilikidi war en uduk ni sirkomsais eu, me ren Kristus.
33020c0076	Ni atail iang i serkidi paptais, o me komail pil maur kida poson manaman en Kot, me kaiasada i sang ren me melar akan.
33020d008c	O ni ansaun omail mela ni dip o sosirkomsais en uduk omail, a kotin kamaur komail da iangaki i, ni a kotin maki ong kitail sapung kan karos.
33020e0097	O a kotin iros wei sang inting o, me kapokon ong kitail, me audekier kusoned akan, ap palian kitail, i me a kotin kawelar ni a pasuredi ong i nin lopu.
33020f0061	A lau kaloedier wei kan o manaman akan, ap kasansanle irail ada o wia kin ir kilel en kaperen eu.
3302100068	Sota amen en kadeik komail da pweki kisin manga, de pil nim, de ran a akai, de maram pul, de sapat akan.
3302110037	Pwe mepukat mot en me pan pwarado, a war o iei Kristus.
33021200c1	Sota me pan kataue sang komail kating pamail; pwe iei i me kin wiawia pein insen a ni a karakarak o pongi ong tounlang kan, me a sota kilanger o me aklapalap o perenki pein i ni tiak en uduk a.
3302130070	O a sota kin keleki tapwi, me war pon ale sang kisin manga ki kokon akan, iduen a pan kakairida ni kupur en Kot.
330214007a	A ma komail iang Kristus melar sang tiak en sappa, menda komail pil lodi ong tiak kan likamata komail memaureta nin sappa.
3302150036	Re kin inda: Koe der doke, koe der song, koe der sair!
3302160059	A mepukat karos pan okila kadokepa; ari kisin kusoned mal akan, me aramas akan ta wiadar.
330217007f	Me sansal en lolekong ni ar wiada pein ar kaudok o karakarak o ar kaloke pali war arail; a mepukat kin kapwaiada pali uduk eta.
330301006c	ARI, ma komail iang Kristus iasadar, en rapaki me pali poa kan, wasa Kristus kotikot ia ni pali maun en Kot.
3303020033	Inong iong me mi pali poa a kaidin me mi nin sappa.
3303030037	Pwe komail melar, o maur omail rirlong Kristus ren Kot.
3303040050	Kristus, iei maur atail, lao pwarado, kitail pan pil iang i pwarado ni lingan o.
3303050072	Komail ari kamela kokon omail, me mi sappa: Nenek, samin, tiak sued, inong sued, norok kapwa, pwe iei kaudok sued.
3303060039	Pweki mepukan ongiong en Kot kin lel ong seri sopeik kan.
3303070037	Me komail pil kekeideki mas o, ansaun omail akmemaurki.
3303080065	A metet komail pwilikidier meakaros: Makar, lingarangar, katantat, lalaue, kasoi kasaut nan au omail;
3303090056	Ender likam nan pung omail, pwe komail pwilikidier aramas maring iangaki a wiawia kan,
33030a0044	Ap aleer me kap, me wilikapadang lolekong duen mom en me kausedar i.
33030b00a3	Wasan sota men Krik, sota Sus, sota sirkomsais, pil sota sosirkomsais, sota men liki, sota Site, sota ladu o sota me maioda men, a Kristus eta me kotikot ni karos.
33030c0083	Pwil po omail duen en Kot a pilidar akan, me saraui o kompok, limpok en nan mongiong, o kadek, o karakarak, o opampap, o kanongama,
33030d006c	Apwali amen amen, o mak pena, ma amen kainsensuedi amen, duen Kristus kotin mak ong komail er, iduen komail.
33030e0029	O moneki limpok, me ora pena kamau pokon.
33030f0069	O popol en Kristus en kaunda nan mongiong omail, me komail pil paeker pena ni war ta ieu, o komail danke.
33031000c7	Komail nantiong dodokiki masan en Kristus nan pung omail ni lolekong karos; padapadaki o panapanaui komail pena, ki psalm, o kaul en kaping, o kaul ngenin, o kakaul ong Kot nan mongiong omail ki mak.
330311006d	O karos, me komail kin wia ni lokaia, o wiawia kan, en wiada ni mar en Kaun Iesus, o danke Kot o Sam pweki i.
3303120042	Komail li akan udi ong omail warok kan ni Kaun o, duen me kon ong.
330313003f	Komail ol akan, pok ong omail warok kan o der makar pa ’rail.
3303140051	Komail seri kan, peiki ong me wia komail da ni meakaros, pwe i me kon ong Kaun o.
330315004e	Komail sam akan, der kamakar mal noumail seri kan, pwe ren der sang komail la.
330316009b	Komail ladu kan, peiki ong omail saumas ni uduk ni meakaros kaidin ni dodok mon aramas, pwen konekon ren aramas, a ni impimpai en mongiong o, o lan Kaun o.
3303170056	O karos, me komail wiada en lolm ong wiada, dueta ong Kaun o a kaidin ong aramas akan.
3303180056	Ap asa, me komail pan ale kating en soso ren Kaun o, pwe komail kin papa Kaun Kristus.
330319005b	A me wia sapung, pan pein pukoki sapung me a wiadar pwe Kot sota kin lipilipil aramas amen.
3304010073	KOMAIL saumas akan, pwain ong omail ladu kan me pung o me mau, pwe komail asa, me pil omail Saumas kotikot nanlang.
3304020027	Podidi ong kapakap o masamasan o danke.
3304030085	O pil kapakapa kin kit, pwe Kot en kotin ritingidang kit wanim en masan eu, en kaweweda en Kristus a me rir kot, me ngai sali kidier,
330404001f	Pwe i en kaparoki duen me pung.
330405003a	Kekeid lelapok wei mon men liki kan, kadokedoke ansau mau.
3304060072	Omail kasoi en wiaui ni mak o doleki sol ansau karos, pwe komail en asada, duen me komail pung sapengki amen amen.
330407005c	Ri atail kompok Tikikus o papa lelapok o ladu en Kaun amen pan kaire kin komail ir ai karos.
330408004c	Pwe i me i kadar wong komail er, pwen asa ir omail, o kamait mongiong omail,
3304090072	Onesimus pil iang i, i ri atail lelapok kompok amen, me kis omail. Ira pan kaire kin komail karos, me wiauier met.
33040a00a5	Aristarkus, me iang ia salidi, kin ranamau wong komail, o Markus nain ri en Parnapas pwe komail ale er kusoned akan duen i; a lao pwara wong komail, komail kasamo i;
33040b0068	O Iesus, me ad a Iust, me kisan sirkomsais. Irail eta ai warok en dodok ni wein Kot; ira me kamait pa i.
33040c00bf	Epapras, me kis omail, o me ladun Kristus Iesus amen, kin ranamau wong komail, a ngidingide sauasa komail ni a kapakap akan kaukaule, pwe komail en dadaurata o unsokila o direki kupur en Kot.
33040d005a	Ngai me kadede i, me a porisok melel ni a apapwali komail o irail nan Laodisea o Irapolis.
33040e0039	En saunwini Lukas kompok o Demas ara ranamau wong komail.
33040f0045	Ranamau wong ri atail akan en Laodisea o Nimpas o momodisou nan im a.
330410009b	A kisin likau kis et lao wadawader re omail, komail kanaiong, pwen pil wadawad ren momodisou en Laodisea, o komail pil pan wadok, me i kadaralang Laodisea.
3304110062	Komail indai ong Arkipus: Kanekanai ong dodok, me koe aleer sang ren Kaun o, pwe koe en kapwaiada.
3304120059	Iet ngai Paulus intingki pa i ai ranamau. Tamatamanda ai salidi. Mak en mimieta re omail!
340000000f	Men Tesalonik I
340101007b	PAULUS, o Silwanus, o Timoteus ong momodisou en Tesalonik, me ren Kot Sam o Kaun Iesus Kristus. Mak o popol en mi re omail!
3401020051	Se kin poden danke Kot ki komail karos o tamataman kin komail ni at kapakap akan.
340103009f	O se kin tamatamanda omail wiawia kan ni poson, o omail dodok ni limpok, o omail kanongama ni kaporoporeki atail Kaun Iesus Kristus sansal ong Kot o Sam atail.
3401040047	Pwe ri ai kan o kompoke pan Kot akan, se asa duen omail lipilipil re a,
34010500ad	Pwe at rongamau lel ong komail er, kaidin nin lokaia ta, a pil ni manaman o Ngen saraui, o ni kamelelepa kaualap, pwe komail asa song en aramas da kit re omail pweki komail.
340106006b	A komail ale sanger kit o sang Kaun o, ni omail aleer masan o ni kamekam kaualap o ni peren en Ngen saraui.
340107003b	Komail wialar kilel en saulang karos mi Masetonien o Akaia.
340108009c	Pwe sang re omail masan en Kaun o kaparaparalar, kaidin nan Masetonien o Akaia eta, pwe pil wasa karos omail poson Kot lokila ia; ari, solar me se pan inda.
340109009b	Pwe pein irail kaire kin kit, duen at pwaralang komail me pwaida, o duen omail wuki ong Kot sang dikedik en ani kan, pwen papang Kot, me udan maur o melel.
34010a0095	O auiaui sapwilim a Ol sang nanlang, me a kotin kaiasada sang ren me melar akan, Iesus, me kotin dore kitail sang ni ongiong en Kot, me pan sansaldo.
340201004d	PWE pein komail asa, ri ai kan, duen at pwaralang komail kaidin me so kadepa.
340202008e	A murin at kamekam nan Pilipi o at kalokolok wasa o, duen me komail asa, kit aimaki atail Kot padaki ong komail rongamau en Kot ni apwal laud.
3402030043	Pwe at panapanaui komail sota wiaui ni kotaue, de samin, de widing.
3402040099	Pwe duen kit ale sang ren Kot en padaki rongamau, iduen at padak kin wiaui, kaidin pwen konekonlar ren aramas akan, a Kot me kotin kasauiada mongiong it.
3402050069	Sota eu ansau me se lingkapinga komail, duen me komail asa, de norok kapwa, Kot me saunkadede en mepukat.
3402060086	Se pil sota rapaki konekon ren aramas akan, ma re omail de ren akai. A se pan kak katoutoui komail, pwe kit wanporon en Kristiis akan.
340207005a	Ari so, kit kin materok nan pung omail dueta li en kamait amen, me kin apwali na seri kan.
340208008e	Iduen at ngong kin komail melel, se mauki katungole kin komail rongamau en Kot, a kaidin i eta, a pein maur at, pwe komail wialar kompoke pat.
34020900a3	Ri ai kan, komail kin tamanda duen at dodok o at apwal akan. Pwe se dodok ni ran o ni pong, pwen der katoutoui amen komail, o se padaki ong komail rongamau en Kot.
34020a0054	Komail o Kot at saunkadede duen at makelekel, o pung, o inen re omail me poson akan.
34020b0065	O duen komail asa, me kit panaui o kamekamait amen amen re omail dueta papa men wiai ong na seri kan.
34020c0084	O se padaki ong komail er, me komail en alu inen wei ta, duen me kon ong Kot, me kotin molipe komail ong pein a wei o pein a lingan.
34020d00b9	I me se kin poden danke Kot, pwe ni omail aleer masan en Kot, komail aleer kaidin dueta padak en aramas akan, pwe dueta masan en Kot melel, me pil kin dodok nan lol omail me poson akan.
34020e00a2	Pwe ri ai kan, komail ale sanger momodisou en Kot akan nan Iudäa ren Kristus Iesus; pwe komail kamekame ren toun omail wei, dueta irail me kamekame ren Sus akan.
34020f0077	Me pil kamatalar Kaun Iesus, o saukop akan, me re kaloke, o re sota konekon ren Kot, o re kin palian aramas akan karos.
340210008e	O re kainapwi sang kit, ender padak ong men liki kan, pwe ren der maurela, pwe re kin kadirela dip arail ansau karos, a ongiong mi po ’rail.
3402110090	A kit ri ai kan ni at doo wei sang komail ansau kis ni pali war at, a kaidin ni mongiong it, se ap nantiong o inong iong melel kilang mas omail.
3402120056	I me se men pwar wong komail, ngai Paulus pan mepak o pan riapak, a Satan karompa kit.
3402130066	Pwe is me kapore pat, de kaperen pat, de kapinga pat? Kaidin komail mon Kaun patail Iesus ni a kotido?
3402140025	Pwe komail kalinga pat o kaperen pat.
340301003d	I ME se solar kak nenen la, pwe se maukida kelepala nan Aten,
3403020083	Ap kadar wong komail Timoteus ri atail o papan Kot ni rongamau en Kristus, pwen katenge komail o kamait komail la iran omail poson.
340303005b	Pwe sota amen en luet kila kamekam wet, pwe pein komail asa, mepukat kileledier ong kitail.
340304005d	Pwe ni at mimi re omail, se kokopki dong komail kamekam; duen a pwaidar o duen me komail asa.
3403050092	I me i solar kak nenenla, a i ilakila, pwe i en asa, duen omail poson, ma men kasongesong so kasongesong komail, o ma at dodok sota pan dodok mal.
34030600d9	A metet ni en Timoteus pwara dong kin sang re omail, o padaki ong kit rong mau duen omail poson o limpok, o duen omail tamataman kit ansau karos, o duen komail men kilang kit, i dueta kit kin inong iong kilang komail.
3403070050	Ri ai kan, kit ap kamait kilar komail ni at kamekam o apwal akan ki omail poson.
340308003e	Pwe ansau wet kit maureda, ma komail poden tengedi ong Kaun o.
3403090067	Pwe ia danke me sen dankeki Kot pweki komail, me pan ras ong peren, me se peren kida mon Kot ki komail?
34030a006e	Se kin poden kapakapa kin komail ni pong ni ran o ngidingidiki, sen kilang mas omail o kaunsokala omail poson.
34030b004e	Ari, pein Kot, o Sam atail, o atail Kaun Iesus en kotin kalua kit wong komail.
34030c0073	A Kaun o en kotin kangedere komail la o kalaudela omail limpok nan pung omail o ong amen amen dueta kit ong komail.
34030d00a4	O kotin katengeteng mongiong omail pwen mau melel, ni saraui mon Kot o Sam atail ong ni ran en atail Kaun Iesus, me pan kotido o sapwilim a saraui kan karos iang i.
34040100af	ARI, ri ai kan, se pil poeki re omail o panaui kin komail Kaun Iesus, duen me komail aleer sang kit, o duen me komail en kekeideki wei, o kaperenda Kot, iduen omail kakairida.
3404020047	Pwe komail asa duen kusoned akan, me se pang ong komail ren Kaun Iesus.
3404030044	Pwe iet kupur en Kot, omail sarauila, pwe komail en liki sang nenek.
340404004c	Amen amen en kanai ong pein war a, pwen saraui o wau o liki sang inong sued,
3404050041	Kaidin ni dender ong inong sued duen men liki kan, me so asa Kot;
3404060082	O sota me pan piti de kasapungi ong ri a ni meakot, pwe Kaun o pan kotin iki ong i, duen me kit inda o kadede ong komail er mas o.
3404070035	Pwe Kot sota molipei kitail ong samin, a pwen saraui.
3404080083	A ma amen komail pan mamaleki mepukat, kaidin aramas me a pan mamaleki pwe Kot, me pil kotiki ong komail er sapwilim a Ngen saraui.
3404090078	A duen limpok en saulang, menda i en intingki wong komail, pwe pein komail padakki sang ren Kot, me komail en poke pena.
34040a007a	Nan met komail kin wiai ong saulang karos, me mimi Masetonien pon. A se panaui kin komail ri at akan, komail en kakairida.
34040b006f	O komail nenenla o inong iong apwali pein omail dodok, kadokeki pein pa omail, duen me se padaki ong komail er,
34040c0058	Pwe komail en sansal mau mon me mi liki kan, o komail der mau ong amen en apwali komail.
34040d0079	Ri ai kan, se sota men oki sang komail duen me mairelar akan, pwe komail der insensued dueta irail, me sota ar kaporopor.
34040e0073	Pwe ma kitail kamelele, me Iesus matala ap iasadar, nan iduen me mairelar ren Iesus, Kot pil pan kalua ir ala re a.
34040f0084	Pwe ieteten me se indang komail ni masan en Kaun o, kit me memaureta lao Kaun o pan kotin pwarado, sota pan ko wei mon me mair akan.
3404100099	Pwe pein Kaun o pan kotido sang nanlang ki masan laud, o kapiti en toulang lapalap amen, o koronete en Kot; me melar akan ren Kristus ap pan maureda mas.
3404110087	Kit me memaureta luadi ap pan iang ir peukadala nan dapok kan, ko ong ren Kaun o nan wäwä, kitail ap pan mimieta ren Kaun o kokolata.
340412002c	Komail ari kamaiteki komail la padak pot et.
340501003e	A DUEN ansau o auer, ri ai kan, menda i en inting wong komail.
3405020051	Pwe pein komail asa mau, me ran en Kaun o pan pwarado dueta lipirap amen ni pong.
3405030088	Pwe irail lao pan inda: A muei mau, o sota apwal kot mia, i ansau kaupa pan lel ong irail dueta li lisean amen; a irail sota pan pitila.
3405040056	A komail ri ai kan, solar mi ni rotorot, pwe ran o de konodi komail duen lipirap amen.
340505004b	Komail karos seri en marain, o seri en ran. Kitail so kisan pong o rotorot.
340506004b	Kitail ari ender mamair dueta me tei kan, a kitail en masamasan o daulikin.
3405070043	Pwe me mair, kin mamair ni pong, o me sokolar, kin sokolar ni pong.
3405080076	A kitail, me kisan ran, en liki sang, til wong nan pere pan marmar en poson o limpok, o lisoropeki kaporopor pan maur.
340509006b	Pwe kaidin ongiong, me Kot kotin kileledi ong kitail, a sen konodi maur soutuk ki atail Kaun Iesus Kristus,
34050a0048	Me mata kin kitail er, pwe ma kitail papat de mamair, en maur pena re a.
34050b0044	Komail ari panau o sauas pena nan pung omail duen me komail kin wia.
34050c0086	A se poeki re omail, ri ai kan, komail, en apwali me kin dodok nan pung omail, o me kaun komail da pan Kaun o, o me kin panaui komail.
34050d004b	Komail kaka kin ir kaualap ni limpok, pweki ar wiawia; o komail popol pena.
34050e0093	Se panaui kin komail, ri ai kan, komail en kapung ong me katiwo kan, o kamait, me ar poson tikitik, o apapwali me luet akan, o kanongama ong karos.
34050f007d	Komail masamasan, pwe amen ender depukki ong amen me sued me sued, a en inong iong me mau eta nan pung omail o ong amen amen.
340510001d	Komail pereperen ansau karos.
3405110011	Kapakapta soutuk.
340512004e	Komail danke ni meakaros, pwe iduen kupur en Kot ren Kristus Iesus ong komail.
3405130011	Der kakundi Ngen.
340514001c	Der mamaleki deideikop akan.
340515002c	Kasosong ong meakan karos, ap koledi me mau.
340516001d	Liki sang song en sued karos.
3405170091	A Kot en popol en kasaraui komail la kaualap, ngen omail, o mongiong omail, o war omail en nekinek mau ong en atail Kaun Iesus Kristus a pwarado.
3405180035	Melel i, me kotin molipe komail er, me pan pil wiada.
340519001b	Ri ai kan kapakapa kin kit.
34051a0028	Ranamauki ri at akan karos metik saraui.
34051b0056	I kauki ong Kaun, me komail pan wadok kisin likau kis et ong saulang saraui kan karos.
34051c002f	Mak en atail Kaun Iesus Kristus en mi re omail!
3500000010	Men Tesalonik II
350101006a	PAULUS o Silwanus, o Timoteus ong momodisou en Tesalonik me ren Kot Sam atail, o atail Kaun Iesus Kristus.
350102004d	Mak o popol sang ren Kot Sam atail o atail Kaun Iesus Kristus en mi re omail!
350103007d	Mak eta sen poden danke Kot pweki komail, ri ai kan, pwe omail poson kin laudela kaualap, o omail limpok pena pwaida kaualap.
3501040081	I me kit suai kin komail ong momodisou en Kot akan pweki omail kanongama o poson ni omail kalokolok o kamekam, me lel ong komail.
350105005c	Iei me kasansal pan kadeik pung en Kot, komail ap pan kon ong wein Kot, me komail kamekamki.
3501060045	Pwe me pung ta ong Kot en depukki ong irail me moromorouo ong komail.
350107007d	A komail, me kalokolok, pan iang kit meleileila, ni kasale pan Kaun Iesus sang nanlang iang sapwilim a tounlang manaman akan,
3501080088	Sansaldo ni kisiniai umpumpul, kapukapung ong irail me poponsasa Kot, o ong irail, me so peiki ong rongamau en atail Kaun Iesus Kristus.
3501090059	O me pan lokidokilang kamekam soutuk sang mon silang en Kaun o sang mon a manaman lingan.
35010a0084	Ni a pan kotido o lingan kila sapwilim a saraui kan, ni ran o, o usun kin ir karos, me posonlar i, pwe komail kamelele atail kadede.
35010b00a1	I me se kin pil poden kapakapa kin komail, pwe Kot en kotin kakonekon komail ong paeker o a kotin kaerela omail kapunglol o kapwaiada wiawia en poson ki manaman.
35010c0089	Pwe mar en atail Kaun Iesus Kristus en kalinganada re omail, o komail en konekonla re a duen mak en atail Kot o atail Kaun Iesus Kristus.
350201006e	SE men poeki re omail ri at akan iran atail Kaun Iesus Kristus a pan kotin pwarado, o atail pan peukedalang i,
350202008a	Komail der wukiwuk sili o der wapon kida ngen eu, de kasoi pot, de kisin likau, me dene kit kadar wong komail, me dene ran en Kaun o mier.
350203008d	Sota amen en kotau komail la ni meakot. Pwe ran o sota pan pwarado, lao wiawia en mas more wei sang, o aramas en dip sansal la, nain me sued.
3502040096	Me pan palian meakaros o kasapwilada pein i, en ileila sang karos, me udan Kot de men kaudok kan, A pan mondi nan tanpas en Kot o mome ong pein i Kot.
3502050045	Komail sota tamanda ni ai mimi re omail, i katiti ong komail mepukat?
3502060045	Ari met komail asaer, me meakot mia, me kin kapwandela a pan pwarado.
3502070066	A rir en sapung kan ap mur pwaida met. Ari so, a mimieta me kin kapwandela, lao a pan poioki wei sang;
3502080080	I ansau me likin kapung o pan sansaleda, me Kaun Iesus pan kotin kame kila ang en silang i, o kawe kila lingan en a pan pwarado.
3502090058	I me pan pwara kido mana en Satan, iangaki manaman o kilel akai o kapuriam ni likam kai.
35020a006c	O iangaki widing en sapung karos ong irail, me pan lokidokila, pwe re kang limpok ong melel, pwe ren dorela.
35020b005c	I me Kot kotin mueid ong irail ni manaman sued eu men kaping ir ada, pwe ren kamelele likam.
35020c004b	Pwe karos pan pakadeikada me so kamelele masan melel, a me mauki me sapung.
35020d00b4	A mak eta, sen danke Kot ansau karos pweki komail, ri ai kompok kan, o pwe sang nin tapi o Kot me kotin pila kidar komail ong maur potopot ni saraui la pan Ngen o ni poson melel o.
35020e0078	Pwe ong mepukat a kotin molipei komail er pan at rongamau, pwe komail en pwais aneki lingan en atail Kaun Iesus Kristus.
35020f0064	Ari ri at akan, tengedi ong o apwali padak, me komail padakkier, ma sang ni kasoi de at kisin likau.
350210007c	A pein atail Kaun Iesus Kristus o Kot o Sam atail, me pok ong kitail o kupura dong kitail kamait soutuk o kapor mau pan mak,
3502110050	I en kamaitala mongiong omail, o katingi komail ong ni wiawia mau karos o padak.
350301006a	ARI ri at akan, komail kapakapa kin kit, pwe masan en Kaun o en pwaida o linganla duen a wiauier re omail.
350302005a	O pwe kit en sapedokala sang aramas solelapok kan; pwe poson kaidin pwais en aramas karos.
3503030041	A Kaun o me melel, me pan katenge komail o nikid sang ni me sued.
3503040063	Se kaporoporeki Kaun o re omail, me komail kin dadaurata o pan wiada, me se kakaliki ong komail er.
3503050063	A Kaun o en kotin wiawia mongiong omail, pwe komail en direki limpok en Kot o kanongama en Kristus.
350306009e	Ri ai kan, se kakaliki ong komail ni mar en atail Kaun Iesus Kristus, me komail en muei sang saulang karos, me kin dadaurata padak, me komail ronger sang kit.
350307004c	Pwe komail asa duen idedauen kit, pwe kit sota wiadar sapung nan pung omail.
3503080080	O se sota ale sang amen kan at manga, ap sota pwaipwai, pwe se dodok apwal ni pong o ni ran, pwe sen der katoutouki amen komail.
3503090059	A kaidin pwe a sota muei ong kit, a pwe sen wia kin kit kilel en me komail en alale sang.
35030a0067	Pwe ni at mimi re omail, iet me se kakaliki ong komail, meamen me kang wia dodok, a pil sota pan manga.
35030b006e	Pwe se ronger, me akai mi re omail, me kin weweid ni mesued ni ar solar kin dodok, a re apwali kisin tiak mal.
