2800000007	MATHIƠ
2f070a0128	LeLv 26:12; XuXh 29:45; Exe Ed 37:27; Gie Gr 31:1Majah qmang aih kan mangò tiaq manoh Boc Plình broq ka bèn loq raxach, kan raxach aràng bèn trùh kan dèch claih mahua yiang, trong aih ùh broq ka bèn ep rawòe, yàng kan mangò tiaq da crŏng taneh kô qnung bèn trùh ajang kan cachìt.
2f070b0105	Ngan beq, kan mangò tiaq manoh Boc Plình khoe broq ka oh daq jah kan alàng dàng leq, kan enh broq hreo ka rađeh, mangò noèh, loq yùq crè kan loq nhet, loq haqnan. Oh daq khoe am mangai hnoq đeh hra dìq dŏng ta ƀài yiniq aih oh daq joq hreo hliang.
2f070c00f1	Qmang aih tàng joq au khoe achìh jàiq ka oh daq, aih ùh xài achìh ka mangai ma broq ùh troq, hadai ùh xài ka mangai khoe pòq đeh kan haƀo, mahaq dôq ka manoh da oh daq ma loq waq ka nhèn jah bàc ngai hnoq enh ngèa Boc Plình,
2f070d00bc	ƀài yiniq aih khoe alòng dìq ka nhèn. Nhèn bùi yeo loe ka aih hòm jò nhèn jah hnoq kan lem bùi da Tit, majah qmang aih dìq ka pì khoe broq ka mahua yiang haq jah blình hlài.
2f070e00d2	Au khoe catèh ka Tit loq trùh pì oh daq, ùh i cleq au ma ep xep, EsIs 52:11majah qmang aih bàu nhèn ma anoe aih dìq joq qnàng, dài haq bàu nhèn ma capoch manè oh daq ka Tit aih dìq bàu joq qnàng.
2f070f009f	Jò haq hmàng trùh kan loq iu da oh daq, oh daq khoe đìh haq dìq ka manoh, rai loq iu loq yùq, aih èh manoh loq waq haq am ka oh daq kiang rai bàc tam.
2f07100050	Au dìq jaq lem bùi, majah qmang aih rìm trong au dìq khoe khòh lùi oh daq.
2f08010075	Manòeq kô, nhèn enh anoe ka oh daq loq xôq ramot Boc Plình khoe am ka bàc Tagop Hadròeh oe tagùng Maxêđoan:
2f080200b1	Wop jò bàc kan ranàc kàn trùh đòeq hu qnhro wì haq, aih manoh cliac da wì haq dua lem bùi pi cajaq, yac ka wì haq pa hamoq mahaq manoh cliac da wì haq dua loq hamah.
2f08030090	Kô au anoe ka oh daq loq: Cla wì aih khoe creo adràc dabau wiang tagop ƀac jèn tiaq deh padren hlàt pang leq, qnah ngai loe deh ka padren,
2f08040075	khoe aih cali calo àu bòch nhèn am wì haq jah wiang đeh moeq qnah đòeq tabàih ka mangai da Chuaq qnang nanxa.
2f08050090	Wì haq broq yeo loe ka manoh nhèn ma ngèh, adroe aih cla wì haq khoe dèch rađeh ka Chuaq, khoe aih ka nhèn, tiaq manoh Boc Plình ma enh.
2f08060082	Aih ìq dài nhèn majah hi thê Tit aràng ka wì oh daq, đòeq hu pagêh trong lem kô, qmang ka haq khoe patep broq enh adroe.
2f080700e2	Manòeq kô, bàc trong oh daq khoe jah yeo loe: aih trong manoh lùi, bàu tapoch, trong loq iu, trong loq nhet, kan loq waq ka nhèn, aih èh pì hadai khòh ngan khòh nhet ka broq ma yeo loe trong yiniq broq lem qmang kô.
2f0808008c	Anoe aih ùh xài au toq ti thê pì, mahaq wì qnoeq khoe broq dua lem, aih au hadai enh qnhro ngan kan loq waq da oh daq haq joq pang leq.
2f080900c3	Majah qmang aih, oh daq loq kan tabàih dech enh Chuaq Jesus Christ bèn, haq aih padrŏng, mahaq taiq oh daq haq majah broq ka rađeh loh ka pa, đoèq canòm kan pa da haq, oh daq jah padrŏng.
2f080a00c8	Au achoh bàu ka oh daq qmang aih, trong aih jah ka pì raq, majah qmang aih bàc hanam adroe, oh daq raq mangai ma qnong ngoe, ùh xài toq broq yiniq lem qmang kô mahaq pì broq qmòe rai lem bùi.
2f080b009d	Qmang aih manòeq kô, oh daq broq dôq haq gêh trong aih beq, qmang ka oh daq khoe padon hanìuq deh ta manoh qmang leq, hi broq tiaq dèh padren pang aih.
2f080c00a0	Majah qmang aih, tàng joq bèn yŏc manoh lem đòeq hnhu am, dahwèq aih men jah dì, haq jah dì tiaq dahwèq bèn i, ùh xài dì tiaq dahwèq wì ma ùh i.
2f080d0072	Au ùh thê oh daq chìuq pangot hrah đòeq i dahwèq hu tabàih am ka mangai qnoeq, mahaq au enh i kan taq atoq.
2f080e00b9	Qmang ka manòeq kô, oh daq i rah aih tah am ka mangai ma capòch đeh, đòeq jò wì haq loq i rah èh hadai tah hlài ka oh daq jò oh daq ma capòch diq, qmang aih hi jah taq atoq,
2f080f0082	tiaq qmang ka bàu khoe achìh: “Mangai jah ma bàc, aih hadai ùh i ka rah, mangai jah đeh biaq, aih hadai ùh hìaq hamoq.”
2f08100060	Manè apôi Boc Plình khoe broq Tit dìq manoh ka pì oh daq, tìah ka au dìq manoh ka oh daq;
2f08110075	majah qmang aih, haq khoe broq tiaq bàu au hnài, haq hadai i manoh loq nhet, dài haq ma lam hmàih đeh ka oh daq.
2f081200a2	Nhèn i thê tam mòeq ngai oh daq wiang lam ti haq, bàc Tagop Hadròeh i bàu manè mangai aih, majah qmang aih mangai aih khoe broq bàc yiniq lem ka Bàu lem.
2f081300eb	Qnah hòm Tagop Hadròeh khoe dì haq aih, broq bua lam ti nhèn đòeq hu wiang wê ƀài dahwèq tabàih kô, nhèn broq waq ka gêh đòeq hu patô qnoh kan qngah qngai da Chuaq, khoe aih đòeq hu patô qnoh manoh lem da cla nhèn.
2f08140068	Dôq ajang aih nhèn hujah claih ka bàu qmèq jò nhèn wê bac jèn oh daq wiang tagop bàc qmang kô;
2f08150072	majah qmang aih, ùh xài nhèn chaq trong đòeq lem toq enh ngèa Chuaq mahaq chaq lem xam enh ngèa kon mangai.
2f0816012c	Nhèn i yŏc mòeq ngai oh daq oe taqne cla nhèn hu lam tam ti wì aih, haq aih hadai i manoh loq nhet haraya, bàc yàng bàc trong nhèn khoe qnhro ngan, hnoq haq aih broq cleq dua dìq dèh manoh, yàng kô haq hadai yeo nhet ka enh lam ta oh daq majah qmang aih joq haq lùi dèh pì joq qnàng.
2f081700b1	Qmang aih, anoe trùh Tit, aih bua au, mangai abroq pajùm ti au taqne pì, anoe trùh wa baiq ngai tau, wa aih mangai wê bàu da Tagop Hadròeh, aih raq kan ranhòm da Christ.
2f081800af	Qmang aih, enh ngèa ƀài wì kô oh daq drah paqnoh deh manoh loq waq beq, patô qnoh hloe ƀài nen nhèn ma khoe hùa catèh dèh pì oh daq enh ngèa bàc Tagop Hadròeh.
2f0901005a	Qnah hòm, bìac ti tabàih am ka mangai da Chuaq, aih au pi ep achìh cleq tam ka oh daq.
2f09020108	Majah qmang aih au loq oh daq khoe padon qmòe deh ta manoh, au khoe catèh dèh pì oh daq enh ngèa mangai Maxêđoan, au doe: Mangai Achai khoe padon đòeq dahwèq hu tabàih enh hanam adroe raq, manoh loq nhet da oh daq khoe jah parông manoh cliac bàc ngai.
2f0903009f	Mahaq au khoe thê ƀài oh daq tau trùh ti pì, đòeq ùh hìa qngwan ka bàu au ma manè oh daq, waq ka pì chônh padon đòeq qmang ka bàu au khoe anoe.
2f090400e2	Au hòq èh mangai Maxêđoan trùh ti au yàng aih hnoq oh daq qnhòq i padon qmòe dahwèq cleq, aih èh kan wì haq ma lùi wìh wìa kan camaih ka nhèn, oh daq aih pi anoe hòm majah qmang aih taiq nhèn khoe lùi oh daq.
2f090500f2	Dài aih au majah hèm ep pariaq oh daq tau chônh lam trùh ta pì adroe ka nhèn, hu palauq adroe dahwèq pì ma khoe tèu am, dôq ƀài dahwèq aih khoe jah padon đòeq adroe tiaq deh manoh oh daq ma i deh joq qnàng, ùh xài ep pa àu.
2f0906005c	Hmàng qmang kô oq: Mangai leq rai biaq aih gat biaq, mangai leq rai bàc aih jah gat bàc.
2f090700cb	Rìm ngai ep tiaq deh manoh ma khoe qnac deh adroe đòeq hu am, ùh xài am ka ùh wìa hadai ùh xài taiq i bô panan, majah qmang aih Boc Plình loq waq ka mangai tabàih am ta kan lem bùi ta manoh.
2f090800a5	Boc Plình i cwìang am ka oh daq xôq ramot ùh dìq ùh dài đòeq oh daq ùh hìaq capòch qmòeq cleq, mahaq loh qmoè ka i rah đòeq oh daq hu broq trong lem,
2f09090080	qmang ka bàu khoe achìh: “Mangai khoe rai dèh kùng hang, khoe am ka mangai pa, Kan taq atoq da haq oe hloe mòeq đòe”.
2f090a00ed	Boc Plình ma am adrech ka mangai rai adrech xam ƀênh đòeq broq dahwèq acaq, aih èh haq hadai am ka oh daq pliang adrech rai broq dôq adrech aih chèch lòe tam yeo bàc hòm. Haq tam plì kan taq atoq da oh daq jah yeo bàc hòm.
2f090b00ae	Qmang aih rìm trong oh daq dìq jah padrŏng, đòeq jah broq bàc trong lem, èh mangai ma jah dahwèq da pì oh daq enh tì kŏng nhèn wì haq jah manè apôi Boc Plình.
2f090c009d	Kùng hang oh daq ma tabàih aih, ùh xài broq toq ka mangai da Chuaq yiyeo đeh ka nan, mahaq haq broq ka bàc ngai i tam manoh loq manè apôi Boc Plình.
2f090d00dd	Ajang yiniq broq kô wì haq hnoq manoh oh daq joq loq hamah, aih èh wì ma hijah manè apôi Boc Plình majah qmang aih hnoq oh daq khoe iu tiaq Bàu lem da Christ, manoh oh daq loq waq ka wì haq hloe xam ka rìm ngai.
2f090e0084	Jò wì haq waiq khàn ka pì, manoh wì haq bêh ta pì oh daq, majah qmang aih xôq ramot Boc Plình am ka oh daq joq bàc haraya.
2f090f0048	Manè apôi Boc Plình majah qmang aih kan tabàih da haq rèn ùh dìq.
2f0a0100c8	Tiaq kan loq hamon xam kan laq alàng da Christ au doe ka oh daq, au kô Phaulô joq mangai hamoq đeh qnàng jò yòng enh ngèa ka pì, hnoq jò arù ka oh daq au broq dèh tìah gleq ma tanoq raya!
2f0a0200ae	Au cali calo ka pì oh daq apaq đòeq jò au trùh ti pì, au ep broq nhang ka pì qmang ka au ma padon broq ka ƀài mangai ma xoh nhèn loq rìh tiaq dua crŏng taneh kô.
2f0a03007e	Majah qmang aih yac ka nhèn oe rìh ta crŏng taneh kô, mahaq nhèn ùh tablêq ùh tablah qmang ka wì ta crŏng taneh kô.
2f0a0400b1	Ranac da nhèn đòeq hu tablêq aih ùh xài ranac da kon mangai, mahaq loh enh padren da Boc Plình cwìang itai, đòeq hu qnhroh qnìh đac dŏng ƀài đôn wì ma cachàt.
2f0a0500d6	Canòm ka ƀài ranac aih nhèn goh dŏng bàu rahen da ƀài mangai loq padèch rađeh đòeq hu enh tablêq ka kan rabiaq da Boc Plình, nhèn khech rùp rìm manoh hèm dôq wì haq broq dŏng hapŏng ka Christ.
2f0a06007b	Jò pì oh daq dìq khoe iu tiaq bàu, nhèn hadai yŏc ranac aih raq đòeq hu tabroq ka ƀài mangai ma ùh iu tiaq bàu.
2f0a070074	Oh daq ngan toq enh gùng qmòh? Tàng i mangai leq doe đeh kô mangai da Christ, nhèn kô hadai mangai da Christ.
2f0a0800b7	Yac ka i jò au loq capoch catèh cla rađeh toq biaq trong cwìang itai Chuaq am ka nhèn đòeq hu grom gri oh daq, ùh xài đòeq broq ka raliang dài au ma blinh ùh camaih cleq;
2f0a090039	au ùh enh taqnhùq pì oh daq xi jàiq au ma achìh kô.
2f0a0a009b	I mangai doe: “Jò ma achìh jàiq Phaulô capoch nhang raya mahaq trùh jò i cla aih, haq ùh i lênh nèn cleq, bàu haq capoch hanoh ùh loh cleq”.
2f0a0b0071	Mangai capoch qmang aih khòh hèm: Jò nhèn arù bàu tajàiq qmang leq, jò i cla, nhèn hanoh broq qmang aih.
2f0a0c00d2	Joq nhèn ùh hùa daq adàng ka cabô, ùh enh wêh rađeh ti ƀài mangai loq pliang rađeh. Mahaq cla wì wêh dèh cla, cla wì ngan deh ajang cla, qmang aih cla wì raq patô rađeh ùh lênh i kan rabiaq.
2f0a0d00a7	Da nhèn hòm, nhèn ùh catèh rađeh yeo loe ka acang ma pajaq, tiaq pang aniang Boc Plình khoe pajaq am ka nhèn, tiaq acang pajaq aih nhèn majah trùh ta oh daq.
2f0a0e00b8	Nhèn ùh cadiang loe dèh ka acang jò nhèn trùh ta pì oh daq, majah qmang aih oh daq oe ta acang aih. Joq nhèn raq ma khoe aràng Bàu lem da Christ trùh tanòe pì adroe dŏng.
2f0a0f00f9	Nhèn ùh pajìang hrìn rađeh, hadai ùh catèh ataq yiniq da mangai qnoeq ma broq, mahaq nhèn ngèh ka manoh lùi da oh daq èh rai tŏc tam, aih dôq bìac nhèn ma patìh taqne oh daq hujah yòng kàn diq, tiaq acang ma khoe pajaq am ka nhèn;
2f0a1000bd	qmang aih èh đòeq nhèn jah aràng Bàu lem yeo hangai ka gùng da pì oh daq, majah qmang aih nhèn ùh enh catèh rađeh tanòe acang taneh da mangai mangai qnoeq abroq oe toq hi gêh.
2f0a110047	Mahaq tàng cabô catèh rađeh, drah catèh rađeh enh dalam ka Chuaq.
2f0a120078	Majah qmang aih, ùh xài mangai leq pliang rađeh aih dìq khòh jah manè, mahaq toq mangai da Chuaq ma thê dèh raq.
2f0b010072	Joq qnàng! Au ngèh đeh pì oh daq àt chìuq da au kan blùng toq biaq! Ma joq qnàng, oh daq khòh àt chìuq.
2f0b0200d0	Au qnang tarènh ka pì tìaq kan tarènh enh plình, majah qmang aih au khoe capoch ka pì mòeq ngai ŏng raq, đòeq au jah patô pì oh daq qmang ka mangai gu adrùh hliang sriu đoèq dèch am ka Christ.
2f0b0300ac	Mahaq au yùq qmang ka calah nèh bìh ma khoe padô Êva qmang leq, èh manoh cliac da oh daq hadai loq loh ka pi wìa, hnhung đac kan hliang lem ka Christ qmang aih diq.
2f0b04011a	Majah qmang aih tàng loq i mangai qnoeq trùh hnài ònh ka oh daq mòeq Jesus ma qnoeq, crài ka Chuaq Jesus nhèn ma khoe hnài, mòeq yiang ma qnoeq crài kaYiang Hadròeh pì ma khoe jah, ùh meh mòeq Bàu lem qnoeq crài ka Bàu lem oh daq ma khoe jah, aih èh canau pì waq!
2f0b05007b	Mahaq au hèm yac ka ƀài mangai tiaq cla aih loq haqnhèq dàng leq, au dua ùh yi hamoq ka wì aih yac ka toq biaq hnha!
2f0b06006d	Trong bàu tapoch, au ùh rabiaq, mahaq au i kan loq, nhèn khoe patô ka oh daq jah hnoq trong aih rìm hì.
2f0b0700b0	Au anoe hnài Bàu lem da Boc Plình ka pì, au hnài đeh dech, au caqnìh rađeh ka haqneq đoèq oh daq jah dèch ka haqnhèq. Qmang aih, au ahìaq i yiniq lui cleq loq ùh?
2f0b08005f	Au khoe yŏc baha, hatùh hatah dahwèq enh Tagop Hadròeh qnoeq đòeq hu wiang patìh ka pì.
2f0b09010b	Jò oe ti pì oh daq, glàm kan nanxa, au ùh pangài ka cabô, majah qmang aih oh daq enh gùng Maxêđoan trùh, khoe aràng ka au dahwèq au ma nhet ka i yiniq waq. Au khoe wèq rađeh đòeq au ùh hìaq wìa kan trap ka oh daq. Tangèa kô èh dua qmang aih raq.
2f0b0a0073	Kan joq qnàng da Christ oe enh dalam ka au, dài aih tagùng Achai ùh i mangai leq jah tàt da au kan catèh aih.
2f0b0b0057	Hagleq qmang aih? Ahìaq au ùh qnì waq ka pì oh daq ùh xài? Khoe i Boc Plình loq!
2f0b0c00a4	Mahaq trong au khoe broq, dua au oe raq broq, majah qmang aih au ùh enh dôq wì tau jah nen hu catèh, wì doe yiniq broq da wì haq hadai daq adàng ka da nhèn.
2f0b0d0099	Majah qmang aih ƀài mangai qmang aih, ùh xài mangai tiaq cla joq qnàng, wì haq patìh ka kan qnùt, ti patìah đeh broq mangai tiaq cla da Christ.
2f0b0e004c	I cleq ep hamàih, cla Satan ji patìah đeh broq ƀình plình qngah qngai.
2f0b0f00bf	Qmang aih, ƀài mangai patìh ka haq ti patìah đeh broq mangai patìh ka kan taq atoq, ùh i cleq ma ep hamàih, mahaq kan pulùch da wì haq jah tajì wop tiaq yiniq wì haq ma khoe broq.
2f0b1000a7	Au anoe tam: Apaq i cabô ngan au qmang ka mangai blùng. Mahaq tàng loq i mangai leq hèm qmang aih, pì dôq au blùng beq, aih raq au hujah catèh rađeh toq biaq.
2f0b11007d	Bàu au ma anoe kô, aih au anoe tiaq deh cla au loq ka rađeh, ùh xài anoe tiaq da Chuaq, mahaq qmang ka da mangai blùng.
2f0b12004b	Bàc ngai tiaq xech akia đòeq hu catèh rađeh, au hanoh catèh đeh diq.
2f0b130052	Majah qmang aih, oh daq aih mangai rabiaq mahaq lem bùi ka tamàng mangai blùng.
2f0b1400b5	Joq, oh daq xan dôq yôt wì rùp rađeh broq dìc hapŏng, dôq hloe wì lonh apom, dôq wì blah yŏc da oh daq, dôq wì padèch rađeh đòeq hu halê rai tep ta tabŏc oh daq.
2f0b1500b0	Au broq ka nhèn kan camaih jò anoe bàu kô, nhèn joq khoe ùh hùa trong aih. Mahaq tàng cabô i yiniq cleq hùa catèh rađeh, au anoe troeq mangai blùng: Au hanoh hùa.
2f0b160081	Wì haq mangai Hêbru ùh xài? Au hadai. Wì haq mangai Isorali ùh xài? Au hadai. Wì haq nang noe Apraham ùh xài? Au hadai.
2f0b1700c0	Wì haq mangai patìh ka Christ ùh xài? (capoch qmang ka mangai ùh qnì) Òq! Au kiang ma yi loe! Au khoe xalep yi hnau ka wì, oe tù yi bàc, wì blai yi bàc. Bàc yàng au hwaq cachìt,
2f0b180065	padam yàng mangai Juđa hwat au xi long roe, rìm yàng tam moeq qmang blai hòm hi bình pôn jàt.
2f0b190087	Piq yàng wì tong xi long dùi, moeq yàng wì đàp xi hmo, piq yàng cram boang. Au khoe đòng mòeq hì mòeq mang ta diac raxìq.
2f0b1a00cd	Bàc yàng au lam ti trong, yat ti cròng diac, yat ka mangai atùng, yat qne hadai mangai Juđa, yat ka mangai diac wì, yat ta plài, yat tanòe hawit, yat ta diac raxìq, yat ka oh daq ma loq ti gôpla.
2f0b1b007e	Au khoe abroq xalep, bàc yàng rìu qngah ka mang, pangot croh ranŏng, ja ka oe rôn, au khoe hmaq tanget hmaq oe chac dech.
2f0b1c0052	Qnhòq rèn yiniq qnoeq hòm, aih rìm hì au dìq ep lèt ka rìm Tagop Hadròeh.
2f0b1d008a	I cabô ùh nèn, au ma ùh tàng tìah qmòe cla au ùh nèn? Cabô tacro au ma ùh tàng tìah gleq i ùnh bùh ta cliac clèm au qmòh?
2f0b1e003b	Tàng joq ep catèh au enh catèh toq dèh kan hamoq da au.
2f0b1f007d	Boc Plình aih Baq da Chuaq Jesus Christ, haq aih ma khòh manè apôi mòeq đòe mòeq tui, haq loq ka au ùh capoch qnùt.
2f0b200046	Oe ta Đamat, cwan kàn da bùa Arêta thê wì rap ta aih hu rùp au.
2f0b210083	I oh daq yŏc rajŏng cadrai qnoh au enh ti qmŏc gàu tiaq haqmai panàt canàng plài aih, meh au hi claih enh tì kŏng haq aih.
2f0c010062	Au ep catèh rađeh yac ka ùh jah cleq. Au anoe trùh ƀài yiniq au hnoq ta kan mahnu enh Chuaq.
2f0c0200c2	Au loq mòeq ngai da Christ, adreo kô khoe mòeq jàt pôn hanam adroe, khoe jah dèch atŏc caloeh trŏc ma piq (ta chac cla haq, qnì enh gùng ka chac cla haq, au ùh loq, i Boc Plình loq).
2f0c030063	Au loq mangai aih (ùh qnì ta chac haq, qnì enh gùng ka chac haq, au ùh loq, i Boc Plình loq);
2f0c040066	jah atŏc ta Ƀarađi, ta aih tàng bàu mahaq ùh jah doe hlài, hadai ùh lòh ka cabô capoch qnoh.
2f0c050066	Au jah catèh trùh mangai aih, mahaq da cla au, au ùh catèh, catèh dèh toq kan ùh nèn raq hêq.
2f0c0600dd	Yac ka au enh catèh rađeh, au dua ùh xài mangai ratùt, majah qmang aih au anoe joq qnàng, mahaq au ùh anoe dôq ùh hìaq i cabô doe au capoch yeo dôch ka yiniq wì ma hnoq au broq xam bàu wì ma tàng ajang au.
2f0c0700e3	Qmang aih, yùq au loq padèch hrìn rađeh ajang nòe đeh hnoq mahnu kàn kaiq qmang kô, dài majah khoe thê mòeq toq yila padom ta xech akia au, aih mangai da Satan, đoèq hu jêh au, đòeq broq ka au apaq dèch rađeh;
2f0c08004c	khoe piq yàng au waiq khàn ka Chuaq thê yiniq aih loh hangai enh chac au.
2f0c0900ee	Mahaq Chuaq padreo bàu doe: “kan tabàih dech Au am ka ìh khoe lap, majah qmang aih padren da Au jah geo ta kan hamoq ìh”. Aih ìq dài au majah lem bùi enh toq catèh dèh kan ùh nèn, dôq kan dêh da Christ oe enh dalam ka au.
2f0c0a00b4	Qmang aih, đòeq jah lòeq Christ dài au majah bùi ka oe ta kan ùh nèn, ta bàu capoch qmèq, xalep, khech rùp, nanxa. Majah qmang aih, jò au ùh nèn aih raq jò au tadêh.
2f0c0b00a1	Au majah khoe blùng aih pàng oh daq panan au, oh daq manè au aih ma troq, yac ka au ùh loh cleq, au ma i yeo hamoq cleq ka ƀài mangai tiaq cla ma kàn tau.
2f0c0c00a4	Jò au oe taqne pì, au khoe paqnoh dôq pì hnoq au kô joq qnàng mangai tiaq cla da Christ, ajang kan au loq kèm rìm trong, hloe xam teo hamàih xam kan halac.
2f0c0d00ab	Manòeq kô, enh gùng ka au ma ùh pangài ka pì oh daq, aih oe i yiniq cleq pì ma ùh diang Tagop Hadròeh qnoeq? Ajang kan ùh taq atoq aih, pì apaq tamrua ka au oq!
2f0c0e0118	Yàng kô aih yàng piq, au padon lam ta oh daq, au ùh pangài cleq ka pì, majah qmang aih ùh xài au chaq da pì dahwèq, mahaq chaq qmòe cla pì qmat raq, joq ùh xài kon ep atech đòeq dahwèq ka miq baq, mahaq miq baq ma atech đòeq am deh ka kon, ma aih ùh hnau hòm;
2f0c0f00b8	da au hòm, au toq enh am deh kùng hang am hloe xam cla au ka mahua yiang oh daq, tàng au loq waq ka pì rai èh rai bàc qmang aih, wìa ka pì loq waq ka au rai èh rai biaq qmòh?
2f0c10008d	Mahaq i mangai doe, yac ka au qnhòq lah pangài ka pì cleq, mahaq au kô magai tai cliac khoe yŏc deh kan rabiaq đòeq rùp padràng pì.
2f0c11003c	Au alah thê cabô lam padô alùan yŏc da oh daq cleq ùh?
2f0c120105	Yàng adroe nèh au khoe thê Tit lam hmàih ka oh daq, yŏc tam mòeq ngai taqne nhèn đòeq wiang lam ti haq. Ahìaq Tit khoe padô yŏc da pì cleq ùh? Ma ùh xài nhèn hadai canòm mòeq Yiang Hadròeh đòeq hadai cadiang tiaq mòeq teo jènh raq qmòh?
2f0c1300e7	Enh nèh trùh manòeq, pì toq hèm nhèn chaq trong đòeq aclai ka rađeh enh ngèa pì oh daq. Mahaq enh dalam ka Christ, oe enh ngèa Boc Plình, nhèn doe ƀài bàu kô, rìm yiniq kô dìq đòeq ka oh daq jah dêh qnhrang.
2f0c14010a	Majah qmang aih, au hòq jò au trùh ta oh daq au ùh hnoq tìah ka manoh ma ngèh, oh daq hadai hnoq au ùh tìah ka manoh pì enh. Au yùq taqne oh daq loq oe i kan talech, tagrình, tanòeh, ùh hatroq, capoch dech, capoch qmèq ka dabau, catèh xam kan manhài.
2f0c150121	Au yùq hòm, jò au trùh ta oh daq, Boc plình au loq broq ka au ep camaih xep enh ngèa pì oh daq, èh au ep crò hmoe ka mangai khoe broq yiniq lui enh nèh trùh manòeq mahaq ùh dùh qmòe ka loq raxach trong amùa, tango taqnung, xam trong talìq talàn tiah wì haq ma khoe broq.
2f0d010068	Kô èh yàng piq au padon trùh ta oh daq. Rìm yiniq jah dì tiaq bàu baiq piq ngai ma wiang panhìn.
2f0d0200f4	Jò au trùh hmàih ka oh daq yàng baiq nèh, au khoe doe ka mangai adroe kô nèh ma khoe broq yiniq lui hloe xam ka mangai qmoeq, manòeq kô au yac ka au arù, mahaq dua au chônh doe hòm: Jò au trùh au pi oe taqnhùa cleq ka cabô hòm.
2f0d0300aa	Patep pang jò oh daq bòch waq ka loq i nen cleq đòeq hu panhìn joq Christ i capoch hnài ajang au. Haq aih ùh xài mangai ùh loh cleq taqne pì, mahaq dêh haraya.
2f0d040103	Majah qmang aih, haq khoe tiang đình talong pagat ta kan ùh nèn, mahaq haq khoe rìh ta cwìang i tai Boc Plình, hanoh qmang aih, nhèn ùh nèn enh dalam ka haq, mahaq nhèn rìh ti haq enh dalam cwìang itai da Boc Plình, đòeq hu abroq taqne oh daq.
2f0d0500d9	Cla pì oh daq ngan hlài deh chiac beq, đoèq hu loq đeh i manoh lùi loq ùh? Nhro ngan rađeh beq, oh daq ma ùh hnoq i Chuaq Jesus Christ oe enh dalam ka oh daq ùh? Waq toq oh daq ùh hìaq khoe troq ka cađac.
2f0d06004a	Nhèn ngèh ka oh daq canau hnoq nhèn kô ùh xài mangai troq ka cađac.
2f0d0700f9	Manòeq kô nhèn waiq khàn ka Boc Plình dôq oh daq ùh broq trong qmèq, ùh xài đòeq ka wì loq nhèn kô mangai khoe qnhrang ta kan qnhro, mahaq dôq pì oh daq jah broq trong lem, yac ka hnoq nhèn tìah gleq mangai khoe troq ka qnoh đac.
2f0d080072	Majah qmang aih, nhèn ùh jah broq cleq ma pagau hlài ka bàu joq qnàng, mahaq toq hatroq tiaq bàu joq qnàng.
2f0d09009b	Yac ka nhèn ùh nac canèn, mahaq waq toq oh daq jah tadêh aih nhèn khoe lem bùi raya, bàu nhèn waiq khàn aih waq ka oh daq jah gêh geo rìm trong.
2f0d0a00df	Aih ìq dài jò arù, au majah achìh ka oh daq ƀài trong kô, đòeq jò i mat au taqmat, au ùh hìaq ep broq nhang tiaq cwìang Chuaq ma am ka au, aih cwìang đòeq hu dèch paqnhrang ùh xài đòeq hu raliang đac.
2f0d0b00af	Pulùch, oh daq drah bùi beq, drah hnan tiaq kan gêh geo, alòng dabau, pajùm mòeq manoh oe ma hatroq ti dabau, aih èh Boc Plình da kan loq waq xam kan catèm oe ti pì.
2f0d0c002e	Yŏc nà hìp hadroèh đòeq hu hmàih dabau.
2f0d0d004a	Dìq dŏng mangai da Boc Plình tagùng kô i bàu bòch hmàih ka oh daq.
2f0d0e0078	Waiq kan tabàih dech da Chuaq Jesus Christ, kan loq waq da Boc Plình, kan taqmùt da Yiang Hadròeh oe dìq ti oh daq.
3000000006	GALATI
30010100e2	Phaulô broq mangai Tiaq cla da Christ ùh xài enh kon mangai, hadai ùh i canòm qmòe ka cabô thê, mahaq enh cla Chuaq Jesus Christ xam Boc Plình aih Baq, Mangai ma broq ka Chuaq Jesus khoe rìh hlài enh mangai cachìt.
3001020059	Xam dìq dŏng oh daq oe pajùm ti au, achìh am ka ƀài Tagop Hadròeh oe gùng Galati.
3001030076	Waiq ka oh daq jah kan catèm xam kan tabàih dech enh Boc Plình aih Baq xam enh Chuaq Jeus Christ aih Chuaq da bèn.
3001040098	Haq aih mangai khoe cachìt am ka yiniq lui bèn, đòeq hu dèch bèn jah claih enh qnhòng ngang dù kô, wop qmang ka manoh Boc Plình, aih Baq bèn,
3001050038	Kan ranhòm mòeq đòe ùh lùch jah dìq ta haq! Amen.
3001060093	Au hamàih ka oh daq ma rênh ka cađac mangai ma creo ka oh daq trùh rìh ta kan tabàih dech da Christ, đòeq hu cadàu tiaq bàu lem ma qnoeq.
3001070094	Joq qnàng ùh i ka bàu lem ma qnoeq, mahaq i toq ƀài mangai enh broq ka oh daq loh ka manhài ta manoh, rai enh raliang đac Bàu lem da Christ.
30010800be	Mahaq tàng i cabô, yac ka cla nhèn, yac ka ƀình plình oe ta plình, hnài ka oh daq bàu lem ma qnoeq crài ka Bàu lem da nhèn ma khoe hnài oh daq, mangai aih khoe khòh ka Anathem.
300109009e	Au khoe doe, kô au anoe hòm: Tàng joq loq i cabô hnài ka oh da bàu lem ma qnoeq crài ka Bàu lem oh daq ma khoe jah, mangai khòh ka Anathem đac hloe!
