0100000009	創世記
290514005a	這人就回到低加坡里一帶傳揚耶穌為他所行的奇事，人們都很驚奇。
2905150042	耶穌再坐船回到對岸，有一大群人在岸邊圍著祂。
290516005a	這時來了一個名叫雅魯的會堂主管，他一見到耶穌便俯伏在祂腳前，
290517006f	迫切懇求說：「我小女兒快要死了，求你去把手按在她身上，醫治她，救她一命。」
290518003c	耶穌和他同去，一大群人跟著祂，擁擠著祂。
290519002d	有一個婦人患血漏病已經十二年，
29051a0069	經過許多醫生的診治，受盡痛苦，耗盡錢財，病情仍沒有好轉，反而更加嚴重。
29051b004b	她聽見耶穌的事，就夾在人群中從耶穌背後摸祂的衣服，
29051c003c	心想：「我只要摸到祂的衣服，就會痊癒。」
29051d0039	她的血漏立刻止住了，她感到自己痊癒了。
29051e0072	耶穌馬上知道有能力從自己身上發出，便在人群中轉過身來問：「誰摸了我的衣服？」
29051f0063	門徒對祂說：「你看，這麼多人在你周圍擠來擠去，你怎麼問誰摸你呢？」
290520002d	耶穌環視四周，要找出摸祂的人。
290521007b	那婦人害怕得發抖，知道在自己身上發生了什麼，就上前俯伏在耶穌腳前，將實情說了出來。
2905220054	耶穌說：「女兒，你的信心救了你。安心去吧！你的病好了。」
2905230084	耶穌還在說話的時候，有人從雅魯家趕來，對雅魯說：「你的女兒已經死了，何必再麻煩老師呢？」
290524003f	耶穌聽了，就對雅魯說：「不要怕，只要信。」
2905250060	於是，祂帶著彼得、雅各和雅各的弟弟約翰去雅魯家，不准其他人跟著。
2905260054	他們到了會堂主管家，耶穌看見在場的人嚎啕大哭，場面混亂。
2905270069	耶穌進去問道：「你們為什麼亂哄哄地哭叫呢？這孩子沒有死，只是睡著了。」
2905280075	眾人都譏笑祂。耶穌讓他們全部出去，然後帶著女孩的父母和三個門徒進了孩子的房間。
2905290069	祂拉著女孩的手說：「大利大，古米！」意思是：「小女孩，我吩咐你起來！」
29052a0057	女孩應聲而起，開始走動。當時她十二歲。在場的人都驚奇不已。
29052b005a	耶穌鄭重叮囑他們不要把這事張揚出去，又吩咐他們給女孩東西吃。
290601003c	耶穌帶著門徒離開那地方，回到自己的家鄉。
29060200bd	到了安息日，祂開始在會堂裡教導人，眾人聽了都很驚奇，說：「這個人從哪裡學來這些本領？祂怎麼會有這種智慧？祂怎麼會行這樣的神蹟？
29060300c0	這不是那個木匠嗎？祂不是瑪麗亞的兒子嗎？祂不是雅各、約西、猶大、西門的大哥嗎？祂的妹妹們不也住在我們這裡嗎？」他們就對祂很反感。
2906040060	耶穌對他們說：「先知到處受人尊敬，只有在本鄉、本族、本家例外。」
290605005d	耶穌不能在那裡行任何神蹟，只把手按在幾個病人身上，醫治了他們。
290606004e	耶穌對他們的不信感到詫異，就去周圍的村莊繼續教導人。
2906070066	耶穌召集了十二個使徒，差遣他們兩個兩個地出去，賜他們制伏污鬼的權柄，
290608006f	又吩咐他們路上除了手杖外什麼都不要帶，不要帶食物和背包，腰袋裡也不要帶錢，
290609002a	只穿一雙鞋和一套衣服就夠了。
29060a0078	祂對他們說：「無論什麼地方，你們進到哪戶人家，就在哪裡住下來，一直到離開那地方。
29060b008d	如果某地方的人不接待你們，不聽你們傳的道，你們離開那裡時要跺掉腳上的塵土，作為對他們的警告！」
29060c0027	使徒便出去傳道，勸人悔改，
29060d0039	趕出許多鬼，為許多病人抹油，治好他們。
29060e0087	耶穌聲名遠揚，希律王也聽說了祂的事。有人說：「施洗者約翰從死裡復活了，所以能行這些神蹟。」
29060f006d	也有人說：「祂是以利亞。」 還有人說：「祂是個先知，就像古代的一位先知。」
2906100054	希律聽到這些議論，就說：「被我斬首的約翰從死裡復活了！」
290611007b	原來希律娶了他兄弟腓力的妻子希羅底，並為她的緣故而派人逮捕了約翰，把他鎖在監牢裡。
2906120045	因為約翰曾對希律說：「你娶弟弟的妻子不合法。」
2906130048	希羅底對約翰懷恨在心，想要殺掉他，只是不能得逞。
29061400a2	因為希律知道約翰是個公義聖潔的人，所以敬畏他，並對他加以保護。儘管約翰所講的道理令他困惑不安，他仍然喜歡聽。
2906150063	機會終於來了。希律在自己的生日那天設宴招待文武百官和加利利的顯要。
2906160075	希羅底的女兒進來跳舞，甚得希律和客人的歡心。王對她說：「你想要什麼，只管說。」
2906170063	王還對她起誓說：「無論你要什麼，哪怕是我的半壁江山，我都會給你。」
290618006a	她便出去問她母親：「我應該要什麼呢？」 她母親說：「要施洗者約翰的頭！」
2906190066	她馬上回去向王請求說：「願王立刻把施洗者約翰的頭放在盤子裡送給我。」
29061a0066	王聽到這個請求，感到十分為難，但因為在眾賓客面前起了誓，就不好拒絕。
29061b0033	他立刻命令衛兵進監牢砍了約翰的頭，
29061c0039	放在盤子裡送給女孩，她又轉送給她母親。
29061d005d	約翰的門徒聽到這個消息，就來把約翰的屍體領回去，安葬在墳墓裡。
29061e004e	使徒們聚集在耶穌身邊，向祂報告他們一切的工作和教導。
29061f009f	耶穌對他們說：「你們單獨跟我到荒僻的地方去歇一會兒吧。」因為當時來來往往的人很多，他們連吃飯的時間都沒有。
2906200030	他們乘船單獨到了一處荒僻的地方。
2906210072	可是有許多人看見他們離開，認出了他們，便從各城鎮步行趕往那裡，比他們先到達。
290622007b	耶穌一下船，看見這一大群人好像沒有牧人的羊，心裡憐憫他們，於是教導了他們許多道理。
2906230060	天色晚了，門徒過來對耶穌說：「時候已經不早了，這裡又是荒郊野外，
290624004b	請遣散眾人，好讓他們到周圍的村莊去自己買些吃的。」
2906250079	耶穌說：「你們給他們吃的吧。」 門徒說：「難道要我們買二百個銀幣的餅給他們吃嗎？」
290626006a	耶穌說：「去看看你們有多少餅。」 他們察看後，說：「有五個餅和兩條魚。」
2906270033	耶穌吩咐門徒叫眾人分組坐在草地上。
2906280045	於是眾人坐下，有的五十人一組，有的一百人一組。
290629009c	耶穌拿起那五個餅、兩條魚，舉目望著天祝謝後，掰開餅遞給門徒，讓他們分給眾人。祂又照樣把那兩條魚分給眾人。
29062a0024	大家都吃了，並且吃飽了。
29062b004b	門徒把剩下的碎餅、碎魚收拾起來，裝滿了十二個籃子。
29062c0021	當時吃餅的有五千男人。
29062d005d	耶穌隨即催門徒上船，叫他們先渡到湖對岸的伯賽大，祂則遣散眾人。
29062e002d	祂辭別了眾人後，就上山去禱告。
29062f0045	到了晚上，門徒的船在湖中心，耶穌獨自留在岸上。
290630008a	祂看見門徒在逆風中搖櫓，非常吃力。天將破曉的時候，祂從水面上朝門徒走去，想要從他們旁邊經過。
2906310045	門徒看見祂在湖面上走，以為是幽靈，就驚叫起來。
2906320069	全船的人看見祂，都嚇壞了。耶穌立刻對他們說：「放心吧！是我，不要怕。」
2906330048	耶穌上船到他們那裡，風便停了。門徒心裡大為驚奇，
2906340045	因為他們仍然不明白耶穌分餅的事，心裡還是愚頑。
290635003f	他們渡到湖對岸，來到革尼撒勒，在那裡靠岸，
290636002d	剛一下船，眾人立刻認出了耶穌。
2906370072	他們跑遍那一帶地方，用墊子把生病的人抬來，聽到耶穌在哪裡，就把病人抬到哪裡。
29063800ab	耶穌無論到哪一個村莊、城鎮或鄉下，人們總是把病人抬到街市上，求耶穌讓他們摸一摸祂衣服的穗子，所有摸過的病人都好了。
290701004b	有法利賽人和一些律法教師從耶路撒冷聚集到耶穌那裡。
290702003f	他們看到祂的一些門徒吃飯前沒有照禮儀洗手。
290703006c	因為法利賽人和所有的猶太人都拘守祖先的傳統，總是先照禮儀洗手之後才吃飯；
290704007b	從市場回來也要先潔淨自己，然後才吃飯。他們還拘守許多其他規矩，如洗杯、罐、銅器等。
2907050069	他們質問耶穌：「為什麼你的門徒違背祖先的傳統，竟用不潔淨的手吃飯呢？」
290706009e	耶穌回答說：「以賽亞針對你們這些偽君子說的預言一點沒錯，正如聖經上說， 「『這些人嘴上尊崇我， 心卻遠離我。
2907070049	他們的教導無非是人的規條， 他們敬拜我也是枉然。』
290708003f	你們只知拘守人的傳統，卻無視上帝的誡命。」
290709005d	耶穌又對他們說：「你們為了拘守傳統，竟巧妙地廢除了上帝的誡命。
29070a0054	摩西說，『要孝敬父母』，又說，『咒罵父母的，必被處死。』
29070b0066	你們卻認為人若對父母說，『我把供養你們的錢財已經全部奉獻給上帝了』，
29070c0021	他就可以不再奉養父母。
29070d005d	你們就是這樣為了拘守傳統而廢除上帝的道，類似的情形還有很多。」
29070e0051	耶穌又召集眾人，對他們說：「你們都要聽我說，也要明白，
29070f005a	從外面進去的不會使人污穢，只有從人裡面發出來的才會使人污穢。
2907100024	有耳可聽的，都應當聽！」
2907110045	耶穌離開眾人，進了屋子，門徒問祂這比喻的意思。
290712005d	耶穌說：「你們也這樣糊塗嗎？豈不知從外面進去的，不會使人污穢，
290713007e	因為不能進入他的心，只能進他的腸胃，最後排進廁所。」言下之意，所有的食物都是潔淨的。
290714003c	祂接著說：「從人裡面發出來的才使人污穢，
2907150057	因為從裡面，就是從人的心裡能夠生出惡念、苟合、偷盜、謀殺、
2907160051	通姦、貪婪、邪惡、詭詐、放蕩、嫉妒、毀謗、驕傲、愚妄。
2907170042	這一切惡事都是從裡面生出來的，能使人污穢。」
2907180084	耶穌從那裡啟程去泰爾和西頓地區。祂進了一戶人家，原本不想讓人知道，卻無法避開人們的注意。
29071900c3	當時有一個婦人的小女兒被污鬼附身，她聽見耶穌的事，就來俯伏在祂腳前，懇求祂趕出她女兒身上的鬼。這婦人是希臘人，來自敘利亞的腓尼基。
29071b0063	耶穌對她說：「要先讓兒女們吃飽，因為把兒女的食物丟給狗吃不合適。」
29071c0063	婦人說：「主啊，你說的對，但桌子下的狗也吃孩子們掉下來的碎渣呀！」
29071d0057	耶穌說：「因為你這句話，你回去吧，鬼已經離開你的女兒了。」
29071e003f	她回到家裡，見女兒躺在床上，鬼已經離開了。
29071f0054	耶穌離開泰爾地區，經過西頓，來到低加坡里地區的加利利湖。
290720005a	有人帶著一個又聾又啞的人來見耶穌，懇求祂把手按在這個人身上。
2907210066	耶穌就帶他離開眾人走到一邊，用指頭伸進他的耳朵，又吐唾沫抹他的舌頭，
2907220048	望天長歎，對他說：「以法大！」意思是「開了吧！」
2907230042	他的耳朵立刻開了，舌頭靈活了，說話也清楚了。
290724006c	耶穌吩咐他們不要將這事告訴別人。可是耶穌越是這樣吩咐，他們越是極力宣揚，
290725006f	聽見的人都十分驚奇，說：「祂做的一切都很好，甚至叫耳聾的聽見，啞巴說話！」
2908010060	那時，又有一大群人聚在一起，他們沒有東西吃。耶穌就叫來門徒，說：
2908020054	「我憐憫這些人，他們跟我在一起已經三天，沒有任何吃的了。
290803006f	如果我讓他們餓著肚子回家，他們在路上會體力不支，因為有些人是遠道而來的。」
2908040057	門徒說：「在這荒郊野外，如何找到足夠的食物給這些人吃呢？」
2908050046	耶穌問：「你們有多少餅？」 門徒答道：「七個。」
2908060096	耶穌便吩咐眾人坐在地上，然後拿著那七個餅祝謝後，掰開，遞給門徒，讓門徒分給眾人，門徒就把餅分給眾人。
2908070045	他們還有幾條小魚。耶穌祝謝了，叫門徒分給眾人。
290808004b	大家都吃了，並且吃飽了，剩下的零碎裝滿了七個筐子。
2908090033	吃的人約有四千。耶穌讓眾人回家後，
29080a0033	隨即和門徒上船，來到大瑪努他地區。
29080b0054	法利賽人出來盤問耶穌，要求祂從天上顯一個神蹟，好試探祂。
29080c008a	耶穌深深歎息道：「這世代的人為什麼總是要看神蹟呢？我實在告訴你們，沒有神蹟給這世代的人看。」
29080d0036	然後，耶穌離開他們，乘船回對岸去了。
29080e002d	門徒忘了帶餅，船上只有一個餅。
29080f0054	耶穌警告他們：「你們要謹慎，要提防法利賽人和希律的酵！」
2908100042	他們彼此議論說：「這是因為我們沒有帶餅吧。」
2908110099	耶穌知道他們的心思，就說：「你們為什麼議論沒有帶餅的事呢？你們還不明白、不領悟嗎？你們的心還是愚頑嗎？
2908120042	你們有眼不會看，有耳不會聽嗎？你們不記得嗎？
2908130079	我掰開五個餅分給五千人吃的時候，你們撿了多少籃的零碎呢？」 門徒答道：「十二籃。」
290814007f	耶穌又說：「我用七個餅餵飽四千人的時候，你們撿了多少筐零碎呢？」 門徒答道：「七筐。」
2908150030	耶穌接著說：「你們還不明白嗎？」
290816004b	他們到了伯賽大，有人帶來一個瞎眼的人，求耶穌摸他。
2908170087	耶穌拉著他的手帶他走到村外，吐唾沫在他的眼睛上，並把手按在他身上，問他：「你看見什麼了？」
290818005a	他抬頭看了看，說：「我看見人們，好像一棵棵的樹，走來走去。」
2908190075	耶穌又把手按在他的眼睛上，他的眼睛便睜開了，視力也恢復了，什麼都看得清清楚楚。
29081a0048	耶穌叫他回家，並對他說：「不要再進這個村子了。」
29081b0074	耶穌和門徒前往凱撒利亞·腓立比境內的村莊。在路上，祂問門徒：「人們說我是誰？」
29081c006c	他們說：「有人說是施洗者約翰，有人說是以利亞，還有人說是其他某位先知。」
29081d0061	耶穌又問他們：「那麼，你們說我是誰？」 彼得回答說：「你是基督！」
29081e002d	耶穌叮囑他們不可洩露祂的身分。
29081f009c	從此，耶穌開始教導他們，人子必須受許多苦，被長老、祭司長和律法教師棄絕，並且被殺害，但必在三天之後復活。
290820005d	耶穌清楚地把這些事告訴了他們，彼得就把祂拉到一邊，開始責怪祂。
2908210090	耶穌轉身看了看門徒，斥責彼得說：「撒旦，退到我後面去！因為你不考慮上帝的意思，只考慮人的意思。」
290822007b	祂叫眾人和門徒一起過來，對他們說：「人若想跟從我，就當捨己，背起他的十字架跟從我。
2908230069	因為想救自己生命的，必失去生命；但為了我和福音失去生命的，必得到生命。
290824004e	人就算賺得全世界，卻喪失自己的生命，又有什麼益處呢？
290825002d	人還能拿什麼換回自己的生命呢？
290826009c	「在這淫亂、罪惡的世代，如果有人以我和我的道為恥，人子在祂父的榮耀中與聖天使再來的時候，也要以他為恥。」
2909010081	耶穌繼續說：「我實在告訴你們，有些站在這裡的人會在有生之年看見上帝的國帶著能力降臨。」
2909020072	六天後，耶穌帶著彼得、雅各和約翰單獨登上一座高山。耶穌在他們面前改變了形像，
290903003f	衣服潔白放光，世上沒有人能把布漂得那麼白。
2909040048	這時，以利亞和摩西向他們顯現，他們在跟耶穌談話。
290905008d	彼得對耶穌說：「老師，我們在這裡真好！我們搭三座帳篷吧，一座給你，一座給摩西，一座給以利亞。」
2909060042	其實彼得不知道說什麼才好，因為他們都很害怕。
290907007e	就在這時候，有一朵雲彩飄來籠罩他們，雲彩中有聲音說：「這是我的愛子，你們要聽從祂。」
2909080054	門徒立刻四處觀看，發現沒有其他人，只有耶穌和他們在那裡。
290909006c	下山的時候，耶穌叮囑他們在人子從死裡復活之前，不要把剛才看見的告訴別人。
29090a0051	門徒把這話謹記在心，彼此議論「從死裡復活」是什麼意思。
29090b0048	他們問耶穌：「律法教師為什麼說以利亞必須先來？」
29090c0084	耶穌回答說：「以利亞固然要先來復興一切，但為什麼聖經上說人子一定會飽受痛苦、遭人蔑視呢？
29090d0066	其實我告訴你們，以利亞已經來了，人們卻任意對待他，正如聖經的記載。」
29090e006c	他們與其他門徒會合時，看見一大群人圍住門徒，幾個律法教師正在跟他們辯論。
29090f0045	眾人一看到耶穌，都十分驚奇，立刻跑上去問候祂。
2909100036	耶穌問門徒：「你們跟他們辯論什麼？」
2909110069	人群中有一個人答道：「老師，我帶了我的兒子來找你，因為他被啞巴鬼附身。
290912009c	每次鬼控制他，把他摔在地上，他就口吐白沫，咬牙切齒，全身僵硬。我請你的門徒把鬼趕出去，但他們無能為力。」
290913008a	耶穌說：「唉，這不信的世代啊！我要跟你們在一起待多久，容忍你們多久呢？把他帶到我這裡來吧。」
2909140075	他們把那孩子帶到耶穌面前。那鬼一見耶穌，就使孩子抽搐，倒在地上打滾，口吐白沫。
290915006c	耶穌問孩子的父親：「他這樣子多久了？」孩子的父親回答道：「他從小就這樣，
2909160072	鬼常常將他扔進火裡或水裡，要害他的命。如果你能，求你憐憫我們，幫助我們吧！」
290917004b	耶穌說：「如果你能？對於相信的人，凡事都有可能！」
2909180054	孩子的父親立刻高喊：「我信！但我信心不足，求你幫助我！」
2909190087	耶穌看見人群都跑了過來，就斥責那污鬼：「你這個聾啞鬼，我命令你從他身上出來，不許再進去！」
29091a0087	那鬼大聲喊叫，使孩子劇烈地抽搐了一陣，就出來了。孩子躺在地上一動也不動，很多人都說他死了。
29091b003c	但耶穌拉著他的手扶他起來，他就站了起來。
29091c0051	耶穌進屋後，門徒私下問祂：「我們為什麼趕不走那鬼呢？」
29091d0036	耶穌說：「要趕走這類鬼只有靠禱告。」
29091e0051	他們離開那裡，途經加利利。耶穌不想任何人知道祂的行蹤，
29091f007b	因為祂在教導門徒。祂說：「人子將被交在人手中，被他們殺害，但三天之後，祂必復活。」
2909200039	門徒卻不明白這句話的意思，又不敢問祂。
290921005a	他們回到迦百農的住所，耶穌問門徒：「你們一路上爭論些什麼？」
2909220042	他們都沉默不語，因為剛才他們在爭論誰最偉大。
2909230084	耶穌坐下，叫十二個門徒過來，對他們說：「誰想為首，就該在眾人中做最小的，作眾人的僕人。」
2909240057	祂領了一個小孩子來，叫他站在門徒中間，又抱起他，對他們說：
290925008a	「誰為了我的名接待這樣一個小孩子，就是接待我；誰接待我，就是接待差我來的那位，而非接待我。」
290926007b	約翰對耶穌說：「老師，我們看見有人奉你的名趕鬼，就阻止他，因為他不是跟從我們的。」
2909270063	耶穌說：「不要阻止他，因為沒有人奉我的名行過神蹟後，會很快毀謗我。
290928002d	不反對我們的，就是支持我們的。
2909290066	我實在告訴你們，有人若因你們屬於基督而給你們一杯水喝，也必得到賞賜。
29092a0078	「不論誰使這樣一個小信徒失足犯罪，他的下場比把大磨石拴在他脖子上扔到海裡還要慘。
29092b007b	如果你一隻手使你犯罪，就砍掉它！殘廢著進入永生，勝過雙手健全卻落入地獄不滅的火中。
29092d006f	如果你一隻腳使你犯罪，就砍掉它！瘸著腿進入永生，勝過雙腳健全卻被扔進地獄。
29092f0072	如果你一隻眼睛使你犯罪，就剜掉它！獨眼進上帝的國，勝過雙目健全卻被扔進地獄。
2909300035	在那裡， 「『蟲不會死， 火不會滅。』
2909310033	「每個人都要被火煉，像被鹽醃一樣。
290932006f	鹽本是好的，但如果失去鹹味，怎能使它再鹹呢？你們裡面要有鹽，要彼此和睦。」
290a010075	耶穌離開那裡，來到猶太地區和約旦河東岸，人群又聚集到祂那裡。耶穌照常教導他們。
290a020051	一些法利賽人想試探耶穌，就來問祂：「男人可以休妻嗎？」
290a030036	耶穌反問道：「摩西怎麼吩咐你們的？」
290a040033	他們說：「摩西准許人寫休書休妻。」
290a050051	耶穌說：「摩西因為你們心裡剛硬，才給你們寫了這條誡命。
290a060036	太初創造時，『上帝造了男人和女人。』
290a070033	『因此，人要離開父母，與妻子結合，
290a08004e	二人成為一體。』這樣，夫妻不再是兩個人，而是一體了。
290a090030	因此，上帝配合的，人不可分開。」
290a0a0030	回到屋裡後，門徒追問耶穌這件事。
290a0b0051	耶穌說：「任何人休妻另娶，就是對妻子不忠，是犯通姦罪。
290a0c003f	同樣，妻子若離棄丈夫另嫁，也是犯通姦罪。」
290a0d004e	有人帶著小孩子來要讓耶穌為他們按手，門徒卻責備他們。
290a0e0087	耶穌看見後很生氣，對門徒說：「讓小孩子到我這裡來，不要阻止他們，因為上帝的國屬於這樣的人。
290a0f005d	我實在告訴你們，人若不像小孩子一樣接受上帝的國，絕不能進去。」
290a100039	於是，耶穌抱起小孩子，為他們按手祝福。
290a11007e	耶穌正要上路，有一個人跑來跪在祂跟前，問祂：「良善的老師，我該做什麼才能承受永生？」
290a12004b	耶穌說：「你為什麼稱我是良善的？只有上帝是良善的。
290a13007e	你知道『不可殺人，不可通姦，不可偷盜，不可作偽證，不可欺詐，要孝敬父母』這些誡命。」
290a14003c	那人說：「老師，我從小就遵行這些誡命。」
290a1500b4	耶穌望著他，心中愛他，便說：「你還差一件事，就是去變賣你所有的產業，送給窮人，你必有財寶存在天上，然後你還要來跟從我。」
290a16004e	那人聽了，臉色驟變，便沮喪地走了，因為他有許多產業。
290a17004e	耶穌環顧四周，對門徒說：「有錢人進上帝的國真難啊！」
290a180063	門徒聽了感到驚奇，耶穌便再次對他們說：「孩子們，進上帝的國真難啊！
290a19003f	駱駝穿過針眼比有錢人進上帝的國還容易呢！」
290a1a0045	門徒更加驚奇，便議論說：「這樣，誰能得救呢？」
290a1b0063	耶穌看著他們說：「對人而言，這不可能，但對上帝而言，凡事都可能。」
290a1c0045	彼得說：「你看，我們已經撇下一切來跟從你了。」
290a1d0081	耶穌說：「我實在告訴你們，任何人為了我和福音而撇下房屋、弟兄、姊妹、父母、兒女或田地，
290a1e0090	今世必在房屋、弟兄、姊妹、父母、兒女或田地方面獲得百倍的回報，來世必得永生。同時他也會受到迫害。
290a1f0042	然而，許多為首的將要殿後，殿後的將要為首。」
290a2000ca	在前往耶路撒冷的路上，耶穌走在眾人前面，門徒感到驚奇，其他跟隨的人也很害怕。 耶穌又把十二使徒叫到一旁，把自己將要遭遇的事告訴他們，說：
290a21008a	「看啊，我們現在前往耶路撒冷，人子將被交給祭司長和律法教師，他們要判祂死刑，把祂交給外族人。
290a220066	他們會嘲弄祂，向祂吐唾沫，鞭打祂，殺害祂。但是，三天之後祂必復活！」
290a23006c	西庇太的兩個兒子雅各和約翰上前對耶穌說：「老師，請你答應我們一個要求。」
290a240021	耶穌問：「什麼要求？」
290a250066	他們說：「在你的榮耀中，求你讓我們一個坐在你右邊，一個坐在你左邊。」
290a260081	耶穌說：「你們不知道自己在求什麼。我要喝的那杯，你們能喝嗎？我要受的洗，你們能受嗎？」
290a270079	他們說：「我們能。」 耶穌說：「我要喝的那杯，你們也要喝；我所受的洗，你們也要受。
290a280057	不過誰坐在我的左右不是我來定，而是為誰預備的，就讓誰坐。」
290a29003f	其他十個門徒聽見這事，很生雅各和約翰的氣。
290a2a007b	於是，耶穌把他們叫來，對他們說：「你們知道，外族人有君王統治他們，有大臣管理他們，
290a2b0054	但你們不可這樣。你們中間誰想當首領，誰就要做大家的僕人；
290a2c0030	誰想居首位，誰就要做大家的奴僕。
290a2d0072	因為就連人子也不是來受人服侍，而是來服侍人，並且犧牲性命，作許多人的贖價。」
290a2e00ae	耶穌和門徒來到耶利哥。當耶穌和門徒及一大群人出城的時候，有一個瞎眼的人坐在路旁乞討，他的名字叫巴底買，是底買的兒子。
290a2f0066	巴底買一聽說是拿撒勒人耶穌，就喊道：「大衛的後裔耶穌啊，可憐我吧！」
290a300072	許多人都責備他，叫他不要吵，但他卻更加大聲喊道：「大衛的後裔啊，可憐我吧！」
290a31007c	耶穌停下腳步，說：「叫他過來吧。」 他們就對那瞎眼的說：「好了，起來吧，祂叫你呢。」
290a320039	那人丟下外衣，跳了起來，走到耶穌面前。
290a330058	耶穌問他：「你要我為你做什麼？」 他說：「老師，我想看見。」
290a340066	耶穌說：「去吧！你的信心救了你。」他立刻得見光明，在路上跟從了耶穌。
290b010069	耶穌和門徒將近耶路撒冷，來到橄欖山的伯法其和伯大尼。耶穌派了兩個門徒，
290b020090	並囑咐說：「你們去前面的村莊，一進村就會看見一頭從來沒有人騎過的驢駒拴在那裡，你們把牠解開牽來。
290b030063	若有人問你們為什麼這樣做，就說，『主要用牠，很快會把牠送回來。』」
290b040063	他們就去了，果然看見有一頭驢駒拴在街道旁一戶人家的門外，就解開牠。
290b05004b	旁邊站著的幾個人就問他們：「你們解開驢駒幹什麼？」
290b060045	門徒依照耶穌的吩咐回答，那些人就讓他們牽走了。
290b070060	他們把驢駒牽到耶穌那裡，把自己的外衣搭在驢背上，耶穌就騎了上去。
290b080054	許多人把衣服鋪在路上，還有人將田間的樹枝砍下來鋪在路上。
290b090059	眾人前呼後擁，高喊道： 「和散那！」 「奉主名來的當受稱頌！」
290b0a006a	「那將要來臨的我祖大衛的國度當受稱頌！」 「和散那歸於至高之處的上帝！」
290b0b007e	耶穌進了耶路撒冷，來到聖殿，巡視各處。那時天色已晚，耶穌便和十二使徒出城前往伯大尼。
290b0c0036	第二天，他們離開伯大尼後，耶穌餓了。
290b0d00b7	祂遠遠看見一棵長滿葉子的無花果樹，就走過去看能否找到果子。到了樹下，卻什麼也找不到，只有葉子，因為當時不是收無花果的季節。
290b0e0063	祂對那棵樹說：「願今後無人再吃你的果子！」祂的門徒都聽見了這句話。
290b0f0090	他們來到耶路撒冷後，耶穌進入聖殿，趕走裡面做買賣的人，推翻兌換錢幣之人的桌子和賣鴿子之人的凳子，
290b100024	不准人抬著貨物穿過聖殿。
290b110081	祂教導他們說：「聖經上不是記載『我的殿必稱為萬民禱告的殿』嗎？你們竟把它變成了賊窩。」
290b12008a	祭司長和律法教師聽到這番話後，就策劃如何殺害耶穌，只是害怕祂，因為百姓都對祂的教導感到驚奇。
290b13002d	到了傍晚，耶穌和門徒去了城外。
290b140045	早上，他們經過那棵無花果樹，看見它連根都枯了。
290b150072	彼得想起昨天發生的事，就對耶穌說：「老師，你看！你咒詛的無花果樹已經枯了。」
290b16002d	耶穌說：「你們要對上帝有信心。
290b1700a2	我實在告訴你們，不論何人，只要有信心，毫不疑惑，就是對這座山說，『從這裡挪開，投進大海裡！』也必定為他成就。
290b180063	所以我告訴你們，你們無論禱告求什麼，只要相信已經得到了，就必得到。
290b19008a	你們站著禱告的時候，若想起有人得罪了你們，就要饒恕他。這樣，你們天上的父也會饒恕你們的過犯。
290b1a0054	你們如果不饒恕別人，你們天上的父也不會饒恕你們的過犯。」
290b1b0078	他們再次回到耶路撒冷。耶穌在聖殿裡行走的時候，祭司長、律法教師和長老上前質問祂：
290b1c003c	「你憑什麼權柄做這些事？誰授權給你了？」
290b1d0072	耶穌說：「我要問你們一個問題，你們回答了，我就告訴你們我憑什麼權柄做這些事。
290b1e004e	約翰的洗禮是從天上來的，還是從人間來的？請回答我！」
290b1f007b	他們彼此議論說：「如果我們說『是從天上來的』，祂一定會問，『那你們為什麼不信他？』
290b200072	但我們如果說『是從人間來的』，又怕觸怒百姓，因為他們都相信約翰真的是先知。」
290b21007b	於是，他們回答說：「我們不知道。」耶穌說：「我也不告訴你們我憑什麼權柄做這些事。」
290c0100c9	耶穌用比喻對他們說：「有人開墾了一個葡萄園，在四周圍上籬笆，又在園中挖了一個榨酒池，建了一座瞭望臺，然後把葡萄園租給佃戶，就出遠門了。
290c020054	「到了收穫的季節，園主派奴僕去佃戶那裡收取他的那份果實。
290c03003f	佃戶卻抓住奴僕，打了他一頓，使他空手而歸。
290c040066	「園主又派另一個奴僕去。這一次，佃戶不但把他打得頭破血流，還侮辱他。
290c050072	園主再派一個奴僕前往，他們卻把他殺掉了。園主後來派去的人不是挨打，就是被殺。
290c060060	最後只剩下園主的愛子，園主就派他去，以為那些佃戶會尊重他的兒子。
290c070072	可是佃戶卻彼此商量說，『這是產業繼承人。來吧！我們殺掉他，產業就歸我們了。』
290c080042	「於是他們抓住他，殺了他，把他扔到葡萄園外。
290c090057	那麼，園主會怎麼做？他必來殺掉這些佃戶，把葡萄園租給別人。
290c0a0040	聖經上說， 「『工匠丟棄的石頭已成了房角石。
290c0b005f	這是主的作為， 在我們看來奇妙莫測。』 你們沒有讀過這段經文嗎？」
290c0c0069	他們聽出這比喻是針對他們說的，就想逮捕耶穌，但又害怕百姓，只好離開了。
290c0d0075	後來，他們派了幾個法利賽人和希律黨人到耶穌那裡，企圖利用祂所說的話設計陷害祂。
290c0e00b7	他們上前對耶穌說：「老師，我們知道你誠實無偽，不徇情面，因為你不以貌取人，而是按真理傳上帝的道。那麼，向凱撒納稅對不對呢？
290c0f0084	我們該不該納呢？」耶穌看破他們的陰謀，就說：「你們為什麼試探我呢？拿一個銀幣來給我看。」
290c100079	他們就拿來一個銀幣，耶穌問他們：「上面刻的是誰的像和名號？」 他們說：「凱撒的。」
