2800000009	Mattheüs
41011000ae	Dezen zijn murmureerders die altijd klagen, die wandelen naar hun begeerlijkheden, en wier mond opgeblazen dingen spreekt, den menschen lof toebrengende om des voordeels wil.
4101110073	Doch gij, beminden, zijt gedachtig aan de woorden die voorzegd zijn van de apostelen van onzen Heer Jezus Christus,
410112007c	die ulieden zeiden dat er in den laatsten tijd spotters zullen zijn, die naar hun eigen goddelooze begeerlijkheden wandelen.
4101130055	Dezen zijn het die afscheidingen maken, zinnelijke menschen, den Geest niet hebbende.
4101140063	Doch gij, beminden, u zelven opbouwende in uw allerheiligst geloof, biddende in den Heiligen Geest,
410115007f	moet gij u zelven bewaren in de liefde Gods, verwachtende de barmhartigheid van onzen Heere Jezus Christus, ten eeuwigen leven.
4101160032	En hebt medelijden met degenen die onbeslist zijn.
410117008b	Redt anderen, hen uit het vuur trekkende; ontfermt u over nog anderen met vrees, hatende ook zelfs het kleed dat van het vleesch besmet is.
4101180079	Hem nu die machtig is u te bewaren van struikelen en u onbevlekt in vreugde te stellen voor het aangezicht zijner glorie,
41011900a8	den eenigen God, onzen Verlosser, door Jezus Christus onzen Heere, zij glorie, majesteit, heerschappij en macht door alle eeuwen, en nu en tot in alle eeuwigheid! Amen.
420000000a	Openbaring
42010100d2	De openbaring van Jezus Christus, die God Hem gegeven heeft, om aan zijn dienaars te toonen de dingen die haast geschieden moeten; en Hij maakte die bekend en zond die door zijn engel aan zijn dienaar Johannes,
4201020075	die van het woord Gods getuigenis heeft gegeven en van de getuigenis van Jezus Christus, van al wat hij gezien heeft.
4201030084	Zalig hij die leest en zij die hooren de woorden dezer profetie, en die bewaren hetgeen daarin geschreven is, want de tijd is nabij!
42010400b0	Johannes, aan de zeven gemeenten die in Asië zijn: genade zij ulieden en vrede van Hem die is, en die was, en die komende is, en van de zeven Geesten die voor zijn troon zijn,
42010500c7	en van Jezus Christus, den getrouwen Getuige, den Eerstgeborene der dooden en den Overste van de koningen der aarde! — Hem die ons bemint en die ons vrijgemaakt heeft uit onze zonden in zijn bloed,
420106009a	en die ons gemaakt heeft tot een koninkrijk, tot priesters voor God en zijn Vader, — Hem zij de glorie, en de heerschappij tot in alle eeuwigheid! Amen.
42010700a1	Ziet, Hij komt met de wolken, en alle oog zal Hem zien, ook degenen die Hem doorstoken hebben, en al de geslachten der aarde zullen over Hem weeklagen! Ja. Amen.
420108006a	Ik ben de Alfa en de Omega, — zegt de Heere God— die is, en die was, en die komende is, de Almachtige.
42010900d6	Ik Johannes— uw broeder en medegenoot in de verdrukking en in het koninkrijk en in de volharding die in Jezus is— ik was in het eiland genaamd Patmos, wegens het woord van God en wegens de getuigenis van Jezus.
42010a0072	Ik was in den geest op den dag des Heeren, en ik hoorde achter mij een groote stem als van een trompet, die zeide:
42010b00d8	Hetgeen gij ziet, schrijf dat in een boek, en zend het aan de zeven gemeenten, die in Asië zijn; naar Efesus, en naar Smyrna, en naar Pergamus, en naar Thyatira, en naar Sardis, en naar Filadelfia, en naar Laodicea.
42010c0076	En ik wendde mij om te zien de stem die met mij gesproken had. En toen ik mij omwendde zag ik zeven gouden kandelaren,
42010d009f	en in het midden der zeven kandelaren een die op een menschenzoon geleek, gekleed in een kleed tot aan de voeten, en omgord aan de borst met een gouden gordel;
42010e005b	zijn hoofd en haar waren wit als witte wol, als sneeuw, en zijn oogen als een vlamme vuurs;
42010f0083	en zijn voeten waren gelijk aan gloeiend koper, als gloeiend gemaakt in een oven, en zijn stem was als een geluid van vele wateren.
42011000b8	En in zijn rechterhand had Hij zeven sterren, en uit zijn mond was een scherp zwaard uitgaande, dat van beide kanten sneed, en zijn aangezicht was zooals de zon schijnt in haar kracht.
42011100a4	En toen ik Hem zag viel ik aan zijn voeten als een doode. En Hij leide zijn rechterhand op mij, zeggende: vrees niet, Ik ben de Eerste en de Laatste, en de Levende;
420112007a	en Ik ben dood geweest en zie, Ik ben levend tot in alle eeuwigheid; en Ik heb de sleutels van den dood en het doodenrijk.
420113004b	Schrijf dan wat gij gezien hebt, en wat is, en wat geschieden zal na dezen:
42011400d0	de verborgenheid der zeven sterren die gij gezien hebt in mijn rechterhand, en de zeven gouden kandelaren. De zeven sterren zijn engelen van de zeven gemeenten, en de zeven kandelaren zijn de zeven gemeenten.
42020100a8	Schrijf aan den engel der gemeente die in Efesus is: Dit zegt Hij die de zeven sterren in zijn rechterhand houdt, die wandelt in het midden der zeven gouden kandelaren:
42020200d0	Ik ken uw werken, en uw moeite, en uw volharding, en dat gij de kwaden niet kunt verdragen, en dat gij beproefd hebt degenen die zich zelven apostelen noemen, en het niet zijn, en hebt ze leugenaars bevonden;
4202030062	en gij hebt volharding, en om mijns Naams wil hebt gij verdragen, en gij zijt niet moede geworden.
420204003b	Maar Ik heb tegen u dat gij uw eerste liefde hebt verlaten.
42020500c1	Gedenk dan vanwaar gij zijt uitgevallen, en doe boetvaardigheid en uw eerste werken; want anders overval Ik u en Ik zal uw kandelaar uit zijn plaats wegnemen, als gij geen boetvaardigheid doet.
420206004c	Maar dit hebt gij, dat gij de werken der Nikolaïeten haat, die Ik ook haat.
42020700a4	Die een oor heeft, hij hoore wat de Geest zegt aan de gemeenten. Den overwinnaar, dien zal Ik te eten geven van den boom des levens, die in het paradijs van God is.
4202080076	En schrijf aan den engel der gemeente die in Smyrna is: Dit zegt de Eerste en de Laatste, die dood was en levend werd:
42020900b5	Ik ken uw verdrukking en armoede— doch gij zijt rijk— en de lastering van de zijde dergenen die zich zelven Joden noemen, en het niet zijn, maar een synagoge des Satans zijn ze.
42020a00fc	Vrees niets van hetgeen gij zult lijden. Zie, de duivel zal er uit ulieden in de gevangenis werpen, opdat gij beproefd zoudt worden, en gij zult een verdrukking hebben van tien dagen. Zijt getrouw tot den dood toe en Ik zal u geven de kroon des levens.
42020b008a	Die een oor heeft, hij hoore wat de Geest zegt aan de gemeenten. De overwinnaar, hij zal geenszins beschadigd worden van den tweeden dood.
42020c0080	En schrijf aan den engel der gemeente die in Pergamus is: Dit zegt Hij die het scherpe zwaard heeft dat van beide kanten snijdt:
42020d00e6	Ik weet waar gij woont, namelijk daar waar des Satans troon is. En gij bewaart mijn Naam en mijn geloof hebt gij niet verloochend in die dagen toen Antipas, mijn getrouwe getuige was, die gedood is bij ulieden waar de Satan woont.
42020e00e7	Doch Ik heb eenige dingen tegen u: dat gij er daar hebt die de leering vasthouden van Balaam, die aan Balak leerde om een aanstoot in den weg te werpen voor de kinderen Israels, om hen afgodsoffer te doen eten en te doen hoereeren.
42020f0050	Zoo hebt gij er ook die op gelijke wijze de leering der Nikolaïeten vasthouden.
420210006e	Doe boetvaardigheid! want anders overval Ik u haastig en ik zal tegen hen strijden met het zwaard mijns monds.
42021100f2	Die een oor heeft, hij hoore wat de Geest zegt tot de gemeenten. Den overwinnaar zal Ik geven van het verborgen Manna, en Ik zal hem geven een witten steen, en op dien steen een nieuwen naam geschreven, dien niemand kent dan die hem ontvangt.
42021200ae	En schrijf aan den engel der gemeente die in Thyatira is: Dat zegt de Zoon van God, die zijn oogen heeft als een vlamme vuurs, en wiens voeten gelijk zijn aan gloeiend koper:
4202130079	Ik weet uw werken, en liefde, en geloof, en bediening, en volharding, en uw laatste werken, die meer zijn dan de eersten.
42021400b1	Maar Ik heb tegen u dat gij de vrouw Jesabel verdraagt, die zich zelve een profetesse noemt en onderwijs geeft, en mijn dienaren vervoert om te hoereeren en afgodsoffer te eten.
420215007b	En Ik heb haar tijd gegeven om boetvaardigheid te doen, en zij heeft niet willen boetvaardigheid doen wegens haar hoererij.
4202160091	Zie, Ik werp haar te bed, en degenen die met haar gehoereerd hebben, tot groote verdrukking, zoo zij geen boetvaardigheid doen wegens hun werken.
42021700af	En haar kinderen zal Ik in den dood ombrengen en al de gemeenten zullen weten dat Ik het ben die nieren en harten doorzoek, en Ik zal ulieden geven een ieder naar zijn werken.
42021800c6	Doch Ik zeg tot ulieden, tot de anderen die in Thyatira zijn, zoovelen deze leering niet hebben, die de diepten des Satans niet kennen, zooals zij zeggen: Ik zal op ulieden geen anderen last leggen.
420219003d	Alleenlijk, wat gij hebt houdt dat vast, totdat Ik zal komen!
42021a0064	En den overwinnaar en die mijn werken bewaart tot ten einde, dien zal Ik macht geven over de volken,
42021b008f	en hij zal ze hoeden met een ijzeren roede, zooals de vaten tot gruis verbrijzeld worden, gelijk Ik zelf de macht van mijn Vader ontvangen heb,
42021c0022	en Ik zal hem de morgenster geven.
42021d0040	Die een oor heeft, hij hoore wat de Geest zegt tot de gemeenten.
42030100c3	En schrijf aan den engel der gemeente die in Sardis is: Dit zegt Hij die de zeven Geesten Gods heeft en de zeven sterren: Ik weet uw werken, dat gij den naam hebt dat gij leeft, en gij zijt dood.
4203020080	Zijt wakker, en versterk het overige dat gaat sterven; want ik heb uw werken niet vol gevonden voor het aangezicht van mijn God.
42030300d1	Gedenk dan hoe gij het ontvangen en gehoord hebt, en bewaar het, en doe boetvaardigheid. Indien gij dan niet zult waken, zal Ik komen als een dief, en gij zult geenszins weten in welke ure Ik u overvallen zal.
42030400a2	Maar eenige weinige namen hebt gij in Sardis, die hun kleederen niet besmet hebben, en die zullen met Mij wandelen in witte kleederen, omdat zij het waardig zijn.
42030500e3	De overwinnaar zal aldus in witte kleederen gekleed worden, en Ik zal zijn naam geenszins uitwisschen uit het boek des levens, en Ik zal zijn naam belijden voor het aangezicht mijns Vaders en voor het aangezicht zijner engelen.
4203060040	Die een oor heeft, hij hoore wat de Geest zegt tot de gemeenten.
42030700c6	En schrijf aan den engel der gemeente die in Filadelfia is: Dit zegt de Heilige, de Waarachtige, die den sleutel Davids heeft, die opendoet en niemand zal sluiten, en die sluit en niemand doet open.
42030800c1	Ik weet uw werken; zie, Ik heb voor uw aangezicht een geopende deur gegeven, die niemand kan sluiten; want gij hebt kleine kracht, en gij hebt mijn woord bewaard, en mijn Naam niet verloochend.
42030900e1	Zie, Ik geef er u uit de synagoge des Satans, van degenen die zich zelven zeggen Joden te zijn, en het niet zijn, maar liegen; zie, Ik zal hen doen komen en doen nederbuigen voor uw voeten, en zij zullen weten dat Ik u bemin.
42030a00b7	Omdat gij het woord mijner volharding bewaard hebt, zoo zal Ik ook u bewaren uit de ure der bekoring, die zal komen over de geheele aarde, om te bekoren degenen die op de aarde wonen.
42030b0044	Ik kom haastig! houd vast wat gij hebt, opdat niemand uw kroon neme!
42030c0126	Den overwinnaar zal Ik maken tot een pilaar in den tempel mijns Gods, en hij zal daar geenszins meer uitgaan: en Ik zal op hem schrijven den Naam mijns Gods, en den naam van de stad mijns Gods, van het nieuwe Jerusalem, dat nederdalende is uit den hemel van mijn God, en. ook mijn nieuwen Naam.
42030d0040	Die een oor heeft, hij hoore wat de Geest zegt tot de gemeenten.
42030e008d	En schrijf aan den engel der gemeente die in Laodicea is: Dit zegt de Amen, de getrouwe en waarachtige Getuige, het Begin der schepping Gods:
42030f0055	Ik weet uw werken, dat gij noch koud zijt noch heet. Och, dat gij koud waart of heet!
4203100054	Zoo dan, omdat gij lauw zijt, en noch heet noch koud, Ik zal u uit mijn mond spuwen.
420311009b	Want gij zegt: ik ben rijk en verrijkt, en ik heb aan niets gebrek; en gij weet niet dat gij zijt de ellendige en ongelukkige, en arme en blinde en naakte.
42031200dd	Ik raad u van Mij te koopen goud, dat door vuur beproefd is, opdat gij rijk wordt, en witte kleederen, opdat de schande uwer naaktheid bekleed en niet openbaar zij; en balsem om uw oogen te balsemen, opdat gij zien zoudt.
4203130053	Ik tuchtig en straf zoovelen als Ik bemin; zijt dan ijverig en doe boetvaardigheid.
420314009f	Zie, Ik sta bij de deur en Ik klop. Als iemand mijn stem hoort en de deur opendoet, dan zal Ik tot hem binnen komen en met hem maaltijd houden, en hij met Mij.
420315008d	Den overwinnaar, hem zal Ik geven te zitten met Mij in mijn troon, zooals Ik ook, heb overwonnen en gezeten ben met mijn Vader in zijn troon.
4203160040	Die een oor heeft, hij hoore wat de Geest zegt tot de gemeenten.
42040100cd	Na dezen zag ik, en zie, een geopende deur in den hemel. En de eerste stem die ik gehoord had als van een trompet, die sprak met mij, zeggende: Klim hier op en Ik zal u toonen wat na dezen geschieden moet!
4204020066	Terstond werd ik in den geest, en zie er was een troon gezet in den hemel, en Een zat er op den troon.
4204030082	En die daar zat was gelijk aan een jaspis–steen, en een sardins, en er was een regenboog rond den troon, gelijk aan een smaragd.
42040400a5	En rond den troon zag ik vier en twintig troonen, en op de troonen vier en twintig ouderlingen gezeten, gekleed in witte kleederen, en op hun hoofden gouden kroonen.
420405009b	En uit den troon gingen bliksemen, en stemmen, en donderslagen. En zeven fakkels van vuur waren brandende vóór den troon; die zijn de zeven Geesten Gods.
42040600a9	En vóór den troon was als een zee van glas, als kristal; en in het midden van den troon en rond den troon waren vier levende wezens, vol oogen van voren en van achter.
42040700e9	En het eerste levende wezen was gelijk aan een leeuw, en het tweede levende wezen gelijk aan een kalf, en het derde levende wezen had het aangezicht als van een mensch, en het vierde levende wezen was gelijk aan een vliegenden arend.
42040800f9	En de vier levende wezens, die ieder afzonderlijk zes vleugelen hadden, waren rondom en van binnen vol oogen; en dag en nacht hebben zij geen rust, zeggende: heilig, heilig, heilig, de Heere God, de Almachtige, die was, en die is, en die komende is!
4204090084	En als de levende wezens glorie en eer en dankzegging zullen geven aan Hem die op den troon zit, den Levende tot in alle eeuwigheid,
42040a00e1	dan zullen de vier en twintig ouderlingen nedervallen vóór dengene die op den troon zit, en zullen aanbidden den Levende tot in alle eeuwigheid, en zullen hun kroonen nederwerpen voor het aangezicht van den troon, zeggende:
42040b00b0	Waardig zijt Gij, onze Heer en God! om te aanvaarden de glorie, en de eere, en de kracht; want Gij hebt alle dingen geschapen, en door uw wil bestaan zij en zijn zij geschapen.
4205010088	En ik zag aan de rechterhand van dengene die op den troon zat een boek, beschreven van binnen en van achter, verzegeld met zeven zegels.
4205020086	En ik zag een sterken engel, die uitriep met een groote stem: wie is er waardig om dit boek open te doen en zijn zegelen los te maken?
4205030061	En niemand, in den hemel, of op de aarde, of onder de aarde, kon het boek opendoen of het inzien.
4205040061	En ik weende zeer, omdat niemand waardig bevonden was om het boek open te doen of het in te zien.
42050500b4	En een uit de ouderlingen zeide tot mij: ween niet! zie, de Leeuw die uit den stam van Juda is, de Spruite Davids, heeft overwonnen, om het boek open te doen en zijn zeven zegelen.
42050600ee	En ik zag in het midden des troons en der vier levende wezens, en in het midden der ouderlingen, een Lam staan als geslacht, dat zeven hoornen had en zeven oogen; deze zijn de zeven Geesten Gods, die zijn uitgezonden tot de geheele aarde.
420507004c	En het kwam en nam het boek uit de rechterhand van Hem die op den troon zat.
42050800e0	En als het dat boek genomen had, vielen de vier levende wezens en de vier en twintig ouderlingen voor het aangezicht van het Lam, hebbende ieder een harp en gouden schalen, vol van reukwerk, dat zijn de gebeden der heiligen.
42050900db	En zij zongen een nieuw lied, zeggende: Gij zijt waardig om het boek te nemen en zijn zegelen open te doen, want Gij zijt geslacht en hebt Gode gekocht door uw bloed, menschen uit alle geslacht en taal en volk en natie,
42050a006f	en Gij hebt hen voor onzen God gemaakt tot een koninkrijk en tot priesters, en zij zullen regeeren op de aarde.
42050b00b7	En ik zag en hoorde als een stem van vele engelen rondom den troon en de levende wezens en de ouderlingen, en hun getal was tien duizendmaal tien duizenden en duizenden van duizenden,
42050c00a6	zeggende met een groote stem: Waardig is het Lam dat geslacht is om te aanvaarden de macht, en rijkdom, en wijsheid, en kracht, en eerbied, en glorie, en dankzegging!
42050d010c	En alle schepsel dat in den hemel is, en op de aarde, en onder de aarde, en op de zee, en al wat daarin is, hoorde ik ook zeggen: aan Hem die op den troon zit, en aan het Lam, zij de dankzegging, en de eerbied, en de glorie, en de heerschappij, tot in alle eeuwigheid!
42050e0053	En de vier levende wezens zeiden: Amen! En de ouderlingen vielen neder en aanbaden.
4206010090	En ik zag dat het Lam een uit de zeven zegelen opendeed, en ik hoorde een uit de vier levende wezens spreken als met een donderstem: Kom en zie!
4206020094	En ik zag en zie, een wit paard, en die daarop zat had een boog; en hem werd een kroon gegeven, en hij ging uit als overwinnaar en om te overwinnen.
420603005f	En als het Lam het tweede zegel opendeed, hoorde ik het tweede levende wezen zeggen Kom en zie!
42060400d4	En er kwam een ander paard uit dat rossig was; en aan dengene die daarop zat werd de macht gegeven om den vrede van de aarde te nemen en opdat zij elkander zouden dooden, en aan hem werd een groot zwaard gegeven.
42060500b2	En als het Lam het derde zegel opendeed, hoorde ik het derde levende wezen zeggen: Kom en zie! En ik zag en zie, een zwart paard, en die daarop zat had een weegschaal in de hand.
42060600c9	En ik hoorde als een stem in het midden der vier levende wezens, die zeide: een maatje tarwe voor een penning, en drie maatjes gerst voor een penning; en de olie en den wijn moogt gij niet beschadigen!
420607006c	En als het Lam het vierde zegel opendeed, hoorde ik de stem van het vierde levende wezen zeggen: Kom en zie!
4206080112	En ik zag en zie, een vaal paard, en die daarop zat, zijn naam was de Dood, en het doodenrijk volgde met hem. En aan dezen werd macht gegeven over het vierde deel der aarde, om te dooden met het zwaard, en met den honger, en met den dood, en door de wilde beesten der aarde.
42060900a7	En toen het Lam het vijfde zegel opendeed, zag ik beneden onder den altaar de zielen dergenen die gedood waren om het woord Gods en om de getuigenis die zij behielden,
42060a00a5	en zij riepen met een groote stem, zeggende: Tot wanneer, o heilige en waarachtige Meester, oordeelt en wreekt Gij ons bloed niet, van degenen die op de aarde wonen?
42060b00ee	En aan ieder van hen werd een wit overkleed gegeven, en hun werd gezegd dat zij nog een korten tijd rustig moesten zijn, totdat ook hun mededienaars en hun broeders, die zouden gedood worden zooals ook zij, den loop zouden vervuld hebben.
42060c009e	En ik zag, toen het Lam het zesde zegel opendeed, en er werd een groote aardbeving; en de zon werd zwart als een haren zak, en de geheele maan werd als bloed,
42060d008e	en de sterren des hemels vielen op de aarde, zooals een vijgeboom die zijn onrijpe vijgen afwerpt als hij door een sterken wind geschud wordt;
42060e0071	en de hemel is verdwenen zooals een boek dat in een gerold is, en alle berg en eiland is uit zijn plaats bewogen!
42060f00bd	en de koningen der aarde, en de vorsten, en de legeroversten, en de rijken, en de machtigen, en alle dienstknecht en vrije, verborgen zich zelven in de spelonken en in de rotsen der bergen,
4206100093	en zeiden tot de bergen en tot de rotsen: valt op ons en verbergt ons van het aangezicht van Hem die op den troon zit en van de gramschap des Lams!
4206110043	Want de groote dag hunner gramschap is gekomen, en wie kan bestaan?
42070100be	En daarna zag ik vier engelen staan aan de vier hoeken der aarde, die de vier winden der aarde terug hielden, opdat er geen wind zou waaien op de aarde, noch op de zee, noch op eenigen boom.
42070200da	En ik zag een anderen engel opkomen van den opgang der zon, die het zegel van den levenden God had, en hij riep met een groote stem tot de vier engelen aan wie de macht gegeven was om de aarde en de zee te beschadigen,
4207030091	zeggende: beschadigt de aarde niet, noch de zee, noch de boomen, totdat wij de dienaren van onzen God zullen verzegeld hebben op hun voorhoofden!
4207040076	En ik hoorde het getal der verzegelden: honderd vier en veertig duizend, verzegelden uit elken stam der zonen Israels.
420705007d	Uit den stam van Juda twaalf duizend verzegelden; uit den stam van Ruben twaalf duizend; uit den stam van Gad twaalf duizend;
4207060077	Uit den stam van Aser twaalf duizend; uit den stam van Naftali twaalf duizend; uit den stam van Manasse twaalf duizend;
4207070078	uit den stam van Simeon twaalf duizend; uit den stam van Levi twaalf duizend; uit den stam van Issaschar twaalf duizend;
4207080085	uit den stam van Zebulon twaalf duizend; uit den stam van Jozef twaalf duizend; uit den stam van Benjamin twaalf duizend verzegelden.
42070900e0	Na dezen zag ik, en ziet, een groote menigte, die niemand tellen kon, uit alle volk, en stammen, en natiën en talen, staande voor den troon en voor het Lam, gekleed in witte overkleederen, en palmtakken waren in hun handen.
42070a006b	En zij riepen met een groote stem, zeggende: de verlossing zij onzen Gode die op den troon zit, en het Lam!
42070b009b	En al de engelen stonden rond den troon en rond de ouderlingen en de vier levende wezens, en zij vielen voor den troon op hun aangezichten en aanbaden God,
42070c00a5	zeggende: Amen! De lofzegging, en de glorie, en de wijsheid, en de dankzeging, en de eerbied, en de macht, en de sterkte, zij onzen God tot in alle eeuwigheid! Amen.
42070d008e	En een uit de ouderlingen antwoordde en zeide tot mij: dezen, die gekleed zijn in de witte kleederen, wie zijn ze, en vanwaar zijn ze gekomen?
42070e00c9	En ik zeide tot hem: heer, gij weet het! En hij zeide tot mij: dezen zijn het, die uit de groote verdrukking komen, en zij hebben hun overkleederen gewasschen, en die wit gemaakt in het bloed des Lams.
42070f008d	Daarom zijn zij voor den troon van God, en dienen Hem dag en nacht in zijn tempel, en die op den troon zit zal zijn tent over hen uitspannen.
4207100072	Zij zullen geen honger meer hebben noch dorst meer hebben, en ook zal op hen de zon niet vallen noch eenige hitte,
42071100ad	want het Lam, dat in het midden van den troon is, zal hen weiden en zal hen leiden langs fonteinen van wateren des levens; en God zal iederen traan van hun oogen afwisschen.
420801006a	En toen het Lam het zevende zegel opendeed, ontstond er een stilte in den hemel, van omtrent een half uur.
4208020066	En ik zag de zeven engelen die voor Gods aangezicht staan, en aan hen werden zeven trompetten gegeven.
42080300f1	En een ander engel kwam en stond hij den altaar, hebbende een gouden wierookvat; en aan hem werd veel reukwerk gegeven, opdat hij dit met de gebeden van alle heiligen zou leggen op den gouden altaar die voor het aangezicht van den troon was.
420804006e	En de rook van het reukwerk klom op met de gebeden der heiligen, uit de hand des engels, voor Gods aangezicht.
42080500aa	En de engel nam het wierookvat, en vulde dat van het vuur des altaars, en wierp het naar de aarde; en er geschiedden donderslagen en stemmen, en bliksemen, en aardbeving.
420806005a	En de zeven engelen, die de zeven trompetten hadden, maakten zich gereed om te trompetten.
42080700ef	En de eerste engel heeft getrompet; en er ontstond hagel en vuur, gemengd met bloed, en het werd naar de aarde geworpen; en het derde deel der aarde is verbrand, en het derde deel der boomen is verbrand, en al het groene kruid is verbrand.
420808008f	En de tweede engel heeft getrompet; en er werd als een groote berg brandende van vuur in de zee geworpen; en het derde deel der zee werd bloed,
4208090071	en het derde deel der schepselen, die leven hebben in de zee, stierven, en het derde deel der schepen is vergaan.
42080a00b1	En de derde engel heeft getrompet; en er viel uit den hemel een groote ster, brandende als een fakkel, en zij viel op het derde deel der rivieren en op de fonteinen der wateren.
42080b00aa	En de naam der ster wordt genoemd Alsem; en het derde deel der wateren werd tot alsem, en velen van de menschen stierven door de wateren, omdat zij bitter geworden waren.
42080c0106	En de vierde engel heeft getrompet; en het derde deel der zon werd geslagen, en het derde deel der maan, en het derde deel der sterren, opdat het derde deel van dezen zou verduisterd zijn, en dat het derde deel van den dag niet zou schijnen, en de nacht evenzoo.
42080d00e1	En ik zag en ik hoorde een arend vliegen door het midden des hemels, zeggende met een groote stem: wee, wee, wee, dengenen die op de aarde wonen vanwege de overige trompetstemmen van de drie engelen die nog zullen trompetten!
420901009a	En de vijfde engel heeft getrompet; en ik zag een ster uit den hemel gevallen naar de aarde, en aan haar werd de sleutel gegeven van den put des afgronds.
42090200ae	En zij deed den put des afgronds open; en er kwam rook op uit den afgrond, als rook van een grooten oven, en de zon en de lucht werden verduisterd door den rook des afgronds.
4209030081	En uit den rook kwamen sprinkhanen naar de aarde, en aan dezen werd macht gegeven, zooals de schorpioenen der aarde macht hebben.
42090400ba	En aan hen werd gezegd dat zij het gras der aarde niet zouden beschadigen, noch eenig groen, noch eenigen boom, maar wel de menschen die niet het zegel van God op hun voorhoofden hebben.
42090500b8	En aan hen werd de macht gegeven, niet om die te dooden maar om hen te pijnigen, vijf maanden lang; en hun pijniging was als de pijniging van een schorpioen, als hij een mensch steekt.
4209060091	En in die dagen zullen de menschen den dood zoeken en zullen dien niet vinden, en zij zullen begeeren te sterven en de dood zal van hen vluchten.
42090700c6	En de gedaante der sprinkhanen was gelijk aan paarden die toegerust zijn tot den oorlog, en op hun hoofden waren als kroonen gelijk van goud, en hun aangezichten waren als aangezichten van menschen;
420908004f	en zij hadden haren als haren van vrouwen, en hun tanden waren als van leeuwen;
42090900a2	en zij hadden harnassen als harnassen van ijzer, en het gedruisch hunner vleugelen was als een gedruisch van wagenen, van vele paarden die naar den oorlog loopen;
42090a0086	en zij hadden staarten gelijk aan schorpioenen en angels, en in hun staarten is hun macht om de menschen te beschadigen, vijf maanden.
42090b0085	Zij hadden tot hun koning den engel des afgronds, wiens naam in het Hebreeuwsch is Abaddon, en in het Grieksch is zijn naam Apollyon.
42090c0041	Het eene wee is voorbij; ziet, er komen nog twee weeën na dezen!
42090d007f	En de zesde engel heeft getrompet; en ik hoorde een stem uit de vier hoornen van den gouden altaar die voor Gods aangezicht is,
42090e0082	zeggende tot den zesden engel, die de trompet hield: maak de vier engelen los, die gebonden zijn bij de groote rivier den Eufraat!
42090f009c	En de vier engelen werden losgemaakt, die gereed waren tegen de ure en den dag en de maand en het jaar, opdat zij het derde deel der menschen zouden dooden.
420910006b	En het getal dergenen die te paard streden was tweemaal tienduizendmaal tienduizenden. Ik hoorde hun getal.
42091100f0	En aldus zag ik de paarden in het visioen, en degenen die daarop zaten, die vurige, en hemelsblauwe, en sulferkleurige harnassen hadden; en de koppen der paarden waren als koppen van leeuwen, en uit hun monden gingen vuur en rook en sulfer.
4209120082	Van deze drie plagen werd het derde deel der menschen gedood, door het vuur, en den rook en het sulfer, die uit hun bekken gingen.
4209130096	Want de macht der paarden is in hun mond en in hun staarten. Want hun staarten zijn gelijk aan slangen, en hebben koppen, en daarmede beschadigen zij.
4209140139	En de overigen van de menschen, die niet gedood waren in deze plagen, hebben geen boetvaardigheid gedaan over de werken hunner handen, opdat zij niet zouden nederbuigen voor de booze geesten, en de afgoden van goud en van zilver en van koper en van steen en van hout, die noch zien kunnen, noch hooren, noch gaan.
420915008d	En zij hebben geen boetvaardigheid gedaan over hun doodslagen, noch over hun tooverijen, noch over hun hoererijen, noch over hun diefstallen.
420a0100bc	En ik zag een anderen sterken engel uit den hemel afkomen, bekleed met een wolk, en de regenboog was op zijn hoofd, en zijn aangezicht was als de zon, en zijn voeten als kolommen van vuur;
420a02006e	en in zijn hand had hij een open boeksken. En hij zette zijn rechtervoet op de zee, en den linker op de aarde,
420a03007e	en hij riep met een groote stem gelijk een leeuw brult. En toen hij geroepen had lieten de zeven donderslagen hun stem hooren.
420a0400bc	En toen de zeven donderslagen gesproken hadden, wilde ik schreven. En ik hoorde een stem uit den hemel zeggende: verzegel wat de zeven donderslagen hebben gesproken en schrijf dat niet op!
420a050061	En de engel, dien ik zag staan op de zee en op de aarde, hief zijn rechterhand op naar den hemel,
420a0600bb	en hij zwoer bij den Levende tot in alle eeuwigheid, die den hemel en wat daarin is geschapen heeft, de aarde en wat daarin is, en de zee en wat daarin is, dat er geen tijd meer zijn zal,
420a0700c0	maar dat in de dagen der stem van den zevenden engel, als hij zal trompetten, alsdan de verborgenheid Gods zal vervuld worden, zooals Hij verkondigd heeft aan zijn eigen dienaren, de profeten.
420a0800b5	En de stem, die ik uit den hemel gehoord had, sprak wederom met mij en zeide: ga heen, neem het geopende boeksken dat in de hand is van den engel die op de zee en op de aarde staat!
420a0900c1	En ik ging tot den engel, zeggende tot hem: geef mij het boeksken. En hij zeide tot mij: neem het en eet het op! en het zal uw ingewand bitter maken maar in uw mond zal het zoet zijn als honig.
420a0a00a1	En ik nam het boeksken uit de hand des engels en ik at het op. En het was in mijn mond als honig zoo zoet, en als ik het opgegeten had werd mijn ingewand bitter.
420a0b006e	En hij zeide tot mij: gij zult wederom moeten profeteeren over vele volken, en natiën, en talen, en koningen.
420b0100a2	En aan mij werd een rietstok gegeven, gelijk een meetroede, en tot mij werd gezegd: sta op en meet den tempel Gods en den altaar, en degenen die daarin aanbidden!
420b0200ad	En het voorhof, dat buiten den tempel is, laat dat uit en meet dat niet, want dat is aan de volken gegeven, en de heilige stad zullen zij vertreden, twee en veertig maanden.
