0100000007	Genèse
1d022000c4	Alors quiconque invoquera le nom de l’Éternel sera sauvé; Le salut sera sur la montagne de Sion et à Jérusalem, Comme a dit l’Éternel, Et parmi les réchappés que l’Éternel appellera.
1d03010063	Car voici, en ces jours, en ce temps-là, Quand je ramènerai les captifs de Juda et de Jérusalem,
1d03020119	Je rassemblerai toutes les nations, Et je les ferai descendre dans la vallée de Josaphat; Là, j’entrerai en jugement avec elles, Au sujet de mon peuple, d’Israël, mon héritage, Qu’elles ont dispersé parmi les nations, Et au sujet de mon pays qu’elles se sont partagé.
1d03030090	Ils ont tiré mon peuple au sort; Ils ont donné le jeune garçon pour une prostituée, Ils ont vendu la jeune fille pour du vin, et ils ont bu.
1d030400c5	Que me voulez-vous, Tyr et Sidon, Et vous tous, districts des Philistins? Voulez-vous tirer vengeance de moi? Si vous voulez vous venger, Je ferai bien vite retomber votre vengeance sur vos têtes.
1d03050084	Vous avez pris mon argent et mon or; Et ce que j’avais de plus précieux et de plus beau, Vous l’avez emporté dans vos temples.
1d03060074	Vous avez vendu les enfants de Juda et de Jérusalem aux enfants de Javan, Afin de les éloigner de leur territoire.
1d03070072	Voici, je les ferai revenir du lieu où vous les avez vendus, Et je ferai retomber votre vengeance sur vos têtes.
1d03080085	Je vendrai vos fils et vos filles aux enfants de Juda, Et ils les vendront aux Sabéens, nation lointaine; Car l’Éternel a parlé.
1d03090097	Publiez ces choses parmi les nations! Préparez la guerre! Réveillez les héros! Qu’ils s’approchent, qu’ils montent, Tous les hommes de guerre!
1d030a0060	De vos hoyaux forgez des épées, Et de vos serpes des lances! Que le faible dise: Je suis fort!
1d030b0079	Hâtez-vous et venez, vous toutes, nations d’alentour, Et rassemblez-vous! Là, ô Éternel, fais descendre tes héros!
1d030c0093	Que les nations se réveillent, et qu’elles montent Vers la vallée de Josaphat! Car là je siégerai pour juger toutes les nations d’alentour.
1d030d0091	Saisissez la faucille, Car la moisson est mûre! Venez, foulez, Car le pressoir est plein, Les cuves regorgent! Car grande est leur méchanceté,
1d030e0087	C’est une multitude, une multitude, Dans la vallée du jugement; Car le jour de l’Éternel est proche, Dans la vallée du jugement.
1d030f004d	Le soleil et la lune s’obscurcissent, Et les étoiles retirent leur éclat.
1d031000c1	De Sion l’Éternel rugit, De Jérusalem il fait entendre sa voix; Les cieux et la terre sont ébranlés. Mais l’Éternel est un refuge pour son peuple, Un abri pour les enfants d’Israël.
1d0311009b	Et vous saurez que je suis l’Éternel, votre Dieu, Résidant à Sion, ma sainte montagne. Jérusalem sera sainte, Et les étrangers n’y passeront plus.
1d031200e3	En ce temps-là, le moût ruissellera des montagnes, Le lait coulera des collines, Et il y aura de l’eau dans tous les torrents de Juda; Une source sortira aussi de la maison de l’Éternel, Et arrosera la vallée de Sittim.
1d031300a4	L’Égypte sera dévastée, Édom sera réduit en désert, A cause des violences contre les enfants de Juda, Dont ils ont répandu le sang innocent dans leur pays.
1d03140050	Mais Juda sera toujours habité, Et Jérusalem, de génération en génération.
1d0315005d	Je vengerai leur sang que je n’ai point encore vengé, Et L’Éternel résidera dans Sion.
1e00000004	Amos
1e010100d1	Paroles d’Amos, l’un des bergers de Tekoa, visions qu’il eut sur Israël, au temps d’Ozias, roi de Juda, et au temps de Jéroboam, fils de Joas, roi d’Israël, deux ans avant le tremblement de terre.
1e010200a1	Il dit: De Sion l’Éternel rugit, De Jérusalem il fait entendre sa voix. Les pâturages des bergers sont dans le deuil, Et le sommet du Carmel est desséché.
1e010300a8	Ainsi parle l’Éternel: A cause de trois crimes de Damas, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont foulé Galaad sous des traîneaux de fer.
1e01040057	J’enverrai le feu dans la maison de Hazaël, Et il dévorera les palais de Ben-Hadad.
1e010500bf	Je briserai les verrous de Damas, J’exterminerai de Bikath-Aven les habitants, Et de Beth-Éden celui qui tient le sceptre; Et le peuple de Syrie sera mené captif à Kir, dit l’Éternel.
1e010600b1	Ainsi parle l’Éternel: A cause de trois crimes de Gaza, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont fait une foule de captifs pour les livrer à Édom.
1e01070049	J’enverrai le feu dans les murs de Gaza, Et il en dévorera les palais.
1e010800bb	J’exterminerai d’Asdod les habitants, Et d’Askalon celui qui tient le sceptre; Je tournerai ma main contre Ékron, Et le reste des Philistins périra, dit le Seigneur, l’Éternel.
1e010900d0	Ainsi parle l’Éternel: A cause de trois crimes de Tyr, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont livré à Édom une foule de captifs, Sans se souvenir de l’alliance fraternelle.
1e010a0048	J’enverrai le feu dans les murs de Tyr, Et il en dévorera les palais.
1e010b0113	Ainsi parle l’Éternel: A cause de trois crimes d’Édom, Même de quatre, je ne révoque pas mon arrêt, Parce qu’il a poursuivi ses frères avec l’épée, En étouffant sa compassion, Parce que sa colère déchire toujours, Et qu’il garde éternellement sa fureur.
1e010c0047	J’enverrai le feu dans Théman, Et il dévorera les palais de Botsra.
1e010d00de	Ainsi parle l’Éternel: A cause de trois crimes des enfants d’Ammon, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont fendu le ventre des femmes enceintes de Galaad, Afin d’agrandir leur territoire.
1e010e00ac	J’allumerai le feu dans les murs de Rabba, Et il en dévorera les palais, Au milieu des cris de guerre au jour du combat, Au milieu de l’ouragan au jour de la tempête;
1e010f0053	Et leur roi s’en ira en captivité, Lui, et ses chefs avec lui, dit l’Éternel.
1e020100a5	Ainsi parle l’Éternel: A cause de trois crimes de Moab, Même de quatre, je ne révoque pas mon arrêt, Parce qu’il a brûlé, calciné les os du roi d’Édom.
1e020200a6	J’enverrai le feu dans Moab, Et il dévorera les palais de Kerijoth; Et Moab périra au milieu du tumulte, Au milieu des cris de guerre et du bruit de la trompette.
1e0203005d	J’exterminerai de son sein le juge, Et je tuerai tous ses chefs avec lui, dit l’Éternel.
1e02040138	Ainsi parle l’Éternel: A cause de trois crimes de Juda, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont méprisé la loi de l’Éternel Et qu’ils n’ont pas gardé ses ordonnances, Parce qu’ils ont été égarés par les idoles mensongères Après lesquelles leurs pères ont marché.
1e02050048	J’enverrai le feu dans Juda, Et il dévorera les palais de Jérusalem.
1e020600cd	Ainsi parle l’Éternel: A cause de trois crimes d’Israël, Même de quatre, je ne révoque pas mon arrêt, Parce qu’ils ont vendu le juste pour de l’argent, Et le pauvre pour une paire de souliers.
1e020700c2	Ils aspirent à voir la poussière de la terre sur la tête des misérables, Et ils violent le droit des malheureux. Le fils et le père vont vers la même fille, Afin de profaner mon saint nom.
1e02080099	Ils s’étendent près de chaque autel sur des vêtements pris en gage, Et ils boivent dans la maison de leurs dieux le vin de ceux qu’ils condamnent.
1e020900bf	Et pourtant j’ai détruit devant eux les Amoréens, Dont la hauteur égalait celle des cèdres, Et la force celle des chênes; J’ai détruit leurs fruits en haut, Et leurs racines en bas.
1e020a00a2	Et pourtant je vous ai fait monter du pays d’Égypte, Et je vous ai conduits quarante ans dans le désert, Pour vous mettre en possession du pays des Amoréens.
1e020b009b	J’ai suscité parmi vos fils des prophètes, Et parmi vos jeunes hommes des naziréens. N’en est-il pas ainsi, enfants d’Israël? Dit l’Éternel…
1e020c0071	Et vous avez fait boire du vin aux naziréens! Et aux prophètes vous avez donné cet ordre: Ne prophétisez pas!
1e020d004d	Voici, je vous écraserai, Comme foule la terre un chariot chargé de gerbes.
1e020e0081	Celui qui est agile ne pourra fuir, Celui qui a de la force ne pourra s’en servir, Et l’homme vaillant ne sauvera pas sa vie;
1e020f0082	Celui qui manie l’arc ne résistera pas, Celui qui a les pieds légers n’échappera pas, Et le cavalier ne sauvera pas sa vie;
1e02100052	Le plus courageux des guerriers S’enfuira nu dans ce jour-là, dit l’Éternel.
1e03010095	Écoutez cette parole que l’Éternel prononce contre vous, enfants d’Israël, Contre toute la famille que j’ai fait monter du pays d’Égypte!
1e03020085	Je vous ai choisis, vous seuls parmi toutes les familles de la terre; C’est pourquoi je vous châtierai pour toutes vos iniquités.
1e0303003a	Deux hommes marchent-ils ensemble, Sans en être convenus?
1e0304008c	Le lion rugit-il dans la forêt, Sans avoir une proie? Le lionceau pousse-t-il des cris du fond de sa tanière, Sans avoir fait une capture?
1e03050098	L’oiseau tombe-t-il dans le filet qui est à terre, Sans qu’il y ait un piège? Le filet s’élève-t-il de terre, Sans qu’il y ait rien de pris?
1e030600a8	Sonne-t-on de la trompette dans une ville, Sans que le peuple soit dans l’épouvante? Arrive-t-il un malheur dans une ville, Sans que l’Éternel en soit l’auteur?
1e0307006d	Car le Seigneur, l’Éternel, ne fait rien Sans avoir révélé son secret à ses serviteurs les prophètes.
1e03080060	Le lion rugit: qui ne serait effrayé? Le Seigneur, l’Éternel, parle: qui ne prophétiserait?
1e030900eb	Faites retentir votre voix dans les palais d’Asdod Et dans les palais du pays d’Égypte, Et dites: Rassemblez-vous sur les montagnes de Samarie, Et voyez quelle immense confusion au milieu d’elle, Quelles violences dans son sein!
1e030a0084	Ils ne savent pas agir avec droiture, dit l’Éternel, Ils entassent dans leurs palais les produits de la violence et de la rapine.
1e030b008a	C’est pourquoi ainsi parle le Seigneur, l’Éternel: L’ennemi investira le pays, Il détruira ta force, Et tes palais seront pillés.
1e030c00e3	Ainsi parle l’Éternel: Comme le berger arrache de la gueule du lion Deux jambes ou un bout d’oreille, Ainsi se sauveront les enfants d’Israël qui sont assis dans Samarie A l’angle d’un lit et sur des tapis de damas.
1e030d0066	Écoutez, et déclarez ceci à la maison de Jacob! Dit le Seigneur, l’Éternel, le Dieu des armées.
1e030e009f	Le jour où je punirai Israël pour ses transgressions, Je frapperai sur les autels de Béthel; Les cornes de l’autel seront brisées, Et tomberont à terre.
1e030f0098	Je renverserai les maisons d’hiver et les maisons d’été; Les palais d’ivoire périront, Les maisons des grands disparaîtront, dit l’Éternel.
1e040100be	Écoutez cette parole, génisses de Basan qui êtes sur la montagne de Samarie, Vous qui opprimez les misérables, qui écrasez les indigents, Et qui dites à vos maris: Apportez, et buvons!
1e040200b3	Le Seigneur, l’Éternel, l’a juré par sa sainteté: Voici, les jours viendront pour vous Où l’on vous enlèvera avec des crochets, Et votre postérité avec des hameçons;
1e0403006f	Vous sortirez par les brèches, chacune devant soi, Et vous serez jetées dans la forteresse, dit l’Éternel.
1e0404008d	Allez à Béthel, et péchez! Allez à Guilgal, et péchez davantage! Offrez vos sacrifices chaque matin, Et vos dîmes tous les trois jours!
1e040500c1	Faites vos sacrifices d’actions de grâces avec du levain! Proclamez, publiez vos offrandes volontaires! Car c’est là ce que vous aimez, enfants d’Israël, Dit le Seigneur, l’Éternel.
1e040600ab	Et moi, je vous ai envoyé la famine dans toutes vos villes, Le manque de pain dans toutes vos demeures. Malgré cela, vous n’êtes pas revenus à moi, dit l’Éternel.
1e0407010c	Et moi, je vous ai refusé la pluie, Lorsqu’il y avait encore trois mois jusqu’à la moisson; J’ai fait pleuvoir sur une ville, Et je n’ai pas fait pleuvoir sur une autre ville; Un champ a reçu la pluie, Et un autre qui ne l’a pas reçue s’est desséché.
1e040800b2	Deux, trois villes sont allées vers une autre pour boire de l’eau, Et elles n’ont point apaisé leur soif. Malgré cela, vous n’êtes pas revenus à moi, dit l’Éternel.
1e040900df	Je vous ai frappés par la rouille et par la nielle; Vos nombreux jardins, vos vignes, vos figuiers et vos oliviers Ont été dévorés par les sauterelles. Malgré cela, vous n’êtes pas revenus à moi, dit l’Éternel.
1e040a0103	J’ai envoyé parmi vous la peste, comme en Égypte; J’ai tué vos jeunes gens par l’épée, Et laissé prendre vos chevaux; J’ai fait monter à vos narines l’infection de votre camp. Malgré cela, vous n’êtes pas revenus à moi, dit l’Éternel.
1e040b00c8	Je vous ai bouleversés, Comme Sodome et Gomorrhe, que Dieu détruisit; Et vous avez été comme un tison arraché de l’incendie. Malgré cela, vous n’êtes pas revenus à moi, dit l’Éternel…
1e040c00a6	C’est pourquoi je te traiterai de la même manière, Israël; Et puisque je te traiterai de la même manière, Prépare-toi à la rencontre de ton Dieu, ô Israël!
1e040d00f5	Car voici celui qui a formé les montagnes et créé le vent, Et qui fait connaître à l’homme ses pensées, Celui qui change l’aurore en ténèbres, Et qui marche sur les hauteurs de la terre: Son nom est l’Éternel, le Dieu des armées.
1e05010055	Écoutez cette parole, Cette complainte que je prononce sur vous, Maison d’Israël!
1e05020073	Elle est tombée, elle ne se relèvera plus, La vierge d’Israël; Elle est couchée par terre, Nul ne la relève.
1e050300d8	Car ainsi parle le Seigneur, l’Éternel: La ville qui mettait en campagne mille hommes N’en conservera que cent, Et celle qui mettait en campagne cent hommes N’en conservera que dix, pour la maison d’Israël.
1e05040054	Car ainsi parle l’Éternel à la maison d’Israël: Cherchez-moi, et vous vivrez!
1e0505007f	Ne cherchez pas Béthel, N’allez pas à Guilgal, Ne passez pas à Beer-Schéba. Car Guilgal sera captif, Et Béthel anéanti.
1e050600af	Cherchez l’Éternel, et vous vivrez! Craignez qu’il ne saisisse comme un feu la maison de Joseph, Et que ce feu ne la dévore, sans personne à Béthel pour l’éteindre,
1e0507004b	O vous qui changez le droit en absinthe, Et qui foulez à terre la justice!
1e050800da	Il a créé les Pléiades et l’Orion, Il change les ténèbres en aurore, Il obscurcit le jour pour en faire la nuit, Il appelle les eaux de la mer, Et les répand à la surface de la terre: L’Éternel est son nom.
1e05090050	Il fait lever la ruine sur les puissants, Et la ruine vient sur les forteresses.
1e050a0064	Ils haïssent celui qui les reprend à la porte, Et ils ont en horreur celui qui parle sincèrement.
1e050b0102	Aussi, parce que vous avez foulé le misérable, Et que vous avez pris de lui du blé en présent, Vous avez bâti des maisons en pierres de taille, Mais vous ne les habiterez pas; Vous avez planté d’excellentes vignes, Mais vous n’en boirez pas le vin.
1e050c00b1	Car, je le sais, vos crimes sont nombreux, Vos péchés se sont multipliés; Vous opprimez le juste, vous recevez des présents, Et vous violez à la porte le droit des pauvres.
1e050d0059	Voilà pourquoi, en des temps comme ceux-ci, le sage se tait; Car ces temps sont mauvais.
1e050e008d	Recherchez le bien et non le mal, afin que vous viviez, Et qu’ainsi l’Éternel, le Dieu des armées, soit avec vous, Comme vous le dites.
1e050f009b	Haïssez le mal et aimez le bien, Faites régner à la porte la justice; Et peut-être l’Éternel, le Dieu des armées, aura pitié Des restes de Joseph.
1e051000fb	C’est pourquoi ainsi parle l’Éternel, le Dieu des armées, le Seigneur; Dans toutes les places on se lamentera, Dans toutes les rues on dira: Hélas! Hélas! On appellera le laboureur au deuil, Et aux lamentations ceux qui disent des complaintes.
1e0511005f	Dans toutes les vignes on se lamentera, Lorsque je passerai au milieu de toi, dit l’Éternel.
1e05120086	Malheur à ceux qui désirent le jour de l’Éternel! Qu’attendez-vous du jour de l’Éternel? Il sera ténèbres et non lumière.
1e05130099	Vous serez comme un homme qui fuit devant un lion Et que rencontre un ours, Qui gagne sa demeure, appuie sa main sur la muraille, Et que mord un serpent.
1e05140068	Le jour de l’Éternel n’est-il pas ténèbres et non lumière? N’est-il pas obscur et sans éclat?
1e05150043	Je hais, je méprise vos fêtes, Je ne puis sentir vos assemblées.
1e051600b3	Quand vous me présentez des holocaustes et des offrandes, Je n’y prends aucun plaisir; Et les veaux engraissés que vous sacrifiez en actions de grâces, Je ne les regarde pas.
1e05170052	Éloigne de moi le bruit de tes cantiques; Je n’écoute pas le son de tes luths.
1e05180067	Mais que la droiture soit comme un courant d’eau, Et la justice comme un torrent qui jamais ne tarit.
1e05190072	M’avez-vous fait des sacrifices et des offrandes Pendant les quarante années du désert, maison d’Israël?…
1e051a007a	Emportez donc la tente de votre roi, Le piédestal de vos idoles, L’étoile de votre Dieu Que vous vous êtes fabriqué!
1e051b0067	Et je vous emmènerai captifs au-delà de Damas, Dit l’Éternel, dont le nom est le Dieu des armées.
1e060100b6	Malheur à ceux qui vivent tranquilles dans Sion, Et en sécurité sur la montagne de Samarie, A ces grands de la première des nations, Auprès desquels va la maison d’Israël!…
1e060200e4	Passez à Calné et voyez, Allez de là jusqu’à Hamath la grande, Et descendez à Gath chez les Philistins: Ces villes sont-elles plus prospères que vos deux royaumes, Et leur territoire est-il plus étendu que le vôtre?…
1e0603005c	Vous croyez éloigné le jour du malheur, Et vous faites approcher le règne de la violence.
1e06040097	Ils reposent sur des lits d’ivoire, Ils sont mollement étendus sur leurs couches; Ils mangent les agneaux du troupeau, Les veaux mis à l’engrais.
1e06050063	Ils extravaguent au son du luth, Ils se croient habiles comme David sur les instruments de musique.
1e06060087	Ils boivent le vin dans de larges coupes, Ils s’oignent avec la meilleure huile, Et ils ne s’attristent pas sur la ruine de Joseph!
1e0607006e	C’est pourquoi ils seront emmenés à la tête des captifs; Et les cris de joie de ces voluptueux cesseront.
1e060800d2	Le Seigneur, l’Éternel, l’a juré par lui-même; L’Éternel, le Dieu des armées, a dit: J’ai en horreur l’orgueil de Jacob, Et je hais ses palais; Je livrerai la ville et tout ce qu’elle renferme.
1e06090039	Et s’il reste dix hommes dans une maison, ils mourront.
1e060a0136	Lorsqu’un parent prendra un mort pour le brûler Et qu’il enlèvera de la maison les ossements, Il dira à celui qui est au fond de la maison: Y a-t-il encore quelqu’un avec toi? Et cet homme répondra: Personne… Et l’autre dira: Silence! Ce n’est pas le moment de prononcer le nom de l’Éternel.
1e060b006b	Car voici, l’Éternel ordonne: Il fera tomber en ruines la grande maison, Et en débris la petite maison.
1e060c00b0	Est-ce que les chevaux courent sur un rocher, Est-ce qu’on y laboure avec des bœufs, Pour que vous ayez changé la droiture en poison, Et le fruit de la justice en absinthe?
1e060d0085	Vous vous réjouissez de ce qui n’est que néant, Vous dites: N’est-ce pas par notre force Que nous avons acquis de la puissance?
1e060e00c8	C’est pourquoi voici, je ferai lever contre vous, maison d’Israël, Dit l’Éternel, le Dieu des armées, une nation Qui vous opprimera depuis l’entrée de Hamath Jusqu’au torrent du désert.
1e070100b4	Le Seigneur, l’Éternel, m’envoya cette vision. Voici, il formait des sauterelles, Au moment où le regain commençait à croître; C’était le regain après la coupe du roi.
1e0702009d	Et comme elles dévoraient entièrement l’herbe de la terre, Je dis: Seigneur Éternel, pardonne donc! Comment Jacob subsistera-t-il? Car il est si faible!
1e0703004a	L’Éternel se repentit de cela. Cela n’arrivera pas, dit l’Éternel.
1e070400b5	Le Seigneur, l’Éternel, m’envoya cette vision. Voici, le Seigneur, l’Éternel, proclamait le châtiment par le feu; Et le feu dévorait le grand abîme Et dévorait le champ.
1e0705005d	Je dis: Seigneur Éternel, arrête donc! Comment Jacob subsistera-t-il? Car il est si faible!
1e07060060	L’Éternel se repentit de cela. Cela non plus n’arrivera pas, dit le Seigneur, l’Éternel.
1e07070079	Il m’envoya cette vision. Voici, le Seigneur se tenait sur un mur tiré au cordeau, Et il avait un niveau dans la main.
1e070800aa	L’Éternel me dit: Que vois-tu, Amos? Je répondis: Un niveau. Et le Seigneur dit: Je mettrai le niveau au milieu de mon peuple d’Israël, Je ne lui pardonnerai plus;
1e07090099	Les hauts lieux d’Isaac seront ravagés; Les sanctuaires d’Israël seront détruits, Et je me lèverai contre la maison de Jéroboam avec l’épée.
1e070a00b5	Alors Amatsia, prêtre de Béthel, fit dire à Jéroboam, roi d’Israël: Amos conspire contre toi au milieu de la maison d’Israël; le pays ne peut supporter toutes ses paroles.
1e070b006c	Car voici ce que dit Amos: Jéroboam mourra par l’épée, et Israël sera emmené captif loin de son pays.
1e070c007a	Et Amatsia dit à Amos: Homme à visions, va-t-en, fuis dans le pays de Juda; manges-y ton pain, et là tu prophétiseras.
1e070d0070	Mais ne continue pas à prophétiser à Béthel, car c’est un sanctuaire du roi, et c’est une maison royale.
1e070e007b	Amos répondit à Amatsia: Je ne suis ni prophète, ni fils de prophète; mais je suis berger, et je cultive des sycomores.
1e070f0074	L’Éternel m’a pris derrière le troupeau, et l’Éternel m’a dit: Va, prophétise à mon peuple d’Israël.
1e07100089	Écoute maintenant la parole de l’Éternel, toi qui dis: Ne prophétise pas contre Israël, et ne parle pas contre la maison d’Isaac.
1e07110105	A cause de cela, voici ce que dit l’Éternel: Ta femme se prostituera dans la ville, tes fils et tes filles tomberont par l’épée, ton champ sera partagé au cordeau; et toi, tu mourras sur une terre impure, et Israël sera emmené captif loin de son pays.
1e0801005e	Le Seigneur, l’Éternel, m’envoya cette vision. Voici, c’était une corbeille de fruits.
1e080200a3	Il dit: Que vois-tu, Amos? Je répondis: Une corbeille de fruits. Et l’Éternel me dit: La fin est venue pour mon peuple d’Israël; Je ne lui pardonnerai plus.
1e08030096	En ce jour-là, les chants du palais seront des gémissements, Dit le Seigneur, l’Éternel; On jettera partout en silence une multitude de cadavres.
1e08040054	Écoutez ceci, vous qui dévorez l’indigent, Et qui ruinez les malheureux du pays!
1e080500f8	Vous dites: Quand la nouvelle lune sera-t-elle passée, Afin que nous vendions du blé? Quand finira le sabbat, afin que nous ouvrions les greniers? Nous diminuerons l’épha, nous augmenterons le prix, Nous falsifierons les balances pour tromper;
1e0806008b	Puis nous achèterons les misérables pour de l’argent, Et le pauvre pour une paire de souliers, Et nous vendrons la criblure du froment.
1e08070061	L’Éternel l’a juré par la gloire de Jacob: Je n’oublierai jamais aucune de leurs œuvres.
1e080800dc	Le pays, à cause d’elles, ne sera-t-il pas ébranlé, Et tous ses habitants ne seront-ils pas dans le deuil? Le pays montera tout entier comme le fleuve, Il se soulèvera et s’affaissera comme le fleuve d’Égypte.
1e0809007d	En ce jour-là, dit le Seigneur, l’Éternel, Je ferai coucher le soleil à midi, Et j’obscurcirai la terre en plein jour;
1e080a00fa	Je changerai vos fêtes en deuil, Et tous vos chants en lamentations, Je couvrirai de sacs tous les reins, Et je rendrai chauves toutes les têtes; Je mettrai le pays dans le deuil comme pour un fils unique, Et sa fin sera comme un jour d’amertume.
1e080b00d6	Voici, les jours viennent, dit le Seigneur, l’Éternel, Où j’enverrai la famine dans le pays, Non pas la disette du pain et la soif de l’eau, Mais la faim et la soif d’entendre les paroles de l’Éternel.
1e080c00ac	Ils seront alors errants d’une mer à l’autre, Du septentrion à l’orient, Ils iront çà et là pour chercher la parole de l’Éternel, Et ils ne la trouveront pas.
1e080d004b	En ce jour, les belles jeunes filles et les jeunes hommes mourront de soif.
1e080e0095	Ils jurent par le péché de Samarie, Et ils disent: Vive ton Dieu, Dan! Vive la voie de Beer-Schéba! Mais ils tomberont, et ne se relèveront plus.
1e0901010d	Je vis le Seigneur qui se tenait sur l’autel. Et il dit: Frappe les chapiteaux et que les seuils s’ébranlent, Et brise-les sur leurs têtes à tous! Je ferai périr le reste par l’épée. Aucun d’eux ne pourra se sauver en fuyant, Aucun d’eux n’échappera.
1e0902007e	S’ils pénètrent dans le séjour des morts, Ma main les en arrachera; S’ils montent aux cieux, Je les en ferai descendre.
1e090300b8	S’ils se cachent au sommet du Carmel, Je les y chercherai et je les saisirai; S’ils se dérobent à mes regards dans le fond de la mer, Là j’ordonnerai au serpent de les mordre.
1e090400ac	S’ils vont en captivité devant leurs ennemis, Là j’ordonnerai à l’épée de les faire périr; Je dirigerai contre eux mes regards Pour faire du mal et non du bien.
1e090500ce	Le Seigneur, l’Éternel des armées, touche la terre, et elle tremble, Et tous ses habitants sont dans le deuil; Elle monte tout entière comme le fleuve, Et elle s’affaisse comme le fleuve d’Égypte.
1e090600aa	Il a bâti sa demeure dans les cieux, Et fondé sa voûte sur la terre; Il appelle les eaux de la mer, Et les répand à la surface de la terre: L’Éternel est son nom.
1e090700d3	N’êtes-vous pas pour moi comme les enfants des Éthiopiens, Enfants d’Israël? Dit l’Éternel. N’ai-je pas fait sortir Israël du pays d’Égypte, Comme les Philistins de Caphtor et les Syriens de Kir?
1e090800c7	Voici, le Seigneur, l’Éternel, a les yeux sur le royaume coupable. Je le détruirai de dessus la face de la terre; Toutefois je ne détruirai pas entièrement la maison de Jacob, Dit l’Éternel.
1e090900ad	Car voici, je donnerai mes ordres, Et je secouerai la maison d’Israël parmi toutes les nations, Comme on secoue avec le crible, Sans qu’il tombe à terre un seul grain.
1e090a0080	Tous les pécheurs de mon peuple mourront par l’épée, Ceux qui disent: Le malheur n’approchera pas, ne nous atteindra pas.
1e090b00ae	En ce temps-là, je relèverai de sa chute la maison de David, J’en réparerai les brèches, j’en redresserai les ruines, Et je la rebâtirai comme elle était autrefois,
1e090c0097	Afin qu’ils possèdent le reste d’Édom et toutes les nations Sur lesquelles mon nom a été invoqué, Dit l’Éternel, qui accomplira ces choses.
1e090d00e2	Voici, les jours viennent, dit l’Éternel, Où le laboureur suivra de près le moissonneur, Et celui qui foule le raisin celui qui répand la semence, Où le moût ruissellera des montagnes Et coulera de toutes les collines.
1e090e00d6	Je ramènerai les captifs de mon peuple d’Israël; Ils rebâtiront les villes dévastées et les habiteront, Ils planteront des vignes et en boiront le vin, Ils établiront des jardins et en mangeront les fruits.
1e090f007b	Je les planterai dans leur pays, Et ils ne seront plus arrachés du pays que je leur ai donné, Dit L’Éternel, ton Dieu.
1f00000006	Abdias
1f010100f1	Prophétie d’Abdias. Ainsi parle le Seigneur, l’Éternel, sur Édom: Nous avons appris une nouvelle de la part de l’Éternel, Et un messager a été envoyé parmi les nations: Levez-vous, marchons contre Édom pour lui faire la guerre!
1f01020057	Voici, je te rendrai petit parmi les nations, Tu seras l’objet du plus grand mépris.
1f010300ae	L’orgueil de ton cœur t’a égaré, Toi qui habites le creux des rochers, Qui t’assieds sur les hauteurs, Et qui dis en toi-même: Qui me précipitera jusqu’à terre?
1f01040092	Quand tu placerais ton nid aussi haut que celui de l’aigle, Quand tu le placerais parmi les étoiles, Je t’en précipiterai, dit l’Éternel.
1f010500cd	Si des voleurs, des pillards, viennent de nuit chez toi, Comme te voilà dévasté! Mais enlèvent-ils plus qu’ils ne peuvent? Si des vendangeurs viennent chez toi, Ne laissent-ils rien à grappiller?…
1f01060043	Ah! Comme Ésaü est fouillé! Comme ses trésors sont découverts!
1f010700c4	Tous tes alliés t’ont chassé jusqu’à la frontière, Tes amis t’ont joué, t’ont dominé, Ceux qui mangeaient ton pain t’ont dressé des pièges, Et tu n’as pas su t’en apercevoir!
1f0108008a	N’est-ce pas en ce jour, dit l’Éternel, Que je ferai disparaître d’Édom les sages, Et de la montagne d’Ésaü l’intelligence?
1f01090079	Tes guerriers, ô Théman, seront dans l’épouvante, Car tous ceux de la montagne d’Ésaü périront dans le carnage.
1f010a0070	A cause de ta violence contre ton frère Jacob, Tu seras couvert de honte, Et tu seras exterminé pour toujours.
1f010b00de	Le jour où tu te tenais en face de lui, Le jour où des étrangers emmenaient captive son armée, Où des étrangers entraient dans ses portes, Et jetaient le sort sur Jérusalem, Toi aussi tu étais comme l’un d’eux.
1f010c00c1	Ne repais pas ta vue du jour de ton frère, du jour de son malheur, Ne te réjouis pas sur les enfants de Juda au jour de leur ruine, Et n’ouvre pas une grande bouche au jour de la détresse!
1f010d00b8	N’entre pas dans les portes de mon peuple au jour de sa ruine, Ne repais pas ta vue de son malheur au jour de sa ruine, Et ne porte pas la main sur ses richesses au jour de sa ruine!
1f010e0072	Ne te tiens pas au carrefour pour exterminer ses fuyards, Et ne livre pas ses réchappés au jour de la détresse!
1f010f0088	Car le jour de l’Éternel est proche, pour toutes les nations; Il te sera fait comme tu as fait, Tes œuvres retomberont sur ta tête.
1f011000b5	Car, comme vous avez bu sur ma montagne sainte, Ainsi toutes les nations boiront sans cesse; Elles boiront, elles avaleront, Et elles seront comme si elles n’avaient jamais été.
1f0111006e	Mais le salut sera sur la montagne de Sion, elle sera sainte, Et la maison de Jacob reprendra ses possessions.
1f011200dc	La maison de Jacob sera un feu, et la maison de Joseph une flamme; Mais la maison d’Ésaü sera du chaume, Qu’elles allumeront et consumeront; Et il ne restera rien de la maison d’Ésaü, Car l’Éternel a parlé.
