0100000006	Farawa
21071200a2	Wane ne Allah kamar ka, wanda yake yafe zunubi yă kuma gafarta laifofin mutanensa da suka ragu? Ba ka zama mai fushi har abada amma kana marmari ka nuna jinƙai.
2107130082	Za ka sāke jin tausayinmu; za ka tattake zunubanmu a ƙarƙashin sawunka ka kuma tura dukan kurakuranmu zuwa cikin zurfafan teku.
2107140085	Za ka yi wa Yaƙub aminci, ka kuma nuna jinƙai ga Ibrahim, kamar yadda ka yi alkawari da rantsuwa ga kakanninmu tun a kwanankin dā.
2200000005	Nahum
220101003f	Jawabi game da Ninebe a littafin wahayin Nahum, mutumin Elkosh.
22010200bf	Ubangiji Allah mai kishi ne, mai sakayya kuma. Ubangiji Allah mai kishi ne, mai ɗaukar fansa kuma. Ubangiji yakan ɗauki fansa a kan maƙiyansa, yakan ci gaba da fushi a kan abokan gābansa.
22010300b3	Ubangiji mai jinkirin fushi ne, mai iko duka kuma. Ubangiji ba zai bar masu zunubi babu horo ba. Hanyarsa tana cikin guguwa da kuma hadari, gizagizai kuwa su ne ƙurar ƙafafunsa.
2201040087	Yakan tsawata wa teku yă kuma busar da shi; yakan sa dukan koguna su kafe. Bashan da Karmel sun yi yaushi tohon Lebanon kuma ya koɗe.
2201050078	Duwatsu suna rawan jiki a gabansa tuddai kuma sun narke. Duniya da dukan abin da yake cikinta suna rawan jiki a gabansa.
220106008b	Wa zai iya tsaya wa fushinsa? Wa yake da ikon jimre wa zafin hasalarsa? Ana zuba fushinsa kamar wuta; aka kuma ragargaza duwatsu a gabansa.
220107005d	Ubangiji nagari ne, mafaka kuma a lokacin wahala. Yana kula da waɗanda suka dogara gare shi,
2201080059	amma da ambaliyar ruwa zai kawo Ninebe ga ƙarshe; zai fafari maƙiyansa zuwa cikin duhu.
2201090071	Dukan abin da suke ƙullawa game da Ubangiji zai kawo ga ƙarshe; wahala ba za tă sāke komowa ƙaro na biyu ba.
22010a0064	Za su sarƙafe a ƙaya, za su kuma bugu da ruwan inabinsu; za a laƙume su kamar busasshiyar ciyawa.
22010b0067	Daga cikinki, ya Ninebe wani ya fito wanda ya ƙulla wa Ubangiji makirci yana ba da mugayen shawarwari.
22010c00ab	Ga abin da Ubangiji ya ce, “Ko da yake sun yi tarayya, suna kuma da yawa, za a yanke su, a kawar a su. Ko da yake na ba ki azaba, ya Yahuda, ba zan ƙara ba ki azaba ba.
22010d0058	Yanzu zan karya karkiyarsu daga wuyanki in kuma tsittsinke sarƙar da suka ɗaura ki.”
22010e0103	Ubangiji ya ba da umarni game da ke Ninebe, “Ba za ki sami zuriyar da za tă ci gaba da sunanki ba. Zan rurrushe siffofin da kuka sassaƙa da kuma gumakan da kuka ƙera gumakan da suke a cikin haikalin allolinku. Zan shirya kabarinki, domin ke muguwa ce.”
22010f00d7	Duba, can a bisa duwatsu, ga ƙafafu mai kawo labari mai daɗi, wanda yake shelar salama! Ki yi bukukkuwanki, ya Yahuda, ki kuma cika wa’adodinki. Mugaye ba za su ƙara mamaye ki ba; domin za a hallaka su ƙaƙaf.
2202010074	Mai hari yana matsowa a kanki, Ninebe. Ki tsare mafaka, ki yi gadin hanya ki sha ɗamara ki tattaro dukan ƙarfinki!
220202007e	Ubangiji zai maido da darajar Yaƙub, kamar ta Isra’ila, ko da yake masu washewa sun washe su suka kuma lalatar da inabinsu.
22020300b1	Garkuwoyin sojojinsa ja wur ne; jarumawansa suna sanye da kaya masu ruwan jan garura. Ƙarafan kekunan yaƙi suna walƙiya a ranar da aka shirya su; ana kaɗa māsu da bantsoro.
2202040080	Kekunan yaƙi sun zabura a tituna, suna kai da kawowa a dandali. Suna walƙiya kamar tocila suna sheƙawa a guje kamar walƙiya.
2202050098	Ninebe ta tattara rundunarta, duk da haka sun yi ta tuntuɓe a kan hanyarsu. Sun ruga zuwa katangan birnin, sun sanya garkuwar kāriya a inda ya kamata.
2202060033	An buɗe ƙofofin rafuffukan sai wurin ya rurrushe.
2202070080	An umarta cewa birnin za tă tafi bauta, za a kuma yi gaba da su. Bayi’yan mata suna kuka kamar tattabaru suna buga ƙirjinsu.
220208007a	Ninebe tana kama da tafki, wanda ruwanta yana yoyo. Suna kuka suna cewa, “Ku tsaya! Ku tsaya,” amma ba wanda ya waiga.
2202090059	A washe azurfa; a washe zinariya; dukiyarsu ba ta da iyaka, arzikinsu kuma ba ya ƙarewa.
22020a007c	Ta zama wofi, an washe ta, an tuɓe ta! Zukata sun narke, gwiwoyi suna kaɗuwa, jikuna suna rawa, fuskoki duk sun kwantsare!
22020b0084	Ina kogon zakokin nan yake yanzu, inda suka ciyar da’ya’yansu, inda zaki da zakanya sukan shiga, da’ya’yansu, ba mai damunsu
22020c0099	Zaki ya kashe abin da ya ishe’ya’yansa ya kuma murɗe wuyan dabbobi ya cika wurin zamansa da abin da ya kama ya cika kogwanninsa da abin da ya kashe.
22020d00ee	“Ina gāba da ke,” in ji Ubangiji Maɗaukaki. “Zan ƙone kekunan yaƙinki, takobi kuma zai fafare’ya’yan zakokinki. Ba kuma zan bar miki namun jejin da za ki kashe a duniya ba. Ba kuwa za a ƙara jin muryar’yan saƙonki ba.”
2203010078	Kaiton birni mai zub da jini, wadda take cike da ƙarairayi, cike da ganima, wadda ba a rasa masu fāɗawa cikin wahala!
2203020058	Ku ji karar bulala da kwaramniyar ƙafafu, da sukuwar dawakai da girgizar kekunan yaƙi!
22030300ad	Mahaya dawakai sun kunno kai, takuba suna walƙiya, māsu kuma suna ƙyali; ga ɗumbun da aka kashe ga tsibin matattu, gawawwaki ba iyaka, mutane suna tuntuɓe da gawawwaki,
22030400b2	duk saboda yawan sha’awace-sha’awacen karuwa, mai daɗin baki, uwargidan maita, wadda ta ɓad da al’ummai ta wurin karuwancinta ta kuma ɓad da mutane ta wurin maitancinta.
2203050090	“Ina gāba da ke,” in ji Ubangiji Maɗaukaki. “Zan kware fatarinki a idonki. Zan nuna wa al’ummai tsiraicinki, masarautai kuma kunyarki.
220306004b	Zan watsa miki ƙazanta, in yi miki wulaƙanci in kuma mai da ke abin reni.
220307009b	Duk wanda ya gan ki zai gudu daga gare ki yana cewa, ‘Ninebe ta lalace, wa zai yi makoki domin ta?’ Ina zan sami wani wanda zai yi miki ta’aziyya?”
220308006f	Kin fi Tebes ne da take a bakin Nilu, da ruwa yake kewaye da ita? Rafi shi ne kāriyarta, ruwanta kuma katanga.
2203090056	Kush da kuma Masar su ne ƙarfinta marar iyaka; Fut da Libiya suna cikin mataimakanta.
22030a00d4	Duk da haka an tafi da ita ta kuma tafi bauta. Aka fyaɗa ƙanananta da ƙasa aka yayyanka su gunduwa-gunduwa a kan kowane titi. Aka jefa ƙuri’a a kan manyan mutanenta, aka daure manyan mutanenta da sarƙoƙi.
22030b004b	Ke ma za ki bugu, za ki ɓuya. Ki kuma nemi mafaka daga wurin abokin gāba.
22030c007d	Dukan kagarunki suna kama da itatuwan ɓaure da’ya’yansu da suka nuna. Da an girgiza, sai ɓaure su zuba a bakin mai sha.
22030d006b	Dubi mayaƙanki, duk mata ne! Ƙofofin ƙasarki a buɗe suke ga abokan gābanki, wuta ta cinye madogaransu.
22030e0080	Ki ja ruwa gama za a kewaye ki da yaƙi. Ki ƙara ƙarfin kagaranki! Ki kwaɓa laka, ki sassaƙa turmi ki gyara abin yin tubali!
22030f0094	A can wuta za tă cinye ki; takobi zai sare ki, kuma kamar fāra, za a cinye ki. Ki riɓaɓɓanya kamar fāra, ki riɓaɓɓanya kamar fārin ɗango!
2203100088	Kin ƙara yawan masu kasuwancinki har sai da suka fi taurarin sama. Amma kamar fāra sun cinye ƙasar sa’an nan suka tashi, suka tafi.
22031100dc	Masu tsaronki suna kama da fāri ɗango, shugabanninki sun yi cincirindo kamar fārin ɗango da suka sauka a kan bango a rana mai sanyi, amma da rana ta fito, duk za su tashi su tafi, ba kuma wanda ya san inda suka nufa.
2203120093	Ya sarkin Assuriya, makiyayanka sun yi barci; manyan mutanenka sun kwanta su huta. An watsar da mutanenka a cikin duwatsu, ba wanda zai tattaro su.
22031300ad	Ba abin da zai warkar da rauninka; rauninka ya yi muni. Duk wanda ya ji labarinka zai tafa hannuwansa saboda farin cikin fāɗuwarka, gama wane ne bai ji jiki a hannunka ba?
2300000008	Habakkuk
2301010024	Saƙon da annabi Habakkuk ya karɓa.
230102007d	Har yaushe, ya Ubangiji, zan yi kukan neman taimako, amma ka ƙi ji? Ina kuka a gare ka saboda zalunci amma ba ka ce ufam ba.
23010300a5	Me ya sa ka bari ina ta kallon rashin gaskiya? Me ya sa kake barin abin da ba daidai ba? Hallaka da tashin hankali suna a gabana; ga rashin jituwa da faɗa ko’ina.
2301040073	Saboda haka ba a bin doka, shari’a kuma ba ta aiki. Mugaye sun kewaye masu adalci don a hana gaskiya tă yi aiki.
2301050082	“Ka dubi al’ummai, ka gani, ka sha mamaki. Ga shi zan yi wani abu a kwanakinka, wanda ko ma an faɗa maka ba za ka gaskata ba.
23010600b0	Zan tā da Babiloniyawa, waɗannan marasa hankali da kuma marasa tausayi; masu gajeren haƙuri, waɗanda suke ratsa ko’ina a duniya don su ƙwace wuraren zaman da ba nasu ba.
230107004c	Suna da bantsoro da firgitarwa; dokoki da ƙa’idodinsu ne kawai suka sani.
23010800be	Dawakansu sun fi damisoshi sauri, sun fi kyarketan yamma zafin rai. Mahayansu suna zuwa a guje; mahayansu daga nesa suka fito. Suna firiya kamar ungulu mai sauka da gaggawa don yă ci mushe;
2301090070	duk sukan zo da nufin tā-da-na-zaune-tsaye. Ana jin tsoronsu tun ma kafin su iso suna tattara bayi kamar yashi.
23010a009d	Sukan yi wa sarakuna ba’a su kuma rena masu mulki. Sukan yi wa dukan birane masu mafaka dariya; sukan tara ƙasa su hau, su cinye abokan gābansu da yaƙi.
23010b0065	Sa’an nan su wuce da sauri kamar iska, mutane ne masu laifi, waɗanda ƙarfinsu shi ne allahnsu.”
23010c00aa	Ya Ubangiji, ba tun fil azal kake ba? Ya Allahna, Mai Tsarkina, ba za mu mutu ba. Ya Ubangiji ka sanya su su tabbatar da hukunci; Ya Dutse, ka naɗa su don su yi hukunci.
23010d00ec	Idanunka masu tsarki ne da suka fi gaban duban mugunta; ba ka amince da abin da ke ba daidai ba. To, don me ka ƙyale munafukai suna cin karensu ba babbaka? Me ya sa kake shiru sa’ad da mugaye suke haɗiye adalai da suka fi su adalci?
23010e004a	Ka mai da maza kamar kifin teku, kamar halittun tekun da ba su da shugaba.
23010f009c	Mugu abokin gāba yakan kama su duka da ƙugiya, yă jawo su waje da abin kamun kifinsa, yă tattara su cikin ragarsa, ta haka yakan yi murna da farin ciki.
23011000bb	Saboda haka yakan yi hadaya wa abin kamun kifinsa yă kuma ƙona turare wa ragarsa, domin ta wurin abin kamun kifinsa ne yake yin rayuwar jin daɗi yă kuma zaɓi irin abincin da yake so.
2301110052	Zai ci gaba da juye abin kamun kifinsu ke nan, suna hallaka al’ummai ba tausayi?
2302010084	Zan tsaya wurin tsarona in kuma zauna a kan katanga; zan jira in ga abin da zai ce mini, da kuma wace amsa zan bayar ga wannan kuka.
230202008a	Sa’an nan Ubangiji ya amsa ya ce, “Ka rubuta wannan ru’uya ka bayyana ta a fili a kan alluna don mai shela yă ruga da ita, yă kai.
23020300b3	Gama ru’uyar tana jiran ƙayyadadden lokaci; tana zancen ƙarshe kuma ba za tă zama ƙarya ba. Ko da ka ga kamar tana jinkiri, ka jira ta; lalle za tă zo, ba za tă makara ba.
230204007a	“Duba, abokin gāba ya cika da ɗaga kai; sha’awarsa ba daidai ba ce, amma mai adalci zai rayu ta wurin bangaskiyarsa,
23020500df	ba shakka, ruwan inabi ya yaudare shi; yana fariya kuma ba ya hutu. Domin shi mai haɗama ne kamar kabari kuma kamar mutuwa, ba ya ƙoshi; yakan tattara dukan al’ummai wa kansa yana kuma kama dukan mutane su zama kamammu.
23020600d8	“Dukansu ba za su yi masa tsiya, suna yin masa ba’a da dariya ba, suna cewa, “‘Kaito ga wannan wanda ya tara wa kansa kayan sata ya kuma wadatar da kansa da kayan ƙwace! Har yaushe wannan abu zai ci gaba?’
2302070078	Masu binka bashi ba za su taso maka nan da nan ba? Ba za su farka su sa ka fargaba ba? Ta haka ka zama ganima a gare su.
23020800a5	Domin ka washe al’ummai masu yawa, mutanen da suka rage za su washe ka. Domin ka zub da jinin mutane; ka hallaka ƙasashe, da birane, da kuma kowa da yake cikinsu.
2302090075	“Kaito ga wanda ya gina masarautarsa da ƙazamar riba don yă kafa sheƙarsa can bisa, don yă tsere wa zama kango!
23020a0059	Ka ƙulla lalacin mutane masu yawa, ta haka ka kunyatar da gidanka ka kuma hallaka ranka.
23020b0042	Duwatsun katanga za su yi kuka, ginshiƙan katako kuma za su amsa.
23020c005e	“Kaiton mutumin da ya gina birni da jinin da ya zubar ya kuma kafa gari ta wurin mugun aiki!
23020d0087	Ba Ubangiji Maɗaukaki ne ya ƙudura cewa wahalar mutane ta zama mai kawai don wuta ba, cewa al’ummai su gajiyar da kansu a banza ba?
23020e0051	Gama duniya za tă cika da sanin ɗaukakar Ubangiji, yadda ruwaye suka rufe teku.
23020f0083	“Kaito wanda ya ba wa maƙwabtansa abin sha, yana ta zubawa daga salkan ruwan inabi har sai sun bugu, don dai yă ga tsiraicinsu.
23021000c1	Za ka cika da kunya a maimakon ɗaukaka. Yanzu lokacinka ne! Kai ma ka sha, a kuma tone asirinka! Gama kwaf na hannun daman Ubangiji yana zuwa kewaye da kai, abin kunya kuma zai rufe darajarka.
23021100c3	Ɓarnar da ka yi wa Lebanon zai komo kanka, kuma hallakar dabbobin da ka yi zai sa dabbobi su tsorata ka. Gama ka zub da jinin mutum; ka hallaka ƙasashe, da birane, da kuma kowa da yake cikinsu.
23021200a2	“Ina amfanin gunki da mutum ne ya sassaƙa? Ko siffar da take koyar da ƙarya? Gama wanda ya yi shi yana dogara ne ga halittarsa; ya yi gumakan da ba sa magana.
23021300a1	Kaito wanda ya ce da katako, ‘Rayu!’ Ko kuwa dutse marar rai, ‘Farka!’ Zai iya bishewa ne? An dalaye shi da zinariya da azurfa; ba numfashi a cikinsa.”
230214005b	Amma Ubangiji yana a cikin haikalinsa mai tsarki; bari dukan duniya tă yi shiru a gabansa.
230301002b	Addu’ar annabi Habakkuk. A kan shigiyont.
23030200be	Ya Ubangiji, na ji irin shaharar da ka yi; na yi al’ajabi game da ayyukanka, ya Ubangiji. Ka maimaita su a kwanakinmu, ka sanar da su a lokacinmu; ka yi jinƙai ko a lokacin da kake fushi.
2303030079	Allah ya zo daga Teman, Mai Tsarkin nan daga Dutsen Faran. (Sela) Ɗaukakarsa ta rufe sammai yabonsa kuma ya cika duniya.
2303040061	Darajarsa ta yi kamar fitowar rana; ƙyalƙyali ya wulga daga hannunsa, inda ikonsa yake a ɓoye.
2303050032	Annoba ta sha gabansa; cuta kuma tana bin bayansa.
23030600b2	Ya tsaya, ya kuwa girgiza duniya; ya duba, sai ya sa al’ummai suka yi rawan jiki. Tsofaffin duwatsu sun wargaje daɗaɗɗun tuddai kuma suka rurrushe. Hanyoyinsa dawwammamu ne.
2303070044	Na ga tentin Kushan cikin azaba; wuraren zaman Midiyan cikin damuwa.
23030800a4	Ka ji haushin koguna ne, ya Ubangiji? Ko kuwa ka hasala da rafuffuka ne? Ko ka yi fushi da teku ne sa’ad da ka hau dawakanka da kuma kekunan yaƙinka masu nasara?
2303090053	Ka ja bakanka, ka nemi a ba ka kibiyoyi masu yawa. (Sela) Ka raba duniya da koguna;
23030a0082	duwatsu sun gan ka sai suka ƙame. Ruwaye masu hauka sun yi ta fantsamawa; zurfafa suka yi ruri suka tā da raƙuman ruwansu sama.
23030b0072	Rana da wata suka tsaya cik a sammai da ganin kibiyoyinka masu wucewa fyu, da ganin hasken māshinka mai walƙiya.
23030c0042	Cikin hasala ka ratsa duniya cikin fushi kuma ka tattake ƙasashe.
23030d0083	Ka fito don ka fanshi mutanenka, don ceci shafaffenka. Ka ragargaza shugaban ƙasar mugaye, ka tuɓe shi daga kai har ƙafa. (Sela)
23030e0097	Da māshinsa ka soki kansa sa’ad da jarumawansa suka fito don su tarwatse mu, suna farin ciki sai ka ce masu shirin cinye matalautan da suke a ɓoye.
23030f0037	Ka tattake teku da dawakanka, kana kaɗa manyan ruwaye.
23031000d4	Na ji sai zuciyata ta buga, leɓunana sun yi rawa da jin murya; ƙasusuwana suka ruɓe, ƙafafuna kuma sun yi rawa. Duk da haka zan jira da haƙuri ga ranar bala’i ta zo a kan al’umman nan mai kawo mana hari.
23031100ca	Ko da yake itace ɓaure bai tohu ba, ba kuma’ya’ya a kuringar inabi, ko da yake zaitun bai ba da amfani ba, gonaki kuma ba su ba da abinci ba, ko da yake babu tumaki a garke, ba kuma shanu a turaku,
230312004c	duk da haka zan yi farin ciki da Ubangiji, zan yi murna da Allah Mai Cetona.
23031300b9	Ubangiji Mai Iko Duka shi ne ƙarfina; yakan mai da ƙafafuna kamar na barewa, yakan sa in yi tafiya a wurare masu tsayi. Domin mai bi da kaɗe-kaɗe. A kan kayan kiɗi masu tsirkiyata.
2400000008	Zefaniya
2401010087	Maganar Ubangiji da ta zo wa Zefaniya ɗan Kushi, ɗan Gedaliya, ɗan Amariya, ɗan Hezekiya, a zamanin Yosiya ɗan Amon sarkin Yahuda.
2401020037	“Zan hallaka kome a fuskar duniya,” in ji Ubangiji.
24010300cb	“Zan hallaka mutane da dabbobi; zan kuma hallaka tsuntsayen sama da kifayen teku, da gumakan da suke sa mugaye su yi tuntuɓe.” “Sa’ad da zan kawar da mutum daga fuskar duniya,” in ji Ubangiji.
24010400aa	“Zan miƙa hannuna gāba da Yahuda da kuma dukan mazaunan Urushalima. Zan datse raguwar Ba’al daga wannan wuri, da sunayen firistocin gumaka da na marasa sanin Allah,
24010500ac	waɗanda suka rusuna a kan rufin ɗaki don su yi sujada ga rundunar taurari. Waɗanda suka rusuna suka kuma yi rantsuwa da sunan Ubangiji suke kuma rantsuwa da sunan Molek.
2401060056	Waɗanda suka juya daga bin Ubangiji, ba sa kuma neman Ubangiji ko su nemi nufinsa.”
240107008b	Ku yi shiru a gaban Ubangiji Mai Iko Duka, gama ranar Ubangiji ta yi kusa. Ubangiji ya shirya hadaya; ya kuma tsarkake waɗanda ya gayyato.
2401080082	“A ranar hadayar Ubangiji zan hukunta sarakuna da kuma’ya’yan sarakuna da duk waɗanda suke sanye da rigunan ƙasashen waje.
2401090083	A wannan rana zan hukunta dukan waɗanda suke kauce taka madogarar ƙofa, waɗanda suke cika haikalin allolinsu da rikici da ruɗu.
24010a0087	“A wannan rana,” in ji Ubangiji, “Za a ji kuka daga Ƙofar Kifi, kururuwa daga Sabon Mazauni, da kuma amo mai ƙarfi daga tuddai.
24010b008b	Ku yi kururuwa, ku da kuke zaune a yankin kasuwa; za a hallaka dukan’yan kasuwanku, dukan waɗanda suke kasuwanci da azurfa za su lalace.
24010c00e2	A wannan lokaci zan bincike Urushalima da fitilu in kuma hukunta waɗanda ba su kula ba, waɗanda suke kamar ruwan inabin da aka bar a ƙasan tukunya, waɗanda suke tsammani, ‘Ubangiji ba zai yi kome ba nagari ko mummuna.’
24010d008f	Za a washe dukiyarsu, a rurrushe gidajensu. Za su gina gidaje amma ba za su zauna a ciki ba; za su shuka inabi amma ba za su sha ruwansa ba.”
24010e0096	Babbar ranar Ubangiji ta yi kusa, ta yi kusa kuma tana zuwa da sauri. Ku saurara! Kukan ranar Ubangiji za tă yi zafi, za a ji kururuwan jarumi a can.
24010f00a3	Ranan nan za tă zama ranar fushi, rana ce ta baƙin ciki da azaba, rana ce ta tashin hankali da lalacewa, ranar duhu baƙi ƙirin, ranar gizagizai da baƙin duhu,
2401100062	rana ce ta busa ƙaho da kururuwar yaƙi gāba da birane masu mafaka, da kuma kusurwar hasumiyoyi.
24011100ab	“Zan kawo baƙin ciki a kan mutane za su kuma yi tafiya kamar makafi, domin sun yi wa Ubangiji zunubi. Za a zubar da jininsu kamar ƙura kayan cikinsu kuma kamar najasa.
24011200b6	Azurfarsu ko zinariyarsu ba za su iya cetonsu ba a ranar fushin Ubangiji.” A cikin zafin kishinsa za a hallaka dukan duniya gama zai kawo ƙarshen dukan mazaunan duniya nan da nan.
2402010034	Ku tattaru, ku tattaru, Ya ku al’umma marar kunya,
24020200b2	kafin ƙayyadadden lokacin nan yă zo ranan nan kuma ta share ku kamar ƙaiƙayi kuma kafin fushi mai tsanani na Ubangiji yă auko muku, kafin ranar fushin Ubangiji ta auko muku.
24020300a6	Ku nemi Ubangiji, dukanku ƙasashe masu tawali’u, ku da kuke yin abin da ya umarta. Ku nemi adalci da tawali’u; mai yiwuwa ku sami mafaka a ranar fushin Ubangiji.
240204006d	Za a yashe Gaza a kuma bar Ashkelon kango. Da tsakar rana Ashdod za tă zama babu kowa a kuma tumɓuke Ekron.
24020500bc	Taku ta ƙare ku da kuke zama a bakin teku, Ya ku mutanen Keretawa; maganar Ubangiji tana gāba da ke, Ya ke Kan’ana, ƙasar Filistiyawa. “Zan hallaka ki kuma babu abin da zai rage.”
2402060069	Ƙasar da take a bakin teku, inda Keretawa suke zaune, za tă zama wurin da makiyaya da ta garken tumaki.
24020700b1	Za tă zama mallakar raguwar gidan Yahuda; a can za su sami wurin kiwo. Da yamma za su kwanta a gidajen Ashkelon. Ubangiji Allahnsu zai lura da su; zai maido musu da martabarsu.
2402080081	“Na ji irin zagin da Mowab take yi, da kuma ba’ar Ammonawa, waɗanda suka zagi mutanena suna kuma yi barazana a kan ƙasarsu.
240209013a	Saboda haka, muddin ina raye,” in ji Ubangiji Maɗaukaki, Allah na Isra’ila, “tabbatacce Mowab za tă zama kamar Sodom, Ammonawa kuma kamar Gomorra, ƙasa mai ciyayi da rammukan gishiri, ƙasa marar amfani har abada. Raguwar mutanena za su washe su; waɗanda suka rage na al’ummata za su gāda ƙasarsu.”
24020a0070	Wannan ne zai zama sakamakon girmankansu, saboda zagi da kuma ba’ar da suka yi wa mutanen Ubangiji Maɗaukaki.
24020b0092	Ubangiji zai zama abin tsoro a gare su sa’ad da ya hallaka allolin ƙasar. Al’ummai a kowane bakin teku za su yi masa sujada, kowa a ƙasarsa.
24020c0033	“Ku ma, ya Kushawa, za a kashe ku da takobina.”
24020d008a	Zai kuma miƙa hannunsa gāba da arewa yă kuma hallaka Assuriya, zai mai da Ninebe kango gaba ɗaya ta kuma zama busasshiya kamar hamada.
24020e00cf	Garkuna za su kwanta a can, da kowace irin halitta, Mujiyar hamada da bushiya za su zauna a kan ginshiƙanta. Kukansu za tă ratsa tagogi, ɓuraguzai za su tare ƙofofin shiga, za a kware ginshiƙan al’ul.
24020f00d1	Birnin da yake harka ke nan da take zaune lafiya. Ta ce wa kanta, “Ni ce, kuma babu kamata.” Dubi irin kangon da ta zama mana, mazaunin namun jeji! Duk wanda ya wuce ta sai ya yi mata tsaki yana kaɗa kai.
240301004d	Taki ta ƙare, ke birnin mai danniya, mai’yan tawaye da kuma masu ƙazanta!
240302007d	Ba kya yi wa kowa biyayya, ba kya kuma yarda da kuskurenki. Ba kya dogara ga Ubangiji, ba kya kuma kusatowa kusa da Allahnki.
2403030062	Sarakunanki ruri ne na zakoki, shugabanninki kyarketan dare ne, waɗanda ba sa rage kome don safe.
240304007c	Annabawanki mahaukata ne mutanenki masu cin amana ne. Firistocinki suna ƙazantar da Wurin Mai Tsarki suna kuma keta dokoki.
24030500c8	Ubangiji da yake cikinki mai adalci ne; ba ya yin abin da ba daidai ba. Kowace safiya yakan bayyana dokokinsa a fili, kowace sabuwar rana kuma ba ya kāsawa, duk da haka marasa adalci ba sa jin kunya.
24030600a2	“Na daddatse al’ummai; an kuma rurrushe kagararsu. Na bar titunansu ba kowa, ba mai ratsawa a ciki. An ragargaza biranensu; ba wanda za a bari, babu ko ɗaya.
24030700eb	Na ce wa birnin, ‘Tabbatacce za ki ji tsorona ki kuma yarda da gyara!’ Ta haka ba za a datse wurin zamanki ba, ba kuwa dukan hukuncena za su hau bisa kansu ba. Amma har yanzu suna marmari su yi rashin gaskiya a duk abin da suke yi.
24030800f6	Saboda haka ku jira ni,” in ji Ubangiji; “a ranar da zan tsaya in ba da shaida, Na yanke shawara in tattara dukan al’ummai, in tattara mulkoki in kuma zuba fushina a kansu, da dukan zafin haushina. Za a mamaye dukan duniya da zafin fushina.
2403090083	“Sa’an nan zan tsarkake leɓunan mutanen, don dukansu su kira bisa ga sunan Ubangiji su kuma yi masa hidima kafaɗa da kafaɗa.
24030a006b	Tun daga ƙetaren rafuffukan Kush masu yi mini sujada, mutanena da suke a warwatse, za su kawo mini hadayu.
24030b00c9	A wannan rana ba za ku sha kunya saboda laifofin da kuka yi mini, gama zan ɗauke wa wannan birni waɗanda suke farin ciki cikin girmankansu. Ba kuma za ka ƙara yin kallon reni a tuduna mai tsarki ba.
24030c006c	Amma zan zauna a cikinki masu tawali’u da masu ƙasƙantar da kai, waɗanda suke dogara ga sunan Ubangiji.
24030d00bc	Raguwar Isra’ila ba za su ƙara aikata abin da ba daidai ba, ba za su faɗa ƙarya ba, ba kuwa za a sami ruɗu a bakunansu ba. Za su ci su kuma kwanta kuma babu wanda zai ba su tsoro.”
24030e0086	Ki rera, ya Diyar Sihiyona; ki tā da murya, ya Isra’ila! Ki yi murna ki kuma yi farin ciki da dukan zuciyarki, Ya Diyar Urushalima!
24030f009b	Ubangiji ya ɗauke hukuncinki, ya mai da abokan gābanki baya. Ubangiji, Sarkin Isra’ila, yana tare da ke; ba kuma za ki ƙara jin tsoron wani lahani ba.
2403100069	A wannan rana za su cewa Urushalima, “Kada ki ji tsoro, ya Sihiyona; kada ki bar hannuwanki su raunana.
240311009f	Ubangiji Allahnki yana tare da ke, mai iko ne don ceto. Zai yi matuƙar farin ciki da ke, zai rufe ki da ƙaunarsa, zai yi farin ciki da ke ta wurin rerawa.”
240312005f	“Zan cire taƙaici daga gare ki a ƙayyadaddun bukukkuwa; su kaya ne da kuma zargi a gare ki.
24031300bf	A wannan lokaci zan jijji wa waɗanda suka danne ku; zan kuɓutar da guragu in kuma tattara waɗanda suke a warwatse. Zan sa a yabe su a kuma girmama su a kowace ƙasar da aka kunyatar da su.
24031400c3	A wannan lokaci zan tattara ku; a wannan lokaci zan kawo ku gida, zan sa a yabe ku a kuma girmama ku a cikin dukan mutanen duniya a sa’ad da na maido da arzikinku a idanunku,” in ji Ubangiji.
2500000006	Haggai
25010100db	A shekara ta biyu ta mulkin Sarki Dariyus, a rana ta fari ga watan shida, maganar Ubangiji ta zo ta wurin annabi Haggai zuwa ga Zerubbabel ɗan Sheyaltiyel, gwamnan Yahuda, da kuma Yoshuwa ɗan Yehozadak, babban firist.
250102007f	Ga abin da Ubangiji Maɗaukaki ya ce, “Waɗannan mutane sun ce, ‘Lokaci bai yi ba tukuna da za a gina gidan Ubangiji.’”
250103003f	Sa’an nan maganar Ubangiji ta zo ta wurin annabi Haggai cewa,
2501040072	“Ashe, lokaci ya yi da za ku zauna a ɗakunan da kuka yi da rufin katako, amma haikalin nan yana zaman kufai?”
2501050046	To, ga abin da Ubangiji Maɗaukaki ya ce, “Ku lura da al’amuranku.
25010600de	Kun shuka da yawa, amma kun girbe kaɗan. Kun ci, amma ba ku ƙoshi ba. Kun sha, amma ba ku kashe ƙishirwa ba. Kun sa tufafi, amma ba ku ji ɗumi ba. Kuna karɓar albashi, ya zama sai ka ce kuna zuba a hudajjen aljihu.”
2501070042	Ga abin da Ubangiji Maɗaukaki ya ce, “Ku lura da al’amuranku.
2501080084	Ku haura zuwa kan duwatsu ku sauko da katakai don ku gina gidan, don ni ma in ji daɗinsa, in kuma sami ɗaukaka,” in ji Ubangiji.
