2800000007	Mathayi
2e0d0a0043	kaasi kilumbu makwisa lungila mambu, mamana menina ndambu matóta.
2e0d0b00ce	Ha yíkala mwana wa khunda, yikala zonza hanga mwana wa khunda, yikala banza hanga mwana wakhunda, yikala yindula hanga mwana wa khunda; kaasi buna yíkituka mbuta, ngyambudini mambu ma kimwana wa khunda.
2e0d0c00b3	Buthwena tubati mona fifidiki, hanga ku kiphelu; kaasi twamónana mbunzu yi mbunzu. Buthwena, ndambu yimuzayi; kaasi mu tangwa dyakwísa, yimúzaya Nzambi bwosu kanzayini meni.
2e0d0d0087	Kinga buthwena, bima byabi byawu bitatu bisikidini: lukwikilu, kivuvu yi lungongu; kaasi kima kiluti kitesu mu byosu kyenina: lungongu.
2e0e010070	Sandenu theti lungongu. Kalenu yi tsambu ya mambu matadidini Kitembu Kyatoma, theti mu mana matadidini kubikula.
2e0e0200a9	Kikuma, mutu wuna wisi zonza mu ndinga zizayakaniku, kisiku zonza kwena batu kaasi kwena Nzambi, mukuma ka mutu ku wisi bakula. Amana mu Kitembu kisi zimbwala maswekamu.
2e0e03005a	Kaasi wuna wisi bikula, kwena batu kisi zonza, kisi tunga, kisi hana kikesa, kisi syamisa.
2e0e04007c	Wuna wisi zonza mu ndinga zina zizayakaniku, yandi-meni lwesi wisi ditunga kaasi wuna wisi bikula, yandi Dibundu kisi tunga.
2e0e050114	Nzodi ni benu boosu lwazonzaka mu ndinga zina zizayakaniku, kaasi mbonibwa hika mboti ni lwabikulaka. Mukuma, wuna wisi bikula wuluti wuna wizi zonza mu ndinga zina zizayakaniku, bwalómba ni yandu-yandu kadimbulula mana kabati zonza ndangu masadisa mu kutungama kwa Dibundu.
2e0e0600eb	Amana buthwena bwabu, baphangi: Khi mupfunu yikála kikuma kya benu yuka ni yisa kwena benu, mu kuluzonzilaka mu ndinga zina zizayakaniku, hana hafwani yilunatina ndinga mosi ya nzayikusu, ya mazaya, ya mbikutulu kondilo ya kulongila?
2e0e0700a2	Ho ni bimbila bya miziki hanga hongi kondilo lwinda: mihungu mya bawu myisiku swaswana, abweti bazáyila mana kabati sika hongi, kondilo mana kabati sika lwinda?
2e0e080057	Amana ho ni musiki wa phungi katiku kindanda kyayukalakana, nati wayílama mu kunwana?
2e0e090098	Phila mosi yi benu, ho ni muna nzonzidi yenu lwisiku lubula ndinga za kyedika, abweti fwani babakwala mana lubati zimbula? Lwazónza kikuma kya pfunzi!
2e0e0a006a	Mbatanana nzonzidi lawu za mitindu yi mitindu zenina mu tsi, ka mosi ku mukati kya zawu yi kondi thendula.
2e0e0b0092	Mukuma, ho ni nzayiku thendula ya nzonzidi mosi, munzenza yikála kikuma kya wuna wisiya zonza amana yandi phi munzenza kakála kikuma kya meni.
2e0e0c008e	Phila mosi, kwena benu, kikuma lwenina babasa yi tsambu ya makabu ma Kitembu, sandenu mu kuvwa mana malutini kaasi kikuma kya kutunga Dibundu.
2e0e0d006d	Yihana ni, wuna wisi zonza mu ndinga zina zizayakaniku kalomba kwena Nzambi kabu dya kubindulula ndinga zina.
2e0e0e0087	Mukuma yuka ni mbati lombila mu ndinga za mutindu wuna, kitembu kyama mu kulombila kyenina, kaasi ngangu zama zibatiku hanga hika kima.
2e0e0f0099	Amana abweti yihánga? Yilómbila mu Kitembu, kaasi yilómbila phi yi ngangu zama; yiyímbila mu Kitembu kyama, kaasi yiyímbila phi yi ngangu zama.
2e0e100109	Kikuma, yuka ni mu kitembu kyaku lwesi wisi lombila mu kuvutula matondu kwa Nzambi, abweti mutu wuna wuzakadikini hana kati dya babana bisi kuhinikina kalenda tambwasa ni «Abwabuna» ku lombilu lwaku lwa kuvutula matondu? Kikuma yandi kazayimoku mana wubati zonza?
2e0e110072	Kisambu kyaku kina kya kuvutula matondu keti bweti kyenina kya bukheti, kaasi mukwenu yandi kabongiku keti muluta.
2e0e120068	Mvutudi matondu kwena Nzambi kikuma kya buna yisi zonzila mu ndinga zina zizayakaniku kuluta benu boosu.
2e0e13009f	Kaasi mu Dibundu, nzodi kuzimbula ndinga tanu mu ngangu zama, kikuma kya kulonga batu bahika, heku ni kulubula ndinga mafunda kumi mu ndinga zina zizayakaniku.
2e0e14009c	Baphangi tukalaku bana mu mambu matadidini katsatsa. Kikuma kya mambu mambi kalenu bana bakhunda, kaasi kikuma kya mana matadidini katsatsa, kalenu bambuta.
2e0e1500bb	Tala buna básonika muna Mitsiku: «Pfumu kasamuni bwabu: Mu nzila ya batu ba ndinga yahika yizónzila kwena batu bana yibázonzila mu munwa mya banzenza. Keti bweti, bangyúkilaku.»
2e0e160103	Yi hana ni, mu kuzonza ndinga zina zizayakaniku kyenina kidimbu, kyeku kikuma kya bakwikidi, kaasi kikuma kya bana bakondi kala bakwikidi. Amana musamu wa mbikudi wenina kidimbu, weku kidimbu kikuma kya bana bakondi kala bakwikidi, kaasi kikuma kya bakwikidi.
2e0e1700b6	Mu mbandu, yuka ni Dibundu dyosu dyakutakana amana batu boosu bazonzila mu ndinga zina zizayakaniku: yuka ni hatula bayuki kondilo bana beku bakwikidi, bazimbulaku ni bilawu lwenina?
2e0e1800c3	Kaasi yuka ni batu boosu bazonzila mu kimbikudi amana hatula mutu mosi wakonda kala mukwikidi kondilo muyuki, mana kayukini mosu mamuyubukisa katsatsa amana kadimona ni bamusambisini kwena boosu.
2e0e1900ae	Amana bitsweki bya mbundu yandi byalúbuka ku mesu ma batu. Kazénzama mbunzu muna mafu amana kamúfukamina Nzambi mu kuzimbula: «Kyedika Nzambi kenina hakati dya benu!»
2e0e1a0115	Biki fwani yizonza mu kumanisa, baphangi? Tangwa lwisi kutakana kikuma kya bisambu, kwena mutu wuyimbidi mukunga, mukwawu wuhani dilongi, wahika wuzayikisi mambu ma kitsweki, wahika phi wuzonza ndinga zina zizayakaniku, wahika phi wubindulula: byosu byakala kikuma kya kutunga.
2e0e1b00b1	Yuka ni bazonzila mu ndinga zina zizayakaniku, bulungi ni batu bodi kondilo balutaku batatu, kosu mutu kahangabwa muna tangwa dyandi amana kwakala yi mutu wahika mu kubindulaka.
2e0e1c007e	Yuka ni kweku mubindudi, bulungi badibata mu kuzonza mu Dibundu: kosu mutu kazonza kikuma kya yandi meni yi kikuma kya Nzambi.
2e0e1d0057	Kwena bambikudi, boodi kondilo batatu bazonza amana bahika balonguka mana babati zonza.
2e0e1e007d	Kaasi yuka ni mutu mosi wenina hana kayamba dyambu dya nzayikusu ya Nzambi, bulungi ni wuna wutekidikini mu kuzonza kadibata.
2e0e1f0067	Kikuma fwani lwazonzila mu kimbikudi mosi kunima mukwawu ndangu boosu balonguka amana bwabaheka kikesa.
2e0e200037	Bitembu bya bambikudi, kwena bambikudi byisi lemvukila.
2e0e210069	Mukuma Nzambi keku Nzambi wa bumvwanzi, kaasi Nzambi wa ngemba. Hanga mu Mabundu moosu ma batu ba Nzambi,
2e0e220071	bakhetu badibata mu Mabundu: mukuma beku yi muswa wa kuzonza mwamuna. Balemvuka bwosu buna wuzonzini phi mutsiku.
2e0e23007a	Yuka bakhetu bazodi ni bazaya dyambu, bahyula bayakala ba bawu kuna nzu. Mukuma ka mboti ku ni mukhetu kazonza mu Dibundu.
2e0e240061	Kondilo, lubanzi ni ndinga ya Nzambi kwena benu yálubwakila? Kondilo kwena benu lwesi yákana?
2e0e2500a3	Yuka ni mutu kaditela mbikudi kondilo kadibongila hanga mutu wenina yi kabu dya kitembu, bulombi kazaya ni muna mambu mama yilusonikini mwenina yi mukuku wa Pfumu.
2e0e260033	Kaasi ho ni mutu kondibwa zaya, yandi kazayakaniku.
2e0e27007b	Hahana ni, baphangi bama, sandakenu ni lwazonzila mu kimbikudi, konda kukandikisa ni bazonzila mu ndinga zina zizayakaniku.
2e0e280040	Kaasi, bulombi ni moosu maluta buna bufwani amana phi mu ndonga.
2e0f010084	Baphangi bama, buthwena, thondi yiluyubwakisa Musamu wa Bukheti wuna yísamuna kwena benu, wawuna lwátambula, lwásimbidila phi.
2e0f020089	Mwamuna phi lwáhulukila; yuka ni lwasimbidilawa muna mihowu mina yílulongilawa Musamu wa Bukheti; kondilo lukwikilu lwenu lwa phamba.
2e0f03007d	Theti yílusambwakisa mana yítambula meni-meni: Kidisitu kafwa kikuma kya masumu ma betu, bwosu bwásonama muna Masonuku;
2e0f040053	Bámuzika, kilumbu kya tatu wáfutumuka ku bafwa bwosu bwásonama muna Masonuku.
2e0f05003e	Kádimonikisa kwena Sefwasi, kunima kwena bawu Kumi yi boodi.
2e0f060095	Kunima kádimonikisa kwena baphangi kuluta khama tanu mu mbala mosi -balawu mu kati kya bawu moyu benina, kaasi ndambu ya batu bahika bámana fwa-.
2e0f07003c	Kunima, wádimonikisa kwena Zyaki, yi kwena bathumwa boosu.
2e0f080060	Amana, kunima dya bawu boosu, wisa dimonikisa phi kwena meni, mbatanana pfwananini yi ditsyombe.
2e0f09009d	Kikuma, yenina kwama kima kya phamba hana kati dya bathumwa -mu kuzonza kwa bukheti, meni ndungiku ni bathela thumwa- mukuma, yínyokuna Dibundu dya Nzambi.
2e0f0a00ed	Kaasi mu khenda za Nzambi yenina bwabu yenina, amana khenda zandi kwena meni zákalaku za phamba: Kaasi yísala kisalu kuluta bathumwa bahika boosu; -loni ka meni ku yíhanga mambu mana, kaasi khenda za Nzambi zina zenina mwena meni-.
2e0f0b0084	Yihana ni, kwakala meni, kwakala bawu, bwabuna kwenina kusamuna kwetu, amana bwabuna lwenina phi lukwikilu luna lwákwikidini benu.
2e0f0c008f	Kinga yuka basamunaka ni Kidisitu wáfutumuka ku bafwa: abweti ni batu bahika, mukati dya benu, bafwani kuzonza ni kweku lufutumuku lwa bafwa?
2e0f0d004d	Ho ni kweku lufutumuku lwa bafwa, kisongidila ni Kidisitu káfutumukaku phi;
2e0f0e006f	amana ho ni Kidisitu káfutumukaku, disongidila ni kusamuna kwetu kwakhatu amana lukwikilu lwenu phi lwakhatu.
2e0f0f00cd	Amana, thendula ni betu tulubuki bambangi ba luvunu ba Nzambi, kikuma twata kimbangi kya luvunu kitadidini Nzambi ni wámufutumuna Kidisitu; kinga kámufutumunaku, yuka bwa kyedika ni bafwa bafutumukiku.
2e0f100053	Kikuma, ho ni bafwa bafutumukiku, kisongidila ni Kidisitu yandi phi káfutumukaku.
2e0f11006f	Amana ho ni Kidisitu káfutumukaku, lukwikilu lwenu lwakhatu amana mu kati dya masumu menu lwenina kwenu kaka.
2e0f120039	Amana batu babana báfwa mwena Kidisitu bawu bakulukini.
2e0f130073	Ho ni kikuma kya luzingu lwalu lwesi twásila kivuvu kyetu mwena Kidisitu, bakwa kyadi thwenina kuluta batu boosu.
2e0f14007b	Kaasi, mu kyedika, Kidisitu wáfutumuka ha kati dya bafwa, yandi mutu watheti wáhana kambangu ni batu bahika bana bafwa.
2e0f150069	Mukuma, lufwa bwosu lwísila mwena mutu mosi, phila mosi lufutumuku lwa bafwa lwísila mwena mutu mosi.
2e0f16006e	Kikuma, bwosu bisi fwila batu boosu mwena Atamu, phila mosi phi boosu batámbula hika luzingu mwena Kidisitu,
2e0f170094	kaasi kosu mutu muna ndonga yandi: Kidisitu, yandi mutu watheti, kunima, batu babana benina mwena Kidisitu, bawu phi batókama mu tangwa kakwísa.
2e0f18009f	Kunima, yakwisa kala tsuka ya mambu, tangwa kavútula Luyalu kwena wuna wenina Nzambi yi Tata, kunima dya kumanisa luyalu lwosu, yi hamu dyosu yi ngolu zoosu.
2e0f190068	Mukuma bulombi ni Kidisitu kayala tii yikuna Nzambi kabásila bambeni boosu kuna tsi ya bitambi byandi.
2e0f1a0050	Mbeni wuna wa tsuka wafwa kilumbu kazíluka wosu keti kima, khumbu yandi lufwa.
2e0f1b00d5	Mukyedika, básonika: «Nzambi wámusila byosu kuna tsi ya bitambi byandi.» Kaasi bwena wengele, muna kinzonzi kyaki ni, muhowu wuna wuzonzi ni, «wosu», wutadidiku Nzambi, wisi hana bima byosu kwena Kidisitu.
2e0f1c0082	Mu tangwa bima byosu bamuhekabya, hanga Mwana yandi-meni kadihana kwena wuna wámuheka byosu, ndangu Nzambi kayala wosu mu byosu.
2e0f1d00d6	Banzenu hika benu; kikuma batu bahika bawu bisi tambula mbotika kikuma kya bamvumbi: biki bisi zola bawu? Kamba mukyedika kweku kutokama kwa bamvumbi, kikuma kya biki bisi tambwala mbotika kikuma kya bawu bamvumbi?
2e0f1e003f	Amana betu, kikuma kya biki tudiyengika tangwa dyosu mukihonza?
2e0f1f007e	Kosu kilumbu baphangi bama, yisifwa kwama: bwa kyedika bwena ni yisi bunda thulu kikuma kya benu mu Kidisitu Yesu, Pfumu wetu.
2e0f2000c0	Ku Efesu, yi nwana yi batu bana bena hanga bambisi ba musitu. Wadi ni dyakala kikuma kya kimutu lwesi, khi muluta mbongi? Ho ni bafwa batokamiku, «tudyenu, tunwenu phi, mukuma mbasi twafwa»!
2e0f21003b	Ludihunaku: «Batu bambi bisi zanga bikalulu bya bukheti.»
2e0f22008c	Dikwatikisenu buna bufwani mu mabanza amana yambulenu kusumuka; mukuma, batu bahika bamuzayiku Nzambi nzonzi ni tsoni bwena kikuma kya benu.
2e0f230055	«Mutu wufwani kahyula: Abweti bamvumbi bisi tokama? Yi khi lutu bisi tokama lwawu?»
2e0f240051	Zoba dya mutu! Bina wisi kuna ngeyi-meni bifwanini mu kumena ho ni ngenza yifiku.
2e0f25008e	Kina wukuni, kyenina ngenza ya phamba, yakala ngenza ya bule kondi lo mbutu yahika. Fwaniku wakuna miti wuna wisi lubuka muna ngeza meni yina.
2e0f26009a	Kunima, Nzambi kisi vwatisa lutu lwa hika lwa miti kwena ngenza yina bwosu katyedibwa yandi-meni; kosu mbutu kisiya heka miti wuna wufwanani yi yawu-meni.
2e0f270084	Bihangwa byosu byeku yi lutu lumosi: kaasi luna lwa batu lweku phila mosi yi lwa bambisi, luna lwa banuni luswaswani yi lwa batsema.
2e0f280085	Kwena phi yi malutu ma ku zilu yi malutu ma ha tsi; kaasi kitoku kya lutu lwa ku zilu kyeku mutindu mosi yi kina kya lutu lwa ha tsi.
2e0f2900eb	Tangwa kenina yi mitsyenzya myandi, ngondi kenina yi mitsyenzya myandi myahika, amana tutumbwa phi yi mitsyenzya mya bawu; keti hana kati kya tutumbwa, katumbwa kosu kisi swaswana yi katumbwa kakwawu kahika mu kuyemwaka kwa mitsyenzya.
2e0f2a0085	Yibwana dyakála phi kilumbu kya kufutumuka kwa mvumbi. Ha bamuziki mu mafu lutu luvundi, ha katokama, tokami yi lutu lwisiku vunda.
2e0f2b00aa	Tangwa bamuzikini mu mafu mutu kisiku kala mupfunu, tangwa katokamini wekina yi khembu, tangwa bisi muzika kisiku kala yi ngolu; tangwa kisi tokama wekina yi ngolu zoosu.
2e0f2c0083	Bisi muzika yi lutu lwa kimutu, kisi tokama yi lutu lwa kitembu. Ho ni kwenina yi lutu lwa kimutu, kwenina phi yi lutu lwa kitembu.
2e0f2d0095	Ihana básonika: «Mutu watheti Atamu, yandi kákala mutu wuna wátambula moyu. Kaasi Atamu wa zodi, yandi wákituka Kitembu wuna wisi hana moyu.
2e0f2e006f	Mambu ma kitembu misiku tekila kwisa loni, kaasi kimutu kyisi tekila kwisa; kunima kina kya kitembu kyisi nana.
2e0f2f005b	Atamu wa theti kátuka mu mafu, káhangama yi fusyangeni; Atamu wa zodi ku zilu kátuka.
2e0f300085	Batu ba tsi benina hanga mutu wuna wáhangama ku fusyangeni dya mafu, phila mosi batu ba ku zilu bafwanana yi wuna wátuka ku zilu.
2e0f310083	Bwosu twabonga kifwani kya mutu yandu wáhangama ku fusyangeni dya mafu, bwabuna twabónga kilumbu kifwani kya wuna wa ku zilu.»
2e0f3200b0	Tala mana yiluzimbwadini, baphangi: lutu lwalu luhangamini mu kimutu yi mu menga lufwaniku kuvwa Kipfumu kya Nzambi, amana lutu lwalu lwisi vunda lwavwáku luna lwisiku vunda.
2e0f33005b	Yiluzimbwala diswekamu dimosi: betu boosu twafwáku, kaasi betu boosu malutu matúhiluka.
2e0f3400f5	Máhangama, mu mbala mosi, mu mbwatidi ya mesu, tangwa yahúmuna phungi ya tsuka. Mukuma muna tangwa dina yahúmuna, bamvumbi batókama yi lutu lwahika lwisiku vunda, amana betu twakála ba moya mu kilumbu kina, twahíluka yi lutu lwahika.
2e0f350099	Kikuma bulombi ni lutu lwetu lwalu lwisi vunda lwavwata lutu luna lwisiku vunda hika; amana ni lutu lwetu lwalu lwisi fwa lwavwata lutu luna lwisiku fwa.
2e0f3600d4	Kilumbu lwavwáta lutu lwetu lwalu lwisi vunda luna lwisiku vunda, amana lutu luna lwisi fwa lwavwata luna lwisiku fwa hahana yalungila ndinga yayi básonika mu mukanda wa Nzambi: «Lufwa luminuki mu kinunga.»
2e0f370042	«Lufwa, akweti kyenina kinunga kyaku? Lufwa, aweti munomu waku?»
2e0f38003f	Munomu wa lufwa, menina masumu; amana ngolu za masumu, mitsiku.
2e0f390059	Kaasi tuvutulenu matondu kwena Nzambi, wátuheka kinunga mwena Pfumu wetu Yesu Kidisitu.
2e0f3a00aa	Yihakana, baphangi bama batondama, zyamenu simbidilenu ndangu lubwaku. Dihanenu kosu tangwa muna muhangu wa Pfumu, yi kuzayaka ni kisalu kyenu mu Pfumu, kyeku kya phamba.
2e100100a0	Kikuma kya mambu matadidi kawonga kikuma kya kusadisa bakwikidi benina ku Yelusalemi, benu phi, hangenu bwosu buna yíbasonikina bakwa Mabundu ma ku Ngalatiya.
2e10020077	Kosu lumingu, mutu wosu kawongika kina kalénda hana thela yandi, ndangu kahingilaku kwisa kwa meni mu kusala tuwonga.
2e10030070	Kilumbu yikála kuna, yihítika yi mikanda, batu babana lwasóla ndangu benda nata makabu menu ku Yelusalemi.
2e10040040	Yuka bwalómba ni yenda meni-meni, nzila mosi bakwenda yi meni.
2e10050048	Yikwisa lutala ha yilúta ku Masetwani, mukuma ku Masetwani yihítila.
2e100600bc	Mbanzi ndambu ya bilumbu yinánga kwena benu, kondilo tangwa dya kyosi dyosu kwakuna yilutisiladya ndangu lwangyidikila benu-benu bima bina yikálabyawu mupfunu mu kulanda kitambu kyama.
2e1007007a	Mukuma, nzodiku, mbala yayi ni yilumona lwesi mu kuluta: thondi yikala ndambu ya bilumbu kwena benu, buna Pfumu kazolabwa.
2e10080046	Kaasi ku Efeso yikála tii yi kuna kilumbu kya mukinzi wa Phandikoti.
2e10090070	Mukuma kwakuna, nzila yikanguki lawu kikuma kya meni mu kusala kisalu kya mbuta, mbata nana bambeni benina lawu.
2e100a007f	Ho Thimoti kisa, hangenu phila yosu ndangu kakala bukheti hakati dya benu, mukuma kenina musadi hanga meni mu muhangi wa Pfumu.
2e100b00aa	Disongidila, ka mutu ku kamulewula! Muhekenu bina kakála byawu mupfunu ndangu kakangala kitambu kya bukheti tii yi kuna yenina meni, mukuma mbati muhingila yi baphangi.
2e100c00a7	Mu mana matadidini phangi Apholosi, yímuheka kikesa lawu kisa lutala yi baphangi, kaasi buthwena bwabu lukadikiku lukanu lwandi mu kuhangabwa; ho kalenda, kakwísa.
2e100d005c	Kalenu yi kitsungila, simbidilenu ngolu muna lukwikilu, kalenu batu ba kikesa, kalenu ngolu.
2e100e0030	Byosu byahangama hana kati dya benu yi lungongu.
2e100f00a7	Yilulombi hika, baphangi, luzayi ni batu bana bákala mu nzu ya Setufwani, bawu batheti mu kudihana kwena Pfumu ku Akayi, amana bamana dihana mu bisalu bya bakwikidi.
2e10100090	Benu phi, lemvukenu balutwadisa kwena batu ba mutindu meni wawuna yi kwena batu bana bisi sala bawu mu kithwadi, amana bisi diyangisa ku kisalu.
2e10110092	Kyesi kikhwatini kikuma kya kukwisa kwa Setufwani yi Fwotunatusi yi Akayikusu bawu bángyika bina byakala khonda bwosu buna lwakala tsadisa benu;
2e10120055	Mukuma bawu balembiki kitembu kyama yi kya benu. Zayakenu kutambwasa batu ba bwabuna!
2e10130093	Mabundu ma ku Aziya mboti maluhitikini. Akilasi yi Phisikila, yi Dibundu dina disi kutakana mu nzu ya bawu, mboti ya bukheti baluhekini muna Pfumu.
2e10140060	Baphangi boosu benina haha mboti baluhekini. Hanasanenu mboti benu yi benu mu mbumbakani yatoma.
2e10150033	Mboti yayi, tsonikiya yi koku dya meni-meni, Pholu.
2e1016004b	Ho mutu kisiku zola Pfumu, kakala wa kusinga! Malanata! -Pfumu wetu, awisa!
2e10170024	Khenda za Pfumu Yesu zakala yi benu.
2e1018004d	Lungongu lwama lwenina yi kwena benu boosu muna kithwadi mwena Kidisitu Yesu.
3000000008	Ngalatya
3001010098	Pholu, thumwa wuna bátuma, ka kwa batu ku, keti kwena mutu mosi, kaasi kwena Yesu Kidisitu yi kwena Nzambi Tata wuna wámutokamisa ha kati dya bafwa.
300102005e	Yi baphangi boosu babana benina hakimosi yi meni, kwena Mabundu ma Ngalatiya, yi kubazimbwala:
300103004a	Yambula Nzambi Tata wetu yi Pfumu Yesu Kidisitu baluheka khenda yi ngemba.
3001040094	Kidisitu wáditambika yandi-meni kikuma kya masumu metu, ndangu katutabula mu mambu ma mbi ma tsi yayi, bwosu lwenina luzolu lwa Nzambi, Tata wetu.
3001050036	Kwena yandi yakala khembu, mvula muna mvula! Abwabuna.
3001060091	Mbati yituka kikuma kya phila yina lumubalwakidini yi tswatsu, wuna wálutela mu khenda za Kidisitu, mu kuluhitisa ku Musamu wa Bukheti wa hika.
3001070089	Kinga kweku Musamu wa Bukheti wa hika; henina yi batu bisi luvwadingisa mabanza, bisi zola phi ni basobisa Musamu wa Bukheti wa Kidisitu.
300108009a	Kaasi yuka mutu mosi, ata betu-meni, holo wanzyo wa ku zilu kálulonga Musamu wumosi wa Bukheti wuna wufwanakaniku yi wuna twalulonga, kakala wa kusinga!
30010900b1	Bwosu twatekidibwa luzimbwala kedi, amana mvutwakidibwa buthwena bwabu: Ho mutu kalusamwana Musamu wumosi wa Bukheti wuna wufwanakaniku yi wuna lwátambwasa, kakala wa kusinga!
30010a00b5	Amana buthwena, lubanzi ni mbati sanda bathambwasa kwena batu ho kwena Nzambi? Yisi sanda mu kusephidisa batu? Ho ni yisandaka mu kusephidisa batu, yikalaku hika musadi wa Kidisitu.
30010b005f	Baphangi, yiluzimbwadi bwabu: Musamu wa Bukheti wawu yilusamwanini, wutukiku kwandi kwena mutu.
30010c0071	Mukuma meni-meni yítambulawoku kwena mutu; yílongukawoku phi kwena mutu kaasi mu tsengumuka ya Yesu Kidisitu.
30010d00ab	Lwáyuka kuzonzila phila yina byákala bikalulu byama tangwa yíkala landa khadidi ya Bayuta; Yikala nyokunaka lawu Dibundu dya Nzambi amana yikala sanda mu kuzangadya.
30010e0084	Muna kimvuka kya Bayuta, yikala hyoka batu balawu ba makula mama, amana yikala zakama muna phila ya kuzitisa mikuku mya batata bama.
30010f0081	Kaasi tangwa bwáhana tsambu kwena Nzambi, yandi wuna wátsola tukidila mu kifundu kya ngudi wama, wáthela muna khenda zandi.
30011000b8	Ndangu kamvumbula meni Mwana wandi yilenga samuna hanga Musamu wa Bukheti kwena babana bakondi kala Bayuta; muna bwabuna, yendaku lomba ndongisila kwena mutu wenina yi musuni yi menga;
300111009d	konda kutombuka ku Yelusalemi ndangu yenda mona bana batekila dikitwakila bathumwa ku thwala ya meni; kaasi hanga yendi ku Alabiya, kunima mvutuki ku Tamasi.
3001120082	Kunima dya mvula tatu yítombuka ku Yelusalemi ndangu yitundakana yi Sefwasi; hanga ndangi kuna nzu yandi bilumbu kumi yi bitanu.
3001130042	Amana yímonaku keti thumwa wahika, Zyaki lwesi, phangi wa Pfumu.
300114005d	Mambu mana yílusonikina menina ma kyedika; thambwasima ku thwala ya Nzambi ni mbatiku huna.
300115002f	Kunima, yendi mu binzunga bya Sidiya yi Sidisi.
3001160066	Kaasi kikuma kya Mabundu ma ku Yuteya mana menina mwena Kidisitu bánzayaku, khaniku bambona ku mesu.
3001170093	Báyuka lwesi kuzimbula: «Wuna wakala tunyokuna matangwa mahika, buthwena kabati longa Musamu wa Bukheti wa lukwikilu luna kakala zola kuzanga.»
300118003a	Amana bakala zatula Nzambi kikuma kya mambu matadidi meni.
3002010079	Amana kunima mvula kumi yi ya, hanga thombuki hika ku Yelusalemi hakimosi yi Balanabasi; ndati phi Titi hakimosi yi meni.
300202011e	Yítombuka kwakuna kikuma Nzambi kánzimbwala yenda. Muna lukutakanu lumosi twákota yi bambuta ba luzitu, hanga yibatendwadini Musamu wa Bukheti wuna yílonga kwena batu bana bakonda kala Bayuta. Yízolaku ni kisalu kyama, kina yísala yi kyaki mbati sala, kyakonda kala mupfunu.
300203004d	Ata Titi, twákala yandi, wákala mungeleki, bámulundikaku mu kumuyotisa;
30020400d0	mbatanana baphangi ba luvunu bákota mukati dya betu. Batu meni babana bákotila mu kitsweki, mu kikhunda kya betu ndangu batuyiba kiphwanza kina twenina kyawu mwena Kidisitu Yesu, balenga tunata mu kihika.
3002050063	Twábasisilaku keti tangwa dimosi, ndangu kyedika kya Musamu wa Bukheti kyasikila kikuma kya benu.
30020600b6	Kaasi batu babana bakala monika ni baluti mupfunu, buna bákala meni mathadiku, mukuma Nzambi kisiku tala mbunzu za batu-, amana batu meni babana bákalaku yi kima kyahika kya pha.
300207008f	Kaasi bawu bátambwasa ni Musamu wa Bukheti báphekilawa kikuma kya babana bakonda kala Bayuta, bwosu bámuhekawa Phetelu kikuma kya Bayuta.
3002080081	Mukuma, Nzambi wuna wamukitula Phetelu thumwa wa Bayuta, yi yandi phi wuna wákhitula meni thumwa wa babana bakondi kala Bayuta.
3002090114	Buna bábakula khenda zina yítambula meni, hanga Zyaki, Sefwasi yi Yowani bákala hanga makunzi ma Dibundu; bátuheka mboti ya kikesa, Balanabasi yi meni, mu kusongila kidimbu kya kithwadi; ndangu betu thwenda kwena bana bakondi kala Bayuta amana bawu benda kwena Bayuta.
30020a006c	Bátulomba ni twatalaka lwesi baphutu ba Dibundu, kuna Yelusalemi, kyakina phi yídihanina mu kusadilabwa.
30020b0077	Kaasi ha kisa Sefwasi ku Atyosi wa Sidiya, hanga mbwisima mambu mandi hana mesu ma batu boosu, kikuma mu kifu kákala.
30020c00f1	Kikuma, hana khaku kedi batula batu ba Zyaki, Phetelu kakala dya hakimosi yi batu bana bakondi kala Bayuta. Kaasi kunima kwisa kwa bawu, hanga wuhunikisi kuyambula, wudiyekudi yi batu bana kikuma kákala yi bweya bwa bawu bákota mukhanda.
30020d0077	Baphangi bahika ba Bayuta phi bátambula miza myamina, hanga yandi phi Balanabasi wekasala bukavungalosi meni bwabuna.
30020e0163	Tangwa yímona ni bákalaku kangala hika bukheti, mu kyedika kina kitadidini Musamu wa Bukheti, hanga nzimbudi kwena Sefwasi hana thwala ya batu boosu: «Ho ni ngeyi wenina Muyuta, wazingilaka mu phila ya bana bakondi kala Bayuta, amana konda kuzingila mu phila ya Bayuta, abweti wabálundikila bana bakondi kala Bayuta mu kusadila mikuku mya Bayuta?»
30020f006e	Betu thwenina Bayuta tuka lubutuku lwetu, thweku hanga batu ba makanda mahika bisiku landa mitsiku mya Nzambi.
300210014c	Bwosu tuzayi ni mutu bámunungisinaku kikuma kya mihangu mya mitsiku, kaasi mu nzila ya lukwikilu mwena Yesu Kidisitu. Betu phi twásya lukwikilu lwetu mwena Yesu Kidisitu, ndangu batúnungisina kikuma kya lukwikilu lwetu mwena Kidisitu, heku ni kikuma kya mihangu mya mitsiku, -mukuma heku mutu banúngisina kikuma kya mitsiku.
30021100ce	Kaasi yuka mu kusanda ni batunungisina mwena Kidisitu, betu phi bátumona basumuki hanga babana bakondi kala Bayuta; bwabuna busongidi ni Kidisitu, yandi wisi lundika batu mu kuhola disumu? Bwalendakanaku!
3002120061	Yuka ni yitunga hika kina yímwanga, yidisongila meni-meni hanga mutu kisiku lemvuka ku mitsiku.
