0100000008	Postanak
2c17100056	Ali sin Pavlove sestre doču za zavjeru, približi se i uđe u vojarnu dojaviti Pavlu.
2c1711006c	Pavao pak pozove jednog satnika i reče mu: “Ovog mladića odvedi k tisućniku: ima mu nešto dojaviti.”
2c17120085	On ga uze, odvede k tisućniku i reče mu: “Uznik me Pavao pozva i zaiska da ovog mladića privedem k tebi; ima ti nešto reći.”
2c17130057	Tisućnik ga prihvati za ruku, povede nasamo pa ga upita: “Što mi imaš dojaviti?”
2c17140083	“Židovi su se, reče on, dogovorili da te zamole da im sutra Pavla dovedeš u Vijeće kao da se kane točnije raspitati o njemu.
2c171500a3	Ne vjeruj im! U zasjedi ga čeka više od četrdeset onih koji se zakleše da neće jesti ni piti dok ga ne smaknu. Već su spremni, samo čekaju tvoju privolu.”
2c1716005a	Tisućnik onda otpusti mladića i zapovjedi mu: “Nikomu ne kazuj da si mi to dojavio.”
2c17170099	Zatim dozva dva satnika i reče im: “Pripravite dvjesta vojnika, sedamdeset konjanika i dvjesta strijelaca da nakon treće noćne ure pođu u Cezareju.
2c17180068	Neka se pripravi živina na koju će se posaditi Pavao te živ i zdrav dovesti k upravitelju Feliksu.”
2c1719001f	Napisa i pismo ovoga sadržaja:
2c171a0037	“Klaudije Lizija vrlom upravitelju Feliksu - pozdrav!
2c171b0081	Ovoga čovjeka Židovi uhvatiše i tek što ga ne smakoše kadli s vojskom pritrčah i istrgoh im ga kada doznah da je Rimljanin.
2c171c0046	Htjedoh saznati za što ga okrivljuju pa ga dovedoh u njihovo Vijeće.
2c171d007b	Utvrdih da ga okrivljuju za nešto prijeporno u njihovu zakonu i da nema nikakve krivnje kojom bi zaslužio smrt ili okove.
2c171e0083	Kad mi pak dojaviše da su protiv njega skovali zavjeru, poslah ga k tebi, a tužitelje uputih neka se tebi obrate protiv njega.”
2c171f0055	Vojnici dakle, po primljenoj naredbi uzeše Pavla i odvedoše ga noću u Antipatridu.
2c1720004e	Sutradan ostave konjanike da s njime pođu dalje, a oni se vratiše u vojarnu.
2c17210055	Kad konjanici stigoše u Cezareju, uručiše upravitelju pismo i privedoše mu Pavla.
2c1722005b	Pošto upravitelj pročita pismo, zapita iz koje je pokrajine. Kad sazna da je iz Cilicije:
2c1723006c	“Saslušat ću te, reče, kad pristignu i tužitelji tvoji.” Onda zapovjedi čuvati ga u dvoru Herodovu.
2c1801008f	Nakon pet dana siđe veliki svećenik Ananija s nekim starješinama i odvjetnikom, nekim Tertulom te izniješe upravitelju tužbu protiv Pavla.
2c180200a4	Pošto dozvaše Pavla, poče ga Tertul optuživati: “Veliki mir što ga po tebi, vrli Felikse, uživamo i boljitak što tvojom providnošću narodu ovomu nastaje,
2c18030030	u svemu i posvuda primamo sa svom zahvalnošću.
2c1804005b	Ali, da ti dulje ne dodijavam, molim te da nas u svojoj blagonaklonosti ukratko poslušaš.
2c18050078	Utvrdismo da je ovaj čovjek kuga, da pokreće bune među svim Židovima po svijetu, da je kolovođa nazaretske sljedbe,
2c18060034	da je čak i Hram pokušao oskvrnuti pa ga uhitismo.
2c18080055	Od njega, ako ga o svemu tomu ispitaš, možeš saznati za što ga mi optužujemo.”
2c1809002c	Podržaše ga i Židovi tvrdeći da je tako.
2c180a0088	Nato Pavao odvrati pošto mu upravitelj kimnu da govori: “Kako znam da si već mnogo godina sudac narodu ovomu, mirne se duše branim.
2c180b0063	Ta možeš se osvjedočiti da nema više od dvanaest dana otkad uzađoh u Jeruzalem da se poklonim.
2c180c0061	A nisu me našli ni u Hramu da s kim raspravljam ili bunu podižem, ni u sinagogama, ni po gradu.
2c180d0037	I ne mogu ti dokazati ono za što me sada optužuju.”
2c180e008a	“Jamčim ti, naprotiv, ovo: Putom koji nazivaju sljedbom služim otačkom Bogu vjerujući u sve što je u Zakonu i u Prorocima napisano,
2c180f0059	uzdajući se u Boga da će uskrsnuti pravednici i nepravednici, što oni i sami očekuju.
2c18100054	Zato se i ja trudim uvijek imati savjest besprijekornu pred Bogom i pred ljudima.”
2c1811004b	“Nakon više godina dođoh da donesem milostinju za svoj narod i prinose;
2c18120054	dok sam ih prinosio, nađoše me posvećena u Hramu, a ne sa svjetinom ni u metežu.
2c1813006f	Ali neki Židovi iz Azije - da, trebalo bi da se oni pojave pred tobom i optuže me ako što imaju protiv mene.
2c18140055	Ili neka ovi sami kažu: koji su zločin na meni našli kad sam stajao pred Vijećem,
2c18150077	osim možda one jedne riječi koju doviknuh među njima stojeći: Zbog uskrsnuća mrtvih sudi mi se danas pred vama!”
2c1816008d	Nato Feliks, koji je točno znao sve o ovom Putu, odgodi njihovu parnicu rekavši: “Kada dođe tisućnik Lizija, riješit ću vaš spor.”
2c18170072	Satniku pak naredi da se Pavao čuva, ali da uživa olakšice i da se nikomu od njegovih ne brani posluživati ga.
2c18180089	Nakon nekoliko dana stigne i Feliks sa svojom ženom Druzilom koja bijaše Židovka; posla po Pavla i posluša ga o vjeri u Isusa Krista.
2c18190098	Kad Pavao stade raspravljati o pravednosti, uzdržljivosti i budućem Sudu, Feliks uplašen reče: “Zasad idi, a kad nađem vremena, pozvat ću te.”
2c181a005d	Ujedno se nadao da će mu Pavao dati novaca. Zato ga je češće pozivao i s njim razgovarao.
2c181b0076	Nakon dvije godine dobi Feliks za nasljednika Porcija Festa. Hoteći ugoditi Židovima, ostavi Feliks Pavla u okovima.
2c1901004e	Fest dakle tri dana nakon dolaska u provinciju uziđe iz Cezareje u Jeruzalem.
2c19020056	Veliki mu svećenici i prvaci židovski izniješe tužbu protiv Pavla te ga zaklinjahu
2c19030065	ištući milost protiv Pavla: da ga pošalje u Jeruzalem. Jer spremali su zasjedu da ga putom smaknu.
2c1904005c	Ali Fest odvrati kako Pavao treba da ostane zatvoren u Cezareji, a i on da će uskoro onamo.
2c1905006f	“Ovlašteni dakle među vama, reče, neka sa mnom siđu pa ako na tom čovjeku ima krivnje, neka ga tuže.”
2c1906008b	Pošto se u njih zadrži najviše osam ili deset dana, siđe u Cezareju. Sutradan sjede na sudačku stolicu i zapovjedi da se dovede Pavao.
2c1907008f	Kad se on pojavi, okružiše ga Židovi koji su sišli iz Jeruzalema i izniješe protiv njega mnoge i teške optužbe kojih ne mogahu dokazati.
2c1908005d	Pavao se branio: “Ničim se nisam ogriješio ni o židovski Zakon, ni o Hram, ni o cara.”
2c19090076	Nato Fest hoteći ugoditi Židovima, odvrati Pavlu: “Hoćeš li u Jeruzalem da ti se ondje za to sudi preda mnom?”
2c190a0082	A Pavao će: “Stojim pred sudom carevim, gdje treba da mi se sudi. Židovima ništa ne skrivih, kao što i ti veoma dobro znaš.
2c190b00c5	Ako sam pak doista što skrivio i učinio štogod što zavređuje smrt, ne izmičem smrti; ako li pak ne stoji ono za što me ovi tuže, nitko me ne može njima izručiti. Na cara se prizivljem!”
2c190c0063	Tada se Fest posavjetova s vijećem pa odgovori: “Na cara si se prizvao, pred cara ćeš ići!”
2c190d0051	Nekoliko dana poslije dođu kralj Agripa i Berenika u Cezareju da pozdrave Festa.
2c190e0086	Kako se ondje zadržaše nekoliko dana, izloži Fest kralju to o Pavlu: “Ima neki čovjek, reče, što ga je Feliks ostavio uznikom.
2c190f006a	Kad bijah u Jeruzalemu, izniješe veliki svećenici i starješine protiv njega tužbu i zatražiše osudu.
2c1910009e	Odgovorih im da u Rimljana nije običaj izručivati kojega čovjeka prije negoli se, optužen, suoči s tužiteljima i dobije prigodu da se brani od optužbe.
2c1911007f	Pošto zajedno dođosmo ovamo, bez ikakva odgađanja sjedoh ja sutradan na sudačku stolicu i zapovjedih dovesti toga čovjeka.
2c19120062	Tužitelji ga okružiše, ali ne izniješe tužbe ni za jedno od zlodjela koja sam ja naslućivao,
2c19130073	nego su protiv njega imali nešto prijeporno o svojoj vjeri i o nekom Isusu koji je umro, a Pavao tvrdi da je živ.
2c1914005c	Ne snalazeći se u takvoj raspravi, upitah bi li htio u Jeruzalem da mu se ondje za to sudi.
2c1915007a	Budući da se Pavao prizivom podložio presudi njegova Veličanstva, zapovjedih da ga čuvaju dok ga ne pošaljem caru.”
2c19160064	Na to će Agripa Festu: “Htio bih i ja čuti toga čovjeka.” “Sutra ćeš ga, reče, čuti.”
2c191700ab	Sutradan dakle dođu Agripa i Berenika s velikim sjajem te uđu u dvoranu zajedno s tisućnicima i najuglednijim gradskim muževima. Kad na zapovijed Festovu dovedu Pavla,
2c191800c2	reče Fest: “Agripa, kralju, i vi svi ovdje s nama nazočni, gledajte ovoga čovjeka! Zbog njega me sav narod židovski salijetao i u Jeruzalemu i ovdje vičući da on ne smije više živjeti.
2c19190086	Ali ja nađoh da nije učinio ništa čime bi zaslužio smrt pa kad se on sam prizvao na njegovo Veličanstvo, odlučih poslati mu ga.
2c191a009f	Ja nemam ništa pouzdano o njemu napisati Gospodaru. Zato ga izvedoh pred vas, ponajpače preda te, kralju Agripa, da bih nakon ove istrage imao što napisati.
2c191b0058	Čini mi se doista besmislenim poslati uznika, a ne naznačiti optužbu protiv njega.”
2c1a010066	Nato Agripa reče Pavlu: “Dopušta ti se o sebi govoriti.” Pavao ispruži ruku i stade se braniti:
2c1a020076	“Smatram se sretnim što se u svemu za što me Židovi optužuju mogu, evo, danas braniti pred tobom, kralju Agripa,
2c1a030064	jer ti najbolje poznaješ židovske običaje i zadjevice. Zato me, molim, velikodušno poslušaj.”
2c1a040064	“Dakle, život moj od najranije mladosti proveden u narodu mojem, u Jeruzalemu, znaju svi Židovi.
2c1a050074	Poznaju me odavna te mogu, ako samo hoće, svjedočiti da sam po najstrožoj sljedbi naše vjere živio kao farizej.
2c1a060049	I sada stojim pred sudom zbog nade u obećanje koje Bog dade ocima našim
2c1a07007f	i kojemu se dovinuti nada dvanaest plemena naših, svesrdno noću i danju služeći Bogu. Za tu me nadu, kralju, tuže Židovi.
2c1a080038	Zašto nevjerojatnim smatrate da Bog mrtve uskrisuje?”
2c1a09005b	“Pa i ja sam nekoć smatrao da mi se svim silama boriti protiv imena Isusa Nazarećanina.
2c1a0a008f	To sam i činio u Jeruzalemu: mnoge sam svete, pošto od velikih svećenika dobih punomoć, u tamnice zatvorio, dao svoj glas kad su ih ubijali
2c1a0b008a	i po svim ih sinagogama često mučenjem prisiljavao psovati i, prekomjerno bijesan na njih, progonio sam ih čak i u tuđim gradovima.”
2c1a0c004a	“Radi toga pođoh u Damask s punomoći i ovlaštenjem velikih svećenika
2c1a0d0075	kadli u pol bijela dana na putu vidjeh, kralju, kako s neba svjetlost od sunca sjajnija obasja mene i moje suputnike.
2c1a0e0099	Pošto popadasmo na zemlju, začuh glas što mi govoraše hebrejskim jezikom: 'Savle, Savle, zašto me progoniš? Teško ti se protiv ostana praćakati.'
2c1a0f0052	Ja odvratih: 'Tko si, Gospodine?' Gospodin će mi: 'Ja sam Isus koga ti progoniš!
2c1a100084	Nego ustani, na noge se jer zato ti se ukazah da te postavim za poslužitelja i svjedoka onoga što si vidio i što ću ti pokazati.
2c1a110036	Izbavit ću te od naroda i od pogana kojima te šaljem
2c1a1200a0	da im otvoriš oči pa se obrate od tame k svjetlosti, od vlasti Sotonine k Bogu te po vjeri u mene prime oproštenje grijeha i baštinu među posvećenima.'”
2c1a130040	“Otada, kralju Agripa, ne bijah neposlušan nebeskom viđenju.
2c1a1400a5	Nego najprije onima u Damasku pa onda i u Jeruzalemu, svoj zemlji židovskoj i poganima navješćivah da se pokaju i obrate k Bogu i čine djela dostojna obraćenja.
2c1a15003a	Zbog toga me Židovi uhvatiše u Hramu i pokušaše ubiti.
2c1a16009d	Ali s pomoću Božjom sve do dana današnjega svjedočim, evo, malu i veliku, ne govoreći ništa osim onoga što Proroci govorahu i Mojsije da se ima zbiti:
2c1a170067	da će Krist trpjeti i da će on, prvouskrsli od mrtvih, svjetlost navješćivati narodu i poganima.”
2c1a180068	Dok se on tako branio, Fest će mu u sav glas: “Mahnitaš, Pavle! Veliko ti znanje mozgom zavrnulo.”
2c1a190051	“Ne mahnitam, vrli Feste, odvrati Pavao, nego riječi istine i razbora kazujem.
2c1a1a0088	Ta znade za to kralj komu s pouzdanjem govorim. Ništa mu od toga, uvjeren sam, nije nepoznato; jer nije se to dogodilo u kakvu zakutku.
2c1a1b003d	Vjeruješ li, kralju Agripa, Prorocima? Znam da vjeruješ!”
2c1a1c0043	Agripa će Pavlu: “Zamalo pa me uvjeri te kršćaninom postah!”
2c1a1d008e	Pavao pak: “Dao Bog te i za malo i za mnogo, ne samo ti nego i svi koji me danas slušaju postali ovakvima kakav sam ja, osim ovih okova!”
2c1a1e0046	Nato usta kralj, upravitelj, Berenika i oni koji su s njima zasjedali.
2c1a1f006d	Udaljujući se govorili su među sobom: “Ovaj čovjek ne čini ništa čime bi zaslužio smrt ili okove.”
2c1a20005c	Agripa pak reče Festu: “Ovaj bi čovjek mogao biti pušten da se nije prizvao na cara.”
2c1b010074	Kad je odlučeno da odjedrimo u Italiju, predadoše i Pavla i neke druge uznike satniku carske čete, imenom Juliju.
2c1b020087	Popesmo se na neku adramitsku lađu koja je imala ploviti u azijska mjesta pa otplovismo. S nama je bio Aristarh Makedonac, Solunjanin.
2c1b03007f	Sutradan doplovismo u Sidon. Julije, koji je s Pavlom čovječno postupao, dopusti mu poći k prijateljima da se pobrinu za nj.
2c1b04004c	Odande smo otplovili, jedrili uz Cipar - jer su nam vjetrovi bili protivni -
2c1b050046	pa preplovili more duž Cilicije i Pamfilije i stigli u Miru licijsku.
2c1b06004b	Ondje satnik nađe neku aleksandrijsku lađu za Italiju i ukrca nas na nju.
2c1b070078	Više smo dana plovili sporo i jedva doprli do Knida. Kako nam vjetar ne dade pristati, doplovismo pod Kretu kod Salmone
2c1b080071	pa jedva jedvice ploveći uza nju, stigosmo na neko mjesto zvano Dobra pristaništa, blizu kojega je grad Laseja.
2c1b09006d	Kad je nakon duljeg vremena plovidba već postala pogibeljna jer je Post već bio izminuo, opominjaše Pavao:
2c1b0a0084	“Ljudi, govorio im je, vidim da će plovidba biti nezgodna i na veliku štetu ne samo za tovar i lađu nego i za naše živote.”
2c1b0b0051	Ali je satnik više vjerovao kormilaru i brodovlasniku negoli Pavlovim riječima.
2c1b0c00c4	A kako luka nije bila prikladna za zimovanje, većina je predlagala da odande otplove ne bi li kako doprli do kretske luke Feniksa, što gleda prema jugozapadu i sjeverozapadu, pa ondje prezimili.
2c1b0d006d	Uto duhne blagi južnjak i oni, misleći da bi mogli ostvariti naum, digoše sidro i zaploviše tik uz Kretu.
2c1b0e0044	Ali nedugo zatim razbjesni se žestok vjetar zvan sjeveroistočnjak.
2c1b0f0046	Zahvati lađu te mu nije mogla odoljeti pa se prepustismo da nas nosi.
2c1b10004f	Prolazeći ispod nekog otočića zvanog Kauda, jedva uspjesmo dohvatiti čamac.
2c1b110088	Podigoše ga pa upotrijebiše snast da potpašu lađu. Bojeći se pak da se ne nasuču u Sirti, spustiše prvenjaču. Tako ih je nosilo.
2c1b120048	Budući da nas je oluja silovito udarala, sutradan se riješiše tovara,
2c1b130034	a treći dan svojim rukama izbaciše brodsku opremu.
2c1b14008c	Kako se pak više dana nije pomaljalo ni sunce ni zvijezde, a oluja bjesnjela nemalena, bila je već propala svaka nada da ćemo se spasiti.
2c1b1500a0	Ni jelo se već dugo nije. Onda usta Pavao posred njih i reče: “Trebalo je, ljudi, poslušati me, ne se otiskivati od Krete i izbjeći ovu nepogodu i štetu.
2c1b160065	Sada vas pak opominjem: razvedrite se jer ni živa duša između vas neće stradati, nego samo lađa.
2c1b170037	Noćas mi se ukaza anđeo Boga čiji sam i komu služim
2c1b18005f	te reče: 'Ne boj se, Pavle! Pred cara ti je stati i evo Bog ti daruje sve koji plove s tobom.'
2c1b190045	Zato razvedrite se, ljudi! Vjerujem Bogu: bit će kako mi je rečeno.
2c1b1a002a	Ali treba da se nasučemo na neki otok.”
2c1b1b0089	Bijaše već četrnaesta noć što smo bili tamo-amo gonjani po Jadranu kad oko ponoći naslutiše mornari da im se primiče neka zemlja.
2c1b1c0067	Bacivši olovnicu, nađoše dvadeset hvati dubine; malo poslije baciše je opet i nađoše ih petnaest.
2c1b1d0063	Kako se bojahu da ne naletimo na grebene, baciše s krme četiri sidra iščekujući da se razdani.
2c1b1e007a	Kad su mornari bili naumili uteći iz lađe i počeli spuštati čamac u more pod izlikom da s pramca kane spustiti sidra,
2c1b1f005c	reče Pavao satniku i vojnicima: “Ako ovi ne ostanu na lađi, vi se spasiti ne možete!”
2c1b20003a	Nato vojnici presjekoše užad čamca i pustiše da padne.
2c1b210083	Do pred svanuće nutkao je Pavao sve da uzmu hrane: “Četrnaesti je danas dan, reče, što bez jela čekate, ništa ne okusivši.
2c1b22006d	Stoga vas molim: založite nešto jer to je za vaš spas. Ta nikome od vas ni vlas s glave neće propasti.”
2c1b230046	Rekavši to, uze kruh, pred svima zahvali Bogu, razlomi i stade jesti.
2c1b240024	Svi se razvedre te i oni uzmu hrane.
2c1b25003c	A svih nas je u lađi bilo dvjesta sedamdeset i šest duša.
2c1b260044	Jednom nasićeni, stanu rasterećivati lađu bacajući žito u more.
2c1b27007e	Kad osvanu, mornari ne prepoznaše zemlje; razabraše neki zaljev ravne obale pa odluče, bude li moguće, u nj zavesti lađu.
2c1b280078	Odriješe sidra i ostave ih u moru. Istodobno popuste i spone kormila, razapnu prvenjaču prema vjetru pa udare k obali.
2c1b290071	Ali naletješe na plićak i nasukaše brod: pramac, nasađen, osta nepomičan, a krmu razdiraše žestina valova.
2c1b2a004a	Tada vojnici naumiše poubijati sužnje da ne bi koji isplivao i pobjegao,
2c1b2b0078	ali im satnik, hoteći spasiti Pavla, omete naum: zapovjedi da oni koji znaju plivati najprvi poskaču i izađu na kraj,
2c1b2c0062	a ostali će, tko na daskama, tko na olupinama lađe. Tako svi živi i zdravi prispješe na kopno.
2c1c010030	Jednom spašeni, doznasmo da se otok zove Malta.
2c1c020085	Urođenici nam iskazivahu nesvakidašnje čovjekoljublje. Zapališe krijes i okupiše nas oko njega jer je počela kiša i bilo zima.
2c1c030066	Pavao nakupi naramak granja i baci na krijes kadli zbog vrućine izađe zmija i pripije mu se za ruku.
2c1c0400a5	Kad su urođenici vidjeli gdje mu životinja visi o ruci, govorili su među sobom: “Ovaj je čovjek zacijelo ubojica: umakao je moru i Pravda mu ne da živjeti.”
2c1c050033	Ali on otrese životinju u vatru i ne bi mu ništa;
2c1c0600ba	a oni očekivahu da će oteći i umah se srušiti mrtav. Pošto su dugo čekali i vidjeli da mu se ništa neobično nije dogodilo, promijeniše mišljenje te stadoše govoriti da je bog.
2c1c07006f	U okolici onoga mjesta bilo je imanje prvaka otoka, imenom Publija. On nas je primio i tri dana uljudno gostio.
2c1c08007d	A Publijeva je oca uhvatila ognjica i srdobolja pa je ležao. Pavao uđe k njemu, pomoli se, stavi na nj ruke i izliječi ga.
2c1c09004b	Nakon toga su dolazili i drugi koji na otoku bijahu bolesni te ozdravljali.
2c1c0a0054	Oni nas mnogim počastima počastiše i na odlasku nam priskrbiše što je potrebno.
2c1c0b0068	Nakon tri mjeseca otplovismo aleksandrijskom lađom koja je prezimila na otoku i imala za znak Dioskure.
2c1c0c0031	Doplovismo u Sirakuzu i ostadosmo ondje tri dana.
2c1c0d0067	Odande ploveći uz obalu, stigosmo u Regij. Sutradan okrenu južnjak te za dva dana stigosmo u Puteole.
2c1c0e005c	Ondje nađosmo braću koja nas zamoliše da ostanemo u njih sedam dana. Tako stigosmo u Rim.
2c1c0f0091	Kada su tamošnja braća čula za nas, iziđoše nam u susret do Apijeva trga i Triju gostionica. Kad ih Pavao ugleda, zahvali Bogu i ohrabri se.
2c1c100060	A kad uđosmo u Rim, Pavlu su dopustili stanovati zasebno, zajedno s vojnikom koji ga je čuvao.
2c1c1100c4	Nakon tri dana sazva on židovske prvake. Kad se sabraše, reče im: “Ja, braćo, ne učinih ništa protiv naroda ni običaja otačkih, a ipak me okovana u Jeruzalemu predadoše u ruke Rimljana.
2c1c120061	Oni me nakon istrage htjedoše pustiti jer nije na meni bilo ništa čime bih bio zaslužio smrt.
2c1c130084	Kako se Židovi tome opriješe, bio sam prisiljen prizvati se na cara; ne dakle stoga što bih imao bilo za što tužiti svoj narod.
2c1c140067	S toga dakle razloga zamolih vidjeti vas i obratiti vam se jer zbog nade Izraelove nosim ove verige.”
2c1c150087	Oni mu odvrate: “Mi o tebi nismo primili nikakva pisma iz Judeje niti nam je tko od pristigle braće o tebi što zlo javio ili rekao.
2c1c16006b	Nego htjeli bismo od tebe čuti što misliš jer o toj sljedbi znamo samo da joj se posvuda proturječi.”
2c1c1700b0	Nato urekoše dan pa dođoše mnogi k njemu u stan. Izlagao im je i svjedočio o kraljevstvu Božjemu te ih od jutra do večeri iz Mojsijeva Zakona i Proroka uvjeravao o Isusu.
2c1c18003a	I jedne uvjeriše njegove riječi, a drugi nisu vjerovali.
2c1c190094	Nesložni tako među sobom, stadoše se razilaziti kadli im Pavao reče još jednu riječ: “Lijepo Duh Sveti po Izaiji proroku reče ocima vašim:
2c1c1a0076	Idi k tomu narodu i reci mu: Slušat ćete, slušati - i nećete razumjeti; gledat ćete, gledati - i nećete vidjeti!
2c1c1b009a	Jer usalilo se srce naroda ovoga: uši začepiše, oči zatvoriše da očima ne vide, ušima ne čuju, srcem ne razumiju te se ne obrate pa ih izliječim.
2c1c1c005e	Neka vam je dakle svima znano: poganima je poslano ovo spasenje Božje; oni će poslušati!”
2c1c1e0062	Pavao osta pune dvije godine u svom unajmljenom stanu gdje je primao sve koji su dolazili k njemu,
2c1c1f0061	propovijedao kraljevstvo Božje i naučavao o Gospodinu Isusu Kristu sa svom slobodom, nesmetano.
2d0000000a	Rimljanima
2d0101004e	Pavao, sluga Krista Isusa, pozvan za apostola, odlučen za evanđelje Božje -
2d01020043	koje Bog unaprijed obećavaše po svojim prorocima u Pismima svetim
2d01030029	o Sinu svome, potomku Davidovu po tijelu,
2d01040072	postavljenu Sinom Božjim, u snazi, po Duhu posvetitelju uskrsnućem od mrtvih, o Isusu Kristu, Gospodinu našemu,
2d01050069	po komu primismo milost i apostolstvo da na slavu imena njegova k poslušnosti vjere privodimo sve pogane
2d0106002d	među kojima ste i vi pozvanici Isusa Krista:
2d01070079	svima u Rimu, miljenicima Božjim, pozvanicima, svetima. Milost vam i mir od Boga, Oca našega, i Gospodina Isusa Krista.
2d01080070	Ponajprije zahvaljujem Bogu mojemu po Isusu Kristu za sve vas: što se vaša vjera navješćuje po svem svijetu.
2d0109005b	Doista, svjedok mi je Bog - komu duhom svojim služim u evanđelju Sina njegova - da vas se
2d010a0082	u svojim molitvama neprekidno spominjem i uvijek molim ne bi li mi se već jednom s voljom Božjom nekako posrećilo doći k vama.
2d010b0055	Jer čeznem vidjeti vas da vam predam nešto dara duhovnoga te se ojačate, zapravo -
2d010c0042	da se zajedno s vama ohrabrim zajedničkom vjerom, vašom i mojom.
2d010d00a4	A ne bih htio, braćo, da ne znate: često sam bio nakanio doći k vama - i sve dosad bio spriječen - da i među vama uberem koji plod kao i među drugim narodima.
2d010e0038	Dužnik sam Grcima i barbarima, mudracima i neznalicama.
2d010f003a	Odatle moja nakana da i vama u Rimu navijestim evanđelje.
2d01100073	Ne stidim se, uistinu, evanđelja: ono je snaga Božja na spasenje svakomu tko vjeruje - Židovu najprije, pa Grku.
2d0111006e	Jer pravednost se Božja od vjere k vjeri u njemu otkriva kao što je pisano: Pravednik će od vjere živjeti.
2d01120076	Otkriva se doista s neba gnjev Božji na svaku bezbožnost i nepravednost ljudi koji istinu sputavaju nepravednošću.
2d01130041	Jer što se o Bogu može spoznati, očito im je: Bog im očitova.
2d01140093	Uistinu, ono nevidljivo njegovo, vječna njegova moć i božanstvo, onamo od stvaranja svijeta, umom se po djelima razabire tako da nemaju isprike.
2d01150094	Jer premda upoznaše Boga, ne iskazaše mu kao Bogu ni slavu ni zahvalnost, nego ishlapiše u mozganjima svojim te se pomrači bezumno srce njihovo.
2d01160021	Gradeći se mudrima, poludješe i
2d01170073	zamijeniše slavu neraspadljivog Boga likom, obličjem raspadljiva čovjeka, i ptica, i četveronožaca, i gmazova.
2d01180063	Zato ih je Bog po pohotama srdaca njihovih predao nečistoći te sami obeščašćuju svoja tijela,
2d01190086	oni što su Istinu - Boga zamijenili lažju, častili i štovali stvorenje umjesto Stvoritelja, koji je blagoslovljen u vjekove. Amen.
2d011a0065	Stoga ih je Bog predao sramotnim strastima: njihove žene zamijeniše naravno općenje protunaravnim,
2d011b00c9	a tako su i muškarci napustili naravno općenje sa ženom i raspalili se pohotom jedni za drugima te muškarci s muškarcima sramotno čine i sami na sebi primaju zasluženu plaću svoga zastranjenja.
2d011c0070	I kako nisu smatrali vrijednim držati se spoznaje Boga, predade ih Bog nevaljanu umu te čine što ne dolikuje,
2d011d007a	puni svake nepravde, pakosti, lakomosti, zloće; puni zavisti, ubojstva, svađe, prijevare, zlonamjernosti; došaptavači,
2d011e0066	klevetnici, mrzitelji Boga, drznici, oholice, preuzetnici, izmišljači zala, roditeljima neposlušni,
2d011f002d	nerazumni, nevjerni, bešćutni, nemilosrdni.
2d01200082	Znaju za odredbu Božju - da smrt zaslužuju koji takvo što čine - a oni ne samo da to čine nego i povlađuju onima koji čine.
2d0201008d	Zato nemaš isprike, čovječe koji sudiš, tko god ti bio. Jer time što drugoga sudiš, sebe osuđuješ: ta to isto činiš ti što sudiš.
2d02020038	Znamo pak: Bog po istini sudi one koji takvo što čine.
2d02030076	Misliš li da ćeš izbjeći sudu Božjemu, ti čovječe što sudiš one koji takvo što čine, a sam to isto činiš?
2d02040082	Ili prezireš bogatstvo dobrote, strpljivosti i velikodušnosti njegove ne shvaćajući da te dobrota Božja k obraćenju privodi?
2d02050078	Tvrdokornošću svojom i srcem koje neće obraćenja zgrćeš na se gnjev za Dan gnjeva i objavljenja pravedna suda Boga
2d02060025	koji će uzvratiti svakom po djelima:
2d02070061	onima koji postojanošću u dobrim djelima ištu slavu, čast i neraspadljivost - život vječni;
2d0208004e	buntovnicima pak i nepokornima istini, a pokornima nepravdi - gnjev i srdžba!
2d0209005d	Nevolja i tjeskoba na svaku dušu čovječju koja čini zlo, na Židova najprije, pa na Grka;
2d020a0049	a slava, čast i mir svakomu koji čini dobro, Židovu najprije, pa Grku!
2d020b001c	Ta u Boga nema pristranosti.
2d020c007f	Uistinu koji bez Zakona sagriješiše, bez Zakona će i propasti; i koji pod Zakonom sagriješiše, po Zakonu će biti suđeni.
2d020d005f	Ne, pred Bogom nisu pravedni slušatelji Zakona, nego - izvršitelji će Zakona biti opravdani.
2d020e006d	Ta kad se god pogani, koji nemaju Zakona, po naravi drže Zakona, i nemajući Zakona, oni su sami sebi Zakon:
2d020f00a0	pokazuju da je ono što Zakon nalaže upisano u srcima njihovim. O tom svjedoči i njihova savjest, a i prosuđivanja kojima se među sobom optužuju ili brane.
2d02100077	To će se očitovati na Dan u koji će, po mojem evanđelju, Bog po Isusu Kristu suditi ono što je skriveno u ljudima.
2d02110058	Ako pak ti koji se Židovom nazivaš, koji mirno počivaš na Zakonu i dičiš se Bogom,
2d02120043	koji poznaješ Volju i iz Zakona poučen razlučuješ što je bolje
2d02130038	te si uvjeren da si vođa slijepih, svjetlo onih u tami,
2d02140057	odgojitelj nerazumnih, učitelj nejačadi jer u Zakonu imaš oličenje znanja i istine;
2d02150062	ti, dakle, koji drugoga učiš, sam sebe ne učiš! Ti koji propovijedaš da se ne krade, kradeš!
2d02160061	Ti koji zabranjuješ preljub, preljub počinjaš! Ti komu su odvratni kumiri, pljačkaš hramove!
2d02170049	Ti koji se Zakonom dičiš, kršenjem toga Zakona Boga obeščašćuješ!
2d02180043	Doista, kako je pisano, ime se Božje zbog vas huli među narodima.
