0100000009	UGenesisi
3102100069	njalo enze ukuthi bobabili babuyisane loNkulunkulu emzimbeni munye ngesiphambano, esebulele ubutha ngaso;
310211004b	njalo weza watshumayela ukuthula kini elalikhatshana, lakulabo ababeseduze;
3102120036	ngoba ngaye sobabili silokungena ngoMoya munye kuBaba.
3102130067	Ngakho-ke kaliseyibo abemzini lezihambi, kodwa izakhamizi kanye labangcwele njalo abendlu kaNkulunkulu,
3102140067	lakhiwe phezu kwesisekelo sabaphostoli labaprofethi, uJesu Kristu uqobo eyilitshe eliyinhloko yengonsi,
3102150051	okuhlanganiselwe kuye isakhiwo sonke sikhule sibe lithempeli elingcwele eNkosini,
310216004b	elakhiwa kuye lani kanye labanye libe yindlu yokuhlala kaNkulunkulu kuMoya.
3103010046	Ngenxa yalokhu mina Pawuli, isibotshwa sikaKristu Jesu ngani abezizwe,
3103020049	uba kambe selizwile ngokuphathwa komusa kaNkulunkulu engawuphiwelwa lina,
3103030059	ukuthi njengesambulelo wangazisa imfihlo (njengalokhu ngabhala ngaphambili ngamafitshane,
3103040044	okungalokhu, nxa lifunda, lingazi ulwazi lwami emfihlweni kaKristu);
3103050092	yona engaziswanga ezizukulwaneni ezinye ebantwaneni babantu, njengalokhu isiyembuliwe khathesi kubaphostoli bakhe abangcwele labaprofethi ngoMoya;
310306007c	ukuthi abezizwe babe yizindlalifa abahlanganyeli lomzimba ofananayo labahlanganyeli besithembiso sakhe kuKristu, ngevangeli,
3103070065	engenziwa ngalo isikhonzi njengokwesipho somusa kaNkulunkulu engiwuphiwe ngokusebenza kwamandla akhe.
310308009b	Kimi, engimncinyane kulomncinyane wabo bonke abangcwele, lowomusa ngawuphiwa, ukuthi ngitshumayele kwabezizwe ivangeli lenotho kaKristu engelakulinganiswa,
3103090085	lokukhanyisela bonke ukuthi buyini ubudlelwano bemfihlo, ebifihliwe kusukela endulo kuNkulunkulu owadala izinto zonke ngoJesu Kristu,
31030a0070	ukuze khathesi emibusweni lemandleni endaweni zezulu yaziswe libandla inhlakanipho kaNkulunkulu ezinhlobonhlobo,
31030b003b	njengokwecebo laphakade alenza ngoKristu Jesu iNkosi yethu;
31030c0037	esilesibindi kuye lokungena ngethemba, ngokholo lwakhe.
31030d0055	Ngakho ngiyacela ukuthi lingalahli ithemba enhluphekweni zami ngani, eziludumo lwenu.
31030e0043	Ngenxa yalokhu ngiguqa ngamadolo kuYise weNkosi yethu uJesu Kristu,
31030f003a	okubizwa ngaye usendo lonke olusemazulwini lolusemhlabeni,
3103100068	ukuze alinike, njengokwenotho yobukhosi bakhe, liqiniswe ngamandla ngoMoya wakhe emuntwini ongaphakathi,
3103110050	ukuze uKristu ahlale ngokholo enhliziyweni zenu; ligxilile lisekelwe ethandweni,
3103120079	ukuze libe lamandla sibili okuqedisisa kanye labo bonke abangcwele, ukuthi kuyini ububanzi lobude lokutshona lokuphakama,
3103130060	lokwazi uthando lukaKristu olwedlula ulwazi, ukuze ligcwaliswe ngokugcwala konke kukaNkulunkulu.
310314008d	Njalo kuye, olamandla phezu kwakho konke okwenza okwedlula ngokwengezelelweyo kwesikucelayo kumbe esikunakanayo, njengamandla asebenza kithi,
310315005b	kuye kakube udumo ebandleni kuKristu Jesu, ezizukulwaneni zonke zaphakade laphakade. Ameni.
3104010060	Ngakho ngiyalincenga, mina isibotshwa eNkosini, ukuthi lihambe ngokufanele ubizo elabizwa ngalo,
310402004b	kanye lokuthobeka konke lobumnene, lokubekezela, libekezelelane ethandweni,
310403003c	likhuthale ukugcina ukuhlangana koMoya ngesibopho sokuthula.
3104040057	Munye umzimba njalo munye uMoya, njengalokhu lani labizwa ethembeni linye lobizo lwenu;
310405002f	yinye iNkosi, lunye ukholo, lunye ubhabhathizo,
3104060055	munye uNkulunkulu loYise wabo bonke, ophezu kwabo bonke, langabo bonke, lakini lonke.
3104070051	Kodwa ngulowo lalowo wethu waphiwa umusa njengokwesilinganiso sesipho sikaKristu.
3104080054	Ngakho uthi: Ekwenyukeleni kwakhe phezulu wathumba ukuthunjwa, wanika abantu izipho.
3104090068	Lokhu-ke ukuthi: Wenyuka, kuyini ngaphandle kokuthi laye wehlela kuqala kungxenye ezingaphansi zomhlaba?
31040a0064	Owehlayo, nguye owenyukela futhi khatshana ngaphezulu kwamazulu wonke, ukuze agcwalise izinto zonke.
31040b0083	Yena wasenika abanye babe ngabaphostoli, labanye babe ngabaprofethi, labanye babe ngabavangeli, labanye babe ngabelusi labafundisi,
31040c0052	ekuphelelisweni kwabangcwele, emsebenzini wenkonzo, ekwakhiweni komzimba kaKristu;
31040d0089	size sifike sonke ebunyeni bokholo, lobolwazi lweNdodana kaNkulunkulu, endodeni epheleleyo, esilinganisweni sesimo sokugcwala kukaKristu;
31040e00a0	ukuze singabe sisaba zinsane, ezizuliswa ngamagagasi njalo ezithwalelwa le lale yiwo wonke umoya wemfundiso, ngenkohliso yabantu, ngobuqili becebo lokuphambuka;
31040f0050	kodwa sikhulume iqiniso ethandweni sikhule kukho konke kuye, oyinhloko, uKristu,
31041000ce	okuvela kuye umzimba wonke, ohlanganiswe kuhle njalo ubambene, ngokwelekelelana kwalo lonke ilunga, njengokusebenza esilinganisweni saleso laleso isitho, wenza ukukhula komzimba ekuzakheni kwawo ethandweni.
3104110078	Ngakho ngitsho lokho ngifakaza eNkosini, ukuthi lingabe lisahamba lanjengabanye abezizwe behamba ebuzeni bengqondo yabo,
3104120072	befiphaziwe engqondweni, benziwe abemzini empilweni kaNkulunkulu ngokungazi okukibo, ngobulukhuni benhliziyo yabo;
3104130050	abathi sebentunyile, bazinikela emanyaleni, ekwenzeni kokungcola konke ngomhawu.
310414002c	Kodwa lina kalimfundanga ngokunjalo uKristu,
310415003b	uba-ke limzwile lafundiswa kuye, njengoba iqiniso likuJesu;
3104160060	ukuthi lilahle mayelana lohambo lokuqala, umuntu omdala, owonakala mayelana lezifiso zenkohliso;
310417002c	njalo lenziwe batsha emoyeni wengqondo yenu,
310418005d	njalo lembathe umuntu omutsha, odalwe njengokukaNkulunkulu ekulungeni lebungcweleni beqiniso.
310419006b	Ngakho lilahla amanga, khulumani iqiniso ngulowo lalowo lomakhelwane wakhe; ngoba siyizitho omunye komunye.
31041a003e	Thukuthelani lingoni; ilanga kalingatshoni phezu kolaka lwenu;
31041b0023	futhi lingamniki indawo udiyabhola.
31041c0077	Owebayo kangabe eseba; kodwa kulalokhu kakhuthale, asebenze okuhle ngezandla zakhe, ukuze abe lakho ukwabela olenswelo.
31041d0093	Kakungaphumi emlonyeni wenu lalinye ilizwi elibolileyo, kodwa kuphela okuhle okulungele ukwakha njengokufaneleyo, ukuze kunike umusa kubo abezwayo.
31041e0060	Njalo lingamdabukisi uMoya oyiNgcwele kaNkulunkulu, elaphawulwa ngaye kuze kube lusuku lohlengo.
31041f005e	Konke ukubaba lentukuthelo lolaka lomsindo lokunyeya kakususwe kini, kanye layo yonke inzondo;
3104200072	kodwa libe mnene omunye komunye, lilesihawu, lithethelelane, njengalokhu uNkulunkulu laye walithethelela kuKristu.
3105010048	Ngakho banini ngabalandeli bakaNkulunkulu, njengabantwana abathandekayo;
3105020095	njalo lihambe ethandweni, njengalokhu uKristu laye wasithanda, wazinikelela thina abe ngumnikelo lomhlatshelo kuNkulunkulu ukuba luqhatshi olumnandi.
3105030075	Kodwa ubufebe lakho konke ukungcola kumbe umhawu kakungaphathwa lakanye phakathi kwenu, njengoba kufanele abangcwele;
3105040072	lamanyala, lokukhuluma okuyize, kumbe ukusoma okulenhlamba, okuyizinto ezingafanelanga; kodwa kulalokhu, ukubonga.
3105050093	Ngoba lokhu liyakwazi, ukuthi sonke isifebe, kumbe ongcolileyo, kumbe olomhawu, ongumkhonzi wezithombe, kalalifa embusweni kaKristu lokaNkulunkulu.
3105060088	Kakungabi lamuntu olikhohlisayo ngamazwi ayize; ngoba ngenxa yalezizinto ulaka lukaNkulunkulu luyehlela phezu kwabantwana bokungalaleli.
3105070025	Ngakho lingabi ngabahlanganyeli labo.
3105080063	Ngoba lake laba ngumnyama, kodwa khathesi liyikukhanya eNkosini; hambani njengabantwana bokukhanya,
310509003f	ngoba isithelo sikaMoya sikubo bonke ubuhle lokulunga leqiniso,
31050a0024	lihlolisise okuthokozisayo eNkosini;
31050b0057	njalo lingahlanganyeli lemisebenzi yobumnyama engelazithelo, kodwa-ke kulalokho solani;
31050c0048	ngoba kuthelela inhloni lokukhuluma ngezinto ezenziwa yibo ekusithekeni.
31050d005d	Kodwa konke okusolwayo yikukhanya kuyabonakaliswa; ngoba konke okubonakaliswayo kuyikukhanya,
31050e0054	ngakho uthi: Phaphama wena oleleyo uvuke kwabafileyo, njalo uKristu uzakukhanyisela.
31050f0069	Ngakho qaphelani ukuthi lihamba njani ngonanzelelo, kungabi njengezithutha, kodwa njengabahlakaniphileyo,
3105100027	lihlenga isikhathi, ngoba insuku zimbi.
3105110040	Ngakho lingabi yizithutha, kodwa liqedisisa okuyintando yeNkosi.
3105120046	Njalo lingadakwa liwayini, okukulo umsindo, kodwa gcwaliswani nguMoya,
3105130076	likhulumisana ngezihlabelelo langamahubo okudumisa langezingoma zomoya, lihlabelele licule eNkosini enhliziyweni yenu,
3105140059	limbonga njalo uNkulunkulu loBaba ngazo zonke izinto ebizweni leNkosi yethu uJesu Kristu,
310515003d	lizehlisela ngaphansi omunye komunye ekumesabeni uNkulunkulu.
310516003d	Bafazi, zehliseleni ngaphansi kwawenu amadoda, njengeNkosini,
310517006b	ngoba indoda iyinhloko yomfazi, njengoba uKristu laye eyinhloko yebandla, njalo yena unguMsindisi womzimba.
310518006f	Kodwa njengoba-ke ibandla lehliselwe ngaphansi kukaKristu, ngokunjalo labafazi kwawabo amadoda kuyo yonke into.
310519005a	Madoda, thandani abenu abafazi, njengoKristu laye walithanda ibandla, wasezinikelela lona;
31051a0048	ukuze azingcwelisele lona, eselihlambulule ngesihlambo samanzi ngelizwi,
31051b0083	ukuze azimisele lona, ibandla elilenkazimulo, elingelachatha, kumbe umxhele kumbe okunye nje, kodwa ukuze libe ngcwele lingelacala.
31051c0070	Ngokunjalo amadoda afanele ukuthanda abawo abafazi njengeyawo imizimba. Othanda owakhe umfazi, uyazithanda yena;
31051d006e	ngoba kakho owake wazonda eyakhe inyama, kodwa uyayondla ayiphathe kuhle, njengalokhu leNkosi isenza kubandla;
31051e0043	ngoba siyizitho zomzimba wakhe, okwenyama yakhe lokwamathambo akhe.
31051f0067	Ngenxa yalokhu umuntu uzatshiya uyise lonina anamathele kumkakhe, njalo laba ababili bazakuba nyamanye.
310520003c	Inkulu le imfihlo; kodwa mina ngikhuluma ngoKristu lebandla.
3105210084	Ngalokho lonke ngokukhethekileyo lani-ke, ngulowo lalowo kathande ngokunjalo owakhe umfazi njengaye; lomfazi ukuze ahloniphe indoda.
3106010040	Bantwana, lalelani abazali benu eNkosini; ngoba lokhu kulungile.
310602003c	Hlonipha uyihlo lonyoko, okungumlayo wokuqala olesithembiso,
310603003e	ukuze kube kuhle kuwe, njalo uphile isikhathi eside emhlabeni.
3106040060	Lani bobaba, lingabathukuthelisi abantwana benu, kodwa libondle emlayweni lemfundisweni yeNkosi.
3106050078	Zisebenzi, lalelani amakhosi enu ngokwenyama, ngokwesaba langokuthuthumela, ebuqothweni benhliziyo zenu, njengakuKristu;
3106060084	kungeyisikho ngenkonzo yamehlo njengabathokozisa abantu, kodwa njengezisebenzi zikaKristu, zisenza intando kaNkulunkulu ngenhliziyo,
310607004e	lisebenza ngenhliziyo enhle kungathi kuseNkosini njalo kungeyisikho ebantwini;
310608007d	lisazi ukuthi loba yini enhle ngulowo lalowo angayenza, enjalo uzayemukela eNkosini, loba eyisigqili, loba engokhululekileyo.
3106090098	Lani makhosi, yenzani izinto ezifananayo kuzo, liyekele ukuzisongela; lisazi ukuthi leyenu iNkosi isemazulwini, njalo ukubandlulula umuntu kakukho kuyo.
31060a004a	Elokucina, bazalwane bami, qinani eNkosini, lebuninimandleni bamandla ayo.
31060b005c	Hlomani izikhali zonke zikaNkulunkulu, ukuze libe lamandla okumelana lobuqili bukadiyabhola;
31060c0098	ngoba kasibindani legazi lenyama, kodwa lemibuso, lamandla, lababusi balumhlaba wobumnyama balesisikhathi, lemimoya yamabutho obubi ezindaweni zamazulu.
31060d0083	Ngakho hlomani izikhali zonke zikaNkulunkulu, ukuze libe lamandla okugxila osukwini olubi, lokuze kuthi lapho seliqede konke, lime.
31060e0055	Ngakho manini, inkalo zenu zibotshiwe ngeqiniso, lifake isivikelo sesifuba sokulunga,
31060f003c	njalo ligqokise inyawo zenu ngokulunga kwevangeli lokuthula;
3106100074	phezu kwakho konke selithethe isihlangu sokholo, elizakuba lamandla okucitsha ngaso yonke imitshoko evuthayo yomubi.
310611004a	Njalo thathani ikhowa losindiso, lenkemba kaMoya, eyilizwi likaNkulunkulu,
310612007d	ngawo wonke umkhuleko lonxuso likhuleka isikhathi sonke kuMoya, lakulokhu lilinde ngesineke sonke lonxuso ngabangcwele bonke,
3106130060	langami, ukuze ngiphiwe ilizwi ekuvuleni umlomo wami ngesibindi ukuze ngazise imfihlo yevangeli,
3106140070	engiyisithunywa ngalo esisemaketaneni, ukuze ngikhulume ngesibindi kulo, njengoba kungifanele ukuthi ngikhulume.
3106150090	Kodwa ukuze lani lazi izinto eziqondana lami, engikwenzayo, uzalitshela konke uTikiko umzalwane othandekayo lesikhonzi esithembekileyo eNkosini;
3106160063	engimthume kini ngakhona lokhu, ukuze lazi izinto eziqondana lathi, lokuthi aduduze inhliziyo zenu.
3106170065	Ukuthulakakube kubazalwane, lothando kanye lokholo oluvela kuNkulunkulu uBaba leNkosini uJesu Kristu.
3106180054	Umusa kawube kubo bonke abathanda iNkosi yethu uJesu Kristu ngokungonakaliyo. Ameni.
320000000e	KwabaseFiliphi
320101007b	UPawuli loTimothi, izinceku zikaJesu Kristu, kubo bonke abangcwele kuKristu Jesu abaseFiliphi, kanye lababonisi labadikoni:
3201020054	Umusa kawube kini lokuthula okuvela kuNkulunkulu uBaba wethu leNkosini uJesu Kristu.
3201030033	Ngiyambonga uNkulunkulu wami ekulikhumbuleni konke,
320104004d	ngezikhathi zonke kuwo wonke umkhuleko wami ngani lonke ngincenga ngentokozo,
3201050051	ngokuhlanganyela kwenu evangelini, kusukela osukwini lokuqala kuze kube khathesi;
3201060075	ngilethemba lakhona lokhu, ukuthi owaqalisa umsebenzi omuhle kini uzawuphelelisa kuze kube sosukwini lukaJesu Kristu;
32010700c6	njengoba kulungile kimi ukuthi ngikhumbule lokhu ngani lonke, ngoba ngilani enhliziyweni, ukuthi lekubotshweni kwami, lekuvikeleni lekuqiniseleni ivangeli, lina lonke lingabahlanganyeli bomusa wami.
3201080064	Ngoba uNkulunkulu ungumfakazi wami, wokuthi ngililangatha kangakanani lonke emibilini kaJesu Kristu.
3201090067	Njalo ngikhuleka lokhu, ukuthi uthando lwenu luvame-ke lusanda ngokwanda elwazini lekuqedisiseni konke,
32010a0065	ukuze lizivume izinto ezinhle kakhulu, ukuze lihlambuluke lingasoleki kuze kube sosukwini lukaKristu,
32010b0055	ligcwaliswe ngezithelo zokulunga ezingoJesu Kristu, ebukhosini lodumo lukaNkulunkulu.
32010c0074	Kodwa ngithanda ukuthi lazi, bazalwane, ukuthi izinto ezangehlelayo zenza kakhulu ukuqhutshelwa phambili kwevangeli;
32010d004a	zize izibopho zami kuKristu zibonakale esigodlweni sonke lakwabanye bonke,
32010e0071	labazalwane abanengi eNkosini, beqiniswe ngezibopho zami, sebelesibindi esikhulu sokukhuluma ilizwi ngokungesabi.
32010f0057	Abanye kambe batshumayela uKristu ngomona langombango, labanye kambe ngenhliziyo enhle;
3201100068	laba batshumayela uKristu ngokuphikisana, bengelaqiniso, besithi baletha ukuhlupheka ekubotshweni kwami;
3201110042	kodwa labo ngothando, besazi ukuthi ngimiselwe ukuvikela ivangeli.
320112009c	Kuyini pho? Loba kunjalo kuyo yonke indlela, loba ekuzenziseni, kumbe eqinisweni, uKristu uyatshunyayelwa; kulokhu-ke ngiyathokoza, yebo ngizathokoza futhi.
3201130075	Ngoba ngiyazi ukuthi lokhu kuzaphendukela kimi esindisweni ngomkhuleko wenu, langokwelekelela kukaMoya kaJesu Kristu,
32011400c5	njengokulindela okukhulu lethemba lami, ukuthi kangiyikuyangiswa ngalutho, kodwa ngesibindi sonke, njengesikhathi sonke, lakhathesi uKristu uzakhuliswa emzimbeni wami, loba ngempilo, kumbe ngokufa.
3201150032	Ngoba kimi ukuphila kunguKristu, lokufa kuyinzuzo.
3201160054	Kodwa uba ukuphila enyameni kuyisithelo somsebenzi kimi, lengizakukhetha kangikwazi.
320117005b	Ngoba ngiminyezelwe ngokubili; ngilesifiso sokusuka lokuba loKristu, okungcono kakhulukazi;
3201180038	kodwa ukuhlala enyameni kuyasweleka kakhulu ngenxa yenu.
3201190073	Njalo ngilalelithemba ngiyazi ukuthi ngizakuba khona, ngihlale lani lonke, ekuqhubekeni kwenu lentokozweni yokholo,
32011a0056	ukuze ukuzincoma kwenu ngami kwengezwe kuKristu Jesu kimi, ngobukhona bami kini futhi.
32011b00c6	Kuphela hambani ngokufanele ivangeli likaKristu, kuze kuthi, loba ngifika ngilibona, loba ngingekho, ngizwe indaba zenu, zokuthi limi emoyeni munye, ngangqondonye lilwela ukholo lwevangeli ndawonye,
32011c0085	njalo lingethuswa ngalutho ngabaphikisayo; okuyisibonakaliso kubo sokubhubha, kodwa kini esosindiso, njalo lokhu kuvela kuNkulunkulu;
32011d006b	ngoba lanikwa ngesihle esikhundleni sikaKristu, kungeyisikho ukukholwa kuye kuphela, kodwa lokumhluphekela;
32011e004a	lilokulwa okufananayo njengalokho elakubona kimi, lelikuzwa kimi khathesi.
3202010085	Ngakho uba kukhona inkuthazo kuKristu, uba kukhona induduzo yothando, uba kukhona ubudlelwano bukaMoya, uba kukhona imihelo lesihawu,
320202006f	gcwalisani intokozo yami, ukuze libe ngqondonye, libe lothando olufananayo, libe lenhliziyonye, ukuqonda kunye;
320203006f	lingenzi lutho ngokubangisana kumbe ngokuziqhenya, kodwa ngokuthobeka liphakamise omunye komunye ngcono kulani;
3202040047	ngulowo lalowo angakhathaleli okwakhe, kodwa ngulowo lalowo lokwabanye.
3202050038	Ngoba kawube kini lowomqondo owawukhona lakuKristu Jesu;
3202060059	owathi esesimeni sikaNkulunkulu, kanakananga ukuthi kuyikuphanga ukulingana loNkulunkulu,
320207003e	kodwa wazidela, ethatha isimo senceku, enziwe esimeni sabantu;
320208006d	njalo eficwe elesimo njengomuntu, wazithoba, waba ngolalelayo kwaze kwaba sekufeni, yebo ukufa kwesiphambano.
3202090057	Ngakho laye uNkulunkulu wamphakamisa kakhulu, wamnika ibizo eliphezu kwalo lonke ibizo;
32020a0069	ukuze kuthi ebizweni likaJesu lonke idolo liguqe, elabezulwini, lelabemhlabeni, lelabangaphansi komhlaba,
32020b0052	lenlimi zonke zivume ukuthi uJesu Kristu uyiNkosi, kube ludumo kuNkulunkulu uYise.
32020c00c0	Ngakho, bathandiweyo bami, njengalokho lilalela ngezikhathi zonke, kungenjengebukhoneni bami kuphela, kodwa khathesi ikakhulukazi ngingekho, fezani usindiso lwenu ngokwesaba langokuthuthumela;
32020d0059	ngoba kunguNkulunkulu osebenza kini kokubili ukuthanda lokwenza njengentando yakhe enhle.
32020e0031	Yenzani zonke izinto kungelakusola lokuphikisana,
32020f00ab	ukuze lingasoleki libe msulwa, abantwana bakaNkulunkulu abangelasici phakathi kwesizukulwana esigobileyo lesiphambeneyo, elikhanya phakathi kwaso njengokukhanya emhlabeni,
3202100083	libonakalise ilizwi lempilo, ekuzincomeni kwami osukwini lukaKristu, ukuthi kangigijimelanga ize, njalo kangitshikatshikelanga ize.
3202110090	Yebo, uba lami ngithululwa njengomnikelo wokunathwayo phezu komhlatshelo lenkonzo yokholo lwenu, ngiyathokoza njalo ngithokoza kanye lani lonke;
320212003c	ngenxa yalokho-ke thokozani lani njalo lithokoze kanye lami.
3202130072	Ngiyathemba-ke eNkosini uJesu ukuthuma uTimothi kini masinyane, ukuze lami ngithokoze lapho ngisazi izindaba zenu.
320214004d	Ngoba kangilaye olengqondo enjengeyakhe, ozananzelela indaba zenu ngobuqotho,
320215003e	ngoba bonke bazidingela okwabo, kungeyisikho okukaKristu Jesu.
3202160057	Kodwa liyazi ukuqinisa kwakhe, ukuthi njengomntwana kuyise, usebenzile lami evangelini.
320217004a	Ngiyathemba-ke ukuhle ngimthume yena, nxa sengibonisisile okuqondene lami;
3202180041	kodwa ngiyathemba eNkosini, ukuthi lami ngizakuza kini masinyane.
3202190099	Kodwa ngibone kufanele ukuthi ngithume kini uEpafrodithu, umzalwane lesisebenzi lolibutho kanye lami, kodwa isithunywa senu, lesisebenzi sokuswela kwami;
32021a0058	njengoba wayelilangatha lonke, njalo ekhathazekile kakhulu, ngoba lezwa ukuthi wayegula;
32021b008d	ngoba njalo wagula waphosa wafa, kodwa uNkulunkulu wamhawukela, njalo kungeyisuye yena yedwa, kodwa lami, ukuze ngingabi losizi phezu kosizi.
32021c0069	Ngakho ngitshisekela kakhulu ukumthuma, ukuze kuthi, nxa limbona, lithokoze futhi, losizi lwami lunciphe.
32021d0042	Memukeleni-ke eNkosini ngentokozo yonke, libahloniphe abanjalo-ke;
32021e006f	ngoba ngenxa yomsebenzi kaKristu waphose wafa, edela impilo, ukuze aphelelise okusileleyo komsebenzi wenu kimi.
320301007c	Elokucina, bazalwane bami, thokozani eNkosini. Ukulibhalela izinto ezifananayo, mina kakungidinisi, kodwa lina kuyaliqinisa.
3203020047	Nanzelelani izinja, linanzelele izisebenzi ezimbi, linanzelele ukusika;
320303006e	ngoba thina siyikusoka, esikhonza uNkulunkulu ngoMoya, siziqhenya kuKristu Jesu, njalo singathembeli enyameni;
320304005c	lanxa mina ngilethemba futhi enyameni; uba omunye ecabanga ukuthemba enyameni, mina kakhulu;
3203050087	ngasokwa ngosuku lwesificaminwembili, ngingowohlanga lukaIsrayeli, owesizwe sakoBhenjamini, umHebheru wamaHebheru, ngokomlayo umFarisi,
320306004c	ngokokukhuthala ngazingela ibandla, ngokokulunga okusemlayweni ngingasoleki.
3203070052	Kodwa izinto ezaziyinzuzo kimi, lezo ngazibala njengokulahlekelwa ngenxa kaKristu.
32030800cc	Yebo isibili, futhi ngikubala konke njengencithakalo ngenxa yobuhlekazi bolwazi lukaKristu Jesu iNkosi yami; okungenxa yakhe ngilahlekelwe yikho konke, njalo ngakuthatha njengezibi, ukuze ngizuze uKristu,
320309008f	njalo ngificwe kuye, ngingelakho okwami ukulunga okuvela emlayweni, kodwa lokho okungokholo lukaKristu, ukulunga okuvela kuNkulunkulu ngokholo;
32030a006e	ukuze ngimazi yena lamandla okuvuka kwakhe, lokuhlanganyela kwenhlupheko zakhe, ngenziwe ngifuze ukufa kwakhe,
32030b0032	uba kungenzeka ngifinyelele ekuvukeni kwabafileyo.
32030c00a4	Kangitsho ukuthi sengikubambile, kumbe ukuthi sengiphelelisiwe; kodwa ngixotshana lakho, ukuthi futhi ngingakubambisisa lokho engabanjisiselwa khona nguKristu Jesu.
32030d008d	Bazalwane, mina kangibali ukuthi mina uqobo sengikubambisisile; kodwa kunye engikwenzayo, ngikhohlwa okungemuva, ngizelulela kokungaphambili,
32030e005a	ngigijimela umzila ngokunxwanela emvuzweni wobizo lwaphezulu lukaNkulunkulu kuKristu Jesu.
32030f0080	Ngakho sonke esesiphelele, kasikhumbule lokhu; njalo uba licabanga ulutho olwehlukeneyo, lalokhu uNkulunkulu uzalembulela khona;
320310004f	kodwa kulokhu esesifike kukho, kasihambeni ngesimiso sinye, sikhumbule intonye.
3203110086	Banini ngabahlanganyeli abangabalingiseli bami, bazalwane, njalo baqaphelisiseni abahamba ngokunjalo, njengoba lilathi njengesibonelo.
320312007f	Ngoba abanengi bahamba, engalitshela kanengi ngabo, lakhathesi ngitsho ngezinyembezi ngithi, bayizitha zesiphambano sikaKristu;
3203130078	abakuphela kwabo kuyikubhujiswa, abankulunkulu wabo uyisisu, lodumo lwabo lusehlazweni labo, abacabanga izinto zomhlaba.
3203140060	Ngoba ikithi isemazulwini, lalapho esilindele ukuthi uMsindisi avele khona, iNkosi uJesu Kristu;
320315009c	ozaphendula umzimba wethu wobuphansi, ukuze ufanane lomzimba wakhe wenkazimulo, njengokusebenza elamandla ngitsho okwehlisela ngaphansi kwakhe zonke izinto.
320401007e	Ngakho, bazalwane bami abathandekayo labalangathwayo, intokozo lomqhele wami, manini liqine ngokunjalo eNkosini, bathandekayo.
3204020059	Ngiyamncenga uYuwodiya, njalo ngiyamncenga uSintike, ukuthi babe lomqondo munye eNkosini.
32040300b9	Ngiyakucela-ke lawe, mnakwethu oqotho, siza labo abesifazana, abasebenza kakhulu kanye lami evangelini, kanye loKlementi, lezinye izisebenzi kanye lami, amabizo azo asencwadini yempilo.
320404003d	Thokozani eNkosini njalonjalo; ngiyaphinda ngithi: Thokozani.
320405003e	Ukubekezela kwenu kakwaziwe yibo bonke abantu. INkosi iseduze.
320406007b	Lingakhathazeki ngalutho, kodwa ezintweni zonke, izicelo zenu kazaziwe kuNkulunkulu ngomkhuleko langonxuso kanye lokubonga,
3204070072	lokuthula kukaNkulunkulu, okudlula ukuqedisisa konke, kuzalondoloza inhliziyo zenu lemicabango yenu kuKristu Jesu.
32040800dd	Elokucina, bazalwane, konke okuliqiniso, konke okuhloniphekayo, konke okulungileyo, konke okuhlambulukileyo, konke okuhle, konke okulodumo oluhle, uba kukhona okuhle njalo uba kukhona okudumisekayo, nakanani ngakho lokhu;
3204090078	lelakufundayo njalo lakwemukela futhi lakuzwa laselikubona kimi, zenzeni lezizinto; loNkulunkulu wokuthula uzakuba lani.
32040a0081	Kodwa ngathokoza kakhulu eNkosini, ukuthi khathesi selize lavuselela ukunginanzelela, ebelinanzelela kambe, kodwa laswela ithuba.
32040b0069	Kakusikho ukuthi ngitsho mayelana lenswelo; ngoba mina sengifundile ukuthi ngeneliswe ezintweni engikuzo.
32040c00b3	Ngiyakwazi konke ukuthotshiswa, futhi ngiyakwazi ukuba lokunengi kakhulu; kukho konke lezintweni zonke sengifundisiwe futhi ukusutha lokulamba, lokuba lokunengi kakhulu lokuswela.
32040d0028	Ngingakwenza konke ngoKristu engiqinisa.
32040e0037	Kodwa lenze kuhle ngokuhlanganyela ekuhluphekeni kwami.
32040f00b4	Liyazi futhi lani, beFiliphi, ukuthi ekuqaleni kwevangeli, ekusukeni kwami eMakedoniya, kwakungekho bandla elahlanganyela lami endabeni yokupha lokwemukela, ngaphandle kwenu lodwa;
3204100046	ngoba laseThesalonika lathumela ekusweleni kwami kanye njalo laphinda.
320411004e	Kungesikuthi ngidinga isipho, kodwa ngidinga isithelo esengeza isikhwama senu.
32041200ad	Kodwa ngemukele konke njalo ngengezelelwe; ngigcwele, ngengikwemukele kuEpafrodithu izinto ezivela kini, uqhatshi olumnandi, umnikelo owemukelekayo, othabisayo kuNkulunkulu.
3204130065	Kodwa uNkulunkulu wami uzagcwalisa yonke inswelo yenu njengokwenotho yakhe ebukhosini, kuKristu Jesu.
3204140046	Akube-ke kuNkulunkulu loBaba wethu udumo kuze kube nini lanini. Ameni.
320415004e	Bingelelani wonke ongcwele okuKristu Jesu. Abazalwane abalami bayalibingelela.
3204160047	Bonke abangcwele bayalibingelela, kodwa ikakhulu labo abendlu kaKesari.
320417003a	Umusa weNkosi yethu uJesu Kristu kawube lani lonke. Ameni.
330000000e	KwabaseKholose
330101004d	UPawuli umphostoli kaJesu Kristu ngentando kaNkulunkulu, loTimothi umzalwane,
3301020096	kubo abangcwele labazalwane abathembekileyo kuKristu abaseKolose: Umusa kawube kini lokuthula okuvela kuNkulunkulu uBaba wethu leNkosini uJesu Kristu.
