010000000a	Yaradiliş
260c0100ab	Bu xəbərdarlıq İsrail barədə nazil olan Rəbbin sözüdür: göyləri yayan, yerin təməlini qoyan, insanın içindəki ruha şəkil verən Rəbb belə bəyan edir:
260c020094	«Bax Yerusəlimi ətrafındakı bütün xalqları səndələdən şərab dolu kasa edəcəyəm. Yerusəlim kimi Yəhuda da mühasirəyə alınacaq.
260c0300b4	O gün Yerusəlimi bütün xalqlar üçün ağır bir daş edəcəyəm. Onu qaldıranların hamısı ağır yaralanacaq. Dünyanın bütün millətləri ona qarşı birləşəcək.
260c0400c2	O gün hər atı dəhşətə, süvarisini dəliliyə düçar edəcəyəm» bəyan edir Rəbb, «Mən Yəhuda nəslinə göz qoyacağam, amma o biri xalqların bütün atlarını kor edəcəyəm.
260c0500a4	Onda Yəhuda başçıları ürəklərində deyəcək: “Özlərinin Allahı Ordular Rəbbinin ucbatından Yerusəlimdə yaşayanlar mənim üçün qüvvə olub”.
260c06011f	O gün Yəhuda başçılarını odunların arasında yanan bir manqal, dərzlərin ortasında alovlanan bir məşəl kimi edəcəyəm. Hər tərəfdə – sağda və solda olan bütün xalqları yandırıb məhv edəcəklər. Yerusəlimlilər isə yenə öz şəhərlərində yaşayacaq.
260c0700a5	Mən Rəbb əvvəlcə Yəhuda xalqının məskənlərini qurtaracağam. Ona görə ki Davud nəsli və Yerusəlimdə yaşayanlar Yəhudadan çox şərəfli olmasın.
260c0800c9	Mən Rəbb o gün Yerusəlimdə yaşayanları qoruyacağam. O gün onların arasında ən gücsüz adam Davud kimi, Davud nəsli isə Allah kimi, onlara başçılıq edən Rəbbin mələyi kimi olacaq.
260c090066	O gün Yerusəlimə hücum etmək üçün gələn bütün millətləri məhv etməyə çalışacağam.
260c0a0112	Davud nəsli və Yerusəlimdə yaşayanların üzərinə lütf və yalvarış ruhunu tökəcəyəm. Onlar Mənə – bədənini deşdikləri şəxsə baxacaq və vahid oğluna yas tutan adam kimi ona yas tutacaq, ilk oğlu üçün dərd çəkən adam kimi dərd çəkəcək.
260c0b0077	O gün Yerusəlimdə böyük matəm olacaq, Megiddo düzənliyində, Hadad-Rimmonda olduğu kimi böyük matəm olacaq.
260c0c007d	Ölkədə hər nəsil öz içində yas tutacaq: Davud nəsli ayrı, qadınları ayrı, Natan nəsli ayrı, qadınları ayrı,
260c0d0059	Levi nəsli ayrı, qadınları ayrı, Şimey nəsli ayrı, qadınları ayrı yas tutacaq.
260c0e004a	Bütün qalan nəsilləri ayrı-ayrı, qadınları isə ayrı yas tutacaq.
260d01007d	O gün Davud nəslini və Yerusəlimdə yaşayanları günahdan və murdarlıqdan təmizləmək üçün bir bulaq açılacaq.
260d0200cf	O gün ölkədən bütlərin adını birdəfəlik siləcəyəm, onlar bir daha xatırlanmayacaq. Yalançı peyğəmbərləri də, natəmiz ruhu da ölkədən uzaqlaşdıracağam» bəyan edir Ordular Rəbbi.
260d0300fc	«Əgər kimsə yenə peyğəmbərlik etsə, onu dünyaya gətirmiş ata-anası ona deyəcək: “Sən yaşaya bilməzsən, çünki Rəbbin adı ilə yalan söyləmisən”. Sonra isə peyğəmbərlik edəndə öz ata-anası onun bədənini deşəcək.
260d04009b	O gün hər peyğəmbər peyğəmbərlik edərkən ona nazil olan görüntüdən utanacaq. O daha insanları aldatmaq üçün tüklü paltar geyməyəcək.
260d05006e	O deyəcək: “Mən peyğəmbər deyiləm, əkinçiyəm. Cavanlığımda bir adam məni özünə qul etdi”.
260d060087	O biri ondan soruşacaq: “Bəs sinəndəki bu yaralar nədir?” O isə “dostlarımın evində aldığım yaralardır” deyəcək.
260d0700c0	Oyan, ey qılınc, Çobanımın, yaxınımın üstünə get» Bəyan edir Ordular Rəbbi. «Çobanı vur, Qoyunları pərən-pərən olsun. Mən də əlimi kiçiklərə qarşı qaldıracağam.
260d080075	Bütün ölkədə Xalqın üçdə ikisi vurulub-öldürüləcək, Üçdə biri isə sağ qalacaq» Bəyan edir Rəbb.
260d090125	«Qalan üçdə birini oda salacağam, Onları gümüşü təmizləyən kimi təmizləyəcəyəm. Qızılı yoxlayan kimi yoxlayacağam. Onlar Mənim adımı çağıracaq, Mən də onlara cavab verib “Bunlar Mənim xalqımdır” deyəcəyəm, Onlar da “Rəbb Allahımızdır” deyəcək.
260e010083	Budur, Rəbbin günü gəlir! Ey Yerusəlim xalqı, sənin qarət olunmuş mallarını gözlərin önündə bölüşdürəcəklər.
260e020123	Mən bütün millətləri Yerusəlimə qarşı müharibə etmək üçün toplayacağam. Şəhər ələ keçiriləcək, evlər qarət ediləcək, qadınlara təcavüz ediləcək. Şəhər əhalisinin yarısı sürgünə göndəriləcək, amma qalanların şəhərdən kökü kəsilməyəcək.
260e030072	O zaman Rəbb çıxıb müharibə günündə necə döyüşdüsə, eləcə o millətlərə qarşı döyüşəcək.
260e040104	O gün Onun ayaqları Yerusəlimin önündə – şərq tərəfində olan Zeytun dağının üzərində duracaq. Zeytun dağı şərqə və qərbə doğru ortadan yarılıb çox böyük bir vadi olacaq. Dağın yarısı şimala, yarısı cənuba çəkiləcək.
260e050116	Siz isə dağlarımdakı vadi ilə qaçacaqsınız, çünki dağlardakı vadi Aselə qədər uzanacaq. Yəhuda padşahı Uzziyanın dövründə zəlzələ olarkən necə qaçdınızsa, eləcə qaçacaqsınız. O zaman Allahım Rəbb bütün müqəddəslərlə birgə gələcək.
260e060041	O gün işıq olmayacaq, işıq verən göy cisimləri qaralacaq.
260e070073	Yalnız Rəbbin bildiyi xüsusi bir gün olacaq. Gecə də, gündüz də olmayacaq. Axşam vaxtı işıqlı olacaq.
260e0800a0	O gün Yerusəlimdən həyat verən sular axacaq. Suların yarısı Şərq dənizinə, yarısı isə Qərb dənizinə axacaq. Yayda da, qışda da belə olacaq.
260e090057	Rəbb bütün dünyanın padşahı olacaq. O gün yalnız Rəbb və Onun adı ucalacaq.
260e0a0120	Bütün ölkə Gevadan Yerusəlimin cənubundakı Rimmona qədər Arava düzənliyi kimi olacaq. Amma Yerusəlim yüksəklikdə olacaq, Binyamin darvazasından ilk darvazanın yerinə, Künc darvazasına, Xananel qülləsindən padşahın üzümsıxanlarına qədər öz yerində duracaq.
260e0b0066	İnsanlar orada sakin olub asayiş içində yaşayacaq. Yerusəlim bir daha məhvə düçar olmayacaq.
260e0c00bd	Yerusəlimə hücum edən bütün xalqları Rəbb bu bəla ilə cəzalandıracaq. Ayaq üstə olanda bədənləri, hədəqələrindəki gözləri, ağızlarındakı dilləri çürüyəcək.
260e0d0087	O gün Rəbb onları böyük təlaşa düçar edəcək. Hər kəs qonşusunun əlini tutacaq, bir-birinin üstünə hücum çəkəcək.
260e0e0090	Yəhudalılar da Yerusəlimdə vuruşacaq. Ətrafdakı bütün millətlərin sərvəti, çoxlu miqdarda qızıl, gümüş və paltar toplanacaq.
260e0f0083	Düşmən ordugahlarındakı bütün heyvanlar da – atlar, qatırlar, dəvələr və eşşəklər bu cür bəlaya düçar olacaq.
260e1000bd	Yerusəlimə hücum edən millətlərdən sağ qalanların hamısı Ordular Rəbbi olan Padşaha səcdə etmək və Çardaqlar bayramını keçirmək üçün hər il Yerusəlimə gedəcək.
260e1100a1	Əgər yer üzündəki nəsillərdən hansısa Ordular Rəbbi olan Padşaha səcdə etmək üçün Yerusəlimə getməsə, onun ölkəsinə yağış yağmayacaq.
260e1200d2	Misirlilər nəsli Yerusəlimə getməsə, onların torpağı suvarılmayacaq. Rəbb onlara da Çardaqlar bayramını keçirmək üçün Yerusəlimə getməyən bütün millətlərə verdiyi cəzanı verəcək.
260e130082	Misirlilərə və Çardaqlar bayramını keçirmək üçün Yerusəlimə getməyən bütün millətlərə belə cəza veriləcək.
260e1400ad	O gün atların zınqırovları üzərinə “Rəbbə həsr edilmiş” sözləri yazılacaq. Rəbbin evindəki qazanlar da qurbangahın önündəki ləyənlər kimi olacaq.
260e1500f3	Yerusəlim və Yəhudada hər qazan Ordular Rəbbinə həsr olunacaq. Qurban kəsən adamların hamısı gəlib bu qazanlardan qurban ətini bişirmək üçün istifadə edəcək. O gün Ordular Rəbbinin evində artıq Kənanlı qalmayacaq».
2700000006	Malaki
2701010048	Bu xəbərdarlıq Rəbbin Malaki vasitəsilə İsrailə dediyi sözdür.
27010200a6	Rəbb «sizi sevdim» deyir. Ancaq siz «Bizi necə sevdin?» deyib soruşursunuz. Rəbb də cavab verir: «Esav Yaqubun qardaşı deyildimi? Amma Mən Yaqubu sevdim,
2701030062	Esava isə nifrət etdim. Onun dağlarını viran etdim, mirasını çöl çaqqallarına verdim».
270104010d	Edomlular deyir: «Biz əzildik, amma yenidən xarabalıqları bərpa edəcəyik». Ancaq Ordular Rəbbi belə deyir: «Qoy onlar qursun, amma Mən yıxacağam. Onların ölkəsi pislik ölkəsi, özləri isə həmişə Rəbbin qəzəbləndiyi xalq olaraq tanınacaq».
2701050074	Siz bunu gözlərinizlə görəndə «Rəbb İsrail sərhədlərindən kənarda da əzəmətlidir!» deyəcəksiniz.
2701060119	Ordular Rəbbi sizə deyir: «Ey adıma hörmət etməyən kahinlər! Oğul atasına, qul ağasına hörmət göstərir. Əgər Mən atayamsa, hanı Mənə hörmətiniz? Əgər ağayamsa, hanı Məndən qorxunuz? Ancaq siz “Adına necə hörmət etmədik?” deyib soruşursunuz.
27010700cd	Qurbangahımın üzərində murdar çörək təqdim edirsiniz, hələ “Səni necə murdar etdik?” deyib soruşursunuz. “Rəbbin süfrəsinə hörmət etmək lazım deyil” deməklə belə edirsiniz.
27010800ec	Kor heyvanı qurban olaraq gətirmək pis iş deyilmi? Topal yaxud xəstə heyvan qurban etmək pis iş deyilmi? Belə bir heyvanı öz valinə təqdim et, gör səndən razı qalırmı yaxud səni qəbul edirmi?» deyir Ordular Rəbbi.
270109008b	«İndi bizə lütf etməsi üçün Allaha yalvarın. Siz belə qurbanlar gətirərkən O heç sizi qəbul edərmi?» deyir Ordular Rəbbi.
27010a00e6	«Kaş ki aranızdan bir nəfər qurbangahımda boş-boşuna od yandırmamaq üçün məbədin qapılarını bağlayaydı! Mən sizdən razı deyiləm, gətirəcəyiniz qurbanları da qəbul etməyəcəyəm» deyir Ordular Rəbbi.
27010b0109	«Günəşin çıxdığı yerdən batdığı yerə qədər Mənim adım millətlər arasında əzəmətli olacaq. Hər yerdə adıma buxur yandırılacaq, pak təqdimlər gətiriləcək. Çünki millətlər arasında adım əzəmətli olacaq» deyir Ordular Rəbbi.
27010c0089	«Siz “Rəbbin süfrəsi murdardır, çörəyinə isə hörmət etmək lazım deyil” deyərək adımın müqəddəsliyini pozursunuz.
27010d00e4	Üstəlik “bu nə zəhmətdir” deyə Mənə burun sallayırsınız» deyir Ordular Rəbbi. «Siz qurban olaraq oğurluq, çolaq, xəstə heyvan gətirirsinizsə, Mən onu sizdən qəbul edəcəyəmmi?» deyə soruşur Rəbb.
27010e00e2	«Sürüsündən nəzir etdiyi erkək heyvan əvəzinə Rəbbə qüsurlu heyvan qurban edən fırıldaqçıya lənət olsun! Çünki Mən böyük bir padşaham və adım millətlər arasında zəhmlidir» deyir Ordular Rəbbi.
2702010033	«İndi, ey kahinlər, bu əmr sizin üçündür».
2702020118	Ordular Rəbbi deyir: «Əgər sözə qulaq asmasanız, adıma izzət verməyi ürəkdən istəməsəniz, üzərinizə lənət yağdırıb xeyir-dualarınızı lənətə çevirəcəyəm. Bəli, Mən onları lənətlədim. Çünki Məni izzətləndirməyi ürəkdən istəmirsiniz.
27020300a8	Mən sizin nəslinizi məzəmmət edəcəyəm. Bayramlarınızda qurban etdiyiniz heyvanların təzəyini üzünüzə çırpacağam, siz onunla birgə atılacaqsınız.
2702040088	Onda biləcəksiniz ki, Mən bu əmri Levi ilə bağladığım əhdimin yaşaması üçün sizə göndərmişəm» deyir Ordular Rəbbi.
270205009d	«Onunla həyat və sülh verən bir əhd bağladım, Mənə hörmət etdiyi təqdirdə bunları ona verdim. O da Məndən qorxub adıma hörmət göstərdi.
27020600b0	Onun dilindən həqiqi nəsihət çıxardı, ağzından hiylə çıxmazdı. O, sülh və düzlük içində Mənimlə bir yol gedirdi. Çoxunu da günah yolundan qaytarmışdı.
270207007a	Kahinin ağzı biliyi qorumalı, insanlar onun dilində nəsihət axtarmalıdır. Çünki o, Ordular Rəbbinin elçisidir.
270208008f	Ancaq siz yoldan azdınız və nəsihətinizlə çox adamı günaha çəkdiniz. Levi ilə bağladığım əhdi pozdunuz» deyir Ordular Rəbbi.
27020900b9	«Siz Mənim yollarımla getmədiniz, qanunla bağlı məsələlərdə tərəfkeşlik etdiniz. Buna görə də Mən bütün xalqın önündə sizi alçaldıb xəcalətli hala saldım».
27020a00a6	Hamımızın atası bir deyilmi? Bizi eyni Allah yaratmadımı? Elə isə nə üçün biz atalarımızın bağladığı əhdi pozaraq öz qonşumuza xəyanət edirik?
27020b00bd	Yəhuda xalqı xəyanət etdi. İsraildə və Yerusəlimdə iyrənc işlər edildi: Yəhudalılar yad allahlara tapınan qızlarla evlənərək Rəbbin sevdiyi müqəddəs yeri murdar etdi.
27020c0084	Bunu edən adam hətta keşik çəksə, cavabdeh olsa, Ordular Rəbbinə qurban gətirsə də, Rəbb onu Yaqubun icmasından qovsun.
27020d00e5	Siz başqa bir şeyi də edirsiniz: ağlayıb sızlamaqla Rəbbin qurbangahını göz yaşları ilə doldurursunuz. Çünki Rəbb artıq gətirdiyiniz qurbanlara diqqət etmir, onları sizdən könül xoşluğu ilə qəbul etmir.
27020e00d7	Siz «Nə üçün?» deyib soruşursunuz. Çünki səninlə cavanlığında evləndiyin arvadın arasında Rəbb şahiddir. O qadın sənin yoldaşın və nikah əhdi ilə arvadın olduğu halda ona xəyanət etdin.
27020f010f	Allah sizi bir bədən olaraq yaratmadımı? Bədənlə də, ruhla da Ona aidsiniz. Bəs nə üçün bir? Çünki O Özü üçün xüsusi bir nəsil istəyirdi. Buna görə də özünüzü gözləyin. Qoy heç kəs cavanlığında evləndiyi arvadına xəyanət etməsin.
27021000c2	İsrailin Allahı Rəbb belə deyir: «Mən nikahını pozub qəddarlığa bürünən adama nifrət edirəm. Buna görə də özünüzü gözləyin və xəyanət etməyin» Ordular Rəbbi deyir.
27021100f4	Dediklərinizlə Rəbbi yordunuz. «Onu nə ilə yorduq?» deyə soruşursunuz. «Pislik edən hər kəs Rəbbin gözündə yaxşıdır və Rəbb onlardan razıdır» yaxud «Ədalət keşikçisi olan Allah haradadır?» deyərək Onu yordunuz.
27030100da	«Budur, Mən Öz elçimi göndərirəm. O, önümdə yol hazırlayacaq. Axtardığınız Xudavənd qəflətən Öz məbədinə gələcək. Görmək arzusunda olduğunuz Əhd Mələyi gələcək» deyir Ordular Rəbbi.
270302009d	«Ancaq Onun gələcəyi günə kim tab gətirə bilər? Zühur edəndə kim davam gətirə bilər? Çünki O, əridicinin odu, yuyucunun sabunu kimi olacaq.
27030300cd	O, gümüş əridib təmizləyən adam kimi rəftar edəcək: Levililəri saflaşdırıb qızıl və gümüşü təmizləyən kimi təmizləyəcək. Beləcə salehliklə Rəbbə qurbanlar gətirəcəklər.
2703040079	Onda Yəhudanın və Yerusəlimin qurbanları əvvəlki vaxtlar, keçmiş illərdə olduğu kimi Rəbbə xoş gələcək.
2703050109	Mən cəza vermək üçün sizə yaxınlaşacağam. Ovsunçulara, zinakarlara, yalandan and içənlərə, muzdurun, dul qadının, yetimin, qəribin haqqını tapdalayanlara – Məndən qorxmayanlara qarşı tezliklə şahid olacağam» Ordular Rəbbi belə deyir.
2703060067	«Mən Rəbbəm və heç vaxt dəyişmirəm. Siz bunun üçün məhv olmadınız, ey Yaqub övladları!
27030700dd	Atalarınızın dövründən bəri qaydalarımdan döndünüz və onlara əməl etmədiniz. Mənə tərəf dönün, Mən də sizə tərəf dönərəm» deyir Ordular Rəbbi. «Siz “Necə dönək?” deyə soruşursunuz.
27030800b4	İnsan da Allahdan oğurlayarmı? Siz isə Məndən oğurlayırsınız. “Səndən nəyi oğurlayırıq?” deyə soruşursunuz. Onda birləri və təqdimləri oğurlayırsınız.
2703090069	Siz böyük lənətə düçar oldunuz. Çünki bütün millət – hamınız Məndən oğurlayırsınız.
27030a0106	Bütün ondabirlərinizi anbara gətirin ki, məbədimdə ərzaq olsun». Ordular Rəbbi deyir: «Siz bununla Məni sınayın. Görəcəksiniz ki, göylərin pəncərələrini sizə açacağam, üzərinizə ehtiyaclarınızdan da çox bərəkət yağdıracağam.
27030b0077	Çəyirtkələri əkinlərinizi yeməyə qoymayacağam, tarlada meynəniz məhsulsuz qalmayacaq» deyir Ordular Rəbbi.
27030c006e	«Bütün millətlər sizi bəxtiyar sayacaq. Çünki ölkəniz gözəl bir yer olacaq» deyir Ordular Rəbbi.
27030d0080	«Mənə qarşı sərt sözlər söylədiniz» deyir Rəbb, «siz isə “Sənə qarşı nə söylədik?” deyə soruşursunuz.
27030e00b2	Siz dediniz: “Allaha xidmət etmək faydasızdır. Ordular Rəbbinin buyruğunu yerinə yetirsək də, Onun önündə yas içində gəzsək də, bunlardan bizə nə xeyir oldu?
27030f008a	İndi biz məğrurları bəxtiyar sayırıq. Pislik edənlər işlərində uğur qazanır, Allahı sınayanlar da cəzadan qurtarır”».
27031000c2	O zaman Rəbdən qorxanlar bir-birləri ilə danışdı. Rəbb bu sözlərə qulaq asıb dinlədi. Rəbdən qorxub adına hörmət edənlər üçün Onun önündə bir yaddaş kitabı yazıldı.
27031100bb	Ordular Rəbbi deyir: «Fəaliyyətə keçdiyim gün onlar Mənə məxsus xalq olacaq. Bir ata özünə xidmət edən oğluna necə rəhm edərsə, Mən də onlara elə rəhm edəcəyəm.
270312006c	O zaman siz salehlə pis adam, Allaha qulluq edənlə etməyən arasındakı fərqi yenə görəcəksiniz».
27040100c7	Ordular Rəbbi deyir: «Budur, soba kimi yanan o gün gəlir. Bütün məğrurlar və pislik edənlər saman kimi olacaq. Gələn o gün onları yandıracaq. Onlardan nə kök, nə də budaq qalacaq.
2704020098	Ancaq adıma hörmət edən sizlər üçün şüalarında şəfa olan salehlik günəşi doğacaq. Tövlədən buraxılan danalar kimi oynayacaqsınız.
2704030083	Pis adamları tapdalayacaqsınız. Bu işləri etdiyim gün onlar sizin ayağınızın altında kül olacaq» deyir Ordular Rəbbi.
270404007f	«Qulum Musanın qanununu – Xorevdə olarkən bütün İsrail üçün ona verdiyim qaydaları və hökmləri yadda saxlayın.
2704050072	Rəbbin böyük və dəhşətli günü gəlməzdən qabaq İlyas peyğəmbəri sizin yanınıza göndərəcəyəm.
27040600aa	O, ataların ürəklərini oğullarına, oğullarının ürəklərini isə atalarına tərəf döndərəcək ki, daha Mən gəlib ölkəni lənətləyib məhv etməyim».
2800000005	Matta
280101004b	Davudun Oğlu, İbrahimin də Oğlu olan İsa Məsihin nəsil şəcərəsi:
2801020068	İbrahimdən İshaq törədi. İshaqdan Yaqub törədi. Yaqubdan Yəhuda və onun qardaşları törədi.
280103006a	Yəhudadan Tamarın doğduğu Peres və Zerah törədi. Peresdən Xesron törədi. Xesrondan Ram törədi.
2801040055	Ramdan Amminadav törədi. Amminadavdan Naxşon törədi. Naxşondan Salmon törədi.
280105006c	Salmondan Raxavın doğduğu Boaz törədi. Boazdan Rutun doğduğu Oved törədi. Oveddən Yessey törədi.
280106005f	Yesseydən padşah Davud törədi. Davuddan Uriyanın arvadının doğduğu Süleyman törədi.
2801070050	Süleymandan Rexavam törədi. Rexavamdan Aviya törədi. Aviyadan Asa törədi.
2801080057	Asadan Yehoşafat törədi. Yehoşafatdan Yehoram törədi. Yehoramdan Uzziya törədi.
280109004b	Uzziyadan Yotam törədi. Yotamdan Axaz törədi. Axazdan Xizqiya törədi.
28010a0055	Xizqiyadan Menaşşe törədi. Menaşşedən Amon törədi. Amondan Yoşiya törədi.
28010b004b	Babil sürgünü zamanı Yoşiyadan Yekonya və onun qardaşları törədi.
28010c005d	Babil sürgünündən sonra Yekonyadan Şealtiel törədi. Şealtieldən Zerubbabil törədi.
28010d0056	Zerubbabildən Avihud törədi. Avihuddan Elyaqim törədi. Elyaqimdən Azur törədi.
28010e004b	Azurdan Sadoq törədi. Sadoqdan Yaxin törədi. Yaxindən Elihud törədi.
28010f0051	Elihuddan Eleazar törədi. Eleazardan Mattan törədi. Mattandan Yaqub törədi.
2801100057	Yaqubdan Məryəmin əri Yusif törədi. Məryəmdən də Məsih adlanan İsa doğuldu.
28011100cc	Beləliklə, İbrahimdən Davuda qədər olan bütün nəsillər on dörd nəsildir, Davuddan Babil sürgününə qədər on dörd nəsildir, Babil sürgünündən Məsihə qədər də on dörd nəsildir.
28011200b0	İsa Məsihin doğulması belə oldu. Anası Məryəm Yusifə nişanlanmışdı. Amma birlikdə olmalarından əvvəl Məryəmin Müqəddəs Ruhdan hamilə olduğu aşkar oldu.
2801130090	Onun nişanlısı Yusif saleh bir adam idi və Məryəmi camaat arasında rüsvay etmək istəməyərək gizlicə boşamaq niyyətinə düşdü.
28011400cc	Amma belə düşündüyü halda Rəbbin bir mələyi röyada ona görünüb dedi: «Davud oğlu Yusif! Məryəmi özünə arvad etməkdən qorxma, çünki onun bətnindəki körpə Müqəddəs Ruhdandır.
2801150070	Məryəm bir Oğul doğacaq və Onun adını İsa qoy, çünki O Öz xalqını günahlarından xilas edəcək».
2801160065	Bütün bunlar Rəbbin peyğəmbər vasitəsilə söylədiyi bu söz yerinə yetsin deyə baş verdi:
2801170082	«Budur, bakirə qız hamilə olub Oğlan doğacaq, adını İmmanuel qoyacaqlar». «İmmanuel» «Allah bizimlədir» deməkdir.
280118005b	Yusif yuxudan oyananda Rəbbin mələyinin buyurduğu kimi etdi və arvadını qəbul etdi.
2801190070	Amma Məryəm bir Oğul doğana qədər Yusif onunla yaxınlıq etmədi. Doğulan Körpənin adını İsa qoydu.
2802010084	İsa padşah Hirodun dövründə Yəhudeyanın Bet-Lexem şəhərində anadan olduqda müdrik adamlar şərqdən Yerusəlimə gəlib
2802020083	dedilər: «Yəhudilərin anadan olmuş Padşahı haradadır? Şərqdə Onun ulduzunu gördük və Ona səcdə qılmağa gəldik».
2802030055	Padşah Hirod bunu eşitdikdə özü və bütün Yerusəlim xalqı təlaşa düşdü.
2802040081	Hirod xalqın bütün başçı kahinlərini və ilahiyyatçılarını toplayaraq onlardan Məsihin harada doğulduğunu soruşdu.
2802050068	«Yəhudeyanın Bet-Lexem şəhərində» dedilər. «Çünki peyğəmbər vasitəsilə belə yazılıb:
28020600ab	“Ey Yəhuda torpağındakı Bet-Lexem, sən Yəhuda hökmdarları arasında ən kiçik deyilsən, Çünki xalqım İsrailə çoban olan Hökmdar səndən çıxacaq”».
2802070069	Onda Hirod müdrik adamları gizlicə çağırıb onlardan ulduzun göründüyü dəqiq vaxtı öyrəndi.
280208009a	«Gedin, Körpəni diqqətlə axtarın, tapan kimi mənə xəbər verin ki, mən də gedib Ona səcdə qılım» deyərək onları Bet-Lexemə göndərdi.
28020900b0	Onlar padşahı dinlədikdən sonra yola düşdülər. O vaxt şərqdə gördükləri ulduz onlara yol göstərirdi. O, Körpənin olduğu yerin üzərinə çatdıqda dayandı.
28020a0031	Onlar ulduzu gördükləri vaxt çox sevindilər.
28020b00c8	Evə girib Körpəni anası Məryəmlə birlikdə gördülər və yerə qapanaraq Ona səcdə qıldılar. Xəzinələrini açıb Ona hədiyyələri – qızıl, kündür və mirranı təqdim etdilər.
28020c0080	Sonra röyada Hirodun yanına qayıtmamaq üçün xəbərdarlıq aldıqlarına görə başqa yolla öz ölkələrinə getdilər.
28020d010b	Müdrik adamlar yola düşəndən sonra Rəbbin bir mələyi Yusifə röyada görünərək dedi: «Qalx, Körpə ilə anasını götür, Misirə qaç. Mən sənə xəbər verənə qədər orada qal. Çünki Hirod Körpəni öldürmək üçün axtarmağa başlayır».
28020e005d	Beləliklə, Yusif qalxdı, həmin gecə Körpə ilə anasını götürüb Misirə yollandı.
28020f00a4	Hirod ölənə qədər orada qaldı. Bu, Rəbbin peyğəmbər vasitəsilə söylədiyi söz yerinə yetsin deyə baş verdi: «Öz Oğlumu Misirdən çağırdım».
28021000fb	Hirod müdrik adamlar tərəfindən axmaq yerinə qoyulduğunu görəndə çox hiddətləndi. O, müdrik adamlardan öyrəndiyi vaxta görə Bet-Lexem və onun ətrafında yaşayan iki və iki yaşdan aşağı körpə oğlan uşaqlarını öldürtdü.
2802110051	Beləliklə, Yeremya peyğəmbər vasitəsilə söylənən bu söz yerinə yetdi:
280212009d	«Ramada bir səs eşidildi, Ağlaşma və böyük fəryad səsləri! Rəhilə uşaqları üçün ağlayır, Təsəlli istəmir. Çünki onlar daha yoxdur».
280213004f	Hirod öləndən sonra Rəbbin bir mələyi Misirdə Yusifə röyada görünüb
2802140083	dedi: «Qalx, Körpə ilə anasını götür, İsrail ölkəsinə qayıt. Çünki Körpənin canını almaq istəyənlər öldü».
280215004f	Yusif qalxdı, Körpə ilə anasını götürüb İsrail ölkəsinə qayıtdı.
28021600a7	Amma Arxelanın öz atası Hirodun yerinə Yəhudeya padşahı olduğunu eşidəndə oraya getməyə qorxdu. Röyada xəbərdarlıq alaraq Qalileya bölgəsinə getdi.
28021700a8	Gəlib Nazaret deyilən şəhərdə məskən saldı. Bu, peyğəmbərlər vasitəsilə söylənən «Ona Nazaretli deyiləcək» sözü yerinə yetsin deyə baş verdi.
2803010055	O günlərdə Vəftizçi Yəhya Yəhudeya çölündə vəz edərək meydana çıxdı.
280302004d	O belə deyirdi: «Tövbə edin! Çünki Səmavi Padşahlıq yaxınlaşıb».
28030300b1	Bu o adamdır ki, Yeşaya peyğəmbər onun barəsində demişdi: «Səhrada nida edənin səsi gəlir: “Rəbbin yolunu hazırlayın, Onun keçəcəyi yerləri düz edin”».
2803040075	Yəhya dəvə yunundan paltar geymiş, belinə dəri qurşaq bağlamışdı, yeməyi çəyirtkə və çöl balı idi.
280305007d	Yerusəlim sakinləri, bütün Yəhudeya diyarından olanlar və İordan ətrafında yaşayanlar Yəhyanın yanına gəlirdi.
280306005b	Onlar günahlarını etiraf edərək onun tərəfindən İordan çayında vəftiz olunurdu.
28030700e9	Fariseylər və sadukeylərdən çoxunun vəftiz olmaq üçün onun yanına gəldiyini görən Yəhya onlara belə dedi: «Ey gürzələr nəsli! Üzərinizə gələn qəzəbdən canınızı qurtarmağı sizin beyninizə kim yeridib?
280308002a	İndi isə tövbəyə layiq bəhrə verin.
280309008d	Ürəyinizdə “atamız İbrahimdir” deyə düşünməyin. Mən sizə deyirəm: Allah bu daşlardan İbrahimə övlad yaratmağa qadirdir.
28030a0077	Artıq balta ağacların dibində yatır. Beləliklə, yaxşı bəhrə verməyən hər ağac kəsilir və oda atılır.
28030b00df	Mən sizi tövbəniz üçün su ilə vəftiz edirəm, amma məndən sonra Gələn məndən daha qüdrətlidir. Mən Onun çarıqlarını daşımağa belə, layiq deyiləm. O sizi Müqəddəs Ruhla və odla vəftiz edəcək.
28030c0084	Onun kürəyi əlindədir və xırmanını sovuracaq, Öz taxılını anbara toplayacaq. Küləşi isə sönməz odda yandıracaq».
28030d006f	O vaxt İsa Yəhya tərəfindən vəftiz olmaq üçün Qalileyadan İordan çayına, Yəhyanın yanına gəldi.
28030e0072	Yəhya Ona mane olmaq istəyərək dedi: «Sən Məni vəftiz etməlisən, Sən niyə mənim yanıma gəlirsən?»
28030f0086	İsa ona cavab verdi: «Hələlik buna razı ol. Çünki biz salehlik işini beləcə yerinə yetirməliyik». Onda Yəhya razı oldu.
2803100098	İsa vəftiz olunan kimi sudan çıxdı. O vaxt göylər yarıldı və Allahın Ruhunun göyərçin kimi endiyini və Öz üzərinə qonduğunu gördü.
280311004f	Göylərdən bir səda gəldi: «Bu Mənim sevimli Oğlumdur, Ondan razıyam».
