0100000009	Doometsaa
2d091600cf	S'oossay ootseeddawe hawaanna ittuwaa. I bare hank'k'uwaa bessanawunne bare wolk'k'aa erissanaw koyyeedda; I bare hank'k'uwaan pirddanawantta, bayizzanaw giigi utteeddawantta, daro genc'c'uwaan danddayeedda.
2d0917007e	K'ay I maareeddawanttoo, bare bonchchuwaa akkanaw giigissi wotseeddawanttoo I ay keenaa bonchchettinttonne bessanaw koyyeedda.
2d0918006f	Nuuni I s'eeseeddawantta; shin Ayihuda asaa s'alalaappe gidennaan, Ayihuda gidenna asaa giddoppekka s'eeseedda.
2d0919009e	Hoose'a mas'aafan I giyaawe hawaa; «Ta asaa gidennawantta, ‹Ta asaa› gaade s'eesana. Taani siik'abeenna zariyaakka, ‹Ta siik'k'aatoo› gaade s'eesana.
2d091a009b	‹Hinttenttu ta asaa gidikkita› giyaawaa, unttunttu siseedda he sa'aan, unttunttu, ‹De'uwaa S'oossaa naanaa› geetettiide s'eesettanawantta» yaagee.
2d091b00a6	Isiyaasi Israa'eeliyaa asaabaa yaagiide haasayeedda; «Israa'eeliyaa Asay abbaa matan de'iyaa shafiyaa keena gidooppekka, unttunttuppe amareedawanttu s'alalay attana.
2d091c0057	Ayaw gooppe, Goday sa'aa bollan de'iyaa asaa ubbaa bolla, ellekka pirddana» yaageedda.
2d091d00ae	Isiyaasi kasetiide, «Ubbaappe Wolk'k'aama Goday, nuw amareedda zeretsaa ashshenentto, nuuni, Sodoomaa katamaadaaninne, Gamoora katamaadan haneeddoshshin» yaagi haasayeedda.
2d091e005d	Yaatina, nuuni waaganee? S'illotetsaa koyyibeenna Ayihuda gidenna Asay ammanuwaan s'illeedda;
2d091f0061	shin Israa'eeliyaa Asay barentta s'illissiyaa higgiyaa koyyeeddawanttu he higgiyaa demmibeykkino.
2d0920013e	Ayaw demmibeykkinoo? Unttunttu oosuwaanappe attin, ammanuwaan s'illotetsaa koyyibeenna diraassa. Unttunttu S'oossaa Mas'aafay, «Akeekite; taani S'iyoonen asaa d'ubbiyaa shuchchaa, unttunttu ogiyaan zaallaa wotsana. Shin aan ammaniyaa ooninne yeellatenna» yaagiide s'aafettowaadan d'ubbiyaa shuchchaan d'ubetteeddino.
2d0a010086	Taanaadan ammaniyaawanttoo, taani Israa'eeliyaa asaw ta kumentsaa wozanaappe amottiyaawenne S'oossaa woossiyaawe unttunttu attanaassa;
2d0a0200a2	ayaw gooppe, unttunttu S'oossaw ootsanaw loytsi koyyiyaawaa taani markkattay; shin unttunttu S'oossaw ootsanaw loytsi koyyiyaa koshshay tumu eratetsaappe gidenna.
2d0a0300bb	Ayaw gooppe, S'oossay asaa s'illissiyaa ogiyaa unttunttu erennaan, barenttu huup'e s'illotetsaa essanaw koyyeeddino; k'ay barenttu huup'ew S'oossay asaa s'illissiyaa ogew eeno gibeykkino.
2d0a040051	Ayaw gooppe, ammaneedda ubbay s'illanaadan, Kiristtoosi higgiyaa k'ofaa poleedda.
2d0a05007d	Asay higgew azazettiide s'illiyaabaw Muse, «Higgii azaziyaawaa ootsiyaa ooninne he higgiyan pas'a de'ana» yaagi s'aafeedda;
2d0a06008c	shin ammanuwaan s'illiyaabaw geetetteeddawe hawaa; «Ne wozanaan, ‹Ooni saluwaa pude baanee?› gooppa. Hewe Kiristtoosa duge wotsanaassa;
2d0a070062	woy ‹Duge sa'aa garssa wod'd'anawe oonee?› gooppa. Hewe Kiristtoosa hayk'uwaappe dentsanaassa.
2d0a0800a4	Shin I giyaawe hawaa; ‹S'oossaa k'aalay ne mataana; ne doonaaninne ne wozanaan de'ee› geetetteedda» yaagee. Hewekka nuuni hinttenttoo odiyaa ammanuwaa k'aalaa.
2d0a09008a	Neeni, «Yesuusi Godaa» gaade ne doonaan markkattooppe, k'ay S'oossay hayk'uwaappe Aa dentseeddawaa ne wozanaan ammanooppe, neeni attana.
2d0a0a0056	Ayaw gooppe, Asay bare wozanaan ammaniide s'illee; bare doonaankka markkattiide attee.
2d0a0b0041	S'oossaa Mas'aafay, «Aan ammaniyaa ooninne yeellatenna» yaagee.
2d0a0c0080	Ayihuda asaanne Ayihuda gidenna asaa giddon dummatetsay baawa. Itti S'oossay ubbaa Godaa; I barena s'eesiyaa ubbatoo daro keeka.
2d0a0d0053	Ayaw gooppe, S'oossaa Mas'aafay, «Godaa suntsaa s'eesiyaa ooninne attana» yaagee.
2d0a0e00cf	Yaatina, unttunttu Aa ammanibeennawantta gidooppe, wooti Aa s'eesanaw danddayiinoo? K'ay k'aalaa sisibeennawanttu waan ammananaw danddayiinoo? K'aalaa odiyaawe d'ayooppe, unttunttu waan sisanaw danddayiinoo?
2d0a0f00bf	K'ay k'aalaa odiyaawanttu kiitettennan aggooppe, oosuu wooti odettanaw danddayii? Ayaw gooppe, S'oossaa Mas'aafay, «Nashechchiyaa mishiraachchuwaa odiyaawanttu yuussay wooti lo"ii!» yaagee.
2d0a100088	Shin unttunttu ubbay wonggalaw azazettibeykkino; ayaw gooppe Isiyaasi, «Ta Godaw, nuuni markkatteeddawaa ooni ammaneeddee?» yaageedda.
2d0a110054	Simmi Asay k'aalaa sisiide ammanee; k'ay itti uray Kiristtoosa k'aalaa, odina sisee.
2d0a1200e1	Shin unttunttu k'aalaa sisibeennawe tumee gaade taani oochchay. Tuma unttunttu siseeddino; S'oossaa Mas'aafay, «Unttunttu haasayaa kooshshay sa'aa ubbaan laaletteedda; unttunttu k'aalaykka sa'aa gas'aa gakkeedda» yaageedda.
2d0a1300c3	Shin Israa'eeliyaa asatuu eribeykkinoyee gaade taani oochchay. Muse kase, «Taani hinttentta asaa gidenna asatuwaan seelissana; k'ay eeyaa asatuwaan taani hinttentta hank'k'etsissana» yaageedda.
2d0a140075	K'ay Isiyaasi daro s'aliide, «Taana koyyibeennawanttoo beettaad; taana oochchibeennawanttookka k'onc'c'aad» yaagee.
2d0a150084	Shin Israa'eelatuwaabaa I haasayiidde, «Gallassaa ubbaa azazettenawanttoonne tawaa is's'iyaawanttoo ta kushiyaa mic'c'aad» yaagee.
2d0b01009a	Yaatina, S'oossay bare asaa is's'eedde gaade oochchoo? Hewaa gidenna; ayaw gooppe, taani ta huup'ew Israa'eeliyaa asaa; Abraahaame zare; Biiniyaama yaraa.
2d0b0200a9	S'oossay koyro dooreedda bare asatuwaa is's'enna; S'oossaa Mas'aafay, Eelaasa taarikiyaa giddon, Eelaasi Israa'eelatuwaa S'oossaa sintsan wooti mootintto, hintte eriita.
2d0b0300af	«Godaw, unttunttu he suntsan nabatuwaa wod'eeddino; ne yarshshiyaa saakka koleeddino. Yaatina, taani ta s'alalay ataad. K'ay unttunttu taanakka wod'anaw koyyiino» yaageedda.
2d0b040070	S'oossay aw waagi zaareeddee? «Taani Eek'aa Ba'aalaw gulbbatibeenna laappu sha"a asaa taw ashshaad» yaageedda.
2d0b050063	Hawaadankka k'ay ha wodiyaan, S'oossay bare aad'd'o keekatetsaan dooreedda amareeda asatuu de'iino.
2d0b0600a7	Shin I bare aad'd'o keekatetsaan dooreeddappe attin, unttunttu oosuwaan unttuntta dooribeenna; hewe d'ayooppe, Aa aad'd'o keekatetsay tumu aad'd'o keekatetsaa gidenna.
2d0b070098	Yaatina, ayee? Israa'eeliyaa asatuu barenttu koyyiyaawaa demmibeykkino; shin S'oossay dooreedda amareedawanttu demmeeddino. Yekkonttu wozanay minneedda.
2d0b0800b7	Hawaadankka, S'oossaa Mas'aafay, «S'oossay unttunttu barenttu ayfiyaan be'ennaadaaninne barenttu haytsaan sisennaadan, hawaa gakkanaw unttunttoo, azalla ayaanaa immeedda» yaageedda.
2d0b090086	K'ay Daawite yaageedda; «Unttunttu miyaa gaytay unttuntta p'iriyaadan oyk'k'o; unttuntta guufantso; unttunttoo kushiyaa shiri c'iggo.
2d0b0a0070	Unttunttu s'eellennaadan, unttunttu ayfii goozetto; ubbaa wode barenttu metuwaan k'uunniide de'iino» yaageedda.
2d0b0b00ce	Yaatina, Ayihudatuu d'ubetteedda wode, denddennaadan kunddeeddino? Hewaa gidenna; unttunttu nagaraa ootseedda diraw, atotetsay unttunttu Ayihuda gidenna asatuwaa k'anaatanaadan, Ayihuda gidenna asaw yeedda.
2d0b0c00db	Shin Ayihudatuu nagaraa ootseedda diraw, alamew daro anjjuu yeedda; k'ay unttunttu kunddetsaykka Ayihuda gidenna asaw daro anjjuwaa aheedda. Yaatina, Ayihudatuu ubbay gujettiyaa wode, anjjuu woyssa keena daranddeeshsha!
2d0b0d0092	Shin taani ha"i hinttenttoo, Ayihuda gidenna asaw haasayay; taani Ayihuda gidenna asaw Yesuusi kiitteeddawaa gidiyaa diraw, ta oosuwaa bonchchana.
2d0b0e0076	Taani ta zare gidiyaa asatuwaa k'anaatanchchatuwaa ootsooppe, ooni eri unttunttuppe amareedawantta ashshenaan aggikke.
2d0b0f00be	Ayaw gooppe, S'oossay unttuntta is's'eedda wode, ha alamii S'oossaanna sigetteedda. Yaatina S'oossay unttuntta shiishshi akkiyaa wode, hayk'k'eeddawe de'uwaa demmanaappe attin, ayee hananee?
2d0b1000be	Koyro ayfe bagga munak'ay anjjetteeddawaa gidooppe, muume munak'aykka k'ay anjjetteeddawaa gidana; itti mitsaa s'ap'uu anjjetteeddawaa gidooppe, haytsay ubbaykka k'ay anjjetteeddawaa gidana.
2d0b1100e1	Shin woraan doleedda wogaraa mitsaa k'ankkaappe ittuwaa ittuwaa kareeddasaan, neena woraan doleedda wogaraa mitsaa mallaa he wogaraanna gatsi k'achcheeddo; neeni k'ay zayitii kesiyaa wogaraa mitsaa s'ap'uwaanna ittippe de'aa.
2d0b1200b7	Simmi neeni he karetti wod'd'eedda k'ankkatuwaa bollan otorettanaw bessena; shin neeni otorettiyaawaa gidooppekka, s'ap'uu neena tookkeeppe attin, neeni s'ap'uwaa tookkennawaa akeeka.
2d0b130064	Hewaa diraw neeni, «Ee; shin k'ankkatuu taani unttunttu sa'aan gelanaaddan karetteeddino» yaagana.
2d0b140092	Hewe tuma; unttunttu ammanibeenna diraw, karetteeddino; neeni ammaneedda diraw, he sa'aan ek'k'aadda. Shin yayyappe attin, otoro k'ofaa k'oppoppa.
2d0b15007c	Ayaw gooppe, S'oossay med'etaa k'ankkaa malatiyaawanttoo, Ayihudatoo k'arettibeennawaa gidooppe, new k'arettiyaawaa malatii?
2d0b1600b5	Simmi S'oossaa keekatetsaanne s'alatetsaa be'a. Kunddeeddawanttoo I s'alaa; shin neeni Aa keekatetsaani minnaade de'ooppe, I new keeka; hewe d'ayooppe, neenikka k'ay k'ans's'ettana.
2d0b1700a2	Ayihudatuukka k'ay ammanennaan is's'iyaawaa aggooppe, S'oossay kase unttunttu de'iyaa saan zaariide wotsana; ayaw gooppe, I unttuntta zaariide wotsanaw danddayee.
2d0b18017f	Ayaw gooppe, S'oossay hinttentta woraan de'iyaa koyro med'etaa wogaraa mitsaappe k'ans's'iide, hinttenttu med'etaan woraan dolowanttudan gidennaan gaden tokkeedda wogaraa mitsaanna gatsi oytseeddawaa gidooppe, yaatina, he karetti wod'd'eedda koyro med'etaa k'ankkatuwaa zaaretsiide, unttuntta koyro med'etaan doleedda barenttu wogaraa mitsaanna gatsi k'achchanaw, Aa ayee s'oonanawe?
2d0b190148	Taanaadan ammaniyaawanttoo, taani hintte eranaadan koyyiyaa tumu s'uuraa yewuu de'ee; hewe hintte hinttentta hintterekka, nuuni aad'd'eedda eranchcha yaagiide k'oppiyaawaa diggee; Israa'eeliyaa asaappe baggay sisennaan is's'eedda; shin he sisennaan is's'iyaawe Ayihuda gidenna asaa kumentsaa payduu S'oossaakko gakkanaw gam"ana.
2d0b1a00ba	Hawaadankka, Israa'eeliyaa Asay ubbay attana; S'oossaa Mas'aafay hawaadan yaagee; «Ashshiyaawe S'iyoone geetettiyaa katamaappe yiide, nagaraa oosuwaa ubbaa Yaak'ooba zariyaappe diggana.
2d0b1b0060	Taani unttunttu nagaraa atto yaagiyaa wode, unttunttunna gelana k'aalaa c'aak'uu hawaa» yaagee.
2d0b1c00b4	Ayihuda gidenna asatoo, Ayihudatuu wonggalaa mishiraachchuwaa baggana hintte diraw, S'oossaanna morkke; shin S'oossaa dooruwaa baggana aawotuwaa diraw, unttunttu I siik'iyaawantta.
2d0b1d005e	Ayaw gooppe, S'oossay bare immeeddawaa guyye akkena; k'ay bare s'eeseeddawaa is's'aaddi geena.
2d0b1e009c	Ayihuda gidennawanttoo, S'oossaw hintte kasenna azazettibeykkita; shin Ayihudatuu azazettenan is's'eedda diraw, S'oossaa maarotetsaa ha"i hintte akkeeddita.
2d0b1f0085	Hawaadan, hintte akkeedda maarotetsaa diraw, Ayihudatuu k'ay S'oossaa maarotetsaa ha"i akkanaadan, S'oossaw azazettenan is's'eeddino.
2d0b200069	Ayaw gooppe, S'oossay asaa ubbaa maarana mala, Asay ubbay aw azazettenan is's'iyaa hanotaan k'achcheedda.
2d0b2100b3	S'oossaa duretetsay woyssa keena daree? Aa aad'd'o eratetsaynne Aa eratetsay woyssa keena c'iimmee? Aa pirddaa odanawe oonee? I bare ootsiyaawaa ayaw ootsintto, oonee akeekiyaawe?
2d0b220059	Hewaa S'oossaa Mas'aafay, «Godaa wozanaa eriyaawe oonee? Aa zoranaw danddayiyaawe oonee?
2d0b230046	Woy bare kushiyaa zaarana mala, aw ittibaa immeeddawe de'ii?» yaagee.
2d0b24007a	Ayaw gooppe, ubbabaa I med'd'eedda; k'ay ubbabaykka Aa maataaninne awunne de'ee; S'oossaw med'inaw bonchchuu gido. Amen"i.
2d0c0100f7	Simmi taanaadan ammaniyaawanttoo, hintte hintte oonatetsaa S'oossaa nashechchiyaa de'onne geeshsha yarshshuwaa ootsiide, S'oossaw shiishshanaadan, taani hinttentta S'oossaa maarotetsaan woossay; S'oossaw hintte goyinnanaw bessiyaa tumu ogii hewaa.
2d0c0200ce	S'oossay hintte k'ofaa ubbaanna dummayiide, hinttentta laammooppe attin, ha alamiyaa asaa malatoppite. He wode hintte, S'oossaa shenii, lo"obay, Aa nashechchiyaabaynne k'ay polo gideeddabay ayentto eranita.
2d0c03010e	S'oossay taw immeedda aad'd'o keekatetsaan taani hinttenttoo oday. Hinttenttu k'oppanaw bessiyaawaappe aatsiide, otoruwaan k'oppoppite; hewaa aggiide, wozanaama asaadan k'oppite; S'oossay hinttenttoo huup'iyaan huup'iyaan immeedda ammanuwaa keenan hintte bolla pirddite.
2d0c040068	Nu itti bollaa giddon, c'ora bollaa k'ommotuu de'iino; he k'ommotuwaa ubbawukka dumma dumma oosuu de'ee.
2d0c050094	Hawaadan, nuuni c'ora asaa gidooppekka, Kiristtoosa baggana itti asaa. K'ay nuuni itti asatetsaa k'ommotuwaadan, ittuu ittuwaanna oyk'etti utteeddo.
2d0c06008f	S'oossay nuw immeedda aad'd'o keekatetsaan dumma dumma imotay de'ee. Nu imotay nabetetsaa gidooppe, nuw de'iyaa ammanuwaa keenaa odanaw bessee.
2d0c070077	Haratuwaa maaddussaa gidooppe, he oosuwaan minnanaw bessee; tamaarissussaa gidooppe, he tamaarissuwaan minnanaw bessee.
2d0c0800e3	Hara asatuwaa minisussaa gidooppe, he oosuwaan minnanaw bessee. Bare huup'ew de'iyaabaappe haratoo immiyaa ooninne wozanaappe immo. Maatay de'iyaa uray minisi ootsanaw bessee; haratoo keekiyaa uray nashechchaan keekanaw bessee.
2d0c090070	Hinttenttu siik'uu asaa bessanaw siik'ettiyaawaa gidanaw bessena. Iitabaa is's'ite; lo"obaa minisiide oyk'k'ite.
2d0c0a0053	Ittuu ittuwaanna ishatuwaadan siik'ettite; ittuu ittuwaa bonchchiyaawan nashettite.
2d0c0b0049	Minniide ootsite; azalloppite; hintte kumentsaa wozanaappe Godaw ootsite.
2d0c0c0066	S'oossay hinttenttoo immana geeddawaan nashettite; waayiyaan genc'c'ite. Ubbaa wode S'oossaa woossite;
2d0c0d003a	S'oossaa asatuwaa koshshiyaaban maaddite; imatsaa mokkite.
2d0c0e0050	Hinttentta yederssiyaawantta anjjite; unttuntta anjjiteppe attin, shek'k'oppite.
2d0c0f0040	Nashettiyaawanttunna nashettite; yeekkiyaawanttunnakka yeekkite.
2d0c1000ab	Asaa ubbaw itti mala k'ofaa k'oppite; ootsiyaaban ubbaan hinttentta toochchiide de'iteppe attin, otorettoppite; hinttentta hintterekka aad'd'o eranchcha giide k'oppoppite.
2d0c11006e	Ooninne hinttenttoo iitabaa ootsooppe, he uraw iitabaa ootsi zaaroppite; asaa ubbaw lo"obaa ootsanaw k'oppite.
2d0c120060	Asaa ubbaanna sarotetsaan de'anaw, hintte baggana, hinttenttoo danddayetteeddabaa ubbaa ootsite.
2d0c1300e2	Taanaadan ammaniyaawanttoo, hintte hintte huup'ew asaw haluwaa kesoppite. S'oossay haluwaa kesanaadan, Aa bolla olite. Ayaw gooppe, S'oossaa Mas'aafay, «Goday, ‹Taani haluwaa kesana; taani kushiyaa c'iggana› gee» yaagee.
2d0c140097	Shin S'oossaa Mas'aafay, «Ne morkkii koshattooppe, miza. Saamettooppe, ushsha. Ayaw gooppe, neeni hewaa ootsiyaawaan, Aa darissa yeellayaasa» yaagee.
2d0c15003a	Iitabaa lo"obaan s'oonappe attin, iitabay neena s'oonoppo.
2d0d0100c4	Asay ubbay gadiyaa ayissiyaawanttoo eeno gaanaw bessee; ayaw gooppe, S'oossay geenaan de'ishshin, gadiyaa ayissiyaawe de'anaw danddayenna. Ha"i de'iyaa ayissiyaawanttukka S'oossay wotseeddawantta.
2d0d02006f	Hewaa diraw, ha"i de'iyaa ayissiyaawantta is's'iyaa ooninne S'oossaa azazuwaa is's'ee; bare bolla pirddaa ahee.
2d0d0300c1	Ayaw gooppe, ayissiyaawanttu iitabaa ootsiyaawantta yashshanawaappe attin, lo"obaa ootsiyaawantta yashshikkino. Ayissiyaawoo yayyenaan agganaw koyyay? Yaatooppe lo"obaa ootsa; I neena galatana.
2d0d0400d7	Ayaw gooppe, I new lo"obaa ootsanaw, S'oossaw k'ooma. Shin neeni iitabaa ootsooppe, iitabaa ootseeddawaa I seeriyaa diraw, aw yayya; I S'oossaa k'oomaa. K'ay iitabaa ootsiyaawanttu bolla S'oossaa hank'k'uwaa I ahee.
2d0d050090	Hewaa diraw, gadiyaa ayissiyaawanttoo eeno giyaawe S'oossaa muraa s'alalaassa gidennaan, hinttenttu wozanaa k'ofaa dirawukka eeno gaanaw bessee.
2d0d060087	Ayaw gooppe, gadiyaa ayissiyaawanttu barenttu oosuwaa ootsiyaa wode, S'oossaw ootsiyaa diraw, hintte k'aras'aa k'ans's'iyaawe hewaassa.
2d0d0700b7	Ubbaa asawukka bessiyaawaa immite. Giiraa giiranaw bessiyaawoo giirite; k'aras'aa k'ans's'anaw bessiyaawoo k'ans's'ite; yayyanaw bessiyaawoo yayyite; bonchchuu bessiyaawaa bonchchite.
2d0d080092	Hinttenttu ittuu ittuwaanna siik'ettanaappe attin, hara ac'uu O bollaninne de'oppo. Ayaw gooppe, haraa siik'iyaa ooninne higgii giyaawaa poleedda.
2d0d0900a0	«Woshummoppa; wod'oppa; wuu"oppa; asaabaa amottoppa» giyaa azazatuunne hara azazatuu ubbatuu, «Ne shooruwaa ne huup'iyaadan siik'a» giyaa azazuwaan kumiino.
2d0d0a0076	Bare shooruwaa siik'iyaa ooninne aw iitabaa ootsenna; hewaa diraw, shooruwaa siik'iyaawe higgiyaa ubbaw eeno giyaawaa.
2d0d0b00b0	Gem"ishuwaappe hintte beegottiyaa saatii ha"i gakkeedda diraw, ha wodiyaa akeekite. Ayaw gooppe, nuuni koyro ammaneedda wodiyaappe, nuuni attiyaa wodii ha"i nuukko matatteedda.
2d0d0c0083	K'ammay aad'd'anaw hanee; gallassay matatteedda. Simmi nuuni d'umaa oosuwaa aggiide, poo'uwaan olettanaw, olaa miishshaa mayyoytte;
2d0d0d00af	gallassi poo'uwaan de'iyaa asaadan, ane maara de'oytte. Yetsaaninne matsuwaan gidoppo; woshummussaaninne woshummanaw kajjeelussaana gidoppo; palumaaninne k'anaatiyaan gidoppo.
2d0d0e0088	Shin Godaa Yesuusi Kiristtoosa, olaa miishshaa Aa mayyite; hintte nagaranchcha asatetsay bare wozanaa amuwaa polanaadan, aw k'oppoppite.
2d0e010064	Ammanuwaan azalliyaa uraa shiishshi akkite. Shin I bare huup'ew k'oppiyaabaan aanana palumettoppite.
2d0e02006b	Itti uraa ammanuu I ayaa miinanne diggenna. Shin ammanuwaan azalliyaa uray gaden mokkeeddabaa s'alalaa mee.
2d0e030098	Ubbabaa miyaa uray ubbabaa meenna uraa kad'oppo; ubbabaa meenna uraykka ubbabaa miyaa uraa bolla pirddoppo. Ayaw gooppe, S'oossay Aa shiishshi akkeedda.
2d0e04008e	Hara asaa k'oomaa bolla pirddiyaawe neeni oonee? I kunddina woy denddina bare Godaassa; shin Goday Aa dentsanaw danddayiyaa diraw, I ek'k'ana.
2d0e0500d3	Itti uray, «Hik'k'a gallassay hara gallassatuwaappe aad'd'ee» yaagiide k'oppiyaa wode, haray, «Ubbaa gallassatuukka itti mala» giide k'oppee. Asay ubbay huup'iyaan huup'iyaan hewaadan ayaw k'oppintto akeeko.
2d0e060102	Itti gallassaa hara gallassatuwaappe aatsiide bonchchiyaa uray Godaa bonchchoo bonchchee; k'umaa miyaa uraykka Godaa bonchchoo mee. Ayaw gooppe, I he k'umaa diraw, S'oossaa galatee. K'umaa meennawekka Godaa bonchchoo meennaan aggeedda; k'ay S'oossaa galatee.
2d0e070068	Ayaw gooppe, nuuppe ooninne bare huup'e s'alalaw de'enna; k'ay ooninne bare huup'e s'alalaw hayk'k'enna.
2d0e080088	Nuuni pas'a de'ooppe, Godaw de'eetto; k'ay hayk'k'ooppekka, Godaw hayk'k'eetto. Simmi nuuni pas'a de'ooppe woy hayk'k'ooppekka Godaassa.
2d0e090078	Hewaa diraw, Kiristtoosi pas'a de'iyaawanttoonne hayk'k'eeddawanttoo Godaa gidanaw hayk'k'iide, hayk'uwaappe denddeedda.
2d0e0a0085	Yaatina, neeni ne ishaa bolla ayaw pirdday? Woy neeni ne ishaa ayaw kad'ay? Nuuni ubbaykka S'oossaa pirddaa oydiyaa sintsan ek'k'ana.
2d0e0b00b6	Ayaw gooppe, S'oossaa Mas'aafay, «‹Taani Goday ta de'uwaan c'aak'k'ay; asay ubbay ta sintsan gulbbatana. K'ay taani S'oossaa gidiyaawaa, asay ubbay markkattana› yaagay» yaagee.
2d0e0c0037	Simmi nuuni huup'iyaan huup'iyaan nubaa S'oossaw odana.
2d0e0d00bb	Hewaa diraw, nuuni ittuu ittuwaa bolla pirddiyaawaa hawaappe sintsaw ane aggoytte. Shin ubbaappe aatsiide, hintte ishaa d'ubbiyaabaa woy nagaraan oliyaabaa ootsennaadan k'ofaa k'achchite.
2d0e0e00a9	Taani Godaa Yesuusi Kiristtoosanna de'iyaawaan, bare huup'ew tuna gidiyaabay baynnawaa eraynne akeekay. Shin itti uray ittibaa tuna giide k'oppooppe, hewe aw tuna gidee.
2d0e0f008d	Neeni miyaabaa diraw, ne ishaa k'ohooppe, simmi neeni siik'uwaan de'akka. Kiristtoosi Aa diraw hayk'k'eedda asaa ne miyaa k'umaan bayizzoppa.
2d0e10002b	Simmi neeni lo"obaa giyaawaa Asay kad'oppo.
2d0e110093	Ayaw gooppe, S'oossaa kawutetsay Geeshsha Ayyaanay immiyaa s'illotetsaa, sarotetsaanne nashechchaa gidiyaawaappe attin, muussaanne ushshaa gidenna.
2d0e120062	Ayaw gooppe, Kiristtoosaw hawaadan ootsiyaa uray ooninne S'oossaa nashechchee; asaykka Aa galatee.
2d0e130063	Yaatooppe, ane nuuni sarotetsaa ahiyaabaanne nuuna ittuwaa ittuwaanna minisiyaabaa ubbaa koyyeetto.
2d0e140072	S'oossaa oosuwaa k'umaa diraw bayizzoppa. K'umay ubbay geeshsha; shin hara uraa nagaraan yeggiyaawaa muussay iita.
2d0e150073	Hewoo ashuwaa meennaan woy ushshaa ushennaan aggiyaawe woy ne ishaa d'ubbiyaabaa ayaanne ootsennaan aggiyaawe lo"a.
2d0e1600d0	Ha yewuwaan ne ammanuwaa neeppenne S'oossaappe gidduwaan naaga. Itti uray lo"a giide I ammanetteedawaa ootsiyaa wode, «Taani lo"uwaa ootsaad» giide bare wozanaan ammanettooppe, he uray tumu anjjetteeddawaa.
2d0e170095	Shin I he miyaabaan sid'ooppe, Aa muussay ammanuwaana gidenna diraw, S'oossay Aa bolla pirddee; k'ay ammanuu baynnaan ootseeddawe ayayneekka nagaraa.
2d0f010077	Nuuni ammanuwaan minneeddawanttu daaburanchchatuwaa tookuwaa tookkanaw bessee; nuuni nu s'alalaa nashechchanaw bessena.
2d0f020061	Nuuni huup'iyaan huup'iyaan nu ishaa maaddanaw, ammanuwaan Aa minisanawunne nashechchanaw bessee.
2d0f0300ac	Ayaw gooppe, haray atto Kiristtoosikka barena nashechchibeenna. Shin S'oossaa Mas'aafay, «Neena boreeddawanttu boreedda borii ta bolla wod'd'eedda» geeddawaadan haneedda.
2d0f0400c1	S'oossaa Mas'aafay nuw immiyaa genc'c'aaninne minotaan nuuni demmana giide nashechchaan naagi utteeddawe de'ana mala, S'oossaa Mas'aafan s'aafetteedda ubbabay nuuna tamaarissanaw s'aafetteedda.
2d0f050104	Hinttenttu ubbay itti wozana gidiide, itti k'aalaan S'oossaa, nu Godaa Yesuusi Kiristtoosa Aawuwaa, bonchchana mala, genc'c'uwaanne minotetsaa immiyaa S'oossay, hinttenttoo Kiristtoosi Yesuusi ootseeddawaadan, ittuu ittuwaanna ittippe de'iyaa itti k'ofaa immo.
2d0f07005e	Hewaa diraw, Kiristtoosi hinttentta mokkeeddawaadan, S'oossaa bonchchoo ittuu ittuwaa mokkite.
2d0f080163	Ayaw gooppe, S'oossay ammanetteedawaa gidiyaawaa erissanaw, S'oossay aawaatoo immana geeddawaa tumayanawunne Ayihuda gidenna Asay S'oossaa Aa maarotetsaa diraw bonchchanaw Kiristtoosi Ayihudatoo k'ooma gideeddawaa hinttenttoo oday. Hewaa S'oossaa Mas'aafay, «Hewaa diraw, taani neena, Ayihuda gidenna asaa giddon galatana; ne suntsaakka sabbana» yaagee.
2d0f0a004b	K'aykka, «Ayihuda gidenna asatoo, S'oossaa asatuwaana nashettite» yaagee.
2d0f0b0072	K'aykka gujjiide, «Hinttenttoo, Ayihuda gidenna asatoo ubbatoo, Godaa galatite; asaw ubbaw, Aa galatite» yaagee.
2d0f0c009a	K'aykka Isiyaasi, «Issey zeretsay yiide, Ayihuda gidenna asaa mooddanaw denddana. K'ay unttunttu Aa baggana demmana giide, nashechchaan naagana» yaagee.
2d0f0d00cf	Hinttenttu akkana giide nashechchaan naagiyaawe Geeshsha Ayaanaa wolk'k'aan dic'c'anaadan, hinttenttoo immana geedda S'oossay, hintte Aa ammaniyaa diraw, hinttenttoo nashechchaanne sarotetsaa kuntsiide immo.
2d0f0e0096	Taanaadan ammaniyaawanttoo, hinttenttun lo"otetsaynne eratetsay ubbay kumeeddawaanne k'ay ittuu ittuwaa zoranaw danddayiyaawaa taani ta huup'ew eraad.
2d0f0f01c6	Shin taani hinttentta ittibaa ittibaa gujja k'ofissanaw, ha dabddaabbiyaa giddon ayinne yayyenaan hinttenttoo s'aafaad. Taani Kiristtoosa Yesuusa k'ooma gidaade, Ayihuda gidenna asaw ootsanaadan, S'oossay taw aad'd'o keekatetsaa immeedda diraw, taani ayinne yayabeykke; Ayihuda gidenna Asay Geeshsha Ayaanaa baggana S'oossaw geeshsha gidiide, Aa nashechchiyaa yarshshuwaa gidanaadan, S'oossaa wonggalaa mishiraachchuwaa odiyaawaan geeshshatetsaan ootsay.
2d0f11005d	Hewaa diraw, taani Kiristtoosa Yesuusan gidaade S'oossaw ootsiyaaban c'eek'ettanaw danddayay.
