2800000006	Matayu
3b0512004f	Shakapanu kaluwiti kayi na mpindi itowiti vula na isi imeriziya viboga vyakuwi.
3b05130059	Walongu wangu, muntu yumu penu pakagamira kutali na unakaka, na muntu gwingi pakamwuziya,
3b051400af	muvimani kuwera ulii yakamwuziya muntu yakawera na vidoda kulawa munjira ya upotuziya, hakailopoziyi rohu ya muntu ulii kulawa mukuhowa na vidoda vivuwa havilekiziwi na Mungu.
3c00000008	1 Peteru
3c010100d6	Neni Peteru, ntumintumi gwa Yesu Kristu, nankuwalembera mwenga wantu yawasyagulitwi na Mlungu Tati, wantu yampalanganyikiti na kulikala gambira watugira isi aku Pontu na Galatiya na Kapadokiya na Asiya na Bituniya.
3c010200c9	Mlungu Tati kawasyaguliti mwenga kulawirana na ntambu yakafira mweni, na mpungwa kwa Rohu, mpati kumjimira Yesu Kristu na kumishirwa kwa mwazi gwakuwi. Manemu na ponga gavuwa gaweri pamuhera na mwenga.
3c010300ae	Tumkwisi Mlungu na Tati gwa Mtuwa gwetu Yesu Kristu! Kwa lusungu lwakuwi likulu katupanana twenga ukomu wa syayi kwa kumzyukisiya Yesu Kristu. Katupanana litumbiru lyanakaka,
3c010400a1	su twankulolera uhala wa matekeleru ga Mlungu, matekeleru yagawola ndiri na yagahera uhakata na galii yaganyala ndiri. Mlungu kawatulira kumpindi matekeleru aga.
3c01050085	Na mwenga mlolerwa weri na makakala ga Mlungu kwa njira ya njimiru toziya ya ulopoziya yauwera kala kugubutulwa mumashaka ga upeleru.
3c01060088	Munemeleri mushitwatira ashi, paiwera vinu kwa shipindi shididini hamfiruwi kuhinginiki toziya ya majeru ga ntambu yingiyingi yamtabika.
3c010700ee	Majeru aga lengu lyakuwi ndo kulanguziya nakaka njimiru yenu, yaiwera na mana nentu kuliku zahabu yeni tembera ata payiwora ijerisiwa kwa motu. Toziya ayi mwenga hampati uzyumi na ligoya na ukwisa, lishaka lilii Yesu Kristu pakagubutulwa.
3c01080089	Mwenga mwankumfira yomberi tembera mumwoniti ndiri, na mumjimira tembera mumwona ndiri vinu. Su munemelera kwa ukwisa yawutakulika ndiri,
3c0109004c	toziya mwankuwanka ulopoziya wa rohu zyenu, wawuwera lengu lya njimiru yenu.
3c010a0081	Wambuyi wa Mlungu yawatungiti kuusu manemu geni hagaweri ga nakaka kwa mwenga, wasakuliti na kukosiya kosiya kuusu ulopoziya awu,
3c010b00b4	womberi wafiriti kushimana shipindi na ntambu yashiwera, shipindi pakatakuliti Rohu gwa Kristu yakaweriti mngati mwawu, pakatunga kuusu ntabika hayimpati Kristu na ukwisa yawuwiza.
3c010c015a	Mlungu kawagubuturiti wambuyi wakuwi kuwera ujumbi ulii yawaubweriti, walibweleriti ndiri weni kumbiti wawabweleriti mwenga Shisoweru Shiwagira kwa makakala ga Rohu Mnanagala yakatumitwi kulawa kumpindi kwa Mlungu, lihengu ali liwera ndiri na mota yawu weni kumbiti kwajili ya mwenga. Ata wantumintumi wa kumpindi mewafiri kuvimana vitwatira avi.
3c010d0085	Su muweri kala nakamu na kulikala masu. Mlituli litumbiru lyenu lyoseri mumanemu galii hampananwi shipindi Yesu Kristu pakagubutulwa.
3c010e0087	Gambira wana wa Mlungu yawajimira, namujimira nakamu kufata kayi matamata zidoda zyamuweriti nazu pamuwumaniti ndiri unakaka wa Mlungu.
3c010f005e	Kumbiti yomberi yakawashemiti ndo mnanagala, su mwenga muweri wananagala muvyoseri vyamutenda.
3c01100056	Toziya Malembu Mananagala galembwa, “Muweri wananagala toziya neni ndo mnanagala.”
3c011100c2	Pamumkanda Mlungu, mwenga mumshema Tati. Su muvimani kuwera yomberi kamtoza kila yumu kulawirana na matendu gakuwi pota kubagula, mwendereyi kumjimira Mlungu pamulikala gambira wahenga pasipanu.
3c011200ba	Toziya muvimana kuwera mwenga mlopoziwitwi mumgenderanu gwenu yagufaa ndiri yagumuwankiti kulawa kwa wazewi wenu. Kumbiti mlopoziwiti ndiri kwa vintu vyaviharabika, kwa mpiya ama zahabu,
3c0113006a	kumbiti kwa mwazi gwa mana nentu gwa Kristu, yakaweriti gambira mwana kondolu yakahera shilema ama lidowa.
3c0114007c	Yomberi kasyagulitwi na Mlungu pamberi pa kunyawa pasipanu, kumbiti kagubutulitwi mumashaka aga ga upeleru toziya ya mwenga.
3c01150088	Kwa njira yakuwi mwenga mwankumjimira Mlungu yakamzyukisiyiti na kumpanana ukwisa, su njimiru yenu na litumbiru lyenu viwera kwa Mlungu.
3c0116008a	Vinu mwenga mulipunga maweni kwa kuujimira unakaka, su mwenga muwafira nakaka wayenu pota na ufyangu, su mulifiri nakamu kwa moyu gwoseri.
3c011700ba	Toziya mpananitwi ukomu wa syayi, ulii yawulawiti ndiri mumbeyu yayiharabika, kumbiti kulawa mumbeyu yayiharabika ndiri kwa njira ya ujumbi wa Mlungu yawuwera ukomu na wa mashaka goseri.
3c0118009f	Malembu Mananagala ntambu yagalonga, “Kila muntu kalifana na mahamba, na ukwisa wakuwi woseri ulifana na uluwa wa mahamba. Mahamba ganyala, na uluwa utuluka.
3c01190066	Kumbiti ujumbi wa Mtuwa ulikala mashaka goseri.” Ujumbi awu ndo Shisoweru Shiwagira shamubweleritwi.
3c0201005f	Su muleki ukondola woseri na upayira na ufyangu na weya na kila ntambu zya kutakulirana madoda.
3c02020087	Gambira wana wanonu ntambu yawafira maweri, mfiruwa kuwera na mata ga maweri geni ga shirohu, su kwa aga mpati kukula muulopoziya wenu.
3c0203002d	Vinu mwenga muvimana kuwera Mtuwa ndo muheri.
3c02040087	Su mumgenderi Mtuwa, libuwi lya ukomu lyalilemitwi na wantu, kumbiti kulongolu kwa Mlungu ndo libuwi lyalisyagulitwi na lya mana nentu.
3c020500cf	Na mwenga vulaa, gambira mabuwi yagawera makomu, munyawiwa muweri numba ya shirohu kweni aku hamtenderi ntambu mtambika gwa shirohu pakalaviya tambiku zya shirohu zyazijimirwa na Mlungu kupitira Yesu Kristu.
3c020600cc	Toziya Mumalembu Mananagala galembitwi, “Guloli, nankutula libuwi aku Sayuni, libuwi lya lyanjiru lya mupembi lyalisyagulitwi na lya mana nentu, na muntu yoseri yakamjimira yomberi hapeni kasoniziwi.”
3c020700d5	Kwa mwenga yamujimira, libuwi ali lyana mana nentu. Kumbiti kwa walii yawajimira ndiri, Malembu Mananagala ntambu yagalonga, “Libuwi lyawalilemiti wanyawa numba, liwera libuwi lyaliwera na mana kuliku goseri,”
3c020800c8	kayi galonga, “Libuwi ali ndo wantu hawalikwali, litalawu haliwatendi womberi waguwi.” Womberi walikwala toziya wajimira ndiri ujumbi wa Mlungu, na hangu ndo ntambu yawapangiwitwi kwanjira kwanja.
3c0209010a	Kumbiti mwenga ndo lukolu lwalusyagulwa na utambika wa shifalumi na shipinga sha wantu wananagala na wantu wakuwi Mlungu, yamushemitwi kubwera matendu makulu gakulikangasha ga Mlungu, yakawashemiti kulawa muluwindu na kuwayingiziya muulangala wakuwi wa kulikangasha.
3c020a00b1	Shipindi shimu, mwenga muwera ndiri wantu wa Mlungu, kumbiti vinu mwenga muwera wantu wakuwi, shipindi shimu muwoneritwi ndiri lusungu na Mlungu, kumbiti vinu muwonerwa lusungu.
3c020b007d	Waganja wangu, nuwahiga nentu mwenga gambira wahenga na yawapita pasipanu! Muleki matamata zidoda zyazisingana na rohu zyenu.
3c020c00d1	Mfiruwa kuwera na mgenderanu guherepa nentu pakati pa wantu yawamumana ndiri Mlungu su ata pawawatakulira mtenda madoda wawezi kugamana matendu genu maheri, su wamkwisi Mlungu lishaka lya kwiza kuwatoza wantu.
3c020d006b	Su muwajimiri walongoziya woseri wa wantu toziya ya Mtuwa, ujimira kwa mfalumi yakaweriti mkolamlima mkulu,
3c020e007f	ama ujimira kwa walongoziya wa mikowa, weni yawasyagulitwi nayomberi kuwatoza yawatenda madoda na kuwazyuma yawatenda gaherepa.
3c020f0072	Toziya Mlungu kankufira mwenga kwa matendu genu maheri gamtenda, muwanyamaliziyi wantu wazigizigi yawahera mahala.
3c02100087	Mulikali gambira wantu walekeru, kumbiti namuwutendera ulekeru wenu kuwufifa ukondola, kumbiti mulikali gambira wantumintumi wa Mlungu.
3c02110073	Muwapanani ligoya wantu woseri. Muwafiri walongu wenu waumini na mmupanani ligoya Mlungu. Mmupanani ligoya mfalumi.
3c0212008f	Mwenga wantumintumi wa ukaya, muwajimiri watuwa wenu kwa ligoya lyoseri, yawawera waheri na yawawera wapoli, muwajimiri ata walii yawakalaziya.
3c02130080	Toziya handa muhepelera kutama kwa ntabiku yamfiruwa ndiri toziya muvimana handa Mlungu kafira hangu, su Mlungu hakawatuli weri.
3c021400a9	Hamupati shishi pamuhepelera makomangu gamfiruwa toziya ya vidoda vyamtenda? Kumbiti handa pamuhepelera ntabiku ata paiweri mtenda maheri, Mlungu hakafiriziwi na mwenga.
3c0215007b	Aga ndo gamshemiritwi, Kristu mweni katabikiti toziya ya mwenga, na kawalekerani mfanu, su mtendi ntambu yakatenditi mweni.
3c02160044	Yomberi katenditi ndiri vidoda, ama katakuliti ndiri upayira woseri.
3c021700a9	Pawamwigiliti yomberi kawankula ndiri kwa kwigila, pakapatiti ntabiku yomberi kalaviyiti ndiri vitiriziwu, su kagatuliti matumbiru gakuwi kwa Mlungu, mtoza gwa teratera.
3c021800c3	Yomberi mweni kavipapiti vidoda vyetu munshimba mwakuwi pakapingikitwi palupingika, su tuleki kutenda vidoda na kulikala makaliru gagamfiriziya Mlungu, na kwa vironda vyakuwi mwenga mponiziwitwi.
3c02190072	Mwenga muweriti gambira wakondolu yawaweriti wagamira, kumbiti vinu mumuwuyira Mlolera na yakawulolera ukomu wenu.
3c030100dd	Namwenga wadala, mlituli pasi pa uwezu wa wapalu wenu, su handa kwana wapalu woseri yawajimira ndiri shisoweru sha Mlungu, wapati kujimira kwa kuguwona mgenderanu gwenu. Hayiweri ndiri kwa mwenga mpaka kutakula shisoweru,
3c03020048	toziya hawawoni ntambu mgenderanu gwenu yaguwera guherepa na gwa ligoya.
3c030300a2	Kuliheripiziya kwa mwenga namtumbira vitwatira vya kunja, gambira ntambu zya kudukusa viri zya maringisu nentu na kuvala vintu vya zahabu na nguwu zya beyi nkulu.
3c030400ae	Su uherepa wenu ufiruwa kulawirana na ntambu ya mngati mwa untu wa nakaka, uherepa yawunyala ndiri wa uheri na unyamaliru wa rohu, weni ndo wa mana nentu palongolu pa Mlungu.
3c03050084	Hangu ndo ntambu yawaliherepiziyiti pamakashu wadala wananagala yawamguwiriti na kumtumbira Mlungu kwa kulitula pasi pa wapalu wawu,
3c030600b0	gambira Sara ntambu yakalituliti pasi pa Aburahamu na kumshema yomberi mtuwa gwakuwi. Mwenga muwera vinu wahinga wakuwi handa pamutenda gaherepa pota kutiliziwa shintu shoseri.
3c03070101	Ntambu iraa ayi mwenga wapalu, mulikali na wadala wenu kwa mahala, muwapanani ligoya pamuvimana kuwera womberi wawera legilegi na ntambu yawawera wahala pamuhera na mwenga manemu ga ukomu, mtendi hangu su kwahera shintu hashileweleri maluwa genu kwa Mlungu.
3c03080079	Upeleru, mwenga mwawoseri mfiruwa kuwera na moyu gumu na pamuliwonera lusungu maweni mwenga na muweri wapoli na wananaga.
3c0309009a	Namuwawuzilira wantu vidoda kwa vidoda, ama mayigilangu kwa mayigilangu kumbiti muwatekeleri, toziya mwenga mshemitwi na Mlungu mpati kugahala matekeleru.
3c030a00a4	Malembu Mananagala galonga, “Muntu yakafiriti kuganemelera makaliru, na kugawona mashaka gaherepa, kalileweleri nakatakula makondola na kushapira kulonga upayira.
3c030b0051	Kaleki kutenda ukondola na katendi gaherepa, kayisakuli ponga na kuyikolera weri.
3c030c0089	Toziya masu ga Mtuwa gawalola walii yawawera waheri na kugapikanira maluwa gawu, Kumbiti kawatulira shisogu wantu yawatenda makondola.”
3c030d004b	Ndo gaa hakawatenduwi mwenga handa pamuwera wagangamala mukutenda gaherepa?
3c030e0097	Kumbiti ata pamfiruwa kupata ntabiku toziya ya kutenda yagamfiriziya Mlungu, su mtekelerwa! Namtira shilii shawatira womberi, namutulwa mukushashatika.
3c030f007e	Kumbiti mumkwisi Kristu kuwera Mtuwa mumyoyu mwenu. Muweri kala kumwankula muntu yoseri yakawakosiya litumbiru lyamuwera nali.
3c031000e3	Su mtendi hangu kwa lyoga na ligoya, kumbiti muweri na nfiru zyazitulanguziya mwahera likosa, su woseri pawawahigilanga kulawirana na mgenderanu guherepa yamuwera nagu mu Kristu, womberi hawasoniziwi kwa shilii shawawayowelera.
3c03110063	Toziya iherepa kutabika kwa kutenda maheri, Mlungu pakafira, kuliku kutabika kwa kutenda makondola.
3c0312010b	Su Kristu viraa katabisiyitwi na kuhowa kwa mala yimu hera toziya ya vidoda, yomberi yakaweriti muheri katabisiyitwi na kuhowa toziya ya wantu wakondola, su kawalanguziyi mwenga njira ya kumgendera Mlungu. Yomberi kalagitwi shinshimba kumbiti katenditwi mkomu murohu,
3c03130054	na kwa rohu vulaa yomberi kagenditi kuzibwelera rohu zilii zyaziweriti mushibetubetu
3c031400d2	yawalemiti kujimila pamakashu Mlungu pakawahepeleriti mumashaka ga Nuhu shipindi Safina payiweriti yankunyawiwa. Musafina amu, wantu watangala ndiri, wantu wanani hera pa wantu woseri ndo walopoziwitwi pamashi,
3c031500e8	na mashi geni gaweriti mfanu gwa ubatizu yawuwalopoziyiti mwenga vinu vulaa. Ubatizu ndo shisoweru ndiri shakuwusiya udoda munshimba kumbiti ndo lagilu lya nfiru iherepa kwa Mlungu. Liwalopoziyi mwenga kwa uzyukusiwu wa Yesu Kristu,
3c031600a6	yomberi yakagenditi kumpindi na vinu kalikala uwega wa kumliwu wa Mlungu, kankuwakolamlima wantumintumi wa kumpindi wa Mlungu woseri na ukulu na yawawera na makakala.
3c040100b2	Toziya Kristu katabisiwitwi munshimba yakuwi, na mwenga vulaa mfiruwa kuligangamaziya kwa nfiru gambira yakuwi mana muntu yakatabisiwitwi kala munshimba su kaleka kutenda vidoda.
3c0402009c	Kwanjira vinu, makaliru yagasigaliti kulikala pasipanu gafiruwa ndiri kulonguziwa na matamata zya umuntu kumbiti gafiruwa kulonguziwa na mafiliru ga Mlungu.
3c040300cb	Pamakashu mwenga muweriti na shipindi shivuwa sha kutenda vitwatira vyavitendwa na wantu yawamumana ndiri Mlungu. Mulikaliti makaliru ga umweni na matamata na ndewu na kulowera nentu na kuguwira vinyagu.
3c04040091	Vinu wantu yawamumana ndiri Mlungu wankulikangasha pawawona kuwera hamuweri ndiri pamuhera nawomberi kayi kulikala muvidoda, su wankuwahigilanga.
3c04050090	Kumbiti womberi hawafiruwi kutakula vitwatira vyoseri vya makaliru gawu kulongolu kwa Mlungu yakawera kala kuwatoza yawawera wakomu na wahowiti.
3c040600b7	Ndo mana Shisoweru Shiwagira shibweritwi ata kwa walii vinu wahowiti, su womberi watozwi mumakaliru gawu ga mnshimba gambira wamonga, kumbiti walikali murohu ntambu Mlungu yakalikala.
3c0407008a	Upeleru wa vintu vyoseri wapakwegera. Su mfiruwa muweri na maholu gaherepa na kulikolamlima maweni na kulikala masu muwezi kumluwa Mlungu.
3c0408005f	Pa goseri aga, mulifiri kwa moyu gwoseri maweni mwenga, toziya mafiliru gagubika vidoda vivuwa.
3c04090038	Mulishemeri maweni gweka munumba zyenu pota kuhinginika.
3c040a0098	Kila yumu kafiruwa kulitendera lifupu lyakapananitwi na Mlungu kuwatendera wamonga, gambira ntumintumi muheri gwa mafupu ga ntambu yingiyingi ga Mlungu.
3c040b010e	Yakalonga shintu, visoweru vyakuwi viweri gambira visoweru vya Mlungu, na kila yakawatanga wantu katendi hangu kwa likakala lyakapananitwi na Mlungu, su muvitwatira vyoseri Mlungu kakwiswi kupitira Yesu Kristu. Kwakuwi kuweri ukwisa na likakala mashaka goseri. Yina haa.
3c040c005b	Waganja wangu, namulikangasha kwa majeru makulu gampata, handa mpatwa na vitwatira vihenga.
3c040d0086	Su munemeleri toziya mtabiki handa Kristu ntambu yakatabikiti, su muwezi kuwera na nemeleru ivuwa shipindi ukwisa wakuwi paugubutulwa.
3c040e00af	Mpeterwa mwenga payiwera mwankuyigirangwa toziya ya kumfata Kristu, shitwatira ashi shimanizira handa Rohu gwa ukwisa, mana yakuwi Rohu gwa Mlungu, kalikala pamuhera namwenga.
3c040f0067	Nakawera muntu yoseri mngati mwenu, handa pakatabika, toziya ndo mlaga na mwivi na yakatenda makondola.
3c04100096	Kumbiti handa muntu pakatabika toziya ndo kamjimira Yesu, kafiruwa nakawona soni, su kamkwisi Mlungu, toziya muntu ayu kashemwa kwa litawu lya Kristu.
3c041100e3	Shipindi sha kutoza shisoka, na kutoza aku kwankwanja na wantu wakuwi Mlungu mweni. Payiwera kutoza aku kuyanjira kwatwenga, su upeleru wakuwi hauweri wa ntambu gaa kwa walii yawalema kushijimira Shisoweru Shiwagira sha Mlungu?
3c041200a8	Malembu Mananagala galonga, “Payiwera vikamala kwa wantu yawamfiriziya Mlungu kulopoziwa, su hayiweri hashi kwa wantu yawamguwira ndiri Mlungu na yawatenda vidoda?”
3c04130089	Su walii yawatabika kulawirana na mafiliru ga Mlungu, mwendereyi kutenda yagaherepa na walituli pasi pa Muwumba gwawu yakawera mwaminika.
3c050100a6	Kwa wazewi yawawera yawalongoziya pakati penu, neni nuwahiga panwera mzewi muyenu, mkapitawu gwa ntabika ya Kristu na ntenditi pamuhera muukwisa haugubutulwi pamberi,
3c050200d5	mushiloleri weri shipinga shampananitwi na Mlungu, mushiloleri weri, kwa kulazimisha ndiri kumbiti kwa moyu muheri ntambu yakafira Mlungu. Mtendi lihengu ali kwa kufira ndiri mpiya, kumbiti kwa moyu gwenu gwoseri.
3c0503006e	Namuwakolamlima kwa makakala walii yawatulitwi pasi pa ugolokera wenu, kumbiti muweri mfanu kwa shipinga ashi.
3c05040054	Na Mlolera Mkulu pakalawira, mwenga hamuwanki lijenjeri lya ukwisa yawufifiya ndiri.
3c0505011c	Ntambu iraa ayi mwenga wantemba mufiruwa kuwajimira wazewi yawalongoziya. Mwawoseri mwenga mfiruwa kuwera wananaga su mpati kulitenderana maweni toziya Malembu Mananagala galonga, “Mlungu kawasinga wantu yawawera na malingisi kumbiti kawalanguziya manemu wantu yawawera wananaga.”
3c05060060	Su mnanagi pasi pa liwoku lya Mlungu lyaliwera na makakala, su kawanyasuli kwa shipindi shakuwi.
3c05070042	Mumtulili magaziwu genu goseri, toziya yomberi kankuwalolera weri.
3c05080093	Mulikolimlima na mulikali masu! Toziya mngondu gwenu, Mkondola, kankuzyengetazyengeta gambira simba yakaguguma pakasakula muntu gwa kumliya nakamu.
3c0509008b	Mgangamali munjimiru na mumlemi Shetani, pamuvimana kuwera walongu wenu yawajimira Kristu poseri pasipanu wankupananwa na ntabiku iraa ayi.
3c050a0125	Kumbiti pamtabika kala kwa shipindi shididini, Mlungu yakawera gwa manemu goseri yakawashemiti kwingira muukwisa wakuwi wa mashaka goseri mukulikolerana pamuhera na Kristu, yomberi mweni hakawatendi waweri wakomu kayi na kuwatula makakala na kuwagangamaziya na kuwapanana lyanjiru ligangamala.
3c050b0035	Kwakuwi Mlungu kuweri uwezu mashaka goseri! Yina haa.
3c050c00ca	Nuwalembiriti luhamba alu ludidini kwa utanga wa Silwanu, mlongu yanummana na kumjimira. Nfira kuwapanana moyu na kutakula kuwera shitwatira ashi ndo manemu ga nakaka ga Mlungu. Mgangamali mumanemu aga.
3c050d00a6	Shipinga sha wantu yawamjimira Kristu wayenu yawasyagulitwi na Mlungu panu Babiloni, wankuwalamsiya. Vulaa vilii Mariku yakawera gambira mwana gwangu, kankuwalamsiya.
3c050e00a2	Mulilamsiyi kwa lirangaliru lya mafiliru ga wantu yawalikolerana pamuhera na Kristu. Ponga iweri kwa mwenga mwawoseri yamulikolerana pamuhera na Kristu. Yina haa.
3d00000008	2 Peteru
3d010100c1	Neni Simoni Peteru, mtenda lihengu na ntumintumi gwa Yesu Kristu, nankuwalembera mwenga kwa uheri wa Yesu Kristu yakawera Mlungu gwetu na Mlopoziya gwetu, mpananwa njimiru teratera na yatwenga.
3d0102004a	Manemu na ponga gongereki kwa mwenga mukummana Mlungu na Yesu Mtuwa gwetu.
3d010300d3	Kwa makakala gakuwi ga shimlungu, Mlungu katupanana vitwatira vyoseri vyatuvifira mumakaliru ga kumguwira kwa kummana mweni yakatushemiti tutendi pamuhera muukulu na kwa uheri wa ukwisa wakuwi na uherepa wakuwi.
3d010400cc	Kupitira avi yomberi katupanana twenga mafupu makulu na ga mana nentu, su kwa mafupu aga mpati kuzishapira upotuziya wa matamata zidoda zyaziwera pasipanu na kutenda pamuhera muntambu yakuwi ya shimlungu.
3d0105005b	Toziya ayi, mgangamali kwongera njimiru yenu kwa uheri na kwa uheri wenu kwongera kuvimana,
3d0106008b	na kwa kuvimana kwenu mwongeri kulikolamlima na kwa kulikolamlima kwenu mwongeri uhepelera na kwa uhepelera wenu mwongeri kumguwira Mlungu.
3d0107005d	Kwa kumguwira Mlungu mwongeri uganja wa shirongu na kwa uganja wa shirongu mwongeri mafiliru.
3d01080081	Pamuhera na goseri aga kwa uvuwa, haziwatendi muweri watenda lihengu yawafaa na kuwera na mota mukummana Mtuwa gwetu Yesu Kristu.
3d0109007e	Kumbiti muntu yakahera aga kawera lwisi na kaweza ndiri kuwona na kalyaluwa kuwera kapungitwi kala vidoda vyakuwi vya makashu.
3d010a00b3	Su walongu wangu, mgangamali nentu kuwutenda ushemwa wenu na usyagula wenu kwa Mlungu, shiweri shitwatira sha mashaka goseri. Handa pamulikala ntambu ayi, hapeni mulikwali nakamu,
3d010b006b	na mwenga hamulekeziwi nakamu kwingira muufalumi wa mashaka goseri wa Mtuwa na Mlopoziya gwetu Yesu Kristu.
3d010c0078	Su hanendereyi kuwaholuziya mashaka goseri vitwatira avi, tembera muvimaniti kala na mgangamala muunakaka yamuwuwankiti.
3d010d007b	Mona kuwera shitwatira shiherepa kwaneni kuwayumusiya na kuwaholuziya vitwatira avi, shipindi shoseri shanulikala pasipanu,
3d010e005f	toziya nuvimana kuwera kanongola hanfuwi, Mtuwa Yesu kristu ntambu yakang'ambiriti pota kufifa.
3d010f006d	Su hantendi kila shaweza nakaka su pakuhowa kwaneni, mwenga hamuwezi kuvihola vitwatira avi shipindi shoseri.
3d011000b5	Shipindi patuwafunditi kuusu makakala gakuwi na kwiza kwakuwi Mtuwa gwetu Yesu Kristu, tulitumbira ndiri tambu hera zya upayira. Twenga tuwoniti ukwisa wakuwi kwa masu getu twaweni.
3d011100e9	Twenga tuweriti shipindi pakapananitwi ligoya na ukwisa kulawa kwa Mlungu Tati, shipindi liziwu palimwiziriti kulawa kwakuwi yomberi yakawera Mlungu Mkulu, palilonga, “Ayu ndo Mwana gwangu yanumfira nentu, nherepeziwa nayomberi.”
3d01120083	Kayi twenga twaweni tupikaniriti liziwu ali kulawa kumpindi kwa Mlungu shipindi patuweriti pamuhera nayomberi palugongu lunanagala.
3d011300f4	Na twenga twana unakaka nentu kuusu ujumbi wa wambuyi wa Mlungu na mwenga hamutendi weri pamushipikanira nakaka, toziya shiwera gambira shikoluboyi shashilangalira muluwindu mpaka papawera mandawira na ntondu ya mandawira ilawiri mumyoyu mwenu.
3d01140089	Pa aga, mfiruwa kuvimana kuwera kwahera muntu yakaweza kuwutakulira kwa mahala gakuwi mweni mana ya umbuyi yawuwera Mumalembu Mananagala.
3d01150099	Toziya kwahera ujumbi wa shimbuyi woseri yawulawirana na mafiliru ga shimuntu, kumbiti wantu walaviyiti umbuyi wa Mlungu pawalongoziwa na Rohu Mnanagala.
3d0201010b	Palawiriti wambuyi yawapayira pakati pa wantu na ntambu iraa ayi wafunda wa upayira hawalawili pakati penu. Wantu awa hawayingiziyi mafundu ga upayira gagajega uharabisiya na kumlema Mtuwa yakawakomboriti na kwa njira ayi hawajegi vumu maharabisiwu makulu kwawu weni.
3d02020079	Kayi wantu wavuwa hawazifati njira zyawu zya undiyandiya na toziya ya shilii shawatenda su njira ya unakaka hayigilangwi.
3d020300ba	Kwa matamata zyawu zidoda zya ulunda hawapati mota kwa kuwagambira tambu zya upayira. Mlungu katuliti kwanjira makashu kuwera hakawatozi na kagonja ndiri, nakaka hakawaharabisiyi nakamu!
3d020400b7	Mlungu kawalekiti ndiri wantumintumi wa kumpindi pawatenditi vidoda, su kawasiti pahala pa ntabiku, kweni aku watawitwi kwa minyololu muluwindu dunu pawahepa lishaka lya kutoza kwawu.
3d020500d7	Viraa Mlungu kapalekiti ndiri pasipanu pa makashu, su kajegiti mafuriku gavuwa paisi kwa wantu yawamguwiriti ndiri Mlungu, kumbiti Nuhu yakawubweriti uheri, Mlungu kamlopoziyiti mweni pamuhera na wantu wamonga saba.
3d020600a8	Viraa Mlungu kalutoziti lushi zya Sodoma na Gomora na kalilunguziyiti tikitiki kwa motu, kazitenda ziweri mfanu gwa vitwatira haviwapati wantu yawamguwira ndiri Mlungu,
3d0207008e	na kamlopoziyiti Lutu, muntu yakamfiriziyiti Mlungu, muntu yakahinginikiti nentu na mgenderanu gwa undiyandiya gwa wantu yawatenditi ukondola.
3d020800bb	Lutu yakaweriti muntu yakamfiriziyiti Mlungu, kalikaliti pakati pawu na kila lishaka moyu gwakuwi guweriti na hinginiku nentu kwa kupikinira na kugawona matendu gawu ga udoda gawatenditi.
3d020900aa	Payiwera hangu, Mtuwa kavimana ntambu ya kuwalopoziya mumajeru wantu yawamfiriziya Mlungu na ntambu ya kuwatula wantu yawatenda ukondola su kawaazibu mulishaka lya utoza.
3d020a00bf	Nakamu kwa walii yawafata matamata zidoda zya nshimba na kuwubeza uwezu wa Mlungu. Kwa msindu na masinganu, wantu awa watira ndiri na wavitakulira madoda viwumbi vyaviwera na ukwisa kumpindi.
3d020b0090	Kumbiti ata wantumintumi wa kumpindi, womberi wawera na uwezu na makakala nentu, wawasitaki ndiri kwakwigiranga viwumbi avi kulongolu kwa Mtuwa.
3d020c00da	Kumbiti wantu awa wavigilanga vitwatira vyawavimana ndiri, su womberi walifana na wankanyama yawahera mahala, wayiwuka na shakapanu wakamulwa na kulagwa na gambira wankanyama wakalipa womberi viraa hawagamiziwi nakamu.
3d020d00ea	Womberi hawapati ntabiku kwa ntabiku yawayijegiti. Nemeleru zyawu ndo kutenda vitwatira vya staleyi zya nshimba paliwala. Womberi wawera madodisiya na soni hera pawanemelera njira zyawu zya upayira pawatenda msambu pamuhera na mwenga.
3d020e00b5	Masu gawu gamema uhumba na hapeni waleki kutenda vidoda. Wazyangazyanga walii yawagangamala ndiri, womberi moyu yawu izowelera kuwera na matamata zya ulunda, wapangilirwa na Mlungu.
3d020f0092	Wayileka njira yayinyoshikiti, womberi wagamiriti na kufata njira ya yakayigendiriti Balamu mwana gwa Biori yakafiriti shibenamgongu sha ukondola.
3d021000c0	Kumbiti toziya ukondola wakuwi su kakalipiritwi na nkanyama punda yakatakula ndiri na katakuliti kwa liziwu lya muntu na kumlewelera mbuyi ayu gwa Mlungu yakafiriti kutenda shintu sha lukwali.
3d0211008a	Wantu awa wawera gambira mbwiru zyaziyumiti ama gambira mawundu yagasukumitwi na lipuga likulu, luwindu dunu litulwa kala kwajili womberi.
3d021200ab	Toziya womberi watakuliti visoweru vizigizigi na kwa matamata zidoda zya nshimba na undiyandiya wawazyanga wantu yawanjiti kulitula gweka pa wantu yawalikaliti muwupayira.
3d0213008c	Womberi wawalagira ulekeziwu, uganu womberi weni wawera wamanda wa ukondola toziya muntu kawera mumanda gwa shintu shoseri shashimkolamlima.
3d021400cf	Wantu yawalituliti gweka muukondola wa pasipanu kwa kumumana Mtuwa na Mlopoziya gwetu Yesu Kristu, shakapanu wajimira kayi kugomiziwa na kusinda, su wantu awa hawaweri wadoda kuliku kwanja ntambu yawaweriti.
