0100000005	Ugiti
1507030072	Una̱mgbuka̱tsuma̱ u laꞋa ta̱ izoshi, adama a na una̱mgbuka̱tsuma̱ u tsu tuka̱ ta̱ kulapulu a̱ ka̱ɗu.
1507040077	Ka̱ɗu ka vuza vu ugboji ko ci yongo ta̱ a̱ ubuta̱ u kpalu, ama ka̱ɗu ka kalau ki ta̱ adama a kupana ku uyoꞋo.
150705005c	U laꞋa ta̱ n kugaꞋan vuma u pana uɓarangi vuza vu ugboji, an wa kupana ishipa ya alau.
150706006a	Uteku tsu na maɗanga ma awana mi a̱ ku kula̱ e kenle, ta i zoshi ya alau yi nannai. Nava feu gbani ɗa.
150707006a	Ukuna u modoruko u tsu bonoko ta̱ vuza vu ugboji kalau, kalyaꞋa kpamu ka̱ tsu la̱nga̱sa̱ ta̱ vuma.
1507080055	Ukocishi u kakuna u tsu laꞋa ta̱ ugiti, uka̱ni u ka̱ɗu u laꞋa ta̱ a̱ra̱ɗi
1507090062	Ka̱ta̱ vu yaꞋan moloko ma kuna̱mgba̱ ka̱tsuma̱ ba, adama a na kalau ka ko ci yongo a wupa.
15070a008d	Ka̱ta̱ vu yaꞋan keci vu dana, “Yiɗa̱i i zuwai ayin a cau, a laꞋi o gogo na?” Adama a na u gaꞋan uma a yaꞋan keci ku nanlo ba.
15070b0058	Ugboji wi ta̱ n ugaꞋin, ci ili yi uka̱ni, yi ta̱ n ugaꞋin wa aza a na enei kanna.
15070c0090	Ugboji, u tsu ere ta̱ vuma, tsu na ikebe i ci ere vuma, ama ugaꞋin u kuyeve u ɗaɗa, ugboji u tsu ɓa̱nka̱ ta̱ wuma u vuza na wi n u ɗa.
15070d005e	La̱na̱i biꞋi ili i na Ka̱shile ka yaꞋin. Yayi wa̱ kuba̱rukpa̱ ili i na u ka̱nza̱i?
15070e00ea	Ayin a gaꞋan baci, yaꞋan ma̱za̱nga̱, ama ayin a̱ na̱mgba̱ baci ciɓa, a na Ka̱shile kaꞋa ka yaꞋin ayin nampa, a̱yi ɗa feu u yaꞋin a̱yi na ɗe. Adama nannai, vuma wi a kufuɗa kuyeve ili i na i kugita̱ e kelime ba.
15070f00c0	A ayin a wuma u gbani a̱ va̱ a nampa a, me ene ta̱ ili i nampa ya ra̱ka̱. Vuza vu usuɓi a̱ ku kuwa̱ a̱ ka̱tsuma̱ ku usuɓi u ni, vuza gbani-gbani u geshe o kuyongo n kawuya ka̱ ni.
1507100094	Ka̱ta̱ vu ɗika ka̱ci ka̱ nu vuza vu usuɓi ɗa vi ka̱u ba, ko kpamu vuza vu ugboji ka̱u ba ta baci nannai ba vi ta̱ a ku una ka̱ci ka̱ nu.
1507110089	Ka̱ta̱ vo okpo vuza kawuya ka̱u ba, ka̱ta̱ tan feu vo okpo kalau ba adama a̱ yiɗa̱i ɗa vi a̱ ku kuwa̱ babu ayin a̱ nu a yawa?
150712009a	Ugan ta̱ vu ushuku n ke te a na va̱ ku ka̱sukpa̱ ka nan ɗe. vuza na wi a kupana wovon u Ka̱shile a̱yi ɗa u kufuɗa kutono ili i nampa ya ra̱ka̱.
1507130058	Ugboji u tsu zuwa ta̱ vuza vu ugboji u tsurakpa u laꞋa aza o tsugono kupa a̱ likuci.
1507140048	Babu vuza vu usuɓi aduniyan vuza na u ci yaꞋan ku usuɓi babu unushi.
1507150077	Ka̱ta̱ vu zuwa atsuvu a ili i na uma i a kadanshi ba, ta baci nannai ba vi ta̱ a kupana agbashi a̱ nu a kushika wu,
1507160053	adama a na avu feu vu yeve ta̱ a ka̱ɗu ka̱ nu, n a̱bunda̱i vu shika ta̱ uma.
1507170094	N kondoi ili i nampa ya ra̱ka̱ n ugboji u vu ɗa n danai, “N ciga ta̱ mo okpo vuza vu ugboji” ama ka nampa ka, ka laꞋa ta̱ u tsura u va̱.
1507180067	Kakuna ko cicoꞋo, ki ta̱ n atakaci, ki kuyeve taci-taci ba, yayi u kuyeve ili i na yi punu ra̱ka̱?
15071900bc	Ɗa zuwai ka̱ci ka̱ va̱ adama a na n yeve, adama a na n la̱na̱ ka̱ta̱ n la̱nsa̱ ugboji n tsu na a ci yaꞋan ili ka̱ta̱ kpamu n yeve tsulau tsu ka gbani-gbani, n ujari u tsulau.
15071a012d	Ɗa n cinai ili i na i laꞋi ukpa̱ okono, vuka vu na ka̱ɗu ka̱ ni ki maza maꞋa vuza na ka̱ɗu ka̱ ni uganda u ɗa ekiye a̱ ni kpamu ci ikani. Vuma na u ci yaꞋan ili i na Ka̱shile ka tsu pana uyoꞋo, wi ta̱ a kulaꞋaka e ekiye a̱ ni, ama vuza vu unushi u ku laꞋaka e ekiye a̱ ni ba.
15071b008c	Malum ma danai, la̱na̱, ili i na me enei i ɗaɗa na. M ɓolongu ta̱ ili i te n vutoku, adama a na n yeve tsu na o foɓusoi ili ra̱ka̱.
15071c00c9	mpa biꞋi a̱ ka̱tsuma̱ ka̱ kula̱nsa̱, ama n ciya̱ ili i na mi a̱ kula̱nsa̱ va ba, ɗa n ciya̱i vuma te ma̱riki a̱ ka̱tsuma̱ ka̱ ka̱kpa̱n. ama a̱ ka̱tsuma̱ ka a̱ma̱ci ko vuza te.
15071d0093	Na ɗa koci ili i na n yevei, Ka̱shile ka yaꞋan ta̱ vuma n ka̱ɗu ke mejege, ama ɗa uma a̱ ripula̱i ka̱ci ka̱ le okpoi aza a gbani-gbani.
15080100a0	Yayi wi tsu vuza vu ugboji? Yayi u yevei tsu na u ku karakpusa kadanshi? Ugboji wi ta̱ a kuzuwa a̱shi a vuma a̱ ka̱na̱ kutasa, ka̱ta̱ u zuwa vuma imeshi.
1508020045	Tono wila̱ u mogono, adama a na vu yaꞋan ta̱ akucina u Ka̱shile.
15080300ab	Ka̱ta̱ vu yaꞋan moloko ma kulaza kuka̱sukpa̱ ubuta̱ u mogono ba. Ka̱ta̱ vu shamkpa ka gbani-gbani ba, adama a na a̱yi wi ta̱ a kuyaꞋan uteku tsu na u cikalai.
150804006c	An wo okpoi kadanshi ko mogono ki ta̱ n utsura, yayi wi e ku ece yi, u dana, “Yiɗa̱i vi a kuyaꞋan?”
150805009b	Vuza na baci dem u tsu tono kadanshi ko mogono, wi a̱ kuciya̱ usa̱n ba, ka̱ɗu ka vuza vu ugboji ke ci yeve ta̱ makyan ma singai n uye u na u gaꞋin.
150806006c	Adama a na makyan mi ta̱ lo n tsu na a kuyaꞋan ili dem, ko a na wo okpoi atakaci a vuma a yimkpa yi ta̱.
150807006d	Adama a na ko vuza u yeve ili in na yi a̱ kuta̱wa̱ ba, Yayi u kudana vuza yoku ili i na yi a̱ kuta̱wa̱?
15080800ee	Babu vuza na wi n utsura a̱ wunla̱i ali u reme u ɗa, adama a nannai ko vuza wi n utsura u kanna ku ukpa̱ ka̱ ni ba. Tsu na a tsu dana vuza u laza a makyan mo kuvon ba, ta feu ka gbani-gbani ki a kisa aza a na i a kuyaꞋan kaꞋa ba.
15080900cd	Nava ra̱ka̱ me ene ta̱ i ɗa, a na n zuwai ka̱ɗu ka̱ va̱ adama a ili i na i a kuyaꞋan aduniyan nampa. Ɗa me enei vuza yoku o tsugono tsa aza a̱ ni. aza o yoku tankpamu a kutakacika adama a̱ ni.
15080a00ba	Ɗa me enei a̱ ciɗa̱ngi aza a ka gbani-gbani, aza a na i a ku uwa n ku uta̱ a̱ ubuta̱ u ciɗa, i a̱ kuciya̱ ucikpi a̱ likuci i na i a kuyaꞋan ili i nanlo. Na lo feu gbani ɗa.
15080b006c	Ana wo okpoi a tsu kiɗaka vuza vu nushi afada gogo ba, ɗaɗa i zuwai ɗa uma a yimkpai n kuyaꞋan kawuya.
15080c0106	Ko a na wo okpoi vuma vu gbani-gbani u yaꞋin unushi u na u yawai amangatawun, dem n nannai ka̱ta̱ u geshe n wuma, dem n nannai, n yeve ta̱ ɗa ba ci vuza wi a kupana wovon u Ka̱shile ɗa kpamu u nekei Ka̱shile tsugbayin, wi ta̱ a̱ kuciya̱ ma̱ta̱na̱.
15080d00a3	Ama aza a ka gbani-gbani i a̱ kuciya̱ ma̱ta̱na̱ ba, tsu kululu ku ɗa wuma u le wi. I ta̱ a̱ ku kuwa̱ n utsura u le adama a na a pana wovon u Ka̱shile ba.
15080e00f8	Ili gbani yoku yi ta̱ lo i na i ci gita̱ aduniyan, aza usuɓi o tsu soꞋo ta̱ atakaci a na o yotsoi aza asuvawuya o soꞋo, ka̱ta̱ aza asuvawuya a̱ ciya̱ katsupu ka na aza a usuɓi o yotsoi a̱ ciya̱. N danai na lo feu ukuna u gbani u ɗa.
15080f0101	Adama a nannai i na n danai, ɗaɗa vuma u pana uyoꞋo, adama a na uteku u kupana kuyoꞋo ku ni a wuma u nampa, ɗaɗa u lyaꞋa u soꞋo u pana u yoꞋo. Wi ta̱ a kufuɗa kuyaꞋan nannai u yaꞋan baci ulinga a ayin a na Ka̱shile ke nekei ni aduniyan.
15081000a8	Ɗa n zuwai ka̱ci ka̱ va̱ adama a na n ciya̱ ugboji ka̱ta̱ kpamu n zuwaka n atakaci a vuma aduniyan, ko a na wo okpoi u neke a̱shi a̱ ni alavu kanna n kayin ba.
15081100e4	Ɗa me enei ulinga u na Ka̱shile ka yaꞋin dem, ko vuza wi a kufuɗa kuyeve ili i na Ka̱shile ki a kuyaꞋan aduniyan ba. Ko niniɗai vi baci vu yaꞋin vi e kuyeve ba. Aza a ugboji i ta̱ a kudana e yeve ta̱, ama e yeve ba.
15090100f5	Ɗa m peɗelyukpei kakuna ka nampa ka a̱ ka̱ɗu ka̱ va̱, ɗa n yevei aza a usuɓi n aza ugboji n ili i na i a kuyaꞋan ra̱ka̱ yi ta̱ ekiye a̱ Ka̱shile, ali n ucigi u le n uꞋiwin u le ko vuza u yeve ili i na yi a̱ kugita̱ kelime ba.
1509020173	Dem vu le ukpisa̱ u te u ɗa i a kubana, aza a usuɓi n aza a kawuya, aza a̱ ma̱riki n aza a na i m ma̱riki ba, vuza vu unata n vuza vu ciɗa aza a na e ci neke alyuka n aza a na e ci neke ba. Uteku tsu na ka ki u vuma vu singai, ta feu ka ki nannai u vuza vu unushi, uteku tsu na ka ki u vuza va akucina, ta feu ka ki nannai u vuza na u tsu pana wovon wa akucina ba.
15090300e2	Na ɗa ka gbani-gbani ka na i a kuyaꞋan aduniyan. Ili i te i ɗa ra̱ka̱ i pura̱ngu yaba dem. Ama a̱ɗu a uma i ta̱ tukpa n ka gbani-gbani, n ujari a̱ a̱ɗu e le, a ayin a wuma u le, ka nanlo ka laza baci sai ukpisa̱.
1509040075	Yaba dem vu na wi a̱ ka̱tsuma̱ aza a wuma wi ta̱ n a̱pa̱, mesheꞋe ma wuma ma laꞋa ta̱ ka̱kpisa̱ ka kawu.
1509050080	Adama a na aza a wuma e yeve ta̱ a na i ku kuwa̱, ama a̱kpisa̱ e yeve ili ba, i n katsupu ba, a buwa feu a kuciɓa n ele ba.
1509060097	Ili i na a cigai n i na a iwain, n cisheꞋe ci le a̱ puwa̱nka̱ ta̱ m megeshe, i o kuyongo a̱ ka̱tsuma̱ ki ili i na yi a̱ kugita̱ aduniyan ba.
15090700b4	Wala, vu lyaꞋa ilikulyaꞋa i nu m ma̱za̱nga̱, ka̱ta̱ vu soꞋo ma̱kya̱n ma̱ nu n ka̱ɗu ka̱ ma̱za̱nga̱, adama a ili i na vu yaꞋin ra̱ka̱ derere ɗa u Ka̱shile.
1509080067	YaꞋan akashi a̱ nu o yongo wa̱ri makyan dem, ka̱ta̱ ayin tutu vu putala kaci ka̱ nu n maniꞋin.
150909009b	Pana uyoꞋo n vuka vu ucigi vu nu, a ayin gbani a na Ka̱shile ke nekei nu ra̱ka̱ aduniyan, adama a na ɗaɗa katsupu ka̱ nu n kataci ka̱ nu aduniyan.
15090a00b4	Ili i na baci vi a kuyaꞋan n ekiye a̱ nu, yaꞋan i ɗa n utsura u nu, adama a na a kasaun a̱ ubuta̱ u na vi a kubana, babu ulinga, kufoɓuso ki ili, ko kuyeve ko tana ugboji.
15090b018a	Ɗa n doku me enei ili i yoku aduniyan. Vuza na u fuɗai ilaɗi ɗa u ci ciya̱ ulyaꞋi makyan dem ba, makyan dem ɗa vuza vu utsura u tsu ciya̱ ulyaꞋi o kuvon ba, makyan dem ɗa vuza vu ugboji u tsu ciya̱ ilikulyaꞋa ba, makyan dem ɗa feu ɗa vuza vu cicoꞋo u tsu ciya̱ udukuyan ba, makyan dem ɗa keyevi ka̱ tsu ciya̱ mpasa ma singai ba. Ama makyan n kofon ka cina yaba dem vu le.
15090c00a0	Adama a na babu vuza na u yevei kanna ka̱ ni. Tsu na e ci reme adan a̱ bilili, tsu na e ci reme nnunu a maza, ta ayin a atakaci a̱ tsu ta̱wa̱ u uma nannai.
15090d0046	Ɗa kpamu me enei agisana a ukuna wu ugboji aduniyan a na ugaꞋin mu.
15090e00ab	A yaꞋan ta̱ likuci i kenu i yoku n uma kenu punu. Ɗa mogono mu utsura mo yoku ma̱ tuka̱i i ɗa n vishili, u kambuki i ɗa, ɗa u maꞋi adasukpatsu a kupasa nshilya.
15090f008e	Vuza vu unambi vu yoku tana wi ta̱ punu a̱ likuci ya ama wi ta̱ n ugboji, ɗa u wawai likuci ya n ugboji u ni. Ama vuza u ciɓa n a̱yi ba.
1509100077	Ɗa n danai, “Ugboji u laꞋa ta̱ utsura.” Ama ɗa o goyoi ugboji u vuza vu unambi va, a tsu pana odoki a̱ ni ba.
1509110077	U laꞋa ta̱ n kugaꞋan a pana kadanshi ka sawu ka vuza vu ugboji a na a kupana kacaꞋa ka vuza vu tsugono tsa alau.
1509120073	Ugboji u laꞋa ta̱ ucanuku u kuvon, ama vuza vu unushi vu te u tsu la̱nga̱sa̱ ta̱ ili i singai n a̱bunda̱i.
150a01008d	Uteku tsu na ayun a na a̱ kuwa̱i a tsu zuwa ili i ma̱gula̱ni i shama, ta feu tsulau kenu tsu tsu la̱nga̱sa̱ ugboji n tsugbayin nannai.
150a02006a	Ka̱ɗu ka vuza vu ugboji ka tsu zuwa yi ta̱ kuyaꞋan ili derere, ama ka̱ɗu ka kalau ki ta̱ tsugula̱
150a03006c	Ko wi baci a nwalu a uye, kalau ko ci yotsongu ta̱ a na wi m ma̱riki ba, u yotsongu yaba dem tsulau ci ni.
150a04009d	Ɗa baci vuza tsugono u yaꞋin wupa n avu, ka̱ta̱ vu yaꞋan moloko vu laza ba, adama a na uvaꞋanki u ka̱ɗu tsu zuwa ta̱ a cinukpa n unushi u gbayin.
150a050058	Me ene ta̱ ka gbani-gbani ko yoku aduniyan, unushi u gbayin u na ngono n ci yaꞋan sa,
150a06004b	ɗaɗa e ci neke ta̱ alau tsugbayin, aza a uciyi tamkpamu a zuwa le ɗaka.
150a070063	N saꞋawa ta̱ ku ene agbashi gaɗi vo odoku, muku mu ngono tamkpamu a ku dasa a ene a na agbashi.
150a080086	Vuza na u ga̱va̱i kpenle a̱yi ɗa wi a̱ kuyikpa̱ punu a ku ɗa, vuza na baci dem u fa̱da̱i mashilya a̱yi ɗa koko ki a kuluma.
150a09006c	Vuza na wi o kuɓoso atali a̱yi ɗa u tsu uka usa̱n, vuza na wi a kuɓatsa nɗanga, a̱yi ɗa mo tsu foro.
150a0a009d	Kogovu ki baci n alyu ba, ɗa kpamu e temgbei kaꞋa ba, kuyaꞋan ulinga n kaꞋa, mayun sai n utsura ka̱u. ama ugboji u tsu zuwa ta̱ a̱ ciya̱ ulyaꞋi.
150a0b0060	Ɗa baci koko ka lumai vuma babu biꞋi u soꞋo makpaɓu. ulinga u makpaɓu wo okpo ta̱ gbani.
150a0c005c	Kadanshi a una̱ u vuza vu ugboji kasingai kaꞋa, ama kadanshi ka kalau ka tsu una yi ta̱.
150a0d0060	Ugiti u kadanshi ka̱ ni tsumici tsu ɗa, ukocishi wa kpamu u tsu okpo ta̱ ujari u gbani-gbani.
150a0e0098	Kalau ko ci yongo ta̱ kadanshi kpawawa. Ko vuza u yeve ili i na yi a̱ kuta̱wa̱ ba, yayi wa kufuɗa kudana yi ili i na i kugita̱ ɗa baci u kuwa̱i.
150a0f004a	Ulinga u kalau u tsu oꞋuso yi ta̱, ali u namba uye u kubana a̱ likuci.
150a10007d	Ili ya atakaci a iɗika i na mogono ma̱ nu mi n yakpa, ɗa aza o tsugono a̱ nu a̱ ka̱na̱i kuyaꞋan ka̱ɗiva̱ n usana.
150a1100dd	Una̱singai a kubana a iɗika i na mogono ma̱ nu a matsa yi ta̱ a kpaꞋa ku tsugono, iɗika i na aza o tsugono a̱ tsu ciya̱ ilikulyaꞋa a makyan ma na ma untsai, adama a na a̱ ciya̱ utsura, ba adama o kusoꞋo ba.
150a12007a	Ukpa̱ɗi u tsu zuwa ta̱ nɗanga n kushankpu m gba̱ɗa̱sa̱, ekiye a vuza vu ukparuma a tsu zuwa ta̱ kunu ku uwa mini.
150a1300a2	O tsu foɓo ta̱ ka̱ɗiva̱ adama a kupana ku uyoꞋo, ma̱kya̱n tankpamu adama a na ma zuwa ka̱ɗu ma̱za̱nga̱, ama ikebe i ɗa i tsu ushuki n ili ra̱ka̱.
150a1400e3	Ka̱ta̱ vu shika mogono ko a̱ ka̱ɗu ka̱ nu ba, ko vu shika vuza vu uciyi ba ko a̱ kunu ku nu, adama a na ko manunu mi ta̱ a kubanka n kadanshi ka̱ nu, ko ili yi evelyu i yoku yi ta̱ a kufuɗa kusala ili i na vu dansai.
150b010061	Taɗuku kuneꞋe ku nu a̱ ka̱ca̱pa̱, adama a na vi ta̱ o kuciya̱ i ɗa ayin a̱ kuta̱wa̱.
150b020079	Pecuku i na vi ni ɗa ugboku cindere, ali kunla̱i, adama a na vu yeve ma̱dukpa̱ ma na i a̱ kuta̱wa̱ a iɗika ya ba.
150b0300ab	Eleshu a shana baci m mini, o ci yoꞋo ta̱ mini a iɗika. ko maɗanga ma̱ yikpa̱ a uɓonɗakai ko uɓongaɗi, maɗanga ma mi ta̱ a kuvaku a̱ ubuta̱ u na u yikpa̱i.
150b040081	Vuza na baci dem wi a kuzuwaka n wunla̱i wi a kuyaꞋan vica̱Ꞌa̱ ba, vuza na dem wi a kinda eleshu wi a kuyaꞋan makapa ba.
150b0500ae	Tsu na vu yeve uye u wunla̱i u ba, ko tsu na a yaꞋin maku a vuka vu ka̱tsuma̱ ba, ta feu nannai yi a kufuɗa kuyeve kuyaꞋan ku Ka̱shile ba, kayaꞋin ki ili ra̱ka̱.
150b0600d3	Ca̱Ꞌa̱ icuꞋu i nu n usana, ka̱ta̱ tana vu ka̱sukpa̱ ulinga ba n kulivi ka̱ta̱ vu uvuka ba, adama a na vu yeve vuza na a̱ kuyaꞋan ba, ko a̱yi nampa ko a̱yi nanɗe, ko kpamu dem vu le uta̱ mayin.
150b070052	Kutashi ki ta̱ n ugaꞋin, kpamu ili i singai i ɗa a̱shi inda kutashi ku kanna.
150b0800d0	Ko a̱ya̱ a yaꞋin a ɗa baci vuma u kuyongo, yaꞋan u pana uyoꞋo u le dem. ama yaꞋan u ciɓa n ayin a̱ ka̱yimbi, adama a na aɗa feu i ta̱ a kuyimkpa. Ili ra̱ka̱ i na yi a̱ kuta̱wa̱ gbani ɗa.
150b090123	YaꞋan ma̱za̱nga̱ avu ka̱ɗa̱nga̱ni, avu biꞋi kenu, yaꞋan ka̱ɗu ka̱ nu ka pana uyoꞋo a ayin o tsuloboi a̱ nu. Tono kusheshe ku ka̱ɗu ku nu n ili i na a̱shi a̱ nu enei, ama ka̱ta̱ vu yeve a̱ ka̱tsa̱ma̱ ki ili nampa ra̱ka̱ Ka̱shile ki ta̱ a kuyaꞋanka wu afada.
150b0a0096	Adama a na ka̱ta̱ vu oꞋuso ka̱ɗu ka̱ nu ba. vu varuku ili i na yi o ku oꞋuso wuma u nu ra̱ka̱, adama a na tsu lobo-lobo n utsura gbani ɗa.
150c0100a1	Ciɓa n vuza na u yaꞋin nu, a ayin o tsuloboi tsu nu, kafu ayin atakaci a̱ ta̱wa̱, a̱ya̱ kpamu a kuyawa a na va kudana, “Mi a kupana uyoꞋo u le ba.”
150c020074	Kafu kutashi n kanna wotoi n azangata a̱ kpa̱ɗa̱ kuneke kutashi, eleshu kpamu a̱ puwa̱nka̱ o kotso baci mini,
150c0300b7	Ana aza a na i a ku inda kpaꞋa ka e kujeꞋeke ikyamba, aza a utsura kpamu a namba utsura, ayin a na anga a̱ kuyikpa̱ okpo kenu, a̱shi a kindi i ta̱ kpamu o ko okpo rumbu-rumbu,
150c0400b3	ayin a na a ku gbagura uye wu nwalu ka̱ta̱ vu kpa̱ɗa̱ kudoku kupana izumgbi i kiya, ayin a na ma̱shi ma nnunu koci ma ku jimgbasa uma, ka̱ta̱ ishipa i le ra̱ka̱ i kotso,
150c05010e	Ana uma a kupana wovon n ili i na yi n kashani, nwalu uye wi ta̱ a̱ kutuka̱ wu n wovon, ayin a na nɗanga n almon n topoi pu, kakyun o kurono ikyamba i ni, a̱shi a wuya kpamu a buwa ba. Talo vuma u kubana a kpaꞋa ku ko wannai u ka̱sukpa̱ le una̱mgbuka̱tsuma̱.
150c0600d5	Ciɓa n a̱yi kafu kawin ka azurufa ka ka kasa, ko kafu kebelyu ka azanariya ka ko ɓoso, ko kpamu kafu ma̱diki mo ɓoso mirimiri a̱ ka̱kina̱ ka̱ mini, ko kpamu kafu kawin ko ku ronoko mini o kayinva ka kasa,
150c070071	ka̱ta̱ kubuta̱ kubono a iɗika a̱ ubuta̱ u na wu uta̱i, wuma kpamu u bono u Ka̱shile ka na ke nekei u ɗa.
150c08004b	“Gbani ɗa, ili dem gbani ɗa.” Malum ma danai, ili ra̱ka̱ gbani ɗa.
150c09008e	Ba malum maꞋa koci mo yongo vuza vu ugboji ba, ama u piꞋisaka uma e yeve. U la̱na̱ ka̱ta̱ u sheshe tsu na u foɓusoi asan a̱bunda̱i.
150c0a006f	Malum ma la̱na̱ ta̱ adama a na u ciya̱ kadanshi ka na ki mejege, kpamu i na u ɗanai derere ɗa n kasingai.
150c0b0082	Kadanshi ku ugboji ki ta̱ tsu kalangu ka kaguɓa, i ta̱ a̱ kugeshe ci ikusa i na a lapai a kalangu ka na e nekei maguɓi me te.
150c0c00a7	Maku ma̱ va̱ ka̱ta̱ vu zuwa ugboji, n ili i na o kudoku a kanampa ka. Kuɗana ka atagarda ki n uteku ba, kpamu mekecu ma̱ a̱bunda̱i mo tsu oꞋuso ta̱ ikyamba.
150c0d009d	Gogo na a pana ta̱ ili nampa ra̱ka̱, ukoci u kadanshi u ɗa na. pana wovon u Ka̱shile ka̱ta̱ vu tono wila̱ u ni, adama a na ɗaɗa koci ulinga u vuma.
150c0e0072	Adama a na Ka̱shile ki ta̱ a kuyaꞋan afada a ulinga dem, n u na a yaꞋin usokongi, u singai ko u gbani-gbani.
1600000013	Vishipa vu Sulemanu
160101002a	Ishipa i Sulemanu i na i laꞋi n uyoꞋo.
1601020056	YaꞋan u como mu n una̱ u ni adama a na ucigi u nu u laꞋa ta̱ ma̱kya̱n uyoꞋo.
16010300ad	Ma̱gula̱ni ma maniꞋin ma̱ nu, mi ta̱ n ugaꞋin u kutsumgba, kula ku nu tana ki ta̱ ci ili i ma̱gula̱ni i na a vishangi. ɗaɗa i zuwai ɗa a̱ma̱ci i a kuciga wu.
16010400ca	YaꞋan gogoꞋo vu ɗika mu tsu suma, yaꞋan mogono ma banka mu a̱ kunu ku ni, Ci yaꞋan ma̱za̱nga̱ koɓolo, mi ta̱ a kucikpa ucigi u nu u laꞋa ma̱kya̱n, ɗaɗa i zuwai nkere mi a kuciga wu.
16010500a9	Mpa vuza lima̱ ɗa, ama mi ta̱ n tsuloboi. a̱ɗa̱ nkere n Urushelima, mpa vuza lima̱ ɗa tsu a a̱pa̱m e Kedaru, tsu kakashi ku utsutsu ka̱ ka̱pa̱m ka Sulemanu.
160106010e	Ka̱ta̱ yi inda mu bi-bi-bi ba adama a na mpa vuza lima̱ ɗa, adama a na kanna kaꞋa ko songu mu ta̱ ɗa n lima̱na̱i. Ataku a̱ va̱ a yaꞋan ta̱ wupa nu mpa a zuwai mu n yaꞋan ulinga a kashina ki itacishi, n ciya̱ makyan ma na n kula̱na̱ ikyamba i va̱ ba.
16010700f5	Dana mu, avu macigi ma̱ va̱, teɗai vi a kaguɓa ka ushiga u nu? Kpamu teɗai vu tsu banka n ushiga u nu wu uvuka kanna ka suɗukpa baci? Yiɗa̱i i zuwai mo kokpo tsu vuka vu na a palai a̱ ka̱ka̱ra̱sa̱ a ushiga wa̱ a̱ja̱Ꞌa̱ a̱ nu?
16010800b0	Avu na vu laꞋi n tsuloboi a̱ ka̱tsuma̱ ka̱ a̱ma̱ci, vu yeve baci ubuta̱ ba, tono ura̱Ꞌa̱ wu nlala n na o tsu tono vu guɓa nraɗika n nu ɗevu n a̱pa̱m a nguɓi.
160109008d	Avu macigi ma̱ va̱, tsuloboi tsu nu u pura̱ ta̱ ugboji u va̱, tsu kodoku ka na ki o kurono ucanuku we ekeke odoku o kuvon a FiriꞋauna.
16010a005f	Ili ya atsuvu i doku ta̱ nguji n nu ugaꞋin, kuɗeku ku nu ki ta̱ ucindali n idolu i singai.
16010b0048	Ci ta̱ a kuyaꞋanka wu ili ya atsuvu ya azanariya, n ukali wa azurufa.
16010c007a	A makyan ma na mogono mi a̱ ubuta̱ u kirukpa ku ni, ili ma̱gula̱ ni i va̱ i ka̱na̱ ta̱ ubuta̱ dem m ma̱gula̱ni.
16010d0061	Macigi ma̱ va̱ mi ta̱ tsu kazuwatsu ma Muru wa̱ va̱, a ivaꞋin a̱ ma̱ka̱nga̱ ma̱ va̱.
16010e0065	Macigi ma̱ va̱ mi ta̱ tsu ka̱kutsu ka̱ a̱pa̱lu a kakamba wa̱ va̱ ashina itacishi i Enu-gedi.
16010f0072	Avu vi ta̱ n tsuloboi macigi ma̱ va̱. Mayun, avu vi ta̱ n tsuloboi. A̱shi a̱ nu i ta̱ kure-kure tsu moɗoi.
1601100087	Avu vi ta̱ n tsuloboi, Macigi ma̱ va̱. Avu vi ta̱ a kuɗika ugboji u va̱. ivaꞋamkpatsu i tsu yi ta̱ leku an mita̱ ma̱ ta̱ku.
1601110065	Aburakpatsu a kpaꞋa a̱ tsu nɗanga n sida n ɗa, nɗanga n Firi n ɗa ashamkpatsu a kpaꞋa a tsu.
1602010046	Mpa a̱pa̱lu a ɗa akamba a Sharon, apulufa a ɗa a̱ ka̱ra̱Ꞌa̱.
160202005d	Tsu apulufa a̱ ka̱tsuma̱ ka awana ta macigi ma̱ va̱ mi nannai a̱ ka̱tsuma̱ ka n kere.
16020300e2	Tsu maɗanga ma ruman a̱ ka̱tsuma̱ ka nɗanga n kutsun ta macigi ma̱ va̱ mi nannai a̱ ka̱tsuma̱ ko olobo. Mi ta̱ a̱ ma̱za̱nga̱ n da̱sa̱ngu a̱ kulu ku ni, umaci u ni wi ta̱ n uyoꞋo u kulyaꞋa tsu na n cigai.
160204004f	U bankai mu e kefeku ka na i a̱ ka̱ɗiva̱, Ucigi u ni urotu u ɗa wa̱ va̱.
160205009b	LyaꞋatangu mu n akala a umaci u ma̱biri e uɗekpu, Neke mu ma̱kya̱n n soꞋo ka̱ta̱ wuma u va̱ bono, adama a na mi ta̱ a̱ kukuwa̱ adama a ucigi.
1602060065	Kukiye ku ugula̱ ku ni ki ta̱ ɗaka vu kaci ka̱ va̱, kukiye ku usingai ku ni kpamu ku oɓongi mu.
160207008f	Nkere n Urushelima, yaꞋankai mu uzuwakpani n ula a nreꞋe nu nsheun n keteshe a na ya ku gbandarasa tsu ba makyan ma na ci a kupana uyoꞋo.
1602080076	Pana, macigi ma̱ va̱ la̱na̱, a̱yi ɗa na u yawai, a kaɗikpangusu a gaɗi va atali, e kujeꞋe a gaɗi vu aginda.
