0100000007	Geneză
2500000005	Hagai
25010100fd	În anul al doilea al împăratului Darius, în luna a șasea, în ziua întâi a lunii, a venit cuvântul DOMNULUI prin profetul Hagai la Zorobabel, fiul lui Șealtiel, guvernatorul lui Iuda, și către Iosua, fiul lui Ioțadac, marele preot, spunând:
250102007d	Astfel vorbește DOMNUL oștirilor, spunând: Acest popor spune: Nu a venit timpul, timpul să fie construită casa DOMNULUI.
2501030040	Atunci a venit cuvântul DOMNULUI prin profetul Hagai, spunând:
2501040070	Pentru voi [este] timpul să locuiți în casele voastre căptușite cu lemn, iar această casă stă pustiită?
2501050048	Și acum astfel zice DOMNUL oștirilor: Luați aminte la căile voastre.
2501060105	Ați semănat mult și adunați puțin; mâncați, dar nu aveți destul; beți, dar nu sunteți îndestulați cu băutură; vă îmbrăcați, dar nimănui nu îi este cald; și cel ce câștigă un venit, câștigă venit pentru a-l pune într-o pungă spartă.
2501070040	Astfel spune DOMNUL oștirilor: Luați aminte la căile voastre.
2501080088	Urcați-vă la munte și aduceți lemn și construiți casa; și eu îmi voi găsi plăcerea în ea și voi fi glorificat, spune DOMNUL.
25010900e8	Vă așteptați la mult și, iată, a fost puțin; și când l-ați adus acasă, eu l-am suflat. De ce? Spune DOMNUL oștirilor. Din cauza casei mele care [stă] pustiită, în timp ce voi alergați fiecare pentru propria lui casă.
25010a0063	De aceea cerul de deasupra voastră este oprit a da rouă și pământul este oprit a da rodul lui.
25010b00d4	Și am chemat o secetă peste țară și peste munți și peste grâne și peste vinul nou și peste untdelemn și peste ceea ce dă pământul și peste oameni și peste vite și peste toată lucrarea mâinilor.
25010c0121	Atunci Zorobabel, fiul lui Șealtiel, și Iosua, fiul lui Ioțadac, marele preot, împreună cu toată rămășița poporului, au ascultat de vocea DOMNULUI Dumnezeului lor și de cuvintele profetului Hagai, precum DOMNUL Dumnezeul lor l-a trimis; și poporul s-a temut înaintea DOMNULUI.
25010d0074	Atunci a vorbit Hagai, mesagerul DOMNULUI, în mesajul DOMNULUI către popor, spunând: Eu sunt cu voi, zice DOMNUL.
25010e0103	Și DOMNUL a stârnit duhul lui Zorobabel, fiul lui Șealtiel, guvernator al lui Iuda și duhul lui Iosua, fiul lui Ioțadac, marele preot, și duhul întregii rămășițe a poporului; și ei au venit și au lucrat la casa DOMNULUI oștirilor, Dumnezeul lor,
25010f005c	În ziua a douăzeci și patra a lunii a șasea, în anul al doilea al împăratului Darius.
2502010073	În luna a șaptea, în ziua a douăzeci și una a lunii, a venit cuvântul DOMNULUI prin profetul Hagai, spunând:
25020200a0	Vorbește acum lui Zorobabel, fiul lui Șealtiel, guvernator al lui Iuda, și lui Iosua, fiul lui Ioțadac, marele preot, și rămășiței poporului, spunând:
25020300aa	Cine a mai rămas între voi dintre cei ce au văzut această casă în gloria ei dintâi? Și cum o vedeți acum? Nu este ea ca nimic în ochii voștri pe lângă aceea?
25020400e0	Totuși acum fii tare, Zorobabel, spune DOMNUL; și fii tare, Iosua, fiu al lui Ioțadac, marele preot; și fiți tari, voi, tot poporul țării, zice DOMNUL, și lucrați, pentru că eu sunt cu voi, spune DOMNUL oștirilor;
2502050092	Conform cuvântului prin care am făcut legământ cu voi, când ați ieșit din Egipt, tot astfel duhul meu rămâne printre voi: nu vă temeți.
250206008d	Fiindcă astfel spune DOMNUL oștirilor: Încă o dată, mai este puțin timp și voi clătina cerurile și pământul și marea și uscatul;
250207008a	Și voi clătina toate națiunile și dorința tuturor națiunilor va veni, și voi umple casa aceasta cu glorie, spune DOMNUL oștirilor.
2502080044	Argintul este al meu și aurul este al meu, spune DOMNUL oștirilor.
2502090093	Gloria acestei case de pe urmă va fi mai mare decât cea dinainte, spune DOMNUL oștirilor; și în acest loc voi da pace, zice DOMNUL oștirilor.
25020a008a	În ziua a douăzeci și patra a lunii a noua, în anul al doilea al lui Darius, a venit cuvântul DOMNULUI prin profetul Hagai, spunând:
25020b0059	Astfel zice DOMNUL oștirilor: Întreabă acum pe preoți, referitor [la] lege, spunând:
25020c00c9	Dacă cineva poartă carne sfântă în poala hainei lui și cu poala sa atinge pâine sau supă sau vin sau untdelemn sau orice hrană, va fi aceasta sfântă? Și preoții au răspuns și au zis: Nu.
25020d00b3	Atunci Hagai a spus: Dacă [cineva] care este necurat printr-un trup mort atinge vreuna din acestea, va fi aceasta necurată? Și preoții au răspuns și au zis: Va fi necurată.
25020e00cd	Atunci Hagai a răspuns și a zis: Așa este acest popor și așa este această națiune înaintea mea, zice DOMNUL; și așa este fiecare lucrare a mâinilor lor; și ceea ce ei oferă acolo este necurat.
25020f0084	Și acum, vă rog, luați aminte din această zi și de acum încolo, înainte de a se pune piatră pe piatră în templul DOMNULUI;
25021000c1	De când au fost acele zile, când cineva venea la o grămadă de douăzeci de măsuri, erau doar zece; când cineva venea la teasc să scoată cincizeci de vase din teasc, erau doar douăzeci.
2502110099	V-am lovit cu tăciune [în grâu] și cu mană și cu grindină în toate ostenelile mâinilor voastre; totuși nu v-ați întors la mine, spune DOMNUL.
25021200ab	Luați aminte acum din această zi și de acum încolo, din a douăzeci și patra zi a lunii a noua, din ziua când a fost pusă temelia templului DOMNULUI, luați aminte.
250213008c	Este încă sămânța în grânar? Da, și vița și smochinul și rodiul și măslinul, nu au rodit: din această zi vă voi binecuvânta.
2502140060	Și din nou cuvântul DOMNULUI a venit la Hagai, în a douăzeci și patra zi a lunii, spunând:
250215005e	Vorbește lui Zorobabel, guvernatorul lui Iuda, zicând: Voi clătina cerurile și pământul;
25021600de	Și voi dărâma tronul împărățiilor și voi distruge tăria împărățiilor păgânilor; și voi răsturna carele și pe cei ce merg cu ele; și caii și călăreții lor vor cădea, fiecare prin sabia fratelui său.
25021700bf	În acea zi, spune DOMNUL oștirilor, te voi lua, Zorobabel, servitorul meu, fiul lui Șealtiel, zice DOMNUL, și te voi face ca un sigiliu, pentru că eu te-am ales, spune DOMNUL oștirilor.
2600000007	Zaharia
2601010094	În luna a opta, în anul al doilea al lui Darius, a venit cuvântul DOMNULUI la profetul Zaharia, fiul lui Berechia, fiul profetului Ido, spunând:
260102002b	DOMNUL s-a înfuriat pe părinţii voştri.
260103009e	De aceea spune-le: Astfel spune DOMNUL oştirilor: Întoarceţi-vă la mine, spune DOMNUL oştirilor şi eu mă voi întoarce la voi, spune DOMNUL oştirilor.
26010400fc	Nu fiţi ca părinţii voştri, la care au strigat profeţii dinainte, spunând: Astfel spune DOMNUL oştirilor: Întoarceţi-vă acum de la căile voastre rele şi de la faptele voastre rele; dar nu au auzit, nici nu mi-au dat ascultare, spune DOMNUL.
260105004e	Părinţii voştri, unde sunt ei? Şi profeţii, trăiesc ei pentru totdeauna?
2601060128	Dar cuvintele mele şi statutele mele pe care le-am poruncit servitorilor mei, profeţii, nu i-au apucat ele pe părinţii voştri? Şi ei s-au întors şi au spus: Precum DOMNUL oştirilor a gândit să ne facă, conform căilor noastre şi conform faptelor noastre, astfel s-a purtat el cu noi.
26010700d0	În ziua a douăzeci şi patra a lunii a unsprezecea, care este luna Şebat, în anul al doilea al lui Darius, a venit cuvântul DOMNULUI la profetul Zaharia, fiul lui Berechia, fiul profetului Ido, spunând:
26010800ac	Am văzut în noapte şi iată, un om călărind pe un cal roşu şi stătea între pomii de mirt care erau jos; şi în urma lui erau acolo cai roşii, pestriţi şi albi.
260109007b	Atunci am spus: Ce sunt aceştia, domnul meu? Şi îngerul care vorbea cu mine mi-a zis: Îţi voi arăta ce sunt aceştia.
26010a009d	Şi bărbatul care stătea între pomii de mirt a răspuns şi a zis: Aceştia sunt cei pe care DOMNUL i-a trimis să umble încoace şi încolo pe pământ.
26010b00c6	Şi ei au răspuns îngerului DOMNULUI, care stătea între pomii de mirt, şi au zis: Noi am umblat încoace şi încolo pe pământ şi, iată, tot pământul şade liniştit şi este în odihnă.
26010c00c9	Atunci îngerul DOMNULUI a răspuns şi a zis: DOAMNE al oştirilor, până când nu vei avea milă de Ierusalim şi de cetăţile lui Iuda, împotriva cărora te-ai indignat aceşti şaptezeci de ani?
26010d005e	Şi DOMNUL a răspuns îngerului care vorbea cu mine, cuvinte bune şi cuvinte mângâietoare.
26010e00af	Astfel îngerul care vorbea cu mine îndeaproape, mi-a zis: Strigă, spunând: Astfel spune DOMNUL oştirilor: Sunt gelos, cu o mare gelozie, pentru Ierusalim şi pentru Sion.
26010f0079	Şi mă înfurii pe păgânii care sunt în tihnă; fiindcă eu eram numai puţin înfuriat iar ei au ajutat nenorocirii.
26011000bf	De aceea astfel spune DOMNUL: M-am întors la Ierusalim cu îndurări; casa mea va fi construită în el, spune DOMNUL oştirilor, şi o frânghie de măsurat va fi întinsă peste Ierusalim.
26011100c5	Strigă totuşi, spunând: Astfel spune DOMNUL oştirilor: Cetăţile mele, prin prosperitate, vor fi împrăştiate peste tot şi DOMNUL va mângâia încă Sionul şi va alege încă Ierusalimul.
2601120041	Atunci mi-am ridicat ochii şi am văzut şi iată, patru coarne.
26011300a2	Şi am spus îngerului care vorbea cu mine: Ce sunt acestea? Şi el mi-a răspuns: Acestea sunt coarnele care au împrăştiat pe Iuda, pe Israel şi Ierusalimul.
2601140028	Şi DOMNUL mi-a arătat patru tâmplari.
2601150147	Atunci eu am zis: Ce vin aceştia să facă? Iar el a vorbit, spunând: Acestea sunt coarnele care au împrăştiat pe Iuda, astfel încât niciun om nu şi-a ridicat capul; dar aceştia au venit să le sperie, ca să alunge coarnele neamurilor care şi-au înălţat cornul împotriva ţării lui Iuda pentru a o împrăştia.
2602010064	Mi-am ridicat ochii din nou şi am privit şi iată, un om cu o frânghie de măsurat în mâna lui.
2602020081	Atunci am spus: Unde mergi? Şi el mi-a zis: Să măsor Ierusalimul, să văd care este lăţimea lui şi care este lungimea lui.
2602030064	Şi, iată, îngerul care vorbea cu mine a ieşit şi un alt înger a ieşit să îl întâlnească,
26020400a1	Şi i-a zis: Aleargă, vorbeşte acestui tânăr, spunând: Ierusalimul va fi locuit ca oraşe fără ziduri, din cauza mulţimii oamenilor şi a vitelor din el;
2602050068	Fiindcă eu, spune DOMNUL, îi voi fi un zid de foc de jur împrejur şi voi fi glorie în mijlocul lui.
2602060093	Hei, hei! ieşiţi şi fugiţi din ţara nordului, spune DOMNUL, pentru că v-am împrăştiat ca pe cele patru vânturi ale cerului, spune DOMNUL.
260207003d	Eliberează-te, Sioane, care locuieşti cu fiica Babilonului!
26020800aa	Pentru că astfel spune DOMNUL oştirilor: După glorie m-a trimis el la naţiunile care v-au prădat, pentru că cine se atinge de voi se atinge de lumina ochiului său.
2602090096	Pentru că, iată, eu îmi voi scutura mâna peste ele şi vor ajunge o pradă servitorilor lor; şi veţi cunoaşte că DOMNUL oştirilor m-a trimis.
26020a0073	Cântă şi bucură-te, fiică a Sionului, pentru că, iată, eu vin şi voi locui în mijlocul tău, spune DOMNUL.
26020b00ae	Şi multe naţiuni se vor alătura DOMNULUI în acea zi şi vor fi poporul meu; şi eu voi locui în mijlocul tău şi vei cunoaşte că DOMNUL oştirilor m-a trimis la tine.
26020c0060	Şi DOMNUL va moşteni pe Iuda, partea lui în ţara sfântă; şi din nou va alege Ierusalimul.
26020d0063	Să tacă toată făptura înaintea DOMNULUI, pentru că el s-a ridicat din locuinţa lui sfântă.
26030100aa	Şi el mi l-a arătat pe Iosua, marele preot, stând în picioare înaintea îngerului DOMNULUI şi pe Satan stând în picioare la dreapta lui, pentru a i se împotrivi.
26030200a5	Şi DOMNUL i-a spus lui Satan: DOMNUL să te mustre, Satan! Chiar DOMNUL, care a ales Ierusalimul, să te mustre! Nu este acesta un semn de înfierare smuls din foc?
2603030058	Şi Iosua era îmbrăcat cu haine murdare şi stătea în picioare înaintea îngerului.
26030400f6	Şi îngerul a răspuns şi a vorbit celor care stăteau în picioare înaintea lui, spunând: Luaţi de pe el hainele murdare. Şi lui i-a spus: Iată, am făcut ca nelegiuirea ta să treacă de la tine şi cu un rând de haine te voi îmbrăca.
26030500aa	Iar eu am spus: Să-i pună o mitră frumoasă pe cap. Astfel ei i-au pus o mitră frumoasă pe cap şi l-au îmbrăcat cu haine. Şi îngerul DOMNULUI stătea de faţă.
2603060037	Şi îngerul DOMNULUI l-a avertizat pe Iosua, spunând:
2603070100	Astfel spune DOMNUL oştirilor: Dacă vei umbla în căile mele şi dacă vei păzi însărcinarea mea, atunci tu vei judeca de asemenea casa mea şi de asemenea vei păzi curţile mele şi îţi voi da locuri să umbli între aceştia care stau de faţă.
26030800a9	Ascultă Iosua, mare preot, tu şi tovarăşii tăi care şed înaintea ta, pentru că ei sunt oameni admiraţi; căci, iată, eu voi aduce pe servitorul meu, LĂSTARUL.
26030900e5	Căci, iată, piatra pe care am pus-o înaintea lui Iosua: pe o singură piatră vor fi şapte ochi; iată, eu voi grava inscripţia ei, spune DOMNUL oştirilor, şi voi îndepărta nelegiuirea acestei ţări într-o singură zi.
26030a0068	În acea zi, spune DOMNUL oştirilor, veţi chema, fiecare pe aproapele său sub viţă şi sub smochin.
260401006e	Şi îngerul care vorbea cu mine a venit din nou şi m-a trezit, ca pe un om care este trezit din somnul său,
26040200df	Şi mi-a spus: Ce vezi? Iar eu am zis: Am privit, şi iată, un sfeşnic cu totul de aur cu un potir în vârful lui şi cele şapte candele ale lui pe el; şi şapte ţevi la cele şapte candele, care sunt în vârful lui,
2604030068	Şi doi măslini lângă el, unul pe partea dreaptă a potirului şi celălalt pe partea stângă a lui.
2604040068	Astfel am răspuns şi am vorbit îngerului care vorbea cu mine şi am zis: Ce sunt acestea, domnul meu?
2604050076	Atunci îngerul care vorbea cu mine a răspuns şi mi-a zis: Nu ştii ce sunt acestea? Iar eu am spus: Nu, domnul meu.
26040600b7	Atunci el a răspuns şi mi-a vorbit, zicând: Acesta este cuvântul DOMNULUI către Zorobabel, spunând: Nu prin tărie, nici prin putere, ci prin duhul meu, spune DOMNUL oştirilor.
260407009c	Cine eşti tu, munte mare? Înaintea lui Zorobabel tu vei deveni o câmpie; şi el va scoate piatra de căpătâi cu strigăte, zicând: Har, har pentru ea.
2604080037	Mai mult, cuvântul DOMNULUI a venit la mine, spunând:
2604090099	Mâinile lui Zorobabel au pus temelia acestei case; mâinile lui de asemenea o vor termina; iar tu vei cunoaşte că DOMNUL oştirilor m-a trimis la voi.
26040a00ef	Căci cine a dispreţuit ziua lucrurilor mici? Fiindcă ei se vor bucura şi vor vedea firul cu plumb în mâna lui Zorobabel împreună cu cei şapte; aceştia sunt ochii DOMNULUI, care aleargă încoace şi încolo pe întreg pământul.
26040b006b	Atunci am răspuns şi i-am zis: Ce sunt aceşti doi măslini în dreapta sfeşnicului şi în stânga lui?
26040c009a	Şi am răspuns din nou şi i-am zis: Ce sunt aceste două ramuri de măslin, care prin cele două ţevi de aur golesc untdelemnul de aur din ele însele?
26040d0059	Şi el mi-a răspuns şi a zis: Nu ştii ce sunt acestea? Iar eu am spus: Nu, domnul meu.
26040e0067	Atunci el a zis: Acestea sunt cei doi unşi care stau în picioare lângă Domnul întregului pământ.
2605010055	Atunci m-am întors şi mi-am ridicat ochii şi am privit şi iată, un sul zburând.
260502008c	Şi el mi-a zis: Ce vezi? Iar eu am răspuns: Văd un sul zburând; lungimea lui este de douăzeci de coţi şi lăţimea lui de zece coţi.
2605030111	Atunci el mi-a spus: Acesta este blestemul care se răspândeşte pe faţa întregului pământ: căci oricine fură va fi nimicit, precum este scris pe această parte, conform cu aceasta; şi oricine jură va fi nimicit precum este scris pe partea aceea, conform cu aceea.
26050400d8	Îl voi răspândi, spune DOMNUL oştirilor, şi va intra în casa hoţului şi în casa celui care jură fals pe numele meu; şi va rămâne în mijlocul casei lui şi o va mistui cu lemnăria ei şi cu pietrele ei.
2605050087	Atunci îngerul care vorbea cu mine a mers înainte şi mi-a spus: Ridică-ţi acum ochii şi vezi ce este aceasta care merge înainte.
260506009a	Şi eu am spus: Ce este aceasta? Iar el a zis: Aceasta este o efă care merge înainte. El a mai spus: Aceasta este înfăţişarea lor pe tot pământul.
2605070063	Şi, iată, s-a ridicat un talant de plumb: şi aceasta este o femeie care şede în mijlocul efei.
260508007c	Şi el a spus: Aceasta este stricăciune. Şi a aruncat-o în mijlocul efei; şi a aruncat greutatea de plumb peste gura ei.
26050900cb	Atunci mi-am ridicat ochii şi am privit şi, iată, au ieşit două femei; şi vântul bătea în aripile lor; fiindcă aveau aripi ca aripile unei berze; şi ele au ridicat efa între pământ şi cer.
26050a0044	Atunci am spus îngerului care vorbea cu mine: Unde duc acestea efa?
26050b007a	Şi el mi-a spus: Pentru a-i construi o casă în ţara Şinarului; şi va fi întemeiată, şi pusă acolo pe temelia ei.
260601008b	Şi m-am întors şi mi-am ridicat ochii şi am privit şi, iată, ieşeau patru care dintre doi munţi; şi munţii erau munţi de aramă.
2606020041	La primul car erau cai roşii; şi la carul al doilea, cai negri;
2606030056	Şi la carul al treilea, cai albi; şi la carul al patrulea, cai bălţaţi şi murgi.
260604005e	Atunci eu am răspuns şi am zis îngerului care vorbea cu mine: Ce sunt aceştia, domnul meu?
26060500a9	Şi îngerul a răspuns şi mi-a zis: Acestea sunt cele patru duhuri ale cerurilor care ies din locul unde stăteau în picioare înaintea Domnului întregului pământ.
260606009a	Caii negri care sunt la acesta merg înainte spre ţara nordului; şi cei albi merg înainte după ei şi cei bălţaţi merg înainte spre ţara sudului.
26060700ec	Şi cei murgi au ieşit şi au căutat să meargă înainte ca să umble încolo şi încoace pe pământ; şi el a spus: Plecaţi de aici, umblaţi încolo şi încoace pe pământ. Astfel ei au umblat încolo şi încoace pe pământ.
2606080098	Atunci a strigat către mine şi mi-a vorbit, spunând: Iată, aceştia care merg înainte spre ţara nordului mi-au liniştit duhul în ţara nordului.
2606090031	Şi cuvântul DOMNULUI a venit la mine, spunând:
26060a00af	Ia de la cei din captivitate, de la Heldai, de la Tobia şi de la Iedaia, care au venit din Babilon, şi vino în aceeaşi zi şi intră în casa lui Iosia, fiul lui Ţefania;
26060b0067	Apoi ia argint şi aur şi fă coroane şi pune-le pe capul lui Iosua, fiul lui Ioţadac, marele preot;
26060c00bc	Şi vorbeşte-i, spunând: Astfel vorbeşte DOMNUL oştirilor, zicând: Iată, pe bărbatul al cărui nume este LĂSTARUL; Şi el va creşte din locul lui şi va construi templul DOMNULUI;
26060d00b6	Chiar el va construi templul DOMNULUI şi el va purta gloria şi va şedea şi va conduce pe tronul său; şi va fi preot pe tronul său, şi sfatul de pace va fi între ei amândoi.
26060e008b	Şi coroanele vor fi pentru Helem şi pentru Tobia şi pentru Iedaia şi pentru Hen, fiul lui Ţefania, ca o amintire în templul DOMNULUI.
26060f00e6	Şi cei de departe vor veni şi vor construi în templul DOMNULUI şi veţi cunoaşte că DOMNUL oştirilor m-a trimis la voi. Şi aceasta se va întâmpla, dacă voi, cu atenţie, veţi asculta de vocea DOMNULUI Dumnezeul vostru.
26070100a0	Şi s-a întâmplat că, în anul al patrulea al împăratului Darius, cuvântul DOMNULUI a venit la Zaharia, în ziua a patra a lunii a noua, în luna Chislev,
2607020084	Când ei trimiseseră la casa lui Dumnezeu pe Şareţer şi pe Reghem-Melec şi pe oamenii lor, pentru a se ruga înaintea DOMNULUI;
26070300c4	Şi să vorbească preoţilor, care erau în casa DOMNULUI oştirilor, şi profeţilor, spunând: Să plâng în luna a cincea, punându-mă deoparte, precum am făcut aceşti atât de mulţi ani?
260704003f	Atunci cuvântul DOMNULUI oştirilor a venit la mine, spunând:
26070500e3	Vorbeşte întregului popor al ţării şi preoţilor, spunând: Când aţi postit şi aţi jelit în luna a cincea şi în luna a şaptea, în aceşti şaptezeci de ani, cu adevărat aţi postit pentru mine, chiar pentru mine?
260706005e	Şi când aţi mâncat şi aţi băut, nu aţi mâncat şi nu aţi băut pentru voi înşivă?
26070700e4	Nu trebuia să auziţi cuvintele pe care DOMNUL le-a strigat prin profeţii dinainte, când Ierusalimul era locuit şi în prosperitate, şi cetăţile lui de jur împrejurul lui, când oamenii locuiau partea de sud şi câmpia?
2607080034	Şi cuvântul DOMNULUI a venit la Zaharia, spunând:
260709008a	Astfel vorbeşte DOMNUL oştirilor, spunând: Faceţi judecată adevărată şi arătaţi milă şi mângâieri, fiecare om fratelui său;
26070a00bd	Şi nu oprimaţi nici pe văduvă, nici pe cel fără tată, nici pe străin, nici pe cel sărac; şi nimeni dintre voi să nu îşi închipuie răul în inima sa, împotriva fratelui său.
26070b0069	Dar ei au refuzat să dea ascultare şi şi-au tras umărul şi şi-au astupat urechile, ca să nu audă.
26070c00e2	Da, şi-au făcut inima ca o piatră de diamant, ca nu cumva să asculte legea şi cuvintele pe care DOMNUL oştirilor le-a trimis în duhul său, prin profeţii dinainte; de aceea a venit o mare furie de la DOMNUL oştirilor.
26070d009f	De aceea s-a întâmplat că, pe când el striga totuşi ei au refuzat să audă; tot astfel, ei au strigat şi eu am refuzat să aud, spune DOMNUL oştirilor;
26070e00ef	Ci i-am împrăştiat cu un vârtej de vânt printre toate naţiunile pe care nu le cunoşteau. Astfel ţara a fost pustie după ei, încât nimeni nu trecea prin ea, nici nu se întorcea din ea; fiindcă ei au pustiit ţara cea plăcută.
2608010041	Din nou, cuvântul DOMNULUI oştirilor a venit la mine, spunând:
2608020073	Astfel spune DOMNUL oştirilor: Sunt gelos, cu mare gelozie, pentru Sion; şi sunt gelos, cu mare furie, pentru el.
26080300b4	Astfel spune DOMNUL: M-am întors la Sion şi voi locui în mijlocul Ierusalimului; şi Ierusalimul se va numi cetatea adevărului; şi muntele DOMNULUI oştirilor, muntele sfânt.
26080400ad	Astfel spune DOMNUL oştirilor: Vor locui totuşi bătrâni şi bătrâne pe străzile Ierusalimului, şi fiecare om cu toiagul său în mână, din cauza mulţimii zilelor.
2608050057	Şi străzile cetăţii vor fi pline de băieţi şi fete, jucându-se pe străzile ei.
26080600c2	Astfel spune DOMNUL oştirilor: Dacă aceasta este minunată în ochii rămăşiţei acestui popor în acele zile, ar trebui să fie de asemenea minunată în ochii mei? spune DOMNUL oştirilor.
2608070069	Astfel spune DOMNUL oştirilor: Iată, voi salva pe poporul meu din ţara estului şi din ţara vestului;
2608080090	Şi îi voi aduce şi vor locui în mijlocul Ierusalimului; şi ei vor fi poporul meu iar eu voi fi Dumnezeul lor, în adevăr şi în dreptate.
26080900f4	Astfel spune DOMNUL oştirilor: Să fie tari mâinile voastre, voi care auziţi, în aceste zile, cuvintele acestea prin gura profeţilor, care erau în ziua în care temelia casei DOMNULUI oştirilor a fost pusă, ca templul să fie construit.
26080a0107	Pentru că înainte de aceste zile nu era plată pentru om, nici vreo plată pentru vită; şi nici nu era pace pentru cel care ieşea sau pentru cel care intra, din cauza necazului, pentru că am stârnit pe toţi oamenii, pe fiecare, împotriva aproapelui său.
26080b0067	Dar acum nu voi fi, pentru rămăşiţa acestui popor, ca în zilele dinainte, spune DOMNUL oştirilor.
26080c00d1	Pentru că sămânţa va fi prosperă; viţa îşi va da rodul şi pământul îşi va da venitul şi cerurile îşi vor da roua; şi eu voi face ca rămăşiţa acestui popor să stăpânească toate acestea.
26080d00d2	Şi se va întâmpla că, precum aţi fost un blestem printre păgâni, casă a lui Iuda şi casă a lui Israel, tot astfel vă voi salva şi veţi fi o binecuvântare; nu vă temeţi, întăriţi-vă mâinile.
26080e00ad	Pentru că astfel spune DOMNUL oştirilor: Precum am gândit să vă pedepsesc, când părinţii voştri mă provocau la furie, spune DOMNUL oştirilor, şi nu m-am pocăit,
26080f006e	Tot astfel am gândit, din nou, în aceste zile să fac bine Ierusalimului şi casei lui Iuda: nu vă temeţi.
26081000a0	Acestea sunt lucrurile pe care să le faceţi: Fiecare să vorbească adevărul aproapelui său; faceţi judecata adevărului şi a păcii în porţile voastre;
26081100cf	Şi nimeni dintre voi să nu îşi închipuie răul în inimile voastre împotriva aproapelui său; şi nu iubiţi jurământul fals, pentru că toate acestea sunt lucruri pe care eu le urăsc, spune DOMNUL.
260812003c	Şi cuvântul DOMNULUI oştirilor a venit la mine, spunând:
26081300f2	Astfel spune DOMNUL oştirilor: Postul lunii a patra şi postul lunii a cincea şi postul lunii a şaptea şi postul lunii a zecea vor fi pentru casa lui Iuda bucurie şi veselie şi sărbători fericite; de aceea iubiţi adevărul şi pacea.
2608140070	Astfel spune DOMNUL oştirilor: Se va întâmpla din nou că, vor veni popoare şi locuitori ai multor cetăţi;
26081500a9	Şi locuitorii unei cetăţi vor merge la alta, spunând: Să mergem repede să ne rugăm înaintea DOMNULUI şi să îl căutăm pe DOMNUL oştirilor, voi merge şi eu.
2608160087	Da, multe popoare şi naţiuni puternice vor veni să îl caute pe DOMNUL oştirilor în Ierusalim şi să se roage înaintea DOMNULUI.
26081700ee	Astfel spune DOMNUL oştirilor: În acele zile se va întâmpla că, zece oameni din toate limbile naţiunilor vor apuca, da, vor apuca poala aceluia care este iudeu, spunând: Vom merge cu voi, fiindcă am auzit că Dumnezeu este cu voi.
26090100a5	Povara cuvântului DOMNULUI în ţara Hadrac; şi Damascul va fi odihna acestuia; când ochii omului, precum şi a tuturor triburilor lui Israel, vor fi spre DOMNUL.
2609020068	Şi Hamatul de asemenea va avea graniţă cu el, Tirul şi Sidonul, deşi acesta este foarte înţelept.
2609030078	Şi Tirul şi-a construit o întăritură şi şi-a îngrămădit argint ca ţărâna şi aur fin ca noroiul străzilor.
2609040057	Iată, Domnul îl va lepăda şi îi va lovi puterea în mare şi va fi mistuit de foc.
26090500e2	Ascalonul va vedea şi se va teme; Gaza, de asemenea va vedea şi se va întrista foarte mult şi Ecronul de asemenea, pentru că speranţa lui va fi ruşinată; şi împăratul va pieri din Gaza şi Ascalonul nu va fi locuit.
260906004c	Şi un bastard va locui în Asdod, iar eu voi stârpi mândria filistenilor.
26090700d4	Şi voi îndepărta sângele lui din gura lui şi urâciunile lui dintre dinţii lui; dar cel care rămâne, chiar el, va fi pentru Dumnezeul nostru şi va fi ca un guvernator în Iuda, şi Ecronul ca un iebusit.
26090800d2	Iar eu voi aşeza tabăra lângă casa mea, din cauza armatei, din cauza celui care trece şi din cauza celui care se întoarce; şi opresorul nu va mai trece printre ei, pentru că acum am văzut cu ochii mei.
26090900e6	Bucură-te foarte mult, fiică a Sionului; strigă, fiică a Ierusalimului, iată, Împăratul tău vine la tine; el este drept şi având salvare; umil şi călărind pe o măgăriţă şi un măgăruş, mânzul unei măgăriţe.
26090a00e9	Şi voi stârpi carul din Efraim şi calul din Ierusalim şi arcul de război va fi stârpit; şi el va vorbi păgânilor de pace; şi locul domniei lui va fi de la mare până la mare şi de la râu până la marginile pământului.
26090b0078	Iar cât despre tine, prin sângele legământului tău, am trimis pe prizonierii tăi din groapa în care nu este apă.
26090c0077	Întoarceţi-vă la întăritură, voi, prizonieri ai speranţei; chiar astăzi vestesc că îţi voi răsplăti dublu;
26090d00c9	După ce l-am încordat pe Iuda pentru mine, după ce, cu Efraim, am umplut arcul şi i-am ridicat pe fiii tăi, Sioane, împotriva fiilor tăi, Grecie, şi te-am făcut ca sabia unui bărbat puternic.
26090e00a2	Şi DOMNUL va fi văzut deasupra lor şi săgeata sa va ieşi ca fulgerul: şi Domnul DUMNEZEU va suna trâmbiţa şi va merge cu vârtejurile de vânt de la sud.
26090f00d3	DOMNUL oştirilor îi va apăra şi ei vor nimici şi vor supune cu pietre de praştie; şi vor bea şi vor face un zgomot ca de la vin; şi vor fi umpluţi precum vasele adânci şi precum colţurile altarului.
260910009d	Şi Domnul DUMNEZEUL lor îi va salva în acea zi, ca pe turma poporului său; căci vor fi ca pietrele unei coroane, ridicată ca un însemn peste ţara sa.
260911008c	Iată, cât de mare este bunătatea sa şi cât de mare este frumuseţea sa! Grânele îi vor înveseli pe tineri şi vinul nou pe fecioare.
