2800000008	מתיו
30030c008f	רואים אתם, אם כן, מה שונה הישועה מתוך אמונה מהישועה הנובעת מקיום כל מצוות התורה.
30030d0149	המשיח שיחרר אותנו מהקללה הרובצת על אלה שאינם מקיימים את כל מצוות התורה, בלקחו על עצמו את הקללה במקומנו, שהרי כתוב בתורה:”קללת אלוהים תלוי“(על עץ, והרי ישוע שנצלב היה בעצם תלוי על עץ.)
30030e00ac	ועתה יכול אלוהים לברך גם את הגויים באותה ברכה שהבטיח לאברהם אבינו, ויתקיים בנו הבטחת רוח הקודש.
30030f00c4	אחים יקרים, גם היום כשמבטיח אדם הבטחה בכתב וחותם עליה, חובה עליו לקיים את הבטחתו, ואין הוא יכול לשנות את דעתו.
30031000dc	אלוהים הבטיח את הברכות לאברהם ולזרעו. שימו לב שלא כתוב”לזרעיו“– בלשון רבים, אלא בלשון יחיד, בן – זרע, הלא הוא ישוע המשיח.
3003110104	אני מנסה לומר לכם שה׳ הבטיח בכתב להושיע את כל מי שמאמין בו, והבטחה זו אינה יכולה להשתנות או להתבטל לאחר ארבע־מאות ושלושים שנה, כשנתן ה׳ את התורה.
3003120111	אברהם מצא־חן בעיני אלוהים, מפני שהאמין בה׳ ובהבטחותיו. אילו יכולנו למצוא־חן בעיני ה׳ על־ידי קיום מצוות התורה, הייתה דרכנו שונה לחלוטין מדרכו של אברהם.
3003130227	שואלים אתם ודאי, מדוע נתן ה׳ את התורה? התורה ניתנה כתוספת, לאחר ההבטחה לאברהם, כדי להוכיח לבני־האדם שהם אשמים באי־קיום מצוותיה. אולם ה׳ נתן את חוקי התורה רק באופן זמני, עד בואו של ישוע המשיח – הבן – אשר לו ניתנה הבטחת ה׳. יתרה מזאת, כשנתן ה׳ את התורה, הוא נתן אותה בידי מלאכים למשה, ואילו משה נתן את התורה לעם.
3003140081	אולם כשנתן ה׳ את ההבטחה לאברהם, אלוהים בעצמו דיבר עם אברהם, ללא מתווכים.
30031501c7	האם יש סתירה בין תורתו של ה׳ לבין הבטחותיו? ודאי שלא! אילו יכלה התורה להושיע אותנו, לא היה צריך אלוהים לתת לנו מוצא אחר מהשעבוד לחטא – שהרי כתבי־הקודש אומרים שכולנו עבדים לחטא. הדרך היחידה להשתחרר מהשעבוד לחטא, דרך הפתוחה לכל אחד, היא אמונה בישוע המשיח!
3003170074	לפני בוא המשיח התורה חסתה עלינו עד היום שבו יכולנו להאמין במשיח.
30031800b4	במילים אחרות: התורה הדריכה אותנו והשגיחה עלינו, עד שבא ישוע המשיח לקרב אותנו לאלוהים בזכות אמונתנו.
3003190077	אבל עכשיו, לאחר שכבר בא המשיח, שוב אין לנו צורך בהדרכת מצוות התורה.
30031a005b	כי עתה כולנו בני אלוהים בזכות אמונתנו בישוע המשיח,
30031b006d	ואלה מאיתנו שנטבלו כסמל לאחדות עם המשיח, כאילו עטופים במשיח.
30031c012e	בין המאמינים שוב אין הבדל בין יהודי לגוי, בין עבד לבן־חורין ואף לא בין גבר לאישה. בעיני אלוהים כולנו שווים. אלוהים אוהב את כולנו באותה מידה, וכולנו מאוחדים בישוע המשיח.
30031d009f	מאחר שאנו שייכים למשיח, אנו גם זרע אברהם, וכל הבטחותיו של ה׳ לאברהם ולזרעו שייכות גם לנו.
300401012b	זכרו, גם אם אב עשיר מת ומוריש לבנו הקטן את כל רכושו, הילד הקטן דומה במעמדו לעבד. אין הוא יכול ליהנות מן הירושה עד שיגיע לגיל בגרות (או לגיל מסוים שקבע אביו למתן הירושה).
3004020067	עד אז עליו לשמוע לקול המבוגרים האחראים לטיפולו ולחינוכו.
30040300a2	לפני בואו של ישוע המשיח היה מצבנו דומה. בעת היותנו חסרי בגרות, היינו משועבדים לדרכי העולם.
3004040066	אך בהגיע הזמן המתאים שלח אלוהים את בנו, שנולד לאם יהודיה,
3004050060	כדי לשחרר אותנו מהשעבוד לתורה, וכדי לאמץ אותנו לבניו.
30040600ad	היות שאנחנו בני־אלוהים, הוא השכין בלבנו את רוח בנו, ומשום כך יש לנו את הזכות לקרוא לו: אבא, אבינו.
30040700c3	מעתה ואילך אין אנו עבדים, אלא בני אלוהים ממש; ומאחר שאנחנו בני־אלוהים, כל מה ששייך לאלוהים אבינו שייך גם לנו.
30040800a5	אתם הגויים, לפני שהאמנתם באלוהים הייתם עבדים לכל מיני אלילים מגוחכים, שקראתם להם”אלוהים“.
300409012c	עתה, לאחר שמצאתם את אלוהים (או נכון יותר לומר: לאחר שאלוהים מצא אתכם), כיצד יכולים אתם לחזור ולהשתעבד לאמונה חלשה ורופפת, הגורסת שניתן להיוושע על־ידי קיום מצוות התורה?
30040a006b	אתם מנסים למצוא־חן בעיני אלוהים על־ידי שמירת חגים ומועדים!
30040b004a	אני חושש מאוד שכל עבודתי בכם הייתה לשווא.
30040c012e	אחים יקרים, מדוע אינכם מקשיבים לי? עכשיו אני חופשי ומשוחרר מכבלי מצוות התורה, ממש כמוכם. כשבאתי אליכם בפעם הראשונה, כדי לספר לכם את הבשורה, לא בזתם לי למרות שהייתי חולה.
30040e00fe	מחלתי הייתה דוחה ומתועבת, אבל לא דחיתם אותי ולא הפניתם לי עורף. לקחתם אותי לביתכם וטיפלתם בי כאילו טיפלתם במלאך מן השמים או בישוע המשיח עצמו!
30040f00fe	מה קרה לכם? פעם הייתה בכם רוח של אהבה, אחדות ושמחה; בימים ההם אהבתם אותי כל־כך, עד שהייתם מוכנים לנקר את עיניכם ולתת אותן לי, אילו היה צורך בכך.
3004100051	האם הפכתי לאויבכם משום שאני אומר לכם את האמת?
300411011f	האנשים האלה שמשתדלים מאוד למצוא־חן בעיניכם, אינם עושים זאת מתוך רצון בטובתכם, אלא מתוך רצון לסכסך ולהפריד ביניכם לביני, כדי שלא תקשיבו לי, אלא תקשיבו להם בלבד.
30041200ca	ודאי שאני רוצה שאנשים יתנהגו יפה כלפיכם, אך זאת רק בתנאי שמניעיהם טהורים ושאין הם מתנהגים כך רק כשאני נמצא אתכם!
30041300ec	ילדי, אתם כל־כך מכאיבים לי! אני סובל ייסורי ציפייה ליום שבו תתמסרו למשיח בכל לבכם, בדומה לאם הסובלת ייסורי לידה בציפייה להולדת בנה.
30041400d5	הלוואי שיכולתי להיות אצלכם עכשיו ולדבר אתכם פנים אל פנים, במקום לנסות להשפיע עליכם בכתב; פשוט איני יודע מה לעשות אתכם!
30041500a9	אני פונה אל כל אלה שחושבים שעליהם לשמור את מצוות התורה כדי להיוושע: היודעים אתם מה כתוב בתורה?
300416009d	כתוב בתורה שלאברהם אבינו היו שני בנים: ישמעאל בן האישה המשרתת, ויצחק בן האישה החופשייה.
30041700cf	בן המשרתת נולד בלידה טבעית ובלי נסים ונפלאות; אולם בן האישה החופשייה נולד רק לאחר הבטחתו המיוחדת של אלוהים לאברהם.
3004180189	סיפור אמיתי זה הוא משל: שתי הנשים הן שתי הבריתות שכרת ה׳ עם עמו. האחת היא ברית הר־סיני שבערב, שהביאה את האנשים לידי שעבוד לתורה – זוהי הגר שמסמלת את עיר־האם, ירושלים, שמשועבדת עדיין למצוות התורה ושמשמשת מרכז לפולחן דתי
30041a00cd	ואילו שרה, האישה החופשייה, מסמלת את ירושלים החופשית שבשמים, שהיא עיר־האם והקודש שלנו, ואינה משועבדת למצוות התורה.
30041b00bd	אליה התכוון הנביא ישעיהו כשניבא:”רני עקרה לא ילדה, פצחי רנה וצהלי לא־חלה, כי רבים בני שוממה מבני בעולה“.
30041c00aa	אחים יקרים, אנחנו – אתם ואני – הבנים שהבטיח ה׳ לירושלים החדשה, כשם שהבטיח את יצחק לאברהם ושרה.
30041d0116	ואנחנו, המאמינים שנולדנו מחדש על־ידי רוח הקודש, נרדפים על־ידי אלה שרוצים שנשמור את מצוות התורה, ממש כמו שיצחק – בן ההבטחה – נרדף על־ידי ישמעאל בן המשרתת.
30041e0092	אבל מה אומרים כתבי־הקודש?”גרש את האמה ואת בנה, כי לא יירש בן־האמה עם בן־החפשיה“.
30041f00cd	אחים יקרים, אין אנו בני האישה המשרתת ואיננו עבדים לתורה; אנחנו בני האישה החופשייה, ורצויים לאלוהים בזכות אמונתנו.
3005010075	המשיח הוציאנו לחופשי! לכן אל תשובו להשתעבד למצוות התורה ולמסורת.
30050200c8	הקשיבו לדברי: אם אתם באמת חושבים שברית־המילה ושמירת המצוות יקרבו אתכם לאלוהים, אזי אין המשיח יכול להושיע אתכם.
30050300c3	אני חוזר ואומר: מי שמייחס חשיבות רבה לקיום ברית־המילה, חייב למלא את כל מצוות התורה, שאם לא־כן תבוא עליו קללה.
30050400fa	אם אתם באמת חושבים שתוכלו למצוא־חן בעיני אלוהים בזכות שמירת מצוות התורה, הרי שאין לכם כל צורך במשיח, ואינכם יכולים ליהנות מחסדו של אלוהים.
30050500a4	בעזרת רוח הקודש אנו מאמינים כי מותו של המשיח מטהר אותנו מחטאינו ומצדיק אותנו בעיני אלוהים.
30050600ff	אנו, המאמינים המשיחיים, יודעים כי המילה ושמירת המצוות הם סימנים חיצוניים בלבד שאינם מוכיחים דבר. ומה חשוב? אמונה שמוכיחה את עצמה על־ידי אהבה.
3005070083	עד עתה התקדמתם יפה מאוד באמונתכם. מה קרה לכם לפתע? מי הסיתכם נגד דבר האמת?
3005080075	ודאי שלא אלוהים הסיתכם לכך, שכן אלוהים עצמו העניק לכם חופש במשיח.
300509005c	הרי הוראת כזב זו היא כמו מעט שאור שמחמיץ את כל הבצק.
30050a00f3	אני בטוח שאלוהים ישכנע אתכם לשוב ולהאמין באמת, כמוני, ודעו לכם שאלוהים יעניש את האדם שבלבל והתעה אתכם, וגרם לכך שתטילו ספק בדבר אלוהים.
30050b0278	יש אשר חושבים כי אני עצמי טוען שהמילה וקיום המצוות הם חלק בלתי־נפרד מהישועה. אבל אני שואל אתכם, לו נכון היה הדבר, האם היו לי עדיין כל־כך הרבה אויבים ומתנגדים? הלא אם הייתי מטיף למילה ולקיום המצוות לא הייתי פוגע באיש, ואף אחד לא היה קם נגדי. אבל העובדה היא שאנשים רבים רודפים אותי ומציקים לי, משום שאני מטיף לישועה דרך אמונה במותו ובתחייתו של ישוע המשיח.
30050c0087	הלוואי שהיו מעקרים את האנשים שמנסים לסכסך ולהפריד בינינו בגלל ברית־המילה!
30050d00cd	אחי היקרים, אל תשכחו שהמשיח הוציא אתכם לחופשי! אין זה חופש לעשות ככל העולה על רוחכם, כי אם חופש לאהוב ולעזור לזולת.
30050e0062	אפשר לסכם את התורה כולה במצווה אחת:”ואהבת לרעך כמוך“.
30050f0093	אבל אם במקום לאהוב איש את רעהו אתם תמיד רבים, שונאים ומקנאים, אז תהרסו איש את אחיו.
3005100102	אני מייעץ לכם לשמוע רק לקול רוח הקודש, והוא יראה לכם מה לעשות ולאן ללכת, ומובטח לכם ששוב לא תהיו משועבדים לבשר שלכם, הגורם לכם תמיד לעשות את הרע.
300511021a	לכולנו יש נטייה טבעית לעשות את הרע, שהוא היפוכו הגמור של מה שרוח הקודש אומר לנו לעשות. וכאשר רוח הקודש פועל בנו ומביא אותנו לכך שנרצה לעשות את הטוב, הרי שזה היפוכן הגמור של נטיותינו הטבעיות. שני כוחות אלה, הבשר שלנו ורוח הקודש, נאבקים בתוכנו כשזה רוצה לנצח את זה, ואיננו יכולים לעשות כל מה שאנו רוצים.
3005120089	כשרוח הקודש מדריך את מעשינו, הוא גם משחרר אותנו מהחובה לקיים את מצוות התורה.
3005130082	אם תלכו אחרי הנטיות הטבעיות שלכם, אלה תהיינה התוצאות: זנות, טומאה, תאווה,
3005140079	עבודת אלילים וכישוף, שנאה, פילוג, קנאה, כעס, אנוכיות, תלונות, מריבות,
30051500a9	חמדנות, שיכרות, הוללות וכדומה. אני חוזר ואומר לכם: מי שמנהל חיים כאלה לא יירש את מלכות האלוהים.
30051600bc	אולם אם נניח לרוח הקודש לשלוט בחיינו, זה יהיה הפרי: אהבה, שמחה, שלום ושלווה, סבלנות, נדיבות, טוב־לב, אמונה,
3005170081	צניעות ושליטה עצמית, וכמובן שאין סתירה בין תכונות אלה לבין מצוות התורה.
3005180070	המאמינים במשיח התכחשו לבשר שלהם; הם קברו אותו לרגלי צלב המשיח.
3005190071	אם אנו חיים עתה בכוחו של רוח הקודש, הבה נציית לו בכל שטחי החיים.
30051a005e	ואז לא נצטרף לבקש כבוד והצלחה, הגורמים לקנאה ולרוגז.
3006010134	אם ייכשל אחד מכם בעבירה כלשהי, אלה מביניכם החזקים יותר באמונה צריכים לעזור לו לשוב לדרך הנכונה, בעדינות ובענווה, ואל תשכחו שבפעם הבאה אתם בעצמכם עלולים להיות בצד הנכשלים.
3006020055	השתתפו איש בבעיות רעהו, כפי שביקש מאיתנו המשיח.
300603009b	מי שחושב שהדבר הוא למטה מכבודו אינו אלא גאוותן; מי שחושב את עצמו ל”מישהו“הוא לא כלום.
30060400ba	כל אחד יעשה את שלו על הצד הטוב ביותר, כי אז יהיה לו סיפוק מעבודתו הטובה, ולא יצטרך להשוות את עצמו לאחרים.
3006050048	כל אחד מאיתנו חייב לקחת אחריות על מעשיו.
300606007f	אלה שלומדים את כתבי־הקודש צריכים לעזור למוריהם ולתמוך בהם כפי יכולתם.
30060700ad	אל תחשבו שאתם יכולים להתל באלוהים, שהרי הוא יודע בדיוק מי אתם ומה אתם. כל אחד קוצר את מה שהוא זרע.
300608010b	מי שזרע זרעים של רוע ושחיתות יקצור בבוא הזמן מוות, הרס וכליון. אולם מי שזרע את הזרעים המשובחים של רוח הקודש יקצור בבוא הזמן חיי נצח – מתנת רוח הקודש.
30060900ac	הבה נמשיך לעשות את הטוב בלי להרפות, כי מובטח לנו שאם לא נתייאש נראה בבוא הזמן ברכה רבה בעבודתנו.
30060a0071	לכן עלינו להתנהג יפה תמיד עם כל אדם, ובמיוחד עם אחינו המאמינים.
30060b0154	לסיכום: האנשים שמנסים לשכנע אתכם לקיים ברית־מילה עושים זאת מסיבה אחת בלבד: הם יודעים היטב שאם יודו כי ישוע הוא המשיח, יהיה עליהם לסבול למענו. אבל אין הם רוצים לסבול ולאבד את הצלחתם החברתית.
30060d00fd	אנשים אלה מקיימים את המילה, אך אינם שומרים בעצמם את חוקי התורה; הם רוצים שתקיימו את ברית־המילה רק כדי שיוכלו להתפאר בכוח־השפעתם ובעליונותם.
30060e010f	אני עצמי מתפאר אך ורק בצלב ישוע המשיח. הודות לצלב כבר אין לי עניין בשום דבר שקשור להנאות העולם הזה ולפיתוייו. וזה זמן רב כבר שלעולם הזה אין כל עניין בי.
30060f00e6	עתה, כשאנו מאמינים בישוע המשיח, כלל לא חשוב אם עשינו ברית־מילה או לא. מה שחשוב הוא אם באמת אפשר לראות שאופיינו השתנה לטובה אם לא.
300610007b	שלום ורחמים מאת אלוהים לכל השייכים לאלוהים והשומרים על העיקרון הזה.
3006110113	אני מבקש מכם שמעתה ואילך לא תטרידו אותי בוויכוחים נוספים בנושא זה, שכן גופי מלא צלקות וחבורות, שגרמו לי אויבי המשיח, המשמשים לי סימנים של עבד ישוע המשיח.
3006120067	אחים יקרים, יהי רצון שחסד ישוע המשיח יהיה עם כולכם. – אמן.
3100000022	אֶל־הָאֶפְסִיִּים
31010100d2	מאת פולוס, שליחו של ישוע המשיח לפי רצון אלוהים. אל כל המאמינים המשיחיים, הנאמנים והקדושים, אשר נמצאים ‎ בְּאֶפֶסוֹס.
310102005d	חסד ושלום לכם מאת האלוהים אבינו וישוע המשיח אדוננו.
31010300b7	אנחנו מברכים את האלוהים, אבי אדוננו ישוע המשיח, אשר ברך אותנו בכל ברכות השמים בזכות השתייכותנו למשיח.
31010400b9	עוד לפני שברא אלוהים את העולם הוא בחר אותנו בזכות המשיח, כדי לקדשנו ולהעמידנו לפניו ללא כל חטא או דופי.
3101050075	באהבתו הרבה ומרצונו הטוב הוא אימץ אותנו לבניו על־ידי ישוע המשיח.
31010600b6	כל הכבוד, התהילה והשבח לאלוהינו על טוב־לבו וחסדו, ועל הברכות שברך אותנו בזכות השתייכותנו לבנו האהוב.
31010700a5	אלוהים הוא טוב ורחמן כל־כך, עד שגאל אותנו מחטאינו, במחיר דמו של המשיח, וסלח לנו על כל פשעינו.
310108004d	וכל זאת הוא נתן לנו ברוחב־לב, בחכמה ובהבנה.
3101090098	אלוהים גילה את מטרתו הסודית והנעלה בשליחת המשיח, תוכנית שבחר ברחמיו עוד לפני זמן רב.
31010a0085	וזוהי המטרה: בהגיע הזמן המיועד הוא יאסוף את כולנו מכל מקום, מהארץ ומהשמים.
31010b00dc	לפי תוכניתו הנדיבה הכין לנו אלוהים נחלה במשיח. עוד מבראשית הוא בחר בנו להיות שלו, והכול מתרחש בדיוק כפי שהחליט מאז ומעולם.
31010c00e6	אלוהים עשה זאת כדי שאנו, שהיינו המאמינים הראשונים במשיח, נשבח ונפאר את שמו, וניתן לו כבוד על שעשה למעננו את הדברים הנפלאים האלה.
31010d00f2	גם אתם, ששמעתם את הבשורה אחרינו והאמנתם במשיח, נושעתם ונחתמתם כשייכים למשיח, באמצעות רוח הקודש אשר הובטח לכל המאמינים עוד לפני זמן רב.
31010e0137	נוכחותו של רוח הקודש בתוכנו היא הערובה שאלוהים באמת יעניק לנו כל מה שהבטיח, וחותם הרוח בנו פירושו שאלוהים קנה אותנו ויביאנו אליו. זוהי סיבה נוספת לנו לפאר ולשבח את אלוהינו.
31010f009d	משום כך, מאז ששמעתי על אמונתכם החזקה באדון ישוע, ועל אהבתכם למאמינים המשיחיים בכל מקום,
310110012d	לא חדלתי להודות לאלוהים עבורכם. אני מתפלל בעדכם כל הזמן; אני מבקש מאלוהי אדוננו ישוע המשיח, מאבי הכבוד, שיעניק לכם רוח חכמה, כדי שתראו ותבינו מיהו המשיח ומה עשה למעננו.
3101120102	אני מתפלל שאורו יציף את לבבכם ושעיניכם תיפקחנה, למען תוכלו לראות ולדעת מהי הקריאה שהועיד לכם, ומה עשירות ונפלאות הן הברכות שהבטיח למאמינים בו.
3101130130	אני מתפלל שתבינו מה עצום הכוח שהעמיד אלוהים לרשות המאמינים בו; הוא העמיד לרשותנו את אותו הכוח העצום, אשר הקים את המשיח מן המתים והושיבו במקום הכבוד לימין האלוהים בשמים,
31011500bc	מעל לכל מלך, שליט או מנהיג. כן, כבודו גדול, מלא־הדר ורב־רושם יותר מזה של כל אחד אחר בעולם הזה או בעולם הבא.
3101160058	אלוהים שם לרגליו את הכול, ומינה אותו לראש הקהילה,
3101170049	אשר היא גופו ואשר מלאה במי שממלא את הכול.
3102010075	פעם הייתם מתים באופן רוחני; הייתם תחת קללת האל בגלל מעשיכם הרעים.
31020200e2	חייתם לפי דרך־החיים של העולם הזה ושמעתם לקול השטן, שהוא השליט הרשע של הרוחות הרעות, והפועל עדיין בכל כוחו באנשים המורדים בה׳.
310203010c	כולנו חיינו בעבר בצורה כזאת. אורח־חיינו ביטא את רוע לבנו וכניעתנו לתשוקותינו ותאוותינו. נולדנו בעלי טבע מושחת, והיינו תחת זעם אלוהים כשאר בני־האדם.
3102040057	אבל אלוהים הוא אב מלא רחמים! הוא אהב אותנו כל־כך,
3102050105	עד כי למרות שהיינו מתים (באופן רוחני) ואשמים בעיניו בגלל חטאינו, הוא החזיר אותנו לחיים כשהקים לתחייה את המשיח – זכרו שנושענו רק בזכות חסדו הרב –
310206005a	והעלה אותנו מהקבר עם המשיח, כדי שנשב איתו במרומים.
3102070099	כך הוא מראה לכל הדורות הבאים את רוחב־לבו, טובו וחסדו הנפלא, שביטא כלפינו בישוע המשיח.
31020800db	נושעתם בזכות חסדו וטוב־לבו, על־ידי אמונתכם במשיח. כל זאת אינה שלכם; זוהי מתנתו של אלוהים, ואין היא תלויה בשום מעשה שעשיתם.
31020900b2	איננו יכולים להתפאר בישועה זאת, שכן איש מאיתנו לא הרוויח אותה! אלוהים נתן לנו את הישועה הזאת במתנה.
31020a00bb	אלוהים עצמו עשה אותנו כפי שאנחנו עכשיו; הוא בחר בנו בישוע המשיח כדי שנעשה מעשים טובים, לפי תוכניתו מקדם.
31020b0084	אל תשכחו שנולדתם”ערלים“, ואלה אשר נימולו בידי אדם הם כינו אתכם”ערלים“.
31020c00ee	באותה עת הייתם רחוקים מהמשיח, ונחותים מעם ישראל בחיר האלוהים; לא הייתה לכם כל זכות לבריתות ההבטחה, לא הייתה לכם תקווה ולא היה לכם אל.
31020d00d9	אבל עכשיו אתם שייכים לישוע המשיח, ולמרות שפעם הייתם רחוקים מאלוהים, כעת אתם קרובים אליו בזכות דמו של המשיח שנשפך למענכם.
31020e00c9	כי המשיח עצמו הוא שלומנו; הוא השכין שלום בינינו היהודים לביניכם הגויים, כשהרס את המחיצה בינינו ועשה משנינו אחד.
31020f01f9	על־ידי מותו שם המשיח קץ לשנאה ולאיבה שהייתה בינינו – איבה שנבעה מכך שחוקי התורה היו לטובת היהודים ולא כללו את הגויים – כי המשיח מת כדי לבטל את שיטת חוקי התורה. ואז הוא לקח את שתי הקבוצות שהתנגדו זו לזו ועשה מהן גוף אחד. כך הוא מיזג אותנו יחדיו ויצר מאיתנו אדם אחד חדש, וכך עשה שלום.
31021000e3	כאיברים של גוף אחד, נעלמה האיבה שהייתה בינינו, כי המשיח שם קץ לאיבה המתמדת בינינו וריצה אותנו לאלוהים בהקריבו את עצמו על הצלב.
31021100a0	ואז הוא בישר את בשורת השלום לכם, הגויים, שהייתם רחוקים ממנו, ולנו, היהודים, שהיינו קרובים.
310212009a	עתה באמצעותו ובזכותו יכולים כולנו, יהודים וגויים, לבוא אל אלוהים האב בעזרת רוח הקודש.
31021300bd	אם כן, עתה אינכם זרים ונחותים, אלא בני־משפחתו של אלוהים ואזרחים בממלכת אלוהים, יחד עם כל המאמינים האחרים.
310214008e	אתם בנויים על היסודות שהניחו השליחים והנביאים, וישוע המשיח עצמו הוא אבן הפינה.
3102150095	אנחנו, המאמינים, מחוברים אל המשיח ואיש אל רעהו בהתאמה, וכולנו מהווים היכל קודש לה׳.
3102160081	גם אתם מחוברים אל המשיח ואיש אל רעהו, ומהווים משכן לרוח הקודש של אלוהים.
3103010062	אני, פולוס, עבד ישוע המשיח, נמצא כאן בבית־הסוהר בגללכם.
3103020151	אתם ודאי יודעים שאלוהים הטיל עלי את המשימה המיוחדת להראות לכם, הגויים, את חסדו, כפי שכבר ציינתי בקצרה באחד ממכתבי. אלוהים עצמו גילה לי את תוכניתו הסודית האומרת שגם הגויים כלולים בחסדו זה.
310304006c	אני מספר לכם את כל זאת כדי שתבינו כיצד אני יודע את סוד המשיח.
31030500ab	בדורות הראשונים הסתיר אלוהים מעמו את הסוד הזה, אך עתה גילהו לשליחיו ונביאיו באמצעות רוח הקודש.
3103060152	זהו הסוד: על־ידי הבשורה היהודים והגויים הם יורשים שווים של העושר המיועד לבני־האלוהים; הם חברים שווי־זכויות בקהילת האלוהים, ושותפים בהבטחותיו שניתנו על־ידי המשיח לכל המאמינים בו (במשיח).
31030700c3	אלוהים העניק לי את הזכות הנפלאה לספר לכולם על אודות תוכניתו זאת, ונתן לי את הכישרון והיכולת לעשות זאת כהלכה.
31030800e9	אכן, לי, הצעיר מכל המאמינים, העניק אלוהים את הזכות והחסד לבשר לגויים את הבשורה של עושר המשיח – עושר שהוא מעל ומעבר לכושר הבנתנו –
3103090092	ולהסביר לכל האנשים שאלוהים הוא גם מושיעם של הגויים, כפי שבורא־הכול תכנן מבראשית.
31030a00ee	מדוע? כדי שכל הכוחות, השרים והשליטים אשר בשמים יראו את חכמתו הנפלאה של אלוהים, וכל בני־משפחתו, יהודים וגויים, ייראו מאוחדים בקהילתו,
31030b0057	בדרך שבה תמיד תכנן זאת על־ידי ישוע המשיח אדוננו.
31030c00af	עתה אנו יכולים לבוא ישר אל נוכח האלוהים, ללא חשש ובטוחים שישמח לבואנו, בזכות אמונתנו בישוע המשיח.
31030d0060	לפיכך אל תדאגו על סבלי למענכם אלא התעודדו והתגאו בכך!
31030e0087	בחשבי על תוכנית נפלאה זאת אני כורע ברך לפני האלוהים, אבי אדוננו ישוע המשיח,
31030f0048	אשר על שמו נקראו כל המשפחות בארץ ובשמים,
31031000a7	ואני מתפלל שבאמצעות רוח הקודש הוא יעניק לכם כוח וגבורה פנימיים מתוך אוצרו הנהדר והאין־סופי.
3103110078	אני מתפלל שהמשיח באמת ישכון בלבבכם על־ידי אמונתכם ושתתחזקו באהבה,
31031200a5	כדי שתוכלו לתפוש ולהבין, יחד עם שאר המאמינים, עד כמה עצומה, רבה, עמוקה וחובקת היא אהבת המשיח,
31031300a3	וכדי שתתנסו בעצמכם באהבה נפלאה זאת, שהיא מעל ומעבר להבנתנו. וכך תימלאו כולכם באלוהים עצמו.
3103140099	אלוהים יכול להרבות את חסדו אלינו, ולפעול בנו מעל ומעבר למה שאנו מסוגלים לתאר או לבקש.
3103150081	כל הכבוד והתהילה לאלוהים בקרב המאמינים ובישוע המשיח, לדור ודור עד עולם.
31040100b7	כאסיר האדון אני מתחנן לפניכם שתחיו ותתנהגו בדרך ההולמת את אלה שנבחרו להתברך בכל הברכות הנפלאות האלה.
310402007a	היו ענווים ואדיבים; התייחסו בסבלנות זה אל זה, וסלחו איש לאחיו באהבה.
3104030066	שאפו לשמור על אחדותכם ברוח הקודש, וחיו בשלום איש עם רעהו.
310404007f	כולנו איברים של גוף אחד, לכולנו רוח אחד, וכולנו נבחרנו לאותו עתיד נפלא.
3104050044	לכולנו אדון אחד, אמונה אחת וטבילה אחת.
3104060056	לכולנו אל ואב אחד שהוא מעל לכל, נמצא בכל וחי בכל.
31040700a5	ובכל זאת, המשיח העניק לכל אחד מאיתנו מתנות וכישרונות שונים ומיוחדים, מתוך עושרו ולפי רצונו.
31040800ae	על כך אומרים הכתובים שכאשר עלה המשיח לשמים, לאחר תחייתו מהמתים, הוא שבה שבי ונתן מתנות לבני האדם.
310409008d	שימו לב שכתוב”עלה לשמים“! משמע שקודם לכן הוא ירד ממרומי השמים אל תחתיות הארץ.
31040a00a0	זה שירד אלינו הוא זה שעלה השמימה כדי למלא באישיותו את הכול, מתחתיות הארץ עד למרומי השמים.
31040b0166	הוא העניק לבני־האדם מתנות שונות: לאחדים העניק את היכולת להיות שליחיו, לאלה העניק את היכולת להיות נביאים, ולאלה העניק כישרון מיוחד לבשר את הבשורה, או כושר מנהיגות והדרכה לפי דבר ה׳ וכישרון ללמד היטב.
31040c00e4	לשם מה העניק לנו המשיח את המתנות והכישרונות הללו? כדי שבני־אלוהים יוכלו להיטיב לשרתו בשעה שהם בונים את הקהילה, שהיא גוף המשיח,
31040d009a	עד שנגיע כולנו כאחד לאמונה, בגרות והבנה של מושיענו בן האלוהים – עד שנתמלא כליל במשיח.
31040e009f	וכך מעתה ואילך לא נשנה את דעתנו בנוגע לאמונתנו; לא ניכשל ולא נרומה על־ידי רמאים ובדחנים,
31040f0074	אלא נאמר את האמת באהבה, ונגדל באמונתנו במשיח אשר הוא ראש־הקהילה.
3104100117	בהנהגתו של המשיח מחוברים כל איברי הגוף זה לזה, וכל איבר עוזר למשנהו לבניית הגוף, לפי מידת הכוח שניתן לו, כך שכל הגוף צומח לבניין אחד מלא אהבה – בניין המשיח.
310411009b	בשם האדון אני אומר לכם: אל תשובו לחיות כמו הלא מאמינים, כי הם הולכים אחרי טיפשות שיכלם.
31041200c9	בגלל טיפשותם הם בורים וחסרי־דעת בכל הנוגע לחיי אלוהים; הם אינם מבינים את דרכו של אלוהים, כי הם חיים בחשכה ובחטא.
310413007f	הם איבדו כל רגש בושה, והפקירו את עצמם לתאוות בשרם ולכל מעשה זימה ומרמה.
310414002e	אבל לא כך לימד אתכם המשיח!
3104150059	אם באמת הקשבתם לקולו והבינותם את האמת שלימד אתכם,
3104160081	אזי עליכם לסור מדרככם הישנה ומהרגליכם הקודמים, שהיו זימה, תאווה ורמייה,
310417004a	ולחדש את מחשבותיכם וגישתכם לדברים שונים.
