0100000009	Kutendeka
110203012e	kabili likolo abiike bandabukizi mu biputu bya kyalo bya mu bukolo bwakue, evi bakolonghanie babinundue bonse baweme ni kubatwala ku Susani, muzi ukata wa kyalo mu nghanda ya banakazi, kuti basungue na Hegai lisai mubombi wakua likolo aliwasunga banakazi, kabili bapeelue ni bintu bya kwifwaniziiziako.
1102040091	Ni kinundue alikumuwamina likolo i alikwaluka nabeeza pa kifuka kyakua Washti.” Kako keebo kaamuwaamiine likolo, ni ye waakitile mubaamwaniine.
1102050099	Mu Susani, muzi ukata wa kyalo, mwaali ni Muyuda umo wa mu mukowa wakua Benyamina liina lyakue Mordekai mwina Yairi, Yairi mwina Simei, Simei mwina Kisi,
1102060088	Ozo waatwaminiinue mu bakakua bange kufuma ku Yeruzalemu pamo ni Yekonia likolo wa Bayuda, waatwemue na Nebukadneza likolo wa ku Babeli.
11020700d3	Mordekai i waakuziizie Hadasa, aliwakuutua Esta, mwana mwina mwinzio ye, pantu nghina ni se baali basyafwile. Ni ye waali ni mibeele iweme ni lukebu luweme. Mordekai waamutweme Esta ni kumusunga nga mwana wakue.
11020800e8	Kupwako, mizilo yakua likolo luyaapundilue, babinundue bengi baatwelue ku Susani, muzi ukata wa kyalo, kuti basungue na Hegai. Esta ni ye waingiziiziwe mu nghanda mwa Likolo asungue na Hegai waali wali mukulu wa nghanda ya banakazi.
110209012a	Hegai lu-aawamiinue na Esta, taakokwele kubamba kumupeela mafuta a kwifwaniziiziako ni bilio biwamiisie, kabili waamupeele ni babombi banakazi kilooba baafumine kuli likolo. Esta waakuusiiziiziwe pa inge nkendo iwamiisie mu nghanda ya banakazi pamo ni babombi bakue kilooba bakuti baye bamubombela.
11020a004d	Inzi Esta taababwilile mutundu ni mukowa wakue pantu Mordekai waamukaaniizie.
11020b007d	Kubalua busiku, Mordekai waali waienziizia pa musolo wa nghanda ya banakazi kuti amane vili Esta, ni kumana kilikumukitikila.
11020c0123	Musita wa kwifwanizia babinundue waali wa myezi lyanondo ni ibili. Myezi mutanda yaali ya kwifwanizia na mafuta a manemane, ni myezi mutanda yaali ya kwifwanizia na mafuta a manukato pamo ni ange mafuta alekeneene a kwifwaniziiziako, ntanzi ya kutwalua kinundue umo umo kuli likolo Ahasuero.
11020d0091	Pa kyamba, kusyali kubalua kinundue aye waya watweme kubalua kantu ka-atona kutwama mu nghanda ya banakazi, evi aye nako ku nghanda yakua likolo.
11020e016a	Kubalua kinundue waali wapeelue nsambu ya kuya kwingila musita wa kyungulo, ni lukeelekeele kinundue waali wafuma ni kuya ku inge nghanda ya banakazi kuti aye asungue na Sasagazi lisai mubombi wakua likolo, musungi wa bakazi banike bakua likolo. Kinundue taali kabili na nsambu ya kwingila mu nghanda yakua likolo, inga sie kine likolo wamutonanga, mane akuutue.
11020f013a	Lwaakumeene musita wa kwingila Esta mwina Abihaili mwinzio ye kwa Mordekai, ozo mukazyana Esta waasungilue na Mordekai nga mwana wakue, wene taalombele kange kantu inga sie belia bi-aateaniiziiziwe na Hegai lisai mubombi wakua likolo mukulu wa nghanda ya banakazi. Esta waamwenekele wafwaniine ku bonse baamumwene.
1102100087	Evi, Esta waatwelue kuli likolo Ahasuero mu nghanda ya bukolo mwezi wa lyanondo, i mwezi wa Tebeti, mwaka wa kilooba mu buteeko bwakue.
11021100cf	Likolo waamutoneesie Esta kukila banakazi bonse, ni ye waitabiilue ni kupeelua buwame kukila babinundue bonse. Kupwako, wamuvwika kiteebo kya bukolo ku mutue wakue, wamwalula nabeeza pa kifuka kyakua Washti.
11021200f2	Likolo waatebetele babiloolo ba mu bukolo bwakue pamo ni babombi bakue bonse, ni azo matebeto aali palwakua Esta. Waabaanine bantu ba mu biputu bya kyalo byonse batuuzie, kabili waabapeele ni bilambu mu aatoneene mu buntu bwakue bwa bulikolo.
110213006b	Babinundue lubaakolonghaniiziwe lya bubili, Mordekai waali waikeele pa nghingililo ya nghanda yakua likolo.
11021400a9	Esta waali tanalande kantu palua mutundu ni mukowa wakue, nga mu-aalailue na Mordekai, pantu Esta waali wamunakiile Mordekai nga vi-aali wamunakila lu-aali wakisungilue.
11021500eb	Pa ozo musita Mordekai lu-aali waikeele pa nghingililo ya nghanda yakua likolo, babilipo pa bamasai babombi bakua likolo, Bigtana ni Teresi, bakalinda ba pa mulyango, baafiitilue ni kutendeka kumukambila likolo Ahasuero kuti bamwipaye.
1102160085	Mordekai lu-aunvwile ozo mulandu, waamubwilileko nabeeza Esta, ni ye waatwele ezio mpunda kuli likolo nga mu-aabwiliilue na Mordekai.
11021700bf	Lubaatoosiizie ozo mulandu ni kusanga nangue ni kisinka, balia bamasai babili baakulikilue ku kimuti. Keki kyaakitikile, kyaalembelue ntanzi yakua likolo mu kitabu kya bintu byaali byakitika.
110301008e	Pa kyamba kya bebi bintu, likolo Ahasuero waamupeele Hamani mwina Hamedata Muagagi, buvinde bwa pa muulu ni kumwalula mukulu wa babombi nakue.
11030200af	Babiloolo bonse bakua likolo baali pa musolo wa nghanda yakua likolo, baafwineeme ni kumukindika Hamani, pantu i mwaalandiile likolo, inzi Mordekai taafwineeme ni kumukindika.
1103030089	Babiloolo bakua likolo baali pa musolo wa nghanda yakua likolo, baamwipuziizie Mordekai, “Ale we uliwatyonenaki mizilo yakua likolo?”
11030400a9	Kubalua busiku lubaali bamwana evio tekuba waunvua, baamubwilile Hamani, evi bamone kine mapange akua Mordekai alikutwalilila, pantu waali wabaana nangue wene ni Muyuda.
110305005d	Ni kiine Hamani lu-aamwene Mordekai tekuba wafwinama ni kumukindika, waunvwile kipuki kikata.
11030600cc	Inzi taatonene sie kulovia Mordekai bunke, pantu waali wasyamanine mukowa wakua Mordekai. Ni pakako, Hamani waatonene kulovia Mordekai pamo ni Bayuda bonse baali baikeele mu bukolo bwakua likolo Ahasuero.
11030700e5	Mu mwezi wa mambo, i mwezi wa Nisani, mwaka wa lyanondo ni ibili mu kuteeka kwakua likolo Ahasuero, kubalua busiku ni kubalua mwezi, baali bateyamo bubale ntanzi yakua Hamani mpaka mu mwezi wa lyanondo ni ibili, i mwezi wa Adari.
1103080135	Hamani waamwanine likolo Ahasuero nangue, “Kuli mukowa umo wa bantu basalanghaniine mu mikowa ya mu biputu bya kyalo bya mu bukolo bobe, bali ni mibeele yabo ilekenkeene ni mibeele ya kubalua mukowa, kabili baba bantu balimukukaana kunakila mizilo yakua likolo. Ni pakako, likolo tapalile kubonvwila nkumbu.
110309009f	Kine likolo wawaminua, kilembue nangue, ‘Baloviiwe.’ Ni babo baakabalovia naakabapeela talanta ya mutofue nfu lyanondo bakabiike mu kipao kyakua likolo.”
11030a0080	Likolo i lu-aavuulile kazele ka kusyusyutilako ka ku munue wakue, ni kumupeela Hamani mwina Hamedata Muagagi, mulwani wa Bayuda.
11030b006d	Kupwako, likolo wamwana Hamani nangue, “Sunga nfolanga yobe, kitila bantu bobe nga mu utoneene we mwine.”
11030c01a3	Pa kyamba kya nsiku lyanondo ni itatu ya mwezi wa mambo, bakalemba bakua likolo baakuutilue na Hamani. Waabanine balembe mpapulo ya kutwala ku ndabukizi ya biputu bya kyalo bya mu bukolo bwakua likolo Ahasuero, ni ku bange bakulu balekenkeene. Kubalua kiputu kya kyalo kyaalembeelue mubeeleele nembelo yabo, ni kubalua bantu baalembeelue mu lulimi lwabo. Kubalua lupapulo lwaasyusyutiluepo kazele kakua likolo Ahasuero.
11030d014f	Mikenzi yaatwele mpapulo mu biputu bya kyalo byonse bya mu bukolo bwakua likolo Ahasuero, kuti babenoone Bayuda bonse, babepaye ni kubalovia, balumendo ni bakote, baana lukeke pamo ni banakazi pa busiku bumo, ni kubatwamina bunonsi bwabo bonse. Bobo bwaali busiku bwa lyanondo ni butatu mu mwezi wa lyanondo ni ibili, i mwezi wa Adari.
11030e00b1	Twebo twaali mu lwambu lwa mpapulo, twaali twaapalile kupundua kuba mizilo mu kubalua kiputu kya kyalo, evi bantu ba ntundu yonse babwilue kuti baye baiteaniizie pa bobo busiku.
11030f00c9	Mikenzi teyaakokwele kuya nga muya-aniinue na likolo. Mpunda yaatwelue mu Susani, muzi ukata wa kyalo. Likolo Ahasuero pamo ni Hamani baikeele ni kubamba kumina divai. Inzi muzi wa Susani waatoobokele.
11040100a1	Mordekai lu-aunvwile byonse byaakitikile, waakaatile ngubo yakue, wavwala masaaka ni kwipuupa mito. Waabambile kupita mu muzi wa-angwile walimukulila na kikonko.
110402007c	Waile kufika mpaka pa mulyango wa nghanda yakua likolo, pantu muntu avwele maasaka taali waitabiziiziwe kwingila mwa likolo.
11040300cd	Kubalua kiputu kya kyalo mwaatwelue mpunda ya mizilo yakua likolo, Bayuda baalimo baingiile mu malilo akata ni kuizilika bilio. Bengi pakati kabo baalosiizie ni kulila, baaleele pa masaaka baipuupile mito.
11040400c5	Babombi banakazi ni balalume, bamasai bakua Esta, lubaile kumubwila Esta palwakua Mordekai, Esta waamunvwiliile nkumbu. Waabapeele ngubo bamutwalile Mordekai evi avuule masaaka, inzi wene waakeene.
11040500ae	Kupwako, Esta wamukuuta Hataki umo wa pa babombi bamasai bakua likolo waali wamubombela Esta, wamutuma kuli Mordekai aye amwipuzie kine kuli bwaviaki, ni kilengiizie ni kiki.
110406005e	Ni Hataki waile kumonana ni Mordekai pa musolo wa muzi pa nghingililo ya nghanda yakua likolo.
110407008c	Mordekai waamwanine byonse byaamukitikiile, ni kipendo kya nfolanga yaalaile Hamani ya kubiika mu kipao kyakua likolo kuti Bayuda baloviiwe.
11040800fd	Kabili waamupeele ni lwambu lwa mpapulo ya mizilo lulembeluepo mpunda ya kulovia Bayuda, ezio yaapundilue ku Susani, muzi ukata wa kyalo, evi aye amulange Esta, ni kumubwila bi ayanga kumona. Kabili amwane Esta aye kuli likolo apaapaatileko bantu bakue.
110409003c	Kupwako, Hataki waya kumwana Esta mwa-aninwanga na Mordekai.
11040a0038	Kabili Esta waatumine Hataki aye amwane Mordekai nangue,
11040b0170	“Babiloolo bonse bakua likolo ni bantu bonse bekeele mu biputu bya kyalo bamanine nangue kukonkana ni mizilo, kubalua muntu, mwalalume ao mwanakazi waakengila mu musolo wa mukati wa nghanda yakua likolo tekuba wakuutilue, waakeepawa, inga sie olia waakoolwelua kabango ka oro, i waakasyala wakosele. Ni nene wenka nsisyapwile nsiku anondo atatu pasili kukuutuako.”
11040c0029	Mordekai lu-aabwililue mpunda yakua Esta,
11040d0086	waabweziizie kapingu kuli Esta wamwana nangue, “Tekulangakana nangue we ulikupusuka pa Bayuda bonse pantu uli mu nghanda mwa likolo.
11040e00dd	Kine wewe teubalandiileko Bayuda pa ono musita, wakaba kuloba pamo ni lupua lwakua so, pantu tekuli amanine nangue pange i kyubeeleele nabeeza pa mulandu wa musita nga ono, inzi Bayuda bene kuti bapusuka mu nzila inge.”
11040f005d	Hataki lu-aapwile kulanda na Esta, Esta ni ye waamubweziizie kuli Mordekai aye amwane nangue,
1104100128	“Endo ukolonghanie Bayuda bonse bali ku Susani ni kubaana bezilike pa mulandu wane. Bezilike nsiku itatu busiku ni koba pasili kulia ni kumina, ni nene pamo ni babombi bane tulikuizilika evelia vyenka. Pa kyamba, mane ngie nghingile kuli likolo anzia kine nsipeelue nsambu, kine kufua, nfue.”
1104110036	Kupwako, Mordekai waya kukita nga mwa-aniinue na Esta.
11050100fb	Pa kyamba kya nsiku itatu ya kuizilika, Esta waavwele ngubo yakue ya bukolo ni kuya kwimana pa musolo wa mukati wa nghanda yakua likolo wakentele lya ku nghanda yakua likolo. Likolo waali waikeele mu kitebe kyakue kya bukolo wakentele lya ku mulyango.
110502009b	Likolo lu-aamwene nabeeza Esta waimeene pa musolo, waawamiinue ni kumuolwela kabango ka oro kaali kali mu minue yakue. Kupwako, Esta wapalama ni kukumiako.
1105030079	Likolo waamwipuziizie nabeeza, “Ulimukukebaki? Utoneneki? Anzia kine ulikulomba nsempu ya bukolo bwane ndikukupeela.”
1105040068	Esta wa-asukile evi, “Kine likolo wawaminua, eze lelo pamo ni Hamani ku matebeto anamuteaniizyanga.”
11050500ab	Likolo wa-anine babombi bakue nangue, “Endo mumwane Hamani alenge eze evi tukite nga mutoneene Esta. Ni kiine likolo pamo ni Hamani baile ku matebeto ateaniizie Esta.”
11050600a9	Lubaali balimukumina divai, likolo waamwanine Esta, “Nghane ki-ulimukukeba, ni kyonse ki-ulikulomba, ndikukupeela. Anzia kine ni nsempu ya bukolo bwane ulikupeelua.”
1105070043	Esta waalandile evi, “Kandimukukeba ni kantonene kulomba ni kaka,
11050800e3	‘Kine ngitabilue na likolo, kabili kine awaminue kun'mpeela kandikulomba, ni kukita muntoneene, nalomba likolo pamo ni Hamani bakabe kwiza ku matebeto anakaba kubatebeta lukeele. Mane nkabe kumwana likolo kandimukukeba.’”
11050900ba	Bobo busiku Hamani waafumine wawamiinue ni nsansa mu mutima. Inzi Hamani lu-aamwene Mordekai pa mulyango wa nghanda yakua likolo, waamufiitiilue pantu Mordekai taimeene ni kumufwinamina.
11050a0082	Anzia kyaali evio, Hamani waasipikiziizie. Kupwako, waya ku nghanda yakue, ni kukuuta babibuza bakue pamo ni mukazi wakue Zereshi.
11050b00b7	Hamani waabambile kubetankila palua bulumba bwa bunonsi bwakue, ni bwingi bwa baana bakue, ni byonse bi-aakitiilue na likolo, pamo ni vi-a-alwilue mukulu pa bakindami ni pa babiloolo.
11050c00d2	Kabili Hamani waatwaliliile kulanda nangue, “Nabeeza Esta takikupa muntu unge wa kuya pamo ni likolo ku matebeto a-akiba wateaniizie, inga sie nene, evi ni lukeele nkupilue pamo ni likolo ku matebeto ange.”
11050d0087	Hamani waalandile evi, “Anzia kili evio, nsizi kuwaminua lundinamona Mordekai Muyuda waikeele pa mulyango wa nghanda yakua likolo.”
11050e0143	Zereshi mukazi wakue pamo ni babibuza bakue bonse baamwanine Hamani nangue, “Tuma bantu bateanie kimuti kileepele metre 25, ni lukeele lukeelekeele ukabe kumwana likolo nangue Mordekai akulikueko, evi ukaye wawamiinue pamo ni likolo ku matebeto.” Hamani waawamiinue na kako keebo, ni kutuma bantu bateanie kekio kimuti.
11060100a0	Bobo busiku likolo taaonene tulo, wa-anine mubombi amuleetele kitabu kyaali kyalembeluemo bintu byaali byakitika pa musita wakuteeka kwakue, kuti bamubelengele.
11060200c0	Lubaabelengelemo, kyaamwenekele nangue Mordekai i waasongeele bamasai, Bigtana ni Teresi, balia babombi babili ba pa mulyango wa nghanda yakua likolo baali bakambila kumwipaya likolo Ahasuero.
11060300a5	Likolo waipuziizie babombi nangue, “Mordekai waapeelue mukinziki, ao kilambuki pa bebio bi-aakitile?” Babombi bakue ba-asukile nangue, “Tepali ka-akitiilue.”
11060400c0	Likolo waipuziizie evi, “Papa pa musolo pali ni?” Ozo i musita waali waingila Hamani pa musolo wa nghanda yakua likolo kuti alanzyanie nakue evi bamukulike Mordekai ku kimuti ki-akiteania.
1106050077	Babombi bakue baamwasukile nangue, “Pali sie Hamani i emeene pa musolo.” Likolo waalandile evi, “Mwane engile.”
11060600df	Kupwako, Hamani waingila. Likolo waamwanine nangue, “Kuli ni muntu undimukukeba kukindika. Ndikumukitilaki?” Hamani waalandile mu mutima mwakue nangue, “Kubako kuli ni unge apalile kukindikua na likolo kukila nene?”
1106070047	Hamani wa-asukile evi, “We likolo, ozo muntu u ulimukukeba kukindika,
1106080099	aleetelue ngubo ya bukolo yaali yavwaluako na likolo ni farasi waali waseluapo na likolo mwine, ni ozo farasi aye wavwikilue kiteebo kya bukolo ku mutue,
1106090140	ni elia ngubo pamo ni olia farasi bipeelue umo akindamiisie pa babombi bakulu bakua likolo, kuti amuvwike olia muntu likolo u alimukukeba kukindika, kabili aseziiwe pa farasi ni kumupisia mu musebo ukata wa mu muzi walimukupunda ku ntanzi yakue nangue, ‘Evi, i vyakukitilua olia muntu likolo u akebele kukindika.’”
11060a00ce	Kupwako, likolo wamwana Hamani, “Ale lenga utwame ngubo pamo ni farasi nga muwalandila, umukitile Mordekai Muyuda ekeele pa mulyango wa nghanda yakua likolo pasili kusiapo ata kamo pa byonse biwalanda.”
11060b00ed	Hamani i lu-aabuulile ngubo pamo ni farasi, wamuvwika Mordekai elia ngubo, wamusezia pa farasi, ni kumupisia mu musebo ukata wa mu muzi walimukupunda ku ntanzi yakue nangue, “Evi i vyakukitilua olia muntu likolo u-atonene kukindika.”
11060c00b0	Kupwako, Mordekai wabwela pa mulyango wa nghanda yakua likolo. Inzi Hamani waile lubilo ku nghanda yakue waivimbiliile ku mutue walimukulila waunvwile bulanda ni busoni bukata.
11060d0129	Hamani waamulondolweleele Zereshi mukazi wakue pamo ni benakue bonse palua bintu byonse byaamukitikiile. Kupwako, bantu bakue ba maano ni Zereshi mukazi wakue bamwana nangue, “Kine ozu Mordekai uwabamba kufwinamina ni wa mu mukowa wa Bayuda, kisinka we teukikamuvinda, inzi wene waakakulovia.”
11060e008c	Ni musita u baali bakilanda sie nakue evio, babombi bamasai bakua likolo baiza, ni kulenga kumutwala Hamani ku matebeto ateaniiziwe na Esta.
1107010043	Kupwako, likolo ni Hamani baya kulia matebeto pamo ni nabeeza Esta.
11070200e4	Lubaali balimukumina divai busiku bwa bubili, likolo waamwipuziizie kabili nabeeza Esta nangue, “Kiulimukulomba ni kiki? Nene ndikukupeela, Ni ki-ulimukukeba ni kiki? Nene ndikukupeela. Anzia kine ni nsempu ya bukolo bwane.”
1107030094	Nabeeza Esta waalandile nangue, “Kine ngitabilue na likolo, kabili kine awaminue kun'mpeela kandikulomba, nalomba n'mpususiiwe pamo ni bantu bane,
11070400e2	pantu nene pamo ni bantu bane tusisiiziwe kuti twinoonue, twipawe ni kuloviiwa. Kabenge nangue twakisisiiwa sie kuti tuye twali bazia, balalume ni banakazi, nga nakitalala sie. Pantu bwavia bwetu tebupalile kumwemia likolo.”
1107050069	Likolo Ahasuero waamwipuziizie nabeeza Esta nangue, “Ozo muntu aliwakambila kukita evio nani? Alipi?”
11070600ae	Esta wa-asukile evi, “Muntu alimukutukyuzia, kabili mulwani wetu, i ozu Hamani, muntu akilile kubiipa.” Kupwako, Hamani wamukenta likolo ni nabeeza waunvwile mwezo ukata.
11070700cc	Likolo waabuukile wafiitilue, wasia matebeto ni kuya mu bukaba bwa mu kipango. Inzi pantu Hamani wainikile nangue likolo wakeba kumwipaya, waasyele wamupaapaata nabeeza Esta amulandileko tekuti bamwipaye.
1107080146	Likolo lu-aabweleele ku nghanda ya matebeto, waamusangile Hamani waaponeene pansi walimukwivulunga lya palia paali paikeele Esta watambaleele. Likolo waalandile evi, “Ati emwe, ozu muntu alimukukeba kumubaka nabeeza pa ntanzi yane kono ku kipango?” Pa kyamba kya kako keebo kaalandile likolo, baamuvimbile Hamani pa menso.
11070900f8	Harbona umo wa pa babombi bamasai bakua likolo waalandile evi, “Mu nghanda mwa Hamani muli ni kimuti kileepele metre 25 ki-akiteania kumukulikako Mordekai waalandile twebo twa kupususia likolo.” Likolo waalandile evi, “Mukulikeko ye mwine.”
11070a006c	Penka papo bamukulika Hamani ku kimuti ki-akiteaniizia Mordekai. Kupwako, kipuki kyakua likolo kyatontoloka.
11080100c2	Bobo bwenka busiku, likolo Ahasuero waamupeele nabeeza Esta bintu byonse byakua Hamani mulwani wa Bayuda. Mordekai ni ye waile kuli likolo pantu Esta waamubwilile nangue Mordekai ni muntu wakue.
11080200bb	Likolo waavuulile kazele ka kusyusyutilako ka ku munue ka-aapokolwele kuli Hamani ni kumupeela Mordekai. Esta ni ye waamubiikile Mordekai kuba mukulu wa bintu byonse byaali byakua Hamani.
110803009f	Kabili Esta waapaapaatile kuli likolo, waponeene pa makasa akua likolo walimukulila walanda likolo afumiepo mapange abi akua Hamani Muagagi a kukambila Bayuda.
1108040077	Likolo waamuolweleele Esta kabango ka oro. Esta ni ye waabuukile ni kuya kwimana ntanzi yakua likolo ni kulanda nangue,
110805011a	“Kine likolo wawaminua, ni ne kine naitabilua, ni keebo kine kamuwamina, kabili kine wan'mona napalile, kulembue muzilo wa kuzilula muzilo waalembelue na Hamani mwina Hamedata Muagagi, muzilo ulandile palua kulovia Bayuda bonse bali mu biputu bya kyalo bya mu kyalo kyakua likolo.
1108060086	Kubako kuti navinda kusipikizia kumona busanzo pa bantu bane? Kubako kuti navinda kusipikizia kumona lupua lwane palulimukuloviiwa?”
11080700c0	Likolo Ahasuero wa-anine nabeeza Esta ni Mordekai Muyuda nangue, “Nene namupeela kale Esta bintu byonse byakua Hamani, ni ye wakulikua kale ku kimuti pantu wakikita mapange abi pa Bayuda.”
11080800fa	Kansi mwemue benka lembele Bayuda byonse bimutonene mu liina lyakua likolo, musyusyutepo ni kazele ka ku munue kakua likolo, pantu malembo alembelue mu liina lyakua likolo, ni kusyusyutuapo kazele ka ku munue kakua likolo, tekuli wakuvinda kwalulula.
1108090175	Pa busiku bwa 23 mu mwezi wa butatu, i mwezi wa Siwani, bakalemba bakua likolo baakuutilue kuli Mordekai kuti balembele Bayuda ni ndabukizi ya biputu bya kyalo 127 kufuma ku India mpaka ku Kushi. Kubalua kiputu kya kyalo kyaalembeelue mubeeleele nembelo yabo, kubalua bantu baalembeelue mu lulimi lwabo. Bayuda ni bo baalembeelue mubeeleele nembelo yabo ni mu lulimi lwabo.
11080a00e6	Mordekai waalembele mu liina lyakua likolo Ahasuero ni kusyusyutapo kazele ka ku munue kakua likolo. Mpapulo yaatwelue mu biputu bya kyalo na baseli ba farasi yaali yaenda lubilo, farasi yaakuziiziwe kuti iye yabombiiwa na likolo.
11080b0144	Mpapulo yakua likolo yaapeele nsambu Bayuda bali mu mizi yonse kuti baye bakolonghana ni kwikingilila. Baapeelue nsambu ya kwinoona ni kwipaya pamo ni kulovia kubalua mutundu ni kubalua kiputu kya kyalo kine kyabasakukila, bene ni bakazi babo pamo ni baana babo. Kabili baapeelue ni nsambu ya kutwama bintu bya balwani babo.
11080c00b6	Busiku bwaali bwatantikiilue Bayuda bwa kukita evio mu biputu bya kyalo monse na likolo Ahasuero, bwaali busiku bwa lyanondo ni itatu ya mwezi wa lyanondo ni ibili, i mwezi wa Adari.
11080d00ad	Lwambu lwa mpapulo ya mizilo ya kupundua mu biputu bya kyalo yaapundilue ku ntundu yonse, evi Bayuda ni bo baye baiteaniizie kukita kibwelezi ku balwani babo pa bobo busiku.
11080e0096	Baseli ba farasi yaali yaenda lubilo, farasi yaali yabombiiwa na likolo, baakinkiziiziwe na likolo kuya kutwala mpunda mu Susani, muzi ukata wa kyalo.
11080f00e3	Mordekai waafumine kuli likolo wavwele ngubo ya bukolo ya mukumino wa lyulu ni wa sue, ni kiteebo kikata kya oro ni nkanzu ya kitani kiweme kya mukumino wa bulumbi. Ni Susani, muzi ukata wa kyalo, waabulwile tupundu twa nsansa,
1108100033	pantu Bayuda bonse baawamiinue ni kupeelua mukinzi.
11081100d2	Kubalua kiputu kya kyalo ni kubalua muzi waatweluemo mpapulo ya mizilo yakua likolo, Bayuda baalimo baawaamiinue, baakitile nsikunkulu ni kusangalala. Ntundu ingi yaialwile Bayuda pantu yaali yasyatiina Bayuda.
1109010127	Lwaakumeene busiku bwa lyanondo ni itatu ya mwezi wa lyanondo ni ibili, i mwezi wa Adari, busiku bwaali bwateaniiziwe kupundua ni kufikilizia mizilo yakua likolo, bobo busiku balwani ba Bayuda i bubaali baswapiile kwanzia Bayuda. Inzi bintu bya alulukile pantu Bayuda i ba-anziizie balwani babo.
11090200e3	Bobo bwenka busiku, Bayuda baakolongheene mu mizi yabo ni mu biputu bya byalo byonse bya mu kyalo kyakua likolo Ahasuero kuti basakukile balwani babo baali bakeba kubalovia. Tekwaali muntu waabakaaniizie pantu bonse baatiinine.
1109030089	Ndabukizi yonse ya mu biputu bya kyalo pamo ni mikenzi yabo, ni bakwasi bakua likolo, baakwasiizie Bayuda pantu baali bamutiina Mordekai.
110904008f	Mordekai wa-alukile mukulu mu nghanda yakua likolo, ni bulumba bwakue bwaakumeene mu byalo byonse, pantu buvinde bwakue bwaali bwakililako sie.
1109050079	Ni pakako, Bayuda baumine balwani babo ni kubeepaya na bipanga. Balia baali babasuulile, Bayuda baabakitiile mubatoneene.
110906002d	Ni mu Susani, Bayuda baipailemo balalume 500.
1109070023	Pershandata, ni Dalfoni, ni Aspata,
1109080021	ni Porata, ni Adalia, ni Aridata,
1109090033	ni Parmashta, ni Arisai, ni Aridai pamo ni Waizata,
11090a0075	baana lyanondo bena Hamani mwina Hamedata mulwani wa Bayuda, ni bo baipailue. Inzi tebaatweme bintu bya balwani babo.
11090b004c	Bobo bwenka busiku likolo waaleeteelue mpendua ya bantu baipailue mu Susani.
11090c00da	Likolo waamwanine nabeeza Esta nangue, “Bayuda baipaya bantu 500 ni baana lyanondo bena Hamani mono mu Susani. Paliibufi mu binge biputu bya kyalo. Nghane kinge kiwakeba ukitilue. Nghane kiutonene kulomba upeelue.”
11090d00d4	Esta waalandile evi, “Kine likolo awaminue, nalomba Bayuda bali mu Susani bapeelue nsambu ya kuti lukeele bakabe kukita nga vibakita lelo. Balia baana lyanondo bafwile bena Hamani bakabe kukulikua ku bimuti.”
11090e007a	Likolo waitabiizie kuti kikitue evio vyenka. Mpunda yaatwelue mu Susani, ni balia baana lyanondo bena Hamani baakulikilue.
11090f0091	Kabili Bayuda baakolongheene busiku bwa lyanondo ni ina ya mwezi wa Adari ni kwipaya bantu 300 mu Susani, inzi tebaatweme bintu bya balwani babo.
11091000be	Ni Bayuda bange baali mu binge biputu bya kyalo baakolongheene kuti bekingilile ku balwani babo evi babe ni mutende. Baba ni bo baipaile bantu 75,000, inzi tebaatweme bintu bya balwani babo.
11091100bf	Bobo bwaali busiku bwa lyanondo ni itatu ya mwezi wa Adari. Inzi busiku bwa lyanondo ni ina mu ozo wenka mwezi, baatuuziizie. Bobo busiku baabukitile kuba busiku bwa nsikunkulu ni bwa nsansa.
11091200ec	Bayuda ba mu Susani ni bo baakolongheene busiku bwa lyanondo ni itatu, ni busiku bwa lyanondo ni ina. Inzi busiku bwa lyanondo ni isaano ya ozo wenka mwezi, baatuuziizie. Bobo busiku baabukitile kuba busiku bwa nsikunkulu ni bwa nsansa.
11091300bb	Ni pakako, Bayuda ba mu mizi ni ba mu tutanda, bene baali batuuzia busiku bwa lyanondo ni ina ya mwezi wa Adari. Bobo busiku i bubaakitile kuba busiku bwa nsansa ni bwa kupeelana byabupe.
11091400cb	Mordekai waalembele bintu byaakitikile, kabili waatumine mpapulo ku Bayuda bonse baali baikeele mu biputu bya kyalo bya mu kyalo kyakua likolo Ahasuero, Bayuda baali baikeele pepi ni baali baikeele kule,
1109150095	kubakonkobezia kuti batwalilile kukita nsikunkulu kubalua mwaka pa busiku bwa lyanondo ni ina, ni pa busiku bwa lyanondo ni isaano ya mwezi wa Adari.
11091600f6	Mu bobo busiku Bayuda i bubaakwatiilemo mutende ntanzi ya balwani babo, kabili i mwezi wa-alwiluemo bulanda bwabo kuba nsansa, ni kwalula malilo abo kuba nsikunkulu. Bwa-alukile busiku bwa kupeelana byabupe ni bya kulia pamo ni kukwasiako bapabi.
1109170053	Ni kiine Bayuda baitabiile kukita nga mubaatendekeele, ni muba-aniinue na Mordekai.
11091800a6	Pantu Hamani mwina Hamedata Muagagi, mulwani wa Bayuda bonse, waali wakambila kubeepaya ni kubalovia, kabili baateele puri, i kuteya bubale, kuti abapue ni kubalovia.
11091900d7	Inzi likolo lu-aabwililue, waapeene nsambu ya kulemba mpapulo ilandile nangue kukonkana ni mapange abi akua Hamani a kukambila kulovia Bayuda, ezio nkambilo imubwelelele ye mwine, ni baana bakue bakulikue ku bimuti.
