0100000018	ઊત્પત્તિ
2807060144	જે પવિત્ર છે તે કૂતરાઓની આગળ ન નાખો, તમારાં મોતી ભૂંડોની આગળ ન ફેંકો; એમ ન થાય કે તેઓ તે પોતાના પગ તળે છૂંદે અને તમને ફાડી નાખે.
28070700b3	માગો તો તમને અપાશે; શોધો, તો તમને જડશે; ખટખટાવો, તો તમારે સારુ ઉઘાડાશે.
2807080127	કેમ કે જે દરેક માગે છે તેઓ પામે છે; જે શોધે છે તેઓને જડે છે; અને જે કોઈ ખટખટાવે છે, તેઓને માટે દરવાજા ઉઘાડવામાં આવશે.
28070900e3	તમારામાં એવી કઈ વ્યક્તિ છે કે, જો તેનો દીકરો તેની પાસે રોટલી માગે, તો તે તેને પથ્થર આપશે?
28070a0064	અથવા જો માછલી માગે, તો તે તેને સાપ આપશે?
28070b019f	માટે જો તમે ખરાબ હોવા છતાં, જો પોતાના બાળકોને સારાં વાનાં આપવા જાણો છો, તો તમારા સ્વર્ગમાંના પિતાની પાસે જેઓ માગે છે તેઓને કેટલી વિશેષે કરીને સારાં વાનાં આપશે?
28070c0164	માટે જે કંઈ તમે ઇચ્છો છો કે બીજા લોકો તમારા પ્રત્યે કરે, તેવું તમે પણ તેઓ પ્રત્યે કરો; કેમ કે નિયમશાસ્ત્ર તથા પ્રબોધકોની વાતોનો સાર તે છે.
28070d0141	તમે સાંકડે બારણેથી અંદર પ્રવેશો; કેમ કે જે માર્ગ નાશમાં પહોંચાડે છે, તેનું બારણું પહોળું છે અને ઘણાં તેમાં થઈને પ્રવેશે છે.
28070e0104	જે માર્ગ જીવનમાં પહોંચાડે છે, તે સાંકડો છે, તેનું બારણું સાંકડું છે અને જેઓને તે જડે છે તેઓ થોડા જ છે.
28070f0122	જે જૂઠાં પ્રબોધકો ઘેટાંને વેશે તમારી પાસે આવે છે, પણ અંદરથી ફાડી ખાનાર વરુના જેવા છે, તેઓ સંબંધી તમે સાવધાન રહો.
28071000fc	તેઓનાં ફળથી તમે તેઓને ઓળખશો. શું લોકો કાંટાનાં ઝાડ પરથી દ્રાક્ષ અથવા ઝાંખરાં પરથી અંજીર તોડે છે?
28071100a3	તેમ જ દરેક સારું ઝાડ સારાં ફળ આપે છે અને ખરાબ ઝાડ ખરાબ ફળ આપે છે.
28071200ae	સારું ઝાડ ખરાબ ફળ આપી શકતું નથી અને ખરાબ ઝાડ સારાં ફળ આપી શકતું નથી.
28071300a4	દરેક ઝાડ જે સારું ફળ નથી આપતું તે કપાય છે અને અગ્નિમાં નંખાય છે.
2807140057	તેથી તેઓનાં ફળથી તમે તેઓને ઓળખશો.
2807150174	જેઓ મને ‘પ્રભુ, પ્રભુ,’ કહે છે, તેઓ સર્વ સ્વર્ગના રાજ્યમાં પ્રવેશશે એમ તો નહિ, પણ જેઓ મારા આકાશમાંના પિતાની ઇચ્છા પ્રમાણે કરે છે તેઓ જ પ્રવેશશે.
28071601bc	તે દિવસે ઘણાં મને કહેશે કે, ‘પ્રભુ, પ્રભુ,’ શું અમે તમારે નામે પ્રબોધ કર્યો નહોતો? તમારે નામે દુષ્ટાત્માઓને કાઢયાં નહોતાં? અને તમારે નામે ઘણાં પરાક્રમી કામો કર્યા નહોતાં?
2807170109	ત્યારે હું તેઓને સ્પષ્ટ કહીશ કે, ‘મેં તમને કદી પણ ઓળખ્યા નહિ; ઓ દુષ્ટકર્મીઓ, તમે મારી પાસેથી દૂર જાઓ!’”
2807180114	એ માટે, જે કોઈ મારી આ વાતો સાંભળે છે અને પાળે છે, તે એક ડાહ્યા માણસની જેમ છે, જેણે પોતાનું ઘર ખડક પર બાંધ્યું.
280719012a	વરસાદ વરસ્યો, પૂર આવ્યું, વાવાઝોડાં થયાં અને તે ઘર પર સપાટા લાગ્યા; પણ તેનો પાયો ખડક પર નાખેલો હોવાથી તે પડ્યું નહિ.
28071a0105	જે કોઈ મારી આ વાતો સાંભળે છે પણ પાળતો નથી, તે એક મૂર્ખ માણસની જેમ છે, જેણે પોતાનું ઘર રેતી પર બાંધ્યું.
28071b0105	વરસાદ વરસ્યો, પૂર આવ્યું, વાવાઝોડાં થયાં, તે ઘર પર સપાટા લાગ્યા અને તે પડી ગયું; અને તેનો નાશ મોટો થયો.
28071c00b8	ઈસુ એ વાતો કહી રહ્યા પછી, એમ થયું કે, લોકો તેમના ઉપદેશથી આશ્ચર્ય પામ્યા,
28071d00d8	કેમ કે શાસ્ત્રીઓની જેમ નહિ, પણ જેને અધિકાર હોય છે તેવી રીતે તે તેઓને ઉપદેશ કરતા હતા.
28080100a3	જયારે ઈસુ પહાડ પરથી ઊતર્યા, ત્યારે અતિ ઘણાં લોક તેમની પાછળ ગયા.
2808020123	અને જુઓ, એક કુષ્ઠ રોગીએ આવીને તેમને પગે પડીને કહ્યું કે, “ઓ પ્રભુ, જો તમારી ઇચ્છા હોય તો તમે મને શુદ્ધ કરી શકો છો.”
280803015a	ત્યારે ઈસુએ પોતાનો હાથ લાંબો કર્યો, અને તેને સ્પર્શીને કહ્યું, “હું ચાહું છું, તું શુદ્ધ થા.” અને તરત તે પોતાના કુષ્ઠ રોગથી શુદ્ધ થયો.
2808040198	પછી ઈસુએ તેને કહ્યું કે, “જોજે, તું કોઈને કહીશ નહિ; પણ જા, યાજકને જઈને પોતાને બતાવ અને તેઓને માટે સાક્ષી તરીકે જે અર્પણ મૂસાનાં ફરમાવ્યાં પ્રમાણે છે તે ચઢાવ.”
28080500af	ઈસુ કપરનાહૂમમાં આવ્યા, પછી એક શતપતિ તેમની પાસે આવીને વિનંતી કરી કે,
28080600bb	“ઓ પ્રભુ, મારો ચાકર ઘરમાં પક્ષઘાતી થઈને પડેલો છે, તેને ભારે પીડા થાય છે.”
280807008f	ત્યારે ઈસુએ તેને કહ્યું કે, “હું આવીને તેને સાજો કરીશ.”
2808080147	શતપતિએ ઉત્તર આપતાં કહ્યું કે, “ઓ પ્રભુ, તમે મારા છાપરા હેઠળ આવો એવો હું યોગ્ય નથી; પણ તમે કેવળ શબ્દ કહો, એટલે મારો ચાકર સાજો થશે.
28080901fd	કેમ કે હું પણ કોઈનાં અધિકાર હેઠળ છું અને સિપાઈઓ મારે સ્વાધીન છે. એકને હું કહું છું કે, ‘જા’, ને તે જાય છે; બીજાને કહું છું કે, ‘આવ’ અને તે આવે છે; અને મારા દાસને કહું છું કે, ‘એ પ્રમાણે કર’, ને તે કરે છે.”
28080a0164	ત્યારે ઈસુને તે સાંભળીને આશ્ચર્ય થયું, પાછળ આવનારાઓને તેમણે કહ્યું, “હું તમને નિશ્ચે કહું છું કે, આવો વિશ્વાસ મેં ઇઝરાયલમાં પણ જોયો નથી.
28080b0151	હું તમને કહું છું કે પૂર્વથી તથા પશ્ચિમથી ઘણાં લોકો આવશે અને ઇબ્રાહિમની, ઇસહાકની તથા યાકૂબની સાથે સ્વર્ગના રાજ્યમાં જમવા બેસશે.
28080c00d1	પણ રાજ્યના દીકરાઓ બહારના અંધકારમાં નંખાશે કે, જ્યાં રડવું અને દાંત પીસવું થશે.”
28080d00ff	ઈસુએ તે શતપતિને કહ્યું કે, “જા! જેવો તેં વિશ્વાસ કર્યો તેવું જ તને થાઓ.” તે જ ઘડી તેનો ચાકર સાજો થયો.
28080e00b5	ઈસુ પિતરના ઘરમાં આવ્યા, ત્યાં તેમણે તેની સાસુને તાવે બિમાર પડેલી જોઈ.
28080f00d0	ઈસુ તેના હાથને સ્પર્શ્યા, એટલે તેનો તાવ જતો રહ્યો અને તેણે ઊઠીને તેમની સેવા કરી.
280810018b	સાંજ પડી ત્યારે લોકોએ ઘણાં દુષ્ટાત્મા વળગેલાંઓને તેમની પાસે લાવ્યા અને તેમણે શબ્દથી તે દુષ્ટાત્માઓને બહાર કાઢ્યાં, અને સઘળાં માંદાઓને સાજાં કર્યાં.
280811011e	એ માટે કે યશાયા પ્રબોધકે જે કહ્યું હતું તે પૂરું થાય કે, “તેમણે પોતે આપણી માંદગીઓ લીધી અને આપણા રોગો ભોગવ્યા.”
28081200ff	ઈસુએ લોકોની મોટી ભીડ પોતાની આસપાસ એકત્ર થયેલી જોય, ત્યારે તેમણે સરોવરની પેલે પાર જવાની આજ્ઞા કરી.
28081300fe	એક શાસ્ત્રીએ પાસે આવીને તેમને કહ્યું કે, “ઓ ઉપદેશક, જ્યાં કહીં તમે જશો ત્યાં હું તમારી પાછળ આવીશ.”
2808140144	ત્યારે ઈસુએ તેને કહ્યું કે, “શિયાળોને દર હોય છે અને આકાશના પક્ષીઓને માળા હોય છે, પણ માણસના દીકરાને માથું મૂકવાની જગ્યા નથી.”
2808150119	તેમના શિષ્યોમાંથી બીજાએ તેમને કહ્યું કે, “પ્રભુ, મને રજા આપો કે હું જઈને પહેલાં મારા પિતાને દફનાવીને આવું.”
28081600f3	પણ ઈસુએ તેને કહ્યું કે, “તું મારી પાછળ આવ, મરણ પામેલાંઓને પોતાનાં મરણ પામેલાંઓને દફનાવવા દો.”
280817009f	જયારે ઈસુ હોડી પર ચઢ્યાં, ત્યારે તેમના શિષ્યો તેમની પાછળ ગયા.
28081800e5	જુઓ, સમુદ્રમાં એવું મોટું તોફાન થયું, જેથી હોડી મોજાંઓથી ઢંકાઈ ગઈ; પણ ઈસુ પોતે ઊંઘતા હતા.
28081900fe	ત્યારે શિષ્યોએ તેમની પાસે આવીને તેમને જગાડીને કહ્યું કે, “ઓ પ્રભુ, અમને બચાવો, અમે નાશ પામીએ છીએ!”
28081a0156	પછી ઈસુ તેઓને કહ્યું કે, “ઓ અલ્પવિશ્વાસીઓ, તમે શા માટે ભયભીત થયા છો?” પછી તેમણે ઊઠીને પવનને તથા સમુદ્રને ધમકાવ્યાં; અને મહાશાંતિ થઈ.
28081b010e	ત્યારે તે માણસોએ આશ્ચર્ય પામીને કહ્યું કે, “એ કયા પ્રકારના માણસ છે કે પવન તથા સમુદ્ર પણ તેમનું માને છે?”
28081c01b3	જયારે ઈસુ પેલે પાર ગાડરેનેસના દેશમાં પહોંચ્યા ત્યારે દુષ્ટાત્મા વળગેલાં બે માણસ કબરોમાંથી નીકળતા તેમને મળ્યા; તેઓ એવા બિહામણા હતા કે તે માર્ગે કોઈથી જવાતું નહોતું.
28081d014c	જુઓ, તેઓએ બૂમ પાડતાં કહ્યું કે, “ઓ ઈશ્વરના દીકરા, અમારે ને તમારે શું છે? નિશ્ચિત સમય અગાઉ તમે અમને પીડા દેવાને અહીં આવ્યા છો શું?”
28081e008e	હવે તેઓથી થોડેક દૂર ઘણાં ભૂંડોનું એક ટોળું ચરતું હતું.
28081f00f7	દુષ્ટાત્માઓએ તેમને વિનંતી કરતાં કહ્યું કે, “જો તમે અમને કાઢો તો ભૂંડોના ટોળાંમાં અમને મોકલો.”
2808200175	ઈસુએ તેઓને કહ્યું કે, ‘જાઓ!’ પછી તેઓ નીકળીને ભૂંડોમાં પેઠાં; અને જુઓ, આખું ટોળું ટેકરીની ધાર પરથી સમુદ્રમાં ઘસી પડ્યું અને પાણીમાં ડૂબી મર્યું.
280821012a	ત્યારે ચરાવનારા ભાગ્યા, તેઓએ નગરમાં જઈને સઘળું કહી સંભળાવ્યું; સાથે દુષ્ટાત્મા વળગેલાંઓને શું થયું તે પણ કહ્યું.
280822012a	ત્યારે જુઓ, આખું નગર ઈસુને મળવાને બહાર આવ્યું. તેમને જોઈને તેઓએ તેમને વિનંતી કરી કે, અમારા પ્રદેશમાંથી ચાલ્યા જાઓ.
28090100b8	ત્યારે હોડીમાં બેસીને ઈસુ પેલે પાર ગયા, ત્યાર પછી પોતાના નગરમાં આવ્યા.
2809020193	ત્યાં જુઓ, ખાટલે પડેલા એક લકવાગ્રસ્તને લોકો તેમની પાસે લાવ્યા. ઈસુએ તેઓનો વિશ્વાસ જોઈને પક્ષઘાતીને કહ્યું કે, “દીકરા, હિંમત રાખ, તારાં પાપ તને માફ થયા છે.”
28090300c6	ત્યારે શાસ્ત્રીઓમાંના કેટલાકે પોતાના મનમાં કહ્યું કે, “એ દુર્ભાષણ કરે છે.”
28090400cd	ઈસુએ તેઓના વિચાર જાણીને કહ્યું કે, “તમે તમારા મનમાં શા માટે દુષ્ટ વિચાર કરો છો?
280905012e	કેમ કે એ બેમાંનું વધારે સહેલું કયું છે, એમ કહેવું કે ‘તારાં પાપ તને માફ થયાં છે,’ અથવા એમ કહેવું કે ‘ઊઠીને ચાલ્યો જા?’
280906018f	પણ માણસના દીકરાને પૃથ્વી પર પાપોની માફી આપવાનો અધિકાર છે, એ તમે જાણો,” તેથી ઈસુએ લકવાગ્રસ્ત માણસને કહ્યું કે “ઊઠ, તારો ખાટલો ઊંચકીને તારે ઘરે ચાલ્યો જા.”
2809070048	અને તે ઊઠીને પોતાને ઘરે ગયો.
2809080107	તે જોઈને લોકો આશ્ચર્યચકિત થયા, અને ઈશ્વરે માણસોને એવો અધિકાર આપ્યો છે, એ માટે તેઓએ તેમનો મહિમા કર્યો.
280909017a	ઈસુએ ત્યાંથી જતા માથ્થી નામના એક માણસને જકાત લેવાની ચોકી પર બેઠેલો જોયો; તેમણે તેને કહ્યું કે, ‘તું મારી પાછળ આવ.’ ત્યારે તે ઊઠીને તેમની પાછળ ગયો.
28090a0152	ત્યાર પછી એમ થયું કે, ઈસુ માથ્થીના ઘરે જમવા બેઠા ત્યારે જુઓ, ઘણાં જકાત લેનારાઓ તથા પાપીઓ આવીને ઈસુની તથા તેમના શિષ્યોની સાથે બેઠા.
28090b00f5	ફરોશીઓએ એ જોઈને તેમના શિષ્યોને કહ્યું કે, “તમારો ઉપદેશક દાણીઓની તથા પાપીઓની સાથે કેમ ખાય છે?”
28090c00fc	ઈસુએ એ સાંભળીને તેઓને કહ્યું કે, “જેઓ તંદુરસ્ત છે તેઓને વૈદની અગત્ય નથી, પણ જેઓ બિમાર છે તેઓને છે.
28090d013a	પણ, ‘બલિદાન કરતાં હું દયા ચાહું છું,’ એનો શો અર્થ છે, તે જઈને શીખો; કેમ કે ન્યાયીઓને નહિ, પણ પાપીઓને બોલાવવા હું આવ્યો છું.”
28090e0164	ત્યારે યોહાનના શિષ્યોએ તેમની પાસે આવીને કહ્યું કે “અમે તથા ફરોશીઓ ઘણીવાર ઉપવાસ કરીએ છીએ, પણ તમારા શિષ્યો ઉપવાસ કરતા નથી. એનું કારણ શું?”
28090f01c6	ત્યારે ઈસુએ તેઓને કહ્યું કે, “જ્યાં સુધી વરરાજા જાનૈયાઓની સાથે છે, ત્યાં સુધી શું તેઓ શોક કરી શકે છે? પણ એવા દિવસો આવશે કે વરરાજા તેઓની પાસેથી લઈ લેવાશે, ત્યારે તેઓ ઉપવાસ કરશે.
2809100145	વળી નવા વસ્ત્રોનું થીંગડું જૂના વસ્ત્રોમાં કોઈ મારતું નથી, કેમ કે તે થીંગડાથી તે વસ્ત્રો ખેંચાય છે, અને તે વધારે ફાટી જાય છે.
28091101fb	વળી નવો દ્રાક્ષારસ જૂની મશકોમાં કોઈ ભરતું નથી; જો ભરે તો મશકો ફાટી જાય છે, દ્રાક્ષારસ ઢોળાઈ જાય છે, અને મશકોનો નાશ થાય છે. પણ નવો દ્રાક્ષારસ નવી મશકોમાં ભરવામાં આવે છે, જેથી બન્નેનું રક્ષણ થાય છે.”
28091201bf	ઈસુ તેઓને આ વાત કહેતાં હતા, ત્યારે જુઓ, એક અધિકારી આવીને તેમને પગે પડીને કહ્યું કે, “મારી દીકરી હમણાં જ મૃત્યુ પામી છે, પણ તમે આવીને તમારો હાથ તેના પર મૂકો એટલે તે જીવતી થશે.”
2809130084	ત્યારે ઈસુ ઊઠીને પોતાના શિષ્યો સહિત તેની પાછળ ગયા.
2809140107	ત્યારે જુઓ, એક સ્ત્રી જેને બાર વર્ષથી સખત લોહીવા હતો, તે ઈસુની પાછળ આવીને તેમના વસ્ત્રોની કોરને અડકી;
28091500f4	કેમ કે તેણે પોતાના મનમાં વિચાર્યું કે, “જો હું માત્ર તેમના વસ્ત્રને અડકું તો હું સાજી થઈ જઈશ.”
2809160153	ત્યારે ઈસુએ પાછા ફરીને તથા તેને જોઈને કહ્યું કે, “દીકરી, હિંમત રાખ, તારા વિશ્વાસે તને સાજી કરી છે;” અને તે સ્ત્રી તે જ ઘડીથી સાજી થઈ.
28091700e6	પછી જયારે ઈસુએ તે અધિકારીના ઘરમાં આવીને વાંસળી વગાડનારાઓને તથા લોકોને કકળાટ કરતા જોયા;
2809180128	ત્યારે તેમણે કહ્યું કે, “અહીંથી ચાલ્યા જાઓ; કેમ કે છોકરી મરી ગઈ નથી, પણ ઊંઘે છે.” અને તેઓએ ઈસુની વાતને મજાકમાં કાઢી.
28091900c1	લોકોને બહાર કાઢ્યાં પછી, તેમણે અંદર જઈને તેનો હાથ પકડ્યો; અને તે છોકરી ઊઠી.
28091a0064	તે વાતની ચર્ચા આખા પ્રદેશમાં ફેલાઈ ગઈ.
28091b0123	ઈસુ ત્યાંથી જતા હતા, તેવામાં બે અંધજનોએ તેમની પાછળ જઈને બૂમ પાડતાં કહ્યું કે, “ઓ દાઉદના દીકરા, અમારા પર દયા કરો!”
28091c018e	ઈસુ ઘરમાં આવ્યા, ત્યારે તે અંધજનો તેમની પાસે આવ્યા. ઈસુએ તેઓને કહ્યું છે કે, “હું એ કરી શકું છું એવો તમને વિશ્વાસ છે શું?” તેઓ તેમને કહ્યું કે, ‘હા પ્રભુ.’”
28091d00ca	ત્યારે ઈસુએ તેઓની આંખોને અડકીને કહ્યું કે, “તમારા વિશ્વાસ પ્રમાણે તમને થાઓ.”
28091e00fc	તે જ સમયે તેઓની આંખો ઊઘડી ગઈ. પછી ઈસુએ તેઓને કડક આજ્ઞા આપીને કહ્યું કે, “જોજો, કોઈ આ વિષે જાણે નહિ.”
28091f0081	પણ તેઓએ બહાર જઈને આખા દેશમાં તેમની કીર્તિ ફેલાવી.
28092000db	તેઓ બહાર ગયા ત્યારે જુઓ, દુષ્ટાત્મા વળગેલાં એક મૂંગા માણસને લોકો તેમની પાસે લાવ્યા.
280921015c	દુષ્ટાત્મા કાઢવામાં આવ્યો ત્યારે તે મૂંગો માણસ બોલ્યો અને લોકોએ આશ્ચર્ય પામીને કહ્યું કે, “ઇઝરાયલમાં આવું કદી જોવામાં આવ્યું નથી!”
28092200c0	પણ ફરોશીઓએ કહ્યું કે, “તે દુષ્ટાત્માઓનાં સરદારથી જ દુષ્ટાત્માઓ કાઢે છે.”
280923018b	ઈસુ તેઓનાં સભાસ્થાનોમાં બોધ કરતા, રાજ્યની સુવાર્તા પ્રગટ કરતા, દરેક પ્રકારનો રોગ તથા દરેક પ્રકારની બીમારી મટાડતા; સઘળાં નગરોમાં તથા ગામોમાં ફરતા ગયા.
28092400fd	લોકોને જોઈને તેમને તેઓ પર અનુકંપા આવી, કેમ કે તેઓ પાળક વગરનાં ઘેટાંના જેવા હેરાન તથા નિરાધાર હતા.
28092500c4	ત્યારે ઈસુએ પોતાના શિષ્યોને કહ્યું કે, “ફસલ પુષ્કળ છે ખરી, પણ મજૂરો થોડા છે.
28092600c9	એ માટે તમે ફસલના માલિકને પ્રાર્થના કરો કે, તે પોતાની ફસલને માટે મજૂરો મોકલે.”
280a010176	પછી ઈસુએ પોતાના બાર શિષ્યોને પાસે બોલાવીને અશુદ્ધ આત્માઓને કાઢવાનો, તથા દરેક પ્રકારનો મંદવાડ તથા દરેક જાતનો રોગ મટાડવાનો અધિકાર તેઓને આપ્યો.
280a02013b	તે બાર પ્રેરિતોનાં નામ આ છે. પહેલો સિમોન જે પિતર કહેવાય છે, અને તેનો ભાઈ આન્દ્રિયા; ઝબદીનો દીકરો યાકૂબ, તથા તેનો ભાઈ યોહાન;
280a0300b9	ફિલિપ તથા બર્થોલ્મી; થોમા તથા માથ્થી દાણી; અલ્ફીનો દીકરો યાકૂબ તથા થદી;
280a0400cf	સિમોન જે અતિ ઝનૂની માણસ હતો તથા યહૂદા ઇશ્કારિયોત, જે ઈસુને પરસ્વાધીન કરનાર હતો.
280a050117	ઈસુએ તે બાર શિષ્યોને મોકલીને એવી આજ્ઞા આપી કે, “તમે વિદેશીઓને માર્ગે ન જાઓ અને સમરૂનીઓના કોઈ નગરમાં ન પેસો.
280a060096	પણ તેના કરતાં ઇઝરાયલના ઘરનાં ખોવાયેલાં ઘેટાંની પાસે જાઓ.
280a0700a3	તમે જતા જતા એમ પ્રગટ કરો કે, ‘સ્વર્ગનું રાજ્ય પાસે આવ્યું છે.’”
280a080141	માંદાઓને સાજાં કરો, મૂએલાંઓને સજીવન કરો, રક્તપિત્તના રોગીઓને શુદ્ધ કરો, અને દુષ્ટાત્માઓને કાઢો. તમે મફત પામ્યા છો, મફત આપો.
280a090078	સોનું, ચાંદી કે પિત્તળ તમારા કમરબંધમાં ન રાખો;
280a0a00de	મુસાફરીને સારુ થેલો, બે અંગરખા, ચંપલ, લાકડી પણ ન લો; કેમ કે મજૂર પોતાના વેતનને યોગ્ય છે.
280a0b0103	જે જે નગરમાં કે ગામમાં તમે જાઓ, તેમાં યોગ્ય કોણ છે એની તપાસ કરો, ત્યાંથી નીકળતાં સુધી તેને ત્યાં રહો.
280a0c0044	ઘરમાં જઈને તેઓને સલામ કહો.
280a0d0110	જો તે ઘર યોગ્ય હોય તો તમારી શાંતિ તેના પર રહેશે; પણ જો તે ઘર યોગ્ય ન હોય તો તમારી શાંતિ તમારા પર પાછી રહેશે.
280a0e0155	જો કોઈ તમારો આવકાર નહિ કરે તથા તમારી વાતો નહિ સાંભળે તો તે ઘરમાંથી અથવા તે નગરમાંથી નીકળતાં તમે તેની ધૂળ તમારા પગ પરથી ખંખેરી નાખો.
280a0f00e4	હું તમને નિશ્ચે કહું છું કે, ન્યાયકાળે સદોમ તથા ગમોરા દેશના હાલ તે નગરના કરતાં સહેલ થશે.
280a10010b	જુઓ, વરુઓમાં ઘેટાંના જેવા હું તમને મોકલું છું; માટે તમે સાપના જેવા હોશિયાર, તથા કબૂતરનાં જેવા સાલસ થાઓ.
280a110108	તમે માણસોથી સાવધાન રહો; કેમ કે તેઓ તમને ન્યાયસભાને સોંપશે, અને તેઓનાં સભાસ્થાનોમાં તમને કોરડા મારશે.
280a1200f9	તેઓને તથા બિનયહૂદીઓને માટે સાક્ષીને અર્થે મારે લીધે તમને અધિકારીઓની તથા રાજાઓની આગળ લઈ જવાશે.
280a130129	પણ જયારે તેઓ તમને સોંપશે ત્યારે તમે ચિંતા ન કરો કે શી રીતે અથવા શું બોલીએ; કેમ કે શું બોલવું તે તે જ ઘડીએ તમને અપાશે.
280a1400b0	કેમ કે જે બોલે છે તે તો તમે નથી, પણ પિતાનો આત્મા તમારા દ્વારા બોલે છે.
280a150113	ભાઈ ભાઈને તથા પિતા બાળકને મારી નંખાવવાને સોંપી દેશે અને બાળકો માતાપિતાની સામે ઊઠીને તેઓને મારી નંખાવશે.
280a1600cf	મારા નામને કારણે સહુ તમારો દ્વેષ કરશે, પણ જે કોઈ અંત સુધી ટકશે તે જ ઉદ્ધાર પામશે.
280a1701b9	જયારે તેઓ તમને એક નગરમાં સતાવણી કરે ત્યારે તમે બીજામાં ભાગી જાઓ, કેમ કે હું તમને નિશ્ચે કહું છું કે માણસનો દીકરો આવે ત્યાં સુધી ઇઝરાયલનાં સઘળાં નગરોમાં તમે ફરી નહિ વળશો.
280a18009f	શિષ્ય ગુરુ કરતાં મોટો નથી અને નોકર પોતાના શેઠ કરતાં મોટો નથી.
280a1901a3	શિષ્ય પોતાના ગુરુ જેવો અને નોકર પોતાના શેઠ જેવો હોય તો તે જ ઘણું છે. જો ઘરના માલિકને તેઓએ બાલઝબૂલ કહ્યો છે, તો તેના ઘરના લોકોને કેટલું વિશેષે કરીને તેઓ એમ જ કહેશે!
280a1a0127	તે માટે તેઓથી તમે ગભરાશો નહિ, કેમ કે ઉઘાડું નહિ કરાશે એવું કંઈ ઢાંકેલું નથી, અને પ્રગટ નહિ થશે એવું કશું ગુપ્ત નથી.
280a1b00ff	હું તમને અંધારામાં જે કહું છું તે તમે અજવાળામાં કહો, તમે કાને જે સાંભળો છો તે ધાબાઓ પરથી પ્રગટ કરો.
280a1c0173	શરીરને જેઓ મારી નાખે છે, પણ આત્માને મારી નાખી શકતા નથી, તેઓથી બીહો મા. પણ એના કરતાં આત્મા તથા શરીર એ બન્નેનો નાશ નર્કમાં કરી શકે છે તેનાથી ગભરાઓ.
280a1d00e8	શું ચકલીઓ બે પૈસે વેચાતી નથી? તોપણ તમારા પિતાની ઇચ્છા વગર તેમાંથી એક પણ જમીન પર પડનાર નથી.
280a1e0055	તમારા માથાના બધા વાળ પણ ગણેલા છે.
280a1f0086	તે માટે ગભરાશો નહિ; ઘણી ચકલીઓ કરતાં તમે મૂલ્યવાન છો.
280a2000e7	માટે માણસોની આગળ જે કોઈ મને કબૂલ કરશે, તેને હું પણ મારા સ્વર્ગમાંના પિતાની આગળ કબૂલ કરીશ;
280a2100ea	પણ માણસોની આગળ જે કોઈ મારો ઇનકાર કરશે, તેનો હું પણ મારા સ્વર્ગમાંના પિતાની આગળ ઇનકાર કરીશ.
280a2200de	એમ ન ધારો કે હું પૃથ્વી પર શાંતિ લાવવા આવ્યો છું; શાંતિ તો નહિ, પણ તલવાર લઈને આવ્યો છું.
280a23013a	કેમ કે પુત્રને તેના પિતાની વિરુદ્ધ, દીકરીને તેની માની વિરુદ્ધ તથા પુત્રવધૂને તેની સાસુની વિરુદ્ધ કરવાને હું આવ્યો છું.
280a24004d	માણસના દુશ્મન તેના ઘરનાં થશે.
280a250195	મારા કરતાં જે પોતાની મા અથવા પોતાના પિતા પર વધારે પ્રેમ કરે છે તે મારે યોગ્ય નથી; અને દીકરા કે દીકરી પર જે મારા કરતાં વધારે પ્રેમ કરે છે, તે પણ મારે યોગ્ય નથી.
280a2600a5	જે પોતાનો વધસ્તંભ ઊંચકીને મારી પાછળ આવતો નથી તે મારે યોગ્ય નથી.
280a2700e8	જે પોતાનું જીવન બચાવે છે તે તેને ખોશે, મારે લીધે જે પોતાનું જીવન ગુમાવે છે તે તેને બચાવશે.
280a2800fb	જે તમારો આવકાર કરે છે તે મારો આવકાર કરે છે, જે મારો આવકાર કરે છે તે મારા મોકલનારનો પણ આવકાર કરે છે.
280a2901b8	જે કોઈ વ્યક્તિ પ્રબોધકનો આવકાર કરે છે, કેમ કે તે પ્રબોધક છે, તે પ્રબોધકનો બદલો પામશે; અને જે કોઈ વ્યક્તિ ન્યાયીનો આવકાર કરે છે, કેમ કે તે ન્યાયી છે, તે ન્યાયીનો બદલો પામશે.
280a2a0174	હું તમને નિશ્ચે કહું છું કે શિષ્યને નામે જે કોઈ આ નાનામાંના એકને માત્ર ઠંડા પાણીનું પ્યાલું પીવાને આપશે તે તેનો બદલો પામ્યા વિના રહેશે જ નહિ.”
280b010126	ઈસુ પોતાના બાર શિષ્યોને આજ્ઞા આપી ચૂક્યા, ત્યારે એમ થયું કે શીખવવા તથા ઉપદેશ આપવા તે ત્યાંથી તેઓનાં નગરોમાં ગયા.
280b0200cf	હવે યોહાને જેલમાં ખ્રિસ્તનાં કાર્યો સંબંધી સાંભળીને પોતાના શિષ્યોને મોકલીને
280b0300b0	તેમને પુછાવ્યું કે, “જે આવનાર છે તે તમે જ છો કે, અમે બીજાની રાહ જોઈએ?”
280b040100	ત્યારે ઈસુએ ઉત્તર આપતાં તેઓને કહ્યું કે, “તમે જે જે સાંભળો છો તથા જુઓ છો, તે જઈને યોહાનને કહી બતાવો.
280b0501ad	અંધજનો દેખતા થાય છે, અપંગો ચાલતા થાય છે, રક્તપિત્તના રોગીઓ શુદ્ધ કરાય છે, બહેરાઓ સાંભળતાં થાય છે; મૃત્યુ પામેલાઓ સજીવન થાય છે, તથા દરિદ્રીઓને સુવાર્તા પ્રગટ કરાય છે.
