2800000006	Mathiu
3d020f00b5	Neng loong ah ih lammi ah thiinhaat rum ano neng lam mat haat ha; Neng loong ah ih Beor sah Balaam lih phan rumla, erah warah ih bah lamki nawa ngun chosuh ese ngeh ih mok samthunta
3d02100084	eno heh rangdah thoidi heh moktoh ah ih kanjaata. Moktoh ah mina root likhiik ih jeng ano heh thet re moongtaang thoidi tang haamta.
3d021100ca	Lalangka nyootsootte loong abah juumik dot ih dongphok haano kahookdat ah likhiik, adoleh jiimu pong ih saapmot ah likhiik; Rangte ih neng loong raangtaan ebah rangnak mong ni neng tongtheng banthiinha.
3d021200be	Neng loong ah ih neng tiit ah lalang lajang ih baatrum ano khuupook rumla, eno neng hansi ni raandi baaji ih tong rum ano lamki nawa lamse ni taatphang khoomla mina loong ah thet hoom rumha.
3d021300bb	Lalangka nyootsootte loong ah rangdah lek angleh miloong asu rangdah nawa maama pongwan jen ang an ngeh ih kakham rumha—seng loong ah tiimjaat reeraang thuk hali seng rangdah ih hoonli.
3d021400da	Seng Pangte Teesu Jisu Kristo mongtham jun ih o mina arah mongrep dowa thet haat chaan aphaan loong nawa puita, eno thet haat chaan aphaan loong ah ih we ngaak thet haat abah jaakhoh ni angta nang ethithoon ih hoon ah.
3d0215008d	Kateng lampo maradi esa jengdang baat ha ah jat ano ngaak dattiila nang ebah kateng lampo ah mabah uh lalaan jatta bah eseethoon ang thengta.
3d021600c3	Neng mamah hoonrookla erah sok kaadi jengthaak suh baat ha ah ami ih angla: “Hui ih hephaat phaat haat ha ah we ngaak saha” Nyia “Wak sak ah taatchot abah uh thambook nah we woi ekah ah.”
3d0301009f	Joon awaan loong, arah le maat halang ah ih taknyi angla. Le enyiinyi ni sen thung nah esa tenthun angthuk suh ngeh ih arah tiit ah taat thaam dobbaat rumhala.
3d0302008d	Ngah ih liihang ah langla, teewah di esa khowah loong jengta loong ah nyia seng Pangte Teesu jengdang kaamwah loong ih kotahan ah dokthun an.
3d030300aa	Jaakhothoon sen ih jattheng ah langla, saathoon doh neng teenuh teewah roidong ah neng ramka ih jen arah mina dongha. Erah loong ah ih sen loong ah pitbeek ngitkhu hanno,
3d030400c1	amah cheng han, “Jisu ih ngaakkaat esuh kakham tahan, tatam liita? Heh amadi mani ah? Sengte sengwah loong jen tek eta, erabah uh arah mongrep dongsiitta dowa ih amadi tuk ih phoosiitsiit!”
3d030500b1	Teewah di arah hah nyia rangmong ah Rangte jeng nawa ih dongsiitta ngeh ih jatchoi doh neng loong ah thamtham ih diip reeraang rum ah. Arah hah ah ju nawa nyia ju ih dongsiitta,
3d03060056	eno ju jengta ah uh ju heheh ih jeng thukta, eno teewah dowa mongrep ah thet haat eta.
3d030700c8	Enoothong amah dowa rangmong nyia arah hah ah we suh matkhaam thuk suh Rangte jengdang phoosiitsiit nawa ih thoktong thukla. Erah langla ranngte mih lah angka loong dande ja matkhaam thuk suh thiinha.
3d030800a0	Enoothong, joon awaan loong sen ih jisiit nak beehaat an! Teesu maangka di paangsiit nyia hajaatsiit paang ah phoosiit; heh maangka di erah enyi ah phosiitsiit.
3d03090102	Mararah ih thunha ah likhiik, Teesu ih kakhamta ah tasen reeraangka. Emah tah angka, erah angla bah sen biinbui halan, tiimnge liidoh Rangte ah o uh thet haat thung tah angka, erah nang ebah mina loongtang rangdah nawa doksoon baalah ih rumta ngeh ih thunha.
3d030a00d0	Enoothong Teesu Rangwu thok haadoh ehuh thokthok eha. Erah Rangwuuja rangmong nah erongwah ih hu ano saapmah ah, rang ahah loong ah matkhaam nyia ethet ih ah, eno arah hah nyia hah dowa jirep ah tikmah eh ah.
3d030b0091	Erah loong ah emah ih saapmah abah, sen loong ah tiim likhiik mina angtheng ah? Sen roidong ah esa nyia Rangte lathong nah tongte mina ang theng,
3d030c00ca	sen loong ah Rangte Rangwu bansokte ang phiino kharok toom raaha suh sen loong ah mootse kaatse ah mokah an. Rangmong matkhaam nyia thet haat Sa, rang nyia hah loong ah weetak khaam nawa ih jaakkhaam ah
3d030d009c	Enoothong seng loong ah ih Rangte ih tiim raangtaan ih kakhamta erah bansok hi: Erah langla rangmong ena nyia hatoh hadaang marah nok adi katengthoon jeela.
3d030e00bc	Erah raangtaan ih, joon awaan loong, sen loong ah ih erah Rangwu ah bansok hanbah, Rangte miksok doh lah moongtaang suh, erah damdoh semroongroong nyia saachamcham ih songtong suh thun an.
3d030f009b	Rangte ih mongtham ah koh ano seng joonte Pool ih raangkoh tahan ah likhiik, seng Teesu ih seng puipang suh naan heeno saapoot se koh hali ah sok thaak an.
3d03100159	Pool ih arah tiit raangta adi mathan ah, erah di ngah ih baat hang loong ah ju raangta. Pool ih raangta le loong adi marah marah ah lajen jattheng ih raangha eno wapoh wasoi nyia mih jeng chaatchaat ete loong ah ih eki ni jangbaat kaatla. Erah likhiikkhiik Rangteele ehoh uh eki ni moong jaangbaat kaat rumla. Eno neng teeteewah thet hoom rumha.
3d031100b3	Enoothong, nga joon loong sen ebah erah jen jat etan. Erah raangtaan ih sen teeteewah sokboi an, sen puipang lam dowa hootthe lajeete miloong ah ih lamki ko naktoom moongsiit han.
3d031200b8	Erah nang ebah, seng Pangte nyia seng Teesu, Jisu Kristo minchan adoleh heh mongtham nah sen loong ah ehak toom ih an. Rangka ah amadoh nyia saarookwet heh raangtaan toom ang ah. Amen.
3e00000006	1 Joon
3e010100c8	Roidong jengkhaap tiit sen suh raang kohi ah rangphang diidook eje angta. Erah seng ih echaat eti, eno seng mik ih nep tup eti; amiimiisak seng ih tup eti, eno erah seng lak ih nep thaak taajoot choi.
3e010200c0	Arah roidong ah mik etup theng ang thoidi, seng ih etup eti; erah raangtaan ih erah tiit ah baat hi, marah Hewah damdi angta lathoon roidong tiit nyia marah seng suh dong jatthuk hali erah ah.
3e010300c1	Marah kap tupti nyia marah kap chaatti erah tiit ah sen loong suh dong ja baat hi, erah doba seng loong damdoh heh Wah nyia heh Sah Jisu Kristo damdi rangsoom lom tongli adoh jen roongtong han.
3e0104002a	Arah seng ten boot thoon roon suh raanghi.
3e01050083	Belam heh Sah jinnah wa chaatti tiitkhaap ah baat hi ah langla amah: Rangte ah weephaak, eno heh jiinni laamang tah jaatjaat jeeka.
3e01060080	Erah ang abah heh damdi roongtongli liihi, eno rangnak nah moktong ibah, sengre sengraang nyia sengjeng sengkong ni eleek angli.
3e010700aa	Enoothong heh weephaak ni tongla likhiik seng uh weephaak nah tong ibah—seng loong ah rangsoom roongtong eli, eno heh Sah Jisu sih rah ih seng rangdah ah sa haat ehali.
3e0108006a	Seng loong ih seng rangdah tajeeka mokli ibah, seng teeteewah mokwaanhi, amiisak ah seng taang ni tajeeka.
3e010900dc	Enoothong seng ih Rangte suh seng rangdah ah biin anaan he mok baat ibah, heh kakham ah tah beehaat ka ang ah eno marah epun ah erah re ah: heh ih biin anaan ehe eno timthan ethih reeraang dowa seng loong ah saasiit ehe.
3e010a0071	Seng rangdah tah dake mok li ibah, Rangte ah eleek ngeh li hi, eno heh jengkhaap ah seng taang ni tajeeka ang ah.
3e020100cd	Nga sah loong sen suh arah raanghang rah sen loong naktoom dah kah an ngeh raanghang; Enoothong ngo dalu, erah raangtaan ih heh Wah reeni chuut huungte wasiit je ah—Erah langla kateng esiit, Jisu Kristo.
3e020200bf	Kristo heh teeteewah ah langla seng loong rangdah biin anaan theng lampo, seng loong rangdah luulu biin anaan tah angka, enoothong mongrep dowa thoontang rangdah biin anaan te uh elang eh ah.
3e02030035	Rangte jengdang ah kap ibah, heh ah kamkam ih jat hi.
3e0204007e	Seng ih ejat ehi li eno heh jengdang ah lah chaat thang mok eh ibah, seng loong ah eleek eno amiisak ah seng taang ni tajeeka.
3e02050060	Enoothong seng ih heh jengkhaap ah kap ibah, Rangte minchante epunthoon ah seng loong ah ang ih:
3e0206008a	Emah ang ino juuba seng Rangte damdi roong roopli ngeh ih kamkam ih jen ang ih, Kristo tongtha ta likhiik seng loong uh emah ih tongtheng.
3e020700da	Nga mongnook joonte loong, arah ngah ih sen suh raanghang rah ena jengdang tah angka; arah ehak jengdang, marah ephang di sen jinni angta erarah ah. Ehak jengdang abah marah sen ih tiitkhaap ejen chaat etan erah angta.
3e020800e5	Ang abah uh, belam sen suh jengdang raanghang rah ena, mamah liidih amiisak tiit ah Kristo sak ni noisok ha ah likhiik sen sak ni nep uh noisok eha. Timnge liidih laamang ah jen mat eta, eno amiimiisak weephaak ah ejen phaak ela.
3e02090073	Seng loong ih weephaak ni tongli li ino, phoh ano ah miksuk ruh mok eh ibah, amah dih uh seng ah laamang ni tongli.
3e020a0091	Seng ih phoh ano minchan eh ibah, seng loong ah weephaak ni tongli, erah raangtaan ih seng taang ni mihoh rangdah nah datsiit suh tim uh tajeeka.
3e020b00b5	Enoothong phoh ano ah mok miksuk ibah, seng loong ah laamang ni tongli; seng laamang adi khoom ino maani khoomli erah uh tajatke, mamah liidih laamang rah ih edook eh hoonthuk hali.
3e020c006d	Nga sah loong sen rangdah ah Kristo tungthoidi biin anaan hoon halan, erah raangtaan ih arah le ah raanghang.
3e020d00c1	Hewah loong asuh raanghang ah langla, sen loong ih ejat ehan heh ephang dowa ih dook eje angta. Jaaro jaalah loong, ngah ih sen suh arah raanghang ah langla, sen loong ih Ethih warah ejen etan.
3e020e015a	Nga sah loong sen suh arah raanghang rah langla, sen loong ih heh Wah ah ejat ehan. Hewah loong, sen suh arah raanghang rah langla marah ephang dowa ih dook eje angla rah sen ih ejat ehan. Jaaro jaalah loong, ngah ih sen suh arah raanghang ah langla sen loong ah tarong; Rangte jengkhaap ah sen sak ni ang ano, sen loong ih Ethih warah ejen etan.
3e020f0078	Mongrep nyia arah mongrep adi timjih jeela erah suh nak ramka an. An mongrep asuh ramka ubah, an ih Hewah ah tah nookko.
3e02100111	Marah mongrep dowa angla—rangdah tenthun raangtaan ih luulu angla, eno mina ih heh mik ih tup ha nyia heh ih timjih jamha, edoleh arah mongrep dowa jirep jaatrep raangtaan ih mina loong khuungpookla—erah mabah uh Hewah taangnawa tah angka; erah loong abah mongrep dowa.
3e02110097	Mina mong mala mongrep nyia mongrep dowa timjih jeela erah loong ah emat eh ah; enoothong ngo ih Rangte thung jun ih reela erah bah roitang ih tong ah.
3e021200e0	Nga sah loong, rangkuh thoon tok ah ethok eh hala! Sen loong suh Kristo Piiara thok ha ngeh ban baat choi; amadi Kristo ra loong ah hantek ejen dong ih taha, erah raangtaan ih ejat ehi rangkuh thoon ah ethok eh hala ngeh ah.
3e02130132	Erah mina loong ah amiimiisak di seng damdi rang choh roomsoomte tah ang rumka, erah raangtaan ih seng loong ah thinhaat ih hali; seng damdoh rang choh roomsoomte mok ang rumta bah seng damdoh eroong tong ih rum theng taha. Enoothong seng thinhaat heeno ba jat hi, neng loong ah seng mih tah angka ngeh ah.
3e02140062	Enoothong Kristo ih sen sak ni Esa Chiiala daapkaat taha, eno sen thoontang ih amiisak ah jat han.
3e021500d6	Ngah ih arah raanghang rah sen loong ih amiisak ah lajat kanno tah raangkang; erah langla, sen ih erah jat ehan raangtaan ih ba raanghang, eno sen ih uh ejat ehan, eleek ah maatok uh amiisak taang dowa tah dong ra.
3e021600b4	Erah ang abah eleek ah ngo ah? Eleek loong abah Jisu suh Mesia tah angka liite loong ah. Erah likhiik mina loong abah Kristo Piiara—Hewah nyia Hesah neng enyi nyi dut haat rumha.
3e02170069	Ngo ih Hesah tah kapka erah ih Hewah ah uh tah kapka; Ngo ih Hesah ah ekap eha erah ih Hewah uh ekap eha.
3e021800a2	Enooba, marah ephang di ruurang chaattu erah thin suh kamkam ang uh. Erah ruurang ah an ten nah thin ubah, an saarookwe Hesah nyia Hewah damdi roong thing tonglu.
3e02190049	Eno Kristo heh teeteewah ih seng suh lathoon roidong kot suh kakham tahe.
3e021a0062	Ngah ih sen suh arah raanghang rah langla, ngo ih sen mokwaan chungha erah mina tiit ah raanghang.
3e021b0162	Enoothong sen loong suh bathong aleh Kristo ih Chiiala sen ten ni daapkaat taha. Timthan tuk Chiiala ah sen ten nah tongha, seng suh nyootsoot suh wahoh we jamtheng tah angka. Mamah liidih Chiiala ih jirep nyoot halan, eno marah nyoot halan erah amiisak, eleek tiit tah angka. Marah Chiiala ih nyoot halan erah ekap ih an, eno Kristo damdoh roongtong an.
3e021c00b3	Elang ih ah, nga sah loong, heh damdoh roongtong an, erah doba heh teeteewah dong raaha Sa doh seng loong ah rakri ino tah hutong ke, erah damdi senghang sengchaan ah edong ih ah.
3e021d006f	An ih ejat ehu Kristo ah kateng; erah ang abah an ih ejat etheng, marah mina pun reela erah mina ah Rangte sah.
3e030100ec	Sok thaak an, Hewah ih seng timthan minchan hali! Heh minchan ah erathan rak seng ah Rangte sah ngeh jen poon thuk hali—eno amiimi di seng loong ah hesuh hesah langli. Neng loong ih seng ah tajat ri mamah liidih Rangte ah tajat rumka.
3e03020102	Nga mongnook joonte loong, seng ah belam Rangte suh asah, enoothong seng mamah angte angli erah amadi tuk ih tajatke. Enoothong seng ih ejat ehi Kristo raaha doh seng ah heh likhiik angte angli, mamah liidih heh ah mamah angta erah likhiikkhiik ih kaptup ih.
3e03030061	Marah mina ih Kristo asuh laalom la erah mina ih Kristo saata likhik heh uh sa chamcham angtheng.
3e03040066	Ngo dala erah ih Rangte hotthe thetsiit ha erah ah thila, mamah liidih hotthe thetsiit ha rah rangdah.
3e0305005f	Sen ih ejat ehan Kristo ra taha rah rangdah saahaat ra taha, eno heh di rangdah ah takah jeeka.
3e0306009e	Erah raang ih Kristo damdoh roong tongte loong ah rangdah laka dah theng; Enoothong marah mina daruh ela, erah mina ih heh ah mabah uh tah tupta nyia tajatta.
3e03070081	Nga sah loong, ngo ih uh nak toom mokwaan han! Marah mina pun reela erah mina ah Kristo kateng angla likhiik heh uh kateng angla.
3e030800d7	Marah mina daruh ela erah mina ah Hakhoh juungbaan dabbi, mamah liidih Hakhoh juungbaan ih jaakhoh ni dook phang data. Rangte Sah ah erah thoi ih ra taha, marah Hakhoh juungbaan ih hoonta erah thet haat suh ra taha.
3e030900b8	Marah mina Rangte suh asah angla erah rangdah daruh tah daka, timnge liidih Rangte dang ajang ah neng damdi; edoleh Rangte ah neng Wah, erah thoidi neng ih rangdah ah daruh tah erumka.
3e030a009b	Rangte suh asah nyia Hakhoh juungbaan suh asah loong ah maama ang rum ah: Marah mina ah lapun reeka nyia wahoh lah minchanka rah Rangte suh asah tah angka.
3e030b0054	Jaakhoh ni chaattan jengkhaap ah arah: seng laktung nah minchan mui jaatjaat etheng.
3e030c00d4	Seng loong ah Keen likhiik nak angtheng; Heh ah Ethih Wah rah dakbi angthoi heh no Abel ah tek haatta. Keen ih heh ah tim suh tek haatta? Mamah liidih Keen reeraang ah ethih angta, eno heh no reeta ah epun angta.
3e030d004a	Phoh ano loong mongrep dowa mina loong ih mok miksuk hanbah nak paatja an.
3e030e00d8	Seng ih ejat ehi etek ah thinhaat eti eno ething roidong adi tongli; seng laktung ni minchan mui thaang ih arah jat hi. Marah mina ih phoh ano lah minchanka erah mina ah amadi uh etek chaan aphaan khui ni tong rumla.
3e030f008a	Marah mina ih hephoh heno miksuk ha erah mina ah mih tek haatte, eno sen ih ejat ehan mih tek haatte di lathoon roidong ah tajeeka ang ah.
3e0310009e	Minchan jat hi rah amah: Kristo ih heh teeteewah roidong ah seng raangtaan ih kota, erah likhiikkhiik seng eh uh sengphoh sengno raangtaan ih thing tongtheng!
3e031100ad	Seng changteng angli li ino sengphoh sengno ih timjih jamha erah etup ehi, ang abah uh neng suh tim uh takoke, erabah mamah ma jen chaang ih Rangte ah minchan ehang ngeh ah?
3e031200bf	Nga sah loong, seng dowa minchan ah jengkhaap luulu nyia tiitwaan luulu nah nak toom ang ah, erah nang ih amiisak minchan ah toom ang ah sengre sengraang nawa ih jen noisok theng toom ang ah.
3e0313006d	Erah likhiikkhiik seng ah amiisak dabbi ngeh jat ih: seng loong Rangte ngathong nah rong tangtang jen ang ih.
3e03140095	Sengthung sengtak ih seng loong mok dut haat heebah, seng ih ejat etheng sengthung sengtak nang ih Rangte ah elongthoon eno heh ih jirep roop jat ha.
3e0315009a	Erah raangtaan ih, mongnook joonte loong, sengthung sengtak ih seng asuh lamok damdak riibah, seng loong jinni tenchaan tenthun eje Rangte ngathong ni ah.
3e03160077	Marah suhi, erah heh jin nawa echoh eli, mamah liidih seng ih heh jengdang ah ekap ehi eno heh thung punjih ah ere eli.
3e03170081	Heh jengdang ah langla, seng ih Jisu Kristo suh hanpi ih nyia seng jaachi nah Kristo ih baat tahe likhiikkhiik minchan mui theng.
3e031800de	Marah mina ih Rangte jengdang ah echaat eha erah mina ah heh damdi roong tongla, eno Rangte uh heh damdi roong tongla. Mamah liidih marah Rangte ih koh tahe Chiiala rah ih jatthuk hali, Rangte ah seng damdi roongtong hala.
3e0401011a	Nga mongnook joonte loong, ngo ih ang ah bah uh nga jinni Chiiala eje ngeh baat han bah thoontang nak hanpi an, enoothong thaak teeme eh an eno chiiala ah Rangte taangnawa tam ah ma nawa ah erah dong jat joh an. Mamah liidih mih khowamoong loong ah noongrep ni jen pheekhoom erumta.
3e040200b3	Rangte Chiiala elang tam talangka amah ih danjat an: marah ih Jisu Kristo ah mina ih hoon ano mongrep ni ra taha ngeh hanpiiha erah jinni Rangte taangnawa raaha rah Chiiala je ah.
3e04030105	Enoothong marah ih Jisu ah mina ih hoon ano ra taha ngeh lah hanpiika bah, chiiala ah Rangte taangnawa ra haarah tah angka, enoothong heh taangnawa chiiala ah Kristo Raawah taangnawa ang ah; sen ih echaat etan eraak eha, erah amadi mongrep ni ejen raak ih taha.
3e040400c4	Enoothong nga sah loong, sen ah Rangte mina, eno sen ih lalangka khowah loong ah ejen etan, mamah liidih Chiiala marah sen taang ni angla erah Chiiala ah mongrep dowa chiiala nang ih echaan thoon.
3e04050072	Lalangka khowah ih mongrep tiit baat ha erah mongrep nawa ih ba chaat ah, mamah liidih neng loong ah mongrep dowa.
3e040600ee	Enoothong seng loong ah Rangte mina. Marah mina ih Rangte jat eha erah mina loong ih seng jeng echaat ih ah; ngo Rangte mina tah angka erah mina ih seng jeng tah chaatka. Eno juuba amiisak Chiiala nyia lalangka chiiala ah jen dan baat ih.
3e040700b4	Mongnook joonte loong, seng jaachi nah minchan mui etheng, mamah liidih minchan ah Rangte taangnawa ra taha. Marah mina ih minchan eha erah Rangte suh asah nyia Rangte ah ejat eha.
3e0408005d	Marah mina ih lah minchanka erah mina ih Rangte ah tah jatka, mamah liidih Rangte ah minchan.
3e04090085	Rangte ih heh Sah esiit luulu mongrep ni kaatthuk haano heh minchan ah noisok hali, erah doba heh jun ih seng roidong ah jen choh ih.
3e040a0098	Minchan abah arah: Rangte ah seng ih minchan ino tah angka, enoothong heh ih minchan heeno seng loong rangdah biin anaan raang ih heh Sah daapkaat taha.
3e040b005f	Mongnook joonte loong, Rangte ih emah minchan hali bah, seng laktung nah uh minchan mui etheng.
3e040c00b2	Ngo mina eh uh Rangte ah etup muh, enoothong seng laktung nah minchan mui ibah, Rangte ah seng damdoh roong tongha, eno heh minchan rah seng minchan mui kino epunthoon ih hoonla.
3e040d00a2	Seng loong ten ni kamkam angli seng ah Rangte damdi roong tongli eno Rangte ah seng damdi roongtong hala, mamah liidih heh ih seng loong suh heh Chiiala koh tahe.
3e040e0063	Seng ih etup eti eno wahoh suh baat ehi Hewah ih mongrep puipang suh heh Sah daapkaat taha ngeh ah.
3e040f0075	Jisu ah Rangte Sah mokli ibah, seng loong ah Rangte damdi roong tongli eno Rangte ah seng loong damdi roongtong hala.
3e041000c6	Rangte ih seng minchan hali ah seng teeteewah ih ejat ehi nyia ehanpi ehi. Rangte ah minchan, marah mina minchan ni roong tongla erah Rangte damdi roong tongla eno Rangte uh neng damdi roong tongla.
3e041100d1	Minchan ah seng damdi ang ano epunthoon ih hoonla, dande saadoh seng tenchaan ih jenchap suh ah; seng loong suh tenchaan ah eje angjih, mamah liidih arah mongrep adi seng roidong ah Kristo angla likhiik angli.
3e041200df	Minchan ni echo tah jeeka; epunthoon minchan rah ih echo tenthun tah dong thukka. Erah raangtaan ih ngo mina echo ela heh jinni minchan ah epunthoon tah angka, mamah liidih echo ela ah ehoocham thuktheng eje angthoi choola.
3e04130034	Rangte ih phang minchan thoidi seng ih we minchanhi.
3e041400dc	Rangte ah minchan ehang li ino, phoh ano ah miksuk mok eh ibah, seng loong ah eleek. Erah raangtaan ih seng mik eh tup hi phoh ano ah lamok minchan keebah seng mik eh latupke Rangte ah batang aleh mamah ma mi minchan ih.
3e04150070	Kristo ih koh tahe jengdang abah amah: Ngo ih Rangte minchan ha erah ih phoh ano nep uh minchan jaatjaat etheng.
3e05010082	Ngo ih Jisu ah Mesia ngeh hanpiiha erah mina ah Rangte sah; marah mina ih hewah rah minchan ha erah ih heh sah rah uh minchan eha.
3e0502007d	Rangte suh asah ah minchan ehi ngeh amah re eno jat ih: erah langla Rangte jengdang ah kap ino nyia Rangte ah minchan ino ah.
3e0503006e	Seng ih Rangte suh minchan liihi rah heh jengdang kap hi asuh liiha. Eno heh jengdang ah seng suh tah chaanka,
3e0504007e	mamah liidih timthan Rangte sah angla erah loong ih mongrep ah ejen eh ah. Eno seng tuungmaang je thaang ih mongrep ah jen ih.
3e0505005b	Mongrep ah ngo ih jen jen ah? Ngo ih Jisu ah Rangte Sah ngeh hanpiiha erah mina iba jen ah.
3e050600c7	Jisu Kristo ah langla heh juungtem joong nyia etek eta sih damdi raaha rah. Heh ah joong damdi luulu tah ra taha enoothong joong nyia sih damdi ra taha. Arah amiisak jo ngeh Chiiala heheh ih baat ha.
3e05070011	Haaki ejom je ah:
3e0508004e	Chiiala, joong, nyia sih; eno arah ejom rah ih erarah tiitkhaap ah baat rumha.
3e05090093	Mina tiitkhaap asuh seng ih hanpi ehi; enoothong Rangte tiitkhaap ah erah khotok di uh elongthoon, eno Heh ih heh sah tiitkhaap tiit ah ba baat ha.
3e050a0115	Erah raangtaan ih marah mina ih Rangte Sah asuh hanpiiha erah mina ten ni arah tiitkhaap ah tong ah; enoothong marah mina ih Rangte suh lah hanpiika, erah mina ih Rangte ah eleek ngeh hoonha, mamah liidih marah Rangte ih Heh sah roidong tiit baatta rah neng ih tah hanpi rumka.
3e050b006d	Roidong tiitkhaap ah arah: Rangte ih seng suh lathoon roidong koh tahe, lathoon roidong hiingroop ah heh Sah.
3e050c0082	Ngo jinni arah Sah ah jeela erah mina asuh arah roidong je ah; marah mina jinni arah Rangte Sah ah lah jeeka roidong ah tah jeeka.
3e050d0075	Sen jinni lathoon roidong ah eje ngeh toom jat an suh arah le ah raanghang—sen ih Rangte Sah hanpiihan tiit rah ah.
3e050e008b	Seng loong suh Rangte ngathong ni tenchaan eje, mamah liidih seng ih heh thungpun jun ih tiimjih suhi erah ekot ehe ngeh kamkam ih thun hi.
3e050f0087	Seng ih maatok suh ih eradi echaat ehali; seng ih ejat ehi arah tiit ah amiisak, erah uh ejat ehi maatok heh jinnah wa suh ih ekot ehe.
3e0510014e	Jengthaak asuh anphoh anno etek etheng sengseng rangdah lah daka rah mok tup ubah, sen ih rangsoom kottheng, Rangte ih roidong koh ah. Arah jengkhaap ah marah phoh ano etek etheng sengseng rangdah lah daka loong suh luulu. Enoothong etek lam nah siitte rangdah ah eje, erah likhiik loong asuh Rangte rangsoom koh an ngeh tabaat rumra.
3e05110058	Timthan lalangka reeraang loong ah rangdah, Etek theng nah lathok siitka rangdah uh eje.
3e05120099	Seng ih ejat ehi Rangte suh asah ih hedop hedop takah daka, mamah liidih Rangte Sah ih puipang ruh erumha, eno Ethih Warah ih neng tajen thet haat rumka.
3e05130062	Seng ih ejat ehi arah mongrep ah Ethih Wah lakmong nah ang abah uh, seng loong ah Rangte suh asah.
3e05140110	Ejat ehi Rangte Sah eraak ih taha, eno seng suh samjat etheng tenthun koh tahe, erah dowa ih Rangte ah amiisak ngeh jat hi. Seng loong ah amiisak Rangte damdi roong thingtongli—heh Sah Jisu Kristo damdi roong thingtongli. Eno arah ba amiisak Rangte nyia lathoon roidong.
3e05150056	Ngaasuh ngaasah loong, sen teeteewah mih mokwaante rangte loong dowa haloh ih tong an!
3f00000006	2 Joon
3f010100d4	Mihak phokhoh taangnawa— Mongnook Nah nyia heh sah loong ngah ih amiimi nook rum hang loong asuh raanghang. Nga luulu ih tah minchan rumra enoothong ngo ih amiisak ah jat ha erah loong ih nep minchan rum halan,
3f01020051	mamah liidih amiisak ah seng taang ni tong hala eno saarookwe seng damdoh tongha.
3f0103009e	Seng Wah Rangte, heh Wah Sah Jisu Kristo, ih minchan, tenthet, nyia semroongroong ah toom kohe; erah loong ah amiisak nyi minchan doh seng damdoh toom ang ha.
3f01040075	Ngah timthan tenroon ang tang, an sah loong mararah ah amiisak lam ni nyia Hewah ih baat tahe jun ih tong rum ano ah.
3f010500a8	Eno nga mongnook Nah arah jeng lang: seng jaachi nah minchan mui etheng. Arah sen suh ena jengdang tah raang kang; arah jengdang ah ephang di dook seng jinni eje angta.
3f010600b2	Arah Minchan tiit jenglang ah langla Rangte jengdang ah kap ino tong jaatjaat etheng. Jaakhoh ni dook arah jengkhaap ah echaat choi, sen loong thoontang minchan lam ih tongtheng.
3f010700df	Mih mokwaante loong arah mongrep ni thoontang ni jen pheekhoom erumta, erah mina loong ih Jisu Kristo ah mina ih hoon ano mongrep ni ra taha ngeh tah jat rumka. Erah likhiik mina loong abah mih mokwaante nyia Kristo Piiara.
3f01080094	Banban ih tong an, erah doba seng timjih raangtaan ih reeti erah thaangmuh tah angka ang ah, eno marah thaang chotheng angla erah thoontang choh ih.
3f010900c3	Marah mina Kristo ih nyootsoot ha adoh lah tong thang ehoh nah mok kah ah, Rangte ah heh damdi tajeeka. Marah mina Kristo ih nyoot haadoh tong abah Hewah nyia Hesah wanyi nyi damdoh roong tongla.
3f010a00a9	Enoobah, marah mina arah tiit ah lah baat thang mok wang haabah, sen nok nah nak noppoon an; eno “An damdoh semroongroong toom ang ah” emah taan uh nak jook waan uh.
3f010b0064	Timnge liidih erah taawaan te ah neng thet re rumla damdi neng uh neng joonte ih wak hoon kah rumla.
3f010c00ed	Ngah ih sen suh baat theng hantek je ah, enoothong roong nyia leeraang nawa ih tajook raang kang; erah thaknang ibah, ngah ih thun hang sen jinnah nga teeteewah chomui hangno laan chowaan ih, erah doba seng loong ah rapne tenroon ang ih.
3f010d0046	An mongnook nah suh heh sah loong taangnawa uh jengseera maat rumhala.
4000000006	3 Joon
400101005d	Mihak phokhoh taangnawa— Ngah ih nga mongnook Gaius amiimiisak minchan hang asuh raanghang.
40010200a3	Nga mongnook joonwah, ngah ih rangsoom hang, an damdoh ese toom ang ah eno sakse hanme toomtong uh ngeh ah—mamah liidih ngah ih ejat ehala an chiiala lam ni ese.
40010300a4	Kristaan mina thok rum haano baat rum tahang an amiisak tiit asuh kamkam eh tuungmaanglu—saarookwe amiisak ni kamkam ih tonglu ah chaat angno ngah rapne roonlang.
4001040075	Tim chaat ang di uh emah than tah thaak roonkang, ngaasuh ngaasah amiisak ni tongla chaat angno roonlang thanthan ah.
4001050079	Nga mongnook joonwah, neng loong wenwah ang rum abah uh Kristaan loong raangtaan ih molu ah rapne tuungmaang theng reelu.
400106009f	Neng ih chaas mina loong asuh an minchan tiit ah baat rumha. Neng lakhoom raangtaan ih nong sokboi we an, erah doba Rangte tenroon thuktheng adoh khoom rum ah.
4001070090	Mamah liidih neng loong ah Kristo mootkaat raangtaan ih ejen dokchap erumta, neng ih lah hanpiite loong taangnawa huinong hui suh tah jam rumka.
4001080081	Seng Kristaan loong ah juuba neng loong ah chosok theng jaatjaat, enooba amiisak mootkaat raangtaan ih seng nong kattheng ang ah.
