130000000c	Псалми
2d0b0a009c	Нехай потемніють їхні очі, щоб не бачили, і нехай їхні спини будуть зігнуті назавжди».
2d0b0b0106	Тож я запитую: чи вони спіткнулися, щоб упасти? Зовсім ні! Швидше через їхнє падіння спасіння прийшло до язичників, щоб спонукати їх до ревнощів.
2d0b0c00fe	Але якщо їхнє падіння є багатством для світу, а їхня втрата є багатством для язичників, то наскільки більші багатства принесе їхня повнота!
2d0b0d0096	Звертаюся до вас, язичників, оскільки я, апостол язичників, звеличую своє служіння
2d0b0e007b	у надії, що викличу ревнощі в моїх рідних, щоб рятувати декого з них.
2d0b0f00d3	Бо якщо їхнє відторгнення [принесло] світові примирення, [то що принесе] їхнє прийняття, як не воскресіння з мертвих?
2d0b100092	Якщо закваска свята, то й все тісто [святе]; якщо корінь святий, то й гілки [святі].
2d0b1100f9	Якщо ж деякі гілки були відламані, а ти, дика оливко, була прищеплена серед них і тепер стала живитися з кореня та соку оливкового дерева,
2d0b1200d5	не вихваляйся перед гілками. Якщо ж вихваляєшся, [то пам’ятай, що] не ти підтримуєш корінь, але корінь підтримує тебе.
2d0b13006c	Отже, скажеш: «Гілки були відламані, щоб я був прищеплений».
2d0b1400be	Добре. Але вони були відламані через невіру, а ти тримаєшся завдяки вірі. Не будь нахабним, але май страх.
2d0b150071	Бо якщо Бог не пощадив природних гілок, Він не пощадить і тебе.
2d0b16011e	Отже, зважай на доброту й суворість Бога: суворість до тих, хто відпав, але доброту до тебе, за умови, що ти залишишся в Його доброті. Інакше Він і тебе відріже.
2d0b1700b3	І якщо вони не залишатимуться в невірі, то будуть прищеплені, адже Бог має силу їх знову прищепити.
2d0b180194	Бо якщо ти, відрізаний від дикого за своєю природою оливкового дерева, всупереч природі був прищеплений до доброго оливкового дерева, то наскільки легше ці природні гілки будуть прищеплені до власного оливкового дерева!
2d0b19016a	Брати, щоб ви не вважали себе розумнішими, ніж ви є, я не хочу залишити вас у невіданні щодо цієї таємниці: зачерствіння спало на частину Ізраїлю, і так буде, поки не увійде повна [кількість] язичників,
2d0b1a00df	і таким чином увесь Ізраїль буде спасенний. Як написано: «Визволитель прийде із Сіону; Він відверне безбожність від Якова.
2d0b1b0056	І це Мій Завіт із ними, коли Я усуну їхні гріхи».
2d0b1c00af	Щодо Доброї Звістки, то вони вороги задля вас, але щодо обрання, то вони улюблені через праотців,
2d0b1d0051	адже Божі дари та Його покликання непохитні.
2d0b1e00b2	Так само як ви колись були неслухняні Богові, але тепер отримали милість через їхню непокірність,
2d0b1f00b0	так і вони нині стали непокірними, щоб через милосердя Боже до вас і вони могли отримати милість.
2d0b200062	Адже Бог замкнув усіх у непокору, щоб помилувати всіх.
2d0b2100b2	О, глибино багатства, мудрості й знання Бога! Які незбагненні Його суди й недосліджені шляхи Його!
2d0b220062	«Хто пізнав задум Господа? Або хто був Його радником?»
2d0b230062	«Хто колись дав щось Богові, щоб Він мусив повернути?»
2d0b24007c	Адже все від Нього, через Нього й для Нього. Йому слава навіки! Амінь.
2d0c0100fd	Тому я закликаю вас, брати, заради милості Божої принесіть свої тіла як живу, святу й приємну Богові жертву. [Це буде] ваше духовне служіння.
2d0c0200f4	Не підлаштовуйтесь під цей світ, але перемінюйтеся, оновлюючи ваш розум, щоб ви могли пізнати, що воля Божа добра, приємна й досконала.
2d0c03010e	Через дану мені благодать я кажу кожному з вас: не будьте зарозумілі, а судіть про себе розумно, відповідно до віри, яку Бог розподілив кожному з вас.
2d0c040093	Бо як одне тіло складається з багатьох частин і всі вони не мають однакової ролі,
2d0c0500a6	так і ми, хоч нас і багато, утворюємо одне тіло в Христі, і кожен є частиною тіла одне одного.
2d0c0600d9	Ми маємо різні дари згідно з наданою нам благодаттю. Якщо [хтось має дар] пророкувати, [хай пророкує] відповідно до віри,
2d0c070087	якщо [хтось має дар] служіння, [хай] служить, якщо [дар] навчати, [хай] навчає,
2d0c080165	якщо [дар] підбадьорювати, [хай] підбадьорює, якщо [дар] допомагати, [хай] допомагає зі щирістю; якщо [дар] керівництва, [хай робить це] старанно, якщо [дар] виявляти милосердя, [хай робить це] з радістю.
2d0c090071	Нехай ваша любов буде щирою. Ненавидьте зло, тримайтеся добра.
2d0c0a008c	Любіть одне одного по-братерськи. Шануйте одне одного більше, ніж самих себе.
2d0c0b0070	У старанності не лінуйтеся, палайте духом, служачи Господеві.
2d0c0c0082	Будьте радісними в надії, терплячими в скорботі та відданими в молитві.
2d0c0d008a	Допомагайте святим у їхніх потребах. Прагніть завжди виявляти гостинність.
2d0c0e0086	Благословляйте тих, хто вас переслідує; благословляйте, а не проклинайте.
2d0c0f005e	Радійте з тими, хто радіє, і плачте з тими, хто плаче.
2d0c1000d1	Живіть у порозумінні одне з одним. Не будьте зарозумілі, але наслідуйте покірних. Не будьте мудрими у власних очах.
2d0c11008e	Не відплачуйте нікому злом за зло. Дбайте про те, що є добрим в очах усіх людей.
2d0c120085	Якщо можливо, наскільки це залежить від вас, живіть у мирі з усіма людьми.
2d0c1300e9	Улюблені, не мстіть за себе, але залиште місце для [Божого] гніву, бо написано: «Мені належить помста і відплата», – каже Господь.
2d0c140116	Тож: «Якщо твій ненависник голодний, нагодуй його хлібом; а якщо він спраглий, то дай йому напитися. Адже так ти збереш йому розжарене вугілля на голову».
2d0c150066	Не дозволь злу перемогти тебе, але зло перемагай добром.
2d0d0100f4	Кожна людина нехай підкоряється вищій владі, бо немає влади, крім тієї, яку встановив Бог. [Влади], які існують, були встановлені Богом.
2d0d0200c2	Отже, той, хто противиться владі, противиться Божому порядку, а ті, хто противиться, накликають на себе суд.
2d0d03011b	Адже правителі не страшні для тих, хто чинить добрі діла, а для тих, хто чинить зло. Хочеш не боятися влади? Тоді роби те, що добре, й отримаєш похвалу від неї.
2d0d040149	Бо [правитель] – це служитель Бога тобі на добро. Але якщо будеш чинити зло, бійся, бо недаремно він носить меч. Він слуга Божий, месник, який приносить покарання тому, хто чинить зло.
2d0d050093	Отже, потрібно підкорятися не лише через [страх його] гніву, але й через сумління.
2d0d0600a7	Тому ви й платите податки, бо [влада] – Божі слуги, які постійно зайняті своїми обов’язками.
2d0d0700c5	Віддайте всім належне: кому податок – податок, кому мито – мито, кому повагу – повагу, кому пошану – пошану.
2d0d0800aa	Нікому нічого не будьте винні, окрім взаємної любові, бо хто любить іншого, той виконав Закон.
2d0d090122	Адже заповіді: «Не чини перелюбу», «Не вбивай», «Не вкради», «Не бажай» і будь-яка інша заповідь містяться в цьому слові: «Люби ближнього свого, як самого себе».
2d0d0a007b	Любов не чинить ближньому зла. Тому любов – це і є виконання Закону.
2d0d0b00e7	Тим більше ви знаєте, [який це] час, що вже настала пора прокинутися від сну, бо наше спасіння ближче зараз, ніж коли ми повірили.
2d0d0c00b7	Ніч майже закінчилася, і наближається день. Тож відкиньмо діла темряви й зодягнімось у зброю світла.
2d0d0d00c3	Поводьмося пристойно, як удень, не в гульні та пияцтві, не в перелюбі та розпусті, не у сварках та заздрощах.
2d0d0e00a0	Але зодягніться в Господа Ісуса Христа і турботу про тіло не перетворюйте в пристрасть.
2d0e010073	Щиро приймайте слабкого у вірі, без суперечок про спірні думки.
2d0e020080	Один вірить, що можна їсти все, а інший, слабкий у вірі, їсть лише овочі.
2d0e030113	Той, хто їсть [усе без розбору], не повинен зневажати того, хто не їсть, а той, хто не їсть [усього], не повинен судити того, хто їсть, адже Бог його прийняв.
2d0e0400f1	Хто ти, щоб судити чужого слугу? Його господар [вирішує], стоїть він чи падає. Але він буде стояти, бо Господь здатний підтримати його.
2d0e0500e4	Хтось вважає один день важливішим від іншого, а хтось вважає всі дні [однаковими]. Нехай кожний тримається свого переконання.
2d0e06013a	Хто вважає один день [особливим], робить це для Господа. Хто їсть м’ясо, той робить це для Господа, бо дякує Богові; і хто не їсть, той теж робить це для Господа й дякує Богові.
2d0e070074	Бо ніхто з нас не живе для себе й ніхто з нас не помирає для себе.
2d0e0800e3	Якщо ми живемо, живемо для Господа, і якщо вмираємо, вмираємо для Господа. Отже, чи живемо, чи вмираємо, ми належимо Господеві.
2d0e090098	Бо саме для цього Христос помер і воскрес, щоб бути Господом як мертвих, так і живих.
2d0e0a00ce	Тоді чому ти осуджуєш свого брата? Або чому ти зневажаєш свого брата? Адже всі ми будемо стояти перед судом Божим.
2d0e0b00cd	Бо написано: «Як Я живу, – промовляє Господь, – так кожне коліно схилиться переді Мною і кожен язик визнає Бога».
2d0e0c005d	Тож кожен із нас відповідатиме за себе перед Богом.
2d0e0d00c0	Тому не будемо осуджувати одне одного. Краще постановіть не ставити жодної перешкоди чи спокуси братові.
2d0e0e0104	Я знаю й повністю переконаний у Господі Ісусі, що нічого не є нечистим саме по собі. Але якщо хтось вважає щось нечистим, то для того це нечисте.
2d0e0f00dc	Якщо твій брат засмучений через твою їжу, то ти більше не дієш по любові. Не знищуй своєю їжею того, за кого помер Христос.
2d0e10005e	Не [допускайте], щоб зневажалося те добре, що у вас є.
2d0e110094	Бо Царство Боже – це не їжа та пиття, а праведність, мир та радість у Святому Дусі,
2d0e120096	бо кожен, хто служить Христу таким чином, той до вподоби Богові й шанований людьми.
2d0e13006d	Отже, дбаймо про те, що веде до миру та взаємного збудування.
2d0e1400d8	Не руйнуйте Божого діла заради їжі. Уся їжа чиста, але погано, якщо людина їсть так, що спричиняє цим комусь спотикання.
2d0e1500c7	Краще не їсти м’яса, не пити вина й не робити чогось, через що брат твій спотикається, спокушається чи слабне.
2d0e1600be	Отже, віру, яку ти маєш, зберігай між собою і Богом. Блаженний той, хто не засуджує себе за власне рішення.
2d0e1700d9	Але хто має сумніви, коли їсть, той вже засуджений, бо [поводиться] не відповідно до віри, а все, що не від віри, – це гріх.
2d0f01007a	Ми, сильні, повинні нести немочі слабких, а не собі [лише] догоджати.
2d0f020088	Кожен із нас нехай догоджає ближньому на добро, для [духовного] збудування.
2d0f0300ac	Бо і Христос не догоджав Собі, але, як написано: «Зневага тих, хто ганьбить Тебе, впала на Мене».
2d0f0400ee	Усе, що було написано в минулому, написано для нашого навчання, щоб через терпіння та підбадьорення, яке дає Писання, ми мали надію.
2d0f0500ce	Нехай Бог, Який дарує терпіння та підбадьорення, дарує вам бути однодумними між собою, за прикладом Ісуса Христа,
2d0f0600a1	щоб ви однією думкою й одним голосом прославили Бога й Отця Господа нашого Ісуса Христа.
2d0f070086	Тож приймайте одне одного так само, як Христос прийняв вас до слави Божої.
2d0f0800bf	Бо я кажу вам: Христос став слугою обрізання для Божої істини, щоб підтвердити обітниці, дані патріархам,
2d0f090103	і щоб язичники прославили Бога за Його милість. Як написано: «За це я славитиму Тебе серед народів, Господи, та імені Твоєму співатиму [хвалу]».
2d0f0a0059	І ще сказано: «Радійте, язичники, з Його народом!»
2d0f0b0072	І знов: «Славте Господа, усі народи! Хваліть Його, усі племена!»
2d0f0c00c2	І знов Ісая каже: «Прийде Корінь Єссея і стане панувати над народами, на Нього народи покладуть усю надію».
2d0f0d00c4	Нехай Бог надії наповнить вас усією радістю й миром у вірі, щоб ви силою Святого Духа були наповнені надією.
2d0f0e00c2	Я переконаний, брати мої, що ви самі сповнені добра, наповнені всяким знанням і можете навчити одне одного.
2d0f0f00c0	І все ж я написав вам, подекуди сміливіше, щоб нагадати вам про деякі речі через дану мені Богом благодать
2d0f100161	бути служителем Ісуса Христа для язичників, виконувати священницьке служіння й проголошувати Добру Звістку Божу, щоб язичники стали приношенням жертовним, приємним та освяченим Святим Духом.
2d0f110075	Отже, я маю, чим похвалитися в Ісусі Христі щодо служіння Богові.
2d0f120132	Я б не наважився говорити ні про що, крім того, що Христос зробив через мене, – словом і ділом, – щоб привести язичників до послуху перед Богом через мої слова та вчинки,
2d0f1300f6	а також силою ознак та чудес і силою Божого Духа. Отже, з Єрусалима й повсюди аж до Іллірика я повністю проголосив Добру Звістку Христа.
2d0f1400f4	Моєю метою завжди було проповідувати Добру Звістку там, де Христос не був відомий, щоб не будувати на основі, закладеній кимось іншим,
2d0f150096	як і написано: «Ті, кому про Нього не казали, побачать, і ті, хто не чув, зрозуміють».
2d0f16006c	Тому я неодноразово стикався з перешкодами на шляху до вас.
2d0f1700ab	Але тепер, не маючи більше [такого] місця в цих землях, я вже кілька років прагну відвідати вас.
2d0f180163	Я планую зробити це, коли вирушу до Іспанії, і сподіваюся побачити вас під час проїзду, щоб ви допомогли мені в моїй подорожі туди, після того, як я деякий час насолоджуватимусь вашим товариством.
2d0f190067	Однак тепер я їду до Єрусалима, щоб послужити там святим,
2d0f1a00a5	бо Македонія та Ахая були раді зібрати деяку пожертву для бідних серед святих в Єрусалимі.
2d0f1b0125	Вони були раді це зробити, адже були їхніми боржниками. Як юдеї поділилися духовними благами з язичниками, так і язичники зобов’язані послужити їм матеріально.
2d0f1c00c1	Отже, коли я це владнаю й переконаюся, що вони отримали цей дар, то вирушу в Іспанію й дорогою відвідаю вас.
2d0f1d0084	Я знаю, що коли я прийду до вас, то прийду в повноті благословення Христа.
2d0f1e00dc	Я закликаю вас, брати, через Господа нашого Ісуса Христа й через любов Духа, щоб ви разом зі мною молилися за мене до Бога,
2d0f1f00b0	щоб я був врятований від невіруючих в Юдеї і щоб моє служіння в Єрусалимі було до вподоби святим;
2d0f20008b	щоб я з радістю прийшов до вас, якщо на те воля Божа, і відпочив разом із вами.
2d0f210047	Нехай Бог миру буде з усіма вами. Амінь.
2d10010073	Я представляю вам нашу сестру Фіву, служницю церкви в Кенхреях.
2d100200ff	Прийміть її в Господі, як личить святим, і допомагайте їй у всьому, у чому вона матиме потребу, бо вона була помічницею багатьом і мені також.
2d1003007c	Привітайте Прискіллу та Акилу, моїх співпрацівників у Христі Ісусі.
2d100400b4	Вони готові були покласти свої голови заради мене. Не тільки я їм дякую, але й усі церкви язичників.
2d100500ff	Привітайте також церкву, яка збирається в їхньому домі. Привітайте мого улюбленого [друга] Епенета, який першим навернувся до Христа в Азії.
2d10060056	Привітайте Марію, яка багато працювала для вас.
2d10070105	Привітайте Андроніка та Юнію, моїх родичів, які були зі мною у в’язниці. Їх поважають серед апостолів, і вони раніше за мене увірували в Христа.
2d10080060	Привітайте Амплія, мого улюбленого [друга] в Господі.
2d100900ac	Вітайте Урбана, який працював разом зі мною в Христі, [а також] і мого улюбленого [друга] Стахія.
2d100a00d4	Привітайте Апеллеса, чия вірність у Христі витримала випробування. Привітайте тих, хто належить до дому Аристовула.
2d100b0091	Привітайте Іродіона, мого родича. Привітайте тих із дому Наркіса, хто в Господі.
2d100c00f1	Привітайте Трифену та Трифосу, які наполегливо працюють у Господі. Привітайте мою улюблену Персиду, яка багато працювала в Господі.
2d100d0087	Привітайте Руфа, обраного в Господі, і його матір, яка й мені була матір’ю.
2d100e00b0	Привітайте Асинкрита, Флегона, Гермеса, Патрова, Гермаса та інших братів, які знаходяться з ними.
2d100f0094	Привітайте Філолога, Юлію, Нірея та його сестру, Олімпа та всіх святих, які з ними.
2d10100083	Вітайте одне одного святим поцілунком. Усі Христові церкви вітають вас.
2d1011011b	Я закликаю вас, брати, остерігайтеся тих, хто спричиняє розбіжності й ставить на вашому шляху перешкоди, що суперечать вченню, яке ви прийняли. Уникайте їх.
2d101200f3	Бо такі люди служать не нашому Господу Христу, а власному череву, і через своє красномовство й лестощі вони обманюють серця невинних.
2d101300d2	Усі чули про ваш послух, тому я радію за вас, але хочу, щоб ви були мудрими в тому, що добре, і невинними в тому, що зле.
2d101400bf	Бог миру незабаром розчавить сатану під вашими ногами. Благодать Господа нашого Ісуса нехай буде з вами.
2d101500af	Тимофій, з яким працюємо разом, надсилає вам привітання, як і Луцій, Ясон та Сосипатр, мої родичі.
2d10160068	Я, Терцій, що записав цього листа, теж вітаю вас у Господі.
2d1017010d	Гай, який гостинно приймає мене та всю церкву, надсилає вам привітання. Ераст, міський скарбник, і наш брат Квартус також надсилають вам привітання.
2d1018007e	Благодать нашого Господа Ісуса Христа нехай буде з усіма вами! Амінь.
2d10190109	Тому, Хто здатний зміцнити вас відповідно до моєї Доброї Звістки та проповіді Ісуса Христа, згідно з відкриттям таємниці, прихованої споконвіку,
2d101a00b0	але тепер за наказом вічного Бога відкритої усім народам через Писання пророків, на послух вірі;
2d101b0072	єдиному мудрому Богові через Ісуса Христа слава навіки! Амінь.
2e00000017	1 до коринтян
2e01010086	Павло, покликаний з волі Божої бути апостолом Христа Ісуса, і брат Состен.
2e01020179	Церкві Божій в Коринфі, тим, хто освячений у Христі Ісусі та покликаний бути Його святим [народом], разом з усіма, хто призиває в будь-якому місці ім’я нашого Господа Ісуса Христа – [Господа] їхнього й нашого.
2e0103007d	Благодать вам і мир від Бога, нашого Отця, і від Господа Ісуса Христа.
2e01040093	Я завжди дякую моєму Богові за вас і за Його благодать, надану вам у Христі Ісусі.
2e01050083	Бо в Ньому ви збагатились у всьому: і в усякому слові, і в усякому знанні,
2e0106005d	оскільки свідчення про Христа підтвердилося у вас.
2e010700ab	Тож вам, що очікуєте з’явлення нашого Господа Ісуса Христа, не бракує жодного дару благодаті.
2e0108009a	Він зміцнить вас до кінця, [щоб ви були] невинними в День нашого Господа Ісуса Христа.
2e010900ad	Вірний Бог, через Якого ви покликані до спільності з Його Сином Ісусом Христом, нашим Господом.
2e010a0136	Закликаю вас, брати, іменем нашого Господа Ісуса Христа, щоб ви всі говорили одне й щоб не було між вами розділень, натомість майте цілковиту єдність у думках і розумінні.
2e010b007d	Адже, брати мої, [люди] Хлої доповіли мені, що між вами існують сварки.
2e010c00c5	Я маю на увазі, що одні з вас кажуть: «Я – Павла!», інші: «Я – Аполлоса!», ще інші: «Я – Кифи!» або: «Я – Христа!»
2e010d00b8	Невже Христос поділений? Чи, може, Павло був розіп’ятий за вас? Чи, може, ви в ім’я Павла були хрещені?
2e010e007d	Я дякую Богові за те, що не хрестив жодного з вас, окрім Криспа та Гая,
2e010f005b	щоб ніхто не сказав, що ви були хрещені в моє ім’я.
2e0110008e	[Щоправда,] я охрестив і дім Стефана, але не знаю, чи хрестив я ще когось іншого.
2e01110107	Бо Христос послав мене не хрестити, а звіщати Добру Звістку, причому не мудрістю красномовства, щоб хрест Христа не був позбавлений [своєї сили].
2e011200a6	Адже звістка хреста – це безумство для тих, хто гине, але для нас, спасенних, – це Божа сила.
2e01130077	Бо написано: «Я знищу мудрість мудрих та відкину розум розумних».
2e011400af	Де мудрець? Де книжник? Де мислитель цього віку? Хіба Бог не обернув на безумство мудрість світу?
2e0115015e	Оскільки за великою мудрістю Бога світ, незважаючи на всю [свою] мудрість, так і не зміг пізнати Бога, [то] до вподоби було Богу спасти тих, хто вірить, через безумство проповіді [Доброї Звістки].
2e0116005a	Бо юдеї вимагають знаків, греки шукають мудрості,
2e011700ae	а ми проповідуємо розіп’ятого Христа – камінь спотикання для юдеїв і безумство для язичників.
2e01180094	Але для покликаних – чи то юдеїв, чи то греків – Христос є силою та мудрістю Бога.
2e01190088	Адже Боже безумство мудріше від людей і Божа слабкість сильніша від людей.
2e011a00de	Брати, зверніть увагу на ваше покликання: [серед вас] небагато по-людському мудрих, небагато сильних, небагато вельможних.
2e011b00b3	Але Бог обрав безумне світу, щоб осоромити мудрих, і Бог обрав слабке світу, щоб осоромити сильних.
2e011c009e	Бог обрав низьке та зневажене світу, те, чого [ніби] не існує, аби скасувати те, що існує,
2e011d0051	щоб жодна людина не вихвалялася перед Богом.
2e011e00d9	Завдяки Йому ви знаходитесь у Христі Ісусі, Який став для нас мудрістю від Бога, праведністю, святістю та відкупленням,
2e011f007e	адже написано: «Той, хто вихваляється, нехай вихваляється в Господі».
2e020100b1	Так і я, брати, прибувши до вас, не прийшов звіщати Божу таємницю майстерністю слова або мудрістю,
2e02020098	адже я вирішив не знати серед вас нічого, окрім Ісуса Христа, і то Його розіп’ятого.
2e0203007b	Я перебував серед вас у слабкості, у страху та у великому тремтінні.
2e020400ae	Моє слово та моя проповідь не [полягали] в переконливих словах мудрості, а в прояві Духа та сили,
2e02050075	щоб ваша віра [ґрунтувалася] не на мудрості людей, а на силі Бога.
2e020600e7	Усе ж таки ми говоримо про мудрість між довершеними, а не про мудрість цього віку й не про керівників цього віку, які проходять.
2e020700cb	Ми говоримо про Божу мудрість, заховану в таємниці, яку Бог заздалегідь призначив для нашої слави перед віками.
2e020800c2	І цієї мудрості не пізнав жоден із правителів цього віку, бо якби пізнали, то не розіп’яли б Господа слави.
2e020900e7	Але як написано: «Око не бачило, та вухо не чуло, і до серця людського не підіймалося те, що Бог приготував тим, хто любить Його».
2e020a008a	А нам Бог відкрив це через Духа. Адже Дух усе досліджує, навіть Божі глибини.
2e020b00df	І дійсно, хто знає те, що є в людині, як не людський дух, який є в ній? Так само ніхто не знає те, що є в Бозі, окрім Божого Духа.
2e020c008e	Ми ж не маємо духа світу, але Духа від Бога, щоб знати те, що дароване нам Богом.
2e020d00d4	І говоримо про це не словами, яких навчає людська мудрість, а [словами,] вивченими в Дусі, пояснюючи духовне духовним.
2e020e010a	А плотська людина не приймає того, що від Божого Духа, бо для неї це безумство; і вона не може [цього] пізнати, адже про це можна судити лише духовно.
2e020f004f	Духовний судить усе, а його ніхто не судить.
2e02100089	Адже «Хто пізнав задум Господа, щоб порадити Йому?» Ми ж маємо розум Христа.
2e030100d7	Брати, навіть я не зміг говорити з вами як із духовними [людьми], а [говорив] як із тілесними, як із немовлятами в Христі.
2e030200a4	І годував вас молоком, а не твердою їжею, бо ви не могли [її їсти]. Та навіть зараз не можете,
2e030300f8	оскільки ви ще досі тілесні. Адже якщо між вами ще є заздрість, сварки та розділення, то хіба ви не тілесні й не поводитесь, як [інші] люди?
2e030400b8	Ось коли хтось каже: «Я – Павла!», а інший: «Я – Аполлоса!», то хіба ви не поводитеся так, як [інші] люди?
2e030500b7	Адже хто такий Аполлос? Чи хто такий Павло? Служителі, через яких ви повірили, як кожному дав Господь.
2e0306004b	Я посадив, Аполлос полив, але Бог зростив.
2e0307008f	Тому ні той, хто садить, ні той, хто поливає, не є кимось, а лише Бог, Який зрощує.
2e03080097	Хто садить і хто поливає – одне, але кожен отримає нагороду згідно зі своєю працею.
2e03090064	Адже ми Божі працівники, а ви – Божа нива, Божа будівля.
2e030a00f6	За Божою благодаттю, даною мені, я, як мудрий будівельник, заклав основу, а інший будує на ній. Але нехай кожен дивиться уважно, як будує.
2e030b009b	Адже ніхто не може закласти іншої основи замість вже закладеної, якою є Ісус Христос.
2e030c00b7	А якщо хтось будує на цій основі золотом, сріблом, дорогоцінним камінням, деревом, травою чи соломою,
2e030d00d1	то праця кожного стане явною: День [Ісуса Христа][все] прояснить, бо вогонь виявить усе й перевірить роботу кожного.
2e030e0068	Якщо збудоване [людиною] вистоїть, вона отримає нагороду,
2e030f00a7	а якщо її праця згорить, вона зазнає збитків, хоча сама буде спасенна, але наче крізь вогонь.
2e03100068	Чи не знаєте, що ви – Божий храм і Дух Бога проживає у вас?
2e0311009f	Якщо хтось зруйнує Божий храм, то його зруйнує Бог, тому що Божий храм святий, а ним є ви.
2e031200d6	Нехай ніхто не обманює себе! Якщо хтось із вас вважає себе мудрим у цьому віці, нехай стане безумним, щоб стати мудрим!
2e031300c4	Адже мудрість цього світу – це безумство перед Богом. Бо написано: «Він ловить мудреців їхньою ж хитрістю».
2e03140065	І знову: «Господь знає думки мудрих, що вони – марнота».
2e03150070	Отже, нехай ніхто не вихваляється людьми, бо вам належить усе:
2e031600ab	чи Павло, чи Аполлос, чи Кифа, чи світ, чи життя, чи смерть, чи теперішнє, чи майбутнє – усе ваше,
2e0317003f	ви ж – Христові, а Христос – Божий.
2e04010081	Нехай люди сприймають нас як слуг Христа й управителів Божих таємниць.
2e0402005f	А від управителів вимагається, щоб кожен був вірний.
2e040300bb	І мене найменше хвилює те, як мене судитимете ви чи людський суд. Навіть більше, я й сам себе не осуджую.
2e04040093	Моє сумління чисте, але не через це я виправданий: Господь – Той, Хто судить мене.
2e04050120	Тому нічого не судіть передчасно, поки не прийде Господь, Який освітить заховане в темряві та покаже наміри сердець. Тоді кожен отримає свою похвалу від Бога.
2e0406011e	Це, брати, я відніс до себе та Аполлоса задля вас, щоб від нас ви навчилися, [що означає]: «Нічого понад те, що написано», аби ви не загордилися один перед одним.
2e040700e0	Адже хто робить тебе особливим? Що ти маєш такого, чого б не отримав? І якщо ти це отримав, чому вихваляєшся, ніби не отримав?
2e040800ec	Ви вже наситилися! Ви вже збагатилися! Ви почали царювати без нас! І хоч би дійсно почали царювати, щоб і ми царювали разом із вами!
2e04090112	Адже я думаю, що Бог поставив нас, апостолів, останніми [в черзі], як призначених для смерті [на арені], бо ми стали видовищем для світу, ангелів та людей.
2e040a00b8	Ми безумні заради Христа, а ви ж мудреці в Христі! Ми слабкі, а ви сильні! Ви в пошані, а ми знеславлені!
2e040b009c	І досі ми відчуваємо голод та спрагу, ходимо в лахмітті, зносимо побої, не маємо житла,
2e040c00d4	виснажуємося, працюючи важко своїми руками. Коли нас проклинають, ми благословляємо; нас переслідують, а ми терпимо;
2e040d00b9	коли нас ганьблять, ми підбадьорюємо. Ми стали наче сміття для світу, наче нечистоти для всіх дотепер.
2e040e00a2	Я пишу вам це не для того, щоб осоромити вас, а для того, щоб наставити як моїх любих дітей.
2e040f00e1	Навіть якби ви мали десять тисяч наставників, батьків у вас небагато. Адже я породив вас у Христі Ісусі через Добру Звістку.
2e04100057	Тож закликаю вас: станьте моїми послідовниками!
2e0411010c	Тому я послав вам Тимофія, мою улюблену та вірну дитину в Господі. Він нагадає вам мої шляхи в Христі Ісусі, так як я навчаю повсюди, у кожній церкві.
2e04120057	Деякі загордилися, наче б я не мав прийти до вас.
2e041300b8	Але, якщо Господь забажає, я скоро прийду до вас і побачу не тільки слова, а й силу тих, що загордилися.
