0100000003	Mui
2c0f0d0041	Ela sia: dagobeba:le, Ya:mese amane sia:i, “Na fi dunu! Nabima!
2c0f0e008d	Gode da Dienadaile dunu fi ilima Ea asigi hou olelema:ne, Ema fa:no bobogema:ne dunu fi ilegei dagoi. Saimone da amo hou ninima olelei dagoi.
2c0f0f0069	Musa: balofede dunu ilia sia: Gode Sia: Dedei Buga ganodini dedei diala da amo hou defele olelesa, amane,
2c0f100094	‘Hina Gode da amane sia:sa; Hobea, Na da bu misini, Da:ibidi ea hina bagade hou bu wa:lesimu. Amo da wadela:lesiba:le dafai, be Na da bu hahamomu.
2c0f11009d	Amasea, eno osobo bagade fifi asi gala dunu da Nama doaga:mu. Na da Na fi ganodini esaloma:ne, Dienadaile dunu ilegei dagoi. Amo dunu huluane da nama misunu.
2c0f120040	Hina Gode da amo sia:sa. E da musa: hemonega olelei dagoi.’”
2c0f130089	Ya:mese da eno amane sia:i, “Na agoane dawa:! Dienadaile dunu ilia waha Godema sinidigilala, ilima ninia se imunu da defea hame galebe.
2c0f140176	Be amo hou fisili, ninia ilima meloa dedene imunu da defea. Amane, ‘Ha:i manu da loboga hamoi ogogosu ‘gode’ o wadela:i a:silibu ilima imunusa: lai dagoiba:le sema hamoi, amo mae moma. Amola wadela:i uda lasu hou amola sama da ea sama adole lasu hou, amo agoai hou huluane mae hamoma. Amola maga:me mae moma amola ohe fi amo da galogoa ga:iba:le medoi amo mae moma!’
2c0f1500a3	Bai Mousese ea Sema da musa: amola wali, ilia Sa:bade eso huluane sinagoge diasu ganodini idilala. Amola ilia da moilai huluane amo ganodini, ea sia: olelelala.”
2c0f16016a	Amalalu, asunasi dunu, sese asigilai dunu amola Yesu Ea fa:no bobogesu dunu huluane, fofada:nanu, ilia gilisisu amoga dunu enoma ilegemusa: dawa:i galu. Amo dunu ilia amola Bolo amola Banaba:se, A:dioge moilaiga asunasimusa: dawa:i. Ilia da dunu aduna, amo Yudase (eno dio da Basaba:se,) amola Sailase, ela hou hahawane ba:i. Amaiba:le, ilia da amo dunu asunasi.
2c0f1700e5	Ilia meloa dedene, ili gaguli masa:ne i, amane, “Ninia asunasi dunu amola sese asigilai dunu - dilia olalali - ninia da dili Dienadaile dunu A:dioge moilai, Silia soge amola Silisia soge amo ganodini esala, dilima asigi sia:sa.
2c0f180097	Ninia gilisisu dunu mogili da asili, ilia sia:beba:le dilima se bagade iasu, amo ninia nabi dagoi. Be amo hou hamomusa:, ninia da ilima hamedafa sia:i.
2c0f1900a1	Amaiba:le, ninia gilisili, fofada:nanu, dilima ilegei adole iasu dunu asunasimusa: dawa:i galu. Ela da ninia dogolegei na:iyado Banaba:se amola Bolo sigi masunu.
2c0f1a0073	Banaba:se amola Bolo da Hina Gode Yesu Gelesu Ea hawa: hamobeba:le, eno dunu ilia ela medole legemusa: dawa:i galu.
2c0f1b0079	Defea! Ninia Yudase amola Sailase, dilima asuna ahoa. Ela da lafidili, nini meloa dedei liligi defele dilima adole imunu.
2c0f1c00b3	Gode Ea A:silibu Hadigidafa Gala amola nini, da asigi dawa:su afadafa hamoi dagoi amane. Dilia dioi bagade liligi amoma mae dawa:ma. Be hagudu dedei liligi fawane nabawane hamoma.
2c0f1d014e	‘Ha:i manu da loboga hamoi ogogosu ‘gode’ ma wadela:i a:silibu ilima imunusa: lai dagoiba:le sema hamoi, amo mae moma. Maga:me mae moma. Ohe fi amo da galogoa ga:iba:le medoi amo mae moma. Amola wadela:i uda lasu hou huluane mae hamoma. Amo liligi huluane fisili, dilia hou ida:iwane hamosu dunu agoane ba:mu. Dilima asigisa!’
2c0f1e00b8	Ilia da sia: adole iasu dunu asunasi. Ilia da A:dioge moilaiga doaga:le, ilia sia:beba:le, Yesu Ea fa:no bobogesu fi dunu huluane da gilisi dagoi. Amalalu, ilia da ilima meloa dedei i.
2c0f1f0062	Ilia da amo sia: idibiba:le, amola asigi sia: amo ganodini dedei ba:beba:le, hahawane bagade ba:i.
2c0f200096	Yudase amola Sailase, (ela amola da balofede hou dawa:i) ela da ilima mae beda:iwane, ilia dogo denesima:ne amola gasa ima:ne, sia: sedagawane olelei.
2c0f210073	Ela da amo moilaiga esalu, Yesu Ea fa:no bobogesu fi dunu da ela olofoiwane ela asunasi dunuma buhagima:ne asunasi.
2c0f22002b	Be Sailase da amogawi bu esalumusa: dawa:i.
2c0f230088	Bolo amola Banaba:se ela amola da A:dioge moilaiga esalu. Ela amola eno dunu bagohame da gilisili Hina Gode Ea sia: Ida:iwane olelelalu.
2c0f2400b3	Fa:no, Bolo da Banaba:sema amane sia:i, “Defea! Ninia buhagili, ninia musa: moilaiga nini Hina Gode Sia: olelei, ninia fi dunu ilia waha esalebe hou ba:musa: masunu da defea!”
2c0f25002f	Banaba:se da Yone Maga sigi masunu dawa:i galu.
2c0f260094	Be Bolo da amo dunu sigi masunu higa:i galu. Bai Yone Maga da musa: ea hawa: hamosu mae dagole, Ba:mafilia soge udigili yolesili, sinidigili buhagi.
2c0f2700c2	Bolo amola Banaba:se, da sia:ga gegei. Sia:ga bagade gegeiba:le, ela da afafai. Banaba:se da Yone Maga oule asili, foga ahoasu dusagai amo ganodini fila heda:le, Saibalase ogaga doaga:musa: asi.
2c0f2800b7	Be Bolo da fidisu dunu eno amo ea dio Sailase amo ilegele, yolesili asi. Ahoabeba:le, Gode da ela hahawane dogolegele fidima:ne, Yesu Ea fa:no bobogesu fi dunu da Godema sia:ne gadoi.
2c0f290067	Ela da Silia amola Silisia, amo soge ganodini Gode Ea fa:no bobogesu fi huluane ilima gasa ima:ne lalu.
2c100100e2	Bolo da asili, Debe moilaiga doaga:le, yolesili asili, Lisadala moilaiga doaga:i. Amo moilai ganodini Yesu Ea fa:no bobogesu dunu ea dio amo Dimodi esalu. Ea ame da Gode Ea hou lalegagui Yu uda esalu, be ea ada da Galigi dunu.
2c10020080	Yesu Ea fa:no bobogesu fi dunu Lisadala amola Aigouniame moilai amo ganodini esalu, ilia huluane da Dimodi ea hou hahawane ba:i.
2c100300b1	Bolo da Dimodi sigi masunu dawa:beba:le, ea gadofo damui. Yu dunu huluane amo soge ganodini ilia Dimodi eda da Galigi dunu dawa:i. Amo dawa:beba:le, e da Dimodi ea gadofo damui.
2c100400d6	Ilia moilai enoma enoma asili, ilia da Yesu Ea fa:no bobogesu fi dunuma, Yelusaleme moilai bai bagade fi, asunasi dunu amola sese asigilai dunu ilia fofada:su liligi olelei. Amola amo sema nabawane hamoma:ne sia:i.
2c1005007e	Amaiba:le, sese fi dunu ilia dafawaneyale dawa:su hou da asigilalu. Eno dunu da ilima gilisiba:le, ilia idi da bagade heda:su.
2c100600b0	Gode Ea A:silibu Hadigidafa Gala da ilima amo A:isia soge ganodini Gode Sia: olelemu da logo hame gala, olelei. Amaiba:le, ilia Falidia amola Gala:isia, amo soge ganodini lalu.
2c100700a7	Ilia Misia soge alalo amoga doaga:le, ilia Bidinia soge ganodini masunu dawa:i galu. Be Yesu Gelesu Ea A:silibu Hadigidafa Gala da logo hame gala olelebeba:le, yolesi.
2c1008004b	Amaiba:le, ilia Misia soge baligili, Daloua:se moilai bai bagadega doaga:i.
2c100900bf	Amo gasiga, Bolo da ea asigi dawa:su ganodini esalawane ba:i. E da Ma:sidounia dunu lelu ema ha:giwane agoane adole ba:lalebe ba:i, “Nini fidimusa:, Ma:sidounia sogega misa!” agoane ba:i.
2c100a00a9	Bolo da amo esalu ba:su ba:beba:le, ninia da Ma:sidounia sogega masa:ne momagei. Bai Gode da nini amo dunuma Ea Sia: Ida:iwane olelema:ne ninima wei dagoi, ninia dawa:i.
2c100b00c6	Daloua:se moilai bai bagade yolesili, ninia foga ahoasu dusagai amo ganodini fila heda:le, moloiwane asili, Sa:moudala:isi oga amoga doaga:le, golale, asili, Nia:boulisi moilai bai bagadega doaga:i.
2c100c00d1	Dusagai fisili, ninia soge amo golili, Filibai moilaiga doaga:i. Filibai da Ma:sidounia soge amo ganodini bisili moilai dialu. Louma gamane da amo moilai ouligisu. Amo ganodini ninia eso bagahame agoane esalu.
2c100d00d3	Sa:bade esoga ninia moilai yolesili gadili asili, Yu dunu ilia hano bega: Godema sia:ne gadomusa: gilisisu amo ninia dawa:beba:le, amo sogebi hogolalu. Uda da gilisibi ba:loba, ninia amola fili, ilima sia: dasu.
2c100e012f	Amo uda gilisisu da ninia sia: nabi. Uda afae ea dio amo Lidia. E da Daiadaila esalu uda, amola ea hawa: hamosu da abula ogaiyei bidi lasu. E da Godema nodosu hou hanai galu. Amalalu, Bolo da sia:beba:le, Hina Gode da Lidia ea dogo ganodini olelebeba:le, e Bolo ea sia: hanaiwane nababeba:le, lalegagui.
2c100f0133	E amola dunu amola uda, huluane ea diasu ganodini esalu, da hanoga fane sanasinanu, e ninima amane sia:i, “Na da Yesu Gelesu Ea hou moloiwane lalegagui dagoi amo dilia dafawaneyale dawa:i galea, na diasuga ouesalumusa: misa.” E da ninima ha:giwane adole ba:beba:le, ninia da ea diasuga ouesalumusa: asi.
2c10100139	Eso afaega, ninia sia:ne gadosu sogebi doaga:musa: ahoanoba, muniga bidi lai udigili hawa: hamosu a:fini da ninima doaga:i. Ea dogo ganodini Fio mano aligila sa:iba:le, amo ea gasaga e da ba:la:lusu hou hamosu. E da fa:no misunu hou eno dunuma olelebeba:le, ilia da muni bagade amo a:fini ea ouligisu dunuma iasu.
2c101100bb	E da Bolo amola ninima fa:no bobogele, bagadewane amane wele sia:nanu, “Amo dunu da ‘gode’ huluanema baligisu Gode, amo Ea hawa: hamosu dunu. Ilia da dilima gaga:su logo olelemu!”
2c10120115	Amo hou e da eso bagohame amoga hamobeba:le, Bolo da da:i dioi bagade ba:i. E da sinidigili, wadela:i a:silibu amo a:fini ea dogo ganodini esalu amoma amane sia:i, “Yesu Gelesu Ea Dioba:le, di amo a:fini ea dogoga fadegale fasima!” Amogaluwane, Fio liligi da mugului dagoi.
2c101300d7	Be amo a:fini ea ouligisu dunu da ilia muni lamu logo damui dagoi ba:beba:le, ilia Bolo amola Sailase gagulaligili, fofada:su dunu amo fofada:su soge bidi lama:ne diasu soge amo ganodini dialu, amoga hiouginana asi.
2c10140086	Ilia da Louma fofada:su dunuma doaga:loba, amane sia:i, “Amo dunu da Yu dunu. Ilia sia:ga gegesu ninia moilai ganodini wili gala:sa.
2c1015007c	Ilia hou ninia sema wadela:musa: olelesa. Ninia da Louma fi dunu esala. Amaiba:le ninia da ili hou hamomu amo da hamedei!”
2c101600da	Dunu huluane gilisi da amo dunu fidimusa:, Bolo amola Sailase, elama sia:ga gegei. Amalalu, Louma fofada:su dunu da Bolo amola Sailase, ela abula gadelale fadegale fasili, dadi gagui dunu da ela fegasuga fama:ne sia:i.
2c10170084	Ha:giwane fananu, ilia da ela se dabe iasu diasu ganodini ha:digi. Se dabe iasu diasu ouligisu dunuma logo noga:le ga:sima:ne sia:i.
2c101800c5	Amo sia: nababeba:le, se dabe iasu diasu ouligisu dunu e da Bolo amola Sailase, se dabe iasu diasu ganodinidafa, amo ganodini sali. Ela mae masa:ne, ela emo e da dioi bagade ifa amo ganodini la:gi.
2c10190096	Gasimogoa, Bolo amola Sailase, Godema sia:ne gadosa amola Gode Ea gesami hea:lalebe ba:i. Eno se dabe iasu diasu ganodini sali dunu huluane da nabalu.
2c101a0105	Amalaloba, bebeda:nima bagade misi. Gasa bagadeba:le, se dabe iasu diasu amola se dabe iasu diasu lelu soge, da bagadewane ugugui. Hedolowane, se dabe iasu diasu logo huluane doasili, se dabe iasu diasu dunu huluane ili sia:ine la:gi udigili fadegai dagoi ba:i.
2c101b00fc	Se dabe iasu diasu ouligisu dunu e da nedigili, wa:legadole, logo doasi dagoi ba:beba:le, se dabe iasu diasu sali dunu huluane da hobea:i dagoi, e agoane dawa:i galu. Amaiba:le, ea gobihei bagade duga:le gadole, hi da:i hi gobele medomusa: dawa:i galu.
2c101c0060	Be Bolo da ema halagala:le amane sia:i, “Dia da:i mae medoma! Ninia huluane guiguda: esala!”
2c101d00d8	Se dabe iasu diasu ouligisu dunu da ea hawa: hamosu dunu amo ema gamali gaguli misa:ne sia:i. E da se dabe iasu diasu ganodini hehenane, beda:iba:le e da Bolo amola Sailase, amo ela emo gadenenewane yaguguli diasa:i.
2c101e006a	Amalalu, e da ela lobolele gadili oule asili, elama adole ba:i, “Ada! Na gaga:ma:ne adi hamoma:bela:?”
2c101f007e	Ela bu adole i, “Di da Hina Gode Yesu Gelesu dafawaneyale dawa:sea, lalegagusia, di amola dia sosogo fi da gaga:su ba:mu.”
2c10200066	Amalalu ela Gode Ea Sia: Ida:iwane Gala ema amola dunu huluane amo diasu ganodini esalu, ilima olelei.
2c102100a1	Amalalu, se dabe iasu diasu ouligisu dunu da ela la:ididili oule asili, ela fa:gi amola fofai dodofei. E amola ea sosogo fi, huluane gilisili hanoga fane sanasi.
2c102200ab	Amalalu, e da Bolo amola Sailase, bu ea diasuga oule heda:le, elama ha:i manu i. E amola ea sosogo fi, da Gode Ea hou waha dafawaneyale dawa:beba:le, hahawane bagade ba:i.
2c102300ba	Golale hahabe, Louma Gamane fofada:su dunu da dadi gagui dunu se dabe iasu diasu ouligisu dunuma, Bolo amola Sailase, gadili masa:ne se dabe iasu diasu logo doasima:ne sia:musa: asunasi.
2c102400e8	Amaiba:le, se dabe iasu diasu ouligisu dunu da Boloma amane sia:i, “Fofada:su dunu da di amola Sailase masa:ne, se dabe iasu diasu logo doasima, amo adomusa:, dunu asunasi dagoi. Amaiba:le, alia wali olofoiwane masunu da defea.”
2c10250190	Be Bolo da dadi gagui dunuma amane adole i, “Ilia da ania da wadela:i hou hamoi hamedafa ba:i. Be ilia dunu huluane ba:ma:ne, ani bagade fasu. Ania amola da Louma fi dunu esala. Amalalu, ilia ani se dabe iasu diasu ganodini ha:digi. Be wali ilia ani wamowane gadili asunasimusa: dawa:sa. Hame mabu! Louma fofada:su dunu ilisu misini, asigiwane ani se dabe iasu diasu logo ilisu doasimu da defea!”
2c1026009c	Dadi gagui dunu da buhagili, Louma fofada:su dunuma amo sia: olelei. Bolo amola Sailase da Louma fi dunu, amo sia: nababeba:le, ilia bagadewane beda:i galu.
2c10270090	Amaiba:le, ilia elama asili, elama asigi sia: sia:i. Amalalu, ela ilia lobolele, se dabe iasu diasu fisili, asigiwane eno diasuga masa:ne sia:i.
2c102800ab	Be Bolo amola Sailase, da se dabe iasu diasu fisili, Lidia ea diasuga asi. Amoga ela Yesu Ea fa:no bobogesu fi dunu yosia:le, ilima fidisu asigi sia: sia:nanu, fisili asi.
2c110100ad	Bolo amola Sailase, da A:mafiboulisi moilai bai bagade amola A:bolounia moilai baligili, Desalouniga moilai bai bagadega doaga:i. Amo moilai ganodini da sinagoge diasu galu.
2c11020079	Ea musa: hamonanu hou defele, Bolo da sinagoge diasuga golili sa:i. Sa:bade eso udianaga, e da dunuma gilisili sia: dasu.
2c110300ea	E da Gode Sia: Dedei olelei. Musa: dedei da Mesaia (Gode Ea ilegei dunu) da fa:no se nabimu amola bogole, wa:legadomu, e da amo dedei noga:le olelei. Bolo da amane sia:i, “Amo dunu Yesu Gelesu na da dilima olelesa, amo da Mesaia.”
2c110400bf	Mogili da dafawaneyale dawa:beba:le, Bolo amola Sailase elama madelagi. Mogili ouligisu dunu ilia uda amola Galigi fi Godema nodone sia:ne gadosu dunu, ilia Bolo amola Sailase elama madelagi.
2c11050184	Be Yu dunu da mudabeba:le, ilia da wadela:i hamosu udigili esalebe dunu bagohame gilisi. Amo dunu da sia:ga gegebeba:le, dunu huluane Desalouniga moilai ganodini da wili gala:su. Wadela:i hamosu dunu da Bolo amola Sailase ela da Ya:isane ea diasuga esala, amo dawa:i galu. Ilia da ela dunu gilisisu amoga hiouginana masusa: dawa:i. Amaiba:le ilia Ya:isane ea diasuga gegemusa: doaga:la:i.
2c110600fb	Be Bolo amola Sailase hame ba:beba:le, ilia da Ya:isane amola eno Yesu Ea hou lalegagui dunu, hiougili, moilai fofada:su dunuma doaga:le, ilima amane halasu, “Amo dunu da soge huluane ganodini wili gala:su. Wali ilia da ninia moilaiga doaga:i dagoi.
2c110700ac	Ya:isane da amo dunu ea diasu ganodini aowasu. Ilia huluane da ninia Louma Hina ea sema wadela:sa. Hina bagade eno Ea dio amo Yesu da esalebe, ilia da ogogole sia: daha!”
2c1108006c	Amo sia:beba:le, dunu huluane gilisi amola moilai fofada:su dunu, da gilisili ougili sia:ga gegenana halasu.
2c1109009c	Amalalu, fofada:su dunu da Ya:isane amola eno fa:no bobogesu dunu ilima ilia se dabe iasu diasu logo doasima:ne dabe lai dagole, ilima fisili masa:ne sia:i.
2c110a009f	Gasi doaga:beba:le, Yesu Ea fa:no bobogesu dunu da Bolo amola Sailase amo Belia moilaiga asunasi. Amoga doaga:loba, ela da sinagoge diasu ganodini golili sa:i.
2c110b00cd	Amo moilai dunu ilia nabasu hou da Desalouniga dunu ilia hou baligi dagoi. Ilia hanaiwane Yesu Ea sia: nabasu. Eso huluane, Bolo ea sia:i liligi ado ba:ma:ne, ilia Gode Sia: Dedei Buga idili, bai hogolalu.
2c110c006b	Bagohame da lalegagui dagoi. Bagade gagui Galigi uda bagohame amola Galigi dunu bagohameda lalegagui dagoi.
2c110d00bc	Be Yu dunu Desalouniga moilaiga esalu, amo da Bolo da Belia moilai bai bagadega esalebe amola Gode Ea sia: olelei dagoi, amo nabi. Ilia da misini, Belia dunu Boloma ougima:ne wili gala:su.
2c110e008d	Amaiba:le, Yesu Ea fa:no bobogesu dunu da Bolo hano wayabo bagade bega: doaga:ma:ne asunasi. Be Sailase amola Dimodi da Belia moilaiga esalu.
2c110f00e5	Be Bolo ea ouligisu dunu da Bolo oule asili, A:denese moilai bai bagadega doaga:le, Belia moilai bai bagadega buhagi. Bu doaga:le, ilia Sailase amola Dimodi, elama Bolo ea olelei sia:i amo, Boloma hedolowane bu gilisima:ne sia:i.
2c111000bc	Bolo da A:denese moilai bai bagadega Sailase amola Dimodi, ema bu gilisimusa: ouesalea, e da amo moilai ganodini ogogosu ‘gode’ loboga hamoi liligi bagohame ba:beba:le, se bagade nabi.
2c111100ec	Amaiba:le, e da sinagoge diasu ganodini, Yu dunu amola Dienadaile Godema nodone sia:ne gadosu dunu, ilima bagade sia: dasu. Amola e da dunu bidi lama:ne diasu sogebi amo ganodini amola dunu amo da udigili manebeba:le, ilima sia: olelei.
2c1112016f	Eno olelesu dunu fi ilia dio amo Ebigiulia:ne amola Sidouigi, ili amola Bolo, da gilisili fofada:su. Mogili ilia amane sia:i, “Amo gasa fi dadousa dunu da adi sia: dasula:?” Be eno dunu da bu adole i, “Amabela:? E da ‘gode’ liligi hisu amo ilia hou olelesala:?” Bolo da Yesu Gelesu Ea hou amola Ea wa:legadosu hou, amo olelebeba:le, ilia agoane sia: dasu.
2c111300c2	Amaiba:le, ilia da Bolo Gasolo dunu gilisisu ilima oule asi. Gasolo gilisisu ea dio amo Eliobagase. Ilia ema amane adole ba:i, “Ninia da dia gaheabolo olelesu liligi amo bai nabimu hanai gala.
2c1114005a	Dia olelesu liligi mogili ninia fofogadigili naba. Ninia da amo bai dawa:mu hanai gala!”
2c11150099	(A:denese fi dunu amola ga misi dunu amo moilai ganodini esalu, da eso huluane gaheabolo hou sia: sa:imusa: dawa:lalu. Hou eno hame hamosu - amo fawane.)
2c1116009e	Bolo da wa:legadole, Gasolo dunu huluane nabima:ne amane sia:i, “Dilia A:denese dunu huluane da a:silibu liligi ilima bagadewane dawa:lala, amo na da ba:sa.
2c1117015e	Na da dilia moilai ganodini dilia sia:ne gadosu sogebi ba:musa: ahoabeba:le, na da oloda ba:i. Amo da:iya dedei diala amane, “‘gode’ amo ninia hame dawa:” amo na ba:beba:le, dili da a:silibu liligi ilima bagadewane dawa:lala, na dawa:i. Amaiba:le, dilia hame dawa:su liligi, dilia ilima udigili sia:ne gadosu liligi, amo na da dilima olelemu.
2c111800c1	Godedafa, E da osobo bagade amola amo ganodini liligi huluane, hahamoi dagoi. E da mu amola osobo bagade, amoma Hina Gode esala. E da dunu ili loboga gagui debolo diasu amo ganodini hame esala.
2c111900c7	Hisu da defele esala. Ninia da hawa: hamobeba:le, Ea hou fidimu da hamedei. Hisu da esalusu, mifo, liligi huluanedafa amola dunu huluanedafa ilima iahabeba:le, ninia da Ea hou afadenemusa: hame dawa:
2c111a00ba	Gode da dunu afadafa hamoi galu. Amo ea mano da osobo bagade fifi asi gala wali osobo bagade ganodini esala. Gode Hisu da ilia soge ilegei alalo amola ilia esalusu ode, amo ilegei dagoi.
2c111b00a0	Bai E da osobo bagade dunu Gode hogoi helele ba:musa:, amo hanai galu. Be Gode da sogebi sedaga amo ganodini hame esala. E da nini huluanema gadenenewane esala.
2c111c00bd	Musa: dunu da amane sia:i, ‘Ninia da Godema madelagiba:le, esalebe amola lalebe, hou hamosu dawa:’ Dilia gesami hea:su dedesu dunu enoda amane dedei, ‘Ninia amola da Ea mano esala.’
2c111d00ce	Ninia da Gode Ea mano esalebeba:le, ninia da E da hame esala ogogosu ‘gode’ gouliga ma silifaga ma igiga amo osobo bagade dunu ea gasaga hamoi, E da amo liligi defele ninia dawa:mu da defea hame galebe.
2c111e00d5	Musa:, dunu da Gode Ea hou hame dawa:beba:le, amo liligi ilia loboga hamonoba, amo hou Gode da gogolema:ne olofoi dagoi. Be wali, E da gasa bagadewane, dunu da ilia wadela:i hou yolesili, Ema sinidigima:ne sia:sa.
2c111f00eb	Bai E da fofada:su eso ilegei dagoi. Amo ganodini E da moloiwane osobo bagade dunu huluanema fofada:mu. Amola E da Fofada:su Dunu ilegei dagoi. E da dunu huluane amo hou noga:le dawa:ma:ne, amo Fofada:su Dunu Ea bogoi wa:lesi dagoi!”
2c112000b8	Ilia da Bolo ea sia: amo da bogoi dunu Godema wa:lesi amo sia: nababeba:le, mogili da Boloma oufesega:su. Be mogili amane sia:i, “Amo sia: ea bai ninia hobea bu nabimu hanai gala!”
2c1121002c	Amalalu, Bolo da amo gilisisu yolesili, asi.
2c112200ae	Dunu mogili ilia Boloma madelagili, Yesu Ea hou lalegagui dagoi. Afae da Gasolo dunu ea dio amo Daionisiase. Eno da uda ea dio amo Da:malisi. Eno dunu amolawane da lalegagui.
2c1201004c	Bolo da A:denese moilai yolesili asili, Golidia moilai bai bagadega doaga:i.
2c1202012a	Amoga e da Yu dunu ea dio amo A:gowila gousa:i. A:gowila da Bonadase sogega lalelegei. Louma Hina ea dio amo Galodiase da Yu dunu huluane Louma soge fisili gadili masa:ne sia:beba:le, A:gowila amola ea uda e dio amo Balisila, da ayawane Golidia moilaiga misi esalu. Bolo da elama gousa:musa: asili,
2c12030074	ela diasuga esalu. E da ela defele, abula diasu amunasu hawa: hamosu hamonanebeba:le, elama gilisili hawa: hamonanu.
2c12040085	Bolo da Yu dunu amola Galigi dunu, ili Gode Ea Sia: dafawaneyale dawa:ma:ne, Sa:bade eso huluane sinagoge diasu ganodini fofada:nanu.
2c120500b3	Sailase amola Dimodi da Ma:sidounia yolesili, ema doaga:beba:le, Bolo da eno hawa: hamosu yolesili, Gode Sia: fawane olelelalu. E da Yu dunuma Yesu da Mesaiadafa, amo sia: olelei.
2c1206015b	Be ilia ema sia:ga gegeiba:le, amola ogogole e da wadela:i dunu ilia udigili sia:beba:le, e da ilia hou higa:i olelema:ne, ea abula osobo doga:ma:ne duduli, amane sia:i, “Dilia eso huluane Fifi Ahoanusu da fisi dagoiba:le, dilisu wadela:le hamoiba:le fisi. Ni hame! Wali na da dili yolesili, Dienadaile dunu ilima fawane Gode Ea sia: olelemu.”
2c120700bc	Amaiba:le, e da Yu dunu yolesili, Godema nodone sia:ne gadosu Dienadaile dunu ea dio amo Daidiase Yasadase, amo ea diasu ganodini esalumusa: asi. Ea diasu da sinagoge diasu dafulili dialu.
2c120800f2	Sinagoge ouligisu dunu ea dio amo Galisibase, e amola ea sosogo fi huluane da Hina Yesu Gelesu Ea hou lalegagui dagoi. Amola Golidia moilai ganodini esalu dunu eno bagohame, Gode Ea sia: nababeba:le, lalegaguli, hanoga fane sanasi dagoi ba:i.
2c12090093	Gasi afaega, Bolo da mae golale esalawane ba:i. Amo ganodini, Hina Gode da ema amane sia:i, “Mae beda:ma! Mae yolesili, Gode Ea sia: olelelaloma!
2c120a0099	Bai Na da dia Fidisu esala. Amo moilai bai bagade ganodini Na hou lalegagumu dunu da bagohame esalebeba:le, ha lai dunu da di wadela:mu hamedei ba:mu!”
2c120b004b	Amaiba:le, mae yolesili, Bolo da oubi 18 amoga, Gode Ea sia: olelesa esalu.
2c120c00a0	Louma gamane da Aga:ia soge ouligima:ne, Louma dunu ea dio amo Galiou ilegei. Amalalu, Yu dunu da gilisili, Bolo gagulaligili, fofada:su diasuga hiouginana asi.
2c120d0081	Ilia Galiouma amane sia:i, “Amo dunu da eno dunuma ili gamane sema wadela:ma:ne, Godema sia:ne gadosu hou giadofale olelesa.”
2c120e00a3	Bolo da bu adole imunusa: dawa:i galu. Be Galiou da Yu dunuma bu adole i, “E da wadela:idafa hou hamoi ganiaba, na da dilima asigiwane nabimu da defea gala:loba.
2c120f00b8	Be amo sia:ga gegesu da sia: amola dunu ea dio amola dilia Yu sema, amo hou fawane fofada:sa. Amaiba:le, dilisu amo hou hahamomu da defea galu. Na da amo udigili hou hame fofada:mu!”
2c12100024	Amalalu, e da Yu dunu gadili sefasi.
2c121100aa	Amalalu, Yu dunu da sinagoge ouligisu dunu ea dio amo Sosodinisi, amo gagulaligili, fofada:su diasu midadi bagadewane fananu. Be amo hou ba:beba:le, Galiou da hame sia:i.
2c1212018e	Bolo da eso bagohame Golidia moilai ganodini, e amola Yesu Ea fa:no bobogesu fi dunu gilisili esalu. Amalalu, e amola Balisila amola A:gowila ilia yolesili asili, foga ahoasu dusagai amo ganodini fila heda:le, Silia sogega doaga:musa: asi. Senegalia moilaiga fisimusa: dawa:loba, Bolo da hidadea ea dialuma hinabo enoga waga:i dagoi. E da musa: amo hou hamomusa:, Godema ilegele sia:beba:le, hamoi.
2c121300b6	Ilia Efesase moilaiga doaga:i. Bolo da Efesase moilaiga A:gowila amola Balisila, yolei. Hisu da sinagoge diasu amo ganodini golili sa:ili, gilisili Yu dunu ilima fofada:su sia: dalu.
2c12140062	Ilia da Boloma e da eso eno Efesase moilaiga ouesaloma:ne sia:i, be Bolo da ‘hame mabu’ sia:i.
2c121500b7	Be yolesili asili, ilima amane sia:i, “Gode da hanai galea, na da dili bu ba:la misunu.” Amalalu, e da Efesase moilai yolesili, foga ahoasu dusagai amo ganodini fila heda:le, asi.
2c1216009b	E da Sesalia moilaiga doaga:le, bu Yelusaleme moilai bai bagade amoga Yesu Ea fa:no bobogesu dunu gousa:musa: asi. Amalalu, yolesili, A:dioge moilaiga asi.
2c121700a3	A:dioge moilaiga ouesalu, e da yolesili, Gala:isia amola Falidia, amo soge ganodini Yesu Ea fa:no bobogesu dunu ilia dogo denesima:ne amola ilima gasa ima:ne lalu.
2c121800c6	Amo esoga, Yu dunu ea dio amo Abolose, e da A:legesa:nedelia moilaiga lalelegei, amo da Efesase moilaiga misi. E da Gode Sia: Dedei bagadewane dawa:i galu. E da lafidili olelesu hou bagade dawa:iou.
2c121900a6	Dunu eno da ema Gode Ea Logo olelebeba:le, e da hahawane mae giadofale, Yesu Ea hou olelesu. Be e da Yone Ba:bodaise amo ea hanoga fane sanasi hou fawane dawa:i galu.
2c121a00ce	E da mae beda:iwane, sinagoge diasu ganodini olelesu hamoi. Be Balisila amola A:gowila da ea sia: nababeba:le, ela da amo dunu ela diasuga oule asi. Ela da Gode Ea Logodafa ema bu noga:le dawa:ma:ne olelei.
