2800000007	Matúš
300113004e	ale okrem Jakuba, Ježišovho brata, som sa už s inými apoštolmi nestretol.
3001140037	Boh mi je svedkom, že to, čo vám píšem, je pravda.
3001150027	Potom som putoval do Sýrie a Cilície,
3001160039	ale v Judsku ma kresťania ešte stále osobne nepoznali.
3001170074	Dopočuli sa len, že ich niekdajší prenasledovateľ teraz zvestuje evanjelium, ktoré sa kedysi snažil zničiť.
3001180019	A chválili za mňa Boha.
3002010065	Až o štrnásť rokov som sa znova vybral do Jeruzalema s Barnabášom a vzal som so sebou aj Títa.
30020200bb	Šiel som tam na Boží pokyn a uznávaným apoštolom som predložil evanjelium, ktoré zvestujem pohanom, aby som sa uistil, že moje predchádzajúce i terajšie úsilie nie je márne.
3002030045	Dokonca ani Títa nenútili dať sa obrezať, hoci je pôvodom Grék,
30020400fe	ako sa o to usilovali tí kresťania, ktorí svoju vieru len predstierali. Nenápadne sa votreli medzi nás s úmyslom vyšpehovať, na čom je založená naša sloboda, ktorú máme ako veriaci v Ježiša Krista. Chceli by nás totiž opäť zotročiť.
3002050074	Ani na v najmenšom sme im však neustúpili, ani sa im nepodriadili, aby sa pravda evanjelia zachovala aj pre vás.
30020600dd	Nikto z tých, ktorých názor sa v cirkvi cení (vôbec mi nezáleží na tom, kým boli predtým – veď pred Bohom sme si všetci rovní) a tešia sa zvláštnej vážnosti, nič ďalšie k môjmu evanjeliu nepridali.
3002070061	Naopak, videli, že Boh mi dal dôveru kázať evanjelium pohanom, podobne ako Petrovi Židom –
3002080075	veď ten, ktorý pôsobil prostredníctvom Petra, aby bol apoštolom u obrezaných, dal aj mne moc slúžiť pohanom.
30020900c7	Keď teda Jakub, Kéfas a Ján, považovaní za stĺpy cirkvi, videli milosť, ktorou som obdarovaný, podali mne a Barnabášovi pravicu na znak dohody, že my pôjdeme k pohanom a oni medzi Židov.
30020a0063	Odporúčali nám iba, aby sme nezabúdali na chudobných. Práve o to som sa vždy usiloval aj ja.
30020b0069	Keď však Peter prišiel do Antiochie, musel som ho verejne pokarhať, pretože si to naozaj zaslúžil.
30020c00d4	Najprv totiž pokojne stoloval s kresťanmi z pohanov, ale keď prišli niektorí bratia od apoštola Jakuba, ktorí boli obrezaní, začal sa zo strachu pred nimi vyhýbať kresťanom z pohanov a obchádzal ich.
30020d0075	S ním sa pretvarovali aj ďalší kresťania zo Židov a dokonca aj Barnabáš sa dal strhnúť týmto pokrytectvom.
30020e0102	Keď som videl, že nekonajú v súlade s pravdou evanjelia, povedal som Petrovi pred všetkými: „Ty si rodom Žid, ale pokiaľ ide o Mojžišov zákon, žiješ ako pohan, nie ako Žid. Prečo teda nútiš pohanov, aby žili podľa židovských predpisov?
30020f0037	My obaja sme rodom Židia a nie ‚hriešni‘ pohania.
300210012d	Vieme však, že človek sa pred Bohom nemôže ospravedlniť plnením nariadení zákona. Veď aj my sme uverili v Ježiša Krista, aby sme mohli byť ospravedlnení pred Bohom z viery v Krista, a nie poslušným plnením zákona. Veď konanie skutkov, ktoré vyžaduje zákon, neospravedlní nikoho.
3002110096	Keď teda túžime po ospravedlnení v Kristovi, a predsa zisťujeme, že sme hriešnikmi, je to vari Kristus, kto nás vedie do hriechu? Určite nie!
3002120046	Veď by som hrešil, keby som teraz staval to, čo som práve zbúral.
30021300be	Zákon ma totiž odsúdil na smrť a rozsudok bol vykonaný. To znamená, že môj starý život sa skončil a ja žijem teraz novým životom pre Boha: s Kristom som bol ukrižovaný aj ja.
300214009d	Žijem síce, ale to už nie je môj život, to vo mne žije Kristus. Žijem vo viere v Syna Božieho, ktorý si ma zamiloval a obetoval za mňa svoj život.
300215008a	Nepohŕdam touto Božou milosťou. Keby totiž na ospravedlnenie stačilo plniť nariadenia zákona, bola by Kristova smrť zbytočná.“
3003010084	Ach, vy nerozumní Galaťania, vari vás ktosi počaroval? Veď vám bol vykreslený priamo pred očami ukrižovaný Ježiš Kristus
30030200ab	Rád by som sa od vás dozvedel jednu vec: Ducha Svätého ste dostali na základe konania skutkov, ktoré vyžaduje Zákon, alebo preto, že ste uverili zvesti evanjelia?
3003030073	To ste naozaj takí zaslepení? Začali ste žiť z Ducha Božieho, a nakoniec chcete skončiť pri ľudskej snahe?
3003040032	Toľko ste vytrpeli a nadarmo? A keby len nadarmo!
3003050097	Daroval vám Boh svojho Ducha a urobil toľko zázrakov medzi vami preto, že ste dodržiavali Zákon, alebo preto, že ste uverili zvesti o záchrane?
300306005c	Spomeňte si na Abraháma: „dôveroval Bohu a on ho preto považoval za spravodlivého.“
300307004f	Pochopte, že skutočnými potomkami Abraháma sú tí, ktorí Bohu dôverujú.
30030800bc	Písmo už dávno poukazovalo na to, že Boh aj pohanov ospravedlní na základe ich viery. Už Abrahám dostal zasľúbenie: „Prostredníctvom teba budú požehnané všetky národy.“
300309004e	Teda tí, čo uveria, získajú rovnaké požehnanie ako Abrahám, muž viery.
30030a00f0	Na druhej strane tí, čo sa spoliehajú na svoje záslužné skutky v plnení Zákona, sú pod kliatbou, lebo je napísané: „Prekliaty je každý, kto nezotrváva vo všetkom, čo je napísané v knihe Zákona, a nekoná podľa toho.“
30030b0087	Je teda jasné, že na základe skutkov zákona nebude pred Bohom ospravedlnený nikto, pretože „spravodlivý bude žiť z viery.“
30030c007f	Viera a poslušnosť príkazov však nie je to isté. Zákon hovorí: „Človek, ktorý plní moje ustanovenia, bude žiť.“
30030d0092	Z tejto kliatby Zákona nás vykúpil Kristus tým, že sa sám stal kliatbou. Lebo je napísané: „Prekliaty je každý, kto visí na dreve.“
30030e00a1	Stalo sa to, aby prostredníctvom Ježiša Krista dostali požehnanie dané Abrahámovi aj pohania a aby sme vierou mohli prijať zasľúbeného Ducha Svätého.
30030f008d	Bratia, veď sami viete, že ak sa raz napíše závet a stane sa právoplatným, nemôže ho už nikto zrušiť alebo k nemu niečo pridať.
30031000ac	Boh sa zaviazal sľubom Abrahámovi a jeho potomkovi a všimnite si, nehovorí sa tu o potomkoch, akoby hovoril o mnohých, ale o jednom potomkovi a myslí sa tým Kristus.
3003110092	A tak ani zákon, vydaný až o štyristotridsať rokov neskôr, nemôže zrušiť zmluvu uzavretú s Abrahámom a zbaviť zasľúbenie platnosti.
30031200b8	Keby sa totiž dedičstvo dalo získať plnením ustanovení Zákona, nemohlo by byť založené na zasľúbení. Boh ho však z milosti dal Abrahámovi prostredníctvom svojho sľubu.
30031300c3	Načo bol potom ešte pridaný Zákon? Na to, aby sme poznali, ako sme sa od Boha vzdialili. Bol vyhlásený anjelmi a zverený ľudskému prostredníkovi, kým nepríde ten zasľúbený potomok.
300314004c	S Abrahámom však Boh hovoril bez prostredníka, osobne. Veď Boh je jeden.
30031500ca	Znamená to, že sú Božie zasľúbenia a Boží zákon v rozpore? Určite nie! Keby tu bol Zákon, ktorý by mohol dať život, potom by naozaj bolo možné dosiahnuť ospravedlnenie plnením Zákona.
3003160097	Podľa Písma je však celý svet v zajatí hriechu, a tak to zasľúbené bolo dané prostredníctvom viery v Ježiša Krista všetkým, ktorí veria.
3003170068	Kým neprišla viera, boli sme zajatcami Zákona. Ten nás strážil pre chvíľu, keď sa zjaví viera.
3003180080	Zákon bol teda naším prísnym vychovávateľom, kým neprišiel Kristus, aby sme mohli byť ospravedlnení na základe viery.
3003190047	Keď však prišla viera, nepodliehame už prísnemu vychovávateľovi.
30031a0046	Veď v Ježišovi Kristovi sme prostredníctvom viery Božími deťmi.
30031b0067	Vy všetci, ktorí ste boli pokrstení do spoločenstva s Kristom, ste na seba vzali Kristov charakter.
30031c007a	Už nieto rozdielu medzi Židom a pohanom, otrokom a slobodným, mužom a ženou. Všetci ste jedno v Kristovi Ježišovi.
30031d0060	A tak, ak ste Kristovi, ste aj potomkami Abraháma, a teda aj dedičmi toho, čo Boh zasľúbil.
3004010091	Chcem tým povedať, že aj s dedičstvom je to podobne: Kým dedič nie je plnoletý, niet rozdielu medzi ním a sluhom, hoci mu patrí všetko.
3004020064	Musí poslúchať svojich poručníkov a správcov otcovho majetku až do času, ktorý určil otec.
3004030056	Tak je to aj s nami. Kým sme boli nedospelí, boli sme otrokmi mocností tohto sveta.
3004040081	Keď však nadišiel určený čas, poslal Boh svojho Syna, ktorý sa narodil ako každý iný človek a bol podriadený Zákonu,
3004050056	aby nás, ktorí sme boli otrokmi zákona, vykúpil a prijali tak opäť práva detí.
3004060073	A keďže ste Božími deťmi, Boh dal do našich sŕdc Ducha svojho Syna, Ducha, ktorý volá: „Otec, Otecko!“
300407005c	A tak už nie si otrokom, ale Božím dieťaťom, a ako taký aj dedičom jeho kráľovstva.
3004080060	Kým ste ešte nepoznali Boha, slúžili ste tým, ktorí vo svojej prirodzenosti bohmi nie sú.
30040900ad	Ale teraz, keď ste spoznali Boha, alebo skôr, keď on spoznal vás, ako je možné, že sa chcete znova vracať k tým slabým a biednym pravidlám a stať sa ich otrokmi?
30040a004f	Prečo pripisujete taký význam dodržiavaniu dní, mesiacov, období a rokov?
30040b0053	Bojím sa o vás, aby úsilie, ktoré som vám venoval, nebolo nakoniec zbytočné.
30040c0061	Žiadam vás, bratia, buďte ako ja, veď aj ja som ako vy. Doteraz ste mi v ničom neublížili.
30040d0048	Viete, že som bol chorý, keď som vám prvý raz zvestoval evanjelium.
30040e00a2	A hoci môj stav vo vás mohol vzbudiť pokušenie odmietnuť ma či opovrhnúť mnou, vy ste ma prijali ako Božieho posla, ba priam ako samého Ježiša Krista.
30040f00a1	Akí ste boli vtedy šťastní. Čo sa stalo? Veď by som mohol dosvedčiť, že keby to bolo možné, vlastné oči by ste si boli vylúpili a darovali ich mne!
300410004e	A teraz iba preto, že vám hovorím pravdu, stal som sa vaším nepriateľom?
300411009b	Falošní učitelia, ktorí sa tak horlivo uchádzajú o vašu priazeň, to s vami nemyslia dobre; chcú vás od nás odlúčiť, aby ste horlili pre nich.
3004120050	Je správne horliť, ale pre dobrú vec a vždy, nie iba vtedy, keď som s vami.
3004130079	Deti moje, znovu pre vás trpím, ako keď žena privádza na svet dieťa a bude to tak, kým nebudete podobní Kristovi.
300414006c	Ako rád by som bol teraz medzi vami a našiel pre vás to pravé slovo, lebo už naozaj neviem, čo s vami.
3004150081	Počujte vy, čo si myslíte, že je nevyhnutné dodržiavať predpisy židovského zákona: či nerozumiete, čo hovorí Zákon?
3004160078	Je napísané, že Abrahám mal dvoch synov: jedného so svojou otrokyňou, druhého so slobodnou, so svojou manželkou.
3004170054	Syn otrokyne sa narodil z vôle človeka, druhý však podľa Božieho zasľúbenia.
300418007e	Je to obrazná reč – dve ženy tu predstavujú dve zmluvy. Tá prvá je z hory Sinaj, Hagar, ktorá rodí deti do otroctva.
3004190077	Hagar z hory Sinaj v Arábii predstavuje v tomto obraze terajší Jeruzalem, ktorý so svojimi deťmi žije v otroctve.
30041a0062	Ale Jeruzalem, ktorý je hore, je slobodný – ten je našou matkou podobne, ako ňou bola Sára.
30041b00af	Je totiž napísané: „Raduj sa, neplodná, ktorá nerodíš, jasaj a krič ty, ktorá nemáš pôrodné bolesti. Lebo opustená má viac detí ako tá, ktorá má muža.“
30041c0038	Vy, bratia, ste rovnako ako Izák zasľúbenými deťmi.
30041d007b	Ale ako už vtedy syn narodený z otrokyne prenasledoval toho, ktorý sa narodil z vôle Božieho Ducha, tak je to aj dnes.
30041e0079	Čo však vraví Písmo? „Vyžeň otrokyňu aj jej syna! Lebo syn otrokyne nebude dedičom spolu so synom slobodnej!“
30041f0037	Bratia, my nie sme synmi otrokyne, ale synmi slobodnej.
3005010076	Sme slobodní – veď Kristus nám vydobyl slobodu. Žite preto slobodne a nedajte sa zase spútať otrockým jarmom.
3005020080	Ja, Pavol, vám vravím, že ak sa dávate obrezávať podľa židovského zákona, Kristova obeť pre vás stráca svoj zmysel.
3005030063	Znova zdôrazňujem každému z vás, aby ten, kto sa dáva obrezať, dôsledne plnil celý Zákon.
3005040097	Vy všetci, ktorí chcete získať ospravedlnenie na základe dodržiavania Zákona, odlúčili ste sa od Krista a unikli ste spod vplyvu jeho milosti.
300505006b	My však prostredníctvom Ducha vo viere netrpezlivo očakávame spravodlivosť, ktorá je našou nádejou.
3005060091	Veď keď patríme Kristovi, nezáleží na tom, či je niekto obrezaný alebo nie: dôležitá je viera, ktorá sa prejavuje nesebeckou láskou.
300507004f	Bratia, tak dobre ste začali! Kto vám zabránil, aby ste žili podľa pravdy?
3005080033	Určite to nevyšlo do toho, ktorý vás povoláva.
3005090039	Viete, že trocha kvasu stačí, aby nakyslo celé cesto.
30050a0095	Ja však dôverujem Bohu, že sa neodchýlite k inému zmýšľaniu. Ten však, kto vnáša medzi vás zmätok, neujde trestu, nech je to ktokoľvek.
30050b00a8	Niektorí tvrdia, že stále učím nutnosť obriezky. Prečo by som bol potom terčom prenasledovania? Veď by som tak odstránil pohoršenie, ktoré prináša kríž.
30050c004f	Nech tí, čo vás znepokojujú kvôli obriezke, sa dajú hoci aj vykastrovať!
30050d00d4	Milovaní bratia, Kristus vás predsa povolal, aby ste boli slobodní. To však neznamená, že by ste mali teraz užívať a konať všetko, čo sa vám len zachce. Radšej si vedení láskou slúžte navzájom.
30050e005c	Veď celý zákon sa dá zhrnúť do jedinej vety: Miluj svojho blížneho ako seba samého!
30050f0068	Ak sa však namiesto toho hryziete a žeriete, dajte pozor, aby ste sa navzájom nepriviedli do záhuby!
3005100073	Radím vám: Dajte sa viesť Duchom Svätým, tak odoláte tomu, na čo vás navádza vaša hriešna prirodzenosť.
30051100b1	Lebo človek vo svojej prirodzenosti koná proti Božiemu Duchu a Duch proti hriešnym túžbam človeka. Je to protiklad, ktorý vedie k tomu, že človek robí to, čo nechce.
300512003a	Ak vás však vedie Duch Svätý, nie ste otrokmi zákona.
300513007c	U toho, kto sa dáva viesť telesnými túžbami, prejavujú sa tieto skutky: nemravnosť, nečistota, hriešna zmyselnosť,
300514006a	modlárstvo, čarodejníctvo, spory, roztržky, hádky, hnevy, bezohľadné sebectvo, rozdelenie a rozkol,
30051500ac	závisť, opilstvo, obžerstvo a im podobné necnosti. Už raz som povedal a opakujem znova, že tí, ktorí takéto veci robia, nebudú mať podiel na Božom kráľovstve.
3005160073	Ovocím života, ktorý vedie Boží Duch je: láska, radosť, pokoj, trpezlivosť, láskavosť, dobrota, vernosť,
3005170057	nežnosť a sebaovládanie. Kto takto žije, nepríde do konfbdtu so žiadnym zákonom.
300518006b	Tí, ktorí patria Kristovi, nechali svoje prirodzené zlé žiadosti a vášne zomrieť s ním na kríži.
3005190044	Ak nám Duch dal nový život, má to byť zrejmé v našom konaní.
30051a004b	Neusilujme sa o prázdnu slávu, neprovokujme sa navzájom, nezáviďme si.
30060100df	Bratia, ak by sa stalo, že niekoho ovládne hriech, usilujte sa vy, ktorí ste vedení Božím Duchom, priviesť ho späť na pravú cestu v duchu miernosti. Dávajte si na seba pozor, aby ste aj vy nepodľahli pokušeniu.
300602004e	Pomáhajte si navzájom niesť svoje bremená, a tak naplníte Kristov zákon.
300603005f	Ak si niekto o sebe namýšľa, aký je dôležitý, a pritom nič neznamená, klame sám seba.
300604007c	Každý nech skúma svoje vlastné konanie. Možno bude mať dôvod byť na niečo hrdý, ale nech sa s nikým neporovnáva.
3006050029	Každý sa bude zodpovedať sám za seba.
3006060057	S tými, ktorí vás vyučujú Božím cestám, sa ochotne deľte so všetkým dobrým.
3006070056	A nemýľte sa! Boha nikto nemôže podviesť. Čo človek rozsieva, to bude aj žať.
30060800e9	Kto všetko svoje úsilie zameriava na uspokojenie svojich hriešnych túžob, ženie sa do záhuby, lebo telo je smrteľné. Kto však svoje úsilie venuje budovaniu kráľovstva Ducha, získa večný život, lebo Duch dáva život.
3006090060	Nedajme sa pri konaní dobra premôcť únavou, lebo keď vytrváme, čaká nás slávna žatva.
30060a0073	A tak kým je čas, preukazujme dobro všetkým, najmä však tým, s ktorými nás spája viera v Ježiša Krista.
30060b0042	Vidíte tie veľké písmená? Píšem vám svojou vlastnou rukou!
30060c0087	Tým, ktorí vás nútia dávať sa obrezať, ide len o to, aby získali priazeň Židov a aby ich neprenasledovali pre Kristov kríž.
30060d0091	Sami však, hoci obrezaní, neplnia všetky ustanovenia zákona, chcú len, aby sa mohli pochváliť, že získali nových prívržencov zákona.
30060e00a6	Mne je však podobné chvastanie sa cudzie. Ja sa chválim iba krížom Pána Ježiša Krista. Kríž spôsobil, že svet je pre mňa mŕtvy a ja som mŕtvy pre svet.
30060f007d	Lebo pred Bohom nezaváži, či je niekto obrezaný, alebo nie. Dôležité je iba to, či sa stal človek novým stvorením.
3006100078	Pokoj a milosrdenstvo nech sprevádza každého, kto žije podľa tohto pravidla – celému Božiemu vyvolenému ľudu.
3006110075	Nech mi už nikto nespôsobuje ďalšie ťažkosti. Veď ja na svojom tele nosím jazvy toho, že patrím Ježišovi.
3006120054	Nech je s vami všetkými milosť nášho Pána Ježiša Krista, milí bratia! Amen.
3100000008	Efezanom
3101010073	Od Pavla, z Božej vôle apoštola Ježiša Krista, Božiemu ľudu, verným nasledovníkom Ježiša Krista v Efeze.
3101020046	Milosť vám a pokoj od Boha, nášho Otca a od Pána Ježiša Krista.
3101030093	Nech je vzdaná chvála Bohu a Otcovi nášho Pána Ježiša Krista za všetko duchovné požehnanie jeho kráľovstva, ktoré nám dal v Kristovi.
3101040056	V ňom si nás už pred stvorením sveta vybral, aby sme boli svätí a bez poškvrny.
3101050081	Vo svojej láske nás vopred určil, že nás vďaka svojej dobrej vôli a prostredníctvom Ježiša Krista prijme za svoje deti.
3101060057	Chváľme preto Boha za jeho úžasnú milosť, ktorou nás obdaril v milovanom Synovi.
3101070075	V ňom sme prijali prostredníctvom jeho obete vykúpenie a sú odpustené naše hriechy pre jeho prebohatú milosť,
310108003e	ktorou nás zahrnul vo všetkej svojej múdrosti a rozumnosti.
3101090060	Boh nám odhalil tajomstvo svojho zámeru, svojej dobrej vôle, ktorou si v Kristovi predsavzal,
31010a005b	že keď nastane ten správny čas, v Kristovi zjednotí všetko, čo je na nebi i na zemi.
31010b0050	V Kristovi sme sa stali dedičmi Boha, ktorý koná všetko podľa svojej vôle.
31010c0080	Boží zámer je, aby sme ho chválili a zvelebovali za všetko, čo urobil pre nás, ktorí sme už skôr mali nádej v Krista.
31010d00dc	Jeho zásluhou ste do tohto zámeru boli zahrnutí aj vy, keď ste počuli zvesť o spasení a uverili ste jej. Na dôkaz toho vám Boh vtisol svoju pečať, totiž dal vám Ducha Svätého, ktorého sľúbil už dávno.
31010e00d0	Jeho prítomnosť v nás je zárukou, že Boh nám skutočne dá všetko, čo sľúbil. Je to aj akási pečať, že sme jeho vlastníctvom a že si nás vezme k sebe. Nemáme ho za to chváliť a oslavovať?
31010f0076	Práve preto odvtedy, ako som počul o vašej viere v Pána Ježiša aj o vašej láske k všetkým jeho vyznávačom,
310110003b	neprestávam za vás vo svojich modlitbách ďakovať Bohu.
310111007f	Prosím slávneho Otca nášho Pána Ježiša Krista o Ducha múdrosti pre vás, aby ste mohli poznať, aký v skutočnosti je.
310112008c	Modlím sa, aby vaše srdce ožiaril odlesk slávnej budúcnosti, do ktorej sme pozvaní, a aby ste pochopili, vy, ktorí patríte Kristovi,
31011300c4	aké nesmierne bohatstvo nám slávny Boh dáva. Veď všetko, čo patrí Bohu, je aj vaše! A prosím aj o to, aby ste sa presvedčili, aká neuveriteľne veľká je moc, ktorá vo vás pôsobí.
3101140038	Je to tá istá moc, ktorá vzkriesila Krista z mŕtvych
31011500c5	a vyzdvihla ho vysoko nad všetkých kráľov a vlády, nad veliteľov a diktátorov, až na čestné miesto po Božej pravici. Jeho sláva nemá obdoby v minulosti a nebude mať ani v budúcnosti.
3101160033	Boh mu všetko podriadil a urobil ho hlavou cirkvi.
310117004b	Cirkev je jeho telom, naplnená ním samým, pôvodcom a darcom všetkého.
310201003d	Kedysi ste boli mŕtvi, navždy odsúdení pre svoje hriechy.
31020200ca	Šli ste spolu s davom a ako ostatní ste boli ponorení do hriechu, poslúchali ste satana, knieža mocnosti, čo sa rozprestiera nad svetom a doposiaľ pôsobí v ľuďoch, ktorí Boha neposlúchajú.
3102030119	Práve takí sme boli aj my. Žili sme podľa vlastnej vôle, pre svoje vlastné sebecké záujmy a podliehali sme vášňam a nečistým myšlienkam. Boli sme zlí od počiatku, lebo sme sa už narodili so zlou povahou, a preto sme boli tak ako ostatní vystavení Božiemu hnevu.
3102040024	Ale Božie milosrdenstvo je veľké.
31020500af	Pre naše hriechy boli sme v Božích očiach mŕtvi. A predsa nás tak veľmi miloval, že spolu s Kristom nám daroval nový život – spasení ste jedine z Božej milosti!
3102060054	Skrze vieru v Krista sme premohli smrť a získali sme miesto v Božom kráľovstve.
3102070097	Takto chce Boh svojou láskou k nám, ktorá sa prejavila v Ježišovi Kristovi, ukázať aj pre budúce veky, aká nekonečne veľká je jeho milosť.
310208007d	Boli ste teda spasení iba z milosti, tým, že ste uverili v Krista. A ani táto viera nepochádza z vás, je to Boží dar.
310209005b	Spasenie nie je odmena za naše dobré skutky, aby sa nik nechválil, že si ho zaslúžil.
31020a0099	Boh sám urobil z nás to, čím sme, daroval nám nový život prameniaci z Krista, a tým aj schopnosť konať dobro, ktoré od nás právom očakáva.
31020b00f9	Pamätajte na to, že ste kedysi žili bez viery, vzdialení od Boha, a že ste nepatrili ani k spoločenstvu Židov, ktorí vás pohŕdavo nazývali neobrezancami, hoci obriezka sa vykonáva ľudskou rukou a je iba vonkajším znamením zbožnosti.
31020c00c2	Vtedy ste žili bez Krista a odlúčení od spoločenstva Izraela. Preto sa na vás nevzťahovali nijaké zasľúbenia, ktoré Boh dal svojmu ľudu – žili ste bez nádeje i bez Boha na svete.
31020d008f	Ale Ježiš vylial na kríži svoju krv aj za vás, preto teraz patríte jemu, a hoci ste predtým žili ďaleko od neho, ste mu teraz blízko.
31020e00c0	V Kristovi sme získali pokoj. On vniesol pokoj medzi nás Židov a vás pohanov a spojil to, čo bolo nezmieriteľne rozdelené múrom židovských zákonov, ktorý delil svet na dva tábory.
31020f00a1	Kristus svojou smrťou tento múr zbúral a oba tábory, až doposiaľ nepriateľské, spojil v jednu Božiu rodinu, v jedno telo, a tak konečne zavládol mier.
310210005b	Ježišov kríž obe strany zmieril s Bohom, a preto zahladil aj vzájomné nepriateľstvo.
3102110064	Ježiš prišiel a zvestoval pokoj vám, ktorí ste boli ďaleko, a pokoj tým, ktorí boli blízko,
310212003c	a preto môžeme teraz všetci predstupovať pred Boha Otca.
3102130094	Už teda nie ste cudzincami ani prisťahovalcami, ale ste občanmi Božieho kráľovstva a spolu s ostatnými kresťanmi ste časťou Božieho domu,
3102140034	ktorého hlavným uholným kameňom je sám Kristus.
310215003f	On spája všetkých svojich verných v jeden duchovný chrám.
3102160055	Aj vy ste časťou tohto príbytku, v ktorom býva Boh prostredníctvom svojho Ducha.
310301003a	Ja, Pavol, som sa dostal do väzenia kvôli vám, pohanom.
3103020039	Iste ste už počuli o pláne Božej milosti pre vás –
310303004b	v zjavení mi totiž bolo odhalené tajomstvo, o ktorom som sa už zmienil.
3103040045	Keď to prečítate, môžete pochopiť, ako tomu tajomstvu rozumiem.
310305009c	Kedysi človek nemal možnosť nazrieť do Božích plánov, teraz však Boh prostredníctvom Svätého Ducha zjavil svojim apoštolom a prorokom tajomstvo,
3103060097	že aj pohania, ktorí prijali zvesť evanjelia, sú súčasťou toho istého tela a spoludedičmi všetkých Božích zasľúbení takisto ako Židia.
3103070046	Spoluúčastníkom tohto evanjelia som sa z Božej milosti stal aj ja.
31030800df	Mne, najmenšiemu a najúbohejšiemu zo všetkých kresťanov, dal Boh tú slávnu výsadu a radostnú úlohu, aby som pohanom priniesol správu o nekonečnom bohatstve, ktoré aj oni získali v osobe Pána Ježiša Krista.
3103090077	A práve ja im smiem vysvetľovať, že Boh, ktorý stvoril všetko, mal už od začiatku v pláne aj spasenie pohanov.
31030a0069	A tak všetky vlády aj nebeské mocnosti môžu prostredníctvom cirkvi poznať jeho dokonalú múdrosť
31030b004a	a večný plán, ktorý uskutočnil v Ježišovi Kristovi, našom Pánovi.
31030c005e	Preto teraz môžeme bez strachu a bez zábran pristupovať k Bohu vo viere v Ježiša Krista.
31030d0059	Nech vás teda nemrzí, že musím kvôli vám teraz trpieť, naopak, buďte na to hrdí.
31030e0027	Preto padám na kolená a prosím Otca,
31030f0039	ktorý dal život každej pozemskej i nadzemskej bytosti,
3103100042	aby svojou nekonečnou mocou vnútorne posilnil a upevnil aj vás.
3103110063	A modlím sa, aby Kristus žil vo vašich srdciach a aby ste boli zakorenení a upevnení v láske.
3103120075	Len tak poznáte, spolu so všetkými kresťanmi, aká je Kristova láska vo svojej plnej šírke, hĺbke aj výške,
3103130064	a presvedčíte sa, aká je nezmerateľná a nedosiahnuteľná, a tak vás Boh naplní sebou samým.
310314007c	Toho, ktorý pôsobením svojej moci môže vykonať nad všetko omnoho viac, než vieme prosiť alebo dokážeme pochopiť,
3103150050	toho nech cirkev v Ježišovi Kristovi slávi po celé generácie na veky vekov.
3104010077	Prosím vás zo svojho väzenia: žite a správajte sa tak, ako sa patrí na ľudí povolaných k slávnej budúcnosti.
3104020055	Buďte pokorní a nežní, trpezliví a zhovievaví, znášajte sa navzájom v láske
3104030042	a usilujte sa o jednotu Ducha, spojení navzájom vzťahmi pokoja.
310404005a	Tvoríme predsa jedno telo, a ten istý Duch nás všetkých vedie k slávnej budúcnosti.
310405002e	Máme jedného Pána, jednu vieru, jeden krst,
3104060063	máme jedného Boha a Otca, ktorý je nad nami i v nás a ktorý pôsobí naším prostredníctvom.
310407005a	Každému z nás dal Kristus určité schopnosti podľa toho, ako sám uznal za potrebné.
310408006d	Preto Písmo hovorí: „Vystúpil si na výšiny, viedol si so sebou zajatcov, priniesol si ľuďom dary.“
3104090078	Tomu, aby vystúpil, musela predchádzať cesta opačným smerom – z nebeských výšin do najhlbších končín zeme.
31040a0058	Ten, ktorý zostúpil dolu, je ten istý, čo vystúpil hore, aby naplnil celý vesmír.
31040b00d9	A on určil niektorých za apoštolov, iných za prorokov, niekomu dal schopnosť získavať ľudí pre Krista, inému starať sa o nich, ako sa pastier stará o svoje ovce, a niekto zasa dostal dar vyučovať iných.
31040c004c	Ich úlohou je pripraviť veriacich na službu, na budovanie tela Kristovho,
31040d0086	aby sme všetci dosiahli jednotu vo viere a v poznaní Syna Božieho a aby sme dospeli k duchovnej zrelosti, ktorej mierou je Kristus.
31040e0071	Potom už nebudeme ako deti podliehať kadejakým názorom svojho okolia, jeho falošnosti a prefíkaným zvodom.
31040f00b2	Namiesto toho sa vždy budeme držať pravdy a lásky – budeme hovoriť pravdu, láskavo konať a žiť, – a tak budeme stále podobnejší Kristovi, ktorý je našou hlavou.
31041000a1	V ňom je celé telo dokonale skĺbené a každá jeho časť slúži svojím vlastným spôsobom ostatným, aby sa celé telo zdravo vyvíjalo a žilo v láske.
310411004a	Nežite už ako tí, ktorí nepoznajú Boha a nerozumejú Božím cestám.
3104120050	Ich myslenie je zmätené, v ich srdci je tma, lebo nechcú o Bohu nič vedieť.
310413005f	Nevidia rozdiel medzi dobrým a zlým, oddávajú sa nízkym vášňam, ženie ich chamtivosť.
3104140022	Ale Kristus nás učí čosi iné.
3104150036	Ak ste naozaj počuli jeho hlas a poznali jeho pravdu,
310416008d	musíte zanechať doterajší spôsob života – honbu za klamnými žiadosťami vlastného skazeného „ja“, ktoré sa končí záhubou.
310417001a	Zmeňte svoje zmýšľanie
310418005e	a staňte sa novými ľuďmi, stvorenými na Boží obraz v spravodlivosti a pravej svätosti.
310419005f	Preto už neklamte, ale hovorte si navzájom pravdu. Všetci sme predsa časťou jedného tela.
31041a00a7	Ak sa aj niekedy neubránite hnevu, nehrešte tým, že by ste ho v sebe živili, alebo dokonca rozdúchavali. Odstráňte ho zo svojho srdca skôr, ako zapadne slnko,
