010000000a	Yaritilish
2b1410007c	Meryem! — dédi Eysa uninggha. Meryem burulupla, ibraniy tilida: — Rabboni! — dédi (bu söz «ustaz» dégen menide).
2b14110113	Eysa uninggha: — Manga ésilmighin! Chünki men téxi atamning yénigha chiqmidim. Bérip qérindashlirimgha: Méni «Silerningmu Atanglarning, yeni méning Atamning, silerning Xudayinglarning, yeni méning Xudayimning yénigha chiqimen!» deydu, — dep yetküzgin, dédi.
2b141200a0	Shuning bilen Magdalliq Meryem muxlislarning yénigha bérip, ulargha: «Rebni kördüm!» dédi we shundaqla Eysa özige éytqan u sözlerni ulargha yetküzdi.
2b1413011c	Shu küni kechte, yeni heptining birinchi küni kechte, Yehudiylardin qorqqanliqi üchün muxlislar yighilghan öyde ishiklirini him taqiwalghanidi; shu waqitta, Eysa kélip ularning otturisida [körünüp], öre turghan halda ulargha: — Silerge aman-xatirjemlik bolghay! — dédi.
2b14140067	Buni dep, qollirini we biqinini ulargha körsetti. Shuning bilen muxlislar Rebni körginidin shadlandi.
2b14150079	Shunga Eysa ulargha yene: — Silerge aman-xatirjemlik bolghay! Ata méni ewetkinidek, menmu silerni ewetimen, — dédi.
2b14160060	Bu sözni éytqandin kéyin, u ularning üstige bir püwlep: — Muqeddes Rohni qobul qilinglar.
2b14170092	Kimning gunahlirini kechürsenglar, uning gunahi kechürüm qilinidu; kimning gunahlirini tutuwalsanglar, shuning gunahi tutuwélinidu! — dédi.
2b1418006a	Emma on ikkiylenning biri, yeni «qoshkézek» dep atalghan Tomas Eysa kelgende ularning yénida emes idi.
2b141900fc	Shunga bashqa muxlislar uninggha: — Biz Rebni körduq! — déyishti. Lékin Tomas ulargha: — Uning qollirida mixlarning izini körmigüche, mixlarning izigha öz barmiqimni we biqinigha öz qolumni tiqip baqmighuche, hergiz ishenmeymen, — dédi.
2b141a00d1	Sekkiz kündin kéyin, muxlislar yene shu öy ichide jem bolghanda, Tomasmu ular bilen bille idi. Ishikler taqaqliq tursimu, Eysa kélip ularning arisida turup: — Silerge aman-xatirjemlik bolghay! — dédi.
2b141b009d	Andin u Tomasqa: — Barmiqingni bu yerge tegküzüp, qollirimgha qara. Qolungni uzitip, biqinimgha tiqip, gumanda bolmay, ishen’güchi bolghin! — dédi.
2b141c004f	Tomas uninggha: — Méning Rebbim hem méning Xudayimsen! — dep jawab berdi.
2b141d0070	Eysa uninggha: — Méni körgenliking üchün ishending. Körmey turup ishen’güchiler bextliktur! — dédi.
2b141e0067	Eysa muxlislirining aldida bu kitabta xatirilenmigen bashqa nurghun möjizilik alametlernimu körsetti.
2b141f00b4	Lékin mushular silerni Eysaning Mesih, shundaqla Xudaning Oghli ikenlikige ishensun hem bu arqiliq [uninggha] étiqad qilip, uning nami arqiliq hayatliqqa érishsun, dep yézildi.
2b1501008e	Bu ishlardin kéyin, Eysa Tibériyas déngizining boyida muxlislirigha yene bir qétim köründi. Uning bu qétimqi körünüshi mundaq boldi:
2b15020088	Simon Pétrus, «qoshkézek» dep atalghan Tomas, Galiliyediki Kanaliq Nataniyel, Zebediyning oghulliri we bashqa ikki muxlis bille idi.
2b150300c5	Simon Pétrus: Men béliq tutqili barimen, — dédi. Köpchilik: Bizmu sen bilen bille barimiz, — déyishti. Ular tashqirigha chiqip, kémige olturdi, lékin shu bir kéche héchnerse tutalmidi.
2b1504005b	Tang atay déginide, Eysa qirghaqta turatti, biraq muxlislar uning Eysa ikenlikini bilmidi.
2b1505006f	Shunga Eysa: — Balilar, silerde yégüdek bir nerse yoqqu? — dep soridi. — Yoq, — dep jawab berdi ular.
2b150600d4	Eysa ulargha — Torni kémining ong teripige tashlanglar, shundaq qilsanglar tutisiler, — dédi. Shuning bilen ular torni [shu yaqqa] tashlap, shundaq köp béliq tuttiki, hetta torni tartip chiqiralmay qaldi.
2b150700bd	Eysa söygen muxlis Pétrusqa: — Bu Rebqu! — dédi. Simon Pétrus uning Eysa ikenlikini anglap, tonini özige yögep (chünki [bélining asti] yalingach idi) özini déngizgha tashlidi.
2b150800aa	Qirghaqtin anche yiraq emes bolup, texminen ikki yüz gez yiraqliqta bolghachqa, qalghan muxlislar béliq bilen tolghan torni tartip kichik kémisi bilen qirghaqqa keldi.
2b15090062	Ular qirghaqqa chiqqanda, shaxardin yéqilghan, üstide béliq qoyuqluq gülxanni we nanni kördi.
2b150a003d	Eysa: — Emdi tutqan béliqinglardin ekélinglar, — dédi.
2b150b00cc	Simon Pétrus [kémige] chiqip, torni qirghaqqa tartip chiqardi. Tor chong béliqlar bilen tolghan bolup, jemiy bir yüz ellik üch béliq bar idi. Béliq shunche köp bolghini bilen, tor yirtilmighanidi.
2b150c00b8	Eysa: — Kélinglar, nashta qilinglar, — dédi. Muxlislarning ichidin héchkim uningdin: — Sen kim bolisen? — dep sorashqa pétinalmidi. Chünki ular uning Reb ikenlikini bildi.
2b150d0040	Eysa nanni ekilip ulargha berdi hem béliqlarnimu shundaq qildi.
2b150e0062	Mana bu Eysaning ölgendin kéyin tirilip, özini muxlislirigha üchinchi qétim ayan qilishi idi.
2b150f0117	Ular nashta qilghandin kéyin, Eysa Simon Pétrustin: — Yunusning oghli Simon, sen méni bulardinmu chongqur söyemsen? — dep soridi. — Shundaq Reb, méning séni söyidighanliqimni sen bilisen! — dédi Pétrus. Eysa uninggha: Undaqta, qozilirimni otlitip baq! — dédi.
2b151000e8	U ikkinchi qétim yene uningdin: — Yunusning oghli Simon, méni söyemsen? — dep soridi. Pétrus yene: — Shundaq, Reb, méning séni söyidighanliqimni bilisen, — dédi. Eysa uninggha: — Undaqta, qoylirimni baq, — dédi.
2b15110140	Üchinchi qétim uningdin yene: — Yunusning oghli Simon, méni söyemsen? — dep soridi. Pétrus Eysaning üchinchi qétim özidin: «Méni söyemsen?» dep sorighanliqigha köngli yérim bolup: — Reb, sen hemmini bilisen, séni söyidighanliqimnimu bilisen, — dédi. Eysa uninggha: — Undaqta, qoylirimni otlat.
2b151200ff	Berheq, berheq, sanga shuni éytip qoyayki, yash waqtingda bélingni özüng baghlap, qeyerge baray déseng shu yerge mangatting; lékin yashan’ghanda, qolliringni uzitisen we bashqa birsi séni baghlap, sen xalimaydighan yerge élip kétidu, — dédi.
2b151300bc	Eysa bu sözni Pétrusning qandaq ölüsh arqiliq Xudagha shan-sherep keltüridighanliqini éniq bildürüsh üchün éytti. Andin, uninggha yene: — Manga egeshküchi bolghin, — dédi.
2b151400d2	Pétrus keynige burulup, Eysa söyidighan muxlisning egiship kéliwatqanliqini kördi (bu muxlis kechlik tamaqta Eysaning quchiqigha yölinip: «I Reb, séni tutup béridighan kimdu?» dep sorighan muxlis idi).
2b15150055	Pétrus uni körüp, Eysadin: — I Reb, bu adem kéyin qandaq bolar? — dep soridi.
2b15160097	Eysa uninggha: — Eger men qayta kelgüche uning turup qélishini xalisammu, séning buning bilen néme karing?! Manga egeshküchi bolghin, — dédi.
2b15170101	Buning bilen qérindashlar arisida «Héliqi muxlis ölmeydu» dégen gep tarqaldi. Lékin Eysa Pétrusqa: «U ölmeydu» démigenidi, belki peqet: «Eger men qayta kelgüche uning turup qélishini xalisammu, séning buning bilen néme karing?!» dégenidi.
2b15180083	Bu ishlargha guwahliq bergüchi hemde bu ishlarni xatiriligüchi ene shu muxlistur. Uning guwahliqining heqiqet ikenlikini bilimiz.
2b151900aa	Eysa bulardin bashqa nurghun ishlarnimu qilghanidi; eger ularning hemmisi bir-birlep yézilghan bolsa, méningche yézilghan kitablar pütkül alemning özige sighmaytti!
2c00000019	Rosullarning paaliyetliri
2c010100fd	I [hörmetlik] Téofilos, men deslep yazghan bayan Eysa özi tallighan rosullargha Muqeddes Roh arqiliq emrlerni tapshurup asman’gha kötürülgen kün’güche bolghan uning barliq emelliri hem barliq telim bérishlirining bashlanmisi toghrisida idi.
2c010300d6	U azab-oqubetlerni tartqandin kéyin, ulargha köp ispatlar bilen özining tirik ikenlikini körsetken; u ulargha qiriq kün ichide körün’gen bolup, Xudaning padishahliqigha ait ishlar toghruluq sözlep bergen;
2c01040087	we ular bilen jem qilin’ghanda mundaq emr qildi: — «Yérusalémdin ayrilmay, siler mendin anglighan, Atining wedisini kütünglar.
2c01050077	Chünki Yehya suda chömüldürgen, lékin siler bolsanglar köp künler ötmey Muqeddes Rohta chömüldürülisiler».
2c010600a1	Rosullar [uning bilen] jem qilin’ghanda, uningdin: — I Reb, sen mushu waqitta Israilning padishahliqini eslige keltürmekchimusen? — dep sorashqa bashlidi.
2c01070071	U ulargha mundaq dédi: — Ata Öz hoquqigha asasen békitken waqit-peytlerni silerning bilish nésiwenglar yoq.
2c010800b9	Biraq Muqeddes Roh üstünglargha chüshkende siler küch-qudretke ige bolisiler, Yérusalém, pütün Yehudiye we Samariye boyiche hem jahanning chetlirigiche manga guwahchi bolisiler.
2c01090086	U bu sözlerni qilip bolup, ular qarap turghanda kötürüldi, bir parche bulut uni arigha aldi-de, u ularning neziridin ghayib boldi.
2c010a008e	U asman’gha kötürülgende, ular közlirini kökke tikip qarashqanda, mana tuyuqsiz ularning yénida aq kiyim kiygen ikki adem peyda bolup:
2c010b00ef	— Ey Galiliyelikler, némishqa öre turghininglarche asman’gha qarap qaldinglar? Siler silerdin ayrilip ershke kötürülgen shu Eysaning asman’gha qandaq kötürülginini körgen bolsanglar, yene shu halda qaytip kélidu, — dédi.
2c010c0075	Andin ular Yérusalémgha yéqin, uningdin bir chaqirimche yiraqliqtiki Zeytun téghidin Yérusalémgha qaytip keldi.
2c010d0101	Ular sheherge kirip, özliri turuwatqan öyning üstünki qewitidiki bir öyge chiqti. Shu yerde Pétrus, Yuhanna, Yaqup, Andiriyas, Filip, Tomas, Bartolomay, Matta, Alfayning oghli Yaqup, «milletperwer» Simon we [yene bir] Yaqupning oghli Yehuda bar idi.
2c010e00bf	Bular bir jan bir dil bolup üzüldürmey bérilip dua-tilawet qilishti; bu ishta bir yerge jem bolghanlardin birqanche ayal, jümlidin Eysaning anisi Meryem hemde Eysaning inilirimu bar idi.
2c010f0082	Shu künlerning biride, Pétrus qérindashlar otturisida öre turup (jem bolushqanlar bir yüz yigirmige yéqin idi) mundaq dédi:
2c011000be	— Qérindashlar, Eysani tutqanlargha yol bashlighuchi bolghan Yehuda heqqide Muqeddes Rohning burun Dawut arqiliq aldin éytqan muqeddes yazmilardiki sözliri emelge éshishi muqerrer idi.
2c01110060	Chünki [Yehuda]mu arimizdin biri hésablan’ghan we [Xudaning] bu xizmitidin nésiwisi bar idi
2c01120095	(u qilghan qebihlikning in’amidin érishken pulgha bir parche yer sétiwalghanidi, u shu yerde béshichilap yiqilip, üchey-qérini chuwulup ketti;
2c0113009b	bu ish pütkül Yérusalémdikilerge melum bolup, ular u yerni öz tili bilen «Haqeldema» dep atashti. Buning menisi «qan tökülgen yer» dégenliktur)
2c011400cc	Chünki Zeburda [Yehudagha] [qaritilghan] munu sözler pütülgen: — «Uning turalghusi chölge aylansun, Uningda héch turghuchi bolmisun!» We: — «Uning yétekchilik ornigha bashqa birsi chiqsun!»
2c0115015f	Shuning üchün, Reb Eysaning tirilgenlikige biz bilen teng guwahliq bérishi üchün, bir kishini tallishimiz kérek. Bu kishi Eysa arimizda yürgen künlerde, Yehya [peyghember]din chömüldürüshni qobul qilghan kündin bashlap taki asman’gha kötürülgen kün’giche biz bilen bashtin-axir bille bolghan kishilerdin bolushi kérek, — dédi.
2c01170091	Shuning bilen ular Yüsüp (yene Barsabas depmu atalghan, yene bir ismi Yustus) bilen Mattiyas dégen ikki kishini békitip, mundaq dua qilishti:
2c0118010f	— Sen, i hemme ademning qelbini bilgüchi Perwerdigar! Yehuda téyilip bu xizmet we rosulluqtin mehrum bolup özige xas bolghan yerge ketti. Emdi u tashlap qoyghan xizmet we rosulluqning nésiwisige ige bolushqa bu ikkiylendin qaysisini tallighanliqingni körsetkeysen!
2c011a008c	Andin ular bu ikki kishige chek tashliwidi, chek Mattiyasqa chiqti. Shuning bilen u on bir rosul bilen bir qatardin orun alghan hésablandi.
2c0201006e	Emdi «orma héyt» künining waqti-saiti toshqanda, bularning hemmisi Yérusalémda bir yerge jem bolghanidi.
2c02020061	Asmandin tuyuqsiz küchlük shamal soqqandek bir awaz anglinip, ular olturuwatqan öyni bir aldi.
2c02030055	Ot yalqunidek tillar ulargha körünüp, ularning herbirining üstige tarqilip qondi.
2c02040076	Ularning hemmisi Muqeddes Rohqa toldurulup, Roh ulargha söz ata qilishi bilen ular namelum tillarda sözligili turdi.
2c0205006e	U chaghda, asman astidiki barliq ellerdin kelgen nurghun ixlasmen Yehudiy erlermu Yérusalémda turuwatqanidi.
2c020600c3	Emdi [étiqadchilarning] bu awazi anglinip, top-top ademler shu yerge jem bolushti hemde [étiqadchilarning] özliri turushluq jaydiki tillarda sözlishiwatqanliqini anglap, téngirqap qélishti.
2c02070061	Ular heyran bolup teejjüplinip: — Qaranglar, sözlishiwatqanlarning hemmisi Galiliyeliklerghu?
2c02080063	Qandaqlarche ularning bizning ana yurtimizdiki tillirimizda sözlishiwatqanliqini anglawatqandimiz?
2c02090067	Arimizda Partiyalar, Médialar, Élamlar, shundaqla Mésopotamiye, Yehudiye, Kapadokiya, Pontus, Asiya,
2c020a016c	Frigiye hem Pamfiliye, Misir, Liwiyening Kurinige yéqin jayliridin kelgenler, shuningdek mushu yerde musapir bolup turuwatqan Rim shehiridin kelgenler — Yehudiylar bolsun, Tewrat étiqadigha kirgenler bolsun, Krétlar we Erebler bolsun, hemmimiz ularning Xudaning qilghan ulugh emellirini bizning ana tillirimizda sözlewatqanliqini anglawatimiz! — déyishti.
2c020c005c	Ular hang-tang qélip alaqzadilik bilen bir-birige: — Bu zadi qandaq ishtu? — déyishti.
2c020d005f	Emma beziler: — Bular yéngi sharab bilen obdanla mest bolup qaptu! — dep mesxire qilishti.
2c020e00df	Emma Pétrus qalghan on bireylen bilen ornidin turup, awazini kötürüp köpchilikke mundaq dédi: — Ey Yehudiyedikiler we Yérusalémda barliq turuwatqanlar! Bu ish silerge melum bolghayki, sözlirimge qulaq sélinglar!
2c020f0050	Bular siler oylighandek mest emes, chünki hazir peqet etigen saet toqquz boldi.
2c02100047	Emeliyette bu del Yoél peyghember arqiliq aldin éytilghan shu ishtur:
2c02110113	— «Xuda mundaq dédi: «Men axirqi künlerde Öz Rohimni barliq et igiliri üstige quyimen; Silerning oghul-qizliringlar wehiylik bésharet yetküzidu, Silerning yigitliringlar ghayibane alamet körünüshlerni köridu; Silerning qériliringlar alamet chüshlerni köridu;
2c0212006b	Berheq, shu künlerde qullirim üstigimu, dédeklirim üstigimu Rohimni quyimen, ular bésharet yetküzidu.
2c02130081	Men yuqirida asmanlarda karamet ishlar, töwende, zéminda möjizilik alametlerni, Qan, ot, is-tütek tüwrüklirini körsitimen.
2c02140069	Rebning ulugh hem karamet-shereplik küni bolmighuche, Quyash qarangghuluqqa, Ay qan’gha aylandurulidu.
2c0215006f	Hem shu chaghda shundaq emelge ashuruliduki, Rebning namini chaqirip nida qilghanlarning hemmisi qutquzulidu».
2c021600e4	Ey Israillar, mushu sözlerni anglanglar. Nasaretlik Eysa bolsa, Xuda aranglarda u arqiliq körsetken qudretlik emeller, karametler we möjizilik alametler bilen silerge testiqlighan bir zat — bu ishlar hemminglargha melum —
2c021700ca	u kishi Xudaning békitken meqsiti we aldin’ala bilishi boyiche satqunluqqa uchrap tutup bérilgendin kéyin, siler uni Tewrat qanunisiz yürgen ademlerning qoli arqiliq kréstlep öltürgüzdünglar.
2c02180086	Lékin Xuda uni ölümning azablarning ilkidin azad qilip qayta tirildürdi. Chünki ölümning uni tutqun qilishi hergiz mumkin emes.
2c021900a4	Dawut [Zeburda] u toghruluq mundaq aldin éytqan: «Men Perwerdigarni herdaim köz aldimda körüp kéliwatimen; U ong yénimda bolghachqa, Men hergiz tewrenmeymen.
2c021a006c	Shunga méning qelbim xushallandi, Méning tilim shadlinip yayridi; Méning ténim ümid-arzu ichide turidu;
2c021b0075	Chünki Sen jénimni tehtisarada qaldurmaysen, Shundaqla Séning Muqeddes Bolghuchunggha chirishlerni körgüzmeysen.
2c021c0062	Sen manga hayat yollirini körsetkensen; Huzurung bilen méni shad-xuramliqqa tolup tashquzisen».
2c021d0095	Qérindashlar, men atimiz [padishah] Dawut toghruluq héch ikkilenmey shuni éytimenki, u öldi we uning qebrisi bügünki kün’giche arimizda bar.
2c021e0087	Emdi u peyghember bolup, Xudaning uning textige olturushqa öz pushtidin bireylenni turghuzushqa qesem bilen wede bergenlikini biletti.
2c021f00bf	U Mesihning [ölgendin kéyin] tirildürülidighinini aldin’ala körüp yetken we bu munasiwet bilen Mesihning tehtisarada qaldurulmaydighinini we ténining chirimeydighinini tilgha alghan.
2c02200051	Xuda del bu Eysani ölümdin tirildürdi, we hemmimiz bu ishning guwahchilirimiz.
2c022100bd	U Xudaning ong yénida shan-sherep ichide olturghuzulup, shundaqla Ata wede qilghan Muqeddes Rohni qobul qilip, hazir körüwatqan hem anglawatqanliringlarni töküp [bizlerge] chüshürdi.
2c022200df	Chünki Dawut özi ershke chiqqan emes; lékin u munu sezlerni [Zeburda] éytqan: — «Perwerdigar méning Rebbimge éyttiki: — «Men séning düshmenliringni textipering qilmighuche, Méning ong yénimda olturghin!»».
2c02240093	Shuning üchün, pütkül Israil jemetidikiler shuni qet’iy bilsunki, Xuda siler kréstligen del ushbu Eysani hem Reb hem Mesih qilip tiklidi!».
2c022500b7	Bu sözler anglighanlarning yürikige sanjilghandek qattiq tegken bolup ular Pétrus we bashqa rosullardin: — I qérindashlar, undaqta biz néme qilishimiz kérek? — dep sorashti.
2c022600ed	Pétrus ulargha: — Towa qilinglar, herbiringlar Eysa Mesihning namida gunahliringlarning kechürüm qilinishi üchün chömüldürüshni qobul qilinglar we shundaq qilsanglar Xudaning iltipati bolghan Muqeddes Roh silerge ata qilinidu.
2c022700a7	Chünki bu wede silerge we silerning baliliringlargha, yiraqta turuwatqanlarning hemmisige, yeni Perwerdigar Xudayimiz özige chaqirghanlarning hemmisige ata qilinidu.
2c0228008f	Pétrus yene nurghun bashqa sözler bilen ularni agahlandurup ulargha: — Siler özünglarni bu iplas dewrdin qutquzunglar! — dep jékilidi.
2c0229007e	Shuning bilen uning sözini qobul qilghanlar chömüldürülüshti. Shu küni [jamaetke] qoshulghanlar üch mingche kishi idi.
2c022a0086	Ular özlirini izchil halda rosullarning telimige, [étiqadchilarning] birlik-hemdemlikige, nanni oshtushqa we dualargha béghishlidi.
2c022b0087	We qorqunch ularning herbirining üstige chüshti we rosullarning wasitisi bilen nurghun karametler we möjizilik alametler yüz berdi.
2c022c0050	Pütün étiqadchilar dawamliq jem bolup bille yashap, barliqini ortaq tutushti.
2c022d0060	Ular mal-mülüklirini sétip, pulini herkimning éhtiyajigha qarap hemmisige teqsim qilishatti.
2c022e00a3	Ular her küni ibadetxana hoylisigha bir niyette jem bolushatti, öy-öylerde xushal-xuramliq we aq köngüllük bilen ortaq ghizaliniship, nanni oshtup yéyiship,
2c022f0082	Xudagha medhiye oqushatti; ular pütkül xalayiqning izzitige sazawer boldi. Reb her küni qutquzuluwatqanlarni jamaetke qoshatti.
2c0301008c	Bir küni ibadetxanida dua qilinidighan waqitta, yeni chüshtin kéyin saet üchte, Pétrus bilen Yuhannamu ibadetxanigha chiqip barghanidi.
2c030200c5	Shu peytte bir tughma tokur ademmu bu yerge élip kéliniwatqanidi. Her küni, kishiler uni ibadetxanigha kirgenlerdin sediqe tilisun dep, ibadetxanidiki «Güzel derwaza» aldigha ekélip qoyatti.
2c0303005e	U Pétrus bilen Yuhannaning ibadetxanigha kirip kétiwatqinini körüp, ulardin sediqe tilidi.
2c0304005b	Pétrus bilen Yuhanna uninggha nezirini saldi. Pétrus uninggha: — Bizge qara! — dédi.
2c0305003d	U ulardin bir nerse kütüp, közlirini üzmey qarap turatti.
2c030600a7	Biraq Pétrus uninggha: — Mende altun yaki kümüsh yoq; lékin qolumda barini sanga bérey. Nasaretlik Eysa Mesihning nami bilen, ornungdin turup mang! — déwidi,
2c03070068	uni ong qolidin tartip, yölep turghuzdi. U ademning put we oshuq béghishliri shuan küchlendürülüp,
2c03080087	ornidin des turup méngishqa bashlidi. U méngip we sekrep, Xudagha medhiye oqughan halda ular bilen bille ibadetxana hoylisigha kirdi.
2c03090042	Barliq xalayiq uning méngip Xudagha medhiye oqughanliqini körüp
2c030a00a6	uning ibadetxanidiki «güzel derwaza» aldida sediqe tilep olturidighan héliqi adem ikenlikini tonup, uningda yüz berginige heyranuhes bolup dang qétip qélishti.
2c030b00c3	[Saqayghan kishi] Pétrus bilen Yuhannagha ching ésilip turuwalghanda, heyran bolushqan barliq xelq ularning yénigha [ibadetxanidiki] «Sulayman péshaywini» dégen yerge yügürüp kélishti.
2c030c00e3	Bu ehwalni körgen Pétrus xalayiqqa mundaq dédi: — I Israillar! Bu ishqa némanche heyran bolisiler? Biz xuddi öz küch-kudritimiz yaki ixlasmenlikimizge tayinip bu ademni mangdurghandek bizge némanche tikilip qaraysiler?
2c030d014f	Emeliyette bolsa, ata-bowilirimizning Xudasi, yeni Ibrahim, Ishaq we Yaqupning Xudasi Öz xizmetkari bolghan Eysani shan-sherep bilen ulughlighan. Biraq siler bolsanglar uni [rimliqlargha] tutup berdinglar; andin [waliy] Pilatus uni qoyup bérishni höküm qilghandin kéyin, siler Pilatusning aldida uningdin ténip ret qilishtinglar.
2c030e008b	Mana siler Muqeddes we Heqqaniy Bolghuchidin ténip, uni ret qilip [Pilatustin] uning ornigha bir qatilni qoyup bérishni telep qildinglar.
2c030f008c	Shundaq qilip, hayatliqni barliqqa Keltürgüchini öltürdünglar! Biraq Xuda uni ölümdin tirildürdi, biz mana buninggha guwahchidurmiz.
2c031000ca	Mana uning namigha qilghan étiqad arqiliq, uning nami siler körüwatqan we tonuydighan bu ademge derman kirgüzdi; uning arqiliq bolghan étiqad u kishini köz aldinglarda sellimaza saq-salamet qildi.
2c0311007b	Emdi qérindashlar, silerning we shuningdek silerning bashliqliringlarningmu bu ishni gheplette qilghanliqinglarni bilimen.
2c031200a1	Lékin Xuda barliq peyghemberlerning aghzi bilen aldin’ala jakarlighanlirini, yeni uning Mesihining azab-oqubet tartidighanliqini shu yol bilen emelge ashurdi.
2c031300dc	Shuning üchün gunahinglarning öchürüwétilishi üchün hazir towa qilip yolliringlardin burulunglar! Shundaq qilghanda, insanlarning jénini yéngilanduridighan pesil-künler Perwerdigarning huzuridin chiqip kélidu
2c03140059	we u siler üchün aldin tiklen’gen Mesih, yeni Eysani qéshinglargha qaytidin ewetidu.
2c031500d1	Hazirche bolsa, Xudaning desleptiki zamanlardin tartip muqeddes peyghemberlirining aghzi bilen éytqinidek, hemme mewjudatlar yéngilinidighan waqit kelmigüche, ershler uni qobul qilip, uninggha makan bolidu.
2c031600e0	Musa derweqe mundaq dégenidi: — «Perwerdigar Xudayinglar öz qérindashliringlar arisidin manga oxshash bir peyghember turghuzidu. Uning silerge éytqan barliq sözlirini anglap, uninggha toluq itaet qilishinglar kérek!
2c03170063	Chünki bu peyghemberning sözini anglimaydighanlarning herbiri xelq qataridin üzüp tashlinidu».
2c0318008f	Derweqe, Samuil [peyghember] we uningdin kéyin kélip bésharetlerni yetküzgen peyghemberlerning hemmisi bu künler toghrisida aldin éytqan.
2c031900fd	Siler bu peyghemberlerning perzentlirisiler we Xuda ata-bowanglar bilen tüzgen ehdining perzentliridursiler — bu ehde boyiche Xuda Ibrahimgha: «Séning nesling arqiliq yer yüzidiki barliq aile-jemetlerge bext-beriket ata qilinidu» dep wede bergen.
2c031a009d	Shunga Xuda herbiringlarni öz rezillikliringlardin qayturup, silerge bext-beriket ata qilish üchün, xizmetkari Eysani turghuzup, uni awwal silerge ewetti.
2c0401008d	Pétrus bilen Yuhanna xalayiqqa gep qiliwatqanda, kahinlar, ibadetxana qarawullirining bashliqi we Saduqiylar ularning yénigha kélip qaldi.
2c0402009c	Ular [rosullarning] xalayiqqa telim bérishi, jümlidin «Eysaning wasitisi bilen ölgenler tirildürülidu» dep jakarlighini üchün intayin esebiyleshti.
2c04030059	Ular ularni tutqun qilip, etisigiche türmige solap qoydi, chünki kech kirip qalghanidi.
2c0404008d	Lékin jar qilin’ghan söz-kalamni anglighanlarning köpi étiqad qildi; shuning bilen étiqad qilghan erlerning sanila besh minggha yetti.
2c0405006b	Etisi, [Yehudiylarning kéngeshmisidiki] bashliqlar, aqsaqallar we Tewrat ustazliri Yérusalémda toplandi.
2c0406006d	Ularning arisida bash kahin Annas, Qayafas, Yuhanna, Iskender we bash kahinning bashqa jemetidikiler bar idi.
2c04070096	Ular [Pétrus bilen Yuhannani] arisigha turghuzup: — Siler bu ishni qaysi küch-qudretke tayinip yaki kimning nami bilen qildinglar? — dep soridi.
2c04080072	Pétrus Muqeddes Rohqa toldurulghan halda ulargha mundaq dédi: Xelqning hökümranliri we Israilning aqsaqalliri!
2c0409007d	Eger biz bügün bu tokur ademge körsetken yaxshi emel hem uning qandaq saqaytilghanliqi seweblik soraqqa tartilghan bolsaq,
2c040a00e6	siler we pütkül Israil xelqi shuni bilsunki, siler kréstligen, emma Xuda ölümdin tirildürgen Nasaretlik Eysa Mesihning nami bilen, uning [küch-qudriti] arqiliq bu kishi mushu yerde aldinglarda pütünley saq-salamet turidu!
2c040b0098	Bu [Eysa] bolsa, [muqeddes yazmilarda] [pütülgendek], del siler tamchilar étibarsiz dep tashliwetken, biraq burjek téshi bolup tiklen’gen tashtur.
2c040c00ac	Uningdin bashqa héchkimde nijatliq yoq, chünki pütkül asman astida insanlar arisigha teqdim qilin’ghan, Eysadin bashqa bizni qutquzidighan héchqandaq bir nam yoqtur.
2c040d00bd	Pétrus bilen Yuhannaning bu jüritini körgen hökümranlar ularning oqumighan adettiki ademlerdin ikenlikini bilip, heyran bolushti; ularning burun Eysa bilen bille bolghanliqinimu bildi.
2c040e0077	Uning üstige, saqayghan héliqi ademning ularning yénida turuwatqanliqini körüp, ular héchqandaq gep yanduralmidi.
2c040f0068	Shuning bilen hökümranlar ularni kéngeshmidin chiqishqa buyrudi. Andin bir-biri bilen meslihetliship:
2c041000c3	— Bularni qandaq qilimiz? Chünki ularning wasitisi bilen xéli körünerlik möjizilik bir alamet yüz bergenliki pütkül Yérusalémdikilerge ayan boldi we biz uni inkar qilishqa amalsizmiz.
2c041100b6	Lékin bu ishning xelq ichide téximu keng yéyilip ketmesliki üchün, ulargha bundin kéyin bu ademning namida héchkimge héchnéme démeslikke agah-tehdit salayli! — déyishti.
2c04120079	Shuning bilen ularni chaqirtip, bundin kéyin Eysaning namida héch sözlimeslik yaki telim bermeslikni qet’iy buyrudi.
2c04130087	Lékin Pétrus bilen Yuhanna: — Xudaning aldida silerge itaet qilish toghrimu yaki Xudaghimu, buninggha özünglar bir néme denglar!
2c04140058	Emma biz bolsaq, körgen we anglighanlirimizni éytmay turalmaymiz! — dep jawab berdi.
2c041500bc	[Hökümranlar] bolsa xalayiqtin qorqup, ularni jazalashqa layiq seweb tapalmay, ulargha téximu tehdit sélip, qoyup berdi. Chünki xalayiq bolghan weqe tüpeylidin Xudani ulughlighanidi.
2c0416005b	Chünki bu saqaytilish möjizilik alamiti körsitilgen kishining yéshi qiriqtin ashqanidi.
2c041700a0	Ular qoyup bérilgendin kéyin, öz hemrahlirining yénigha qaytip kélip, bash kahinlar we aqsaqallarning qilghan sözlirini bashtin-axir köpchilikke uqturdi.
2c041800c5	Ular buni anglighanda, awazini bir niyet bir dil bilen Xudagha kötürüp mundaq nida qildi: — I Igimiz, Sen asman-zémin, déngiz-okyanlarni we ulardiki barliq mewjudatlarni yaratqan Xudadursen.
