0100000008	1 Mojzes
2d010b006c	Kajti hrepenim, da vas vidim, da bi vam lahko posredoval kak duhoven dar, z namenom, da boste lahko utrjeni;
2d010c0059	to je, da bom lahko skupaj z vami potolažen po tej vzajemni veri, tako vaši kakor moji.
2d010d00b7	Torej, nočem, da bi bili nepoučeni, bratje, da sem se pogosto namenil priti k vam (toda doslej sem bil oviran), da bi lahko imel, kakor med drugimi pogani, nekaj sadu tudi med vami.
2d010e0046	Dolžnik sem, tako Grkom kakor barbarom, tako modrim, kakor ne modrim.
2d010f0055	Torej, kar se mene tiče, sem pripravljen evangelij oznaniti tudi vam, ki ste v Rimu.
2d01100086	Kajti ne sramujem se Kristusovega evangelija, kajti ta je Božja moč za rešitev duše vsakemu, ki veruje; najprej Judu in tudi Grku.
2d01110070	Kajti v njem se razodeva Božja pravičnost, iz vere v vero, kakor je pisano: ›Pravični bo živel po veri.‹
2d0112007c	Kajti Božji bes je razodet iz nebes zoper vso brezbožnost in nepravičnost ljudi, ki resnico zadržujejo v nepravičnosti;
2d0113005b	zato ker je to, kar je lahko spoznano od Boga, očitno v njih; kajti Bog jim je to pokazal.
2d011400b4	Kajti od stvarjenja svetá so nevidne stvari o njem jasno vidne, ker so razumljene po stvareh, ki so narejene; celó njegova večna moč in Božanstvo, tako da so brez opravičila.
2d011500a6	Zato ker ko so spoznali Boga, ga niso slavili kakor Boga niti niso bili hvaležni, temveč so v svojih zamislih postali prazni in njihovo nespametno srce je otemnelo.
2d0116003a	Ker so o sebi izpovedovali, da so modri, so postali bedaki
2d01170087	in slavo netrohljivega Boga spremenili v podobo, podobno trohljivemu človeku in pticam in štirinožnim živalim in plazečim stvarem.
2d01180083	Zato jih je tudi Bog, zaradi poželenj njihovih lastnih src, prepustil nečistosti, da med seboj onečaščajo svoja lastna telesa.
2d01190085	Ki so Božjo resnico zamenjali v laž in so bolj oboževali in služili stvarstvu kakor Stvarniku, ki je blagoslovljen na veke. Amen.
2d011a008d	Zaradi tega razloga jih je Bog prepustil ogabnim strastem, ker so celó njihove ženske spremenile naravno uporabo v to, kar je protinaravno.
2d011b00ec	In prav tako so tudi moški, ki so opustili naravno uporabo ženske, v svojem poželenju goreli eden k drugemu; moški so z moškimi počenjali to, kar je nespodobno in na sebi prejemali to povračilo svoje zablode, ki je bilo primerno.
2d011c008d	In celó kot v svojem spoznanju niso želeli obdržati Boga, jih je Bog izročil pokvarjenemu umu, da počenjajo te stvari, ki niso primerne.
2d011d00aa	Izpolnjeni so z vso nepravičnostjo, spolno nemoralnostjo, zlobnostjo, pohlepnostjo, zlonamernostjo; polni zavisti, umora, razpravljanja, prevar, pogubnosti; opravljivci,
2d011e006d	obrekovalci, sovražniki Boga, kruti, ponosni, bahači, izmišljevalci hudobnih stvari, neposlušni staršem,
2d011f0057	brez razumevanja, lomilci zavez, brez naravne naklonjenosti, nespravljivi, neusmiljeni.
2d012000a0	Ki poznajo Božje sodbe, da so tisti, ki zagrešijo takšne stvari, vredni smrti, ne samo, da to počenjajo, temveč imajo zadovoljstvo v tistih, ki jih počno.
2d02010095	Torej si neopravičljiv, oh človek, kdorkoli si, ki sodiš; kajti v čemer sodiš drugega, obsojaš sebe; kajti ti, ki sodiš, počneš iste stvari.
2d02020064	Toda mi smo prepričani, da je Božja sodba, glede na resnico, zoper te, ki izvajajo takšne stvari.
2d02030076	In mar misliš ti, oh človek, ki sodiš tiste, ki takšne stvari počno in delaš isto, da boš ubežal Božji sodbi?
2d0204007d	Ali preziraš bogastva njegove dobrote in prizanašanja in potrpežljivosti, ne vedoč, da te Božja dobrota vódi h kesanju?
2d0205006f	Toda po svojem brezčutnem in zakrknjenem srcu si nabiraš bes za dan besa in razodetja pravične Božje sodbe;
2d02060038	ki bo vsakemu človeku povrnil glede na njegova dejanja.
2d02070078	Večno življenje tem, ki si s potrpežljivim vztrajanjem v dobrem ravnanju prizadevajo za slavo in čast in nesmrtnost;
2d02080068	toda tistim, ki so prepirljivi in ne ubogajo resnice, temveč ubogajo nepravičnost, ogorčenost in bes.
2d02090062	Stiska in tesnoba nad vsako dušo človeka, ki počne zlo, najprej judovsko in prav tako pogansko;
2d020a0056	toda slava, čast in mir vsakemu človeku, ki dela dobro, najprej Judu in tudi poganu,
2d020b0024	kajti pri Bogu ni oziranja na osebe.
2d020c008a	Kajti kolikor jih je grešilo brez postave, bodo tudi propadli brez postave; in kolikor jih je grešilo v postavi, bodo sojeni po postavi.
2d020d0066	(Kajti pred Bogom niso pravični poslušalci postave, temveč bodo opravičeni uresničevalci postave.
2d020e008b	Kajti kadar pogani, ki nimajo postave, po naravi delajo stvari, ki so vsebovane v postavi, so tisti, ki nimajo postave, samim sebi postava;
2d020f009a	ki kažejo delo postave, zapisano v njihovih srcih in tudi njihova vest pričuje in njihove misli se medtem obtožujejo ali pa opravičujejo druga drugo),
2d02100054	na dan, ko bo Bog po Jezusu Kristusu sodil skrivnosti ljudi, glede na moj evangelij.
2d02110043	Glej, imenuješ se Jud in počivaš na postavi in se bahaš z Bogom
2d0212005d	in poznaš njegovo voljo in ker si poučen iz postave, odobravaš stvari, ki so odličnejše;
2d0213004a	in si prepričan, da si ti sam vodnik slepim, svetloba tem, ki so v temì,
2d0214005f	inštruktor nespametnih, učitelj otročičev, ki imaš v postavi obrazec spoznanja in resnice.
2d02150073	Ti torej, ki poučuješ drugega, samega sebe [pa] ne poučiš? Ti, ki oznanjaš naj človek ne krade, [pa] kradeš?
2d02160085	Ti, ki praviš, naj človek ne stori zakonolomstva, [pa] storiš zakonolomstvo? Ti, ki preziraš malike, [pa] storiš svetoskrunstvo?
2d02170050	Ti, ki se bahaš s postavo, [pa] zaradi prelamljanja postave onečaščaš Boga?
2d02180057	Kajti zaradi vas se med pogani izreka bogokletje proti Božjemu imenu, kakor je pisano.
2d02190076	Kajti obreza resnično koristi, če se držiš postave; toda če si lomilec postave, je tvoja obreza postala neobreza.
2d021a0061	Torej, če se neobrezani drži pravičnosti postave, mar ne bo njegova neobreza šteta za obrezo?
2d021b0077	In ali ne bo neobrezani, ki je po naravi, če izpolnjuje postavo, sodil tebe, ki po črki in obrezi prestopaš postavo?
2d021c0051	Kajti Jud ni tisti, ki je tak na zunaj; niti ni obreza ta, ki je zunanja, v mesu;
2d021d0084	toda je Jud tisti, ki je tak navznoter; in obreza je ta od srca, v duhu in ne po črki; katerega hvala ni od ljudi, temveč od Boga.
2d03010040	Kakšno prednost ima potem Jud? Ali kakšna korist je od obreze?
2d0302004d	Velika, [v] vsakem pogledu, predvsem, ker so bili Božji izreki zaupani njim.
2d03030062	Kajti kaj, če nekateri niso verovali? Mar bo njihova nevera naredila to Božjo vero brez učinka?
2d030400a6	Bog ne daj; da, naj bo Bog resničen, toda vsak človek lažnivec, kakor je pisano: ›Da boš lahko opravičen po svojih besedah in lahko zmagaš, kadar si sojen.‹
2d0305008c	Toda če naša nepravičnost razkriva Božjo pravičnost, kaj bomo rekli? Ali je Bog, ki se maščuje, nepravičen? (Govorim kakor človek),
2d03060030	Bog ne daj; kajti kako bo potem Bog sodil svét?
2d0307007d	Kajti če je Božja resnica zaradi moje laži v njegovo slavo bolj obilna; zakaj sem tudi jaz še vedno sojen kakor grešnik?
2d03080098	In ne raje (kot smo obrekljivo prikazani in kot nekateri zatrjujejo, da pravimo): ›Delajmo zlo, da lahko pride dobro?‹ katerih obsodba je pravična.
2d03090080	Kaj torej? Ali smo mi boljši kakor oni? Ne, nikakor ne, kajti prej smo tako Judom kakor poganom dokazali, da so vsi pod grehom;
2d030a003f	kakor je pisano: ›Nobenega pravičnega ni, ne, niti enega ni.
2d030b0034	Nobenega ni, ki razume, nobenega ni, ki išče Boga.
2d030c0068	Vsi so odšli proč s poti, skupaj so postali nekoristni; nobenega ni, ki dela dobro, ne, niti enega ni.
2d030d0070	Njihovo grlo je odprt mavzolej; s svojimi jeziki so uporabljali prevaro; strup kober je pod njihovimi ustnicami;
2d030e002f	katerih usta so polna preklinjanja in grenkobe;
2d030f002b	njihova stopala so hitra, da prelijejo kri;
2d0310002c	uničenje in nesreča sta na njihovih poteh;
2d0311001b	in poti miru niso spoznali;
2d0312002b	pred njihovimi očmi ni strahu Božjega.‹
2d031300a0	Torej mi vemo, da katerekoli besede govori postava, govori tistim, ki so pod postavo, da se vsaka usta lahko zamaše in ves svét lahko postane kriv pred Bogom.
2d03140070	Torej po dejanjih postave v njegovem pogledu ne bo opravičeno nobeno meso, kajti spoznanje greha je po postavi.
2d03150067	Toda sedaj je jasno pokazana Božja pravičnost brez postave, ker je izpričana po postavi in prerokih;
2d03160077	celó Božja pravičnost, ki je po veri v Jezusa Kristusa vsem in nad vsemi temi, ki verujejo; kajti nobene razlike ni,
2d03170033	kajti vsi so grešili in niso dosegli Božje slave;
2d03180056	opravičeni pa so zastonj, po njegovi milosti prek odkupitve, ki je v Kristusu Jezusu;
2d031900a9	ki ga je Bog postavil, da postane spravna daritev po tej veri v njegovo kri, da po Božji prizanesljivosti oznani svojo pravičnost za odpuščanje grehov, ki so minuli;
2d031a0080	da oznani, pravim, ob tem času svojo pravičnost; da je lahko sam pravičen in opravičevalec tistega, ki tako veruje v Jezusa.
2d031b0060	Kje je torej bahanje? Izključeno je. Po kakšni postavi? Po delih? Ne, temveč po postavi vere.
2d031c003b	Zaključujemo torej, vera opravičuje osebo od del postave.
2d031d0040	Ali je on samo Bog Judov? Ali ne tudi poganov? Da, tudi poganov.
2d031e0053	Ker je resnično en Bog, ki bo obrezo opravičil po veri in neobrezo preko te vere.
2d031f0058	Ali mi potem preko te vere postavo razveljavljamo? Bog ne daj; da, mi utrjujemo postavo.
2d0401004e	Kaj bomo torej rekli, da je našel Abraham, naš oče, kar se nanaša na meso?
2d0402005e	Kajti če bi bil Abraham opravičen po delih, bi se imel s čim ponašati; toda ne pred Bogom.
2d04030055	Kajti kaj pravi pismo? Abraham je verjel Bogu in to mu je bilo šteto za pravičnost.
2d04040047	Torej tistemu, ki dela, nagrada ni šteta po milosti, temveč po dolgu.
2d0405007a	Toda tistemu, ki ne dela, temveč veruje v tistega, ki opravičuje brezbožnega, je ta njegova vera šteta za pravičnost.
2d0406005c	Celo kakor tudi David opisuje blaženost človeka, ki mu Bog pripisuje pravičnost brez del,
2d04070064	rekoč: ›Blagoslovljeni so tisti, katerih krivičnosti so odpuščene in katerih grehi so pokriti.
2d0408003f	Blagoslovljen je človek, ki mu Gospod ne bo pripisal greha.‹
2d04090082	Prihaja potem ta blaženost samo na obrezo ali tudi na neobrezo? Kajti pravimo, da je bila ta vera Abrahamu šteta za pravičnost.
2d040a006a	Kako je bila potem šteta? Ko je bil v obrezi ali v neobrezi? Ne v obrezi, temveč [ko je bil] v neobrezi.
2d040b00d7	In ko je bil še neobrezan, je prejel znamenje obreze, pečat pravičnosti te vere, ki jo je imel, da bi bil lahko oče vseh teh, ki verujejo, čeprav niso obrezani, da bi bila lahko tudi njim pripisana pravičnost;
2d040c009c	in oče obrezanih, teh, ki niso samo iz obreze, temveč ki tudi hodijo po stopinjah te vere našega očeta Abrahama, ki jo je imel, ko je bil še neobrezan.
2d040d0085	Kajti obljuba, da naj bi bil dedič svetá, ni bila [dana] Abrahamu ali njegovemu semenu preko postave, temveč po pravičnosti vere.
2d040e005b	Kajti če bodo dediči tisti, ki so iz postave, je ta vera ničeva in obljuba brez učinka;
2d040f004f	zato ker postava povzroča bes; kajti kjer ni nobene postave, tam ni prestopka.
2d041000d0	Torej je to iz vere, da bi bilo lahko po milosti; z namenom, da bi bila obljuba lahko zanesljiva vsemu semenu; ne samo temu, ki je iz postave, temveč tudi temu, ki je iz Abrahamove vere, ki je oče nas vseh,
2d041100b3	(kakor je pisano: ›Naredil sem te za očeta mnogih narodov‹) pred njim, ki mu je veroval, celó [pred] Bogom, ki oživlja mrtve in kliče te stvari, ki niso, kakor da bi bile.
2d04120091	Ki je proti upanju veroval v upanje, da bi lahko postal oče mnogih narodov; glede na to, kar je bilo spregovorjeno: ›Takšno bo tvoje seme.‹
2d0413009a	In ker ni bil slaboten v tej veri, ko je bil star okoli sto let, svojega lastnega telesa torej ni imel za mrtvega niti ne še omrtvelost Sarine maternice.
2d0414005f	Ob Božji obljubi ni okleval zaradi nevere, temveč je bil močan v tej veri in dal slavo Bogu;
2d04150051	in je bil popolnoma prepričan, da kar je on obljubil, je zmožen tudi izpolniti.
2d04160029	Zato mu je bilo to šteto za pravičnost.
2d04170043	Torej, da mu je bilo šteto, to ni bilo napisano samo zaradi njega,
2d04180071	temveč tudi zaradi nas, ki nam bo šteto, če verujemo v tistega, ki je obudil našega Gospoda Jezusa od mrtvih;
2d04190061	ki je bil izročen zaradi naših prestopkov in je bil ponovno obujen zaradi našega opravičenja.
2d0501005c	Torej, ker smo opravičeni po tej veri, imamo po našem Gospodu Jezusu Kristusu z Bogom mir.
2d05020065	Po njem imamo tudi po veri dostop v to milost, v kateri stojimo in se veselimo v upanju Božje slave.
2d05030061	In ne samo to, temveč se ponašamo tudi s stiskami, ker vemo, da stiska pridela potrpežljivost,
2d0504003c	in potrpežljivost preizkušenost, in preizkušenost upanje;
2d05050062	upanje pa ne osramotí, ker je Božja ljubezen prelita v naša srca po Svetem Duhu, ki nam je dan.
2d05060053	Kajti ko smo bili še brez moči, je Kristus ob primernem času umrl za brezbožne.
2d05070073	Kajti komaj bi nekdo umrl za pravičnega človeka, čeprav bi si morda nekdo celó upal umreti za dobrega človeka.
2d0508006b	Toda Bog izkazuje svojo ljubezen do nas v tem, da je Kristus umrl za nas, medtem ko smo bili še grešniki.
2d0509005d	Toliko bolj bomo potem po njem rešeni pred besom, ker smo sedaj opravičeni po njegovi krvi.
2d050a0098	Kajti če smo bili s smrtjo njegovega Sina pobotani k Bogu, ko smo bili sovražniki, bomo toliko bolj, ker smo pobotani, po njegovem življenju rešeni.
2d050b0078	In ne samo tako, temveč se tudi veselimo v Bogu po našem Gospodu Jezusu Kristusu, po katerem smo sedaj prejeli spravo.
2d050c0085	Zatorej, kakor je po enem človeku na svét vstopil greh in po grehu smrt; in je tako smrt prešla na vse ljudi, ker so vsi grešili;
2d050d0055	(kajti do postave je bil na svetu greh, toda greh ni pripisan v času, ko ni postave.
2d050e0097	Vendar je od Adama do Mojzesa kraljevala smrt, celó nad temi, ki niso grešili po podobnosti Adamovega prestopka, ki je podoba tega, ki je imel priti.
2d050f00cd	Toda z zastonjskim darom ni tako kakor s pregreho. Kajti če so po prestopku enega mnogi mrtvi, sta toliko bolj Božja milost in darilo po milosti, ki je po enem človeku, Jezusu Kristusu, mnoge obogatila.
2d0510009c	In z darom ni tako kakor je bilo s tistim, ki je grešil. Kajti sodba je bila po enem v obsodbo, toda zastonjski dar je od mnogih prestopkov k opravičenju.
2d051100bb	Kajti če je po prestopku enega človeka zakraljevala smrt, bodo toliko bolj tisti, ki prejemajo obilje milosti in od daru pravičnosti, v življenju kraljevali po enem, Jezusu Kristusu.)
2d051200ad	Torej kakor je prišla po prestopku enega sodba nad vse ljudi v obsodbo, točno tako je prišel po pravičnosti enega zastonjski dar nad vse ljudi v opravičenje življenja.
2d05130081	Kajti kakor so po neposlušnosti enega človeka mnogi postali grešniki, tako bodo po poslušnosti enega mnogi postali pravični.
2d05140081	Poleg tega je postava vstopila, da bi bil prestopek lahko obilen. Toda kjer je greh obilen, je milost storila veliko več obilja,
2d0515008e	da kakor je greh kraljeval za smrt, točno tako lahko milost kraljuje po pravičnosti za večno življenje po Jezusu Kristusu, našem Gospodu.
2d0601004e	Kaj bomo potem rekli? Ali bomo nadaljevali v grehu, da bo milost lahko obilna?
2d06020041	Bog ne daj. Kako bomo mi, ki smo mrtvi grehu, še živeli v njem?
2d06030072	Ali ne veste, da tako mnogi izmed nas, ki smo bili krščeni v Jezusa Kristusa, smo bili krščeni v njegovo smrt?
2d060400a6	Torej smo s krstom z njim pokopani v smrt, da naj bi podobno kakor je bil Kristus obujen od mrtvih po Očetovi slavi, točno tako tudi mi hodili v novosti življenja.
2d06050068	Kajti če smo bili skupaj posajeni v podobnost njegove smrti, bomo tudi v podobnost njegovega vstajenja,
2d06060084	ker vemo to, da je naš stari človek križan z njim, da bi bilo telo greha lahko uničeno, da naj odslej ne bi več služili grehu.
2d0607002e	Kajti kdor je mrtev, je osvobojen pred grehom.
2d06080048	Torej, če smo s Kristusom mrtvi, verujemo, da bomo z njim tudi živeli,
2d06090066	vedoč, da Kristus, ko je bil obujen od mrtvih, nič več ne umira; nad njim smrt nima več gospostva.
2d060a0046	Kajti kdor je umrl, je enkrat umrl grehu, toda kdor živi, živi Bogu.
2d060b006b	Prav tako tudi sebe štejte za zares mrtve grehu, toda živite za Boga, po Jezusu Kristusu, našem Gospodu.
2d060c006f	Ne dopustite, da torej greh kraljuje v vašem umrljivem telesu, da bi ga morali ubogati v njegovih poželenjih.
2d060d00a2	Niti ne dajajte svojih udov grehu, kot orodja krivičnosti, temveč dajte sebe Bogu, kakor tisti, ki so od mrtvih živi in svoje ude kot orodja pravičnosti Bogu.
2d060e0058	Kajti greh nad vami ne bo imel gospostva; kajti niste pod postavo, temveč pod milostjo.
2d060f0056	Kaj torej? Mar bomo grešili, ker nismo pod postavo, temveč pod milostjo? Bog ne daj.
2d061000aa	Ali ne veste, da komur same sebe dajete [za] služabnike v pokorščino, ste njegovi služabniki, komur se pokoravate; bodisi grehu v smrt ali poslušnosti v pravičnost?
2d06110073	Toda hvala Bogu, da ste bili služabniki grehu, vendar ste iz srca ubogali to obliko nauka, ki vam je bil izročen.
2d06120049	Ko ste bili torej osvobojeni greha, ste postali služabniki pravičnosti.
2d061300ef	Zaradi šibkosti vašega mesa govorim po običaju ljudi. Kajti kakor ste svoje ude izročili, [da so bili] služabniki nečistosti in krivičnosti za krivičnost; točno tako sedaj izročite svoje služabniške ude pravičnosti za svetost.
2d06140054	Kajti ko ste bili služabniki grehu, ste bili svobodni, [prosti] pred pravičnostjo.
2d0615006c	Kakšen sad ste takrat imeli v tistih stvareh, ki se jih sedaj sramujete? Kajti konec tistih stvari je smrt.
2d06160079	Toda sedaj, ko ste osvobojeni greha in ste postali služabniki Bogu, imate svoj sad v svetost in konec večno življenje.
2d06170068	Kajti plačila za greh so smrt; toda Božji dar je večno življenje po Jezusu Kristusu, našem Gospodu.
2d07010075	Ali ne veste, bratje (kajti govorim tem, ki poznajo postavo), da ima postava gospostvo nad človekom dokler on živi?
2d0702008d	Kajti ženska, ki ima moža, je po postavi vezana k svojemu možu, dokler ta živi; toda če mož umre, je odvezana od postave svojega moža.
2d070300e3	Torej če bo poročena k drugemu moškemu, medtem ko njen mož živi, bo zaradi tega imenovana zakonolomka; toda če je njen mož mrtev, je osvobojena te postave, tako da ni zakonolomka, čeprav je poročena k drugemu moškemu.
2d070400b5	Tako, moji bratje, ste tudi vi po Kristusovem telesu postali mrtvi postavi, da bi bili poročeni k drugemu, celó k njemu, ki je obujen od mrtvih, da naj bi obrodili sadove za Boga.
2d07050077	Kajti ko smo bili v mesu, so v naših udih delovale spodbude grehov, ki so bili po postavi, da obrodijo sadove za smrt.
2d0706008b	Toda sedaj smo osvobojeni postave, da bi mrtvi [postavi], pod katero smo bili držani, služili v novosti duha, ne pa v postaranosti črke.
2d070700b9	Kaj bomo torej rekli? Ali je postava greh? Bog ne daj. Ne, nisem spoznal greha, razen po postavi; kajti ne bi spoznal poželenja, razen če postava ne bi rekla: ›Ne boš požêlel.‹
2d07080085	Toda greh, ki [si] po zapovedi jemlje priložnost, je v meni oblikoval vse vrste poželjivosti. Kajti brez postave je bil greh mrtev.
2d07090065	Kajti nekoč sem bil živ brez postave; toda ko je prišla zapoved, je greh oživel, jaz pa sem umrl.
2d070a004a	In zapoved, ki je bila odrejena za življenje, sem spoznal, da je za smrt.
2d070b0058	Kajti greh, ki [si] jemlje priložnost po zapovedi, me je zavedel in me po njej usmrtil.
2d070c0041	Torej je postava svéta in zapoved svéta in pravična ter dobra.
2d070d00bd	Mi je potem to, kar je dobro, storilo smrt? Bog ne daj. Toda greh, da bi se lahko pokazal greh, dela s tem, kar je dobro, v meni smrt; da bi greh prek zapovedi utegnil postal silno grešen.
2d070e0047	Kajti vemo, da je postava duhovna, toda jaz sem mesen, prodan pod greh.
2d070f006e	Kajti tega, kar delam, ne dopuščam; kajti kar bi želel, tega ne delam, temveč počenjam to, kar sovražim.
2d0710004b	Če torej počenjam to, česar nočem, soglašam k postavi, da je ta dobra.
2d0711004b	Torej potem nisem več jaz, ki to počnem, temveč greh, ki prebiva v meni.
2d0712009f	Kajti vem, da v meni (to je, v mojem mesu) ne prebiva nobena dobra stvar; kajti hoteti je z menoj pri roki, toda ne najdem tega, kako izvesti to, kar je dobro.
2d0713004d	Kajti dobrega, ki ga hočem, ne delam, temveč zlo, ki ga nočem, to počnem.
2d07140067	Torej če počnem to, česar nočem, to nisem več jaz, ki to počnem, temveč greh, ki prebiva v meni.
2d07150050	Odkril sem torej postavo, da ko sem hotel delati dobro, je z menoj prisotno zlo.
2d07160038	Kajti po notranjem človeku se veselim v Božji postavi,
2d07170088	toda v svojih udih vidim drugo postavo, ki se bori proti postavi mojega uma in me prinaša v sužnost postavi greha, ki je v mojih udih.
2d0718004a	Oh pomilovanja vreden človek sem! Kdo me bo osvobodil iz telesa te smrti?
2d0719007d	Zahvaljujem se Bogu po Jezusu Kristusu, našem Gospodu. Tako potem z umom služim Božji postavi, toda z mesom postavi greha.
2d08010063	Torej sedaj ni nobene obsodbe tem, ki so v Kristusu Jezusu, ki ne živijo po mesu, temveč po Duhu.
2d08020058	Kajti postava Duha življenja v Kristusu Jezusu me je osvobodila postave greha in smrti.
2d080300b9	Kajti česar postava ni mogla storiti, ker je bila slabotna po mesu, je [storil] Bog, ki je poslal svojega lastnega Sina v podobnosti grešnega mesa in za greh [in] obsodil greh v mesu,
2d0804005b	da bi se lahko dopolnila pravičnost postave v nas, ki ne živimo po mesu, temveč po Duhu.
2d08050062	Kajti tisti, ki so po mesu, razmišljajo mesene stvari; toda tisti, ki so po Duhu, stvari od Duha.
2d0806005c	Kajti biti mesenega mišljenja je smrt; toda biti duhovnega mišljenja je življenje in mir.
2d0807006d	Ker je meseno mišljenje sovraštvo zoper Boga; kajti to ni podrejeno Božji postavi niti zares ne more biti.
2d08080032	Torej tisti, ki so v mesu, ne morejo ugajati Bogu.
2d08090090	Toda vi niste v mesu, temveč v Duhu, če je tako, da v vas prebiva Duh Božji. Torej, če katerikoli človek nima Kristusovega Duha, ni njegov.
2d080a0060	In če je Kristus v vas, je telo mrtvo zaradi greha; toda Duh je življenje zaradi pravičnosti.
2d080b00b3	Toda če v vas prebiva Duh tistega, ki je Jezusa obudil od mrtvih, bo tisti, ki je po svojem Duhu, ki prebiva v vas, obudil Kristusa od mrtvih, tudi oživil vaša umrljiva telesa.
2d080c0048	Torej bratje, mi smo dolžniki, [vendar] ne mesu, da bi živeli po mesu.
2d080d005e	Kajti če živite po mesu, boste umrli, toda če po Duhu morite dejanja telesa, boste živeli.
2d080e003e	Kajti kolikor jih je vodeno po Duhu Božjem, so Božji sinovi.
2d080f007e	Kajti niste ponovno prejeli duha suženjstva za strah, temveč ste prejeli Duha posvojitve, s katerim kličemo: »Aba, Oče.«
2d08100042	Sam Duh z našim duhom prinaša pričevanje, da smo Božji otroci.
2d08110095	In če smo otroci, potem smo dediči; Božji dediči in sodediči s Kristusom, če je tako, da z njim trpimo, da bomo lahko tudi skupaj proslavljeni.
2d0812006e	Kajti menim, da trpljenja tega sedanjega časa niso vredna, da se primerjajo s slavo, ki se bo razodela v nas.
2d0813004d	Kajti iskreno pričakovanje stvarstva pričakuje manifestacijo Božjih sinov.
2d08140071	Kajti stvarstvo je bilo podvrženo ničevosti, ne voljno, temveč zaradi njega, ki si je le-to podvrgel v upanju,
2d08150061	ker bo tudi stvarstvo samo rešeno iz suženjstva trohnenja v veličastno svobodo Božjih otrók.
2d0816004e	Kajti vemo, da celotno stvarstvo do zdaj skupaj stoka in se muči v bolečini.
2d08170092	Pa ne samo ono, temveč tudi mi, ki imamo prve sadove Duha, celo mi sami v sebi stokamo in čakamo na posvojitev, to je, odkupitev našega telesa.
2d0818006f	Kajti rešeni smo po upanju; toda upanje, ki je videno, ni upanje; kajti kar človek vidi, čemu potem še upa?
2d08190052	Toda če upamo na to, česar ne vidimo, potem to pričakujemo s potrpežljivostjo.
2d081a00a6	Prav tako tudi Duh pomaga našim slabotnostim; kajti ne vemo, za kaj naj bi molili, kot bi morali, toda sam Duh posreduje za nas s stoki, ki ne morejo biti izrečeni.
2d081b006e	In tisti, ki preiskuje srca, ve, kakšno je mišljenje Duha, ker on posreduje za svéte glede na Božjo voljo.
2d081c0071	In mi vemo, da vse stvari skupaj delajo v dobro tem, ki ljubijo Boga, tem, ki so poklicani glede na njegov namen.
2d081d0097	Kajti katere je vnaprej poznal, je prav tako vnaprej določil, da bodo skladni podobi njegovega Sina, da bi bil ta lahko prvorojenec med mnogimi brati.
2d081e009c	Poleg tega je té, katere je vnaprej določil, tudi poklical; in katere je poklical, té je tudi opravičil; in katere je opravičil, té je tudi proslavil.
2d081f004e	Kaj bomo potem rekli k tem stvarem? Če je Bog za nas, kdo je lahko zoper nas?
2d08200087	On, ki ni prizanesel svojemu lastnemu sinu, temveč ga je izročil za nas vse, kako nam ne bo z njim velikodušno dal tudi vseh stvari?
2d0821004f	Kdo bo karkoli položil k obtožbi Božjih izvoljencev? Bog je, ki opravičuje.
2d08220096	Kdo je, kdor obsoja? To je Kristus, ki je umrl, da, bolje rečeno, ki je ponovno obujen, ki je celó na Božji desnici, ki prav tako posreduje za nas.
2d08230082	Kdo nas bo ločil od Kristusove ljubezni? Nas bo tegoba ali nesreča ali preganjanje ali lakota ali nagota ali nevarnost ali meč?
2d0824005e	Kakor je pisano: ›Kajti zaradi tebe smo ves dan pobijani, imajo nas kakor ovce za klanje.‹
2d0825004b	Ne, v vseh teh stvareh smo več kot zmagovalci po njem, ki nas je vzljubil.
2d08260090	Kajti prepričan sem, da nas niti smrt, niti življenje, niti angeli, niti kneževine, niti moči, niti sedanje stvari, niti stvari, ki pridejo,
2d08270095	niti višina, niti globina, niti katerokoli drugo ustvarjeno bitje ne bo zmožno ločiti od Božje ljubezni, ki je v Kristusu Jezusu, našem Gospodu.
2d09010055	Govorim resnico v Kristusu, ne lažem, prav tako mi moja vest pričuje v Svetem Duhu,
2d0902003a	da imam v svojem srcu veliko potrtost in nenehno bridkost.
2d09030070	Kajti lahko bi si želel, da bi bil jaz sam preklet pred Kristusom za svoje brate, moje sorodnike glede na meso;
2d0904006a	ki so Izraelci, ki jim pripada posvojitev in slava in zaveze in dajanje postave in bogoslužje in obljube;
2d09050076	katerih so očetje in iz katerih je, glede na meso, prišel Kristus, ki je čez vse, Bog, blagoslovljen na veke. Amen.
2d09060053	Ne, kakor da Božja beseda ne učinkuje. Kajti niso vsi Izraelci, ki so iz Izraela;
2d0907006a	niti zato, ker so Abrahamovi potomci, niso vsi otroci, temveč: ›Po Izaku se bo imenovalo tvoje seme.‹
2d09080075	To se pravi: »Tisti, ki so meseni otroci, tisti niso Božji otroci, temveč so za potomstvo šteti otroci obljube.«
2d09090051	Kajti to je beseda obljube: ›Ob tem času bom prišel in Sara bo imela sina.‹
2d090a0059	Pa ne samo to; temveč, ko je tudi Rebeka spočela po enem, celó po našem očetu Izaku,
2d090b00ab	(kajti otroka se še nista rodila niti nista naredila ničesar dobrega ali zlega, da lahko ostane Božji namen glede na izvolitev, ne iz del, temveč iz njega, ki kliče),
2d090c0039	ji je bilo rečeno: ›Starejši bo služil mlajšemu.‹
2d090d0043	Kakor je pisano: ›Jakoba sem ljubil, toda Ezava sem sovražil.‹
2d090e0040	Kaj bomo torej rekli? Ali je pri Bogu nepravičnost? Bog ne daj.
