0100000009	ኡመመ
2c052700ce	ዮ ዋን ዋቀራ ዹፌ ተኤ ገሩ ጀረ ከነ ዾዉ ህንደንዴሰን፤ እስን መታንኬሰንዩ አከ ኡቱ ዋቃን ወል ሎልተኑ ህንአርገምኔ ኦፍ ኤገዻ!”
2c052800d1	እሳንስ ጎርሰሳ ፉዸተን፤ ኤርገሞተ ሰነስ ኦል ዋመኒ ገረፈን፤ አከ እሳን መቃ ዬሱሲቲን ዋ ህንዱበትኔስ አጀጀኒ ገድ እሳን ዺሰን።
2c052900ab	ኤርገሞትንስ አከ መቃ ሰናፍ ጄዸኒ ቃነአኒፍ ዋን ገኡምሰ አርገተኒፍ አከ መሌ ገመዳ ፉለ ወልዳ ዱራ ዴመን።
2c052a00c7	እሳንስ ጉዩመ ጉያን መነ ቁልቁሉማት፣ መነ ነማትስ ኡቱ ገርገር ህንኩትን አከ ዬሱስ ክርስቶስ ተኤ በርሲሳ፣ ለለባስ ቱረን።
2c06010110	በረ ሰነ ኬሰ ዮሙ ባይእን በረቶታ ደበለማ ዴሜት ይሁዶትን ግሪኮተ ኬሰ ጅራተን እብሮተት ጉንጉመን፤ ሃዾትን ህዬሳ ይሁዶታ ኛተ ጉያ ጉያን ህረሙ ኬሰት ሀጩጨመኒ ቱረኒቲ።
2c060200d3	ከናፍ ኤርገሞትን ኩዸ ለማን በረቶተ ሁንደ ወልት ቀበኒ አከነ ጄዸኒን፤ “ማዲ ተጃጅሉፍ ጄኔ ዱቢ ዋቃ በርሲሱ ዺሱን ኑፍ ቀጄላ ምት።
2c060300e7	ከናፍ ያ ኦቦሎተ እስን ነሞተ መቃ ጋሪ ቀበን ከኔን ሀፉረ ቁልቁሉፊ ኦጉማን ጉተመን ቶርበ ግዱኬሰኒ ፍለዻ። ኑስ እት ጋፈተመ ከነ እሳንት ኬንኔ፣
2c06040040	ዋቀ ከዸቹፊ ዱቢሳ በርሲሱት ጀባትና።”
2c0605017f	ወን እሳን ጄዸንስ ቱተ ሰነ ሁንደ ገመቺሴ። እሳንስ እስጥፋኖስ ነምቸ አመንቲፊ ሀፉረ ቁልቁሉዻን ጉተሜ ቶኮ፣ አከሱመስ ፊልጶሲፊ ጵሮኮሮስን፣ ኒቃሮናፊ ጢሞና፣ ጰርሜናፊ ኒቆላዎስ ነምቸ አንጦኪያ እሰ አመንቲ ይሁዶታት ገሌ ሰነ ፍለተን።
2c0606008f	እሳንስ ጀረ ከነ ፉለ ኤርገሞታ ዱረ ዻበን፤ ኤርገሞትንስ ከዸተኒፊ ሀርከ እሳንረ ካአን።
2c060700bc	ዱቢን ዋቃ ንበበልአቴ፤ ባይእን በረቶታስ ዬሩሳሌም ኬሰት አከ መሌ ደበለሜ፤ ሉቦትን ሄዱን አመንቲ ከናፍ አጀጀመን።
2c06080085	እስጥፋኖስ አያናፊ ሁምነ ዋቃቲን ጉተሜ ድንቂፊ መለቶ ጉርጉዳ ነሞተ ግዱት ሆጄቴ።
2c06090132	ምሴንሶትን መነ ሰገዳ ወረ፣ “ነሞተ ብልሶመን” ጄዸመን፣ ጄቹንስ ይሁዶትን ቀሬናፊ እስክንድርያዻ ዹፈን አከሱመስ ይሁዶትን ኪልቅያፊ አስያዻ ዹፈን ቶኮ ቶኮ እስጥፋኖሲን ሞርሙ ጀልቀበን።
2c060a0083	እሳን ገሩ ኦጉማሳ ዮካን ሀፉረ ቁልቁሉ እን እቲን ዱበቱ ሰናን ሞርሙ ህንደንዴኜ።
2c060b00c8	ከናፉ አከ እሳን፣ “ኑ ኡቱ እስጥፋኖስ ሙሴፊ ዋቀረት ዱቢ አረብሶ ዱበቱ ዸጌኜረ” ጄዸኒፍ ዾክሳን ነሞተ ቶኮ ቶኮ ሶሶበተን።
2c060c00b8	እሳንስ ኡመተ፣ ማንጉዶታፊ በርሲስቶተ ሴራ ከካሰን። እስጥፋኖሲንስ ቀበኒ ፉለ ወልዳ ይሁዶታ ዱረት እሰ ዽኤሰን።
2c060d00b7	ዹገ ባቶተ ሶብዱስ ቆጴፈተን፤ እሳንስ አከነ ጄዸን፤ “ነምች ኩን እዶ ቁልቁሉ ከናፊ ሴራን ሞርሙ ተኩማ ህንዺፍኔ።
2c060e009c	ኑ እሳ፣ ‘ዬሱስ ነምን ናዝሬት ኩን እዶ ከነ ንዲገ፤ ሴረ ሙሴን ኑ ኬኔስ ንጌደረ’ ጄዹ ዸጌኜረ።”
2c060f00b6	ወር ወልዳ ሰነ ኬሰ ቱረን ሁንድ እጀ በባሰኒ እስጥፋኖስን እላለኒ አከ ፉልሳ አኩመ ፉለ ኤርገማ ዋቃ ተኤ አርገን።
2c0701005a	ሉብን ኦል ኣናንስ፣ “ወን ኩን ዹጉማ?” ጄዼ እሰ ጋፈቴ።
2c07020113	እንስ አከነ ጄዼ ዴብሴ፤ “ያ ኦቦሎታፊ ያ አቦቲ፣ ሜ ነ ዸገኣ! ዋቅን ኡልፍና፣ ዬሮ አባንኬኘ አብረሃም መስጴጦምያ ኬሰ ቱሬት፣ ኡቱ እን ብየ ካራን ህንዸቅን እሰት ሙልአቴ።
2c07030076	ዋቅንስ፣ ‘ብየኬቲፊ ሰበኬ ዺሲቲ ገረ ብየ አን ስ አርግሲሱ ዸቅ’ ጄዼን።
2c070400d9	“እንስ ብየ ከልዶታቲ በኤ ዸቄ ካራን ኬሰ ጅራቴ። ኤርገ አባንሳ ዱኤሞ ዋቅን አቺ እሰ ባሴ ብየ እስን አመ ኬሰ ጅራተን ከነት እሰ ኤርጌ።
2c0705014f	ተኡስ ዋቅን ዻለ ቶኮሌ፣ ለፈ ታኩ ቶክቲሌ ብየ ሰነ ኬሰት ህንኬንኔፍ፤ ገሩ ዋቅን አከ አብረሃሚፊ ሰኚሳ ወረ እሳን ቦዴቲፍ ብየ ሰነ አኩመ ቀቤኛት ኬኑፍ ዋዳ ገሌፍ። አብረሃም ዬሮ ሰነ እጆሌ ቶኮሌ ህንቀቡ ቱሬ።
2c070600e4	ዋቅን አከነ ጄዼ ከራ ከናን እሰት ዱበቴ፤ ‘ሰኚንኬ ብየ ከንሳ ህንተእን ኬሰት አለጋ ተአ፤ ወጋ ዽበ አፉርስ ንገርቦምፈመ፤ ንጩንቁርፈመስ።’
2c070700dd	ዋቅን አከነ ጄዼ፤ ‘አን ገሩ ሰበ እሳን አኩመ ገርቦታት ተጃጅለን ሰነ ነንአደበ፤ ኤርገሲሞ እሳን ብየ ሰና በአኒ ለፈ ከነት ነ ዋቄፈቱ።’
2c0708011c	ዋቅንስ ከኩ ዸግነ ቀባ አብረሃሚፍ ኬኔ፤ አብረሃምስ አባ ይስሃቅ ተኤ ጉያ ሰዴተፋት ዸግነ እሰ ቀቤ፤ ይስሃቅስ ኤርገሲ አባ ያቆብ ተኤ፤ ያቆብሞ አባ አቦቲ ጎሶተ ኩዸ ለማኒ ተኤ።
2c070900b9	“አቦቲን ሱንስ ዋን ዮሴፍት ህናፈኒፍ አከ እን ብየ ግብጥት ገርበ ተኡፍ እሰ ጉርጉረን፤ ዋቅን ገሩ እሰ ወጅን ቱሬ፤
2c070a00fe	ረክነሳ ሁንደ ኬሳ እሰ ባሴ፤ ዋቅንስ ፉለ ፈረኦን ሞትቸ ግብጥ ዱረት ኡልፍናፊ ኦጉማ ዮሴፊ ኬኔ፤ ፈረኦንስ ብየ ግብጢፊ መነ ሞቱማሳ ሁንደረት ቡልቻ እሰ ጎዼ።
2c070b00c5	“በሩመ ሰነ ብየ ግብጢፊ ብየ ከነኣን ሁንደት ቤል ቡኤ ረክነ ጉዳ ፍዴ፤ አቦቲንኬኘስ ዋን ኛተን ቶኮሌ አርገቹ ህንደንዴኜ።
2c070c0080	ያቆብስ አከ ግብጥ ኬሰ ምዻን ጅሩ ዸጌኛን ዬሮ ጀልቀባቲፍ አቦቲኬኘ አች ኤርጌ።
2c070d008e	እመለሳኒ ለመፋረትስ ዮሴፍ ኤኙማሳ ኦቦሎተሳት ህሜ፤ ፈረኦንስ ዋኤ ኦቦሎተ ዮሴፍ ቤኬ።
2c070e0093	ዮሴፍስ ኤርገሲ ነመ ኤርጌ አባሳ ያቆቢፊ ማቲሳ ሁንደ ጄቹንስ ወሉመት ቀባት ነመ 75 ዋምስሴ።
2c070f0064	ያቆብስ ግብጥት ገድ ቡኤ፤ እንስ፣ አቦቲንኬኘስ አችት ዱአን።
2c071000a1	ሬፍሳኒስ ሼኬምት ጌፈሜ ለፈ አዋላ ከን አብረሃም እጆሌ ሀሞርራ ሆሪ ወዪቲን ብቴ ቱሬ ሰነት አዋለሜ።
2c071100b9	“አኩመ ዬሮን ዋዳ ዋቅን አብረሃሚፍ ገሌ ሱን እት ራወተሙ ዽኣቻ ዹፌን ባይእን ሰበኬኛ ግብጥ ኬሰት አከ መሌ ጉደቴ።
2c07120066	ኤርገሲ ሞቲን ዋኤ ዮሴፍ ህንቤክን ሃራን ቶኮ ቡልቻ ግብጥ ተኤ።
2c071300a6	እንስ አከ መሌ ሰበኬኘ ጩንቁርሴ፤ አቦቲኬኘስ አከ ዳእመንሳኒ ዹመኒፍ አከ እሳን ገድ ገተን ድርቅሲሴ።
2c071400b9	“ዬሮን ሙሴን ዸለቴስ ዬሩመ ከነ ቱሬ፤ እንስ ፉለ ዋቃ ዱረት ሚዸጋ ቱሬ፤ ጅአ ሰዲፍስ መነ አባሳት ኩኑንፈሜ ጉደቴ።
2c07150076	ዮሙ እን አለት ገተሜት እንተል ፈረኦን ፉዸቴ አከ እልመሼት እሰ ጉድፈቴ።
2c07160076	ሙሴን ኦጉማ ወረ ግብጥ ሁንደ በረቴ፤ እንስ ዱቢሳቲፊ ሆጂሳቲን ጀባ ቱሬ።
2c07170082	“ሙሴን ዮሙ ኡሙሪንሳ ወጋ 40 ጉቴት ዸቄ ኦቦሎተሳ እጆሌ እስራኤል እላሉ ሙርቴሴ።
2c071800c0	ሙሴንስ ኡቱ ነምን ግብጥ ቶኮ ነመሳኒ ቶኮ ሚዹ አርጌ። ከናፍስ ነመሳኒ ገርጋሩ ዸቄ ነምቸ ግብጥ ሰነ አጄሱን ሃሎ ባሴፍ።
2c071900a5	ሙሴን ዋን ሰብንሳ አከ ዋቅን ከራሳቲን ሰበ እስራኤል ፉሩ ሁበቱ ሴኤ ቱሬ፤ ሰብን ሱን ገሩ ህንሁበትኔ።
2c071a00e9	ጉያ እት ኣኑትሞ ኡቱ ነሞትን እስራኤል ለመ ወል ሎለኑ እት ዹፌ፣ ‘ጀረነ፣ እስን ኦቦሎተ ወሊት፤ ዮስ ማሊፍ ወል ሚቱሬ?’ ጄዼ ወልት አራርሱ ያሌ።
2c071b00af	“ነምች ህርያሳ ሚዻ ቱሬ ሱን ገሩ ሙሴ አች ኦፍራ ደርበቴ አከነ ጄዼ፤ ‘ኤኙቱ ኑረት ቡልቻፊ አባ ሙርቲ ስ ጎዼ?
2c071c0060	አኩመ ከሌሰ ነምቸ ግብጥ አጄፍቴ ሰነ አነሌ አጄሱ በርባዳ?’
2c071d009b	ሙሴንስ ዋን ከነ ዸጌኛን ብየ ሚድያንት በቀቴ ገልቱ ተኤ አች ጅራቴ፤ አችትስ እልማን ለመ ዸልቼ።
2c071e00d7	“ኤርገ ወጋን አፉርተምን ደርቤ ቦዴስ ኤርገማን ዋቃ ቶኮ ገሞጂ ናኖ ቱሉ ሲና ኬሰት ደገለ ቦበኡ ኬሳ አረበ እብዳ ኬሳን ሙሴት ሙልአቴ።
2c071f009e	እንስ ዋን ከነ አርግናን ዋን አርጌ ሰነ ድንቅፈቴ። ዮሙ እላሉፍ እት ዽኣቴትስ ሰገሌ ጎፍታ ዸገኤ።
2c072000c9	ሰገሌን ሱንስ፣ ‘አን ዋቀ አቦቲኬቲ፣ ዋቀ አብረሃም፣ ከን ይስሃቂፊ ከን ያቆብ’ ጄዼን። ሙሴንስ ንሆለቴ፤ እላሉስ ንሶዳቴ።
2c07210086	“ጎፍታንሞ አከነ ጄዼን፤ ‘ሰበቢ እዶን አት ዻበቱ ኩን ቁልቁሉ ተኤፍ ኮጴኬ ባፈዹ።
2c072200fc	አን አከ ሰብንኮ ብየ ግብጥ ኬሰት ጩንቁርፈማ ጅሩ ዹጉማን አርጌረ፤ ቦእቸሳኒስ ዸገኤ እሳን ብልሶምሱፍ ጄዼ ገድ ቡኤረ፤ ኤጋ ኮቱ ግብጥን ዴብሴ ስኤርጋቲ።’
2c07230138	“ነምን እሳን፣ ‘ኤኙቱ ቡልቻፊ አባ ሙርቲ ስ ጎዼ?’ ጄዸኒ ቱፈተን ሱን ሙሴዹመ ከነ። እሰስ ዋቅን አከ እን ቡልቻፊ ፉራሳኒ ተኡፍ ሀርከ ኤርገማ ዋቃ ከን ደገለ ኬሳን እሰት ሙልአቴ ሰናቲን ኤርጌ።
2c072400ab	እንስ ግብጥ ኬሰት፣ ገላነ ዲማረት አከሱመስ ወጋ 40 ገሞጂ ኬሰት ድንቂፊ መለቶ ሆጄቻ ግብጥ ኬሳ እሳን ባሴ።
2c072500a7	“ሙሴን ኩን እሱመ ሰበ እስራኤሊቲን፣ ‘ዋቅን ሰቡመኬሰን ኬሳ ራጂ አከኮቲ ቶኮ እስኒ ካሰ’ ጄዼ ሰናዸ።
2c072600d4	እንስ፣ ኤርገማ ዋቃ ከን ቱሉ ሲናረት እሰት ዱበቴ ሰናፊ አቦቲኬኘ ወጅን ገሞጂ ኬሰት ወልዳ ኬሰ ቱሬ፤ ዱቢ ጅራታስ ኑት ኬኑፍ ፉዸቴ።
2c072700a2	“አቦቲንኬኘ ገሩ እሳፍ አጀጀሙ ድደን፤ ቆደ አጀጀሙ እሰ ቱፈተኒ ገራሳኒቲንስ ገረ ግብጥት ዴብአን።
2c072800ab	ኣሮኒንስ፣ ‘ዋቆተ ኑ ዱረ ዴመን ኑ ቶልች፤ ሙሴን ብየ ግብጢ ኑ ባሴ ሱን ማል አከ ተኤ ህንቤክኑቲ!’ ጄዸን።
2c072900fb	ዬሮን እሳን ዋቀ ቶልፈማ ብፈ ጀቢቲን ቆጴፈተንስ በሩመ ሰነ፤ እሳንስ ዋቀ ሰናፍ ኣርሳ ዽኤሰኒ ዋኑመ ሀርከሳኒቲን ቶልፈሜ ሰናፍ አያነ ኡልፍና አያኔፈተን።
2c072a0170	ዋቅን ገሩ እሳንራ ገረገሌ አከ እሳን ሁምኖተ ሰሚራ ዋቄፈተኒፍ እሳን ዺሴ። ኩንስ ዋን ክታበ ራጆታ ኬሰት በሬፈሜ ሰናን ወል ፈካተ፤ እንስ አከነ ጄዸ፤ “‘ያ መነ እስራኤል እስን ወጋ 40 ገሞጂ ኬሰት ተኩማ ኣርሳፊ ኬና ናፍ ፍደኒርቱ?
2c072b00ee	እስን ፈኪ ዋቆተ ዋቄፈቹፍ ቶልፈተኒ ጄቹንስ ዱንካነ ሞሌኪቲፊ ኡርጂ ዋቀኬሰን ራፋ ኦል ቀብደኒርቱ። ከናፉ አን ብየ ባብሎኒን ገማት እስን አርአ።’
2c072c0108	“አቦቲንኬኘ ገሞጂ ኬሰት ዱንካነ ዹገ በኡምሳ ኦፍ ብራ ቀቡ ቱረን። ዱንካን ሱንስ አኩመ ዋቅን አከ ሙሴን አኩመ ብፈ አርጌ ሰናት ሆጄቱፍ እሰ ቀጄልቼት ሆጄተሜ ቱሬ።
2c072d00de	አቦቲንኬኘስ ዱንካንቸ ፉዸተኒ ብየ ሰበ ዋቅን እሳን ዱራ አርኤ ባሴ ሰናት እያሱ ወጅን ገለን፤ ዱንካን ሱን ሀመ በረ ዳዊቲት ብየ ሰነ ቱሬ።
2c072e0080	ዳዊትስ ፉለ ዋቃ ዱረት ፉዸተመ አርገቴ ዋቀ ያቆቢቲፍ መነ ጅሬኛ እጃሩፍ ከዸቴ።
2c072f003f	ገሩ ከን መነ ሰነ እጃሬፍ ሶሎሞን ቱሬ።
2c073000a9	“ተኡስ ዋቅን ዋን ሁንዳ ኦሊ መነ ሀርክ ነማ እጃሬ ኬሰ ህንጅራቱ፤ ኩንስ አኩመ ራጅች አከነ ጄዼ ዱበቴዸ፦
2c073100cd	“‘ሰሚን ቴሶኮት፤ ለፍትስ ኤጄተ ሚለኮቲት። ዮስ እስን መነ አከሚ ናፍ እጃርቱሬ? ጄዸ ጎፍታን፤ ዮካን ለፍት ቦቆናኮቲ ኤሰ ተአ?
2c0732003b	ዋን ከነ ሁንደ ሀርክኮ ህንሆጄትኔ?’
2c073300ff	“ያ ነሞተ መተ ጀቤዪነነ! ገራንኬሰን ህንአመኑ፤ ጉርኬሰንስ ህንዸገኡ! እስን ዬሮ ሁንደ ሀፉረ ቁልቁሉን ሞርምቱ፤ አኩመ አቦቲንኬሰን ጎዸን ሰነ እስንስ ጎቱ።
2c07340105	ራጂን አቦቲንኬሰን ህንአርአትን ቶኮዩ ጅራ? እሳን ወረ ዱራን ዱርሰኒ ዹፋቲ እሰ ቀጄላ ሰና ህመንሌ ንአጄሰን፤ እስንስ አመ እሰ ደበርስተኒ ኬንተኒ አጄፍተኒርቱ፤
2c07350075	ወር ከራ ኤርገሞታቲን ሴረ ፉዸተኒ ሴረ ሰናፍ አጀጀሙ ድደንስ እስኑመ።”
2c07360068	እሳንስ ዮሙ ዋን ከነ ዸገአንት ኣሪን ጉጉበተኒ እሰት ጭኒነተን።
2c073700bc	እስጥፋኖስ ገሩ ሀፉረ ቁልቁሉን ጉተሜ ገረ ሰሚ ኦል እላሌ ኡልፍነ ዋቃቲፊ ዬሱስንስ እሳ ምርገ ዋቃ ዻበቴ ጅሩ አርጌ።
2c0738008e	እንስ፣ “አን ኩኖ ሰሚን በነሜ፣ እልመ ነማስ እሳ ምርገ ዋቃ ዻበቴ ጅሩ ነንአርገ” ጄዼ።
2c0739006f	ከነረት እሳን ሁንድ ጉረሳኒ ቀበተኒ ሰገሌ ጉዳን እያ እሰት ግርሰን።
2c073a00d1	መጋላ ኬሳስ ገድ እሰ ባሰኒ ዸጋን እሰ ቱሙ ጀልቀበን። ዬሮ ሰነ ዹገ ባቶትን ኡፈተሳኒ ሚለ ደርገጌሰ ሳዉል ጄዸሙ ቶኮ ጀለ ኬወተን።
2c073b0097	እስጥፋኖስስ ኡቱ እሳን ዸጋን እሰ ቱማ ጅረኑ፣ “ያ ጎፍታ ዬሱስ፣ ሀፉረኮ ፉዸዹ” ጄዼ ከዸቴ።
2c073c00c6	ጅልቤንፈቴስ ሰገሌ ጉዳዻን፣ “ያ ጎፍታ፣ ጩቡ ከነ እሳንት ህንለካእን!” ጄዼ እዬ፤ እንስ ኤርገ ዋን ከነ ዱበቴ ቦዴ ንዱኤ።
2c0801014d	ሳዉልስ አጄፈሙ እስጥፋኖስረት ነሞታን ወሊ ገሌ ቱሬ። ጉዩመ ሰነ ወልዳ ክርስታና እሼ ዬሩሳሌም ጅርቱት አርአተምን ጉዳንሳ ከኤ፤ ኤርገሞተ መሌ ወር ካን ሁንድኑ ብየ ይሁዳቲፊ ሰማርያ ሁንደ ኬሰ ብብትናአን።
2c0802006d	ነሞትን ዋቀ ሶዳተንስ እስጥፋኖስን አዋለን፤ ቦእቸ ጉዳስ ቦአኒፍ።
2c080300ce	ሳዉል ገሩ ወልዳ ክርስታና በሌሱ ጀልቀቤ፤ እንስ መነ ቶኮራ ገረ መነ ብራ ዸቄ ዺራፊ ዱበርቲ ለፈረ ሀርክሴ መነ ህዻት ገልቻ ቱሬ።
2c08040059	ወር ብትናአን ሱን ለፈ ዸቀን ሁንደት ዱቢ ሰነ ለለበን።
2c0805006c	ፊልጶስስ ገረ መጋላ ሰማርያ ቶኮት ገድ ቡኤ አችት ክርስቶስ ለለቤ።
2c080600ad	ነሞትን ሱንስ ዮሙ ዋን ፊልጶስ ዱበቱ ዸገአኒ ድንቂ እን ሆጄቱ አርገንት ሁንድሳኒ ቀልቤፈተኒ እሰ ዸገአን።
2c080700a1	ሀፉር ጡራኣንስ ሰገሌ ጉዳን እዬ ነመ ሄዱ ኬሳ በኤ፤ ወር ላምሸአኒፊ ወር ናፈተን ባይኤንስ ንፈየን።
2c08080045	ከናፍስ ገመቹ ጉዳቱ መጋላ ሰነ ኬሰት ተኤ።
2c080900f8	ገሩ ዬሮ ሰናን ዱረ ነምች ስሞን ጄዸሙ ቶኮ መጋላ ሰነ ኬሰት ፈልፈለ ሆጄቴ ነሞተ ሰማርያ ሁንደ ድንቅሲሳ ቱሬ፤ እንስ አከ ዋን ነመ ጉዳ ተኤት ኦፍ ሄዳ ቱሬ።
2c080a00d2	ነሞትን ሁንድኑ ጥና ጉዳን ቀልቢሳኒ ገረሳት ዴብፈተኒ፣ “ነምች ኩን ሁምነ ዋቃ እሰ ‘ሁምነ ጉዳ’ ጄዸሙ ሰናዸ” ጄዸኒ እሰ ሳደን።
2c080b0098	ነሞትን ሱንስ ሰበቢ እን ዬሮ ዼራ ፈልፈለሳቲን እሳን ድንቅሲሴፍ ቀልቢሳኒ ገረሳት ዴብፈተን።
2c080c00a7	ገሩ ዮሙ ፊልጶስ ወንጌለ ዋኤ ሞቱማ ዋቃቲፊ መቃ ዬሱስ ክርስቶስ ለለቤት አመነኒ ዺራ ዱበርቲን ጩጰመን።
2c080d0093	ስሞን መታንሳዩ አመኔ ጩጰሜ። እንስ መለቶፊ ድንቂ አርጌ ሰነ ድንቅፈቻ ፊልጶስ ወጅን ዴሜ።
2c080e00ac	ኤርገሞትን ዬሩሳሌም ቱረን አከ ወር ሰማርያ ዱቢ ዋቃ ፉዸተን ዸገአኒ ጴጥሮሲፊ ዮሀንስን እሳንት ኤርገን።
2c080f0088	ኤርገሞትን ሱንስ ዮሙ አች ገአንት አከ እሳን ሀፉረ ቁልቁሉ አርገተኒፍ ንከዸተኒፍ፤
2c081000a1	ሀፉር ቁልቁሉን እሳን ኬሳ ነመ ቶኮረሌ ህንቡኔ ቱሬቲ፤ እሳን መቃ ጎፍታ ዬሱስ ቆፋን ጩጰመኒ ቱረን።
2c08110084	ጴጥሮሲፊ ዮሀንስ ሀርከሳኒ ጀረ ሰነረ ከካአን፤ እሳንስ ሀፉረ ቁልቁሉ አርገተን።
2c081200c3	ስሞን ፈልፈልትችስ አከ ዬሮ ኤርገሞትን ሀርከሳኒ ነመረ ካአን ሀፉር ቁልቁሉን ነማ ኬነሙ አርግናን ኤርገሞታፍ ሆሪ ኬኔ፣
2c0813009b	“አከ ነምን አን ሀርከ እረ ካኡ ሁንድ ሀፉረ ቁልቁሉ አርገቱፍ ደንዴቲ ከነ አናፍሌ ኬና” ጄዼን።
2c081400b1	ጴጥሮስ ገሩ አከነ ጄዼ ዴብሴፍ፤ “ሰበቢ አት ኬና ዋቃ ዋን ሆሪን ብተቹ ደንዴሱ ሴቴፍ ሆሪንኬ ሱመ ወጅን ሃበዱ!
2c08150098	ገራንኬ ፉለ ዋቃ ዱረት ዋን ቀጄላ ህንተእኒፍ አት ተጃጅለ ከነ ኬሰት ቆደ ዮካን ጨራ ህንቀብዱ።
2c08160081	ከናፍ ሀምነኬ ከነራ ዴብኢቲ ጎፍታ ከዸዹ፤ እን ያደ ገራኬቲ ከነ ሲፍ ዺሰ ተኣቲ።
2c08170077	አን አከ አት ያደ ሀዻኣን ጉተምቴፊ አከ አት ገርብቸ ጩቡ ታቴ ነንአርገ።”
2c0818008e	ስሞንስ፣ “አከ ወን እስን ጄተን ኩን ቶኮዩ ነረ ህንጌኜፍ ጎፍታ ናፍ ከዸዻ” ጄዼ ዴብሴ።
2c081900c4	ጴጥሮሲፊ ዮሀንስ ኤርገ ዹጋ በአኒ ዱቢ ጎፍታስ ለብሰኒ ቦዴ ገንዶተ ሰማርያ ሄዱ ኬሰት ወንጌለ ለለባ ዬሩሳሌምት ዴብአን።
2c081a00e3	ኤርገማን ጎፍታ ቶኮስ ፊልጶሲን፣ “ከኢቲ ከራ ክባቲን ገረ ዳንዲ ዬሩሳሌሚ በኤ ጋዛት ገድ ቡኡ ሰና ዸቅ” ጄዼ፤ ዳንዲን ሱንስ ዳንዲ ገሞጂት።
2c081b012b	እንስ ከኤ ዴሜ፤ ከራሳረትስ ጡኣሺ እቶጵያ ቶኮ ጄቹንስ ቆንዳልትቸ ህንደኬ ሞትቲ ሰበ እቶጵያ ከን ቀቤኘሼ ሁንደረት እት ጋፈተማ ተኤ አርጌ፤ ቆንዳል ሱን ሰገዱፍ ጄዼ ዬሩሳሌም ዸቄ ቱሬ።
2c081c0073	እንስ ዬሮ ብየሳት ዴብኡ ጋሪሳረ ታኤ ክታበ እሳያስ ራጅቻ ዱብፈቻ ቱሬ።
2c081d0064	ሀፉር ቁልቁሉንስ ፊልጶሲን፣ “ዸቂቲ ጋሪ ሰነት ዽኣዹ” ጄዼ።
2c081e00c4	ፊልጶስስ ጋሪ ሰነት ፊጌ ኡቱ ነምች ሱን ክታበ እሳያስ ራጅቻ ዱብፈቱ ዸገኤ፣ “አት ዋን ዱብፈቱ ከነ ንሁበታ?” ጄዼ ጋፈቴ።
2c081f00c4	ነምችስ፣ “ዮ ነምን ናፍ ህንእብስን አን አከሚን ሁበቹ ደንደአ?” ጄዼ። እንስ አከ ፊልጶስ ኦል በኤ እሰ ብረ ታኡፍ ዋመቴ።
2c0820012b	ኩታን ክታባ ከን ጡኣሺን ሱን ዱብሳ ቱሬ እሰ ከነ፦ “እን አኩመ ሆላ እዶ ቀልማት ጌፈሜ፣ ዮካን አኩመ እልሞ ሆላ ከን ፉለ ነመ ርፌንሰ እራ ሙሙሩ ዱረት ጨልእሱ አከሱመ አፋንሳ ህንሳቀትኔ።
2c082100a9	እን ጩንቁርፈሙሳቲን ሙርቲ ቀጄላ ዾወተሜ፤ ኤኙቱ ዋኤ ሰኚሳ ዱበቹ ደንደአ? ጅሬኝሳ ለፈራ ፉዸተሜራቲ።”
2c082200b4	ጡኣሺን ሱንስ ፊልጶሲን፣ “ራጂን ሱን ዋኤ ኤኙ ዱበተ? ዋኤ መታሳሞ ዋኤ ነመ ብራት? ማሎ ሜ ነት ህም!” ጄዼ ጋፈቴ።
2c08230077	ፊልጶስስ ኩታዹመ ክታባ ሰናን አፋን ሳቀቴ ኦዱ ጋሪ ዋኤ ዬሱስ እሰት ህሜ።
2c082400b9	እሳንስ ኡቱ ከራ ዴመኑ ብሻንት በአን፤ ጡኣሺን ሱንስ፣ “ኩኖ ብሻን አስ ጅረ፤ ዮስ ማልቱ ጩጰሙ ነ ዾወሬ?” ጄዼን። [
2c082500e6	ፊልጶስስ፣ “አት ዮ ገራኬ ጉቱን አመንቴ ጩጰሙ ንደንዴሰ” ጄዼን። ነምችስ ዴብሴ፣ “አከ ዬሱስ ክርስቶስ እልመ ዋቃ ተኤ አን ነንአመነ” ጄዼ።]
2c0826008e	እንስ አከ ጋሪን ሱን ዻበቱ አጀጄ፤ እሳን ለማኑ ዸቀኒ ብሻን ሴነን፤ ፊልጶስስ እሰ ጩጴ።
2c082700cf	ዮሙ እሳን ብሻን ኬሳ በአንትስ ሀፉር ጎፍታ ፊልጶስን ፉዸቴ፤ ጡኣሺን ሱንስ ኤርገሲ እሰ ህንአርግኔ፤ ገሩ ገመዳ ከራሳ እት ፉፌ።
2c0828009f	ፊልጶስሞ አዞጦንት አርገሜ፤ እንስ ሀመ ቂሳርያ ገኡት መጋላወን ሁንደ ኬሰት ወንጌለ ለለባ ደርቤ።
2c09010071	ግዱዹመ ሰነ ሳዉል በረቶተ ጎፍታ አጄሱፍ ዻደቻ ገረ ሉበ ኦል ኣና ዸቄ፣
