280000000f	मत्ती
36030100c8	ई गल सच़्च़े, कि ज़ै कलीसियाई मां अगवो भोनो चाते, त तै आदरारे पदेरी इच्छा रखते।
360302029b	ते इन ज़रूरीए कि अगवो बेइलज़ाम भोए, ते तैसेरी अक कुआन्शा लोड़े, ते तै अपने आपे पुड़ कैबू केरनेबालो, समझ़दैरी सेइं ज़ींनेबालो भोए, इज़्ज़तदार भोए, ते ट्लाहना केरि आदर केरनेरे लेइ तियार रानेबालो भोए, ते होरि लोकन परमेशरेरो सन्देश रोड़े च़ारे शिखालनेरे काबल भोए।
3603030132	तै शराबी या मार-पीट केरनेबालो न लोड़े, बल्के दया केरनेबालो लोड़े, ते लड़ाई न केरनेबालो लोड़े ते पेइंसां केरे लालच़ी न भोए।
3603040176	तै अपने घरेरो रोड़े च़ारे च़लानेबालो ते बन्दो बसत केरनेबालो लोड़े, ते तैनी अपने बच्चन शिखालोरू लोड़े कि तैना हर गल्ली मां इज़्ज़ती सेइं तैसेरी मनन।
3603050109	ज़ैखन अगर कोई अपने घरेरो बन्दो बसत केरनो न ज़ानतो भोए, त तै परमेशरेरी कलीसियारी हेरगेश केन्च़रे केरेलो?
36030600dd	तै नंव्वो विश्वासी न लोड़े, एरू न भोए अभिमान केरे ते तैस शैतानेरी ज़ेरि तैस सज़ा मैल्ले।
3603070171	ते ज़ैना लोक विश्वासी नईं तैनेईं भी तैसेरे बारे मां इन ज़ोरू लोड़े कि ए रोड़ो मैन्हु आए। ताके एरू न भोए कि तै घटिया भोए ते शैतानेरे ज़ाले मां फंसे।
3603080172	तेन्च़रे सेवक भी तेरहे लोड़न ज़ैन केरि लोक आदर केरन। ईमानदार लोड़न, ते पीने बाले न भोन, ते एरे मैन्हु न भोन ज़ैना पेइंसां केरे लेइ किछ भी केरि बटतन।
3603090108	पन तैन केरे ज़मीर साफ लोड़न ते ज़ै शिक्षा परमेशरे बांदी कियोरीए, तैस पुड़ लगातार विश्वास केरनेबाले लोड़न।
36030a017a	ज़ैखन कलीसियारे सेवक च़ुने गान त पेइलू तैन केरू चालचलन परखू गाए, कि तैन मां रोड़े गुण आन, ते केन्ची तैन मां कोई गलती न लेइहोए, त फिरी सेवकेरू कम केरन।
36030b0196	एन्च़रे कलीसियाई मां सेवा केरनेबालां केरि कुआन्शां भी आदरारे काबल भोन, होरन बदनाम केरनेबैली न लोड़न, पन शांत सुभावे बैली, ते सेब्भी गल्लन मां ईमानदार भोन।
36030c0140	कलीसियारो सेवक अपने कुआन्शरे लेइ वफादार लोड़े, ते बच्चां ते अपने घरेरे सारे लोकां केरो रोड़ो च़ारे हेरगेश केरनेबालो लोड़े।
36030d01a6	किजोकि ज़ैना सेवकेरू कम रोड़े च़ारे केरतन, तैना लोकां केरि नज़री मां इज़्ज़तदार भोतन। ते तैना अपने तैस विश्वासेरे बारे मां ज़ै यीशु मसीहे पुड़े बड़े दिलेरी सेइं ज़ोतन।
36030e00c0	अवं तीं कां जल्दी एजनेरी उमीद रखने पुड़ भी इना गल्लां एल्हेरेलेइ लिखताईं।
36030f034c	अगर मीं एजने मां च़िर लगे, त तू ज़ानस, कि लोकेईं परमेशरेरे टब्बरेरे होरि लोकन सेइं केन्च़रे बर्ताव कियोरो लोड़े। इन टब्बर तैना लोकन सेइं बनोरू, ज़ैना यीशु पुड़ विश्वास केरतन ते ज़ींते परमेशरेरे कलीसियारेन। इना विश्वासी सच़्च़ी शिक्षाई मज़बूती सेइं मन्तन ते सम्भालतन ज़ेन्च़रे बुनीयाद ते खम्मबे इमारती सम्भालतन ते मज़बूत केरते।
3603100347	ते इस मां शक नईं, अस पूरे याकीन सेइं ज़ोई बटतम, ज़ैना शिक्षां परमेशरे बैंदी की एना बिलकुल सच़्च़ी आन, मतलब, मसीह मैनेरे रूपे मां बांदो भोव, पवित्र आत्मा तै हर कम्मे मां धर्मी ठहराव, स्वर्गदूतेईं तै लाव, लोकेईं तैसेरे बारे मां कौमन मां प्रचार कियो, सारे दुनियाई मरां लोकेईं तैस पुड़ विश्वास कियो, परमेशरे तै उबरे स्वर्गे जो नीयो।
3604010243	पन पवित्र आत्मा साफ ज़ोते, कि आखरी वक्ते मां किछ लोक मसीही शिक्षाई पुड़ विश्वास केरनो बन्द केरेले। तैना दुष्ट आत्मान कबूल केरेले, तैना तैन बुरी बत्ती च़लैली, त कने तैना लोक दुष्ट आत्मां केरि झूठी शिक्षाई पुड़ विश्वास केरेले।
3604020190	इन तैना झूठे पाखंडी लोक आन, ज़ैना इन झूठी शिक्षान शिखालतन, तैन केरो ज़मीर ज़ै रोड़े ते बुरे मां फैसलो केरते मर्रो आए ते ज़ेन्च़रे तात्ते लोंहे सेइं तै फुकोरोए।
3604030200	एरे लोक इन शिखालतन कि ड्ला नईं बनानो ते खानेरी किछ चीज़ां न लोड़न खेवरी, पन परमेशरे इन खानेरी चीज़ां विश्वासी लोकां केरे खानेरे लेइ बनोरिन ज़ैना सच़्च़ी शिक्षा ज़ानतन कि प्रार्थना केरतां खावरू लोड़े।
36040400d6	किजोकि परमेशरेरी बनेवरी हर चीज़ रोड़ीए। अस परमेशरेरू शुक्र केरतां सब किछ खेइ बटतम।
360405008f	किजोकि परमेशरेरे वचने, ते प्रार्थनाई सेइं शुद्ध भोते।
3604060237	अगर तू ढ्लान ते बेइनन लगातार इन्ना गल्लां याद करातो रालो, ज़ैन केरि हदायत मीं तीं दित्तोरीए त कने विश्वासेरे सन्देशे ते तैस रोड़ी शिक्षाई सेइं ज़ैस मां तू मज़बूत बनावरोस ज़ै तू मन्तो ओरोस। त तू यीशु मसीहेरो रोड़ो सेवक भोलो।
3604070186	पन बनेवरी कहैनी ते बेकार कहैनी केरे वजाई सेइं वक्त बरबाद न केर ज़ैन सेइं परमेशरेरी आदर न भोए। पन तू लगातर परमेशरेरी आदर केरनेबाली ज़िन्दगी ज़ीनी शिखाल।
36040801cc	किजोकि जिसमानी वर्जिशी सेइं जानी फैइदो भोते, पन भेक्तरे लेइ तियारी बड़ी रोड़ीए किजोकि इस वक्तेरी ते एजनेबाले वक्तेरी ज़िन्दगरो फैइदो इस्से मां आए ज़ेसेरो वादो परमेशरे कियोरोए।
360409006d	ते ई गल सच़, ते हर तरीके सेइं मन्नेरे काबल।
36040a01a0	किजोकि अस मेहनत ते कोशिश एल्हेरेलेइ केरतम, किजोकि इश्शी उमीद तैस ज़ींते परमेशरे पुड़े। ज़ै सेब्भी लोकां केरो, ते खास केरतां विश्वास केरनेबालन मुक्ति देनेबालोए।
36040b00a6	विश्वासी लोकन इना गल्लां शिखाल ते तैन ई हुक्म दे कि तैना इन मनन।
36040c02ed	तू एन्च़रे बर्ताव केर कि कोई भी तेरी अनादर न केरे किजोकि तू जवान आस। पन तू विश्वासी लोकां केरे लेइ इन सैरी गल्लन मां अक मिसाल बन, गलबाती मां, होरन सेइं बर्ताव केरने मां, ते होरन सेइं प्यार केरने मां, ते यीशु मसीह पुड़ विश्वास केरने मां, ते बेइलज़ाम ज़िन्दगी ज़ींने मां ताके लोक भी एन्च़रां केरन।
36040d0165	ज़ांतगर अवं न एज्जी, तांतगर ज़ैखन विश्वासी लोक अकोट्ठे भोतन ज़ोरे सेइं पढ़ने मां, ते तैन केरो होसलो बद्धा ते पवित्रशास्त्रेरो मतलब शिखाल।
36040e01d9	इस गल्ली याद रख ज़ैखन बुज़ुर्गां केरे एक्की टोलां तीं पुड़ हथ रखोरे थिये, परमेशरे तैन अक सन्देश दित्तो कि तैस वरदानेरे बारे मां ज़ोन ज़ै तैने तीं दित्तोरी। तैस वरदानेरे नज़र अनदाज़ न केर।
36040f011f	तैन गल्लन सोचतो रा, ते तैन मां अपनू ध्यान लेइतां रख, एन्च़रे हर कोई हेरी बटेलो कि तू विश्वासे मां बद्धने लोरोस।
3604100181	इस गल्लरू ध्यान रख कि तू केन्च़रे ज़ीतस ते केन्च़रे शिखालतस। इसेरो नितीजो ई भोलो कि परमेशरे इन्साफे मां तेरे ज़िरिये तीं ते तेरे शुन्नेबालन बच़ालो।
360501017b	बुढे मैन्हु न झ़िड़क पन तैस एन्च़रे आदरी सेइं सल्लाह दे ज़ेन्च़रे अपने बाजी, एप्पू करां निकड़े मैन्हु एन्च़रे सल्लाह दे ज़ेन्च़रे अपने निकड़े ढ्लाए।
3605020181	बुढी कुआन्शन सेइं एन्च़रे बर्ताव केर ज़ेन्च़रे अम्मा सेइं, ते जवान कुआन्शन सेइं एन्च़रे बर्ताव केर ज़ेन्च़रे अपने बेइनी सेइं। इन साफ दिले सेइं केर।
36050300d5	तैन विधवां केरि आदर केरा, ज़ैन केरो कोई हेरगेश केरनेबालो नईं तैन केरू ध्यान रख्खा।
3605040259	ते अगर कोन्ची विधवारां मट्ठां या पोट्लड़ां या धियोड़ां भोन, ते तैन पेइलू अपने घरेरे लोकां केरू ध्यान रेखतां परमेशरेरी भक्ति केरनि शिखोरी लोड़े। ते तैना एन केरतां अपने अम्मा-बाजी ते दादा देदी केरू हक देन, किजोकि इन परमेशरे पसंद एइते।
3605050164	ज़ै विधवा आए ते तैसेरो ध्यान रखनेबालो कोई नईं, तै परमेशरे पुड़ उमीद रखतीए, ते रात दिहैड़ी बिनती ते प्रार्थनाई मां परमेशरे करां मद्दत मगतीए।
3605060118	पन ज़ैना विधवां अपनो सारो वक्त एशे मां बितैतिन तैना जिसमानी रूपे सेइं त ज़ींतिन पन आत्मिक रूपे सेइं मेर्रीन।
360507007e	इन गल्लां केरो भी हुक्म दे कि तैना बेइलज़ाम रान।
360508017c	पन अगर कोई अपने रिशतेदारां केरि ते खास केरतां अपने घरानेरू ध्यान न रख्खे, ते तै विश्वासे करां मुकरोरोए, ते ज़ै विश्वास न केरे तैस करां बुरो बनोरोए।
36050900ec	तैस्से विधवारू नवं लिखू गाए, ज़ै शठ सालन करां घट न भोए, ते अपने मुन्शे सेइं वफादार रावरी भोए।
36050a0343	ते होरे लोक तैसेरे बारे मां ज़ानते भोन कि तैसां हमेशा रोड़ां कम्मां कियोरन। ज़ेन्च़रे कि, तैसां बच्चे रोड़े च़ारे पाले, ते तैना विश्वासी लोक अपने घरे मां आने, ज़ैना सफरे मां थिये, ज़ेन्च़रे होरि लोकां केरि सेवा कियोरी भोए, ते तैन लोकां केरि मद्दत कियोरी भोए ज़ैना मुसीबती मां थिये, ते ज़ैसां हर किसमेरां रोड़ां कम्मां कियोरां भोन।
36050b01e2	पन जवान विधवां केरां नंव्वां न लिख, किजोकि ज़ैखन तैन केरि जिसमानी इच्छा तैस वादे करां शेक्ति बाली भोती, ज़ै तैनेईं विधवा रेइतां मसीहेरी सेवा केरनेरे लेइ कियोरोए, त तैना ड्ला बनानो चैतिन।
36050c00e0	दुबारां ड्ला केरतां तैना दोषी भोतिन, किजोकि तैनेईं अपनो पेइलो वादो बरकरार नईं रखोरो।
36050d01b6	एन्च़रे तैना घरे-घरे फिरतां आलसी भोनू शिखतिन, ते सिर्फ आलसी नईं, पन होरि केरे खलाफ गल्लां केरतिन, ते होरि केरे कम्मन मां दखल देतिन, ते तैना गल्लां ज़ोतिन ज़ैना न लोड़न ज़ोरी।
36050e013f	एल्हेरेलेइ अवं इन चाताईं, कि जवान विधवां ड्ला बनान; ते तैन बच्चे भोन ते घरबार सुमालन, ते दुश्मन्न बदनाम केरनेरो मौको न देन।
36050f00ee	किजोकि किछ जवान विधवां कुआन्शेईं परमेशरे करां दूर भोइतां शैताने पत्ती च़लनू शुरू कियोरू।
36051001d3	अगर कोन्ची विश्वास केरनेबालेरी टब्बरे मां विधवां भोन, त तैए तैन केरि मद्दत केरे न तैन केरि ज़िमेवारी कलीसियाई पुड़ भोए। तैखन कलीसिया तैस विधवारी मद्दत केरि बटते ज़ेसेरो कोई न भोए।
360511018d	ज़ै बुज़ुर्ग रोड़े च़ारे कम केरते तै आदर हासिल केरनेरे ते बराबर तनखाएरे काबले, खास केरतां तैना ज़ैना परमेशरेरू वचन शुनाने, ते शिखालने मां बड़ी मेहनत केरतन।
3605120130	किजोकि पवित्रशास्त्र मां इन लिखोरूए, “कि तू जोट्लोरे दांतेरू आशी न बेन्धाँ,” किजोकि, “मज़दूर अपने मज़दूरारो हकदारे।”
360513010e	कोई दोष कोन्ची बुज़ुर्गे लव गाए, त ज़ांतगर दूई या जादे लोक न ज़ोन कि असेईं ए पाप केरतो लावरोए, तांतगर न शुन।
36051400f5	ज़ैना लोक पाप केरतन तैन सेब्भी विश्वासी लोकां केरे सामने झ़िड़क, ताके होरे विश्वासी लोक भी डरन।
3605150188	परमेशर ते मसीह यीशु, ते च़ुनोरे स्वर्गदूत हाज़र सेमझ़तां अवं तीं हादयत देताईं, ध्यान राए कि तू केन्चेरो इन्साफ जल्दी न केरस, ते कोन्चेरी तरफदारी न केर।
360516012a	कलीसियारो बुज़ुर्ग च़ुनेरे बारे मां जल्दी कधे नईं केरनि। ते होरि केरे पापन मां शामिल न भो, अपनो आप पवित्र बनोरो रख।
3605170113	अग्रोवं जो पानी न पी, पन अपने पेटेरे ते अपने बार-बार बिमार भोनेरे लेइ थोड़ो-थोड़ो दाछ़ारो रस भी कम्मे मां आन।
360518020d	अवं ज़ोताईं कि जल्दी बुज़ुर्ग नईं च़ुन्ने, किजोकि किछ लोक खुले आम पाप केरतन, इन्साफे करां पेइले भी तैना विश्वासी लोकां केरे सामने दोषी आन। हांलाकि होरि लोकां केरे पाप बांदे न भोन पन बादे मां पिशाने गातन।
360519017b	एन्च़रे ज़ैखन लोक रोड़ां कम्मां केरतन, त तैन होरि विश्वासी केरे ज़िरिये हेरू गाते। अगर तैना तैन एक्की बारे साफ च़ारे लेई बटन, आखर तैना तैन पिशानेले।
360601016c	ज़ैना विश्वासी लोक गुलाम आन, तैनेईं हर तरीके सेइं अपने मालिकां केरि आदर कियोरी लोड़े ताके होरे लोक परमेशरेरी ते इश्शे शिक्षारी तुहीन न केरन।
36060202e8	ते ज़ैना मालिक विश्वासी भोन, त तैन केरू मसीह पुड़ विश्वास केरनेरे वजाई सेइं तैन केरि बराबर इज़्ज़त की गाए, बल्के तैन केरे लेइ होरू भी जादे कम कियोरू लोड़े। किजोकि इस सेइं फैइदो नेनेबाले विश्वासी आन ते तैना गुलाम तैन सेइं प्यार केरतन, इन गल्लां केरि शिक्षा दे ते इन होसलो दे कि तैना इन सब केरन।
3606030130	किछ लोक इश्शे शिक्षारी खलाफत केरि बटतन, पन इना यीशु मसीहेरी रोड़ी शिक्षां आन। इना शिक्षां भेक्तरी ज़िन्दगी बद्धेतिन।
360604021e	ज़ै कोई अलग शिखालते तै अभिमानी ते तै किछ न समझ़े। एरे ज़ेरे मैन्हु गैर ज़रूरी मुद्दां ते लफसां केरो मतलब ज़ान्नेरे लेइ होरन सेइं बेंस ते तर्क केरतन। ज़ैन केरो नितीजो जलन, ते लड़ाई ते तुहीनरी गल्लां, ते बुरी-बुरी शक,
3606050229	ते मैनन् मां बेफैइदी लड़ैई पैदा भोतिन, ते ज़ैन केरे मन बुरे शक्की सेइं भेरोरेन, ते तैना लगातार होरन सेइं बेंस केरतन, ते तैना सेझ़ी न बटथ कि सच़ कुने, तैना समझ़तन परमेशरेरे बारे मां शिक्षा देनी कमाई केरनेरो ज़िरियोए।
3606060111	पन इश्शे इन लेइ इन रोड़ू कि अस तैन केरम ज़ैस सेइं परमेशर खुश भोए ते ज़ैन परमेशर असन देते तैस सेइं अस राज़ी भोम।
3606070084	ते न असेईं दुनियाई मां किछ आनोरू, ते न किछ नेही बटम।
36060800a6	ते अगर असन कां किछ खाने पीने ते लाने जो भोए, ते इस्से मां खुश रहम।
360609024b	पन ज़ै धनी भोनो चाए, तैना इन सब पाप केरतां बड़े आसान तरीके सेइं धोखो खातन, ज़ेन्च़रे जानवर ज़ाले मां फसतन तेन्च़रे तैना फसतन। तैना इन केरनू चातन ज़ैन तैन केरे लेइ बेवकूफी ते खतरोए, ते एरी इच्छां तैन बरबाद ते नाश केरनेरे पासे नेतिन।
36060a0264	किजोकि पेइंसां केरू लालच़ सेब्भी किसमेरे बुरैइअरू वजाए, किछ लोकेईं बले-बले मसीह पुड़ विश्वास केरनो शारो किजोकि तैना धनी भोनू चाते थिये, ते तैनेईं तैस मैनेरो ज़ेरो बड़े तरीकन सेइं दुःख झ़ैल्लो ज़ै अपने आपे कोन्ची हथियारे सेइं ज़खमी केरते।
36060b02d5	पन हे तीमुथियुस, तू परमेशरेरो मैनूस, तीं इन गल्लां न लोड़न कियोरी, सिर्फ ज़ैन ठीके तैन केरनेरे लेइ हर किसमे सेइं कोशिश केर। एरी ज़िन्दगी ज़ी ज़ैस सेइं परमेशरेरी आदर भोती, मसीह पुड़ भरोसो केर, होरि लोकन सेइं प्यार केर, मुश्किल वक्ते मां हिम्मत रख, ते होरि लोकन सेइं नेरमी सेइं बर्ताव केर।
36060c031f	ज़ेन्च़रे अक रोड़ो सिपाई जंगी मां लड़ैई मां हार न मन्ने, तेन्च़रे तू भी परमेशरे पुड़ भरोसो रखने मां ते तैसेरी गल मन्ने मां हार न मन्न। ते तैस हमेशारी ज़िन्दगी मज़बूती सेइं ठेमतां रख, ज़ेसेरे लेइ तू परमेशरे कुजावरोस, ते ज़ेसेरे बारे मां तीं बड़े लोकां केरे सामने दिलेरी सेइं ज़ोरू थियूं कि तू मसीह पुड़ विश्वास केरतस।
36060d0178	अवं तीं परमेशरे सामने ज़ै सेब्भन ज़िन्दगी देते, ते मसीह यीशुएरे सामने ज़ोताईं, ज़ैने पुन्तियुस पिलातुसेरे सामने रोड़ी गवाही दित्ती, ई हुक्म देताईं।
36060e0188	ज़ैन किछ परमेशरे तीं केरनेरे लेइ हुक्म दित्तोरो तैन सब किछ पूरू केर, ताके यीशु मसीह ज़ांतगर वापस न एज्जे तीं पुड़ कोई दोष न लेई बटे तू कुन गलत केरने लोरोस।
36060f0117	सिर्फ परमेशर तै राज़ोए ज़ै बड़यैयरे काबले, तै महान राज़ो ते महान प्रभुए, तैए मसीहे सही वक्ते पुड़ बांदो केरेलो।
3606100140	सिर्फ तैए हमेशा ज़ींतो रहते, ते तै तैस महिमा बैली लोई मां रहते ज़ैस कां कोई न एज्जी बटे। तैसेरी आदर ते शक्ति हमेशा राली। आमीन।
3606110154	इस दुनियारे दौलतमंदन हुक्म दे, कि तैना घमण्डी न भोन ते चंचल धने पुड़ उमीद न रखन, पन परमेशरे पुड़ ज़ै इश्शे सुखेरे लेइ बड़ू हछ़्छ़ू देते।
3606120188	ते तैन ज़ो कि तैना अपने पेइंसे रोड़े कम्मां केरे लेइ इस्तेमाल केरन ते भलाई केरने मां दौलतमंद बनन ते हमेशा तियार रान होरन खुल्ले दिले सेइं देनेरे लेइ ज़ो।
3606130214	एन्च़रे केरने सेइं तैना अपना रोड़ां कम्मां खज़ानेरे ज़ेरे जमा केरेले, ज़ैना तैन केरे लेइ एजनेबाले वक्ते स्वर्गे मां मज़बूत मुनीयादरां ज़ेरां भोलां। ते तैना तै सच़्च़ी ज़िन्दगी हासिल केरेले ज़ै हमेशारे लेइ आए।
3606140255	हे तीमुथियुस इस गल्ली पुड़ ध्यान दे कि ज़ैन परमेशरे तीं केरनेरे लेइ दित्तोरूए तैन्ने केर। दुष्ट ते बेकार गल्लन करां ते तैन शिक्षान करां बेंच़ता रा, ज़ैना परमेशरेरी सच़्च़ी शिक्षां केरि खलाफत केरतन, तैस तैना ज्ञान ज़ोतन पन तैन गलते।
36061501a8	किछ लोकेईं इन झूठू ज्ञान कबूल कियोरूए, एन्च़रे केरनेरे सेइं तैनेईं मसीहेरे सच़्च़ी शिक्षान पुड़ विश्वास केरनो शारो। परमेशरेरो अनुग्रह तुसन सेब्भन पुड़ भोतो राए।
370000001d	2 तीमुथियुस
3701010214	अवं पौलुस ई चिट्ठी लिखने लोरोईं। परमेशरे अवं यीशु मसीहेरो प्रेरित भोनेरे लेइ च़ुनो, ताके अवं इस सन्देशेरो प्रचार केरि कि परमेशरे यीशु मसीह पुड़ विश्वास केरनेरे ज़िरिये वादो कियो कि हमेशारी ज़िन्दगी देलो।
37010201c6	अवं ई चिट्ठी तीमुथियुसे लिखने लोरोईं, ज़ैन मेरे मट्ठेरू ज़ेरूए, हे तीमुथियुस अवं प्रार्थना केरताईं बाजी परमेशर ते इश्शे प्रभु यीशु मसीह तीं अनुग्रह ते दया ते शान्ति देतो राए।
3701030190	ज़ैस परमेशरेरी सेवा अवं अपने दादे पड़दादां केरे रीति पुड़ शुद्ध ज़मीरे सेइं केरताईं, तैसेरू शुक्र भोए, कि अवं एपनी प्रार्थनान मां तीं रात दिहैड़ी याद रखताईं।
3701040184	मीं यादे ज़ैखन अस अलग भोने लोरे थिये तैखन तू केन्च़रे लेरां देने लोरो थियो, ते तीं सेइं मिलनेरी बड़ी इच्छा रखताई कि ज़ैखन मिली त अवं आनन्दे सेइं भरी गेइ।
3701050158	ते अवं तेरे अम्मा यूनीके ते तेरी नानी लोइसेरो तै सच़्च़े विश्वास याद केरताईं। तेरो विश्वास भी तेरहो आए, ते मीं याकीने तीं मां भी आए।
3701060115	एल्हेरेलेइ अवं तीं याद कराताईं, कि तू परमेशरेरे तैस वरदाने ज़ैन मेरे हथ रखने सेइं तीं मैल्लोरू थियूं चमका।
3701070185	किजोकि परमेशर अस डरपोक नईं बनावरे बल्के तैसेरो आत्मा इश्शे दिलन मज़बूत केरते, ते मद्दत केरते कि अस होरि लोकन सेइं प्यार केरम ते ताके आपे कैबू मां रखम।
3701080252	एल्हेरेलेइ होरि लोकन प्रभु यीशुएरे बारे मां ज़ोने करां शरमा ते एल्हेरेलेइ शरमा कि अवं प्रभुएरी सेवा केरनेरे लेइ कैदे मां आईं। बल्के तू परमेशरेरे तैस शेक्ति इस्तेमाल केर ते मीं सेइं साथी खुशखेबरारे लेइ दुःख झ़लने मां शामिल भो।
370109028c	परमेशरे असन मुक्ति दित्ती, ते अस पवित्र ज़िन्दगी ज़ींनेरे लेइ कुजाए, तैने अस एल्हेरेलेइ नईं कुजवरे कि असेईं रोड़ां कम्मां कियां, किजोकि दुनिया बनाने करां पेइलो परमेशरेरो ई मकसद थियो कि तै यीशु मसीह इश्शे लेइ इस दुनिया मां भेज़तां असन पुड़ अनुग्रह हिराए।
37010a019a	पन हुनी इश्शे मुक्ति देनेबाले यीशु मसीह ओरोए ते तैनी अपनो अनुग्रह हिरावरोए। तैने मौतरी शक्ति नाश की, तैने असन खुशखेबरारे ज़िरिये हमेशारे ज़िन्दगरी बत हिराई।
37010b00c8	इस खुशखेबरारे लेइ परमेशरे अवं प्रचारक ते प्रेरित ते शिक्षा देनेबालो च़ुनो।
37010c0224	एल्हेरेलेइ अवं कैदखाने मां दुःख भी झ़ैल्लने लोरोईं, पन शरमेई न, किजोकि अवं मसीहे ज़ानताईं ज़ैस पुड़ मीं विश्वास कियोरोए, ते मीं याकीने, कि ज़ैन मसीहे दितोरू ज़ांतगर तै वापस न एज्जे तांतगर तै तैसेरी रखवाली केरि बटते।
37010d017a	ज़ैना रोड़ी शिक्षां तीं मीं करां शुनोरिन तैन तू मिसालरे रूपे मां रख, इन तू विश्वासे ते प्यारे सेइं साथी केर, किजोकि तू मसीह यीशु सेइं साथी अक भोरोस।
37010e00e9	ते तैस सच़्च़ेरी रखवाली केर, ज़ैन पवित्र आत्मारे ज़िरिये सेइं तीं सोंफेरू, ज़ै असन मां रहते।
37010f011c	तू ज़ानतस, कि आसिया इलाकेरे बड़े विश्वासी लोक ज़ैनेईं अवं शारोरोईं, ज़ैन मां फूगिलुस ते हिरमुगिनेसे भी अवं शारो।
3701100159	उनेसिफुरूसेरे घराने पुड़ प्रभु दया केरे, किजोकि तै बड़े बार मीं कां अव ते मीं होसलो दित्तो, ते मीं सेइं कैदखाने मां एजनेरे लेइ न शरमाव।
37011100c1	पन ज़ैखन तै रोम नगरे मां अव, त बड़े कोशिश सेइं तोप्तां मीं सेइं मुलाकात केरि।
370112015d	प्रभु इन्साफेरे दिहाड़े अपनि महान दया उनेसिफुरूसे पुड़ हिराए। तू एप्पू रोड़े च़ारे ज़ानतस कि इफिसुस नगरे मां तैनी मेरी केत्री मद्दत की।
3702010176	एल्हेरेलेइ हे मेरे मट्ठां तीमुथियुस, तू अपने आपे मज़बूत केर इन ज़ैनतां कि परमेशरे तीं अनुग्रह दित्तोरो, ज़ै सिर्फ यीशु मसीह सेइं अक भोइतां मैलते।
37020201d5	तीं बड़े लोकां केरे सामने ज़ै मसीहेरे सन्देशी शिक्षा मीं करां शुनोरिन। एल्हेरेलेइ अवं चाताईं कि तैए सन्देश तू होरि विश्वासी लोकन शिखाल, ज़ैना वफादार भोन ते होरन शिखालनेरे काबल भोन।
37020301e5	बिलकुल तेन्च़रे ज़ेन्च़रे अक सिपाही जंगरे मैदाने मुश्किल हालातन मां सबरी सेइं झ़ैल्लते, तेन्च़रे तू भी मुश्किल हालातन मां सबरी सेइं दुःख झ़ैल्ल ज़ेन्च़रे अस यीशु मसीहेरे लेइ झ़ैल्लतम।
370204011e	अक सिपाही ज़ैखन फौजी मां नौकरी केरते त तै होरि किसमेरू कम न केरे, किजोकि तै अपने भरती केरनेबाले खुश केरनू चाते।
37020500cb	फिरी आखाड़े मां घुल्लने बालो अगर कानूनेरे मुताबिक न घुल्ले त तैस ताज न मैल्ले।
37020600a0	ज़ै ज़मीनदार मेहनत केरते, फसलरे पेइले हिस्सेरो हकदार तैए भोते।
37020700c7	ज़ैन अवं ज़ोताईं, तैस पुड़ ध्यान दे, ते प्रभु तीं सेब्भी गल्लां केरि समझ़ देलो।
3702080152	लगातार याद रख कि यीशु मसीह कौने, तै दाऊदेरे खानदेंनी मरां आए, ते परमेशरे तै मुड़दन मरां ज़ींतो कियो ते ईए खुशखबरी अवं लोकन शुनाताईं।
370209018d	अवं खुशखबरी शुनाताईं एल्हेरेलेइ अवं मुजरामेरो ज़ेरो दुःख झ़ैल्लताई, इड़ी तगर कि कैदे मां आईं, पन कोई भी लोकन परमेशरेरू वचन प्रचार केरने करां न रोकी बटे।
37020a01c0	एल्हेरेलेइ अवं तैन लोकां केरे फैइदेरे लेइ दुःख झ़ल्लताईं ज़ैना परमेशरे च़ुनोरेन, ताके तैना भी यीशु मसीह पुड़ विश्वास केरतां मुक्ति हासिल केरन ते हमेशारी महिमा हासिल केरन।
37020b00af	ई गल सच़्च़े, कि अगर अस तैस सेइं साथी मरे त तैस साथी ज़ींते भी भोमेले।
37020c01b4	अगर अस तैसेरे वजाई सेइं दुःख झ़ैल्लते रहले, त तैस सेइं साथी राज़ां केरू ज़ेरू अस भी राज़ केरमेले, अगर अस तैसेरो इन्कार केरमेले कि अस तैस न ज़ानम, त तै भी इश्शो इन्कार केरेलो।
37020d0111	अगर अस मसीह सेइं साथी वफादार न भोम, त तै फिरी भी वफादार बनोरो रालो, किजोकि तै अपने स्भावेरे खलाफ न गेइ बटे।
37020e01e6	ज़ैना गल्लां मीं तीं सेइं ज़ोरिन तैन तू अपने लोकन बिसरने न दे, ते प्रभुए गवाह रेखतां तैन खबरदार केर, कि लफसन पुड़ बेंस न केरन, ज़ैस सेइं किछ फैइदो न भोए, बल्के शुन्ने बालां केरो बड़ो नुकसान भोते।
37020f01ea	बड़ी मेहनत केर ताके तू परमेशरेरे सामने कबूल भोनेरे काबल भोस, तू एरे मैनेरो ज़ेरो भोनेरी कोशिश केर ज़ै अपने कम्मे सेइं वजाई सेइं शरमिनदा न भोए, ते ज़ै सच़्च़ो सन्देश ठीक तरीके सेइं शिखालतो भोए।
37021000d5	पन बेकार ते बेवकूफ गल्लन करां दूर राए, किजोकि एरी गल्लां परमेशरे करां दूर केरतिन।
