0100000008	Ebandeli
290b1a0060	Kasi soki bolimbisi te, Tata na bino oyo azali kati na Likolo mpe akolimbisa masumu na bino te.]
290b1b00c1	Bakendeki lisusu na Yelusalemi. Wana Yesu azalaki kotambola kati na lopango ya Tempelo, bakonzi ya Banganga-Nzambe, balakisi ya Mobeko mpe bakambi ya bato bapusanaki pene na Ye mpe batunaki Ye:
290b1c0060	— Na kombo ya bokonzi nini ozali kosala biloko oyo? Mpe nani apesi Yo bokonzi ya kosala yango?
290b1d00af	Yesu azongiselaki bango: — Nazali kotuna bino motuna moko kaka. Bopesa Ngai nanu eyano, bongo Ngai nakoyebisa bino soki na kombo ya bokonzi nini nazali kosala makambo yango.
290b1e0046	Libatisi ya Yoane ewutaki na Nzambe to ewutaki na bato? Boyebisa Ngai!
290b1f0087	Bakomaki kokabola makanisi bango na bango: «Soki tolobi ete ewutaki na Nzambe, akotuna biso lisusu: bongo mpo na nini bondimaki ye te?
290b200086	Soki mpe tolobi ete ewutaki na bato, wana…» Solo, bazalaki kobanga bato, pamba te bato nyonso bazalaki kozwa Yoane lokola mosakoli.
290b21009f	Boye, bazongiselaki Yesu: — Toyebi te! Yesu mpe alobaki na bango: — Ngai mpe, nakoyebisa bino te soki na kombo ya bokonzi nini nazali kosala makambo yango.
290c01012c	Bongo Yesu akomaki koloba na bango na masese: — Moto moko alonaki elanga ya vino, atongaki lopango zingazinga na yango, atimolaki ekamolelo bambuma ya vino mpe atongaki ndako molayi ya bakengeli. Sima, apesaki elanga yango na maboko ya basali mpo ete bakoma kofutela yango, mpe akendeki na mobembo.
290c0200a7	Tango eleko ya kobuka bambuma ekokaki, atindaki mosali moko epai ya bafuteli elanga, mpo ete akende kokongola epai na bango ndambo ya bambuma kowuta na elanga ya vino.
290c03004f	Kasi bafuteli elanga bakangaki ye, babetaki ye mpe bazongisaki ye maboko pamba.
290c04004f	Atindelaki bango mosali mosusu; babetaki-betaki ye na moto mpe basambwisaki ye.
290c05008e	Atindaki lisusu mosali mosusu; oyo wana, babomaki ye. Bongo, na sima, atindaki lisusu bato ebele; kasi babetaki bamoko, mpe babomaki bamosusu.
290c0600a3	Nkolo elanga atikalaki kaka na moto moko ya kotinda: mwana na ye ya bolingo. Atindaki ye na suka na bango nyonso mpe amilobelaki: «Solo, bakotosa mwana na ngai.»
290c07008e	Kasi bafuteli elanga balobanaki bango na bango: «Tala mokitani ya libula ya elanga! Boya, toboma ye mpo ete libula ya elanga ekoma ya biso!»
290c080048	Bakangaki ye, babomaki ye mpe babwakaki ye na libanda ya elanga ya vino.
290c090093	Boye, nkolo elanga ya vino akosala nini? Akoya ye moko, akoboma bafuteli elanga wana mpe akopesa elanga yango ya vino na maboko ya bafuteli mosusu.
290c0a007c	Nanu botanga Makomi oyo te: «Libanga oyo batongi ndako babwakaki ekomi libanga ya songe ya ndako, mpe esimbi ndako mobimba?
290c0b0055	Ezali Nkolo nde alingaki bongo, mpe ezali penza likambo ya kokamwa na miso na biso!»
290c0c00e7	Bakonzi ya Banganga-Nzambe, balakisi ya Mobeko mpe bakambi ya bato bazalaki koluka nzela ya kokanga Yesu, pamba te basosolaki ete alobaki lisese wana mpo na bango. Kasi lokola babangaki bato, batikaki Ye; mpe moto na moto akendeki.
290c0d008b	Sima, batindelaki Yesu ndambo ya Bafarizeo mpe ndambo ya bato ya lisanga ya Erode mpo na koluka kokanga Ye na motambo ya maloba na Ye moko.
290c0e010f	Tango bakomaki epai na Ye, balobaki: — Moteyi, toyebi ete ozali moto ya sembo mpe obangaka bato te, pamba te oponaka bilongi te, kasi oteyaka na bosolo nzela ya Nzambe. Boni, Mobeko na biso epesi solo nzela ya kofuta mpako ya Sezare to te? Tosengeli penza kofuta yango?
290c0f00b5	Kasi lokola Yesu ayebaki ete bazali bato ya bilongi mibale, alobaki na bango: — Mpo na nini bozali kotiela Ngai motambo? Bomemela Ngai mbongo moko ya ebende, mpo ete namona yango.
290c10007e	Bamemelaki Ye yango, mpe atunaki bango: — Elilingi ya nani mpe makomi ya nani bozali komona awa? Bazongisaki: — Ya Sezare.
290c11008b	Yesu alobaki na bango: — Bopesa na Sezare, oyo ezali ya Sezare; mpe bopesa na Nzambe, oyo ezali ya Nzambe! Bakamwaki mingi eyano ya Yesu.
290c12005b	Bongo Basaduseo, ba-oyo balobaka ete lisekwa ezali te, bayaki epai na Yesu mpe batunaki Ye:
290c1300d2	— Moteyi, Moyize akomaki mpo na biso ete soki ndeko mobali ya moto moko akufi mpe atiki mwasi, kasi aboti na ye bana te, moto wana asengeli kobala mwasi oyo ndeko na ye atiki mpo ete abotela ndeko yango bana.
290c140072	Nzokande, ezalaki na bandeko mibali sambo. Ndeko mobali ya liboso abalaki mwasi mpe akufaki, kasi abotaki bana te.
290c150096	Ndeko ya mibale abalaki mwasi yango kaka; kasi ye mpe akufaki, atikalaki kobota bana te. Esalemaki kaka bongo na ndeko ya misato kino na oyo ya sambo:
290c16005e	bandeko nyonso sambo batikalaki kobota bana te. Sima na bango nyonso, mwasi yango mpe akufaki.
290c170095	Na mokolo oyo bato bakosekwa kati na bakufi, mwasi yango akozala mwasi ya nani kati na bandeko nyonso sambo, pamba te bango nyonso sambo babalaki ye?
290c18006e	Yesu azongiselaki bango: — Bozali kati na libunga, pamba te boyebi Makomi te, mpe boyebi nguya ya Nzambe te.
290c19006f	Na mokolo oyo bato bakosekwa kati na bakufi, bakobala lisusu te; kasi bakozala lokola ba-anjelu kati na Likolo.
290c1a00fc	Mpo na oyo etali lisekwa ya bakufi, botikala nanu kotanga te kati na buku ya Moyize, makambo oyo Nzambe alobaki na ye na tina na nzete oyo ezalaki kopela moto kasi ezalaki kozika te: «Nazali Nzambe ya Abrayami, Nzambe ya Izaki, mpe Nzambe ya Jakobi?»
290c1b006a	Nzambe azali Nzambe ya bakufi te, kasi azali Nzambe ya bato ya bomoi. Bozali penza kati na libunga monene.
290c1c00d2	Moko kati na balakisi ya Mobeko, oyo ayokaki bango kotiana tembe mpe amonaki ete Yesu azongiselaki bango biyano ya malamu, apusanaki pene na Yesu mpe atunaki: — Mobeko nini eleki monene kati ya mibeko nyonso?
290c1d007c	Yesu azongisaki: — Tala Mobeko oyo eleki monene: «Isalaele, yoka malamu! Yawe azali Nzambe na biso, Yawe azali kaka moko.
290c1e0085	Okolinga Yawe, Nzambe na yo, na motema na yo mobimba, na molimo na yo mobimba, na makanisi na yo nyonso mpe na makasi na yo nyonso.»
290c1f0082	Tala mobeko oyo elandi: «Okolinga moninga na yo ndenge yo moko omilingaka.» Mobeko ya motuya koleka mibeko wana mibale ezali te.
290c200079	Bongo molakisi ya Mobeko alobaki na ye: — Moteyi, olobi malamu; olobi solo ete Nzambe azali kaka moko, mosusu azali te.
290c2100d6	Kolinga Ye na motema na yo mobimba, na mayele na yo nyonso mpe na makasi na yo nyonso, mpe kolinga moninga na yo ndenge yo moko omilingaka, yango nde ezali na tina mingi koleka bambeka ya kotumba mpe makabo nyonso.
290c2200bc	Tango Yesu amonaki ete molakisi ya Mobeko azongisi eyano na ndenge ya mayele, alobaki na ye: — Ozali mosika te ya Bokonzi ya Nzambe. Mpe moto ata moko te amekaki lisusu kotuna Ye mituna.
290c23008b	Wana Yesu azalaki koteya kati na lopango ya Tempelo, atunaki: — Ndenge nini balakisi ya Mobeko balobaka ete Klisto azali Mwana ya Davidi?
290c2400c8	Pamba te Davidi, ye moko, alobaki boye na nzela ya Molimo Mosantu: «Yawe alobaki na Nkolo na ngai: ‹Vanda na ngambo ya loboko na Ngai ya mobali kino natia banguna na Yo na se ya matambe na Yo.›»
290c25008e	Soki ye moko Davidi azali kobenga Ye «Nkolo,» bongo ndenge nini akoki lisusu kozala mwana na ye? Ebele ya bato bazalaki koyoka Ye na esengo.
290c2600c2	Wana azalaki koteya, Yesu alobaki: — Bosala keba na balakisi ya Mobeko! Balingaka kotambola na banzambala ya milayi; balingaka ete bato bapesa bango mbote, na bisika oyo bato ebele bakutanaka;
290c27006d	balingaka kovanda na bakiti ya liboso, kati na bandako ya mayangani; mpe na bisika ya lokumu, kati na bafeti;
290c280089	bayibaka biloko ya basi oyo bakufisa mibali, mpe basalaka mabondeli ya milayi-milayi mpo na kokosa bato. Bakozwa etumbu oyo eleki makasi.
290c2900a2	Yesu avandaki liboso ya kitunga ya makabo mpe azalaki kotala ndenge bato bazalaki kotia mbongo kati na kitunga ya makabo. Bazwi ebele bazalaki kotia mbongo ebele.
290c2a006d	Mwasi mobola moko akufisa mobali ayaki mpe atiaki mbongo mibale ya bibende, oyo ezalaki na motuya moke penza.
290c2b00c7	Yesu abengaki bayekoli na Ye mpe alobaki na bango: — Nazali koloba na bino penza ya solo: mwasi mobola oyo akufisa mobali apesi koleka bato nyonso oyo bawuti kotia mbongo kati na kitunga ya makabo.
290c2c00df	Pamba te bato nyonso bazwi kati na mbongo oyo bazali na yango na tina te, mpo na kotia kati na kitunga ya makabo; kasi ye, kati na kokelela na ye, atie bozwi na ye nyonso, nyonso oyo azalaki na yango mpo na kobika na yango.
290d0100ac	Wana Yesu azalaki kobima longwa na Tempelo, moko kati na bayekoli na Ye alobaki na Ye: — Moteyi, tala ndenge mabanga oyo ezali kitoko! Tala ndenge Ndako oyo ezali monene!
290d020085	Yesu alobaki na ye: — Ozali komona bandako minene oyo! Libanga moko te ekotikala awa na likolo ya libanga mosusu, nyonso ekobukama.
290d03009e	Bongo Yesu avandaki na ngomba ya banzete ya olive, oyo etalana na Tempelo. Petelo, Jake, Yoane mpe Andre batunaki Yesu, na esika oyo bazalaki bango moko kaka:
290d040085	— Yebisa biso, makambo wana ekosalema tango nini? Mpe elembo nini ekotalisa biso ete makambo yango nyonso ekomi pene ya kokokisama?
290d050043	Yesu alobaki na bango: — Bosala keba ete moto moko te akosa bino!
290d06005e	Bato mingi bakoya na Kombo na Ngai mpe bakoloba: «Ngai nde Masiya,» mpe bakokosa bato ebele.
290d0700b4	Tango bokoyoka basango ya bitumba mpe nungunungu na tina na bitumba, kasi bomitungisa te mpo na yango; pamba te makambo wana esengeli kosalema, kasi ekozala nanu suka ya mokili te.
290d0800e0	Ekolo moko ekotelemela ekolo mosusu, bokonzi moko ekobundisa bokonzi mosusu, mabele ekoningana bipai na bipai, mpe nzala ekozala makasi penza. Makambo wana ekozala kaka ebandeli ya pasi lokola pasi ya mwasi oyo azali kobota.
290d090107	Kasi bosala keba, pamba te bakofunda bino na bisambiselo ya Bayuda mpe bakobeta bino fimbu kati na bandako ya mayangani. Likolo na Ngai, bokosamba liboso ya bayangeli mpe liboso ya bakonzi. Boye, ekozala mpo na bino libaku malamu ya kotatola solo na tina na Ngai.
290d0a0054	Pamba te esengeli ete Sango Malamu esakolama liboso epai ya bikolo nyonso ya mokili.
290d0b00d4	Tango bakokanga bino mpo na komema bino na bisambiselo, bomitungisa te mpo na koluka makambo ya koloba; boloba kaka oyo ekopesamela bino na tango wana, pamba te ekozala bino te bato bokoloba, kasi Molimo Mosantu.
290d0c0091	Ndeko akokaba ndeko na ye mpo ete baboma ye, tata akokaba mwana na ye mpo ete baboma ye, bana bakotombokela baboti na bango mpe bakobomisa bango.
290d0d0061	Bato nyonso bakoyina bino mpo na Kombo na Ngai, kasi moto oyo akoyika mpiko kino na suka akobika.
290d0e00a6	Tango bokomona makambo ya nkele kosalema kati na Esika ya bule, —tika ete motangi asosola malamu— wana tika ete bato oyo bakozala kati na Yuda bakima na bangomba;
290d0f006e	tika ete moto oyo akozala na likolo ya ndako akita te, mpo na kokende kozwa eloko songolo kati na ndako na ye;
290d100060	tika ete moto oyo akozala kati na bilanga azonga na ndako te, mpo na kokende kozwa elamba na ye!
290d110060	Na mikolo wana, mawa na basi oyo bakozala na bazemi mpe na ba-oyo bakozala komelisa bana mabele!
290d120044	Bosambela mpo ete makambo wana esalema te na eleko ya malili makasi.
290d13009f	Pamba te ekozala mikolo ya pasi, na lolenge oyo etikala nanu kozala te, wuta Nzambe akela mokili kino sik’oyo, mpe na lolenge oyo ekotikala kozala lisusu te.
290d14007f	Mpe soki Nkolo ayeisaki te mikolo yango moke, moto ata moko te akokaki kobika; kasi mpo na baponami na Ye, akoyeisa yango moke.
290d150064	Na tango wana, soki moto moko alobi na bino: «Klisto azali awa!» to «Azali kuna,» bondima ye te.
290d160093	Pamba te bamasiya ya lokuta mpe basakoli ya lokuta bakobima, bakosala bilembo minene mpe bikamwa mpo na kokosa ata baponami, soki ekokaki kosalema.
290d17003f	Boye bino, bosala keba! Ngai, namiyebiseli bino makambo nyonso.
290d18005a	Kasi na mikolo yango, sima na pasi wana, «moyi ekokoma molili, sanza ekongenga lisusu te,
290d190048	minzoto ekokweya longwa na Likolo, mpe banguya ya Likolo ekoningisama.»
290d1a0056	Bongo, bato bakomona Mwana na Moto koya kati na mapata, na nguya monene mpe na nkembo.
290d1b0092	Akotinda ba-anjelu na Ye mpe akosangisa baponami na Ye longwa na bangambo nyonso minei ya mokili, longwa na suka ya mabele kino na suka ya Likolo.
290d1c0097	Tika ete lisese ya nzete ya figi eteya bino: soki kaka bitape na yango elembi mpe ebandi kobimisa makasa, boyebaka ete eleko ya moyi makasi ekomi pene.
290d1d0084	Ndenge moko mpe mpo na bino; tango bokomona makambo wana kosalema, boyeba ete Mwana na Moto akomi pene, lokola na bikuke ya engumba.
290d1e0066	Nazali koloba na bino penza ya solo: bato ya ekeke oyo bakoleka te kino makambo wana nyonso ekosalema.
290d1f003a	Likolo mpe mabele ekoleka, kasi maloba na Ngai ekoleka te.
290d20007e	Mpo na oyo etali mokolo to ngonga, moko te ayebi yango, ezala ba-anjelu ya Likolo to Mwana; Ye moko kaka Tata nde ayebi yango.
290d210049	Bosala keba! Bosenzela! Pamba te boyebi te tango nini ngonga yango ekoya.
290d2200e4	Ekozala lokola moto oyo akei na mobembo, bongo atiki ndako na ye mpe apesi mokumba na yango epai ya basali na ye; apesi na mosali moko na moko mosala oyo ekoki na ye mpe apesi mitindo epai ya mokengeli ekuke ete akengela malamu.
290d23008d	Yango wana, bosenzela; pamba te boyebi te tango nini nkolo ndako akozonga: na pokwa to na midi ya butu to tango soso elelaka to mpe na tongo.
290d240046	Pamba te soki ayei na mbalakata, asengeli te kokuta bino bolali pongi.
290d25004e	Makambo oyo nalobi na bino, nazali koloba yango mpe na bato nyonso: Bosenzela.
290e0100d1	Wana etikalaki mikolo mibale mpo ete feti ya Pasika mpe feti ya Mapa ezanga levire ebanda, bakonzi ya Banganga-Nzambe mpe balakisi ya Mobeko bazalaki koluka ndenge nini kokanga Yesu na mayele mpo na koboma Ye;
290e020052	pamba te balobaki: «Tosala yango te na tango ya feti, noki te bato bakotomboka.»
290e03013d	Lokola Yesu azalaki na Betani, na ndako ya Simona oyo azalaki moto na maba, mwasi moko akotaki, wana Yesu azalaki na mesa. Na maboko na ye, azalaki na molangi ya alibatre etonda na malasi ya nar, oyo basangisa na eloko mosusu te mpe ya motuya makasi; afungolaki molangi yango mpe asopaki malasi yango na moto ya Yesu.
290e040079	Kati na bato oyo bazalaki wana, bamosusu basilikaki mpe balobaki: — Mpo na nini kobebisa malasi oyo na pamba kaka boye?
290e0500a1	Bakokaki ata koteka malasi yango na motuya ya mbongo ya bibende koleka nkama misato mpe kopesa mbongo yango epai ya babola! Bazalaki kopamela mwasi yango makasi.
290e06005e	Kasi Yesu alobaki: — Botika ye! Mpo na nini kotungisa ye? Asali Ngai likambo moko ya malamu.
290e07008d	Bokozalaka na babola tango nyonso mpe bokoki tango nyonso kosalelaka bango bolamu oyo bolingi; kasi Ngai, bokozalaka na Ngai tango nyonso te.
290e08006a	Mwasi oyo asali likambo oyo akoki, asili kosopela nzoto na Ngai malasi mpo na kobongisa kokundama na Ngai.
290e0900ac	Nazali koloba na bino penza ya solo: Esika nyonso bakosakola Sango Malamu kati na mokili mobimba, bakobanda mpe kolobela likambo mwasi oyo awuti kosala, mpo na kokanisa ye.
290e0a0089	Bongo Yuda Isikarioti, moko kati na bantoma zomi na mibale, akendeki epai ya bakonzi ya Banganga-Nzambe mpo na koteka Yesu epai na bango.
290e0b0077	Tango bayokaki bongo, basepelaki makasi mpe balakaki kopesa ye mbongo. Boye, Yuda akomaki koluka libaku ya kokaba Yesu.
290e0c00c8	Na mokolo ya liboso ya feti ya Mapa ezanga levire, mokolo oyo bazalaki koboma mwana meme lokola mbeka ya Pasika, bayekoli batunaki Ye: — Esika nini olingi ete tokende kobongisela Yo bilei ya Pasika?
290e0d009b	Bongo, kati na bayekoli na Ye, Yesu atindaki mibale; alobaki na bango: — Bokende kati na engumba, bokokutana na moto moko amemi eloku ya mayi; bolanda ye
290e0e00ae	mpe, tango akokota na ndako, boloba na nkolo ndako yango: «Moteyi azali kotuna yo: ‹Wapi shambre na Ngai epai wapi nakolia bilei ya Pasika elongo na bayekoli na Ngai?›»
290e0f00a6	Bongo ye akolakisa bino, na etaje ya suka, shambre moko ya monene, babongisa malamu mpe bakoki kosalela yango. Ezali kuna nde bokobongisa bilei ya Pasika mpo na biso.
290e10008e	Tango bayekoli bakendeki, bakotaki na engumba mpe bakutaki makambo nyonso ndenge kaka Yesu ayebisaki bango. Bongo babongisaki bilei ya Pasika.
290e110042	Tango pokwa ekomaki, Yesu ayaki elongo na bayekoli zomi na mibale.
290e1200a1	Wana bazalaki na mesa mpe bazalaki kolia, Yesu alobaki: — Nazali koloba na bino penza ya solo: moko kati na bino, oyo azali kolia elongo na Ngai, akoteka Ngai.
290e130052	Bayokaki mawa mingi, mpe bakomaki kotuna Ye, moko sima na moninga: — Ezali ngai?
290e140067	Yesu azongisaki: — Ezali moko kati na bino, zomi na mibale, oyo azali kolia sani moko elongo na Ngai.
290e1500b0	Solo, Mwana na Moto akokende, kolanda ndenge ekomama na tina na Ye; kasi mawa na moto oyo akoteka Mwana na Moto! Elingaki kozala malamu koleka mpo na moto yango ete abotama te.
290e1600a7	Wana bazalaki kolia, Yesu azwaki lipa; sima na Ye kozongisa matondi epai ya Nzambe, akataki yango, apesaki bango yango mpe alobaki: — Oyo ezali nzoto na Ngai! Bozwa.
290e17007a	Azwaki lisusu kopo; mpe sima na Ye kozongisa matondi epai ya Nzambe, apesaki bango yango, mpe bango nyonso bamelaki yango.
290e180067	Bongo alobaki na bango: — Oyo ezali makila na Ngai ya Boyokani, makila oyo esopani mpo na bato ebele.
290e190087	Nazali koloba na bino penza ya solo: nakomela lisusu vino oyo te kino na mokolo oyo nakomela yango, ya sika, kati na Bokonzi ya Nzambe.
290e1a005f	Sima na yango, bayembaki banzembo; bongo babimaki mpo na kokende na ngomba ya banzete ya olive.
290e1b0085	Yesu alobaki na bango: — Bino nyonso bokobungisa kondima, pamba te ekomama: «Nakobeta mobateli bibwele, mpe bameme ekopalangana.»
290e1c0040	Kasi, sima na Ngai kosekwa, nakokende na Galile, liboso na bino.
290e1d0079	Petelo alobaki na Ye: — Ata soki bango nyonso bakweyisi kondima na bango, ngai nakotikala kokweyisa kondima na ngai te.
290e1e009a	Yesu azongiselaki ye: — Nazali koloba na yo penza ya solo: lelo, kaka na butu ya lelo, liboso ete soso elela mbala mibale, okowangana Ngai mbala misato.
290e1f009c	Kasi Petelo akobaki kotia monoko makasi, alobaki: — Ata soki nasengeli kokufa elongo na Yo, nakowangana yo te. Mpe bango nyonso balobaki kaka ndenge moko.
290e200085	Tango bakomaki na esika oyo kombo na yango ezali Getisemane, Yesu alobaki na bayekoli na Ye: — Botikala awa, wana Ngai nakosambela.
290e210047	Wana amemaki Petelo, Jake mpe Yoane, akomaki mawa-mawa mpe komitungisa;
290e22005c	alobaki na bango: — Motema na Ngai etondi na mawa pene nakufa; botikala awa mpe bosenzela.
290e230092	Wana akendeki mwa mosika, amikitisaki na mabele mpe azalaki kosambela Nzambe mpo ete, soki ekoki kosalema, tango wana ya pasi ekende mosika na Ye.
290e2400b4	Azalaki kobondela: — Tata! Epai na Yo, nyonso ekoki kosalema! Longola kopo oyo ya pasi liboso na Ngai! Nzokande, kosala te kolanda mokano na Ngai, kasi sala kolanda mokano na Yo.
290e2500a1	Bongo azongaki epai bayekoli na Ye bazalaki mpe akutaki bango balala pongi. Alobaki na Petelo: — Simona, ozali kolala? Okokaki te kosenzela mpo na ngonga moko?
290e26008b	Bosenzela mpe bosambela mpo ete bokweya te kati na komekama. Molimo ezalaka na posa makasi ya kosala malamu, kasi nzoto ezalaka na bolembu.
290e27003b	Akendeki lisusu mwa mosika mpe abondelaki kaka ndenge moko.
290e2800b2	Azongaki lisusu epai bayekoli na Ye bazalaki mpe akutaki bango lisusu balala pongi, pamba te bayokaki pongi makasi mpe miso na bango ekomaki kilo. Bayebaki te eyano ya kopesa Ye.
290e2900b0	Azongaki mpo na mbala ya misato, mpe alobaki na bango: — Bozali kaka kokoba kolala pongi mpe kopema? Esili! Ngonga ekoki. Mwana na Moto akokabama na maboko ya bato ya masumu.
290e2a0032	Botelema; tokende. Moto oyo ateki Ngai azali koya.
290e2b00ea	Wana Yesu azalaki nanu koloba, Yuda, moko kati na bayekoli zomi na mibale, akomaki elongo na bato ebele oyo basimbaki mipanga mpe banzete; ezalaki bakonzi ya Banganga-Nzambe, balakisi ya Mobeko mpe bakambi ya bato nde batindaki bango.
290e2c0097	Moto oyo atekaki Yesu apesaki bango elembo moko: «Moto oyo ngai nakopesa beze, ezali nde ye; bokokanga ye mpe bokomema ye na se ya bokengeli malamu.»
290e2d0062	Tango kaka Yuda akomaki, akendeki epai ya Yesu mpe alobaki na Ye: — Moteyi! Mpe apesaki Ye beze.
290e2e0036	Mbala moko, basimbaki Yesu na makasi mpe bakangaki Ye.
290e2f00a6	Bongo moko kati na bato oyo bazalaki wana abimisaki mopanga na ye wuta na ebombelo na yango, abetaki yango mosali ya mokonzi ya Banganga-Nzambe mpe akataki ye litoyi.
290e300066	Yesu alobaki na bango: — Boni, nakomi motomboki mpo ete boya kokanga Ngai na mipanga mpe na banzete?
290e3100ab	Nazalaki elongo na bino mikolo nyonso kati na lopango ya Tempelo mpo na kopesa malakisi na Ngai, mpe bokangaki Ngai te. Kasi ezali kosalema bongo mpo ete Makomi ekokisama.
290e320032	Bayekoli na Ye nyonso basundolaki Ye mpe bakimaki.
290e330063	Nzokande, elenge mobali moko azalaki kolanda Yesu; alataki liputa ya pamba. Mpe tango bakangaki ye,
290e34001e	asundolaki liputa mpe akimaki.
290e350099	Bamemaki Yesu epai ya mokonzi ya Banganga-Nzambe epai wapi bakonzi ya Banganga-Nzambe, bakambi ya bato mpe balakisi ya Mobeko, bango nyonso, basanganaki.
290e3600af	Petelo azalaki kolanda Yesu na mosika, kino kati na lopango ya ndako ya mokonzi ya Banganga-Nzambe; avandaki kuna elongo na bakengeli, pene ya moto, mpe azalaki koyetola moto.
290e3700d7	Nzokande bakonzi ya Banganga-Nzambe mpe bato nyonso ya Likita-Monene ya Bayuda bazalaki koluka litatoli moko oyo ekobimisa polele mabe ya Yesu mpo ete bakoka kokatela Ye etumbu ya kufa, kasi bazalaki kozwa yango te;
290e38005d	pamba te bato mingi bazalaki kokosela Ye makambo, kasi matatoli na bango ezalaki kokokana te.
290e390049	Mpo na kaka kokosela Ye makambo, bato mosusu bazalaki kotelema na koloba:
290e3a00ab	«Toyokaki ye koloba: ‹Ngai, nakobuka Tempelo oyo esalema na maboko ya bato; mpe sima na mikolo misato, nakotonga Tempelo mosusu oyo ekosalema na maboko ya bato te.›»
290e3b003b	Kasi atako bongo, litatoli na bango ezalaki kaka ya lokuta.
290e3c00b7	Mokonzi ya Banganga-Nzambe atelemaki kati na mayangani mpe apesaki Yesu motuna: — Boni, ozali te na liloba ya kozongisa? Olobi nini liboso ya makambo oyo bazali kofunda yo na yango?
290e3d0094	Kasi Yesu abatelaki kimia mpe apesaki ata eyano moko te. Mokonzi ya Banganga-Nzambe atunaki Ye lisusu: — Ozali Klisto, Mwana ya Ye oyo apambolama?
290e3e00a8	Yesu azongisaki: — Iyo, ezali se bongo. Mpe bokomona Mwana na Moto kovanda na ngambo ya loboko ya mobali ya Nkolo-Na-Nguya-Nyonso mpe koya elongo na mapata ya Likolo.
290e3f006d	Bongo mokonzi ya Banganga-Nzambe apasolaki bilamba na ye mpe alobaki: — Mpo na nini koluka lisusu batatoli?
290e400091	Bino moko boyoki ndenge nini afingi Nzambe. Bokanisi nini mpo na yango? Boye, bango nyonso bakatelaki Yesu etumbu, batatolaki ete abongi na kufa.
290e410099	Bato mosusu bakomaki kobwakela Ye soyi, kozipa Ye elongi, kobeta Ye makofi na koloba na Ye: — Sakola! Mpe bakengeli bazwaki Ye mpe babetaki Ye bambata.
290e42006f	Wana Petelo azalaki na se, kati na lopango ya kati, mwasi mosali moko ya mokonzi ya Banganga-Nzambe ayaki wana,
290e430082	amonaki Petelo koyetola moto. Sima na ye kotala Petelo malamu, alobaki na ye: — Yo mpe ozalaki elongo na Yesu, moto ya Nazareti!
290e4400b5	Kasi Petelo awanganaki; alobaki: — Nayebi te! Nazali kutu kososola te makambo oyo ozali koloba! Bongo abimaki mpe akendeki kotelema pembeni, na ekuke ya lopango; mpe soso elelaki.
290e45006f	Tango mwasi mosali amonaki ye, alobaki lisusu na bato oyo bazalaki wana: — Moto oyo azali moko kati na bango!
290e4600b4	Petelo awanganaki lisusu. Sima na mwa tango moke, bato oyo bazalaki wana bazongelaki koloba na Petelo: — Ezali ya solo, yo mpe ozali moko kati na bango, mpe ozali moto ya Galile.
290e470065	Bongo Petelo abandaki kolapa ndayi esangana na bilakeli mabe: — Nayebi te moto oyo bozali kolobela!
290e4800c9	Kaka na tango yango, soso elelaki mpo na mbala ya mibale. Bongo Petelo akanisaki maloba oyo Yesu alobaki na ye: «Liboso ete soso elela mbala mibale, okowangana Ngai mbala misato.» Mpe alelaki makasi.
290f0100ee	Tango tongo etanaki, bakonzi ya Banganga-Nzambe, bakambi ya bato, balakisi ya Mobeko mpe bato nyonso ya Likita-Monene ya Bayuda basanganaki mpo na kokata likambo. Bakangaki Yesu na basinga, bamemaki Ye mpe bakabaki Ye na maboko ya Pilato.
290f020059	Pilato atunaki Yesu: — Boni, ozali mokonzi ya Bayuda? Yesu azongisaki: — Olobi yango.
290f030040	Bakonzi ya Banganga-Nzambe bazalaki kofunda Ye na makambo ebele.
290f040077	Pilato atunaki Ye lisusu: — Boni, ozali te na eyano ya kopesa, na makambo nyonso oyo bazali koloba mpo na kofunda yo?
290f050044	Kasi Yesu azongisaki ata liloba moko te; mpe Pilato akamwaki makasi.
290f06005e	Na feti nyonso ya Pasika, azalaki kobimisa na boloko mokangami moko oyo bato bazalaki kosenga.
290f070098	Na tango wana, moto oyo bazalaki kobenga «Barabasi» azalaki kati na boloko elongo na batomboki oyo bayeisaki mobulu kati na engumba mpe babomaki moto.
290f080071	Ebele ya bato bayaki mpe basengaki na Pilato ete asalela bango makambo oyo amesana kosalela bango mbala na mbala.
290f09003e	Pilato atunaki: — Bolingi nabimisela bino mokonzi ya Bayuda?
290f0a006c	Pilato ayebaki malamu ete ezali mpo na likunya nde bakonzi ya Banganga-Nzambe bakabaki Yesu na maboko na ye.
290f0b007d	Bakonzi ya Banganga-Nzambe batindikaki ebele ya bato mpo ete basenga na Pilato ete abimisela bango Barabasi longwa na boloko.
290f0c0053	Pilato atunaki bango: — Nasala nini na moto oyo bozali kobenga mokonzi ya Bayuda?
290f0d0029	Bagangaki lisusu: — Baka ye na ekulusu!
290f0e0073	Pilato atunaki bango lisusu: — Mabe nini asali? Kasi bakobaki kaka koganga makasi koleka: — Baka ye na ekulusu!
290f0f00bd	Lokola Pilato alingaki kosepelisa ebele ya bato, abimiselaki bango Barabasi longwa na boloko. Sima na kobetisa Yesu fimbu, Pilato apesaki Ye na maboko na bango mpo ete babaka Ye na ekulusu.
