0100000009	1 Mosebok
2a0216007b	Og da deres renselses-dager efter Mose lov var til ende, førte de ham op til Jerusalem for å stille ham frem for Herren -
2a02170065	som det er skrevet i Herrens lov: Alt mannkjønn som åpner mors liv, skal kalles hellig for Herren -
2a0218005e	og for å gi offer, efter det som er sagt i Herrens lov, et par turtelduer eller to due-unger.
2a0219009e	Og se, det var en mann i Jerusalem ved navn Simeon, og denne mann var rettferdig og gudfryktig og ventet på Israels trøst; og den Hellige Ånd var over ham,
2a021a006f	og det var åpenbaret ham av den Hellige Ånd at han ikke skulde se døden før han hadde sett Herrens salvede.
2a021b0083	Han kom, drevet av Ånden, inn i templet, og da foreldrene førte barnet Jesus inn for å gjøre med ham som skikk var efter loven,
2a021c0031	da tok han ham på sine armer og lovet Gud og sa:
2a021d003f	Herre! nu lar du din tjener fare herfra i fred, efter ditt ord;
2a021e0023	for mine øine har sett din frelse,
2a021f0027	som du har beredt for alle folks åsyn,
2a0220004d	et lys til åpenbarelse for hedningene, og en herlighet for ditt folk Israel.
2a02210041	Og hans far og hans mor undret sig over det som blev talt om ham.
2a02220090	Og Simeon velsignet dem, og sa til hans mor Maria: Se, denne er satt til fall og opreisning for mange i Israel, og til et tegn som blir motsagt;
2a02230060	men også din sjel skal et sverd gjennemstinge, forat mange hjerters tanker skal bli åpenbaret.
2a0224009b	Og der var en profetinne, Anna, Fanuels datter, av Asers stamme; hun var kommet langt ut i årene, hadde levd med sin mann i syv år efter sin jomfrustand,
2a0225008b	og nu for sig selv som enke inntil en alder av fire og åtti år; hun vek aldri fra templet, men tjente Gud med faste og bønn natt og dag.
2a0226007a	Og hun trådte til i samme stund og priste Gud, og hun talte om ham til alle dem som ventet på forløsning for Jerusalem.
2a02270062	Og da de hadde fullført alt efter Herrens lov, vendte de tilbake til Galilea, til sin by Nasaret.
2a02280053	Men barnet vokste og blev sterkt og fullt av visdom, og Guds velbehag var over ham.
2a0229003f	Og hans foreldre drog hvert år til Jerusalem til påskefesten.
2a022a004f	Og da han var tolv år gammel, drog de der op, som det var skikk på høitiden;
2a022b0090	og da de hadde vært der de dager til ende, og de vendte hjem igjen, blev barnet Jesus tilbake i Jerusalem, og hans foreldre visste ikke om det.
2a022c007b	Men da de trodde at han var i reisefølget, kom de en dags reise frem, og lette efter ham blandt slektninger og kjenninger;
2a022d004b	og da de ikke fant ham, vendte de tilbake til Jerusalem og lette efter ham.
2a022e0080	Og det skjedde tre dager derefter, da fant de ham i templet; der satt han midt iblandt lærerne og hørte på dem og spurte dem,
2a022f0055	og alle som hørte ham, var ute av sig selv av forundring over hans forstand og svar.
2a02300091	Og da de så ham, blev de forferdet, og hans mor sa til ham: Barn! hvorfor gjorde du oss dette? Se, din far og jeg har lett efter dig med smerte.
2a0231005e	Og han sa til dem: Hvorfor lette I efter mig? Visste I ikke at jeg må være i min Faders hus?
2a0232002e	Men de forstod ikke det ord han talte til dem.
2a0233006d	Og han gikk ned med dem og kom til Nasaret og var dem lydig. Og hans mor gjemte alle disse ord i sitt hjerte.
2a02340044	Og Jesus gikk frem i visdom og alder og yndest hos Gud og mennesker.
2a030100f8	I det femtende år av keiser Tiberius' regjering, mens Pontius Pilatus var landshøvding i Judea, og Herodes fjerdingsfyrste i Galilea, og hans bror Filip fjerdingsfyrste i det itureiske og trakonittiske land, og Lysanias fjerdingsfyrste i Abilene,
2a03020064	mens Annas og Kaifas var yppersteprester, da kom Guds ord til Johannes, Sakarias' sønn, i ørkenen;
2a0303005e	og han kom rundt i hele landet om Jordan og forkynte omvendelses dåp til syndenes forlatelse,
2a03040090	således som det er skrevet i profeten Esaias' talers bok: Det er en røst av en som roper i ørkenen: Rydd Herrens vei, gjør hans stier jevne!
2a03050077	Hver dal skal fylles, og hvert fjell og hver haug skal senkes, og det krokete skal rettes, og de knudrete veier jevnes,
2a03060021	og alt kjød skal se Guds frelse.
2a03070071	Han sa da til folket som drog ut for å døpes av ham: Ormeyngel! hvem lærte eder å fly for den kommende vrede?
2a030800b3	Bær derfor frukter som er omvendelsen verdige, og gi eder ikke til å si ved eder selv: Vi har Abraham til far! for jeg sier eder at Gud kan opvekke Abraham barn av disse stener.
2a03090083	Øksen ligger også allerede ved roten av trærne; derfor blir hvert tre som ikke bærer god frukt, hugget ned og kastet på ilden.
2a030a002d	Og folket spurte ham: Hvad skal vi da gjøre?
2a030b0072	Han svarte dem: Den som har to kjortler, skal dele med den som ingen har, og den som har mat, skal gjøre likeså!
2a030c0053	Men også toldere kom for å døpes, og de sa til ham: Mester! hvad skal vi gjøre?
2a030d003c	Han sa til dem: Krev ikke mere enn hvad eder er foreskrevet!
2a030e00ad	Men også krigsfolk spurte ham og sa: Og vi, hvad skal vi gjøre? Og han sa til dem: Press ikke penger ut av nogen ved vold eller ved svik, og la eder nøie med eders lønn!
2a030f0065	Men da folket gikk i forventning, og alle tenkte i sitt hjerte på Johannes, om ikke han var Messias,
2a031000c6	da svarte Johannes og sa til alle: Jeg døper eder med vann; men den kommer som er sterkere enn jeg, han hvis skorem jeg ikke er verdig til å løse; han skal døpe eder med den Hellige Ånd og ild;
2a0311008d	han har sin kasteskovl i sin hånd, og han skal rense sin låve og samle hveten i sin lade, men agnene skal han brenne op med uslukkelig ild.
2a03120049	Også mange andre formaninger gav han folket, og forkynte dem evangeliet.
2a0313007f	Men fjerdingsfyrsten Herodes, som blev refset av ham for sin brorkone Herodias' skyld, og for alt det onde Herodes hadde gjort,
2a03140047	han la også dette til alt det andre, at han kastet Johannes i fengsel.
2a03150065	Men det skjedde da alt folket lot sig døpe, og Jesus var blitt døpt og bad, da åpnet himmelen sig,
2a0316009a	og den Hellige Ånd kom ned over ham i legemlig skikkelse, som en due, og en røst kom fra himmelen: Du er min Sønn, den elskede; i dig har jeg velbehag.
2a03170089	Og Jesus selv var omkring tretti år da han begynte sin gjerning, og han var, efter det folk holdt ham for, sønn av Josef, sønn av Eli,
2a03180050	sønn av Mattat, sønn av Levi, sønn av Melki, sønn av Jannai, sønn av Josef,
2a03190052	sønn av Mattatias, sønn av Amos, sønn av Nahum, sønn av Esli, sønn av Naggai,
2a031a0053	sønn av Ma'at, sønn av Mattatias, sønn av Sime'i, sønn av Josek, sønn av Joda,
2a031b0056	sønn av Johanan, sønn av Resa, sønn av Serubabel, sønn av Sealtiel, sønn av Neri,
2a031c004d	sønn av Melki, sønn av Addi, sønn av Kosam, sønn av Elmadam, sønn av Er,
2a031d0051	sønn av Josva, sønn av Elieser, sønn av Jorim, sønn av Mattat, sønn av Levi,
2a031e0051	sønn av Simeon, sønn av Juda, sønn av Josef, sønn av Jonam, sønn av Eljakim,
2a031f0050	sønn av Melea, sønn av Mana, sønn av Mattata, sønn av Natan, sønn av David,
2a0320004e	sønn av Isai, sønn av Obed, sønn av Boas, sønn av Salmon, sønn av Nahson,
2a03210050	sønn av Aminadab, sønn av Ram, sønn av Hesron, sønn av Peres, sønn av Juda,
2a03220050	sønn av Jakob, sønn av Isak, sønn av Abraham, sønn av Tarah, sønn av Nakor,
2a0323004d	sønn av Serug, sønn av Re'u, sønn av Peleg, sønn av Eber, sønn av Salah,
2a0324004f	sønn av Kenan, sønn av Arpaksad, sønn av Sem, sønn av Noah, sønn av Lamek,
2a03250055	sønn av Metusalah, sønn av Enok, sønn av Jared, sønn av Malalael, sønn av Kenan,
2a03260037	sønn av Enos, sønn av Set, sønn av Adam, Guds sønn.
2a04010068	Men Jesus vendte tilbake fra Jordan, full av den Hellige Ånd, og han blev av Ånden ført om i ørkenen
2a0402006b	og i firti dager fristet av djevelen. Og han åt intet i de dager, og da de var til ende, blev han hungrig.
2a04030059	Da sa djevelen til ham: Er du Guds Sønn, da si til denne sten at den skal bli til brød!
2a04040060	Og Jesus svarte ham: Det er skrevet: Mennesket lever ikke av brød alene, men av hvert Guds ord.
2a0405005c	Og djevelen førte ham op på et høit fjell og viste ham alle verdens riker i et øieblikk.
2a04060091	Og djevelen sa til ham: Dig vil jeg gi makten over alt dette og disse rikers herlighet; for mig er det overgitt, og jeg gir det til hvem jeg vil;
2a04070046	vil nu du falle ned og tilbede mig, da skal det alt sammen være ditt.
2a04080066	Og Jesus svarte ham og sa: Det er skrevet: Du skal tilbede Herren din Gud, og ham alene skal du tjene.
2a04090079	Og han førte ham til Jerusalem og stilte ham på templets tinde og sa til ham: Er du Guds Sønn, da kast dig ned herfra!
2a040a0052	for det er skrevet: Han skal gi sine engler befaling om dig at de skal bevare dig,
2a040b0053	og de skal bære dig på hendene, forat du ikke skal støte din fot på nogen sten.
2a040c004f	Og Jesus svarte og sa til ham: Det er sagt: Du skal ikke friste Herren din Gud.
2a040d0044	Og da djevelen hadde endt all fristelse, vek han fra ham for en tid.
2a040e0068	Og Jesus vendte i Åndens kraft tilbake til Galilea, og rykte om ham kom ut over hele landet deromkring.
2a040f0037	Og han lærte i deres synagoger, og blev prist av alle.
2a0410008a	Og han kom til Nasaret, hvor han var opfostret, og gikk efter sin sedvane på sabbatsdagen inn i synagogen og stod op for å lese for dem.
2a04110063	Og de gav ham profeten Esaias' bok, og da han slo boken op, fant han det sted hvor det var skrevet:
2a041200d9	Herrens Ånd er over mig, fordi han salvet mig til å forkynne evangeliet for fattige; han har utsendt mig for å forkynne fanger at de skal få frihet, og blinde at de skal få syn, for å sette undertrykte i frihet,
2a0413002f	for å forkynne et velbehagelig år fra Herren.
2a04140077	Og han lukket boken og gav den til tjeneren og satte sig, og alle som var i synagogen, hadde sine øine festet på ham.
2a04150055	Han begynte da med å si til dem: Idag er dette Skriftens ord opfylt for eders ører.
2a0416007e	Og alle gav ham vidnesbyrd og undret sig over de livsalige ord som gikk ut av hans munn, og de sa: Er ikke dette Josefs sønn?
2a0417009f	Og han sa til dem: I vil visst si til mig dette ordsprog: Læge, læg dig selv! Hvad vi har hørt du gjorde i Kapernaum, gjør det også her på ditt hjemsted!
2a04180054	Men han sa: Sannelig sier jeg eder: Ingen profet blir vel mottatt på sitt hjemsted.
2a041900b3	Og i sannhet sier jeg eder: Det var mange enker i Israel i Elias' dager, dengang da himmelen blev lukket for tre år og seks måneder, da det blev en stor hunger over hele landet,
2a041a0053	og til ingen av dem blev Elias sendt, men bare til en enke i Sarepta i Sidons land.
2a041b0073	Og det var mange spedalske i Israel på profeten Elisas tid, og ingen av dem blev renset, men bare syreren Na'aman.
2a041c003b	Og alle i synagogen blev fulle av vrede da de hørte dette,
2a041d0081	og de stod op og drev ham ut av byen og førte ham ut på brynet av det fjell som deres by var bygget på, for å styrte ham ned.
2a041e002f	Men han gikk midt gjennem flokken og drog bort.
2a041f004a	Og han kom ned til Kapernaum, en by i Galilea, og lærte dem på sabbaten,
2a04200050	og de var slått av forundring over hans lære; for hans tale var med myndighet.
2a0421005b	Og i synagogen var det en mann som var besatt av en uren ånd, og han ropte med høi røst:
2a0422007d	Å, hvad har vi med dig å gjøre, Jesus fra Nasaret? Du er kommet for å ødelegge oss; jeg vet hvem du er, du Guds hellige!
2a04230085	Og Jesus truet den og sa: Ti, og far ut av ham! Og den onde ånd kastet ham ned midt iblandt dem og fór ut av ham uten å skade ham.
2a04240098	Og redsel kom over alle, og de talte med hverandre og sa: Hvad er dette for et ord? for med myndighet og makt byder han de urene ånder, og de farer ut!
2a0425003a	Og rykte om ham kom ut til hvert sted i landet deromkring.
2a04260081	Og han stod op og forlot synagogen, og gikk inn i Simons hus. Men Simons svigermor lå i sterk feber, og de bad ham hjelpe henne.
2a04270062	Og han stod over henne og truet feberen, og den forlot henne; og straks stod hun op og tjente dem.
2a042800a6	Men da solen gikk ned, kom alle som hadde syke som led av forskjellige sykdommer, og førte dem til ham; og han la sine hender på hver især av dem og helbredet dem.
2a04290093	Også onde ånder fór ut av mange, og de ropte: Du er Guds Sønn! Og han truet dem og tillot dem ikke å tale, fordi de visste at han var Messias.
2a042a00a6	Men da det var blitt dag, gikk han ut og drog til et øde sted, og folket lette efter ham, og de kom like til ham og holdt på ham, forat han ikke skulde gå fra dem.
2a042b006e	Men han sa til dem: Også i de andre byer må jeg forkynne evangeliet om Guds rike; for dertil er jeg utsendt.
2a042c002d	Og han forkynte ordet i synagogene i Galilea.
2a05010068	Men det skjedde da folket trengte sig inn på ham og hørte Guds ord, og han stod ved Gennesaret-sjøen,
2a0502005b	da så han to båter ligge ved sjøen; men fiskerne var gått ut av dem og skyllet garnene.
2a05030083	Han gikk da ut i en av båtene, som tilhørte Simon, og bad ham legge litt ut fra land; og han satte sig i båten og lærte folket.
2a05040065	Men da han holdt op å tale, sa han til Simon: Legg ut på dypet, og kast eders garn ut til en drett!
2a05050077	Og Simon svarte ham: Mester! vi har strevet hele natten og ikke fått noget; men på ditt ord vil jeg kaste ut garnene.
2a05060046	Og de gjorde så, og fanget en stor mengde fisk; og deres garn revnet.
2a05070098	Og de vinket til sine lagsbrødre i den andre båt, at de skulde komme og ta i med dem; og de kom, og de fylte begge båtene, så de holdt på å synke.
2a0508006d	Men da Simon Peter så det, falt han ned for Jesu knær og sa: Herre, gå fra mig! for jeg er en syndig mann.
2a0509005b	For redsel kom over ham og alle dem som var med ham, for den fiskedrett som de hadde fått;
2a050a008c	likeså Jakob og Johannes, Sebedeus' sønner, som var i lag med Simon. Og Jesus sa til Simon: Frykt ikke! fra nu av skal du fange mennesker.
2a050b0037	Da rodde de båtene i land og forlot alt og fulgte ham.
2a050c00c2	Og det skjedde da han var i en av byene, se, da var det en mann som var full av spedalskhet; og da han så Jesus, falt han ned på sitt ansikt, bad ham og sa: Herre! om du vil, kan du rense mig.
2a050d0066	Og Jesus rakte hånden ut, rørte ved ham og sa: Jeg vil; bli ren! Og straks forlot spedalskheten ham.
2a050e00a7	Og han bød ham at han ikke skulde si det til nogen; men gå og te dig for presten og ofre for din renselse, således som Moses har påbudt, til et vidnesbyrd for dem!
2a050f0074	Men ordet om ham kom ennu mere ut, og meget folk kom sammen for å høre og for å bli helbredet for sine sykdommer;
2a0510003c	men han drog sig tilbake til øde steder og var der i bønn.
2a051100be	Og det skjedde en av dagene mens han lærte, og der satt fariseere og lovlærere som var kommet fra hver by i Galilea og Judea og fra Jerusalem, og Herrens kraft var hos ham til å helbrede:
2a0512007f	se, da kom nogen menn som bar en mann på en seng, han var verkbrudden; og de søkte å få ham inn og legge ham ned foran ham.
2a05130099	Og da de for folketrengselen ikke fant nogen vei til å få ham inn, steg de op på taket og firte ham med sengen ned mellem takstenene midt foran Jesus.
2a05140046	Og da han så deres tro, sa han: Menneske! dine synder er dig forlatt.
2a0515008a	Da begynte de skriftlærde og fariseerne å tenke så: Hvem er denne mann, som taler bespottelser? Hvem kan forlate synder uten Gud alene?
2a05160061	Men da Jesus merket deres tanker, svarte han og sa til dem: Hvad er det I tenker i eders hjerter?
2a05170056	Hvad er lettest, enten å si: Dine synder er dig forlatt, eller å si: Stå op og gå?
2a051800b2	Men forat I skal vite at Menneskesønnen har makt på jorden til å forlate synder - så sa han til den verkbrudne: Jeg sier dig: Stå op og ta din seng og gå hjem til ditt hus!
2a05190066	Og straks stod han op for deres øine og tok det han lå på, og gikk hjem til sitt hus og priste Gud.
2a051a0078	Da kom det forferdelse over dem alle, og de priste Gud, og de blev fulle av frykt og sa: Idag har vi sett utrolige ting!
2a051b006b	Derefter gikk han ut, og han så en tolder ved navn Levi sitte på tollboden; og han sa til ham: Følg mig!
2a051c002b	Og han forlot alt og stod op og fulgte ham.
2a051d007c	Og Levi gjorde et stort gjestebud for ham i sitt hus, og der var en stor mengde toldere og andre som satt til bords med dem.
2a051e0076	Og fariseerne og deres skriftlærde knurret mot hans disipler og sa: Hvorfor eter og drikker I med toldere og syndere?
2a051f0055	Og Jesus svarte og sa til dem: De friske trenger ikke til læge, men de som har ondt;
2a05200048	jeg er ikke kommet for å kalle rettferdige, men syndere til omvendelse.
2a0521007b	De sa til ham: Johannes' disipler holder jevnlig faste og bønn, og fariseernes disipler likeså; men dine eter og drikker.
2a0522005f	Men Jesus sa til dem: Kan I vel få brudesvennene til å faste så lenge brudgommen er hos dem?
2a05230056	Men de dager skal komme da brudgommen blir tatt fra dem; da skal de faste, i de dager.
2a052400bc	Han sa også en lignelse til dem: Ingen river en lapp av et nytt klædebon og setter den på et gammelt; ellers river han det nye i sønder, og lappen av det nye passer ikke til det gamle.
2a0525007e	Og ingen fyller ny vin i gamle skinnsekker; ellers vil den nye vin sprenge sekkene, og den selv spilles og sekkene ødelegges;
2a05260029	men ny vin skal fylles i nye skinnsekker.
2a05270051	Og ingen som har drukket gammel vin, har lyst på ny; han sier: den gamle er god.
2a06010085	Det skjedde på den næst-første sabbat at han gikk gjennem en aker, og hans disipler plukket aks og gned dem ut med hendene og åt.
2a0602005e	Da sa nogen av fariseerne: Hvorfor gjør I det som det ikke er tillatt å gjøre på sabbaten?
2a06030076	Og Jesus svarte og sa til dem: Har I da ikke lest hvad David gjorde da han var sulten, han selv og de som var med ham,
2a06040094	hvorledes han gikk inn i Guds hus og tok skuebrødene og åt, og gav også dem som var med ham? Og dem har ingen lov til å ete uten prestene alene.
2a06050040	Og han sa til dem: Menneskesønnen er herre også over sabbaten.
2a0606007a	Og det skjedde på en annen sabbat at han gikk inn i synagogen og lærte; og der var en mann hvis høire hånd var vissen.
2a0607007d	Men de skriftlærde og fariseerne lurte på ham, om han vilde helbrede på sabbaten, forat de kunde finne klagemål imot ham.
2a06080081	Men han visste deres tanker, og han sa til mannen som hadde den visne hånd: Stå op og kom frem! Og han stod op og trådte frem.
2a06090089	Da sa Jesus til dem: Jeg spør eder om det er tillatt på sabbaten å gjøre godt eller å gjøre ondt, å berge liv eller å spille det?
2a060a0074	Og han så omkring på dem alle og sa til ham: Rekk din hånd ut! Og han gjorde så, og hans hånd blev frisk igjen.
2a060b0054	Men de blev rent rasende, og talte med hverandre om hvad de skulde gjøre med Jesus.
2a060c006b	Og det skjedde i de dager at han gikk op i fjellet for å bede, og han var der hele natten i bønn til Gud.
2a060d0071	Og da det blev dag, kalte han sine disipler til sig, og han valgte sig ut tolv av dem og gav dem navnet apostler:
2a060e0069	Simon, som han også gav navnet Peter, og hans bror Andreas, og Jakob og Johannes og Filip og Bartolomeus
2a060f004a	og Matteus og Tomas og Jakob, Alfeus' sønn, og Simon, som kaltes ivreren,
2a0610003e	og Judas, Jakobs sønn, og Judas Iskariot, som blev forræder.
2a061100be	Og han gikk ned med dem, og han blev stående på en slette, og med ham en stor flokk av hans disipler og en stor mengde folk fra hele Judea og Jerusalem og fra havkanten ved Tyrus og Sidon,
2a0612007d	som var kommet for å høre ham og for å bli lægt for sine sykdommer; og de som var plaget av urene ånder, blev helbredet.
2a0613005a	Og alt folket søkte å få røre ved ham; for en kraft gikk ut fra ham og helbredet alle.
2a0614005f	Og han løftet sine øine på sine disipler og sa: Salige er I fattige; for Guds rike er eders.
2a06150059	Salige er I som nu hungrer; for I skal mettes. Salige er I som nu gråter; for I skal le.
2a061600a2	Salige er I når menneskene hater eder, og når de ikke vil vite av eder, og spotter eder og kaster eders navn fra sig som noget ondt, for Menneskesønnens skyld.
2a06170084	Gled eder på den dag og spring av fryd! for se, eders lønn er stor i himmelen; for på samme vis gjorde deres fedre med profetene.
2a0618003b	Men ve eder, I rike! for I har allerede fått eders trøst.
2a06190062	Ve eder, I som nu er mette! for I skal hungre. Ve eder, I som nu ler! for I skal sørge og gråte.
2a061a006b	Ve eder når alle mennesker taler vel om eder! for på samme vis gjorde deres fedre med de falske profeter.
2a061b0059	Men til eder som hører, sier jeg: Elsk eders fiender, gjør vel imot dem som hater eder,
2a061c0043	velsign dem som forbanner eder, bed for dem som taler ille om eder!
2a061d0082	Når en slår dig på det ene kinn, så by og det andre frem, og når en tar din kappe fra dig, da nekt ham heller ikke kjortelen!
2a061e0056	Gi hver den som ber dig, og om en tar fra dig det som ditt er, da krev det ikke igjen!
2a061f0050	Og som I vil at menneskene skal gjøre imot eder, så skal og I gjøre imot dem.
2a0620006e	Og om I elsker dem som elsker eder, hvad er det å takke eder for? Også syndere elsker jo dem som dem elsker.
2a06210071	Og om I gjør vel imot dem som gjør vel imot eder, hvad er det å takke eder for? Også syndere gjør det samme.
2a0622008b	Og om I låner til dem som I håper å få igjen av, hvad er det å takke eder for? Også syndere låner til syndere for å få like igjen.
2a062300b8	Men elsk eders fiender, og gjør vel og lån uten å vente noget igjen! så skal eders lønn være stor, og I skal være den Høiestes barn; for han er god mot de utakknemlige og onde.
2a06240036	Vær barmhjertige, likesom eders Fader er barmhjertig,
2a06250073	og døm ikke, så skal I ikke dømmes, og fordøm ikke, så skal I ikke fordømmes; forlat, så skal eder forlates;
2a06260097	gi, så skal eder gis! et godt, stoppet, rystet, overfylt mål skal gis eder i fanget; for med det samme mål som I måler med, skal eder måles igjen.
2a0627006b	Han sa også en lignelse til dem: Kan en blind lede en blind? kommer de ikke begge til å falle i grøften?
2a06280057	En disippel er ikke over sin mester, men enhver som er full-lært, blir som sin mester.
2a0629005b	Og hvorfor ser du splinten i din brors øie, men bjelken i ditt eget øie blir du ikke var?
2a062a00ea	Hvorledes kan du si til din bror: Bror! la mig dra ut splinten som er i ditt øie, du som ikke ser bjelken i ditt eget øie? Du hykler! dra først bjelken ut av ditt eget øie, så kan du se å dra ut splinten som er i din brors øie!
2a062b006f	For det er ikke noget godt tre som bærer dårlig frukt, og heller ikke noget dårlig tre som bærer god frukt.
2a062c0077	For hvert tre kjennes på sin frukt; en sanker jo ikke fiken av tornebusker, og en plukker ikke vindruer av tornekratt.
2a062d00b8	Et godt menneske bærer det gode frem av sitt hjertes gode forråd, og et ondt menneske bærer det onde frem av sitt onde forråd; for hvad hjertet flyter over av, det taler hans munn.
2a062e0042	Men hvorfor kaller I mig Herre, Herre, og gjør ikke det jeg sier?
2a062f0067	Hver den som kommer til mig og hører mine ord og gjør efter dem - hvem han er lik, vil jeg vise eder.
2a063000db	Han er lik et menneske som skulde bygge et hus, og som gravde dypt ned og la grunnvollen på fjell; og da det blev flom, brøt strømmen imot det hus, og den var ikke i stand til å rokke det, fordi det var godt bygget.
2a063100d1	Men den som hører og ikke gjør derefter, han er lik et menneske som bygget sitt hus på bare jorden uten grunnvoll; og strømmen brøt imot det, og det falt straks, og det blev et stort fall da det hus falt.
2a0701004b	Da han hadde fullendt sin tale for folkets ører, gikk han inn i Kapernaum.
2a0702005d	Og en høvedsmann hadde en tjener som var syk og nær ved å dø, og han var ham meget kjær.
2a0703007d	Da han nu hørte om Jesus, sendte han nogen av jødenes eldste til ham og bad ham at han vilde komme og helbrede hans tjener.
2a0704005a	De kom da til Jesus, og bad ham inderlig og sa: Han er vel verd at du gjør dette for ham;
2a0705004a	for han elsker vårt folk, og det er han som har bygget synagogen for oss.
2a070600ca	Jesus gikk da med dem. Men da han ikke hadde langt igjen til huset, sendte høvedsmannen nogen venner til ham og lot si: Herre, umak dig ikke! for jeg er for ringe til at du skal gå inn under mitt tak;
2a07070068	derfor aktet jeg mig heller ikke verdig til å gå til dig; men si et ord, så blir min dreng helbredet!
2a070800de	For jeg er også en mann som står under overordnede, men har stridsmenn under mig igjen; og sier jeg til den ene: Gå! så går han, og til en annen: Kom! så kommer han, og til min tjener: Gjør dette! så gjør han det.
2a070900ad	Men da Jesus hørte dette, undret han sig over ham, og han vendte sig om og sa til folket som fulgte ham: Jeg sier eder: Ikke engang i Israel har jeg funnet så stor en tro.
2a070a0050	Og da de som var utsendt, kom hjem igjen, fant de den syke tjener aldeles frisk.
2a070b0077	Dagen derefter skjedde det at han drog til en by som heter Nain, og mange av hans disipler gikk med ham, og meget folk.
2a070c0097	Da han nu kom nær til byens port, se, da blev en død båret ut, som var sin mors eneste sønn, og hun var enke, og meget folk fra byen var med henne.
2a070d0054	Og da Herren så henne, ynkedes han inderlig over henne og sa til henne: Gråt ikke!
2a070e0078	Og han trådte til og rørte ved båren, og de som bar den, stod stille, og han sa: Du unge mann! jeg sier dig: Stå op!
2a070f004b	Og den døde reiste sig op og begynte å tale; og han gav ham til hans mor.
2a0710007b	Da kom det frykt over dem alle, og de priste Gud og sa: En stor profet er opreist blandt oss, og Gud har gjestet sitt folk.
2a07110044	Og dette ord kom ut om ham i hele Judea og i hele landet deromkring.
2a0712005f	Og Johannes' disipler fortalte ham om alt dette. Da kalte Johannes to av sine disipler til sig,
2a0713005b	og sendte dem til Herren og lot si: Er du den som skal komme, eller skal vi vente en annen?
2a07140088	Mennene kom da til ham og sa: Døperen Johannes har sendt oss til dig og lar si: Er du den som skal komme, eller skal vi vente en annen?
2a0715006c	I den samme stund helbredet han mange for sykdommer og plager og onde ånder, og mange blinde gav han synet.
2a071600c5	Og Jesus svarte og sa til dem: Gå bort og fortell Johannes det som I har sett og hørt: blinde ser, halte går, spedalske renses, døve hører, døde står op, og evangeliet forkynnes for fattige;
2a0717002c	og salig er den som ikke tar anstøt av mig.
2a071800a9	Da nu sendebudene fra Johannes var gått bort, begynte han å tale til folket om Johannes: Hvorfor var det I gikk ut i ørkenen? for å se et rør som svaier for vinden?
2a07190099	Eller hvorfor var det I gikk der ut? for å se et menneske klædd i fine klær? Se, de som går prektig klædd og lever i vellevnet, er i kongenes saler.
2a071a0066	Eller hvorfor var det I gikk der ut? for å se en profet? Ja, jeg sier eder, endog mere enn en profet.
2a071b0065	Det er ham det er skrevet om: Se, jeg sender mitt bud for ditt åsyn; han skal rydde din vei for dig.
2a071c0086	Jeg sier eder: Større profet enn Johannes er ingen blandt dem som er født av kvinner; men den minste i Guds rike er større enn han.
2a071d005f	Og alt folket som hørte ham, og tolderne, de gav Gud rett og lot sig døpe med Johannes' dåp;
2a071e0060	men fariseerne og de lovkyndige gjorde Guds råd til intet for sig og lot sig ikke døpe av ham.
2a071f0046	Hvem skal jeg da ligne denne slekts mennesker med, og hvem er de like?
2a072000af	De ligner små barn som sitter på torvet og roper til hverandre og sier: Vi blåste på fløite for eder, og I vilde ikke danse, vi sang sørgesanger, og I vilde ikke gråte.
2a07210061	For døperen Johannes er kommet; han hverken åt brød eller drakk vin, og I sier: Han er besatt!
2a07220078	Menneskesønnen er kommet; han eter og drikker, og I sier: Se, for en storeter og vindrikker, tolderes og synderes venn!
2a07230032	Og visdommen er rettferdiggjort av alle sine barn.
2a07240070	Men en av fariseerne bad ham at han vilde ete hos ham; og han gikk inn i fariseerens hus og satte sig til bords.
2a072500a2	Og se, det var en kvinne der i byen, som var en synderinne, og da hun fikk vite at han satt til bords i fariseerens hus, kom hun med en alabaster-krukke med salve
2a072600a5	og stod bak ved hans føtter og gråt, og begynte å væte hans føtter med sine tårer og tørket dem med sitt hår og kysset hans føtter og salvet dem med salven.
2a072700bb	Men da fariseeren som hadde innbudt ham, så det, sa han ved sig selv: Var denne mann en profet, da visste han hvem og hvordan denne kvinne er som rører ved ham, at hun er en synderinne.
2a07280059	Og Jesus svarte og sa til ham: Simon! jeg har noget å si dig. Han sier: Mester, si frem!
2a0729006a	En som lånte ut penger, hadde to skyldnere; den ene skyldte ham fem hundre penninger, og den andre femti;
2a072a0068	da de ikke hadde noget å betale med, eftergav han dem begge gjelden. Hvem av dem vil da elske ham mest?
2a072b0053	Simon svarte: Jeg tenker: Den han eftergav mest. Da sa han til ham: Du dømte rett.
2a072c00cc	Og han vendte sig mot kvinnen og sa til Simon: Ser du denne kvinne? Jeg kom inn i ditt hus, du gav mig ikke vann til mine føtter, men hun vætte mine føtter med sine tårer og tørket dem med sitt hår;
2a072d0062	du gav mig ikke noget kyss, men hun holdt ikke op å kysse mine føtter fra den stund jeg kom inn;
2a072e0049	du salvet ikke mitt hode med olje, men hun salvet mine føtter med salve.
2a072f0078	Derfor sier jeg dig: Hennes mange synder er henne forlatt, for hun elsket meget; men den som lite forlates, elsker lite.
2a07300030	Og han sa til henne: Dine synder er dig forlatt.
