2800000006	Matius
31051c0093	Suami harus mengasihi istrinya seperti dia mengasihi dirinya sendiri. Seorang laki-laki yang mengasihi istrinya, berarti mengasihi dirinya sendiri.
31051d0092	Karena tidak ada orang yang pernah membenci tubuhnya sendiri, tetapi memberinya makan dan menjaganya, seperti yang dilakukan Kristus untuk gereja,
31051e002d	Karena kita adalah anggota-anggota tubuh-Nya.
31051f0085	“Inilah sebabnya mengapa seorang laki-laki meninggalkan ayah dan ibunya, dan bersatu dengan istrinya, dan keduanya menjadi satu.”
3105200068	Ini adalah kebenaran tersembunyi yang dalam — tetapi saya sedang berbicara tentang Kristus dan gereja.
310521007a	Bagaimanapun, setiap suami harus mengasihi istrinya sendiri seperti dirinya sendiri, dan istri harus menghormati suaminya.
3106010066	Anak-anak, lakukan apa yang orang tuamu perintahkan, karena ini adalah hal yang benar untuk dilakukan.
3106020052	Hormatilah ayah dan ibumu. Ini adalah perintah pertama yang disertai dengan janji.
3106030056	“Agar segala sesuatunya berjalan baik untukmu dan kamu akan panjang umur di bumi.”
3106040076	Kepada setiap bapak, jangan membuat anak-anakmu marah, tetapi jagalah mereka dengan didikan dan nasehat tentang Allah.
31060500ab	Kepada setiap hamba, taatilah mereka yang menjadi tuanmu, dengan rasa hormat dan penuh kekaguman. Lakukan dengan hati yang tulus sama seperti kamu sedang melayani Kristus.
31060600a2	Jangan hanya bekerja dengan baik ketika sedang diawasi untuk mendapatkan persetujuan, tetapi bekerja seperti hamba Kristus, dengan jujur melakukan kehendak Allah.
3106070062	Layanilah dengan penuh sukacita sama seperti kamu melakukannya untuk Tuhan, dan bukan untuk orang.
310608008d	Ingatlah bahwa siapa pun yang melakukan apa yang baik akan diberi upah oleh Tuhan, apakah orang itu adalah hamba atau seseorang yang merdeka.
31060900e9	Kepada setiap tuan, kamu harus memperlakukan pelayanmu dengan cara yang sama. Jangan mengancam mereka, ingatlah bahwa Allah yang di surga adalah Tuan mereka dan tuanmu juga, dan Dia memperlakukan orang dengan sama, tanpa pilih kasih.
31060a005a	Sebagai pesan terakhir, tetap kuat di dalam Tuhan, dan dalam kekuatan-Nya yang luar biasa.
31060b005a	Kenakan semua perlengkapan senjata Allah sehingga kamu dapat menolak semua serangan iblis!
31060c00ae	Karena kita tidak berperang melawan kekuatan manusia, tetapi melawan penguasa, roh-roh jahat dan, penguasa kegelapan dunia ini, melawan kekuatan spiritual kejahatan di surga.
31060d00d1	Ambillah semua senjata yang Allah sediakan sehingga kamu dapat bertahan menghadapi hari-hari yang semakin jahat, sesudah melakukan semua yang kamu dapat lakukan. Dan untuk menemukan dirimu masih tetap berdiri!
31060e0065	Jadi berdirilah teguh, dengan kebenaran sebagai ikat pinggangmu, dan keadilan sebagai penutup dadamu,
31060f0046	dan mengenakan sepatu kesiapan untuk membagikan kabar baik perdamaian.
3106100076	Di atas segalanya, ambillah perisai untuk memercayai Allah, yang dengannya Anda bisa memadamkan semua panah api iblis.
3106110066	Terimalah keselamatan dari Allah sebagai ketopong. Dan bawalah pedang Roh — Roh itulah firman Allah.
310612006d	Berdoa selalu dalam Roh saat kamu melakukan semua ini. Tetap terjaga dan terus berdoa untuk semua umat Allah.
31061300be	Doakan saya juga agar saya diberi kata-kata yang tepat untuk saya berbicara, sehingga saya dapat menjelaskan dengan penuh percaya, tentang rahasia kebenaran yang tersembunyi dari Kabar Baik.
310614008a	Saya adalah utusan Allah yang dipenjara karena Kabar Baik. Jadi mohon berdoa agar saya berbicara tanpa rasa takut, sebagaimana seharusnya.
31061500b0	Tikikus, teman baik dan penolong setia kita. Dia akan memberikan semua berita tentang saya dan menjelaskan semuanya sehingga kamu akan tahu bagaimana dan apa yang saya lakukan.
3106160075	Itulah mengapa saya mengirimnya kepadamu — untuk memberitahu kamu apa yang terjadi pada kami dan untuk menghiburmu.
3106170072	Damai bagi semua orang Kristen di sana, dari Allah Bapa dan Tuhan Yesus Kristus, dengan kasih dan iman kepada-Nya.
310618004c	Kasih karunia menyertai semua orang yang mengasihi Tuhan kita Kristus Yesus.
3200000006	Filipi
32010100be	Salam kepada jemaat Allah dalam Kristus Yesus yang tinggal di kota Filipi, dan kepada para pemimpin jemaat dan juga para pengerjanya dari Paulus dan Timotius, hamba-hamba dari Kristus Yesus.
320102004e	Kebaikkan dan damai dari Allah Bapa kita dan Tuhan Yesus Kristus untuk kalian.
3201030044	Saya bersyukur kepada Allah setiap kali saya teringat kepada kalian,
3201040046	dan saya selalu bersukacita untuk mendoakan kalian dalam doa-doa saya,
320105007b	karena kalian sudah menjadi rekan saya dalam menyebarkan kabar baik sejak dari awal kalian menjadi percaya sampai sekarang.
32010600ba	Saya sangat yakin bahwa Allah yang memulai pekerjaan yang baik di dalam kalian akan terus mengerjakan dan menyelesaikan pekerjaan-Nya dengan sempurna ketika Yesus Kristus datang kembali.
3201070105	Sudah selayaknya saya berpikir seperti ini tentang kalian semua, sebab kalian sangat berarti bagi saya. Baik ketika saya berada di dalam penjara ataupun di luar ketika saya menyebarkan kabar baik, kalian semua membagikan kebaikan Allah bersama-sama dengan saya.
320108007b	Allah yang menjadi saksi saya bahwa saya benar-benar menyayangi setiap kalian dengan kasih yang berasal dari Kristus Yesus.
3201090074	Doa saya adalah agar kasih kalian boleh bertumbuh lebih lagi, demikian juga dengan pengetahuan dan pemahaman kalian,
32010a00a7	jadi kalian bisa benar-benar mengetahui hal-hal yang sungguh-sungguh penting. Dengan demikian kalian bisa asli dan tidak bersalah pada hari kedatangan Kristus kembali,
32010b008a	penuh dengan hasil karena hidup dengan cara yang benar yang datang melalui Yesus Kristus dan memberikan kemuliaan dan pujian kepada Allah.
32010c0085	Saya ingin kalian tahu, saudara dan saudariku, bahwa semua pengalaman saya menjadi jalan agar Kabar Baik boleh semakin tersebar luas!
32010d006b	Untuk setiap orang — termasuk para penjaga Kaisar Romawi — tahu bahwa saya dipenjarakan karena Kristus;
32010e0060	dan karena saya masuk penjara, kebanyakan kristen disini semakin berani memberitakan Kabar Baik!
32010f00ad	Benar, beberapa orang ada yang memberitakan tentang Kristus karena iri hati dan persaingan. Namun, ada juga yang memberitakan tentang Kristus karena dorongan hati yang baik.
3201100066	Mereka melakukannya karena kasih, dan karena tahu bahwa saya dipenjarakan demi membela Kabar Baik itu.
32011100a2	Sementara yang lain memberitakan tentang Kristus dengan penuh tipuan oleh karena ambisi mereka yang egois, mencoba menambah penderitaan saya di dalam penjara ini.
32011200ed	Biarkan sajalah, saya hanya peduli bahwa nama Kristus itu diberitakan dalam segala cara, entah itu hanya untuk berpura-pura ataupun karena memang pengakuan sejati. Itulah yang membuat saya bersukacita — dan saya akan terus bersukacita!
320113008e	Mengapa? Sebab saya yakin bahwa melalui doa-doa kalian untuk saya, dan melalui pertolongan Roh Yesus Kristus, hal ini akan menyelamatkan saya.
32011400f8	Sebab saya sangat berharap dan berkeinginan untuk tidak melakukan hal-hal yang akan membuat saya malu. Sebaliknya saya berani berharap, seperti biasanya, bahwa bahkan saat ini Kristus akan sangat dihormati melalui saya, apakah saya hidup atau mati.
320115005c	Sejauh yang saya ketahui, hidup adalah untuk Kristus, dan mati akan memberi saya keuntungan.
3201160092	Tetapi jika saya akan terus hidup dan hal ini berarti bekerja keras, maka saya sungguh-sungguh tidak tahu yang mana yang terbaik untuk saya pilih!
3201170088	Hal ini membuat saya sungguh-sungguh mengalami dilema — saya sungguh-sungguh ingin segera bersama Kristus, yang pasti jauh lebih baik,
3201180046	namun tetap berada di dunia ini jauh lebih penting oleh karena kalian.
32011900b1	Sebab saya sangat yakin, saya tahu saya akan tetap di sini, bersama dengan kalian semua untuk menolong kalian agar kepercayaan dan sukacita kalian dalam Allah semakin bertambah,
32011a007b	sehingga ketika saya menemui kalian lagi, puji-pujian kalian kepada Kristus Yesus bahkan lebih besar lagi oleh karena saya.
32011b014f	Pastikanlah bahwa cara kalian hidup sesuai dengan kabar baik dari Kristus, agar ketika aku datang dan menemui kalian atau tidak bisa datang, saya bisa mendengar kabar tentang kalian — bahwa kalian tetap teguh dalam satu kesatuan, terikat secara rohani ketika kalian bekerja bersama bagi iman kepercayaan kalian kepada Kabar Baik itu.
32011c00bc	Janganlah takut kepada orang-orang yang menganggap kalian musuh. Dengan menjadi berani kalian menyatakan kepada mereka bahwa mereka akan kalah, dan Allah sendiri akan menyelamatkan kalian.
32011d0076	Sebab kepada kalian sudah diberikan kehormatan bukan hanya untuk percaya kepada Yesus, tetapi juga menderita bagi Dia.
32011e0080	Kalian mengalami pergumulan yang sama seperti yang kalian lihat saya alami — bahkan sampai saat ini, seperti yang kalian tahu.
32020100c9	Jadi, jika kalian merasa dikuatkan karena percaya kepada Kristus, jika kalian merasa dihiburkan oleh kasih-Nya, jika kalian berbagi bersama dalam Roh, jika kalian memiliki belas kasihan dan simpati —
3202020078	maka penuhilah sukacitaku dengan sepikir dan saling mengasihi, bersatu secara rohani dan memiliki satu tujuan yang sama.
32020300ac	Setiap perbuatanmu, janganlah karena rasa egois ataupun karena kesombongan, tetapi dengan rendah hati kamu menganggap kepentingan orang lain lebih dibanding dirimu sendiri.
320204007e	Janganlah ada di antara kalian yang sibuk mengurusi diri kalian sendiri — sebaliknya, pikirkanlah juga keperluan orang lain.
3202050044	Sikap yang harus Anda miliki adalah sama dengan sikap Kristus Yesus.
3202060067	Meskipun sifatnya selalu Allah, dia tidak peduli untuk berpegang teguh pada kesetaraannya dengan Allah.
320207005b	Sebaliknya ia mengosongkan dirinya, mengambil sifat seorang hamba, menjadi seperti manusia.
320208008d	Datang ke dunia dalam wujud seorang manusia, merendahkan diri-Nya, dan menyerahkan diri-Nya sampai mati — bahkan sampai mati di kayu salib.
320209006e	Itu sebabnya Allah memberikan kepada-Nya penghormatan dan kuasa terbesar, serta nama yang paling dihormati —
32020a007c	sehingga di dalam nama Yesus setiap orang haruslah berlutut dan menyembah Dia, baik di surga, di bumi ataupun di bawah bumi,
32020b0057	dan semua akan menyatakan bahwa Yesus Kristus adalah Tuhan, untuk kemuliaan Allah Bapa.
32020c013a	Jadi, sahabat-sahabatku, teruslah melakukan perbuatan yang sesuai dengan cara hidup orang yang sudah mengenal Allah dengan rasa takut dan hormat, taat kepada semua yang sudah saya ajarkan — bukan hanya ketika saya bersama dengan kalian, tetapi bahkan lebih lagi, karena sekarang saya tidak bersama dengan kalian.
32020d008e	Sebab Allah yang mengerjakan semua pekerjaan itu di dalam diri kalian, menciptakan kemauan dan kemampuan yang Dia ingin untuk kalian kerjakan.
32020e003a	Lakukanlah segala sesuatu tanpa mengeluh ataupun membantah
32020f0113	dengan demikian kalian akan Allah dapati tulus, tidak melakukan kesalahan. Jadilah anak-anak Allah yang tanpa cela yang hidup di tengah-tengah orang-orang yang tidak jujur dan jahat ini. Bersinarlah di antara mereka seakan-akan kalian menjadi terang yang menerangi dunia ini,
32021000d5	memberikan kepada mereka kata-kata yang membawa kepada kehidupan. Dengan demikian saya memiliki bukti bahwa saya tidak bekerja dengan serampangan dan bukan untuk sesuatu yang sia-sia ketika Kristus datang kembali!
3202110052	Jadi sekalipun saya mengorbankan nyawa saya sebagai kurban persembahan agar kalian
3202120047	sama seperti kalian ikut bersukacita dan bersyukur bersama dengan saya.
32021300ae	Saya berharap, jika memang Tuhan Yesus kehendaki, untuk mengutus Timotius kepada kalian segera. Sebab berita tentang kalian akan menggembirakan saya ketika dia kembali nanti.
3202140056	Saya tidak mengenal orang lain yang dengan tulus peduli dengan kalian seperti dirinya.
3202150071	Sebab orang-orang lain hanya peduli dengan kepentingan mereka sendiri, dan bukan kepentingan untuk Yesus Kristus.
3202160088	Tetapi kalian sudah paham akan sifat Timotius — dia menolongku menyebarkan Kabar Baik sama seperti seorang anak yang menolong ayahnya.
320217006d	Jadi saya berharap untuk mengutus dia segera sesudah saya tahu apa yang akan terjadi selanjutnya kepada saya.
3202180051	Dan saya percaya kepada Tuhan bahwa saya pun akan segera bisa mengunjungi kalian.
32021900cd	Tetapi menurutku penting untuk mengirimkan Epafroditus kepada kalian. Dia sudah seperti seorang saudara kandung bagiku, seorang rekan sekerja dan satu perjuangan. Dialah yang kalian kirim untuk mengurusku,
32021a0081	dan dia sudah sangat merindukan kalian, dan merasa kuatir sebab dia mendapat kabar bahwa kalian mendengar kalau dia sedang sakit.
32021b00bf	Dia memang sakit, bahkan hampir mati, tetapi Allah berbelas kasihan kepadanya. Bukan hanya kepada dia, tetapi terlebih lagi kepada saya, sehingga saya tidak mengalami kesedihan terus menerus.
32021c009a	Itu sebabnya saya dengan gembira mengirim dia kembali, sehingga ketika kalian melihat dia, kalian akan menjadi senang, dan saya juga tidak menjadi kuatir.
32021d005b	Jadi sambutlah dia dengan penuh sukacita di dalam Tuhan, hargailah orang-orang seperti dia,
32021e0091	karena dalam bekerja untuk Kristus dia hampir mati, mempertaruhkan nyawanya untuk mengimbangi bantuan yang tidak bisa kalian berikan kepada saya.
32030100da	Sebagai kesimpulan, teman-teman sekalian, bersukacitalah di dalam Tuhan! Bukanlah suatu beban bagi saya untuk mengulangi segala hal yang sudah saya tuliskan sebelumnya kepada kalian, hal itu agar kalian selalu selamat!
320302007f	Berhati-hatilah terhadap para pekerja yang jahat, tingkah laku mereka seperti anjing! Berhati-hatilah dengan para mutilasi itu!
32030300ae	Sebab kitalah yang sesungguhnya sudah disunat, menyembah dengan Roh Allah, menempatkan kepercayaan kita kepada Kristus Yesus. Kita tidak berharap kepada kemampuan manusia —
32030400f0	sebab jika ada cara untuk bisa dianggap benar di mata Allah dengan cara manusia, maka saya sendiri pasti akan memiliki kepercayaan diri itu! Jika ada yang berpikir bahwa mereka bisa berbangga dengan cara manusia, maka saya lebih-lebih lagi:
3203050099	Saya disunat pada usia 8 hari, saya seorang Israel asli dari suku Benyamin. Benar-benar seorang Ibrani asli. Mengenai ketaatan hukum saya seorang Farisi;
32030600ac	sedangkan untuk mempertahankan agama Yahudi, saya pernah menganiaya orang yang percaya kepada Yesus; dan saya juga sangat taat kepada hukum Taurat, tanpa satu kesalahanpun!
3203070076	Tetapi dengan cara apa pun hal-hal seperti itu memberi saya sesuatu, saya menganggapnya sebagai kerugian bagi Kristus.
32030800f2	Sungguh, saya menganggap semua itu sebagai kerugian untuk setiap keuntungan yang saya dapat dengan mengenal Tuhan saya Kristus Yesus. Saya melepaskan segalanya demi Kristus, dan menganggap semua itu sampah, agar saya bisa mendapatkan Kristus.
32030900e9	Saya ingin ditemukan di dalam dia, tidak menjadi benar karena apa yang telah saya lakukan, atau apa yang dituntut oleh hukum, tetapi dibenarkan melalui keyakinan di dalam Kristus, diluruskan oleh Allah melalui kepercayaan kepada-Nya.
32030a00a3	Saya sungguh-sungguh ingin mengenal Dia, dan kuasa dari kebangkitan Dia — mengambil bagian dalam penderitaan-Nya dan menjadi sama seperti dia dalam kematian-Nya,
32030b0065	sehingga saya berharap saya akan menjadi bagian bersama mereka yang dihidupkan kembali dari kematian!
32030c00b5	Bukan berarti saya sudah mendapatkan semua itu, atau saya sudah sempurna — tetapi saya berlari agar saya dapat memenangkan apa yang telah dimenangkan bagi saya oleh Kristus Yesus.
32030d00b7	Teman-teman, saya tidak menganggap bahwa saya sudah menang, tetapi inilah satu tujuan saya: meninggalkan apa yang ada di belakang saya, dan berfokus kepada apa yang ada di depan saya.
32030e00b2	Saya berlari menuju ke garis akhir, seperti seorang pelari yang mengikuti pertandingan, untuk memenangkan hadiah yang sudah dipersiapkan oleh Bapa di Surga melalui Yesus Kristus.
32030f00ab	Setiap kita yang sudah dewasa secara rohani, haruslah berpikir seperti ini, dan jika kalian memiliki pikiran yang berbeda, maka Allah akan mengungkapkan ini kepada kalian.
3203100056	Kita harus memastikan bahwa kita mengikuti setiap ajaran sesuai dengan pemahaman kita.
320311008d	Teman-teman, ikutilah teladanku seperti yang dilakukan oleh saudara-saudari lainnya, dan contohlah tingkah laku kami dalam hidup sehari-hari.
32031200e0	Cara hidup beberapa orang menjadikan mereka sebagai musuh Kristus — seperti yang sudah sering saya katakan kepada kalian sebelumnya, dan terus mengulanginya sekalipun hal ini sangat menyakitkan saya sehingga saya menangis.
32031300ec	Akhirnya mereka benar-benar tersesat, sebab yang menjadi “Tuhan” mereka adalah keinginan jasmani mereka dan yang menjadi kebanggaan mereka adalah hal-hal yang memalukan, hanya memikirkan hal-hal yang memuaskan hasrat duniawi mereka.
3203140097	Tetapi kita, karena tanah air kita adalah surga, dan kita menanti-nantikan seorang Juruselamat, yaitu Tuhan Yesus Kristus, yang juga datang dari surga.
3203150098	Dia akan menciptakan kembali tubuh kita yang fana ini menjadi seperti tubuh kemuliaan-Nya dengan kuasa yang olehnya segala sesuatu menjadi taklukan-Nya.
32040100c8	Jadi tetaplah teguh, saudara-saudariku yang sangat aku kasihi, yang selalu membawa sukacita pada diriku! Bagiku kalian adalah mahkota kemenanganku! Saya sungguh sangat mengasihi dan merindukan kalian!
3204020098	Eyodia dan Sintike — saya mendesak agar kalian segera menyelesaikan perselisihan di antara kalian dan belajar untuk sehati dan sepikir di dalam Tuhan.
320403011d	Bahkan, para rekan sekerjaku yang setia, saya mohon untuk kalian menolong kedua perempuan ini, sebab mereka sudah bekerja bersama dengan saya untuk memberitakan Kabar Baik — demikian juga dengan Klemens dan rekan sekerja saya yang lain, yang namanya tercatat di dalam Buku Kehidupan.
3204040045	Bersukacitalah selalu di dalam Tuhan — saya ulangi: Bersukacitalah!
3204050064	Setiap orang haruslah mengetahui bahwa kalian memiliki sifat lemah lembut. Tuhan akan segera datang.
32040600b2	Berhentilah merasa kuatir, dan bawalah segala permohonan kalian kepada Allah di dalam doa. Sampaikanlah permintaan kalian dan bersyukurlah untuk segala perbuatan-Nya atas kalian.
32040700c3	Maka rasa damai yang dari Allah akan kalian rasakan, rasa damai yang lebih baik dari yang bisa dibayangkan oleh manusia, yang akan melindungi segala pikiran dan perasaan kita dalam Kristus Yesus.
3204080085	Dan terakhir, pikirkanlah hal-hal yang benar, terhormat, murni, indah, terpuji, apapun yang benar-benar baik dan pantas untuk dipuji.
3204090097	Lakukanlah segala yang sudah kalian pelajari dan terima dari saya, baik perbuatan maupun ucapan saya. Maka Allah damai sejahtera akan menyertai kalian.
32040a00bc	Saya bersukacita dalam Tuhan bahwa kalian masih mengingat saya lagi — saya menyadari bahwa kalian khawatir tentang saya sebelumnya, tetapi kalian tidak bisa melakukan apa-apa ketika itu.
32040b0075	Saya tidak berbicara tentang kebutuhan saya sendiri, sebab saya sudah belajar untuk merasa puas dalam kondisi apapun.
32040c00cc	Saya terbiasa tidak memiliki apapun, dan saya sudah pernah merasakan hidup berkelimpahan. Dalam setiap keadaan saya belajar untuk beradaptasi ketika merasa kenyang maupun lapar, ketika kaya maupun miskin;
32040d004e	Saya bisa melakukan segala sesuatu melalui Dia yang membuat saya menjadi kuat!
32040e0049	Sekalipun kalian sudah baik sekali berbagi kesukaran bersama dengan saya.
32040f00b3	Tentu kalian ingat, tepat ketika awal pemberitaan kabar baik, saat saya meninggalkan daerah Makedonia, kalianlah satu-satunya jemaat yang membantu dengan memberikan dukungan dana.
320410006c	Bahkan ketika saya berada di Tesalonika, kalian menolong saya bukan hanya satu kali, tetapi sampai dua kali.
320411007a	Bukan saya mencari sumbangan — saya mencari “tabungan” kalian agar semakin bertambah-tambah “keuntungan” kalian.
32041200cf	Sebab kebutuhan saya sendiri sudah terpenuhi, bahkan berlebih! Saya berterima kasih atas kiriman kalian melalui Epafroditus. Pemberian kalian seperti persembahan wewangian yang harum dan diterima oleh Allah.
320413007a	Allah yang saya layani akan memenuhi segala kebutuhan kalian sesuai dengan kekayaan-Nya yang mulia di dalam Kristus Yesus!
320414003b	Kemuliaan bagi Allah Bapa kita, untuk selama-lamanya. Amin.
3204150094	Berilah salam kepada setiap orang yang percaya kepada Kristus Yesus. Saudara dan saudari seiman yang bersama denganku juga mengirimkan salam mereka.
320416006d	Semua orang percaya di sini mengirimkan salam kepada kalian, terutama mereka yang berasal dari istana Caesar.
320417003a	Kiranya kasih karunia Tuhan Yesus Kristus menyertai rohmu.
3300000006	Kolose
330101007d	Surat ini berasal dari Paulus, rasul dari Kristus Yesus sesuai dengan kehendak Allah, dan dari saudara seiman kami, Timotius,
330102007f	kepada seluruh mempercayai orang Kristen di kota Kolose, semoga damai sejahtera dan kebaikan Allah Bapa kita turun atas kalian.
330103005e	Kami selalu bersyukur kepada Allah Bapa dari Tuhan Kristus Yesus ketika kami mendoakan kalian.
3301040075	Kami mendengar tentang betapa kalian sungguh percaya kepada Kristus Yesus dan kasih kalian kepada semua orang percaya
330105007a	karena harapan yang disiapkan untukmu di surga. Kalian sudah mendengar tentang kabar baik ini, pesan tentang kebenaran ini
3301060137	yang menghampiri kalian, seperti halnya Kabar Baik itu tersebar ke seluruh dunia, menyebar dengan luas dan membuat banyak orang menjadi percaya kepada Yesus. Hal yang sama sudah terjadi pada kalian juga, sejak kalian mendengar tentang Kabar Baik itu dan menyadari sifat dari kebaikan hati Allah yang sebenarnya.
33010700aa	Epafras, teman dan rekan kerja kami yang terkasih, yang merupakan seorang pekerja Kristus yang bisa dipercaya sebagai wakil kami, yang mengajarkan kalian tentang hal ini.
330108004c	Dia juga menerangkan kepada kami tentang kasih kalian yang berasal dari Roh.
33010900fd	Oleh karena itu kami terus berdoa bagi kalian sejak kami mendengar tentang kalian, meminta agar Allah memberikan kepada kalian pemahaman akan tugas yang Dia ingin agar kalian lakukan dan memberikan kepada kalian setiap kebijasanaan dan pemahaman rohani.
33010a00cf	Dengan demikian kalian akan menjalani hidup kalian dengan cara yang tepat sebagai wakil Tuhan dan menyenangkan Dia, memberikan segala hasil yang baik dan mendapatkan pengenalan tentang Allah lebih baik lagi.
33010b005d	Kiranya kalian menjadi kuat oleh karena kuasa-Nya yang ajaib, penuh kesabaran dan daya tahan.
33010c0097	Kiranya kalian memuji Allah Bapa dengan penuh sukacita, yang menjadikan kita pewaris bersama umat Allah yang hidup dengan cara yang hidup dalam terang.
33010d006c	Dia menyelamatkan kita dari kuasa kegelapan dan membawa kita masuk ke dalam kerajaan Anak yang dikasihi-Nya,
33010e003e	yang melalui Dia kita sudah dibebaskan dan dosa kita diampuni.
33010f005f	Anak adalah gambar yang terlihat dari Allah yang tidak terlihat. Dia ada sebelum semua ciptaan,
330110011b	sebab segala sesuatu diciptakan melalui Dia — di dalam surga dan di atas bumi, yang bisa kita lihat dengan mata dan yang tidak bisa kita lihat dengan mata, kerajaan, para penguasa, para pemimpin dan pemerintahan — segala sesuatu di dunia ini diciptakan melalui Dia dan untuk Dia.
3301110038	Dia ada sebelum segalanya, dan Dia menyatukan segalanya.
33011200e3	Dia juga adalah kepala dari semua orang yang percaya kepada-Nya. Dia adalah yang awal, yang pertama dan teratas dari mereka yang dihidupkan kembali dari kematian, dengan demikian Dia menjadi yang paling utama di atas segalanya.
3301130043	Allah senang memiliki sifat penuh-Nya yang hidup di dalam diri-Nya,
33011400d9	dan melalui Dia, Allah membawa kembali semua yang ada di alam semesta ini kembali kepada diri-Nya sendiri, karena Dia membuat perdamaian melalui darah salib-Nya, dan melalui Dia mendamaikan semua di bumi dan di surga.
3301150057	Kalian pernah terasing dari Allah, musuh dalam cara berpikir dan cara kalian bertindak,
33011600a8	tetapi sekarang Dia telah mendamaikan kalian melalui tubuh manusia-Nya yang sekarat, membawa kalian ke hadirat-Nya di mana kalian berdiri suci, murni, dan tak bercacat.
330117010b	Tetapi rasa percaya kalian kepadanya haruslah terus seteguh batu karang dan tidak tergoyahkan. Janganlah keluar dari harapan Kabar Baik yang sudah kalian dengar, Kabar Baik yang sudah diberitakan ke seluruh dunia — itulah pekerjaan yang saya, Paulus, sudah lakukan.
33011800cc	Saya bersukacita jika harus menderita demi kalian, jika itu artinya yang terjadi padaku secara jasmani saya menjadi bagian dari penderitaan Kristus yang terus menerus Dia alami demi tubuh-Nya, jemaat-Nya.
330119008e	Saya melayani jemaat mengikuti arahan yang Allah berikan tentang kalian, untuk memberitakan tentang firman Allah secara lengkap kepada kalian.
33011a0083	Inilah rahasia yang tersembunyi selama berabad-abad dari sejak permulaan dunia, tetapi sekarang telah diwahyukan kepada umat Allah.
33011b00c0	Allah ingin memperkenalkan diri kepada mereka tentang kekayaan dan kemuliaan dari rahasia ini kepada bangsa-bangsa bukan Yahudi: Kristus yang tinggal di dalam kalian adalah harapan yang mulia!
33011c00f0	Itu sebabnya kami menceritakan kepada setiap orang tentang Kristus, mengajar dan mengarahkan mereka dengan cara terbaik yang kami tahu agar kami bisa membawa setiap orang ke hadapan Allah sampai mereka dewasa secara rohani di dalam Kristus.
33011d008d	Inilah yang saya kerjakan juga, berusaha keras dengan mengandalkan kekuatan yang Yesus berikan yang bekerja dengan penuh kuasa di dalam saya.
33020100ad	Saya ingin kalian tahu betapa saya sudah bekerja keras untuk kalian, dan untuk mereka yang ada di Laodikea — bahkan untuk semua yang belum pernah saya temui secara pribadi
330202012f	sehingga kalian boleh merasa dikuatkan. Kiranya kalian saling mengasihi lebih sungguh-sungguh, mengalami keuntungan yang besar dengan benar-benar yakin dalam pemahaman kalian, sebab inilah pengetahuan sejati yang Allah berikan. Kiranya kalian memahami rahasia Allah yang sudah dinyatakan, yaitu Kristus!
3302030069	Di dalam Kristus kalian bisa menemukan seluruh kebijaksanaan dan pemahaman yang luar biasa tentang Allah.
330204006b	Saya katakan ini keapda kalian agar tidak seorangpun akan membodohi kalian dengan argumen yang tidak benar.
33020500dc	Sekalipun secara jasmani saya tidak bersama-sama dengan kalian, tetapi secara roh saya bersama-sama dengan kalian. Saya sangat senang melihat cara kalian bersatu, dan betapa teguhnya rasa percaya kalian di dalam Kristus.
330206004d	Seperti kalian menerima Kristus Yesus sebagai Tuhan, dan terus mengikuti Dia,
33020700c6	didasarkan pada-Nya dan dibangun oleh-Nya. Kiranya rasa percaya kalian kepada-Nya terus bertambah kuat, dengan menaati semua ajaran yang sudah kalian terima, dengan penuh ucapan syukur kepada Allah.
33020800c9	Waspadalah agar tidak seorangpun memperbudak kalian melalui ajaran-ajaran dan khayalan-khayalan yang tidak berguna, yang mengikuti tradisi manusia dan cara pikir dunia ini, dan tidak mengikuti Kristus.
330209004e	Karena kepenuhan kodrat ilahi Allah hidup di dalam Kristus dalam bentuk tubuh,
33020a0060	dan kita sudah menjadi utuh di dalam Dia. Dialah yang utama di atas semua penguasa dan pemimpin.
33020b00b2	Kalian sudah “disunat” di dalam Dia, tetapi bukan dengan cara manusia. Kalian sudah dibebaskan dari sifat manusia yang berdosa dengan “sunat” yang dilakukan oleh Kristus.
33020c00e4	Kalian sudah dikuburkan bersama dengan Dia dalam baptisan kalian, dan kalian dihidupkan kembali bersama dengan Dia melalui rasa percaya kalian karena kita percaya Allah memang menghidupkan Kristus kembali dari antara orang mati.
33020d00c7	Dan sekalipun kalian dulu mati oleh karena dosa-dosa kalian dan secara jasmani “tidak disunat,” Yesus menghidupkan kalian kembali bersama dengan Dia. Dan Dia sudah memaafkan semua dosa-dosa kita.
33020e0091	Dia menghapus catatan hutang kita menurut Hukum yang tertulis untuk melawan kita; dia mengambil penghalang ini dengan memakukannya di kayu salib.
33020f00b8	Dia melucuti kekuatan penguasa-penguasa dan otoritas spiritual, dan setelah secara terbuka mengungkapkan sifat asli mereka, dia membawa mereka tertawan di belakangnya dalam kemenangan.
33021000e4	Jadi janganlah biarkan siapapun yang mencela kalian untuk apa yang kalian makan atau minum, ataupun mengenai hari raya keagamaan, perayaan bulan baru, ataupun perayaan sabat-sabat upacara yang kalian sudah pilih untuk dilakukan.
330211007e	Semua ini hanyalah seperti sebuah bayangan untuk apa yang sesungguhnya akan terjadi, sebab realitas jasmaninya adalah Kristus.
