010000000d	1 Mojžišova
2b07180034	Nesuďte podlé osoby, ale spravedlivý soud suďte.
2b0719005f	Tedy někteří z Jeruzalémských pravili: Zdaliž toto není ten, kteréhož hledají zabiti?
2b071a0072	A aj, svobodně mluví a nic mu neříkají. Zdali již právě poznali knížata, že tento jest právě Kristus?
2b071b0061	Ale o tomto víme, odkud jest, Kristus pak když přijde, žádný nebude věděti, odkud by byl.
2b071c00b6	I volal Ježíš v chrámě, uče a řka: I mne znáte, i odkud jsem, víte. A nepřišelť jsem sám od sebe, ale jestiť pravdomluvný ten, kterýž mne poslal, jehož vy neznáte.
2b071d0037	Ale já znám jej, nebo od něho jsem, a on mne poslal.
2b071e0063	I hledali ho jíti, ale žádný nevztáhl ruky na něho, nebo ještě byla nepřišla hodina jeho.
2b071f0088	Z zástupu pak mnozí uvěřili v něho, a pravili: Kristus když přijde, zdali více divů činiti bude nad ty, kteréž tento činí?
2b07200089	Slyšeli pak farizeové zástup, an o něm takové věci rozmlouvá, i poslali farizeové a přední kněží služebníky, aby jej jali.
2b0721005e	Tedy řekl jim: Ještě maličký čas jsem s vámi, potom odejdu k tomu, kterýž mne poslal.
2b0722004e	Hledati mne budete, ale nenaleznete, a kdež já budu, vy nemůžte přijíti.
2b07230085	I řekli Židé k sobě vespolek: Kam tento půjde, že my ho nenalezneme? Zdali v rozptýlení pohanů půjde, a bude učiti pohany?
2b07240078	Jaká jest to řeč, kterouž promluvil: Hledati mne budete, ale nenaleznete, a kdež já budu, vy nemůžete přijíti?
2b07250076	V poslední pak den ten veliký svátku toho, stál Ježíš a volal, řka: Žízní-li kdo, poď ke mně, a napí se.
2b07260053	Kdož věří ve mne, jakož dí písmo, řeky z břicha jeho poplynou vody živé.
2b07270093	(A to řekl o Duchu, kteréhož měli přijíti věřící v něho; nebo ještě nebyl dán Duch svatý, proto že ještě Ježíš nebyl oslaven.)
2b07280056	Tedy mnozí z zástupu uslyševše tu řeč, pravili: Tentoť jest právě prorok ten.
2b0729005f	Jiní pravili: Tentoť jest Kristus. Ale někteří pravili: Zdaliž z Galilee přijde Kristus?
2b072a0070	Zdaž nepraví písmo, že z semene Davidova a z Betléma městečka, kdež býval David, přijíti má Kristus?
2b072b002c	A tak různice v zástupu stala se pro něj.
2b072c004c	Někteří pak z nich chtěli ho jíti, ale žádný nevztáhl ruky na něj.
2b072d0070	Tedy přišli služebníci k předním kněžím a k farizeům, kteříž řekli jim: Proč jste ho nepřivedli?
2b072e004f	Odpověděli ti služebníci: Nikdy tak člověk nemluvil, jako tento člověk.
2b072f0037	I odpověděli jim farizeové: Zdali i vy jste svedeni?
2b07300038	Zdaliž kdo z knížat uvěřil v něho aneb z farizeů?
2b0731003f	Než zástup ten, kterýž nezná zákona. Zlořečeníť jsou.
2b0732004f	I dí jim Nikodém, ten kterýž byl přišel k němu v noci, byv jeden z nich:
2b07330057	Zdali zákon náš soudí člověka, leč prvé uslyší od něho a zví, co by činil?
2b07340067	Odpověděli a řekli jemu: Nejsi-li i ty Galilejský? Ptej se a viz, žeť prorok z Galilee nepovstal.
2b07350024	I šel jeden každý do domu svého.
2b08010027	Ježíš pak odšel na horu Olivetskou.
2b08020064	Potom na úsvitě zase přišel do chrámu, a všecken lid sšel se k němu. I posadiv se, učil je.
2b0803006c	I přivedli k němu zákonníci a farizeové ženu v cizoložstvu popadenou, a postavivše ji v prostředku,
2b08040050	Řekli jemu: Mistře, tato žena jest postižena při skutku, když cizoložila.
2b0805004e	A v zákoně Mojžíš přikázal nám takové kamenovati. Ty pak co pravíš?
2b0806006d	A to řekli, pokoušejíce ho, aby jej mohli obžalovati. Ježíš pak skloniv se dolů, prstem psal na zemi.
2b08070079	A když se nepřestávali otazovati jeho, zdvihl se a řekl jim: Kdo jest z vás bez hříchu, nejprv hoď na ni kamenem.
2b08080022	A opět schýliv se, psal na zemi.
2b080900c4	A oni uslyševše to, a v svědomích svých obvinění byvše, jeden po druhém odcházeli, počavše od starších až do posledních. I zůstal tu Ježíš sám, a ta žena u prostřed stojeci.
2b080a0094	A pozdvih se Ježíš, a žádného neviděv, než tu ženu, řekl jí: Ženo, kde jsou ti, kteříž na tebe žalovali? Žádný-li tě neodsoudil?
2b080b0067	Kteráž řekla: Žádný, Pane. I řekl jí Ježíš: Aniž já tebe odsuzuji. Jdiž a nehřeš více.
2b080c0091	Tedy Ježíš opět jim mluvil, řka: Já jsem světlo světa. Kdož mne následuje, nebude choditi v temnostech, ale bude míti světlo života.
2b080d0060	I řekli jemu farizeové: Ty sám o sobě svědectví vydáváš, svědectví tvé není pravé.
2b080e00cc	Odpověděl Ježíš a řekl jim: Ačkoli já svědectví vydávám sám o sobě, pravé jest svědectví mé; nebo vím, odkud jsem přišel, a kam jdu. Ale vy nevíte, odkud jsem přišel, aneb kam jdu.
2b080f0033	Vy podlé těla soudíte, já nesoudím žádného.
2b08100072	A bychť pak i já soudil, soud můj jest pravý; nebo nejsem sám, ale jsem já a ten, kterýž mne poslal, Otec.
2b0811004d	A v zákoně vašem psáno jest: Že dvou člověků svědectví pravé jest.
2b08120067	Jáť svědectví vydávám sám o sobě, a svědectví vydává o mně ten, kterýž mne poslal, Otec.
2b08130092	Tedy řekli jemu: Kdež jest ten tvůj otec? Odpověděl Ježíš: Aniž mne znáte, ani Otce mého. Kdybyste mne znali, i Otce mého znali byste.
2b08140078	Tato slova mluvil Ježíš u pokladnice, uče v chrámě, a žádný ho nejal, nebo ještě byla nepřišla hodina jeho.
2b0815007d	I řekl jim opět Ježíš: Já jdu, a hledati budete mne, a v hříchu svém zemřete. Kam já jdu, vy nemůžete přijíti.
2b08160059	I pravili Židé: Zdali se sám zabije, že praví: Kam já jdu, vy nemůžete přijíti?
2b08170064	I řekl jim: Vy z důlu jste, já s hůry jsem. Vy jste z tohoto světa, já nejsem z světa tohoto.
2b0818008a	Protož jsem řekl vám: Že zemřete v hříších svých. Nebo jestliže nebudete věřiti, že já jsem, zemřete v hříších svých.
2b08190053	I řekli jemu: Kdo jsi ty? I řekl jim Ježíš: To, což z počátku pravím vám.
2b081a0092	Mnohoť mám o vás mluviti a souditi, ale ten, kterýž mne poslal, pravdomluvný jest, a já, což jsem slyšel od něho, to mluvím na světě.
2b081b002c	Ale neporozuměli, že by o Otci pravil jim.
2b081c00a7	Protož řekl jim Ježíš: Když povýšíte Syna člověka, tehdy poznáte, že já jsem. A sám od sebe nic nečiním, ale jakž mne naučil Otec můj, tak mluvím.
2b081d007d	A ten, kterýž mne poslal, se mnou jest. Neopustilť mne samého Otec; nebo což jest jemu libého, to já činím vždycky.
2b081e0030	Ty věci když mluvil, mnozí uvěřili v něho.
2b081f0082	Tedy řekl Ježíš těm Židům, kteříž uvěřili jemu: Jestliže vy zůstanete v řeči mé, právě učedlníci moji budete.
2b0820002c	A poznáte pravdu, a pravda vás vysvobodí.
2b0821007c	I odpověděli jemu: Símě Abrahamovo jsme, a žádnému jsme nesloužili nikdy. I kterakž ty díš: že svobodní budete?
2b08220070	Odpověděl jim Ježíš: Amen, amen pravím vám: Že každý, kdož činí hřích, služebník jest hřícha.
2b08230045	A služebník nezůstává v domě na věky; Syn zůstává na věky.
2b08240042	Protož jestližeť vás Syn vysvobodí, právě svobodní budete.
2b0825005e	Vím, že jste símě Abrahamovo, ale hledáte mne zabiti; nebo řeč má nemá místa u vás.
2b08260061	Já, což jsem viděl u Otce svého, mluvím; i vy tedy, co jste viděli u otce svého, činíte.
2b08270089	Odpověděli a řekli jemu: Otec náš jest Abraham. Dí jim Ježíš: Kdybyste synové Abrahamovi byli, činili byste skutky Abrahamovy.
2b08280088	Ale nyní hledáte mne zabiti, člověka toho, kterýž jsem pravdu mluvil vám, kterouž jsem slyšel od Boha. Tohoť Abraham nečinil.
2b0829006b	Vy činíte skutky otce svého. I řekli jemu: Myť z smilstva nejsme zplozeni, jednohoť Otce máme, Boha.
2b082a00a9	Tedy řekl jim Ježíš: Byť Bůh Otec váš byl, milovali byste mne. Nebo já jsem z Boha pošel, a přišel jsem; aniž jsem sám od sebe přišel, ale on mne poslal.
2b082b004b	Proč mluvení mého nechápáte? Proto že slyšeti nemůžete řeči mé.
2b082c00dd	Vy z otce ďábla jste, a žádosti otce svého chcete činiti. On byl vražedlník od počátku, a v pravdě nestál; nebo pravdy v něm není. Když mluví lež, z svého vlastního mluví; nebo lhář jest a otec lži.
2b082d002b	Já pak že pravdu pravím, nevěříte mi.
2b082e0057	Kdo z vás uviní mne z hříchu? A poněvadž pravdu pravím, proč vy mi nevěříte?
2b082f0051	Kdo z Boha jest, slova Boží slyší; protož vy neslyšíte, že z Boha nejste.
2b08300072	Tedy odpověděli Židé a řekli jemu: Zdaliž my dobře nepravíme, že jsi ty Samaritán, a ďábelství máš?
2b08310062	Odpověděl Ježíš: Jáť ďábelství nemám, ale ctím Otce svého; než vy jste mne neuctili.
2b0832003f	Jáť pak nehledám chvály své; jestiť, kdo hledá a soudí.
2b08330056	Amen, amen pravím, vám: Bude-li kdo zachovávati slovo mé, smrti neuzří na věky.
2b083400a8	Tedy řekli mu Židé: Nyní jsme poznali, že ďábelství máš. Abraham umřel i proroci, a ty pravíš: Bude-li kdo zachovávati řeč mou, smrti neokusí na věky.
2b08350066	Zdali jsi ty větší otce našeho Abrahama, kterýž umřel? I proroci zemřeli. Kým ty se činíš?
2b0836009d	Odpověděl Ježíš: Chválím-liť já se sám, chvála má nic není. Jestiť Otec můj, kterýž mne chválí, o němž vy pravíte, že Bůh váš jest.
2b08370096	Ale nepoznali jste ho, já pak jej znám. A kdybych řekl, že ho neznám, byl bych podobný vám, lhář. Ale známť jej, a řeč jeho zachovávám.
2b0838004d	Abraham, otec váš, veselil se, aby viděl den můj, i viděl, a radoval se.
2b0839004e	Tedy řekli jemu Židé: Padesáti let ještě nemáš, a Abrahama jsi viděl?
2b083a0050	Řekl jim Ježíš: Amen, amen pravím vám: Prvé nežli Abraham byl, já jsem.
2b083b0075	I zchápali kamení, aby házeli na něj. Ježíš pak skryl se, a prošed skrze ně, vyšel z chrámu, a tak odšel.
2b09010034	A pomíjeje, uzřel člověka slepého od narození.
2b0902007b	I otázali se ho učedlníci jeho, řkouce: Mistře, kdo zhřešil, tento-li, čili rodičové jeho, že se slepý narodil?
2b0903006e	Odpověděl Ježíš: Ani tento zhřešil, ani rodičové jeho, ale aby zjeveni byli skutkové Boží na něm.
2b0904007e	Jáť musím dělati dílo toho, kterýž mne poslal, dokudž den jest. Přicházíť noc, když žádný nebude moci dělati.
2b0905002d	Dokudž jsem na světě, světlo jsem světa.
2b0906005d	To pověděv, plinul na zemi, a učinil bláto z sliny, i pomazal tím blátem oči slepého.
2b09070070	A řekl jemu: Jdi, umej se v rybníku Siloe, což se vykládá: Poslaný. A on šel a umyl se, i přišel, vida.
2b09080075	Sousedé pak a ti, kteříž jej prvé vídali slepého, řekli: Není-liž toto ten, kterýž sedával a žebrával?
2b09090058	Jiní pravili, že ten jest, a jiní, že jest podoben k němu. Ale on pravil: Já jsem.
2b090a0033	Tedy řekli jemu: Kterak jsou otevříny oči tvé?
2b090b00b6	On odpověděl a řekl: Člověk ten, kterýž slove Ježíš, bláto učinil, a pomazal očí mých, a řekl mi: Jdi k rybníku Siloe, a umej se. I odšed a umyv se, prohlédl jsem.
2b090c002b	I řekli jemu: Kde jest ten? Řekl: Nevím.
2b090d003d	Tedy přivedli toho, kterýž někdy byl slepý, k farizeům.
2b090e0045	Byla pak sobota, když Ježíš učinil bláto, a otevřel oči jeho.
2b090f0081	I otázali se ho opět i farizeové, kterak by prozřel. On pak řekl jim: Bláto položil na oči mé, a umyl jsem se, i vidím.
2b091000b9	Tedy někteří z farizeů řekli: Ten člověk není z Boha, nebo neostříhá soboty. Jiní pravili: Kterak může člověk hříšný takové divy činiti? I byla různice mezi nimi.
2b09110069	Řekli opět slepému: Co ty o něm pravíš, poněvadž otevřel oči tvé? A on řekl: Že prorok jest.
2b0912006b	I nevěřili Židé o něm, by slepý býval a prozřel, až povolali rodičů toho, kterýž byl prozřel.
2b09130082	A otázali se jich, řkouce: Jest-li tento syn váš, o kterémž vy pravíte, že by se slepý narodil? Kterakž pak nyní vidí?
2b09140066	Odpověděli jim rodičové jeho a řekli: Vímeť, že tento jest syn náš, a že se slepý narodil.
2b09150084	Ale kterak nyní vidí, nevíme; aneb kdo otevřel oči jeho, myť nevíme. Máť léta, ptejte se ho, on sám za sebe mluviti bude.
2b09160095	Tak mluvili rodičové jeho, že se báli Židů; nebo již tak byli uložili Židé, aby, kdož by ho koli vyznal Kristem, vyobcován byl ze školy.
2b0917003c	Protož řekli rodičové jeho: Máť léta, ptejte se jeho.
2b0918008f	Tedy zavolali po druhé člověka toho, kterýž býval slepý, a řekli jemu: Vzdej chválu Bohu. My víme, že člověk ten hříšník jest.
2b09190062	I odpověděl on a řekl: Jest-li hříšník, nevím, než to vím, že byv slepý, nyní vidím.
2b091a003d	I řekli jemu opět: Coť učinil? Kterak otevřel oči tvé?
2b091b0085	Odpověděl jim: Již jsem vám pověděl, a neslyšeli jste? Což opět chcete slyšeti? Zdaliž i vy chcete učedlníci jeho býti?
2b091c005a	I zlořečili jemu a řekli: Ty jsi učedlník jeho, ale my jsme Mojžíšovi učedlníci.
2b091d0046	My víme, že Mojžíšovi mluvil Bůh, tento pak nevíme, odkud jest.
2b091e0074	Odpověděl ten člověk a řekl jim: Toť jest jistě divná věc, že vy nevíte, odkud jest, a otevřel oči mé.
2b091f006f	Víme pak, že Bůh hříšníků neslyší, ale kdo by ctitel Boží byl, a vůli jeho činil, tohoť slyší.
2b09200047	Od věků není slýcháno, aby kdo otevřel oči slepého narozeného.
2b09210033	Byť tento nebyl od Boha, nemohlť by nic učiniti.
2b0922006b	Odpověděli a řekli jemu: Ty jsi všecken se v hříších narodil, a ty nás učíš? I vyhnali jej ven.
2b0923006e	Uslyšel pak Ježíš, že jej vyhnali ven. A když jej nalezl, řekl jemu: Věříš-liž ty v Syna Božího?
2b09240042	Odpověděl on a řekl: I kdož jest, Pane, abych věřil v něho?
2b0925004d	I řekl jemu Ježíš: I viděl jsi ho, a kterýž mluví s tebou, onť jest.
2b0926002e	A on řekl: Věřím, Pane, a klaněl se jemu.
2b0927008c	I řekl jemu Ježíš: Na soud přišel jsem já na tento svět, aby ti, kteříž nevidí, viděli, a ti, kteříž vidí, aby slepí byli.
2b09280063	I uslyšeli to někteří z farizeů, kteříž s ním byli, a řekli jemu: Zdali i my slepí jsme?
2b0929007d	Řekl jim Ježíš: Byste slepí byli, hříchu byste neměli; ale nyní pravíte: Vidíme, protož hřích váš zůstává.
2b0a010072	Amen, amen pravím vám: Kdož nevchází dveřmi do ovčince ovcí, ale vchází jinudy, ten zloděj jest a lotr.
2b0a020030	Ale kdož vchází dveřmi, pastýř jest ovcí.
2b0a030073	Tomuť vrátný otvírá, a ovce hlas jeho slyší, a on svých vlastních ovec ze jména povolává, a vyvodí je.
2b0a040060	A jakž ovce své vlastní vypustí, před nimi jde, a ovce jdou za ním; nebo znají hlas jeho.
2b0a05005a	Cizího pak nikoli následovati nebudou, ale utekou od něho; nebo neznají hlasu cizích.
2b0a06005b	To podobenství pověděl jim Ježíš, ale oni nevěděli, co by to bylo, což jim mluvil.
2b0a070053	Tedy opět řekl jim Ježíš: Amen, amen pravím vám: Že já jsem dvéře ovcí.
2b0a080064	Všickni, kolikž jich koli přede mnou příšlo, zloději jsou a lotři, ale neslyšeli jich ovce.
2b0a09005c	Já jsem dvéře. Skrze mne všel-li by kdo, spasen bude, a vejde i vyjde, a pastvu nalezne.
2b0a0a006e	Zloděj nepřichází, než aby kradl a mordoval a hubil; já jsem přišel, aby život měly, a hojně měly.
2b0a0b004b	Já jsem ten pastýř dobrý. Dobrý pastýř duši svou pokládá za ovce.
2b0a0c0098	Ale nájemník a ten, kterýž není pastýř, jehož nejsou ovce vlastní, vida vlka, an jde, i opouští ovce i utíká, a vlk lapá a rozhání ovce.
2b0a0d0044	Nájemník pak utíká; nebo nájemník jest, a nemá péče o ovce.
2b0a0e0041	Já jsem ten dobrý pastýř, a známť své, a znajíť mne mé.
2b0a0f0048	Jakož mne zná Otec, a já znám Otce, a duši svou pokládám za ovce.
2b0a10009b	A mámť i jiné ovce, kteréž nejsou z tohoto ovčince. I tyť musím přivesti; nebo hlas můj slyšeti budou. A budeť jeden ovčinec a jeden pastýř.
2b0a11004b	Protož mne Otec miluje, že já pokládám duši svou, abych ji zase vzal.
2b0a1200a2	Nižádnýť jí nebéře ode mne, ale já pokládám ji sám od sebe. Mám moc položiti ji, a mám moc zase vzíti ji. To přikázaní vzal jsem od Otce svého.
2b0a130036	Tedy stala se opět různice mezi Židy pro ty řeči.
2b0a140049	A pravili mnozí z nich: Ďábelství má a blázní. Co ho posloucháte?
2b0a15006e	Jiní pravili: Tato slova nejsou ďábelství majícího. Zdaliž ďábelství může slepých oči otvírati?
2b0a160031	Bylo pak posvícení v Jeruzalémě, a zima byla.
2b0a17003d	I procházel se Ježíš v chrámě po síňci Šalomounově.
2b0a180077	Tedy obstoupili jej Židé, a řekli jemu: Dokudž duši naši držíš: Jestliže jsi ty Kristus, pověz nám zjevně.
2b0a190098	Odpověděl jim Ježíš: Pověděl jsem vám, a nevěříte. Skutkové, kteréž já činím ve jménu Otce svého, tiť svědectví vydávají o mně.
2b0a1a004a	Ale vy nevěříte, nebo nejste z ovcí mých, jakož jsem vám pověděl.
2b0a1b0042	Ovceť mé hlas můj slyší, a já je znám, a následujíť mne.
2b0a1c005f	A jáť život věčný dávám jim, a nezahynouť na věky, aniž jich kdo vytrhne z ruky mé.
2b0a1d0073	Otec můj, kterýž mi je dal, větší jest nade všecky, a žádnýť jich nemůže vytrhnouti z ruky Otce mého.
2b0a1e0016	Já a Otec jedno jsme.
2b0a1f0038	Tedy zchápali opět kamení Židé, aby jej kamenovali.
2b0a20007b	Odpověděl jim Ježíš: Mnohé dobré skutky ukázal jsem vám od Otce svého. Pro který z těch skutků kamenujete mne?
2b0a21008a	Odpověděli jemu Židé, řkouce. Pro dobrý skutek tebe nekamenujeme, ale pro rouhání, totiž že ty, člověk jsa, děláš se Bohem.
2b0a22005c	Odpověděl jim Ježíš: Však psáno jest v zákoně vašem: Já jsem řekl: Bohové jste.
2b0a23005b	Poněvadž ty nazval bohy, k nimž řeč Boží stala se, a nemůže zrušeno býti písmo,
2b0a240071	Mně pak, kteréhož posvětil Otec a poslal na svět, vy pravíte: Rouháš se, že jsem řekl: Syn Boží jsem?
2b0a250031	Nečiním-liť skutků Otce svého, nevěřte mi.
2b0a26007d	Pakliť činím, byste pak mně nevěřili, skutkům věřte, abyste poznali a věřili, že Otec ve mně jest, a já v něm.
2b0a270037	Tedy opět hledali ho jíti, ale vyšel z rukou jejich.
2b0a280053	I odšel opět za Jordán na to místo, kdež nejprvé Jan křtil, a pozůstal tam.
2b0a290084	I přišli k němu mnozí, a pravili: Jan zajisté žádného divu neučinil, ale všecko, cožkoli mluvil Jan o tomto, pravé bylo.
2b0a2a001f	A mnozí tam uvěřili v něho.
2b0b010052	Byl pak nemocen nějaký Lazar z Betany, z městečka Marie a Marty, sestry její.
2b0b020077	A to byla ta Maria, kteráž pomazala Pána mastí, a vytřela nohy jeho vlasy svými, jejíž bratr Lazar byl nemocen.
2b0b03005a	Tedy poslaly k němu ty sestry, řkouce: Pane, aj, ten, kteréhož miluješ, nemocen jest.
2b0b040072	A uslyšav to Ježíš, řekl: Nemoc ta není k smrti, ale pro slávu Boží, aby oslaven byl Syn Boží skrze ni.
2b0b050033	Miloval pak Ježíš Martu i sestru její i Lazara.
2b0b06005a	A jakž uslyšel, že by nemocen byl, tedy pozůstal za dva dni na tom místě, kdež byl.
2b0b070034	Potom pak dí učedlníkům: Poďme zase do Judstva.
2b0b08005f	Řekli jemu učedlníci: Mistře, nyní hledali tě Židé kamenovati, a zase tam chceš jíti?
2b0b090080	Odpověděl Ježíš: Zdaliž není dvanácte hodin za den? Chodí-li kdo ve dne, neurazí se; nebo světlo tohoto světa vidí.
2b0b0a0045	Pakliť by kdo chodil v noci, urazíť se; nebo světla není v něm.
2b0b0b0061	To pověděl, a potom dí jim: Lazar, přítel náš, spí, ale jduť, abych jej ze sna probudil.
2b0b0c0038	I řekli učedlníci jeho: Pane, spí-liť, zdráv bude.
2b0b0d0054	Ale Ježíš řekl o smrti jeho, oni pak domnívali se, že by o spání sna mluvil.
2b0b0e002e	Tedy řekl jim Ježíš zjevně: Lazar umřel.
2b0b0f004e	A raduji se pro vás, že jsem tam nebyl, abyste věřili. Ale poďme k němu.
2b0b100062	I řekl Tomáš, kterýž slove Didymus, spoluučedlníkům: Poďme i my, abychom zemřeli s ním.
2b0b11004b	Přišel tedy Ježíš, a nalezl ho již čtyři dni v hrobě pochovaného.
2b0b12003e	Byla pak Betany blízko od Jeruzaléma, okolo honů patnácte.
2b0b130056	Mnozí pak z Židů byli přišli k Martě a Marii, aby je těšili pro bratra jejich.
2b0b14005a	Tedy Marta, jakž uslyšela, že Ježíš jde, vyšla proti němu, ale Maria doma seděla.
2b0b150050	I řekla Marta Ježíšovi: Pane, kdybys ty byl zde, bratr můj byl by neumřel.
2b0b160047	Ale i nyníť vím, že cožkoli požádal bys od Boha, dá tobě Bůh.
2b0b170027	Dí jí Ježíš: Vstaneť bratr tvůj.
2b0b18004f	Řekla jemu Marta: Vím, že vstane při vzkříšení v den nejposlednější.
2b0b190066	Řekl jí Ježíš: já jsem vzkříšení i život. Kdo věří ve mne, byť pak i umřel, živ bude.
2b0b1a0054	A každý, kdož jest živ, a věří ve mne, neumřeť na věky. Věříš-li tomu?
2b0b1b0070	Řekla jemu: Ovšem, Pane, já jsem uvěřila, že jsi ty Kristus, Syn Boží, kterýž měl přijíti na svět.
2b0b1c006a	A když to pověděla, odešla a zavolala tajně Marie, sestry své, řkuci: Mistr zde jest, a volá tebe.
2b0b1d0033	Ona jakž uslyšela, vstala rychle, a šla k němu.
2b0b1e006f	Ještě pak byl Ježíš nepřišel do městečka, ale byl na tom místě, kdež vyšla byla proti němu Marta.
2b0b1f009a	Tedy Židé, kteříž s ní byli v domě, a těšili ji, viděvše Marii, že rychle vstala a vyšla, šli za ní, řkouce: Jde k hrobu, aby tam plakala.
2b0b200095	Ale Maria, když tam přišla, kdež byl Ježíš, uzřevši jej, padla k nohám jeho, řkuci jemu: Pane, bys ty byl zde, bratr můj byl by neumřel.
2b0b21007e	Ježíš pak jakž uzřel, ana pláče, i Židy, kteříž byli s ní přišli, ani plačí, zastonal duchem, a zkormoutil se.
2b0b220044	A řekl: Kdež jste jej položili? Řkou jemu: Pane, poď a pohleď.
2b0b230014	I zaplakal Ježíš.
2b0b24002a	Tedy řekli Židé: Aj, kterak ho miloval!
2b0b25006e	Někteří pak z nich řekli: Nemohl-liž tento, kterýž otevřel oči slepého, učiniti aby tento neumřel?
2b0b260072	Ježíš pak opět zastonav sám v sobě, přišel k hrobu. Byla pak jeskyně, a kámen byl svrchu položen na ni.
2b0b27007e	Dí Ježíš: Zdvihněte kámen. Řekla jemu Marta, sestra toho mrtvého: Pane, jižť smrdí; nebo čtyři dni v hrobě jest.
2b0b280055	Dí jí Ježíš: Všakť jsem řekl, že budeš-li věřiti, uzříš slávu Boží.
2b0b29008b	Tedy zdvihli kámen, kdež byl ten mrtvý pochován. Ježíš pak pozdvihl zhůru očí a řekl: Otče, děkuji tobě, že jsi mne slyšel.
2b0b2a0087	Já zajisté vím, že mne vždycky slyšíš, ale pro zástup, kterýž okolo stojí, řekl jsem, aby věřili, že jsi ty mne poslal.
2b0b2b003b	A to pověděv, zavolal hlasem velikým: Lazaře, poď ven.
2b0b2c00a7	I vyšel ten, kterýž byl umřel, maje svázané ruce i nohy rouchami, a tvář jeho šatem byla obvinuta. Řekl jim Ježíš: Rozvěžtež jej, a nechte, ať odejde.
2b0b2d0069	Tedy mnozí z Židů, kteříž byli přišli k Marii, viděvše, co učinil Ježíš, uvěřili v něho.
2b0b2e0051	Někteří pak z nich odešli k farizeům, a pověděli jim, co učinil Ježíš.
2b0b2f0072	I sešli se přední kněží a farizeové v radu, a pravili: Co činíme? Nebo tento člověk divy mnohé činí.
2b0b300062	Necháme-li ho tak, všickni uvěří v něho, i přijdou Římané, a odejmou místo naše i lid.
2b0b31005b	Jeden pak z nich, Kaifáš, nejvyšším knězem byv toho léta, řekl jim: Vy nic nevíte,
2b0b32007b	Aniž přemyšlujete, že jest užitečné nám, aby jeden člověk umřel za lid, a ne, aby všecken tento národ zahynul.
2b0b33007f	Toho pak neřekl sám od sebe, ale nejvyšším knězem byv léta toho, prorokoval, že měl Ježíš umříti za tento národ.
2b0b340059	A netoliko za tento národ, ale také, aby syny Boží rozptýlené shromáždil v jedno.
2b0b35003c	Protož od toho dne radu společně drželi, aby jej zabili.
2b0b3600a0	Ježíš pak již nechodil zjevně mezi Židy, ale odšel odtud do krajiny blízko pouště, do města, kteréž slove Efraim, a tu bydlil s učedlníky svými.
2b0b370076	Byla pak blízko velikanoc Židovská. I šli mnozí do Jeruzaléma z krajiny té před velikonocí, aby se očistili.
2b0b38006c	I hledali Ježíše, a rozmlouvali vespolek, v chrámě stojíce: Co se vám zdá, že nepřišel k svátku?
2b0b39007b	Vydali pak byli přední kněží a farizeové mandát, jestliže by kdo zvěděl, kde by byl, aby pověděl, aby jej jali.
2b0c010087	Tedy Ježíš šestý den před velikonocí přišel do Betany, kdež byl Lazar ten, kterýž byl umřel, jehož vzkřísil z mrtvých.
2b0c02005e	I připravili jemu tu večeři, a Marta posluhovala, Lazar pak byl jeden z stolících s ním.
2b0c0300a0	Maria pak vzavši libru masti drahé z nardu výborného, pomazala noh Ježíšových, a vytřela vlasy svými nohy jeho. I naplněn jest dům vůní té masti.
2b0c040061	Tedy řekl jeden z učedlníků jeho, Jidáš Šimona Iškariotského, kterýž jej měl zraditi:
2b0c050049	Proč tato mast není prodána za tři sta peněz, a není dáno chudým?
2b0c06007b	To pak řekl, ne že by měl péči o chudé, ale že zloděj byl, a měšec měl, a to, což do něho kladeno bylo, nosil.
2b0c070041	Tedy řekl Ježíš: Nech jí, ke dni pohřbu mého zachovala to.
2b0c080045	Nebo chudé vždycky máte s sebou, ale mne ne vždycky míti budete.
2b0c09009e	Zvěděl pak zástup veliký z Židů, že by tu byl. I přišli, ne pro Ježíše toliko, ale také aby Lazara viděli, kteréhož byl vzkřísil z mrtvých.
2b0c0a003a	Radili se pak přední kněží, aby i Lazara zamordovali.
2b0c0b0043	Nebo mnozí z Židů odcházeli pro něho, a uvěřili v Ježíše.
2b0c0c006d	Nazejtří mnohý zástup, kterýž byl přišel k svátku, když uslyšeli, že Ježíš jde do Jeruzaléma,
2b0c0d008b	Nabrali ratolestí palmových, a vyšli proti němu, a volali: Hosanna, požehnaný, kterýž se béře ve jménu Páně, král Izraelský.
2b0c0e003d	I dostav Ježíš oslátka, vsedl na ně, jakož psáno jest:
2b0c0f0047	Neboj se, dcero Sionská, aj, král tvůj béře se, na oslátku sedě.
2b0c100095	Tomu pak nesrozuměli učedlníci jeho sprvu, ale když oslaven byl Ježíš, tedy se rozpomenuli, že to psáno bylo o něm, a že jemu to učinili.
2b0c11006f	Vydával pak svědectví zástup, kterýž byl s ním, že Lazara povolal z hrobu, a vzkřísil jej z mrtvých.
2b0c12004e	Protož i v cestu vyšel jemu zástup, když slyšeli, že by ten div učinil.
2b0c130064	Tedy farizeové pravili mezi sebou: Vidíte-li, že nic neprospíváte? Aj, svět postoupil po něm.
2b0c14005a	Byli pak někteří Řekové z těch, kteříž přicházívali, aby se modlili v svátek.
2b0c150085	Ti tedy přistoupili k Filipovi, kterýž byl od Betsaidy Galilejské, a prosili ho, řkouce: Pane, chtěli bychom Ježíše viděti.
