010000000a	Бытие
1a1b0d00a1	Еллада вся и ближнии твои продаяху в тебе душы человечы, и сосуды медяны даша куплю твою.
1a1b0e0067	От дому Форгамова кони и конники и мщята даша куплю твою.
1a1b0f00c7	Сынове Родийстии купцы твои от островов умножиша куплю твою, зубы слоновы, и вводимым воздавал еси мзды твоя.
1a1b1000e1	Человеки куплю твою от множества примешенца твоего, стакти и пестроты и синету от Фарсиса, и рамоф и хорхор даша куплю твою.
1a1b1100e8	Иуда и сынове Израилевы, сии купцы твои: продаянием пшеницы и миров и касии, и первый мед и елей и ритину даша примешенцу твоему.
1a1b120110	Дамаск купцы твои от множества всея силы твоея, вино от Хелвона, и волну блещащуся от Милита, и вино Деданово и Ионаново и Меозелево в куплю твою даша.
1a1b13006e	От ассиила железо деланое и колеса в примесницех твоих суть.
1a1b14005a	Дедан купцы твои со скоты избранными в колесницы.
1a1b1500cb	Аравиа и вси князи Кидарстии, сии купцы рукою твоею, велблюды и овны и агнцы в тебе продадят, имиже куплю творят.
1a1b1600b7	Купцы Савы и Раммы, тии купцы твои с первыми сладостьми и со камением драгим, и злато даша куплю тебе.
1a1b17007d	Харран, Ханаа и Дедан, сии купцы твои: Сава, Ассур и Харман купцы твои,
1a1b1800ba	приносяще куплю синету и червленицу, и испещренная и сокровища избранная связана ужами, и кипарисная.
1a1b1900fb	Корабли, в тех купля твоя, (корабли) Кархидонстии купцы твои, во множестве смесник твоих, и насытился еси, и отягчал зело в сердцах морских.
1a1b1a0095	В воде мнозе привождаху тя весленицы твои: ветр южный сокруши тя в сердцы морстем.
1a1b1b019e	Быша силы твоя и мзда твоя от смесник твоих, и весленицы твои и кормчии твои, и советницы твои и смесницы от смесников твоих, и вси мужие твои доблии в тебе и весь сонм твой падут среде тебе в сердцы морстем, в день падения твоего.
1a1b1c005e	От гласа вопля твоего кормчии твои страхом убоятся.
1a1b1d00a1	И снидут с кораблей своих вси весленицы твои, и всадницы и ловцы морстии на земли станут:
1a1b1e00b3	и воскликнут на тя гласом своим, и воскричат горце, и возложат землю на главы своя, и прах постелют:
1a1b1f00d9	и оплешивеют над тобою плешьми, и облекутся во вретище, и восплачутся о тебе в горести души, и плачем горьким ужаснутся:
1a1b2000e6	и возмут о тебе сынове их плачь, возрыдают плаканием о тебе: кто якоже Тир умолкнувый среде моря? Колику обрел еси мзду от моря?
1a1b2100a1	Наполнил еси страны от множества твоего и от смесник твоих обогатил еси вся цари земныя.
1a1b2200db	Ныне же сокрушился еси в мори, во глубинах водных смесницы твои, и весь сонм твой среде тебе падоша, и вси весленицы твои.
1a1b2300a5	Вси же живущии во островех уныли по тебе, и царие их ужасом ужасошася, и прослезися лице их.
1a1b2400ae	Купцы от язык позвиждут о тебе, в погибель был еси, и ктому не будеши в век, глаголет Господь Бог.
1a1c010045	И бысть слово Господне ко мне глаголя:
1a1c0201a7	и ты, сыне человечь, рцы князю Тирску: сия глаголет Адонаи Господь: понеже вознесеся сердце твое, и рекл еси: аз есмь бог, в селение божие вселихся в сердцы морстем: ты же человек еси, а не Бог, и положил еси сердце твое яко сердце Божие.
1a1c030086	Еда премудрее ты еси Даниила? Премудрии не наказаша тебе хитростию своею.
1a1c0400c9	Еда хитростию твоею или смыслом твоим сотворил еси себе силу и притяжал еси сребро и злато в сокровищих твоих?
1a1c0500ba	Или во мнозей хитрости твоей и в купли твоей умножил еси силу твою? Вознесеся сердце твое в силе твоей.
1a1c060097	Того ради сия глаголет Адонаи Господь: понеже дал еси сердце свое яко сердце Божие,
1a1c07010e	вместо сего, се, Аз наведу на тя чуждыя губители от язык, и извлекут мечы своя на тя и на доброту хитрости твоея, и постелют доброту твою в погубление,
1a1c080063	и сведут тя, и умреши смертию язвеных в сердцы морстем.
1a1c0900b2	Еда речеши глаголя пред убивающими тя: бог есмь аз? Ты же человек еси, а не бог, в руце убивающих тя.
1a1c0a0096	Смертьми необрезаных умреши в руках чуждих: яко Аз рекох, глаголет Адонаи Господь.
1a1c0b0045	И бысть слово Господне ко мне глаголя:
1a1c0c010b	сыне человечь, возми плачь на князя Тирска и рцы ему: сия глаголет Адонаи Господь: ты еси печать уподобления, исполнен премудрости и венец доброты,
1a1c0d0233	в сладости рая Божия был еси, всяким камением драгим украсился еси, сардием и топазием, и смарагдом и иакинфом, и анфраксом и сапфиром, и иасписом и сребром и златом, и лигирием и ахатом, и амефистом и хрисолифом, и вириллием и онихом и златом наполнил еси сокровища твоя и житницы твоя, от негоже дне создан еси.
1a1c0e008c	Ты, с херувимом вчиних тя в горе святей Божии, был еси среде каменей огненных.
1a1c0f00af	Был еси ты непорочен во днех твоих, от негоже дне создан еси, дондеже обретошася неправды в тебе.
1a1c100128	От множества купли твоея наполнил еси сокровища твоя беззакония, и согрешил еси, и уязвлен еси от горы Божия: и сведе тя херувим осеняяй от среды камыков огненных.
1a1c11011d	Вознесеся сердце твое в доброте твоей, истле хитрость твоя с добротою твоею: множества ради грехов твоих на землю повергох тя, пред цари дах тя во обличение.
1a1c120134	Множества ради грехов твоих и неправд купли твоея, осквернил еси святая твоя, и изведу огнь от среды твоея, сей снесть тя: и дам тя во прах на земли пред всеми видящими тя.
1a1c1300a4	И вси ведящии тебе во языцех возстенут по тебе: пагуба учинен еси, и не будеши ктому во век.
1a1c140045	И бысть слово Господне ко мне глаголя:
1a1c150072	сыне человечь, утверди лице твое на Сидона и прорцы о нем и рцы:
1a1c160109	сия глаголет Адонаи Господь: се, Аз на тя, Сидоне, и прославлюся в тебе, и уразумееши, яко Аз есмь Господь, егда сотворю в тебе суд и освящуся в тебе:
1a1c1700ec	и послю на тя смерть, и кровь в стогнах твоих будет, и падут язвении среде тебе мечем, в тебе и окрест тебе, и уведят, яко Аз Господь:
1a1c180100	и не будет ктому дому Израилеву остен горести и терн болезни от всех окрестных его обезчестивших их, и уразумеют, яко Аз есмь Адонаи Господь.
1a1c19013c	Тако глаголет Адонаи Господь: и соберу дом Израилев от язык, идеже разсыпашася тамо, и освящуся в них пред людьми и языки: и вселятся на земли своей, юже дах рабу Моему Иакову,
1a1c1a016d	и населятся на ней с надеждею, и созиждут домы, и насадят винограды, и вселятся на ней с надеждею, егда сотворю суд во всех, иже укориша я во окрестных их: и уразумеют, яко Аз Господь Бог их и Бог отцев их.
1a1d0100a5	В десятое лето, в десятый месяц, (в первый день) месяца, бысть слово Господне ко мне глаголя:
1a1d0200a3	сыне человечь, утверди лице твое на фараона царя Египетска и прорцы нань и на Египет весь:
1a1d03013b	глаголи и рцы: сице глаголет Адонаи Господь: се, Аз наведу на тя, фараоне, царю Египетский, змиа великаго, седящаго среде рек своих, глаголющаго: моя суть реки, и аз сотворих я.
1a1d0400f6	Аз же дам узду в челюсти твоя, и прилеплю рыбы реки твоея ко крилома твоима, и возведу тя от среды реки твоея, и к чешуям твоим прильпнут:
1a1d050106	и низвергу тя вскоре и вся рыбы реки твоея: на лицы поля падеши, и не соберешися, и не оградишися, зверем земным и птицам небесным дах тя во снедь.
1a1d0600a9	И уведят вси живущии во Египте, яко Аз есмь Господь: зане был еси жезл тростян дому Израилеву:
1a1d0700fb	егда яся тебе рукою своею, сокрушился еси, и егда восплеска на них всяка рука, и егда почиша на тебе, стерлся еси и сломил еси их вся чресла.
1a1d0800b3	Сего ради тако глаголет Адонаи Господь: се, Аз наведу на тя мечь и погублю от тебе человеки и скоты,
1a1d0900fb	и будет земля Египетска в погибель и во опустение, и уразумеют, яко Аз есмь Господь. Понеже глаголал еси, яко реки моя суть, и аз сотворих я:
1a1d0a0107	того ради, се, Аз на тя и на и вся реки твоя, и дам землю Египетску во опустение и в мечь и в погибель, от Магдола и Сиины и даже до предел Ефиопских:
1a1d0b00ba	не пройдет сквозе ея нога человеча, ни нога скотия не поступит по ней, и не населится четыредесять лет:
1a1d0c013d	и дам землю его в пагубу среде земли опустелыя, и гради его среде градов опустевших будут, в разорении будут четыредесять лет: и разсею Египта во языцех, и развею я по странам.
1a1d0d00af	Сия глаголет Адонаи Господь: по четыредесятих летех соберу Египтяны от язык, аможе разсыпашася,
1a1d0e00d0	и возвращу пленники Египетския и вселю я в землю Фафорскую, в землю, отюнудуже взяти быша, и будет власть смиренна:
1a1d0f00d7	паче всех властей будет смиренна, и не вознесется ктому над языки, и умалены сотворю я, еже не быти им многим во языцех.
1a1d1000ee	И не будут ктому дому Израилеву в надежду воспоминающую беззаконие, внегда последовати им по них: и уразумеют, яко Аз есмь Господь.
1a1d1100b1	И бысть в двадесять седмое лето, во един день месяца перваго, бысть слово Господне ко мне глаголя:
1a1d120165	сыне человечь, Навуходоносор царь Вавилонск поработи силу свою работою великою на Тира, всяка глава плешива и всяко рамо наго: и мзда не бысть ему ни силе его на Тира, за работу, еюже работаша нань.
1a1d13014d	Того ради сице глаголет Адонаи Господь: се, Аз даю Навуходоносору царю Вавилонску землю Египетску, и возмет множество ея, и пленит плен ея, и расхитит корысти ея, и будет мзда силе его:
1a1d1400c2	за службу его, еюже послужи на Тира, дах ему землю Египетску, зане послужи Мне, сия глаголет Адонаи Господь.
1a1d1500c2	В той день взыдет рог всему дому Израилеву, и тебе дам уста отверста среде их, и уведят, яко Аз есмь Господь.
1a1e010045	И бысть слово Господне ко мне глаголя:
1a1e020067	сыне человечь, прорцы и рцы: сия глаголет Адонаи Господь:
1a1e0300b5	возрыдайте: оле, оле день! Яко близ день Господень, и приближается день облака, и конец языков будет:
1a1e0400ee	и приидет мечь на Египтяны, и будет мятеж во Ефиопии, и падут язвении во Египте, и взято будет множество их, и падутся основания его:
1a1e0500ee	Персяне и Критяне, и Лидяне и Ливиане, и Мурини (и вся Аравиа) и вси примесницы, и сынове, иже от завета Моего, в нем мечем падут с ним.
1a1e060108	Сия глаголет Господь: и падут подпоры Египта, и снидет укоризна крепости его от Магдола даже до Сиины, мечем падут в нем, глаголет Адонаи Господь.
1a1e070087	И опустеют среде стран погибших, и гради их среде градов опустевших будут:
1a1e0800a3	и уразумеют, яко Аз есмь Господь, егда дам огнь на Египет, и сокрушатся вси помагающии ему.
1a1e0900fe	В той день приидут вестницы от лица Моего в сиеим тщащеся погубити надежду Муринския земли, и будет им мятеж в день Египетск, яко се, приспе.
1a1e0a00af	Сия глаголет Адонаи Господь: и погублю множество Египтян рукою Навуходоносора царя Вавилонска,
1a1e0b00ee	самаго и людий его с ним, губителие от язык послани погубити землю: и извлекут вси мечы своя на Египта, и наполнится земля язвеными.
1a1e0c00d9	И дам реки их во опустение и отдам землю в руце злых, и погублю землю и исполнение ея руками чуждих, Аз Господь глаголах.
1a1e0d0128	Яко сия глаголет Адонаи Господь: погублю кумиры и испражню вельможы от Мемфиса и старейшины от земли Египетския, и не будут ктому: и дам страх во земли Египетстей.
1a1e0e008e	И погублю землю Фафорскую, и дам огнь на Таниса, и сотворю отмщение в Диосполи,
1a1e0f0085	и излию ярость Мою на Саин крепость Египетску, и погублю множество Мемфы.
1a1e1000ac	И дам огнь на Египта, и мятежем возмятется Саис, и в Диосполи будет разселина, и разлиются воды.
1a1e11006a	Юноши Илиуполя и Вуваста мечем падут, и жены в плен пойдут:
1a1e120126	и в Тафнесе помрачится день, егда сокрушу тамо скипетры Египетски, и погибнет тамо укоризна крепости его, и того покрыет облак, и дщери его во пленение отведутся.
1a1e130067	И сотворю суд во Египте, и уразумеют, яко Аз есмь Господь.
1a1e1400bf	И бысть во единонадесятое лето, в первый месяц, в седмый день месяца, бысть слово Господне ко мне глаголя:
1a1e150110	сыне человечь, мышцы фараона царя Египетска сотрох, и се, не помолися, еже дати ему цельбу, приложити ему пластырь, (обязати,) дати силу, да возмет мечь.
1a1e160118	Того ради сия глаголет Адонаи Господь: се, Аз на фараона царя Египетска, и сокрушу мышцы его крепкия и протяженыя и сотреныя, и изрину мечь его из руки его:
1a1e170054	и разсею Египта во языки и развею их во страны:
1a1e1800e4	и укреплю мышцы царя Вавилонска и дам мечь Мой в руку его, и наведет его на Египта, и пленит пленение его, и возмет корысти его:
1a1e190126	и укреплю мышцы царя Вавилонска, мышцы же фараони падут: и уведят, яко Аз есмь Господь, егда дам мечь Мой в руце царя Вавилонска, и прострет его на землю Египетску,
1a1e1a0091	и разсею Египта во языки и развею их во страны: и уведят вси, яко Аз есмь Господь.
1a1f0100bd	И бысть во единонадесятое лето, в третий месяц, во един день месяца, бысть слово Господне ко мне глаголя:
1a1f0200b0	сыне человечь, рцы фараону царю Египетску и множеству его: кому уподобил еси себе в высоте твоей?
1a1f0300c8	Се, Ассур кипарис в Ливане, добр отрасльми и высок величеством и част покровом, и среде облак бысть власть его:
1a1f0400dd	вода воспита его, бездна вознесе его, реки своя приведе окрест садов своих, и составы своя испусти во вся древеса полевая.
1a1f050102	Сего ради вознесеся величество его паче всех древес польных, разширишася ветвие его, и вознесошася отрасли его от воды многи, егда протяжеся.
1a1f060102	Во отраслех его возгнездишася вся птицы небесныя, и под ветвьми его раждахуся вси зверие польнии, под сению его вселися все множество языков.
1a1f0700a4	И бысть добр в высоте своей множества ради ветвий своих, яко беша корение его в воде мнозе.
1a1f08015e	И кипариси не таковы в раи Божии, и сосны неподобны отраслем его, и елие не бысть подобно ветвиям его: всякое древо, еже в раи Божии, не бысть подобно ему в доброте его, множества ради ветвий его.
1a1f0900ad	Добра сотворих его во множестве ветвий его, и возревноваша ему древеса райская Сладости Божия.
1a1f0a0138	Того ради сия глаголет Адонаи Господь: понеже был еси велик величеством и дал еси власть свою во средину облак, и вознесеся сердце его в высоте его, и видех, егда вознесеся:
1a1f0b0084	и предах его в руце князя языческа, и сотвори пагубу его, по нечестию его.
1a1f0c0191	И изгнах его Аз, и потребиша его чуждии губителие от язык, и повергоша его на горах: и во всех дебрех падоша ветви его, и сотрошася отрасли его на всяцем поли земнем, и снидоша от покрова его вси людие языков и разориша его.
1a1f0d0096	Во падении его почиша вся птицы небесныя, и на стеблиех его быша вси зверие селнии,
1a1f0e01b3	яко да не возносятся величеством своим вся древеса, яже в воде, и не дадят власти своея среде облак, и не станут в высоте их к нему вси пиющии воду, вси отдани быша во смерть во глубину земли, среде сынов человеческих к низходящым в пропасть.
1a1f0f0151	Сия глаголет Адонаи Господь: в оньже день сведеся во ад, плакася о нем бездна: и удержах реки ея и возбраних множеству вод, и померче о нем Ливан, и вся древеса полевая о нем разслабишася:
1a1f100152	от гласа падения его потрясошася языцы, егда свождах его во ад со снизходящими в ров, и утешаху его в земли долнейшей вся древеса Сладости, и избранная и добрая Ливанова, вся пиющая воду:
1a1f1100d0	и та бо сведошася с ним во ад со язвеными от меча, и семя его, и живущии под покровом его среде жизни своея погибоша.
1a1f1201b2	Кому уподобился еси силою и славою и величеством во древесех Сладости? Слези и сниди со древесами Сладости во глубину земную: среде необрезаных успнеши со язвеными мечем: тако фараон и все множество крепости его, глаголет Адонаи Господь.
1a2001008c	И бысть во второенадесять лето, во вторыйнадесять месяц, во един день месяца,
1a200201cd	бысть слово Господне ко мне глаголя: сыне человечь, возми плачь на фараона царя Египетска и речеши ему: льву языков уподобился еси ты, и яко змий великий, иже в мори, и бил еси рогами в реках твоих, и возмущал еси воду ногама твоима, и попирал еси реки твоя.
1a2003008d	Сия глаголет Адонаи Господь: и возложу на тя сети Моя в собрании людий многих,
1a200400fd	и изведу тя удою моею, и простру тя на земли: поля наполнятся тебе, и посажду на тебе вся птицы небесныя, и насыщу тобою вся звери всея земли:
1a20050073	и повергу плоти твоя на горах, и наполню кровию твоею всю землю,
1a2006009c	и напиется земля от гноя твоего, от множества твоего на горах: и дебри наполню от тебе,
1a200700bb	и покрыю небо, егда угаснеши, и помрачу звезды его, солнце во облаце сокрыю, и луна не явит света своего:
1a20080098	вся светила небесная помрачу на тя и дам тму на землю твою, глаголет Адонаи Господь.
1a200900aa	И разгневаю сердца людий многих, егда изведу пленники твоя во языки, в землю, еяже не знал еси.
1a200a00fc	И уныют о тебе языцы мнози, и царие их ужасом ужаснутся о тебе, егда налетит мечь Мой на лица их, чающе падения своего от дне падения твоего.
1a200b00c7	Яко сия глаголет Адонаи Господь: мечь царя Вавилонска приидет тебе, мечьми исполинов, и поражу крепость твою:
1a200c0097	губителие от язык вси, и погубят укоризну Египетску, и сокрушится вся крепость его.
1a200d00c6	И погублю вся скоты его от воды многи, и не возмутит ея нога человеческа ктому, и стопа скотия не ступит на ню.
1a200e0092	Тако тогда умолкнут воды их, и реки их яко елей потекут, глаголет Адонаи Господь,
1a200f00db	егда дам Египта в пагубу, и опустеет земля с полнотою своею, егда разсею вся живущыя на ней, и уведят, яко Аз есмь Господь.
1a201000ff	Плачь есть, и восплачешися о нем, и дщери языческия восплачутся о нем, над Египтом и над всею силою Его восплачутся, глаголет Адонаи Господь.
1a201100c0	И бысть во второенадесять лето, перваго месяца в пятыйнадесять день, бысть слово Господне ко мне глаголя:
1a20120112	сыне человечь, восплачися о крепости Египетстей (прекланяя преведи его): и сведут дщерей его мертвых языцы во глубину земную ко низходящым в пропасть.
1a20130056	От вод благолепно сниди и поспи с необрезаными.
1a2014006a	Среде язвеных мечем падут с ним, и успнет вся крепость его.
1a201500cd	И рекут ти исполини: во глубине пропасти буди, кого лучши еси ты? Сниди и лязи с необрезаными среде язвеных мечем.
1a20160102	Тамо Ассур и весь сонм его, и вси язвении тамо дашася, и гроб их во глубине пропасти, и быти сонм его окрест гроба его, вси язвении падшии мечем,
1a201700f5	иже даша гробы его во стегнех рва, и бысть сонм его окрест гроба его, вси тии язвении падающии мечем, иже даша страх свой на земли живых.
1a20180105	Тамо Елам и вся сила его окрест гроба его, вси язвении падшии мечем и низходящии необрезани во глубину земную, давшии страх свой на земли живых:
1a20190071	и прияша мучение свое с низходящими в пропасть, среде язвеных.
1a201a00e8	Тамо дашася Мосох, и Фовель, и вся сила его, окрест гроба его, вси необрезаннии язвении от меча, давшии страх свой на земли жизни.
1a201b018b	И успоша со исполины падшими от века, иже снидоша во ад во оружии воинстем и положиша мечы своя под главы своя, и быша беззакония их на костех их, яко устрашиша всех во житии своем, и страх сильным быша на земли живущым.
1a201c007a	И ты посреде необрезанных сокрушишися и поспиши со язвеными мечем.
1a201d00e0	Тамо Едом и царие его и вси князи Ассуровы, давшии крепость свою на язву мечную: сии со язвеными успоша, с низходящими в ров.
1a201e018c	Тамо князи северстии вси, тамо вси воеводы Ассуровы, иже сведени быша со язвеными со страхом своим и со крепостию своею стыдящеся, успоша необрезаннии со язвеными мечем, и прияша мучение свое с низходящими в пропасть.
1a201f00d3	Тех узрит царь фараон и утешится от всей крепости их: фараон и язвении мечем и вся сила его, глаголет Адонаи Господь.
1a202000fb	Яко дах страх Мой на земли жизни, и успнет среде необрезанных со язвеными мечем фараон, и все множество его с ним, глаголет Адонаи Господь.
1a21010043	И быти слово Господне ко мне глаголя:
1a21020132	сыне человечь, глаголи ко сыном людий твоих и речеши к ним: земля, на нюже Аз аще наведу мечь, и поймут людие земли человека единаго от себе и поставят его себе во стража,
1a2103007e	и узрит мечь грядущь на землю, и вострубит трубою, и проповесть людем,
1a210400c3	и услышит услышавый глас трубы, а не сохранится, и найдет мечь и постигнет его, кровь его на главе его будет:
1a210500b9	яко слыша глас трубы и не сохранися, кровь его на нем будет: а сей, понеже сохранися, душу свою избавил.
1a21060172	И страж, аще увидит мечь грядущь, и не вострубит трубою, (и не проповесть людем,) и людие не охранят себе, и нашед мечь возмет от них душу, та убо беззакония ради своего взяся, а крове ея от руки стража взыщу.
1a210700bd	И ты, сыне человечь, во стража дах тя дому Израилеву, и услышиши от уст Моих слово, и проповеси им от Мене.
1a210801ac	Егда реку грешнику: грешниче, смертию умреши: и не будеши глаголати (грешнику), еже сохранитися нечестивому, (еже обратитися ему) от пути своего (и живу быти ему), той беззаконник во беззаконии своем умрет, а крове его от руки твоея взыщу.
1a2109010e	Аще же ты проповеси нечестивому путь его, еже обратитися от него, и не обратится с пути своего, той в нечестии своем умрет, а ты душу твою избавил еси.
1a210a0102	И ты, сыне человечь, рцы дому Израилеву: сице ресте глаголюще: прелести нашя и беззакония наша в нас суть, и мы в них таем, и како нам живым быти?
1a210b0172	Рцы им: живу Аз, глаголет Адонаи Господь, не хощу смерти грешника, но еже обратитися нечестивому от пути своего и живу быти ему: обращением обратитеся от пути вашего злаго: и вскую умираете, доме Израилев?
1a210c01ae	И ты, сыне человечь, рцы ко сыном людий твоих: правда праведника не избавит его, в оньже день прельстится: и беззаконие беззаконника не убиет, в оньже день обратится от беззакония своего: и праведник не может спастися в день греха своего.
1a210d012e	Егда реку праведнику: жизнию жив будеши: сей же уповая на правду свою и сотворит беззаконие, вся правды его не воспомянутся, в неправде своей, юже сотвори, в той умрет.
1a210e00a8	И егда реку нечестивому: смертию умреши: и обратится от греха своего и сотворит суд и правду,
1a210f00fb	и залог отдаст и восхищеное возвратит, беззаконник в заповедех жизни ходити будет, еже не сотворити неправды, жизнию жив будет и не умрет:
1a2110009a	вси греси его, яже согреши, не помянутся: понеже суд и правду сотвори, жив будет в них.
1a21110080	И рекут сынове людий твоих: неправ путь Господень. И се, путь их неправ.
1a21120090	Егда совратится праведник от правды своея и сотворит беззаконие, и умрет в нем.
1a211300a8	И егда грешник возвратится от беззакония своего и сотворит суд и правду, той жив будет в них.
1a211400a6	И се есть, еже рекосте: неправ путь Господень. Комуждо по путем его сужду вам, доме Израилев.
1a2115011f	И бысть во второенадесять лето, месяца вторагонадесять, в пятый день месяца пленения нашего, прииде ко мне от Иерусалима уцелевый глаголя: пленен бысть град.
1a21160117	И рука Господня бысть на мне в вечер, прежде пришествия его, и отверзе уста моя, дондеже прииде ко мне заутра: и отверзшаяся уста моя не затворишася ктому.
1a21170045	И бысть слово Господне ко мне глаголя:
1a21180126	сыне человечь, живущии на опустевших местех во земли Израилеве глаголют: един бяше Авраам и одержаше землю, а мы множайшии есмы, нам дана есть земля во одержание.
1a21190104	Того ради рцы им: сице глаголет Адонаи Господь: понеже с кровию ясте и очи ваши воздвигосте ко кумиром и кровь проливаете, и землю ли наследите?
1a211a00d7	Стасте с мечем вашим, сотвористе мерзости, и кийждо жену ближняго своего осквернисте, и тако ли землю имате наследити?
1a211b0168	Того ради рцы им: сия глаголет Адонаи Господь: живу Аз, яко падут мечем сущии во опустевших, и иже на лицы поля, зверем польным предадутся на изядение, и сущыя во градех и иже в пещерах смертию поражу,
1a211c00cf	и дам землю на опустение, и погибнет гордость крепости ея, и опустеют горы Израилевы, занеже не будет проходящаго:
1a211d00b4	и уведят, яко Аз Господь: и сотворю землю их пусту, и опустеет всех ради мерзостей их, яже сотвориша.
1a211e0178	И ты, сыне человечь, сынове людий твоих глаголющии о тебе у забрал и во вратех дворов, и глаголют кийждо ко ближнему своему и кийждо ко брату своему, глаголюще: соберимся и услышим исходящая от уст Господних.
1a211f0137	И приходят к тебе, якоже сходятся людие, и седят людие Мои пред тобою, и послушают глаголов твоих, и не сотворят их: понеже лжа во устех их, и вслед скверн их сердце их ходит.
1a212000b8	И будеши им яко глас песнивца сладкогласнаго благосличнаго, и услышат глаголы твоя, и не сотворят их.
1a21210078	И егда приидеши, рекут: се, прииде. И уведят, яко пророк бе среде их.
1a22010045	И бысть слово Господне ко мне глаголя:
1a220200ad	сыне человечь, прорцы на пастыри Израилевы, прорцы и рцы пастырем: сия глаголет Адонаи Господь:
1a22030121	оле, пастырие Израилевы! Еда пасут пастырие самих себе? Не овец ли пасут пастырие? Се, млеко ядите и волною одеваетеся и тучное закалаете, а овец Моих не пасете:
1a22040167	изнемогшаго не подясте и болящаго не уврачевасте, и сокрушеннаго не обязасте и заблуждающаго не обратисте, и погибшаго не взыскасте и крепкое оскорбисте трудом и властию наказасте я и наруганием.
1a220500a1	И разсыпашася овцы Моя, понеже не имеяху пастырей, и быша на изядение всем зверем селным.
1a22060114	И расточишася овцы Моя по всем горам и (заблудиша) по всем холмом высоким, и на лицы всея земли разсыпашася овцы Моя, и не бе взыскающаго, ни обращающаго.
1a22070054	Того ради, о, пастырие, слышите слово Господне:
1a220801a9	живу Аз, глаголет Адонаи Господь, понеже учинена суть стада Моя в расхищение, и овцы Моя быша во снедение всем зверем селным, занеже несть пастырей, и не поискаша пастырие овец Моих, но пасоша пастырие самих себе, а овец Моих не пасоша:
1a22090050	сего ради, пастырие, слышите слово Господне,
1a220a0193	сия глаголет Адонаи Господь: се, Аз на пастыри, и взыщу овец Моих от рук их, и отставлю я от паствы овец Моих, и не будут пасти их пастырие: ниже самих себе имут пасти, и отиму овцы Моя из уст их, и ктому не будут им на изядение.
1a220b0086	Сего ради сия глаголет Адонаи Господь: се, Аз взыщу овец Моих и присещу их:
1a220c0166	якоже присещает пастух паству свою в день, егда есть облачен и мглян, среде овец своих разлученых, тако взыщу овец Моих и избавлю я от всякаго места, аможе суть разсыпаны в день облачен и примрачен.
1a220d00dd	И изведу я от язык и соберу и от стран, и введу я в землю их и упасу я на горах Израилевых и в дебрех и во всем селении земли,
1a220e011c	на пажити блазе упасу я, на горе высоце Израилеве: и будут ограды их тамо, и успнут и почиют тамо в пищи блазе, и на пажити тучне упасутся на горах Израилевых.
