0100000005	Camba
2f0b0c009e	Findi mi na tumohe, ŋ faɗanɗaa, laam raakiɗ ɓi na waake naafkoha, waaye ŋ onanɗi ɓa wa, po ɓa kee hendtiɗkoha na ɓoo ŋ yaksiɗki ɓa na yaksiɗke.
2f0b0d006f	Ɓooɓeem, ɓa apootar leyoh, ɓa pangkoh ci na ñaañohohe, ɓa na kulɓa'kohe ne ɓa apootar ciŋ Kiristaani.
2f0b0e004b	Wa nikɗi in feyohiɗ. Seytaani sah na kulɓa'kohe kulɓa'koh malaaka leer.
2f0b0f0098	Kon wa feyohɗi ne pangkoh ciŋ ɗe namee kulɓa'koh pangkoh yurhiɗ. Waaye ŋ reehɗohaaniŋ ɓa, ɓa hey wirndasse baahaaɗiikiŋ panguk ciŋ ɓa jen.
2f0b100075	Ŋ woyisa, ali ɓo' kinaat to amboh findi naandiɗ - wala teyɗukaat naandohaaciŋ ngo, po ŋ nam min tipuk ƴissuut!
2f0b110068	Ini mi na hee woye wii, ŋ wooɗi wa findi Heɗi na woyohe, wa ɓaah ŋ naandohaaciŋ ngo, wa tipuk rek.
2f0b120053	Laam raakiɗ laayiɗ ɓi na tipke ŋ in ciŋ Adina, mi na hee name tipuk findiiɓa.
2f0b130059	Ɗu ɓi ñaañiɗ ci, ŋ hotiɗ ne ɗu teyɗukiɗ te ɗu neɓuuɗ ŋ ɓooɓi naandiɗ ci!
2f0b14008e	Ɗu teyɗukiɗ ne ɓa ñaamɗukohee ɗu, ɓa ɓayee in ciŋ ɗu jen, ɓa njirñiɗkohee ɗu, ɓa yaksiɗkee ŋ ɗafuk ɗu, ɓa tipee ɗu paɗ!
2f0b1500ab	A', mi deey, ŋ meeɗɗi tumoh ɗaa. Ŋ supkiɗa woo, waaye wa keeh ne ɓoo tasiɗ kaañ. Moona in nu ɓo' kaañ ɗah, ŋ kaañiɗa - ee, mi na woye naandohaaciŋ ngo nak!
2f0b160091	Ɓa na woye ne ɓa Heber e? Ŋ nam nik Heber. Ɓa ɓaah ŋ Israayel e? Ŋ nam ɓaah ŋ Israayel. Ɓa set ciŋ Ibrahiima e? Ŋ nam nik setiŋ ɗe.
2f0b170101	Ɓa pangkoh ciŋ Kiristaani e? - Faɗa ŋ woo naandoha - ñam uup ɓa wa nik. Nik panguk miskiɗ ɗah, ñam uupiɗ ɓa nga; nik taƴ ŋ kaso ɗah, ñam uupiɗ ɓa nga; nik laɓu ɗah, e laɓ ci ŋ laɓu uup laay fuuf! Waas laayiɗ, ŋ hotee ŋ kakaan ki an.
2f0b180065	Ini ree waas yatuus, Yawuut ci laɓiɗ to leraw ciŋ ɓa ndaŋkiyaah-kaahay na yasna-nikiis ciŋ ɓa,
2f0b1900b8	ɓi Rom laɓiɗ to na ndooɗ ciŋ ɓa waas kaahay, ŋ moosiɗ tapsohu atoh ne ŋ apu, waas kaahay bato diigiɗ na so ŋ cookmi, ŋ tumiɗ noh yino na wek yino ŋ ɗooƴ masmiŋ cookmi.
2f0b1a0141	Ŋ ɓaaɓ ciŋ ngo laayiɗ ci, ŋ cohiɗ na in wooraaɗi laayiɗ: nupɗiŋ kal ci, na nguɗndukohoh ci, cum ɗah ɓaah ciŋ ngo Yawuut ci waaɗ to tum miskiɗ, wala ɓi nikɗi Yawuut sah, cum ɗah ŋ coh na in wooraaɗi ŋ kur ci, na nduufi, na cookmi, cum ɗah sah e ɓi na woye ne ɓa ɓaah na ɗa kos na ɓekee ɗa wa.
2f0b1b00d1	Cum ɗah ŋ pangkee ɗiska panguk uup miskoh; ŋ raak neeh laayiɗ neehaaɗi, cum ɗah ŋ aɗuk, cum ɗah ŋ sifaɗuk, waas laayiɗ ŋ raak mbeh mulnguus ñamaaɗi; soosi hee so ape, cum ɗah ŋ ñak ɓekkaah.
2f0b1c007b	Laayiɗ tasiɗ, waaye ca tahɗi so woo, ɗal wi na range hafiŋ ngo Kooh-nu-wiis, liiɓsiɗohi ŋ ini kaɗ ŋ Janguuci jen!
2f0b1d006c	Ŋ hotta ɓoyi ndengɗi ŋ kosiŋ ɗe ɗah, wa goyiɗ to. Ɓo' bakaaɗɗukoh morom ce ɗah, wa aay yo keeñ!
2f0b1e0043	Nik ne ŋ joy joy tipuk ɗah, ŋ tipkohan raakaaɗiikiŋ ngo hatil.
2f0b1f0070	Kooh, yi nik Koohiŋ Yeesu Kiristaa Heɗi, a nammba nik Baabiŋ ɗe te a ƴeekaah po faw, a inhiɗ ne ŋ leyɗi.
2f0b200078	Wa ŋ nik ŋ Damas, goornoora nikiɗee buur Aretaas nga nakoheen niiɗu buntaacaŋ miira wil kur-taaha jen ne a amb mbo,
2f0b21006c	waaye ŋ ɓeku ŋ pañe, ŋ taambɗuusa ŋ palaŋteeraŋ miira, ŋ yooruusa huntiɗkohiɗ naa, ŋ fussa ɗe.
2f0c010082	Nik ndii tipkee raakɗi njiriñ, waaye ŋ joyiɗa tum. Ŋ hey woye in ci hayɗoh ho haa heeƴ na ci ɗasɗukiɗ ci Heɗi teeɓ po.
2f0c0200e5	Ŋ inhiɗ ɓo' nikiɗ ŋ Kiristaani. Wa tumiɗ kiis ndaŋkiyaah na nikiis kotii, wi Kooh ɓay ƴaareem po ŋ Asamaana kaahayɗoh. Andi a ɓay ɗe na faaniŋ ɗe? Ŋ inahɗi. Andi na faaniŋ ɗe haa? Ŋ inahɗi, waaye Kooh inhiɗ.
2f0c0300c9	Ee, ŋ inhiɗ ne ƴaareem ɓayuuɗ po ŋ Aljana (Ŋ woyis ne, ŋ inahɗi andi wa nikee na faaniŋ ɗe wala. Kooh dong a yi inah), te ndaam, a kerhiɗ woo ci minɗi woyu te ali ɓo' onuuɗi ne a woo ca.
2f0c05006a	Ŋ hey ndamke ŋ ini kaɗ ŋ ƴaareem - waaye, ini kaɗ nga so, ŋ ndamkanɗi ɗal ŋ ñaki ŋ ñak hatil.
2f0c0600e9	Te kat, ŋ waakeen hotaat to ɗah, ŋ heeɗi nike naandiɗ, ŋ hee woye ini raak. Waaye mi na wortuke wortuk waak hotaat to, laam ŋ waaɗɗi ne ɓooɓi liiɓ nga so ini uup ini ɓa na hotee so haɓɗe, wala wi ɓa na kerhee so woye.
2f0c0700a1	Waaye, ne ŋ yaksiɗkuu ŋ haf fo ŋ in ci feyohiɗ ci ŋ teeɓu, faaniŋ ngo ɓeku rup; rupeem, weɗ ini Seytaani woos ne wa laɓ po, Kooh sang ne ŋ hotsiɗuk.
2f0c080037	Waas kaahay ŋ kiimiɗa Heɗi ne a saɓsoh ho na ineem.
2f0c0900e3	A loffa so ne: «Baahohi ŋ baahoh ɗa doyiɗ. Hatiliŋ ngo na hotke hooliɗ ne fu ñak hatil ɗah.» Kon ini uup po neɓ, weɗ ne ŋ waak hotaat to ŋ ñaki ŋ ñak hatil, ineem weɗ na hee tahe hatiliŋ Kiristaani nik nga so.
2f0c0a00ba	Ineem weɗ tah ho neɓu ngaŋ nik ndengaaɗi, ŋ neɓuusa ŋ ɓas ci, na miskiɗ ci, na tolfiɗ ci, na neƴƴoh ci, sagu Kiristaani; laam, ŋ ñakka hatil ɗah, weɗ mi na raakohe hatil.
2f0c0b0089	Ŋ naandtiɗohiɗ, waaye e ɗu ɓek ko nga, ɗu ɓi joyee so meeɓ. Ali nik ne ŋ tus haa, apootar ciŋ ɗu yakak ci uupɗi so ŋ ali in.
2f0c0c0084	In ci teeɓoh ne ŋ Apootar, ca tumuuɗ ŋ harmban ɗu. Ca tumuuɗ na min muñ keeh-keeh na firnde na keemaan na in feyohiɗ nu nik.
2f0c0d006b	Janguuci cinooci tumɗu ye ɗu tumɗuuɗi wa? Ɗal degi ŋ degɗi ɗu ali in, mi ŋ haf fo. Ɗaasaat to wa!
2f0c0e00cc	Ŋ ƴutiɗ ne ŋ hay ɗiskiŋ ɗu waasi kaahayɗoh, te ŋ deganɗi ɗu ali in. Mi na waakee ɗu, waaye koporiŋ ɗu haa. Kuɓuuci na nangɗoheeɗi kopor wuu ɓi rim ɓa, e ɓi rim ɓa na nangɗohɗee ɓa.
2f0c0f00c6	Ini kaɗ nga so, ŋ teyɗukiɗ na keeñ soosiɗ ne ŋ eɗoh ini ŋ raak jen, te sah ŋ eɗoh haf fo jen wuu ɗu. Waaɗi ŋ waaɗ ɗu, findi wa yakoh, hanaa, waaɗi ɗu waaɗ to uupanɗi nga haawsuk?
2f0c100069	Ɗu teyɗukiɗ ne ŋ raanɗi ɗu ali in. Waaye ɓum amb ne ŋ lahiɗ ŋ ɗisik wiiriis ŋ ñaañohha ɗu.
2f0c11004c	Ɓooɓi ŋ woosee nga ɗu, ŋ njirñiɗkohiɗ ɗu taamboh ŋ yino nga ɓa e?
2f0c1200dd	Ŋ kiimeen Tit ne a hay nga ɗu, ŋ ambsohha ɗe na ɓaah ɓoo yi hunee na ɗe. Tit njirñiɗkoh ɗu njirñiɗkoh e? Ŋ hot a njirñiɗkohɗi ɗu! Andi mi na ɗe ɓoo ɓaahɗi ɓaahɗi liiɓohaaɗ wala ini ɓoo na tiinde?
2f0c13010a	Ɗu liiɓ ne ina mi na woye poyi, mi na waaɗe hooliɗ haf ɓoo ŋ fikiiɗu e? A'aa! Ɓoo na woye ŋ fiki Kooh na niki ɓoo nik ŋ Kiristaani, te in ci ɓoo na woyee ɗu jen, ɓoo na woyee ɗu ca, ne ɗu kaɗ fiki ŋ kosi ɗu kos, ɗu ɓi ɓaah ciŋ ngo ŋ keeñkoh.
2f0c1400f2	Laam ŋ neƴƴohiɗ ne ŋ ree ɗiskiŋ ɗu ɗah, ŋ raakanɗi ɗu findi ŋ waaɗoh, te ɗu namanɗi so hotoh findi ɗu waaɗoh. Ŋ neƴƴohiɗ ne ŋ raak ŋ harmban ɗu lahtoh na siisoh, ayrukoh, nookoh, ɓasoh, ɗooɓoh, hotsiɗuk na ɗuuɗ.
2f0c1500cf	Ŋ neƴƴohiɗ ne ŋ ɓaaɓiŋ ngo na haye, Koohiŋ ngo ƴissuutɗis so ŋ fikiiɗu, te ɓo' laayiɗ fuɗɗukoh ho, ɓi ris bakaaɗ findi ɗeɓgaan te ɓa eɗɗi usuɓ finho, na faankoh sangohuuɗ na cakaay.
2f0d010086	Wii weɗ waasi kaahayɗoh ne ŋ hey ɗu marke. Findi Fiis ci woyoha: «Seede kanak wala kaahay raak ɗah, in nu nik miniɗ tufkiɗu.»
2f0d0200ac	Wi ŋ hay kotiŋ ngo kanakɗoh, ŋ woyeena, te woti ŋ nikɗi nga, waaye mi yii woyisa ɓi bakaaɗee waam, na ɓinooɓi jen: Ŋ hayis ɗu marke ɗah, ŋ faɗanɗi ali ɓo'!
2f0d03007e	Ɗu na waake firndeeni Kiristaani na woyohe taamboh nga so haa e? Nga ɗu, a ñakɗi hatil, a na tume na hatil ŋ harmban ɗu.
2f0d0400bb	A daaƴu ŋ kurwaana ŋ ñak hatil, waaye a yii pes ŋ hatiliŋ Kooh. Ɓoo namiɗ ñak hatil ŋ niki ɓoo nik nga ɗe, waaye ɗu hey hote ne ɓoo ɓii pes na ɗe taamboh ŋ hatiliŋ Kooh.
2f0d0500d9	Ɓeesaat haf ɗu baahiɗ po ɗu inah andi ɗu ɓii ŋ kosi; waakaat firndeeni ŋ haf ɗu. Wa wooriɗ ɗu ne Yeesu Kiristaa yii nga ɗu e? Wa ɗaleen ineem ɗah, ɓeesi ɗu ɓees haf ɗu heen teeɓohe ne ɗu jallaaɗi.
2f0d060046	Waaye ŋ oolkiɗ ne ɗu hey hote firndeeni ne ɓoo nikɗi jalla'aaɗi.
2f0d0700e9	Ɓoo na kiime Kooh ne ɗu tumuu ali in baahaaɗi; wa nikɗi haa ne ɓoo na waaɗe teeɓoh ne ɓoo Apootar baahiɗ. Waaye ɓoo na kiime Kooh ne ɗu tumee ini baah. Ini uup po neɓ weɗ ne ŋ etohɗi ɓees hatiliŋ ki'apootar kiŋ ngo.
2f0d080058	Laam ɓoo raakɗi hatil hiñohoha keeh ki; hatiliŋ ɓoo, wa hiñohoha wuu keeh ki dong.
2f0d090076	Ɓoo ñak hatil te ɗu raak hatil ɗah, ɓoo hey neɓse nga, waaye ini ɓoo na kiime Kooh weɗ ne ɗu nik ɓo' mitiɗ.
2f0d0a00e6	Weɗ tah po ŋ kaɓɗohee ɗu fiisii ŋ nikaaɗiikiŋ ngo nga; ne kaɗ po ŋ nik nga ɗah, wa etohuu ne ŋ tum nga ɗu tumohaaɗ ndengiɗ ŋ kikilifaaki Heɗi eɗ to. A eɗ to wa yahrohoha kosiŋ ɗu haa, waaye kaɗɗohaa wa fiki.
2f0d0b00a3	Ini mirndoh, ɓaah ciŋ ngo, sumaat, haɓɗissaat pesohaaɗiŋ ɗu, ñaahtiɗohaat, kerhiɗohaat, pesaat ŋ jam, te Kooh yi riif na waaɗoh na jam hey nike na ɗu.
2f0d0c0076	Kañɗohaat ŋ harmban ɗu, ɗu morgiɗkohee, wa hun na keeñ hooliɗ. Ɓo'-Kooh ci nik ndii jen ɓa ɗii kañiɗ ɗu.
2f0d0d0079	Baahohiŋ Yeesu Kiristaa Heɗi na waaɗi Kooh waaɗ ɗu na ambsukohi ɓoo raak ŋ Fuuɗsi Hoolohngaani nikaat na ɗu jen!
300000000a	Ɓi Galaat
30010100ed	Mi yii kañiɗ ɗu, ɗu ɓi Janguuciŋ Galaat, ñam Pool, Apootari ɓo' woosɗi, yi ɓo' tufkiɗɗi, waaye a Yeesu Kiristaa na Kooh Baabi woos so, Kooh yi hultiɗ ɗe. Mi na ɓaah ciŋ ɓoo kosiɗ ci nik na so jen, ɓoo ɓii kañiɗ ɗu.
3001030061	Kooh Baabiŋ ɓoo, baahohaat ɗu, a on ɗu jam; Yeesu Kiristaa Heɗi baahohaat ɗu, a on ɗu jam!
3001040089	Yeesu Kiristaa, a yi eɗoh haf ce wuu bakaaɗ ciŋ ɓoo, ne a puliɗ ɓoo ŋ adinaani baahaaɗiinii, te weɗ ini Kooh Baabiŋ ɓoo waaɗ,
300105001f	Kooh yi yakɗaah po faw! Amiin!
3001060082	Ŋ feyuuɗ lool ŋ ini ɗu na are eɗ finho Yi ɓeeɗuk ɗu ngaŋ baahohiŋ Kiristaani, po ɗu kee taambɗa "yegɗoh muc" wiiriis.
300107008a	Keeh-keeh, yegɗoh muc wiiriis raakɗi. Raak ɓooɓi na yahrohe liiɓ ciŋ ɗu, ɓa waaɗ ɓoƴsoh Yegɗohiŋ Muci, wi kaɗ ŋ Kiristaani.
3001080081	Waaye ali ɓo' nga ɓoo wala malaaka puloh Eel ci sah woo ɗu yegɗoh muc wiiriis, ɗalohiɗ na wi ɓoo woo ɗu ɗah, a alku'aat!
3001090064	Ɓoo woyeena, te mi yii woyisa: Ɓo' woo ɗu yegɗoh muc ɗalohiɗ na wi ɗu rahas ɗah, a alku'aat!
30010a00be	Andi mi na waake ne ɓooɓi neɓu nga so? Wala mi na waake ne Kooh neɓu nga so? Andi mi na waake ini neɓ ɓooɓi? Ŋ waakeen ini neɓ ɓooɓi poyi ɗah, ŋ heeɗi nike ñaamiŋ Kiristaani.
30010b0053	Ɓaah ciŋ ngo, mi yii inhiɗ ɗu ne Yegɗohiŋ Muci ŋ yegɗoh, wa liiɓ ɓo' haa,
30010c0065	mi ŋ haf fo ŋ rahsohɗi wa ŋ ɓo' te ɓo' jangiɗɗi so wa, waaye Yeesu Kiristaa a yi teeɓ po wa.
30010d008f	Ɗu kerhiɗ findi ŋ mandee ɗeɓgaan, wa ŋ nik ŋ waasiŋ Yawuut ci: Ŋ meeɗ meeɗ tolfiɗ ɓi Janguuniŋ Kooh tolfiɗ miskiɗ ne ŋ ɗumba.
30010e0075	Ŋ waasiŋ Yawuut ci, ñam saandee ɓo' laayiɗ ŋ gomal ciŋ ngo, ñam uupee ɓa sawar ŋ mbaah ciŋ caac ciŋ ɓoo.
30010f007a	Waaye ŋ baahohiŋ Kooh, a waɗkiɗ to wa ŋ nik ŋ rookaŋ yaay ɓoo, a ɓeeɗukka so ne ŋ pangkiɗ ɗe. Wa wa neɓ ɗe,
300110007c	a teeɓiɗ to Kuɓkiŋ ɗe ne ŋ woo ɓi nikɗi Yawuut Yegɗohiŋ Muci ŋ ini kaɗ nga ɗe. Ŋ ineem, ŋ meekisɗi ali ɓo',
3001110062	ŋ kaɗɗi sah Yerusalem ne ŋ marak ɓi koc co nik Apootar, ŋ jaar kaɗ Arabi, ŋ dokukka Damas.
3001120072	Wa degga kiis kaahay, ŋ kaɗta Yerusalem ne ŋ inhoh na Piyeer, ŋ nikka ɗiskaŋ ɗe neeh ndaŋkiyaah na yatuus.
3001130040	Waaye ŋ hotɗi ali Apootar wiiriis, ɗal Saak, taambɗoh Heɗi.
300114003f	Ini ŋ fiisiɗ ɗu weem, Kooh yi tiimb mbo inhiɗ ne ŋ leyɗi.
3001150029	Ƴutta ŋ kaɗta kur caŋ Siri na Silisi.
3001160047	Ŋ ini kaɗ ŋ ɓi Janguuciŋ Kiristaani nik ŋ Yudee, ɓa inheeɗi so.
3001170088	Ɓa kerhee ɓooɓi woyee rek ne: «Ƴaari meeɗ ɓoo tolfiɗ, a na yegɗohe kotii Yegɗohiŋ Muci ŋ ini kaɗ ŋ kosi a jeemee yahroh.»
3001180025	Ɓa yakiɗta Kooh ŋ ini kaɗ nga so.
3002010074	Wa wa deg kiis ndaŋkiyaah na kiis nikiis, ŋ dokukka Yerusalem, mi na Barnabaas, ŋ nammba ɓayndoh ɓaah ɓoo Tit.
30020200ed	Ŋ kaɗta nga laam e Kooh teeɓee so ne ŋ joyiɗa tum. Ŋ teeɓpa ɓa Yegɗohiŋ Muci, wi ŋ woo ɓi nikɗi Yawuut; ŋ ɗaayee na ɓooɓa uupee eɗu cir, ŋ woosa ɓa wa, ŋ waaɗeeɗi ne pangkiŋ ngo wotɓa na woti nik ɓarang ɓarang.
3002030080	Waaye wa jam dong raakee, Tit sah, yi hunee na so, a nikee Gerek, te Gerek ci na nguɗkeeɗi. Moona ɓa wooɗi ɗe ne a nguɗuk.
30020400da	Hanaa ɓi woyee ne ɓa ɓaah ciŋ ɓoo te ɓa nikɗaa, ɓi ɗembee aassa ŋ ɗooƴ ɓoo ne ɓa marak raaki ɓoo raak haf ɓoo ŋ niki ɓoo nik ŋ Kiristaani Yeesu; ɓa tumee ineem ne ɓa tonduk nga, ɓa tum ɓoo ñaam.
300205005b	Ɓoo teyɗukiɗɗi ɓa wa waas yino, ɓoo waaɗee ne keeh kiŋ Yegɗohiŋ Muci ris nga ɗu.
30020600bd	Ini kaɗ ŋ ɓi ambsee findi ɓooɓi uup eɗu cir - tiik nu ɓa mineen raak ɗah, wa bugulɗi so, Kooh na markeeɗi ŋ ɓoyi ŋ findi a mand! - Ɓooɓi eɗu cir ɓeem, ɓa degɗi so ali in.
30020701f8	Saak na Piyeer na Saaŋ kay hot hot ne ŋ dengkohuuɗ ne ŋ woo ɓi nikɗi Yawuut Yegɗohiŋ Muci, findi Piyeer dengkohu ne a woo Yawuut ci Yegɗohiŋ Muci. Laam, Yi na ambohe Piyeer ŋ ki'apootarkiŋ ɗe ŋ Yawuut ci, a yi nam mbo amboh ŋ ki'apootarkiŋ ngo ŋ ɓi nikɗi Yawuut. Wa ɓa hot baahohi ŋ baahohu, ɓeɗ ɓi ambsee findi ɓi adgoh Janguuni, ɓa eɗta ɓoo yaah, mi na Barnabaas, ne ɓoo nik yino na ɓa. Ɓoo kerhiɗohha ne ɓoo hey kaɗe ŋ ɓi nikɗi Yawuut, ɓeɗ ɓa kaɗ ŋ Yawuut ci;
30020a0058	ɓa nakee ɓoo dong ne ɓoo faɗoh nof ñakiɗ ci, te ineem, mi yii tuma poyi keeh-keeh.
30020b006b	Waaye wa Piyeer hay Añcos, ŋ woo ɗe jahran ne ŋ hunɗi ŋ tumohaaɗiŋ ɗe, sagu ne a nikeeɗi ŋ keeh.
30020c00e1	Laam, bala ɓi ɓo' ɓaah ŋ ɓi Saak hayan ɗah, a meeɗ meeɗ ɓaah kañam na kosiɗ ci nikɗi Yawuut; waaye wa ɓa ree, a cammba nooksuk, a ñamisɗi na ɓa, sagu neƴƴoh Yawuut ci kosiɗ ci risee taambiɗ mbaah ciŋ ɓa.
30020d0062	Yawuut ci kosiɗ ci ɓinooɓi hunnda na Piyeer ŋ naafeehaakiŋ ɗe, po ɓa kaɓpaa sah Barnabaas.
30020e011c	Waaye, wa ŋ hot ne ɓa kooɗɗi waas yurhiɗ, wi hun na keeh kiŋ Yegɗohiŋ Muci, ŋ woosa Piyeer ŋ fiki kosiɗ ci jen ne: «Fu yi Yawuut, fu na pese findi ɓi ɓaah ŋ cuuɓ ci cinooci, waaye findi Yawuut haa. Fu min na hiiroh kosiɗ ciŋ cuuɓ ci cinooci ne ɓa pes findi Yawuut?
30020f0041	Ɓoo rimuk Yawuut, ɓoo ɓaahɗi ŋ cuuɓ ci cinooci na bakaaɗe.
300210017c	Waaye ɓoo inhiɗ ne Kooh na ambeeɗi ɓo' findi yurhiɗ taamboh ŋ tum in ci waasiŋMusaa nakoh, waaye taamboh ŋ kosi a kos Yeesu Kiristaa. Ɓoo ŋ haf ɓoo, ɓoo namiɗ kos Kiristaani Yeesu findi ɓi nikɗi Yawuut, ne ɓoo onu kiyurhi puloh ŋ kosi ɓoo kos ɗe. Wa pulohɗi ŋ taambiɗ nakoh ciŋ waasi, laam Kooh ambanɗi ali ɓo' findi yurhiɗ sagu taambiɗ ini waasi nakoh.
30021100b0	Waaye, nik ne ɓoo na waake onu kiyurah ŋ niki ɓoo nik ŋ Kiristaani ɗah, wa na teeɓohe ne ɓoo nam nik bakaaɗoh. Andi ineem tokis ne Kiristaani na pangkiɗe bakaaɗ? Muk!
300212005d	Ŋ tufkiɗissee nakoh ciŋ waasi ŋ faɗee ɗah, ŋ ineem mi na teeɓohe ne mi na ɗale waas.
3002130071	Laam waasi tahiɗ po ŋ ini kaɗ nga, ŋ kaaniɗ, ne ŋ min pes wuu Kooh. Ŋ daaƴuuɗ ŋ kurwaana na Kiristaani.
300214009d	A mi na pese kotii haa, a Kiristaani na pese nga so. Kipes kiŋ ɓoyi ŋ nikoh, mi na pesee wa na kos Kuɓkiŋ Kooh, yi waaɗ to, po a eɗohha haf ce wuu so.
30021500a2	Ɗu hotiɗ ne mi na heefeeɗi baahohiŋ Kooh; nikee ne taambiɗ waasi na tahe ɓo' ambu findi yurhiɗ ŋ fiki Kooh ɗah, kon Kiristaani kaan ŋ ɓarang ɓarang.»
300301007e	Cey ɗu ɓi Galaat, e ɗu naand! Ya ɓa honjom ɗu? Te ŋ hot ɗu teeɓuuɗ, findi nataal, Yeesu Kiristaa daaƴuuɗ ŋ kurwaa.
30030200a5	Inii dong weɗ ŋ waaɗ ne ɗu lof fo nga: Andi taambiɗ nakoh ciŋ waasi weɗ tah ɗu rahas Fuuɗsi Hoolohngaani wala ɗu kerah Yegɗohiŋ Muci, ɗu kossa weɗ tah?
3003030071	Ɗu naandoha naandoh jen e? Ɗu camb na Fuuɗsi po ƴut, ɗu kee reehɗoha kotii na tumohaaɗ ciŋ ɗu haf ɗu e?
3003040064	In ci ɗu jang ŋ taamb-taamb ciŋ ɗu jen, ca ɓarang ɓarang e? Wa minɗi nik ɓarang ɓarang kay!
300305009f	Yi eɗ ɗu Fuuɗsi te a tumee ŋ ɗooƴ ɗu in feyohiɗ, andi a na tume ineem taamboh ŋ tiindohaaɗ ciŋ waasi wala ŋ kosi ɗu kos Yegɗohiŋ Muci ɗu kerah?
3003060064	Marka Ibrahiima rek; fiis ci woo ne: «Ibrahiima kossa Kooh, weɗ tah a ambuusa ne a ɓo' yurhiɗ.»
3003070040	Kon inhaat inii: Ɓi kos Kooh, ɓeɗ ambu findi kuɓu Ibrahiima.
30030800aa	Fiis ci woyeen ne Kooh hey one ɓi nikɗi Yawuut kiyurah taamboh ŋ kos, ca nameen woo Ibrahiima ne Yegɗohiŋ Muci hey haye, an: «Cuuɓ ci jen raakohan barke saguufu.»
3003090036	Tahha po ɓi kos na barke'ɗasse na Ibrahiima, yi kos.
30030a0097	Yaa nu gaƴuk ŋ tum nakoh ciŋ waasi ɗah, a alku'iɗ, laam wa fiisuuɗ ne: «Yaa nu genɗi tum in ci fiisu ŋ teerndiŋ waasi jen ɗah, a alku'iɗ!»
30030b009c	Wa raakɗi laam-laam, ali ɓo' raakɗi kiyurah ŋ fiki Kooh taamboh ŋ tum nakoh ciŋ waasi, laam Fiis ci woo ne: «Yaa nu yurah ɗah, pesohan kosi a kos.»
30030c008b	Waaye ɓoyi gaƴuk ŋ taambiɗ nakoh ciŋ waasi, a gaƴukɗi ŋ kos; e Fiis ci woo ne: «Yaa nu taambiɗ nakoh ceem ɗah, ceɗ a pesohan.»
30030d009f	Waaye Kiristaani pulɗiɗ ɓoo ŋ alki ɓoo joyee alku sagu waasi, a teyɗukka alku wuu ɓoo, laam wa fiisuuɗ ne: «Yaa nu liku ŋ ndooɗ ɗah, a alku alku.»
30030e00a6	Ŋ ineem, ɓi nikɗi Yawuut raakoh barkeeni Ibrahiima gapse taamboh ŋ Yeesu Kiristaa. Te ɓoo jen, ɓoo taamboh ŋ kos, ɓoo rahassa Fuuɗsi Hoolohngaani Kooh gapoh.
30030f009a	Ɓaah ciŋ ngo, mi na woye findi ɓo' na woyohe: Ɓo' sah, a hee kurkohe nga, a dengkoh finhooce po ƴut ɗah, ali ɓo' minɗaa nihis wala a ɓaat in nga.
30031000ad	Kooh raakiɗ ini a gap Ibrahiima na tisohiŋ ɗe. Te sah, ɓo' miniɗ hot ne, wa wooɗi "tisoh ciŋ ɗe", waaye "tisohiŋ ɗe". Kon, wa yino dong, te tisoheem, a Kiristaani.
30031100d4	Inii weɗ ŋ waaɗ woo: Kooh tufkiɗiɗ ambtiɗohiŋ ɗe po ƴutiɗ in maañiɗ, wa yakohiɗ waasiŋMusaa kiis teemet-nikiis na kiis ndaŋkiyaah-kaahay, kon waasi minɗaa nihis po gapohi kee nika ɓarang ɓarang.
300312008f	Ini ɓoo joy lam pulohee ŋ taambiɗ nakoh ciŋ waasi ɗah, wa heeɗi pulohisse ŋ gapohi; te moona, e gapohi on Ibrahiima ini Kooh baahoh ɗe.
30031300b1	Kon waasi etohu ye? Wa ɓaatsee ŋ gapohi ne wa teeɓohee ɗal ci po findi seti gapu hayohan; Kooh deg ineem ŋ yaah ɓoyi nikee ŋ harmban ce na ɓooɓi, taamboh ŋ malaakaaci.
3003140060	Wa Kooh na gape Ibrahiima, a nikee kiik ce. A etoheeɗi ne ɓo' nik ŋ harmban ce na in wiiriis.
30031500a7	Kon andi waasi hunɗi na gapoh ciŋ Kooh? Aha'kay! Nikee ne ɓo' rahsiɗ nakoh miniɗ on ɓo' kipes ɗah, kon ee, taambiɗ waas heen mine on ɓo' kiyurah ŋ fiki Kooh.
30031600bf	Waaye wa na kaɗoheeɗi ɗaa, laam Fiis ci teeɓohiɗ ne bakaaɗ degiɗ ɓooɓi jen yaah, wa rannga ɓa. Ineem raakiɗ ne ɓi kos min rahas ini gapohse taamboh ŋ kosi ɓa kos Yeesu Kiristaa.
3003170059	Bala kosi hayan, ɓoo nikee ambuuɗ, waasi taƴca ɓoo ne ɓoo sek mbehi kosi teeɓohsan.
300318006c	Waasi weɗ nikee niiɗohiŋ ɓoo, wa ɓendeeɗa ɓoo ŋ Kiristaa, ne ɓoo taamboh ŋ kosi, ɓoo onu kiyurah.
3003190024	Wi kosi hay, niiɗoh yilfisɗi ɓoo.
30031a004b	Ɗu jen, kosi tahiɗ po ɗu kuɓu Kooh ŋ niki ɗu nik ŋ Kiristaani Yeesu.
30031b004e	Ɗu ɓi ɓoktu ŋ Kiristaani jen, ɗu ɓekkiɗ mandohaaɗiŋ ɗe findi kulɓa.
