1300000006	Psalms
2e0501008f	I PIL ronadar, me nenek kin wiaui nan pun omail. A eu jon on nenek, me jota kin wiaui ren men liki kan; pwe dene amen paudeki on a papa a paud.
2e05020054	A komail me aklapalap, ap jota injen juedeki o kajapokela jan komail, me wiadar met.
2e05030075	A ni ai doo jan komail ni pali war, ap koren ion komail ni pali nen i iet me i kapunadar, dueta amen, me mi re omail,
2e0504006b	Ni mar en atail Kaun Iejuj, ni atail pokon pena re omail ni pali nen atail, ki manaman en atail Kaun Iejuj.
2e0505005f	Me wiadar met i panalan Jatan, pwen kawela uduk o, pwe nen o en kamaurela ni ran en Kaun Iejuj.
2e05060054	Kaidin me mau omail juaiki. Komail jota aja, me kalap kij kin kamutala dolepa karoj?
2e05070083	Ari, kokowei jan kalap kitai, pwe komail en wiala plaua amaj kap, pwe komail udan plaua amaj kap, pwe atail paja Krijtuj kamatalar.
2e05080080	Kitail ari en wiada atail paja, kaidin ni kalap kitai, pil kaidin ni kalap lemai de me jued, a ni plaua amaj kap ni pun o melel.
2e05090055	Na, i intin won komail er nan kijin likau o, pwe komail ender waroki on me nenek kan.
2e050a009d	Ari mepukat i jota kin inda duen me nenek ren men liki kan, de me norok kapwa, de me lolap akan, de me wun ani, pwe ma idue, komail en katoror wei jan jappa.
2e050b00b7	A met i intin won komail er ender waroki on amen, me adaneki jaulan, ap nenek, de me norok kapwa, de kati ani mal, de lalaue amen, de kamom joko, de me lolap; komail ender ian I mana.
2e050c0066	Pwe menda re i men liki? Kaidin ai dodok en kadeik irail ada. Komail jota kin kadeikada nan pun omail?
2e050d0043	A me mi liki ko, Kot pan kotin kajapoke wei jan re omail me jued o!
2e0601005e	A MA amen wia japun on amen, menda komail kapun pena mon men liki kan, a jo mon me jaraui kan?
2e06020098	De komail jota aja, me jaraui kan pan kadeikada jappa? A ma jappa pan pakadeikeki komail, iaduen, komail jota itar on kadeikada kijin dodok tikitik kan?
2e0603006a	Komail jota aja, me kitail pan kadeikada tounlan kan? Nan melel kaualap pil kijin tiak tikitik en maur et.
2e0604006f	A ma komail kin kadeikeki tiak en maur et iaduen, komail kin kapukapun ianaki me jota indand mau ren momodijou?
2e0605008e	Mepukat i indai on komail, pwen kanamenok komail. Pwe jota amen re omail, me lolekon? Jota amen me itar on en wiada kapun nan pun en ri a kan?
2e06060033	A amen kin akamai on amen ri a mon me jopojon akan.
2e06070071	Ari, omail akamai nan pun omail pil udan japun. Menda komail jota mueidala meakot? Menda komail jota kin nenenla?
2e0608002d	A komail kin japun o kotaue on ri omail akan.
2e060900b7	De komail jota aja, me japun kan jota pan jojoki wein Kot? Kalaka pein komail! pwe me nenek de me kati ani likam akan, de me kamal, de me dir en inon jued, de me madon jaut on ol oko.
2e060a006c	De men pirap, de me norok kapwa, de kamom joko, de kinekine mal, de kuli kapwa kan jota pan jojoki wein Kot.
2e060b0072	Iduen akai komail maj o, a met komail wideudier, o kajarauialar, o pun kilar mar en Kaun Iejuj o Nen en atail Kot.
2e060c006a	A muei on ia meakaroj, a kaidin karoj me kin kamau ia la; a muei on ia meakaroj, a jota, me pan poe ia di.
2e060d00c5	Melel, kijin mana me mau on kaped o, o nan kapedi wajan kijin mana en ko on ia. A Kot pan kotin kawe ira la karoj. A pali war o wiaui on Kaun o, a kaidin on nenek, a Kaun kotin apapwali pali war o.
2e060e004c	A Kot me kotin kaiajadar Kaun o, a pil pan kotin kaiaja kida kitail manaman.
2e060f007d	Komail jota aja, me war omail kokon en Krijtuj? A iaduen, i en ale kokon en Krijtuj, wia kin ir kokon en li nenek amen? O jo!
2e06100082	De komail jota aja, meamen me waroki on li nenek amen, me ira pan wiala war ta ieu? Pwe a kotin majanier: Ira pan wiala uduktaieu.
2e06110030	A me waroki on Kaun o nan a pan nen ta ieu re a.
2e06120080	Komail tane wei jan nenek, pwe dip karoj, me aramaj kin wia, kin wiaui likin war a, a me kin nenek, kin wiada dip on pein war a.
2e06130083	De komail jo aja, me war omail tanpaj en Nen jaraui me kotikot lol omail, me komail aleer jan ren Kot, a kaidin uta ’mail komail.
2e06140045	Pwe komail neti kidar pai eu, komail ari kalinanada Kot ki war omail.
2e0701004f	A IET duen me komail intine don ia, a mau on aramaj amen, a ender jair li amen.
2e0702005e	Ari jo, amen amen en ale pein a warok li, o amen amen en ale pein a warok ol, pwen der dender.
2e07030041	Ol o en wiai on a warok li me inen, a pil dueta li on a warok ol.
2e0704005f	Li o jota kak poedi pein war a, a a warok. Pil dueta ol o jota kak poedi pein war a, a a warok.
2e07050094	Der jo oke amen amen, ma jo, pweki inau anjau kij, pwen mot ijejol rer ekij o kapakap, ap pur pena, pwe Jatan de kajonejon komail omail jo oke pena.
2e0706002f	Mepukat kaidin kujoned eu, pwe pein ai lamelam.
2e07070067	A i men aramaj akan karoj en dueta nai. A amen amen aleer pein a pai en mak jan ren Kot duen amen amen.
2e0708004b	A nai indai on me jo papaud o li odi kan, me mau irail en dadaur dueta nai.
2e07090042	A ma irail jota kak on, irail en papaud; me mau papaud jan dender.
2e070a0065	O on me papaud akan nai me ilaki wei, a kaidin nai pwe Kauno: Li papaud ender kamuei wei jan a warok!
2e070b005b	A ma a muei wei janer, i en dadaurete a kirip de kadeke a warok, o ol ender kajela a warok.
2e070c0087	Kaidin Kaun o, pwe nai men indan me tei kan: Ma ri atail ol amen mia, me a paud jopojon amen, ap men mimieta re a, a ender kajela li o.
2e070d0055	Pil dueta li amen, ma a warok jopojon amen o a men mimieta re a, a ender kajela ol o,
2e070e008f	Pwe ol jopojon me kajaraui kilar li o, o li jopojon kajaraui kilar ol o, pwe ma a jo due met, noumail jeri kan me jamin, a met irail me jaraui.
2e070f0096	A ma me jopojon o pan muei wei jan, ari i en muei wei jan; ri ol de ri li jota kin kaupindi ni mepukat. A Kot me kotin molipe kitail, pwen popol pena.
2e07100060	Pwe iaduen, koe li o, koe aja, me koe pan kak kamaurela ol o? De koe ol, koe pan kamaurela li o?
2e0711007b	A duen Kaun o pan on amen amen, duen Kot molipe on amen amen, iduen dadaurata; nan iduen nai ilakilan momodijou akan karoj.
2e0712007a	Ma amen me paeker ni jirkomjaij, i en dadaurata a jirkomjaij, a ma amen me paeker ni jojirkomjaij, i ender ian jirkomjaij.
2e0713005d	Pwe kaidin meakot jirkomjaij, o pil kaidin meakot jojirkomjaij, a wiawia kujoned en Kot akan.
2e0714002e	Amen amen en dadaurata udan a koa ni a paeker.
2e0715005c	Ma koe paeker ni om ladu, koe der injenjuedeki, a ma koe pan kak maioda jan, ari pil me mau.
2e07160072	Pwe ladu men, me paeker on Kaun o, nan a maio ren Kaun o; o pil dueta me maio men paeker ap pan ladun Krijtuj men.
2e07170039	Komail me neti kidar pai eu, der wiala ladun aramaj akan.
2e07180030	Ri ai kan, amen amen dadaurata ut arail ren Kot.
2e07190075	A duen peinekap akan, jota kujoned eu jan ren Kaun o; a pein ai lamelam mia, pwe i aleer mak en Kaun, pwen kak melel.
2e071a0046	let me i lameda, me mau on aramaj jota papaud, pwe ni anjau apwal wet.
2e071b005a	Ma koe kapapaud on li amen, ender men muei jan, a ma jo om paud mia, ender rapaki li amen.
2e071c00aa	A kaidin dip eu, ma koe pan papaud; o ma jeripein amen pan papaud, kaidin dip. A a pan apwal on mepukat ni pali uduk arail. A nai jota men, me apwal kot en lel on komail.
2e071d0079	A ri ai kan, mepukat i indada, pweki anjau o me motomot. A pil eu: Me mau on me ar warok mier, en wia dene jota ar warok;
2e071e0072	O me kin janejan, dene jota janejan; o me kin pereperen, dene jota ar peren; o me kin netinet, dene jota ar kapwa.
2e071f0057	O me dodokki jappa, ren kalaka, pwe eder wiaki me jued. Pwe mom en jappa et pan rojala.
2e07200076	A i men, komail ender lodi on me apwal. Me jota papaud, kin apwali me japwilim en Kaun o, duen a pan kaperenda Kaun o.
2e07210048	A me papaud, kin lamelame, me kon on jappa, duen a pan kaperenda a paud.
2e072200d8	A nan pun en li papaud o peinekap me wuk pajan: Me jota papaud, kin apwali me japwilim en Kaun o, pwen jaraui ni pali war o pil ni pali nen; a me papaud, kin inon ion me kijan jappa, duen a pan kak kaperenda a warok.
2e0723009a	Mepukat i inda wei, pwen kamaui komail, a kaidin pwen jaliedi komail, a pwen jauaja komail, pwe karoj en inen o pun re omail, o pwe komail en papa Kaun o.
2e072400ad	A ma amen lamelame, me japun, ma a jota pan mueid on na jeripein, me mau on papaud, en papaud; ari, a pan wia duen me a mauki, pwe kaidin dip, ma a pan mueid on i en papaud.
2e07250080	A ma amen me kelail ni monion i, pil kelail on kaunda, pein injen a, ap inauki on nan monion i en kolekol na jeripein, I me mau.
2e07260046	Ari, ma amen pan papaud me mau, a ma amen jota pan papaud, me mau jan.
2e07270093	Li papaud amen me kaupina kidi pun en papaud arain a warok memaur; a ol o lao mela, nan a maio on kapapaud, me a mauki, i eta; a en wiaui ren Kaun.
2e07280061	Meid pai, ma a pan dadaurata a kirip duen me i lameda, A nai aja, me Nen en Kot pil kotikot re i.
2e0801008b	A kitail ajaer duen mairow on ani mal, pwe kitail karoj me lolekow. A lolekow eta kin kaaklapalapiela, a limpok kin kamauiela. wiaw. in. iu
2e0802004f	A ma amen aklapalapaki a lolekon, nan a jota non dedeki duen me itar on en aja.
2e08030028	A ma amen pok on Kot, nan Kot me mani i.
2e08040085	A kitail dedekier duen mana uduk en mairon on ani mal akan, pwe ani mal amen jota katepa nin jappa, o jota amen Kot, pwe I me ta men.
2e08050061	Pwe ma akai mia, me adaneki kot, me kin mimi nanlaw de nin jappa, pwe kot toto o monjap toto mia;
2e080600ae	A atail Kot me ta men, me Jam, me dipijou karoj tapi jan re a, o me kitail wiaui on. O atail Kaun me ta men: Iejuj Krijtuj, me wiadar meakaroj, o me kitail pil wiaui kidar i.
2e08070098	A kaidin karoj me aja mepukat, pwe akai mia, me lamelame, me ani mal meakot, ap kankan uduk en mairon on ani mal, o iei injen luet arail kin jamin kila.
2e08080090	A kijin mana jota kin jauaja kitail ren Kot. Ma kitail jota pan mana, kitail jota pan jued kila, a ma kitail pan mana, kitail jota pan mau kila.
2e0809004b	A kalaka komail, pwe omail jaladokalar ender kadipikelekel on me luet akan!
2e080a00a1	Pwe ma koe, me aja tiak, ap manamana nan im en ani mal o, a me luet amen pan kilan om manamana, ap aima kida nan injen a, ap ian manamana mairon en ani mal akan,
2e080b0047	Iduen ri atail luet amen, me Krijtuj mata kilar, pan mekila om jaladok.
2e080c006b	A ma iduen omail dip ion ri atail akan, me kin kawela injen luet arail, nan komail kin wia dip ion Krijtuj.
2e080d0058	Ari ma kijin mana kamakar ri ai, i jolar pan mana uduk kokolata, pwe i de kamakar ri ai.
2e09010072	KAIDIN nai maiodar? Kaidin wanporon amen nai? I jota udialer Iejuj atail Kaun? Kaidin ai wiawia pan Kaun o komail?
2e09020067	Ma i jota wanporon amen on me tei ko, a on komail; pwe komail kajale pan ai koa en wanporon pan Kaun o.
2e09030032	Iduen i kin japenki, ma meamen kin kalelapok re i.
2e09040025	A jota muei ow kit er, en mana o nim?
2e09050083	A jota muei on kit er, en paudeki li amen, me pan ian kit jailok jili, duen me wanporon tei kan, o ri en Kaun o, o Kepaj kin wiada?
2e09060040	De nai o Parnapaj eta me a jota muei on liki jan dodok en pa at?
2e090700a1	Ij me kin ian mauin ap pwain pein i? Ij me wiada mat en wain eu, me jota kin kan kijan wa? Ij me kin kamana pwin man akan me jota kin kan pil en didi en man oko?
2e09080058	Mepukat i jota kin inda nin tiak en aramaj akan, pwe kaidin kapun o me pil majanier due?
2e09090088	Pwe a intinidier nan kapun en Mojej: Koe der pira pena au en kau ol amen, me kin tiaka pajan korn. Iaduen, Kot kin apapwali kau ol akan?
2e090a009c	De kaidin pweki kit, me a kotin majaniekier mepukat? Pwe me kin japajap, en kaporoporeki a dodok; o me kin dolun en kaporoporeki, me a pan ian ale kijan wa.
2e090b006a	Pwe ma kit wiai on komail japajap nenin, a kaidin me kajampwal kot, me komail pan apwali kit ni pali uduk.
2e090c00c2	A ma a muei on me tei kan, ale jan omail dipijou kan, nan kit me jo mau on jan irail? Ari jo, kit jota kol on kit tiak wet, a je men mia ni at apwal akan, pwe jen de karompwa ronamau en Krijtuj.
2e090d009a	Komail jota aja, me irail, me jopijokki jaraui, pil manamana jan nan im en kaudok, o me irail, me kin papan pei jaraui, pil aleki pwaij ar jan pei jaraui?
2e090e004f	Iduen Kaun o kotin majani, me irail, me padaki ronamau, pil pan manaki ronamau.
2e090f009d	A nai jota kin kol on ia eu ren mepukat, o i jota intin wei mepukat, pwe komail en kapwai on ia mepukat, pwe a mau on ia en mela, mon amen pan kawela mar ai.
2e0910006c	Pwe ma i padaki ronamau, jota me i en juaiki, pwe i en udan wiada; pwe jued on ia, ma i jota padaki ronamau.
2e0911005e	Pwe ma i peren kida dodok wet, i pan ale katin, a ma i kan wiada, nan kujoned mia, i en wiada.
2e09120066	Ari, ia katin pai ni ai padaki ronamau ap jota pwaipwai, pwe i ender akapwaipwaiki jan ronamau meakot.
2e09130076	Pwe nai me udan maiodar jan amen amen, ari jo, i wia kin ia ladun amen amen, pwe i en kamaurela me toto duen i kak on.
2e091400b3	I wia kin ia Juj amen on Juj akan, pwen kamaurela Juj akan; o on irail, me mi pan kapun, dueta pan kapun amen, pwen kamaur ir ala, me mi pan kapun; ari jo, nai jolar mi pan kapun.
2e091500b9	On irail me jota mi pan kapun, i wia kin ia me jota mi pan kapun amen; ari jo, kaidin nai me likin kapun mon Kot, pwe I kin mi pan kapun en Krijtuj, pwen kamaurela me jota mi pan kapun.
2e0916008a	On me luet akan, i wia kin ia me luet amen, pwen kamaurela me luet akan. Nai wiala jon karoj on amen amen, pwen kamaurela akai waja karoj.
2e0917003c	I me i kin wiawia pweki ronamau, pwe i en ian i pwai jaijki.
2e09180083	Komail jota aja, duen men weir en tan, irail karoj kin tan, a amen ta, me pan ale pai? Komail ari en tan idipok, pwe komail en ale.
2e09190073	A amen amen me aktan idipok, kin ijejol pokon. Irail kin wia me, pwen ale mar kamon a kitail, pwen ale me jo kamon.
2e091a0047	Arai ari aktan jopuiok; nai kin pepei, a kaidin dueta me woki nan wawa;
2e091b0055	Pwe i kin jok pon war ai, pwen katenedi, pwe i de padaki on akai, ap pein lokidokila.
2e0a010063	PWE ri ai kan, i men, komail en aja duen jam atail akan, me mi pan palin dapok eu o kotela madau o.
2e0a02003c	Irail karoj ap paptaij on Mojej ni palin dapok o ni madau o,
2e0a03001a	O karoj tunoler jak nenin,
2e0a040063	O karoj nim jan pil nenin; pwe irail nim jan paip nenin, me kotikot re ’rail, iei paip o Krijtuj.
2e0a050055	A me toto re ’rail, me Kot jota kak kupuramauki, pwe irail lokidokilar nan jap tan.
2e0a060067	A mepukat wiauier, pwe kitail de kaalemoni, pwe kitail ender inon ion me jued akan duen irail inon ion.
2e0a070070	Komail pil ender kati ani mal due irail, duen a intinidier: Aramaj pukat mondi penan nam o nim ap uda madomadon.
2e0a08005d	Kitail pil der wia nenek, duen me akai irail wiadar, ap rianen jilekid mekilar ni ran ta ieu.
2e0a090056	Kitail pil der kajonejon Krijtuj, duen akai irail kajonejon i, ap mekilar jerpent kai.
2e0a0a0050	Komail pil der lipaned, duen akai ir lipanededar, ap kame kilar men kamekam men.
2e0a0b0072	Mepukat karoj wiaui on irail men kaalemoni; ap intinidier, pwe men panaui kin kitail, pwe kitail leler imwin kaua.
2e0a0c0048	Ari ma amen lamelame, me a kajinenda, en kalaka pein i, pwe a de pupedi.
2e0a0d00c7	Jota jonejon eu lel on komail, i eta, me aramaj itar on pwe Kot me melel, me jota kin mueid on komail Jonejon eu me komail jota itar on, A ni jonejon a pan kotin kaimwijokela duen me pan kak pa omail
2e0a0e0032	Ari kompoke pai kan, komail tane jan kati ani mal!
2e0a0f0055	Mepukat i indai on komail, pwe komail me lolekon; a pein komail kajauiada, me i inda.
2e0a10009b	Dal en pai me kit kin kapaiada, kaidin i dal en atail jaupena ren ntan Krijtuj? O prot me kit kin pilitiki pajan, kaidin i atail jaupena en war en Krijtuj?
2e0a11005b	Pwe kitail me toto me lopon ta ieu, o war ta ieu, pwe kitail karoj tunole jan lopon ta ieu.
2e0a120064	Komail kilan Ijrael pali uduk. Irail me kin kan jan mairon, kaidin irail pil minimini on pei jaraui?
2e0a130057	A da me i en inda? I en inda me mairon on ani mal meakot? De dikedik en ani mal meakot?
2e0a140081	A karoj me men liki kan maironki, re kin maironki on tewil akan a kaidin on Kot. A I jota mauki, komail en minimin on tewil akan.
2e0a15007e	Komail jota kak nima jan dal en Kaun o pil jan dal en tewil akan; komail jota kak ian tepel en Kaun o pil tepel en tewil akan.
2e0a160033	De kitail en palian Kaun o? Kitail me kelail jan i?
2e0a170069	A muei oner meakaroj, a kaidin karoj me kin kamaula; a muei oner meakaroj, a kaidin karoj me kin kapunla.
2e0a180032	Jota amen me pan apwali pein a dipijou, a en amen.
2e0a19007d	Karoj me kin netila nan wajan netikila uduk, komail kan, ap der kalelapok duen jon ar, pwe komail der katoutouki injen omail.
2e0a1a0028	Pwe japwilim en Kaun jappa o audepa kan.
2e0a1b00c8	A ma amen, me jopojon pan luke komail, en toun kapara kamadip, o ma komail men ian, ari, karoj me pan nek on komail, komail en kan, ap der kalelapok duen jon a, pwe komail der ka toutouki injen omail.
2e0a1c0081	A ma amen pan indan komail: Met kijan mairon en ani mal, komail der kan pweki i, me kajaledar, pwe komail der kawela injen arail.
2e0a1d0071	A met i jolar inda duen pein injen om a duen injen en amen. Pwe menda injen en amen pan kajauiada ai jaladokelar?
2e0a1e004b	Pwe ma i ian kan ki danke, menda i en kalok jued, pwe i tunole ni ai danke?
2e0a1f0052	Ari, ma komail kan de nim de wia meakot, komail en wia meakaroj, pwen wauneki Kot.
2e0a200043	Komail der kadipikelekel men Juj, de men Krik, de momodijou en Kot,
2e0a210075	Duen i kin pok on amen amen ni ai wiawia kan karoj, o jo moneki me pein ai, pwen jauaja me toto, pwe irail en dorela.
2e0b01002e	KOMAIL idauen ia do duen I kin idauen Krijtuj.
2e0b02006e	I kin kapinaki komail omail tamataman ia ni meakan karoj, o dadaurata pun kan, duen i kakalikidi on komail er.
2e0b030061	A i men, komail en ajadar, me Krijtuj tapwin ol akan, a ol me tapwin li, a Kot me tapwin Krijtuj.
2e0b04005a	A ma amen amen ren ol akan wia kapakap de kokop ap lijoropedi, a kin kajuedeki pein mon a.
2e0b05007e	A ma li amen wia kapakap de kokop, ap jota lijoropedi, nan I kin kajuedeki pein mon a, pwe a rajon me pit en mon a jeijei jan.
2e0b060068	Pwe ma li amen jota lijoropedi, en koteda, a ma a kanamenok li en kotedar o kotokot, i en pwaindi mon a.
2e0b070053	A ol o ender lijoropedi, pwe i me kajanjal o linan en Kot, a li o me linan en ol o.
2e0b080025	Pwe ol jo tapi jan li, a li jan ol o.
2e0b09002c	Pwe ol jota wiaui on li, a li wiaui on ol o.
2e0b0a0039	I me li o en kida manaman eu pon mon a pweki tounlan kan,
2e0b0b0062	Ari jo, li amen jota kak mia ma jota ol; o ol amen jota kak mia, ma jota li, a mepukat ren Kaun o.
2e0b0c004f	Pwe duen li o a tapi jan ol, iduen ol o wiaui kida li, a karoj wiauier ren Kot.
2e0b0d0057	Komail en pein kajauiada, ma a janjal mau, ma li amen kapakap on Kot, ap jo lijoropedi.
2e0b0e003b	De pein komail aja, me kanamenok pan ol, ma a pwili peipei.
2e0b0f0047	A linan en li a pwilipeipei, pwe pid en mon a en ko on i, en pwaindi i.
2e0b10005f	A ma amen re omail men akamai, a en aja, me kit jota kin wia due, momodijou en Kot akan pil jo.
2e0b110067	A ni ai kujonededa me pukat i jota kin kapina omail pokon pena, me jota kin ka maui a kajuedeki komail,
2e0b120063	Pwe ni omail pokon pena nan momodijou, i ronadar, me komail kin liak toror pajan, o i mur kamelele.
2e0b130047	Pwe komail en liak toror pajan, pwe me pun kan en janjal kida re omail.
2e0b14003f	Komail lao pokon pena waja kij, kaidin i jak kamadip en Kaun o.
2e0b15004d	Pwe ni kamadip toun kapar kin amatan maj, a amen men manadar, a amen jokolar.
2e0b1600b2	Jota im omail, waja en mana o nim? De komail kin mamaleki momodijou en Kot o kanamenok ir ala, me jota ar tunol? Da me i en inda? I en kapin komail? Ni mepukat i jota pan kapina.
2e0b170068	Pwe i aleer jan ren Kaun o, me i pwiliki on komail er, me Kaun Iejuj pon ota en a panala, a limada prot,
2e0b180086	Murin a laolaoki, kamauieda, pilitiki pajan, majani: Ale tunole war ai met et, me pilitiki on komail, en wia, pwen katakataman kin ia.
2e0b190096	A murin jak, a pil kotin limada dal majani: Dal wet iei inau kap, me wiaui kidar nt’ ai. Pan pak en omail nima jan, komail wiaki men kataman kin ia.
2e0b1a0068	Pwe pan pak en omail kan prot wet o nima jan dal wet, Komail kajanjaleda en Kaun a matala, lao a kotido.
2e0b1b005a	Ari me kan prot wet o nim jan dal en Kaun o ap jo war on iei me dip ion war o ntan Kaun o.
2e0b1c0040	Amen amen en kajauiada pein i, ap kan jan prot o nima jan dal o.
2e0b1d0056	Pwe me kan o nim jowar, kin kan o nim kadeik on pein i, pwe a jota kajampwaleki war o.
2e0b1e0048	Nan i me toto nan pun omail me luetalar o jomaudar, o me toto mairedier.
2e0b1f0041	Pwe ma kitail kajauiada pein kitail, kitail jota pan pakadeikada.
2e0b200064	A ma kitail pan pakadeikada, kitail pan kalokolok ren Kaun o, pwe kitail de ian men liki lokidokila.
2e0b21004d	Ari ri ai ol akan, komail lao pokon pena pwen jak, en papajan pena amen amen.
2e0b22007f	A ma amen men manadar, i en mana maj nan im a; pwe komail de pokon penan kadeik o. A me lua kan i pan kapunala ni ai pwara won.
2e0c01003c	RI ai kan, i jota men, komail en jaja duen pwaij nenin akan.
2e0c02006a	Komail ajaer, me komail tikidar men liki, ap kakalua ren dikedik en ani loten akan, duen komail kakaluaer.
2e0c030093	I me i men kaaja kin komail, jota amen, me lokaiaki Nen en Kot, kak kariala Iejuj. o jota amen me pan kak inda: Main Iejuj, ma jo ren A Nen jaraui.
2e0c040031	A pai en mak akan me wuki pajan, a Nen me ta men.
2e0c050029	A jon en dodok me toto, a kaun me ta men.
2e0c060053	O akai jon en manaman mia, a Kot me ta men, me kotin wiawia meakaroj ren amen amen.
2e0c07003e	A pwaij en Nen jaraui me pan on amen amen, pwen men kamauiada.
2e0c08004b	Pwe amen ereki majan en erpit ren Nen, a amen majan en kaparok ren Nen ota.
2e0c090060	O on amen, en pojon, a ren Nen ota, o on amen pai kan, men kakelada me jomau kan, a ren Nen ota.
2e0c0a009a	O on amen, en wiada manaman, o on amen, en deideikop, o on amen, en kajaui nen akan, o on amen, en lokaia nil wuki pajan, o on amen, en kawukila nil akan.
2e0c0b0040	A mepukat karoj wiawian Nen ota, nene on amen amen duen kupur a.
2e0c0c005e	Pwe duen war eu ta ap kokon toto mia, a kokon en war karoj wiala war ta ta ieu, iduen Krijtuj.
2e0c0d008f	Pwe Nen ta ieu, me kitail paptaijeki on war ta ieu, ma kitail men Juj de men Krik, ma ladu de me maioda, kitail karoj me paptaijeki Aen ta ieu.
2e0c0e002c	Pwe war kaidin kokon ta ieu, pwe kokon toto.
2e0c0f0073	A ma pat en na pan inda: Nai kaidin kumut eu, o i me nai jota kijan war; a iaduen, i me a jota pan kak kijan war o?
2e0c10006f	A ma jalon o pan inda: Kaidin nai kijan war o, pwe kaidin por en maj eu nai; a iaduen, i me a jota kijan war o?
2e0c11005a	Ma war pokon por en maj eu, da me pan jalon o? A ma war pokon pan jalon o, da me pan tuma?
2e0c12004b	Ari, Kot me kotin kokon penan war ta ieu kajon akan, duen a kotin kupureda.
2e0c130032	A ma kokon karoj wiala kokon ta ieu, ia pan war o?
2e0c14002b	Ari, kokon akan me toto, a war o me ta ieu.
2e0c150082	Por en maj eu jota kak indan kumut: Kaidin meakot re i koe; de pil tapwi jota kak indai on pat en na kan: Kaidin meakot re i koma.
2e0c160044	Pwe kokon en war kai likamata re me luet, a jo, pwe re me kajampwal.
2e0c170099	O kokon en war kai, me kitail kin lamelame, me re jota non mau, kitail kin apapwali jan me tei kan, o irail me jota non janjal mau, kitail kin kapwataki.
2e0c180079	Pwe irail me janjal mau, jota kin mau on en kapwataki. A Kot kotin kapad pena war o kapwataki me luet oko jan me tei kan,
2e0c190038	Pwe war de japarok pajan, a kokon akan en apapwali pena.
2e0c1a0079	O ma kajan ta ieu matakada, kajan karoj ap ian matakada; o ma kajan ta ieu pan kalinanada, kokon karoj pan ian polauleki.
2e0c1b003c	A komail war en Krijtuj o kokon akan amen amen duen pwaij a.
2e0c1c00d3	A iet akan, me Kot kotiki on momodijou: Kaieu wanporon akan, ap jaukop akan, a kajilu jaunpadak kan, ap me wiada manaman akan, ap pai kan men kakelada me jomau kan, ap men jauaja, o jaumaj akan, o jon en lokaia.
2e0c1d0071	Iaduen irail karoj me wanporon akan? Karoj me jaukop akan? Karoj me jaunpadak kan? Karoj me men wia manaman akan?
2e0c1e0078	Karoj ar pai en mak kan, men kakelada me jomau kan mi ren karoj? Karoj kin lokaia nil pajan? Karoj kin kajiriwuk lokaia?
2e0c1f0067	A komail inon ion pai en mak lapalap akan, i ap pan kajale on komail al apot, me mau jan mepukat karoj.
2e0d01006b	MA i aja lokaia en aramaj akan o tounlan kan, ap jota limpok, nan i rajon nil en mata mal de nil en jimpel.
2e0d02009d	O ma i aja deideikop o ereki me rir akan karoj, o tiak kan karoj, o nai dir en pojon, me itar on en kamokid wei nana kan, ap jota limpok nan jota meakot nai.
2e0d030092	O ma i pan kijakija wei ai dipijou karoj, pwen katunoleki me jamama kan, o ma i kida war ai, pwen karonala, ap jota limpok, nan jota katepa on ia.
2e0d040056	Limpok kin kanonama o kadek, limpok jota kin peirin limpok jota kin akmomo o jo kejej.
2e0d050065	A jota kin aklemai, a jota kin roporop on pein i, a jo jerkailon, a jota kin depuk on en amen a jued.
2e0d060034	A jota kin peren me japun, a a kin perenki me melel.
2e0d070054	A kin kak pa meakaroj, o kin pojon karoj, a kaporoporeki karoj, o lolin on meakaroj.
2e0d080060	Limpok jota pan tukedi, a deideikop akan pan tukedi, o lokaia kan pan jola, o lolekon pan kunla.
2e0d09002a	Pwe kitail me er pali ta, o kokop pali ta.
2e0d0a0028	A lao kaunjokala, me pali ta pan momela.
2e0d0b008e	Ni ai jeri i kin lokaia dueta jeri amen o i lamelame dueta jeri amen, o kajaui dueta jeri amen, a i lao wiala ol amen, i muei jan tau en jeri.
2e0d0c0086	Pwe anjau wet kitail kin ireron nan klaj edied eu, a mur a pan janjal mau. Anjau wet i ekij lolekonlar, a mur i pan aja duen a aja ia.
2e0d0d005a	Ari jon jilu pukat: Pojon, kaporopor o limpok pan mimieta, a me lapalap re ’rail limpok.
2e0e01005a	KOMAIL anane limpok, pil inon ion pai nenin akan, a iet me kajampwal re ’rail, kokopada!
2e0e02009e	Pwe me kin lokaia kida nil en wai, kaidin aramaj akan, me a kin lokaia on, a on Kot, pwe jota amen kin dedeki; ari jo, ni nen o a kin lokaia kida me rir akan.
2e0e030050	A me kin kokop, kin padaki on aramaj akan, pwen kamaui, o panau o kamait ir ala.
2e0e040052	A me lokaiaki nil en wai, kin kamaui pein i, a me kin kokop, kin kamaui momodijou.
2e0e0500c2	I men, komail karoj en aja lokaia ki nil toror, a mak eta, komail en kokopada, pwe me kin kokopada, me lapa jan me kin kaparok ki nil toror, ma a jo kak kajiriwukila, pwe momodijou en kamaukila.
2e0e06008c	Ari ri ai kan, ma i pwara won komail, ap lokaia ki nil toror, da katepa on komail, ma I jota kaweweda de kajanjaleda, de kokopada, de padak?
2e0e07007f	Iduen meakan, me kin lokolokaia ap jota memaur, ma men kwai de arp jota pan nor pajan, ij me pan kak dedeki, da me ira kauleki?
2e0e080037	O ma koronete pan popeuk pin, ij me pan onopadan mauin?
