0100000018	उत्पत्ती
250204023a	परंतु हे जरूब्बाबेला, बलवंत हो. हे प्रमुख याजका यहोशुआ, यहोसादाकाच्या पुत्रा बलवंत हो. या देशातील सर्व लोकहो, बलवंत व्हा आणि कामाला लागा, याहवेह जाहीर करतात. कारण ‘मी तुम्हाबरोबर आहे,’ असे सर्वसमर्थ याहवेह जाहीर करतात.
2502050129	‘कारण तुम्ही इजिप्त देश सोडला, तेव्हाच मी तुम्हाला अभिवचन दिले होते की माझा आत्मा तुम्हामध्ये वास करेल. भिऊ नका.’
2502060109	“सर्वसमर्थ याहवेह असे म्हणतात: ‘थोड्या वेळात मी आकाश, पृथ्वी, सागर आणि कोरडी भूमी पुन्हा हलविणार आहे.
2502070149	मी सर्व राष्ट्रे हलवेन आणि सर्व राष्ट्रांची जी इच्छा आहे ते येईल आणि मी गौरवाने हे स्थान भरेन,’ असे सर्वसमर्थ याहवेह म्हणतात.
25020800a8	‘रुपे माझे आहे व सोनेही माझे आहे,’ सर्वसमर्थ याहवेह जाहीर करतात.
25020901b6	सर्वसमर्थ याहवेह असे म्हणतात, ‘सध्याच्या या भवनाचे वैभव पहिल्या भवनाच्या वैभवापेक्षा श्रेष्ठ असेल, या स्थळात मी शांती बहाल करेन,’ असे सर्वसमर्थ याहवेह जाहीर करतात.”
25020a015b	दारयावेश राजाच्या कारकिर्दीच्या दुसर्‍या वर्षी, नवव्या महिन्याच्या चोविसाव्या दिवशी, संदेष्टा हाग्गयद्वारे याहवेहचे हे वचन आले:
25020b00cb	“सर्वसमर्थ याहवेहचे असे म्हणणे आहे: ‘याजकांना विचार नियमशास्त्र काय म्हणते:
25020c023d	तुमच्यापैकी कोणी आपल्या झग्यामध्ये पवित्र मांस घेऊन जात असेल आणि त्यावेळी त्याच्या झग्याचा स्पर्श भाकर, द्राक्षारस अथवा मांस यांना झाला, तर स्पर्श झालेला पदार्थ पवित्र होईल काय?’” त्यावर याजकांनी उत्तर दिले, “नाही.”
25020d0228	मग हाग्गयाने त्यांना विचारले, “समजा, कोणी एखाद्या प्रेताला शिवले आणि विधिनियमानुसार तो अपवित्र झाला आणि नंतर त्याचा स्पर्श या वस्तूंना झाला, तर ते अपवित्र होते काय?” याजकांनी उत्तर दिले, “होय, ते अपवित्र होते.”
25020e0178	नंतर हाग्गयने म्हटले, “‘तर हे लोक व हे राष्ट्र माझ्या नजरेत हे असेच आहे,’ याहवेह जाहीर करतात. ‘ते जे काही करतात व जी अर्पणे आणता ती अपवित्र असतात.
25020f0182	“‘आता तुम्ही आजपासून गंभीरपणे याचा विचार करा; याहवेहचे मंदिर बांधण्यास आरंभ केला तेव्हा एका दगडावर दुसरा दगड ठेवीपर्यंत सर्व परिस्थिती कशी होती.
25021001cf	जेव्हा कोणी वीस मापे धान्याच्या राशीची अपेक्षा केल्यास, तिथे फक्त दहा मापेच धान्य मिळत असे. जर कोणी द्राक्षकुंडातून पन्नास मापे द्राक्षारस काढला, तर त्याला वीसच मापे मिळत असे.
2502110171	तुमच्या हाताच्या सर्व कार्यास मी तांबेरा, भेरड आणि गारांनी फटका दिला, तरीही तुम्ही माझ्याकडे परत येण्याचे नाकारले,’ असे याहवेह जाहीर करतात.
25021201c1	‘आजपासून म्हणजे नवव्या महिन्याच्या चोविसाव्या दिवशी, ज्या दिवशी याहवेहच्या मंदिराचा पाया घालण्याचे काम पूर्ण झाले, त्या दिवसाचा गंभीरपणे विचार करा. गंभीरपणे विचार करा:
25021301d2	धान्याच्या कणगीत एक तरी धान्यकण उरला आहे का? आतापर्यंत द्राक्षवेल, अंजिराच्या झाडाला, डाळिंबाला आणि जैतुनाच्या झाडाला फळे लागलीच नाहीत. “‘आजपासून मी तुम्हाला आशीर्वाद देईन.’”
25021400c9	त्या महिन्याच्या चोविसाव्या दिवशी याहवेहकडून हाग्गयला दुसऱ्यांदा वचन आले:
25021500c3	“यहूदीयाचा राज्यपाल जरूब्बाबेलला सांग, मी आकाश व पृथ्वी हलवून सोडणार आहे.
2502160203	सर्व राष्ट्रांमधील राजासने उलथून टाकेन व परकियांचे सामर्थ्य डळमळीत करणार आहे. मी त्यांचे रथ व त्यांचे सारथी उलथून टाकेन; घोडे व त्यावरील स्वार पडतील, प्रत्येकजण त्याच्या भावाच्या तलवारीने पडेल.
25021701df	“‘त्या दिवशी माझ्या सेवका,’ सर्वसमर्थ याहवेह म्हणतात, ‘हे शल्तीएलचा पुत्र जरूब्बाबेला, मी तुला माझ्या बोटातील मुद्रेची अंगठी करेन; कारण मी तुला निवडले आहे,’ असे याहवेह जाहीर करतात.”
2600000018	जखर्‍याह
2601010194	दारयावेश राजाच्या कारकिर्दीच्या दुसर्‍या वर्षी आठव्या महिन्यात इद्दोचा नातू व बेरेख्याहचा पुत्र, संदेष्टा जखर्‍याहला याहवेहकडून हे वचन प्राप्त झाले:
260102008e	“याहवेह तुमच्या पूर्वजांवर अत्यंत क्रोधित झाले होते.
2601030161	म्हणून लोकांना सांग: सर्वसमर्थ याहवेह असे म्हणतात: ‘तुम्ही माझ्याकडे परत या आणि मी तुम्हाकडे परत येईन,’ सर्वसमर्थ याहवेह असे म्हणतात.
2601040242	तुमच्या पूर्वजांसारखे तुम्ही होऊ नका, ज्यांना पूर्वीच्या संदेष्ट्यांनी घोषणा केली: ‘आपल्या दुष्ट मार्गापासून व दुष्ट प्रथांपासून मागे वळा.’ पण त्यांनी माझे ऐकले नाही वा त्याच्याकडे लक्ष दिले नाही, याहवेह जाहीर करतात.
2601050093	तुमचे पूर्वज कुठे आहेत? आणि संदेष्टे, ते कायमचे जगतात का?
2601060303	पण माझी वचने व माझे नियम जे मी माझ्या सेवक संदेष्ट्यांना आज्ञापिले होते, त्यांनी तुमच्या पूर्वजांना मागे टाकले आहे ना? “तेव्हा त्यांनी पश्चात्ताप केला व ते म्हणाले, ‘आमचे वागणे व प्रथांमुळे याहवेहकडून आम्हाला जी शिक्षा मिळाली, त्यास आम्ही पात्र आहोत. जी करण्याचा त्यांनी निर्धार केला होता.’”
260107020d	दारयावेश राजाच्या कारकिर्दीच्या दुसर्‍या वर्षी वर्षाच्या अकराव्या महिन्यातील चोविसाव्या दिवशी, शबात महिन्यात, संदेष्टा जखर्‍याह, बेरेख्याहचा पुत्र व इद्दोचा नातू याला याहवेहचे वचन प्राप्त झाले.
2601080212	रात्रीच्या वेळी मला एक दृष्टान्त मिळाला, एका तांबड्या घोड्यावर एक मनुष्य बसलेला मी पाहिला. तो एका खोऱ्यात मेंदीच्या झुडपांमध्ये उभा होता. त्याच्या पाठीमागे तांबडे, तपकिरी व पांढरे असे दुसरे घोडे होते.
260109014f	मी विचारले, “माझ्या प्रभू, हे सर्व काय आहे?” एक स्वर्गदूत जो माझ्याशी बोलत होता, त्याने उत्तर दिले, “ते काय आहे हे मी तुला दाखवेन.”
26010a0154	मग मेंदीच्या झुडपांमध्ये उभे असलेल्या मनुष्याने सांगितले, “याहवेहने यांना संपूर्ण पृथ्वीवरून फेरी मारण्याकरिता पाठविले आहे.”
26010b01c6	मग त्यांनी मेंदीच्या झुडपांमध्ये उभ्या असलेल्या याहवेहच्या दूताला वृतांत सांगितला, “आम्ही सर्व पृथ्वीवरून फिरून आलो आहोत आणि संपूर्ण जगात विश्रांती व शांतता नांदत आहे.”
26010c01db	मग याहवेहच्या दूताने म्हटले: “हे सर्वसमर्थ याहवेह, गेली सत्तर वर्षे तुम्ही यरुशलेम व यहूदीयाच्या नगरांवर संतापलेले आहात, त्यांच्यावर दया करण्याचे तुम्ही किती वेळ नाकारणार आहात?”
26010d00ed	तेव्हा माझ्याशी संवाद करीत असलेल्या दूताला याहवेहने सांत्वनपर व आश्वासनदायक उत्तर दिले.
26010e01a0	मग माझ्याशी संवाद करीत असलेला याहवेहचा स्वर्गदूत म्हणाला, “या वचनाची घोषणा कर: सर्वसमर्थ याहवेह असे म्हणतात: ‘मी यरुशलेम व सीयोनाबाबत अत्यंत ईर्ष्यावान आहे,
26010f01fe	ज्या अन्य राष्ट्रांना सुरक्षित वाटते त्यांच्यावर मी फार क्रोधित झालो आहे, कारण आधी मी माझ्या लोकांवर थोडा नाराज होतो, पण त्यांना शिक्षा देण्याचा अधिकार मिळालेली राष्ट्रे मर्यादेपलिकडे गेली.’
26011001d3	“म्हणून याहवेह असे म्हणतात: ‘मी करुणायुक्त होऊन यरुशलेमकडे परत येईन आणि तिथे माझे भवन पुन्हा बांधले जाईल आणि मापनपट्टी यरुशलेमवर ताणली जाईल,’ असे सर्वसमर्थ याहवेह जाहीर करतात.
26011101bf	“आणखी पुढे घोषणा करा: सर्वसमर्थ याहवेह असे म्हणतात: ‘माझी नगरे पुन्हा समृद्धीने ओसंडून वाहू लागतील आणि याहवेह पुन्हा सीयोनाचे सांत्वन करतील आणि यरुशलेमची निवड करतील.’”
2601120069	नंतर मी वर पाहिले तर मला चार शिंगे दिसली.
26011301b0	मी माझ्याशी संवाद करीत असलेल्या दूताला विचारले, “हे काय आहे?” त्याने उत्तर दिले, “ही शिंगे आहेत, ज्यांनी यहूदीया, इस्राएल आणि यरुशलेम येथील लोकांची पांगापांग केली.”
2601140069	नंतर याहवेहने मला चार शिल्पकार दाखविले.
2601150399	तेव्हा मी विचारले, “हे काय करण्यासाठी आले आहेत?” तेव्हा याहवेहच्या दूताने उत्तर दिले, “ही ती चार शिंगे आहेत ज्यांनी यहूदीयाची इतकी पांगापांग केली, की कोणीही आपले मस्तक वर उचलू शकले नाही, पण हे शिल्पकार त्या चार शिंगांना पकडून भयभीत करून व यहूदीयाविरुद्ध आपली शिंगे उंच करून तिच्या लोकांची पांगापांग करणाऱ्या राष्ट्रांना फेकून देण्यासाठी आले आहेत.”
26020100d1	मग मी वर पाहिले, तेव्हा माझ्यासमोर हातात मापनपट्टी घेतलेला एक मनुष्य मला दिसला.
260202017a	मी त्याला विचारले, “तू कुठे जात आहेस?” तो म्हणाला, “मी यरुशलेमेचे मोजमाप घेण्यासाठी चाललो आहे. ती किती लांब व किती रुंद आहे हे मला पाहावयाचे आहे.”
260203010c	आणि पाहा, जो स्वर्गदूत माझ्याशी बोलत होता तो जाऊ लागला, तेव्हा दुसरा एक स्वर्गदूत त्याला भेटण्यास आला.
2602040135	व त्याला म्हणाला: “पळत जा आणि त्या तरुणाला सांग, की यरुशलेम तटबंदी नसलेले नगर होईल कारण तिथे असंख्य लोक व जनावरे असतील.
26020500f0	आणि मी स्वतः त्याभोवती अग्नीचा कोट होईन व आत त्या नगरीचे वैभव होईन,” असे याहवेह जाहीर करतात.
2602060161	“चला! चला! उत्तरेकडील देशांमधून बाहेर पळा, कारण मी तुम्हाला स्वर्गातील वाऱ्याच्या चारही दिशांना विखुरले आहे,” असे याहवेह जाहीर करतात.
2602070062	“चल सीयोने! जी तू बाबेल कन्येत राहते!”
26020801d2	सर्वसमर्थ याहवेह असे म्हणतात, “गौरवशाली प्रभूने तुम्हाला लूटणाऱ्या राष्ट्राविरुद्ध मला पाठविले—जो कोणी तुम्हाला स्पर्श करतो, तो याहवेहच्या डोळ्यातील बुबुळाला स्पर्श करतो—
2602090188	मी निश्चितच त्यांच्याविरुद्ध माझा हात उगारेन, म्हणजे त्यांचेच गुलाम त्यांची लुटालूट करतील. मग तुम्हाला कळेल की सर्वसमर्थ याहवेहने मला पाठविले आहे.
26020a0112	“अगे सीयोनकन्ये, गीत गा आणि उल्हास कर! कारण मी येत आहे आणि मी तुम्हामध्ये वस्ती करेन,” याहवेह जाहीर करतात.
26020b014f	“त्या दिवसात अनेक राष्ट्रे याहवेहकडे वळतील. मी तुम्हामध्ये वस्ती करेन मग तुम्हाला कळेल की सर्वसमर्थ याहवेहने मला पाठविले आहे.
26020c00ce	आणि यहूदीया ही पवित्र भूमी याहवेहचे वतन होईल, आणि ते पुन्हा यरुशलेमला निवडतील.
26020d0100	हे सर्व मानवजाती, याहवेहपुढे स्तब्ध राहा, कारण ते आपल्या पवित्र निवासस्थानातून जागृत झाले आहेत.”
26030101a0	नंतर प्रमुख याजक यहोशुआ हा याहवेहच्या दूतापुढे उभा असल्याचे दूताने मला दाखविले आणि सैतान ही तिथे दूताच्या उजव्या बाजूला होता आणि तो यहोशुआवर आरोप करीत होता.
26030201e5	तेव्हा याहवेह सैतानाला म्हणाले, “अरे सैताना, याहवेह तुला धमकावितात! यरुशलेमची निवड करणारे याहवेह तुला धमकावितात! अग्नीतून बाहेर ओढून काढलेल्या जळत्या कोलितासारखा हा मनुष्य नाही का?”
26030300b3	याहवेहच्या दूतासमोर उभ्या असलेल्या यहोशुआची वस्त्रे घाणेरडी होती.
26030401e7	तेव्हा तिथे उभे असलेल्यांना स्वर्गदूत म्हणाला, “त्याची घाणेरडी वस्त्रे काढा.” मग यहोशुआला तो म्हणाला, “पाहा, मी तुझी पापे दूर केली आहेत आणि आता मी तुला ही महायाजकाची वस्त्रे घालीत आहे.”
26030501af	मग मी म्हणालो, “त्याच्या डोक्याला स्वच्छ फेटा बांधा.” तेव्हा याहवेहचा स्वर्गदूत तिथे उभा असताना त्यांनी त्याच्या डोक्याला एक स्वच्छ फेटा बांधला व वस्त्रे चढविली.
260306008e	नंतर याहवेहच्या दूताने यहोशुआवर ही जबाबदारी सोपविली:
26030702aa	“सर्वसमर्थ याहवेह असे म्हणतात: ‘जर तू आज्ञाधारकपणे माझ्या मार्गांनी चालशील, तर तू माझ्या भवनावर शासन करशील आणि माझ्या न्यायमंदिरावर अधिकार चालवशील. ते पवित्र ठेवावेस म्हणून मी ते तुझ्या ताब्यात देईन; आणि इथे उभे असलेल्यांच्या बरोबरीने तू स्थान ग्रहण करशील.
2603080144	“‘ऐक, हे प्रमुख याजका यहोशुआ, तू आणि तुझ्याबरोबर बसलेले तुझे सहकारी, जे भावी काळाची चिन्हे आहेत: मी माझा सेवक, शाखा आणणार आहे.
26030901ae	पाहा, मी यहोशुआसमोर एक दगड ठेवला आहे! या दगडाला सात नेत्र आहेत, मी त्यावर एक शिलालेख कोरणार आहे आणि या देशाची पापे एका दिवसात दूर करेन,’ सर्वसमर्थ याहवेह असे म्हणतात.
26030a018d	“‘त्या दिवशी तुम्ही तुमच्या शेजार्‍यांना तुमच्या द्राक्षलतेच्या व अंजिराच्या झाडाखाली बसण्यास आमंत्रित करणार,’ सर्वसमर्थ याहवेह असे जाहीर करतात.”
2604010109	मग जो याहवेहचा स्वर्गदूत माझ्याशी बोलत होता, तो परत आला व त्याने मला जागे केले, जणू काय मी झोपेतच होतो.
2604020260	त्याने मला विचारले, “तुला आता काय दिसते?” मी उत्तर दिले, “सात दिवे असलेला एक ठोस सोन्याचा दीपवृक्ष मला दिसत आहे. त्याच्या वरच्या टोकाला एक कटोरा असून, त्यात सात दिवे होते व त्याला लावलेल्या नळ्यांमधून त्या दिव्यांना तेल पुरविले जाई.
26040300de	या कटोर्‍याच्या उजव्या बाजूस एक व डाव्या बाजूस एक अशी दोन जैतुनाची झाडे मला दिसतात.”
26040400e0	तेव्हा जो स्वर्गदूत माझ्याशी बोलत होता, त्याला मी विचारले, “माझ्या प्रभू, हे काय आहे?”
26040500f8	त्यावर देवदूताने उत्तर दिले, “हे काय आहे तुला माहीत नाही काय?” तेव्हा मी म्हणालो, “नाही, प्रभू.”
26040601a7	मग तो मला म्हणाला, “जरूब्बाबेलासाठी याहवेहचा हा संदेश आहे: ‘बलाने नव्हे, पराक्रमाने नव्हे, तर माझ्या आत्म्याने कार्यसिद्धी होईल,’ असे सर्वसमर्थ याहवेह म्हणतात.
26040701ae	“हे विशाल पर्वता, तू कोण आहेस? जरूब्बाबेलापुढे तू सपाट मैदान असा होशील. मग तो शिखरशिलेस बाहेर आणून प्रचंड गजर करेल, ‘याहवेह आशीर्वादित करो! याहवेह आशीर्वादित करो!’”
260408004d	याहवेहकडून मला एक वचन मिळाले:
2604090192	“जरूब्बाबेलाच्या हस्ते या मंदिराचा पाया घातला; आणि तोच स्वहस्ते ते पूर्ण करेल. तेव्हा तुम्हाला समजेल की सर्वसमर्थ याहवेहने मला तुमच्याकडे पाठविले आहे.
26040a01ec	“ही सुरुवात अगदी लहान असली तरी तिला तुच्छ मानण्यास कोण धजावेल, कारण याहवेहचे सात नेत्र संपूर्ण पृथ्वीभर फिरतात व जरूब्बाबेलाच्या हातात शिखरशिला आहे, हे पाहून हर्षाने प्रफुल्लित होतात?”
26040b0119	मग मी त्या दूताला विचारले, “दीपवृक्षाच्या उजव्या बाजूस एक व डाव्या बाजूस एक अशी दोन जैतुनाची झाडे का आहेत?”
26040c0115	मी पुन्हा त्याला विचारले, “तसेच तेल ओतणार्‍या सोन्याच्या दोन नळ्यांजवळ दोन जैतुनाच्या फांद्या का आहेत?”
26040d00e3	त्यावर त्याने मला विचारले, “तुला हे काय आहे ते माहीत नाही काय?” मी म्हटले, “नाही, प्रभू.”
26040e0101	तेव्हा त्याने मला सांगितले, “अखिल पृथ्वीचे प्रभू आहेत, त्यांची सेवा करणारे हे दोन अभिषिक्त आहेत.”
26050100b4	मी पुन्हा वर पाहिले आणि उडत असलेली एक चर्मपत्राची गुंडाळी मला दिसली.
260502014f	त्या दूताने मला विचारले, “तुला काय दिसते?” मी उत्तर दिले, “मला एक उडती गुंडाळी दिसते! ती सुमारे वीस हात लांब व दहा हात रुंद असावी.”
26050302a7	मग तो मला म्हणाला, “हा तो शाप आहे, जो या सर्व भूमीवर येणार आहे; चर्मपत्राच्या गुंडाळीच्या एका बाजूस जे लिहिलेले आहे ते असे, देशातून प्रत्येक चोर घालवून दिला जाईल आणि दुसर्‍या बाजूस म्हटले आहे, जो कोणी शपथ घेऊन खोटे बोलतो, त्या दोषीलाही देशातून घालवून दिले जाईल.
2605040242	सर्वसमर्थ याहवेह जाहीर करतात, ‘मी हा शाप पाठवेन, तो प्रत्येक चोराच्या घरात व माझ्या नावाने खोटी शपथ वाहणार्‍या प्रत्येकाच्या घरात प्रवेश करेल. तो त्या घरावर राहील आणि त्याचे लाकूड व दगडासहित सर्वाचा संपूर्ण नाश करेल.’”
26050500ff	मग जो स्वर्गदूत माझ्याशी बोलत होता तो पुढे आला आणि मला म्हणाला, “वर पाहा आणि बघ काय प्रगट होत आहे.”
2605060131	मी विचारले, “ते काय आहे?” “त्याने उत्तर दिले, ती एक टोपली आहे.” तो पुढे बोलला, “ती संपूर्ण देशातील लोकांची पातके आहेत.”
26050700d9	मग तिचे शिसाचे झाकण वर उघडले गेले आणि त्या टोपलीच्या आत बसलेली एक स्त्री मला दिसली!
260508015e	याहवेहचा स्वर्गदूत म्हणाला, “ती दुष्टाई आहे.” असे म्हणून त्याने तिला पुन्हा त्या टोपलीत ढकलले आणि त्या टोपलीचे शिसाचे झाकण बंद केले.
26050901e0	मग मी वर बघितले—आणि मला दोन स्त्रिया उडतांना दिसल्या, त्यांच्या पंखात वारा भरलेला होता! त्यांचे पंख करकोचाच्या पंखांप्रमाणे होते आणि त्यांनी ती टोपली आकाश व पृथ्वीच्या मध्ये उचलली.
26050a00e8	तेव्हा जो स्वर्गदूत माझ्याशी बोलत होता त्याला मी विचारले, “ती टोपली त्या कुठे नेत आहेत?”
26050b016e	त्याने उत्तर दिले, “शिनार देशात, तिच्याकरिता घर बांधण्यासाठी. जेव्हा घर तयार होईल, तेव्हा ही टोपली त्यामध्ये तिच्या ठिकाणी ठेवण्यात येईल.”
26060100f5	मग मी पुन्हा वर पाहिले, तो दोन पर्वतांमधून चार रथ येत असलेले मला दिसले. ते पर्वत कास्याचे होते.
260602009d	पहिला रथ तांबडे घोडे ओढीत होते, दुसरा रथ काळे घोडे ओढीत होते,
2606030090	तिसरा रथ पांढरे घोडे, तर चौथा रथ पंचरंगी घोडे ओढीत होते.
26060400d0	तेव्हा मी जो स्वर्गदूत माझ्याशी बोलत होता, त्याला विचारले, “प्रभू, हे काय आहेत?”
2606050142	देवदूताने मला उत्तर दिले, “अखिल पृथ्वीच्या प्रभूच्या समोर उभे राहणारे हे चार स्वर्गीय आत्मे आहेत, ते तिथून बाहेर जात आहेत.
260606012d	काळ्या घोड्यांचा रथ उत्तरेला जाईल आणि पांढर्‍या घोड्यांचा रथ पश्चिमेकडे, पंचरंगी घोड्यांचा रथ दक्षिणेकडे जाईल.”
260607019b	जेव्हा ते शक्तिशाली घोडे निघाले, ते संपूर्ण पृथ्वीवर जाण्यास आतुर झाले होते आणि तो त्यांना म्हणाला, “संपूर्ण पृथ्वीवर जा!” तेव्हा ते संपूर्ण पृथ्वीवर गेले.
2606080141	मग त्याने मला बोलाविले आणि तो मला म्हणाला, “जे उत्तरेला गेले, त्यांनी उत्तरेकडील भूमीला माझ्या आत्म्याची शांती दिली आहे.”
2606090049	याहवेहचे वचन माझ्याकडे आले:
26060a0193	“हेल्दय, तोबीयाह व यदायाह यांनी बाबेलमध्ये बंदिवासात असलेल्या यहूदी लोकांकडून आणलेले रुपे व सोने घे. त्याच दिवशी तू सफन्याहचा पुत्र योशीयाहच्या घरी जा.
26060b0120	रुपे व सोने घेऊन त्यांचा एक मुकुट तयार कर. मग तो मुकुट यहोसादाकाचा पुत्र, प्रमुख याजक यहोशुआच्या मस्तकावर ठेव.
26060c0179	त्याला सांग की सर्वसमर्थ याहवेह म्हणतात, ‘हा तो पुरुष आहे, ज्याचे नाव “शाखा” आहे, जो त्याच्या ठिकाणापासून शाखा काढेल आणि याहवेहचे मंदिर बांधेल.
26060d018c	तो याहवेहचे मंदिर बांधेल व तो वैभवशाली वस्त्र परिधान करेल आणि राजासनावर बसेल व राज्य करेल. तो त्याच्या सिंहासनावर याजक होईल आणि या दोघात समन्वय होईल.’
26060e0135	हेलेम, तोबीयाह आणि यदायाह आणि सफन्याहचा पुत्र हेन, यांना याहवेहच्या मंदिराचे स्मृतिचिन्ह म्हणून मुकुट देण्यात येईल.
26060f021f	दूरवर असलेले लोकही येतील व याहवेहचे मंदिर बांधण्यासाठी मदत करतील, तेव्हा तुला कळेल की सर्वसमर्थ याहवेहनी मला तुझ्याकडे पाठवले आहे. तुझे परमेश्वर याहवेह त्यांच्या आज्ञा तू काळजीपूर्वक पाळशील तरच हे घडेल.”
2607010153	दारयावेश राजाच्या कारकिर्दीत चौथ्या वर्षी नवव्या म्हणजे किसलेव महिन्याच्या चवथ्या दिवशी जखर्‍याहला याहवेहकडून संदेश मिळाला.
26070201cf	बेथेल शहरात राहणार्‍या यहूदी लोकांनी राजाचा प्रमुख शासकीय अधिकारी शरेसर आणि रगेम-मेलेकच्या नेतृत्वाखाली लोकांचे एक पथक यरुशलेमच्या मंदिरात याहवेहचा आशीर्वाद मागण्यासाठी,
260703018a	सर्वसमर्थ याहवेहच्या मंदिराच्या याजकांना आणि संदेष्ट्यांना विचारून, “मी इतकी वर्षे करत आलो त्याप्रमाणे मी पाचव्या महिन्यात शोक व उपवास करावा काय?”
260704005a	मग सर्वसमर्थ याहवेहचे वचन मला आले:
26070501df	“तुमच्या देशातील सर्व लोकांना आणि याजकांना हा प्रश्न विचार, ‘गेली सत्तर वर्षे तुम्ही पाचव्या आणि सातव्या महिन्यात जे उपवास आणि शोक करीत होता, ते खरोखर माझ्यासाठी उपवास करत होते काय?
26070600c4	आणि आता देखील तुम्ही मेजवान्या करता, तेव्हा तुम्ही स्वतःसाठी करीत नाही का?
260707022b	ज्यावेळी यरुशलेम आणि तिच्या सभोवतीची उपनगरात शांती व समृद्ध होती आणि नेगेव व दक्षिणेकडील तळवटीच्या प्रदेशातील लोकांचा तिथे जम बसला होता, त्यावेळीच याहवेहनी संदेष्ट्यांद्वारे लोकांना इशारा दिला नव्हता का?’”
260708006b	जखर्‍याहला याहवेहकडून पुन्हा संदेश आला:
26070900e6	“सर्वसमर्थ याहवेह असे म्हणतात: ‘निष्पक्ष न्यायदान करा; एकमेकांशी करुणेने व दयेने वागा.
26070a00fa	विधवा व अनाथ, परदेशीय व गरीब लोक यांच्यावर जुलूम करू नका. तसेच एकमेकांविरुद्ध दुष्ट कट रचू नका.’
26070b0138	“पण त्यांनी माझ्या संदेशाकडे लक्ष देण्याचे नाकारले; त्यांनी हट्टीपणाने माझ्याकडे पाठ केली व आपल्या कानात बोटे घातली.
26070c0288	त्यांनी आपली अंतःकरणे गारगोटीसारखी कठीण केली आणि सर्वसमर्थ याहवेहने आरंभीच्या संदेष्ट्यांना आपल्या आत्म्याने प्रेरित करून त्यांच्याद्वारे दिलेल्या आज्ञा किंवा वचने ऐकण्याचे त्यांनी नाकारले. म्हणूनच याहवेहला त्यांच्यावर अत्यंत क्रोध आला.
26070d0176	“‘जेव्हा मी त्यांना हाक मारली, त्यांनी ऐकण्याचे नाकारले; म्हणून त्यांनी मला हाक मारली, की मी त्यांचे ऐकणार नाही, असे सर्वसमर्थ याहवेह म्हणतात.
26070e021b	चक्रीवादळाप्रमाणे मी त्यांची दूरदूरच्या देशांत पांगापांग केली. त्यांनी मागे सोडलेला त्यांचा देश असा ओसाड झाला, की त्यातून कोणी प्रवासदेखील करेनासे झाले. एकेकाळचा तो रमणीय देश आता त्यांनी निर्जन केला.’”
260801006c	सर्वसमर्थ याहवेहचे वचन मला प्राप्त झाले.
260802011c	सर्वसमर्थ याहवेह असे म्हणतात: “सीयोनेबाबत मला अत्यंत ईर्षा वाटते; मी तिच्याबद्दल ईर्षेने ज्वलंत झालो आहे.”
260803019e	याहवेह असे म्हणतात: “मी सीयोनात परत जाईन आणि यरुशलेमात वास्तव्य करेन. मग यरुशलेमला विश्वासू नगरी आणि सर्वसमर्थ याहवेहच्या पर्वतास पवित्रगिरी असे म्हणतील.”
26080401cc	सर्वसमर्थ याहवेह असे म्हणतात: “पुन्हा एकदा त्या नगरीतील परिपक्व वयाचे स्त्री व पुरुष यरुशलेमच्या रस्त्यांवर बसतील, प्रत्येकजण वयातीत असल्यामुळे आपल्या काठ्या टेकीत येतील,
26080500ac	आणि नगरातील रस्ते तिथे खेळणार्‍या मुलांनी व मुलींनी भरून जातील.”
2608060161	सर्वसमर्थ याहवेह असे म्हणतात: “त्यावेळी हे अवशिष्ट लोकांना अद्भुत वाटेल, परंतु मला ते अद्भुत वाटेल का?” सर्वसमर्थ याहवेह जाहीर करतात.
