010000000c	Ӂенеза
1d0220013f	Атунч, орьчине ва кема Нумеле Домнулуй ва фи мынтуит. Кэч мынтуиря ва фи пе мунтеле Сионулуй ши ла Иерусалим, кум а фэгэдуит Домнул, ши ынтре чей рэмашь пе каре-й ва кема Домнул.
1d030100e1	Кэч ятэ кэ, ын зилеле ачеля ши ын времуриле ачеля кынд вой адуче ынапой пе принший де рэзбой ай луй Иуда ши ай Иерусалимулуй,
1d03020178	вой стрынӂе пе тоате нямуриле ши ле вой коборы ын Валя луй Иосафат. Аколо, Мэ вой жудека ку еле пентру попорул Меу, пентру Исраел, моштениря Мя, пе каре л-ау рисипит принтре нямурь, ымпэрцинд ынтре еле цара Мя.
1d030300b5	Ау трас ла сорць пентру попорул Меу; ау дат ун флэкэу пе о курвэ ши ау вындут фата пе вин ши л-ау бэут.
1d0304017f	Че врець вой ку Мине, Тируле ши Сидонуле ши тоате цинутуриле филистенилор? Врець сэ-Мь рэсплэтиць врео фаптэ сау сэ фачець чева ымпотрива Мя? Юте, фэрэ зэбавэ, вой ынтоарче фаптеле воастре асупра капулуй востру.
1d030500ae	Мь-аць луат арӂинтул ши аурул ши челе май буне одоаре але Меле ши ле-аць дус ын темплеле воастре.
1d030600b5	Аць вындут пе копиий луй Иуда ши ай Иерусалимулуй копиилор гречилор, ка сэ-й депэртаць дин цара лор.
1d030700af	Ятэ кэ ый скол ын локул ын каре й-аць вындут ши вой ынтоарче фапта воастрэ асупра капулуй востру.
1d030800e1	Вой винде копиилор луй Иуда пе фиий ши фийчеле воастре, ши ей ый вор винде сабеенилор, ун ням депэртат, кэч Домнул а ворбит.”
1d030900e9	Вестиць ачесте лукрурь принтре нямурь: „Прегэтиць рэзбоюл! Трезиць пе витежь! Сэ се апропие ши сэ се суе тоць оамений де рэзбой!
1d030a00bf	Фяреле плугурилор воастре префачеци-ле ын сэбий ши косоареле, ын сулице! Чел слаб сэ зикэ: ‘Сунт таре!’”
1d030b00c0	Грэбици-вэ ши вениць, тоате нямуриле де примпрежур, ши стрынӂеци-вэ! Аколо кобоарэ, Доамне, пе витежий Тэй!
1d030c00ce	„Сэ се скоале нямуриле ши сэ се суе ын Валя луй Иосафат! Кэч аколо вой шедя сэ жудек тоате нямуриле де примпрежур.
1d030d0122	Пунець мына пе сечерэ, кэч сечеришул есте копт! Вениць ши кэлкаць ку пичоареле, кэч линуриле сунт плине ши точиториле дау песте еле! Кэч маре есте рэутатя лор!”
1d030e00a2	Вин грэмезь-грэмезь ын валя жудекэций, кэч зиуа Домнулуй есте апроапе, ын валя жудекэций.
1d030f006c	Соареле ши луна се ынтунекэ ши стелеле ышь перд стрэлучиря.
1d0310012a	Домнул рэкнеште дин Сион, гласул Луй рэсунэ дин Иерусалим де се згудуе черуриле ши пэмынтул. Дар Домнул есте скэпаря попорулуй Сэу ши окротиря копиилор луй Исраел.
1d03110122	„Ши вець шти кэ Еу сунт Домнул Думнезеул востру, каре локуеште ын Сион, мунтеле Меу чел сфынт. Иерусалимул ынсэ ва фи сфынт ши ну вор май трече стрэиний прин ел.
1d03120142	Ын время ачея, ва пикура муст дин мунць ши ва курӂе лапте дин дялурь, тоате пыраеле луй Иуда вор фи плине де апэ. Ун извор ва еши, де асеменя, дин Каса Домнулуй ши ва уда валя Ситим.
1d0313012e	Еӂиптул ва ажунӂе пустиу, Едомул ва ажунӂе ун пустиу стерп дин причина силничией фэкуте ымпотрива копиилор луй Иуда, ал кэрор сынӂе невиноват л-ау вэрсат ын цара лор.
1d0314006b	Дар Иуда ва фи вешник локуит ши Иерусалимул, дин ням ын ням.
1d03150095	Ле вой рэзбуна сынӂеле пе каре ну л-ам рэзбунат ынкэ, дар Домнул ва локуи ын Сион.”
1e00000008	Амос
1e010101ac	Кувинтеле луй Амос, унул дин пэсторий дин Текоа, веденииле пе каре ле-а авут ел деспре Исраел, пе время луй Озия, ымпэратул луй Иуда, ши пе время луй Иеробоам, фиул луй Иоас, ымпэратул луй Исраел, ку дой ань ынаинтя кутремурулуй де пэмынт.
1e010200ef	Ел а зис: „Домнул рэкнеште дин Сион, гласул Луй рэсунэ дин Иерусалим. Пэшуниле пэсторилор желеск ши вырфул Кармелулуй есте ускат.”
1e01030113	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але Дамаскулуй, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау треерат Галаадул ку треерэтоаря де фер.
1e01040093	Де ачея вой тримите фок ын каса луй Хазаел, каре ва мистуи палателе луй Бен-Хадад.
1e0105016c	Вой сфэрыма зэвоареле Дамаскулуй ши вой нимичи ку десэвыршире пе локуиторий дин Бикат-Авен, ымпреунэ ку чел че цине тоягул де кырмуире ын Бет-Еден, ши попорул Сирией ва фи дус роб ла Кир”, зиче Домнул.
1e0106012b	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але Газей, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау луат пе тоць оамений приншь де рэзбой ши й-ау дат Едомулуй,
1e01070077	де ачея вой тримите фок ын зидуриле Газей ши-й ва мистуи палателе.
1e01080178	Вой нимичи ку десэвыршире пе локуиторий дин Асдод ши пе чел че цине тоягул ымпэрэтеск ын Аскалон; Ымь вой ынтоарче мына ымпотрива Екронулуй ши че ва май рэмыне дин филистень вор пери”, зиче Домнул Думнезеу.
1e01090177	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але Тирулуй, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау луат пе тоць оамений приншь де рэзбой ши й-ау дат Едомулуй ши ну с-ау гындит ла легэмынтул фрэцеск.
1e010a007f	Де ачея, вой тримите фок ын зидуриле Тирулуй ши-й ва мистуи палателе.”
1e010b0175	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але Едомулуй, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ а урмэрит пе фраций сэй ку сабия, ынэдушинду-шь мила, а дат друмул мынией ши ышь циня ынтруна урӂия.
1e010c0079	Де ачея вой тримите фок песте Теман ши ва мистуи палателе Боцрей.”
1e010d016f	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але копиилор луй Амон, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау спинтекат пынтечеле фемеилор ынсэрчинате але Галаадулуй, ка сэ-шь мэряскэ цинутул,
1e010e0120	де ачея вой апринде фокул ын зидуриле Рабей ши-й ва мистуи палателе ын мижлокул стригэтелор де рэзбой ын зиуа луптей ши ын мижлокул вижелией ын зиуа фуртуний.
1e010f009d	Ши ымпэратул лор ва мерӂе ын робие, ел ши кэпетенииле луй ымпреунэ ку ел”, зиче Домнул.
1e02010130	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але Моабулуй, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ а арс, а арс пынэ ле-а фэкут вар, оаселе ымпэратулуй Едомулуй,
1e0202012a	де ачея вой тримите фок ын Моаб ши ва мистуи палателе Кериотулуй, ши Моабул ва пери ын мижлокул зарвей, ын мижлокул стригэтелор де рэзбой ши ал сунетулуй трымбицей.
1e020300e1	Вой нимичи ку десэвыршире пе жудекэтор дин мижлокул луй ши вой учиде пе тоате кэпетенииле луй ымпреунэ ку ел”, зиче Домнул.
1e020401ca	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але луй Иуда, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау несокотит Леӂя Домнулуй ши н-ау пэзит порунчиле Луй, чи с-ау лэсат душь ын рэтэчире де идолий чей минчиношь дупэ каре ау умблат ши пэринций лор,
1e0205007f	де ачея вой тримите фок ын Иуда ши ва мистуи палателе Иерусалимулуй.”
1e0206014e	Аша ворбеште Домнул: „Пентру трей нелеӂюирь але луй Исраел, ба пентру патру, ну-Мь скимб хотэрыря, пентру кэ ау вындут пе чел неприхэнит пе бань ши пе сэрак пе о переке де ынкэлцэминте.
1e02070146	Ей дореск сэ вадэ цэрына пэмынтулуй пе капул челор сэрмань ши калкэ ын пичоаре дрептул челор ненорочиць. Фиул ши татэл се дук ла ачеяшь фатэ, ка сэ пынгэряскэ Нумеле Меу чел сфынт.
1e020800cd	Се ынтинд лынгэ фиекаре алтар пе хайне луате ка зэлог ши бяу ын каса думнезеилор лор аменда челор осындиць де ей.
1e0209010c	Ши тотушь Еу ам нимичит динаинтя лор пе амориць, каре ерау кыт чедрий де ыналць ши тарь ка стежарий; ле-ам нимичит роаделе дин вырф пынэ ын рэдэчинь.
1e020a00da	Ши Еу в-ам скос дин цара Еӂиптулуй ши в-ам повэцуит патрузечь де ань ын пустиу, ка сэ вэ дау ын стэпынире цара аморицилор.
1e020b00d9	Ам ридикат пророчь динтре фиий воштри ши назирей динтре тинерий воштри. Ну есте аша, копий ай луй Исраел?”, зиче Домнул.
1e020c0099	„Яр вой аць дат назиреилор сэ бя вин ши пророчилор ле-аць порунчит: ‘Ну пророчиць!’
1e020d007c	Ятэ, вэ вой стропши кум стропшеште пэмынтул карул ынкэркат ку снопь,
1e020e00c8	аша кэ чел юте ну ва путя сэ фугэ, яр чел таре ну се ва путя служи де тэрия луй, ши омул витяз ну-шь ва скэпа вяца.
1e020f00c5	Чел че мынуеште аркул ну ва путя сэ цинэ пепт, чел юте де пичоаре ну ва скэпа ши кэлэрецул ну-шь ва скэпа вяца,
1e0210009a	яр чел май инимос динтре рэзбойничь ва фуӂи ын пеля гоалэ ын зиуа ачея”, зиче Домнул.
1e0301011d	Аскултаць кувынтул ачеста пе каре-л ростеште Домнул ымпотрива воастрэ, копий ай луй Исраел, ымпотрива ынтреӂий фамилий пе каре ам скос-о дин цара Еӂиптулуй:
1e030200e0	„Еу в-ам алес нумай пе вой динтре тоате фамилииле пэмынтулуй, де ачея вэ вой ши педепси пентру тоате нелеӂюириле воастре.”
1e0303005b	Мерг оаре дой оамень ымпреунэ фэрэ сэ фие ынвоиць?
1e030400bc	Рэкнеште леул ын пэдуре дакэ н-аре прадэ? Збярэ пуюл де леу дин фундул визуиний луй дакэ н-а принс нимик?
1e030500da	Каде пасэря ын лацул де пе пэмынт дакэ ну и с-а ынтинс о курсэ? Се ридикэ лацул де ла пэмынт фэрэ сэ се фи принс чева ын ел?
1e03060100	Сау сунэ чинева ку трымбица ынтр-о четате фэрэ сэ се ынспэймынте попорул? Сау се ынтымплэ о ненорочире ынтр-о четате фэрэ с-о фи фэкут Домнул?
1e030700a5	Ну, Домнул Думнезеу ну фаче нимик фэрэ сэ-Шь дескопере тайна Са служиторилор Сэй, пророчий.
1e03080093	Леул рэкнеште: чине ну се ва сперия? Домнул Думнезеу ворбеште: чине ну ва пророчи?
1e0309016c	Стригаць де пе акоперишул палателор Асдодулуй ши де пе палателе цэрий Еӂиптулуй ши спунець: „Стрынӂеци-вэ пе мунций Самарией ши ведець че неорындуялэ маре есте ын мижлокул ей, че асуприрь сунт ын еа!
1e030a00ec	Ну сунт ын старе сэ лукрезе ку неприхэнире”, зиче Домнул, „чи ышь грэмэдеск ын палате коморь кыштигате прин силничие ши рэпире.”
1e030b00df	Де ачея, аша ворбеште Домнул Думнезеу: „Врэжмашул ва ымпресура цара, ыць ва доборы тэрия ши палателе тале вор фи жефуите!”
1e030c017a	Аша ворбеште Домнул: „Дупэ кум пэсторул скапэ дин гура леулуй нумай доуэ букэць де пичоаре сау ун вырф де уреке, аша вор скэпа копиий луй Исраел каре стау ын Самария ын колцул унуй пат ши пе ковоаре де Дамаск!
1e030d00b0	Аскултаць ши спунець лукрул ачеста касей луй Иаков”, зиче Домнул Думнезеу, Думнезеул оштирилор:
1e030e0119	„Ын зиуа кынд вой педепси пе Исраел пентру фэрэделеӂиле луй, вой педепси ши алтареле дин Бетел; коарнеле алтарулуй вор фи сфэрымате ши вор кэдя ла пэмынт.
1e030f00df	Вой сурпа каселе де ярнэ ши каселе де варэ; палателе де филдеш се вор дуче ши каселе челе мулте се вор нимичи”, зиче Домнул.
1e0401013d	Аскултаць кувынтул ачеста, жункане дин Басан, де пе мунтеле Самарией, вой каре асуприць пе чей сэрмань, здробиць пе чей липсиць ши зичець бэрбацилор воштри: „Даци-не сэ бем!”
1e04020110	Домнул Думнезеу а журат пе сфинцения Луй ши а зис: „Ятэ, вин зиле пентру вой кынд вэ вор принде ку кырлиӂеле ши рэмэшица воастрэ, ку ундице де пескарь;
1e040300a5	вець еши прин спэртурь, фиекаре дрепт ынаинте, ши вець фи лепэдате ын Хармон”, зиче Домнул.
1e04040123	„Дучеци-вэ нумай ла Бетел ши пэкэтуиць! Дучеци-вэ ла Гилгал ши пэкэтуиць ши май мулт! Адучеци-вэ жертфеле ын фиекаре диминяцэ ши зечуелиле ла фиекаре трей зиле!
1e04050139	Фачець сэ фумеӂе жертфе де мулцумире фэкуте ку алуат! Трымбицаци-вэ, вестици-вэ даруриле де мынкаре де бунэвое! Кэч аша вэ плаче, копий ай луй Исраел”, зиче Домнул Думнезеу.
1e04060134	„Ши Еу, де партя Мя, в-ам тримис фоаметя ын тоате четэциле воастре ши липса де пыне ын тоате локуинцеле воастре. Ку тоате ачестя, тот ну в-аць ынторс ла Мине”, зиче Домнул.
1e0407016e	„Н-ам врут сэ вэ дау нич плоае кынд май ерау ынкэ трей лунь пынэ ла сечерат; ам дат плоае песте о четате, дар н-ам дат плоае песте о алтэ четате; ынтр-ун огор а плоуат, ши алтул, ын каре н-а плоуат, с-а ускат.
1e040800f1	Доуэ, трей четэць с-ау дус ла алта ка сэ бя апэ, ши тот ну шь-ау потолит сетя. Ку тоате ачестя, тот ну в-аць ынторс ла Мине”, зиче Домнул.
1e04090166	„В-ам ловит ку руӂинэ ын грыу ши ку тэчуне; грэдиниле воастре челе мулте, вииле, смокиний ши мэслиний воштри й-ау мынкат десеорь лэкустеле. Ку тоате ачестя, тот ну в-аць ынторс ла Мине”, зиче Домнул.
1e040a0173	„Ам тримис ын вой чума, ка ын Еӂипт; в-ам учис тинерий ку сабия ши ам лэсат сэ ви се я каий, ам фэкут сэ ви се суе ын нэрь духоаря таберей воастре. Ши, ку тоате ачестя, тот ну в-аць ынторс ла Мине”, зиче Домнул.
1e040b0128	„В-ам нимичит ка пе Содома ши Гомора, пе каре ле-а нимичит Думнезеу, ши аць фост ка ун тэчуне скос дин фок. Ку тоате ачестя, тот ну в-аць ынторс ла Мине”, зиче Домнул.
1e040c00e6	„Де ачея ыць вой фаче астфел, Исраеле, ши, фииндкэ ыць вой фаче астфел, прегэтеште-те сэ ынтылнешть пе Думнезеул тэу, Исраеле!”
1e040d0164	Кэч ятэ кэ Ел а ынтокмит мунций, а фэкут вынтул ши спуне омулуй пынэ ши гындуриле луй. Ел префаче зориле ын ынтунерик ши умблэ пе ынэлцимиле пэмынтулуй: Домнул Думнезеул оштирилор есте Нумеле Луй.
1e050100a8	Аскултаць кувынтул ачеста, кынтекул ачеста де жале пе каре-л фак пентру вой, каса луй Исраел!
1e050200a7	А кэзут ши ну се ва май скула фечоара луй Исраел; стэ трынтитэ ла пэмынт ши нимень н-о ридикэ.
1e0503015b	Кэч аша ворбеште Домнул Думнезеу: „Четатя каре скотя ла луптэ о мие де оамень ну ва рэмыне декыт ку о сутэ ши чя каре скотя о сутэ де оамень ну ва май рэмыне декыт ку зече дин каса луй Исраел.”
1e05040083	Кэч аша ворбеште Домнул кэтре каса луй Исраел: „Кэутаци-Мэ ши вець трэи!
1e050500e4	Ну кэутаць Бетелул, ну вэ дучець ла Гилгал ши ну тречець ла Беер-Шеба. Кэч Гилгалул ва фи дус ын робие ши Бетелул ва фи нимичит.
1e0506011b	Кэутаць пе Домнул ши вець трэи! Темеци-вэ, ка ну кумва сэ апуче ка ун фок каса луй Иосиф, ши фокул ачеста с-о мистуе, фэрэ сэ фие чинева ла Бетел ка сэ-л стингэ,
1e0507007f	вой, каре префачець дрептул ын пелин ши кэлкаць дрептатя ын пичоаре!”
1e0508012f	Ел а фэкут Клошка-ку-Пуй ши Орионул, Ел префаче ынтунерикул ын зорь, яр зиуа, ын ноапте нягрэ; Ел кямэ апеле мэрий ши ле варсэ пе фаца пэмынтулуй: Домнул есте Нумеле Луй.
1e0509009d	Ел адуче ка фулӂерул прэпэдул песте чей путерничь, аша кэ нимичиря вине песте четэцуй.
1e050a00a6	Ей урэск пе чел че-й мустрэ ла поарта четэций ши ле есте скырбэ де чел че ворбеште дин инимэ.
1e050b016a	Де ачея, пентру кэ пе сэрак ыл кэлкаць ын пичоаре ши луаць дарурь де грыу де ла ел, мэкар кэ аць зидит касе де пятрэ чоплитэ, ну ле вець локуи; мэкар кэ аць сэдит вий фоарте буне, ну вець бя дин винул лор!
1e050c0144	Кэч еу штиу кэ нелеӂюириле воастре сунт мулте ши кэ пэкателе воастре сунт фэрэ нумэр: асуприць пе чел дрепт, луаць митэ ши кэлкаць ын пичоаре ла поарта четэций дрептул сэрачилор.
1e050d008f	Де ачея, ын времурь ка ачестя, ынцелептул требуе сэ такэ; кэч сунт времурь реле.
1e050e00ca	Кэутаць бинеле, ши ну рэул, ка сэ трэиць ши ка, астфел, Домнул Думнезеул оштирилор сэ фие ку вой, кум спунець вой!
1e050f0111	Урыць рэул ши юбиць бинеле, фачець сэ домняскэ дрептатя ла поарта четэций, ши поате кэ Домнул Думнезеул оштирилор ва авя милэ де рэмэшицеле луй Иосиф.
1e05100183	Де ачея, аша ворбеште Домнул Думнезеул оштирилор, Чел Атотпутерник: „Ын тоате пецеле се вор бочи ши пе тоате улицеле вор зиче: ‘Вай! Вай!’ Вор кема пе плугар ла жале, ши ла бочире пе чей че фак желаний пентру морць.
1e05110086	Ын тоате вииле ва фи бочет кынд вой трече прин мижлокул тэу”, зиче Домнул.
1e051200be	Вай де чей че дореск зиуа Домнулуй! Че аштептаць вой де ла зиуа Домнулуй? Еа ва фи ынтунерик, ши ну луминэ.
1e05130100	Вець фи ка ун ом каре фуӂе динаинтя унуй леу, пе каре-л ынтылнеште ун урс ши каре, кынд ажунӂе акасэ, ышь ряземэ мына пе зид ши-л мушкэ ун шарпе!
1e051400b3	Ну ва фи оаре зиуа Домнулуй ынтунерик, ын лок де луминэ? Ну ва фи еа ынтунекоасэ ши фэрэ стрэлучире?
1e051500a4	„Еу урэск, диспрецуеск сэрбэториле воастре ши ну пот сэ вэ суфэр адунэриле де сэрбэтоаре!
1e0516011e	Кынд Ымь адучець ардерь-де-тот ши дарурь де мынкаре, н-ам ничо плэчере де еле, ши вицеий ынгрэшаць пе каре-й адучець ка жертфе де мулцумире, нич ну Мэ уйт ла ей.
1e05170093	Депэртязэ де Мине вуетул кынтечелор тале; ну пот аскулта сунетул алэутелор тале!
1e051800a4	Чи дрептатя сэ кургэ ка о апэ кургэтоаре ши неприхэниря, ка ун пырыу каре ну сякэ ничодатэ!
1e051900c0	Мь-аць адус вой жертфе ши дарурь де мынкаре ын тимпул челор патрузечь де ань дин пустиу, каса луй Исраел?…
1e051a00f0	Вець ридика дар пе Сакут, ымпэратул востру, ши пе Каиван, кипуриле воастре идолешть, стяуа думнезеулуй востру пе каре ви л-аць фэкут,
1e051b00ae	ши вэ вой дуче ын робие динколо де Дамаск”, зиче Домнул, ал кэруй Нуме есте Думнезеул оштирилор.
1e06010124	Вай де чей че трэеск фэрэ грижэ ын Сион ши ла адэпост пе мунтеле Самарией, вай де май-марий ачештя ай челуй динтый динтре нямурь, ла каре аляргэ каса луй Исраел!…
1e060201b0	Тречець ла Калне ши ведець, дучеци-вэ де аколо пынэ ла Хаматул чел маре ши коборыци-вэ ын Гат, ла филистень. Сунт оаре четэциле ачестя май ынфлоритоаре декыт челе доуэ ымпэрэций але воастре ши есте цинутул лор май ынтинс декыт ал востру?…
1e06030097	Кредець кэ зиуа ненорочирий есте департе ши фачець сэ се апропие домния силничией.
1e060400e0	Ей се кулкэ пе патурь де филдеш ши стау ынтиншь алене пе аштернутуриле лор; мэнынкэ мей дин турмэ ши вицей пушь ла ынгрэшат.
1e06050092	Аюрязэ ын сунетул алэутей, се кред искусиць ка Давид ын инструментеле де музикэ.
1e060600b1	Бяу вин ку пахаре ларӂь, се унг ку чел май бун унтделемн ши ну се ынтристязэ де прэпэдул луй Иосиф!
1e060700d2	Де ачея вор мерӂе ын робие ын фрунтя приншилор де рэзбой ши вор ынчета стригэтеле де веселие але ачестор десфэтаць.
1e06080160	Домнул Думнезеу а журат пе Сине Ынсушь ши Домнул Думнезеул оштирилор а зис: „Мь-е скырбэ де мындрия луй Иаков ши-й урэск палателе, де ачея вой да ын мына врэжмашулуй четатя ку тот че есте ын еа.”
1e06090066	Ши, дакэ вор май рэмыне зече оамень ынтр-о касэ, вор мури.
1e060a01bf	Кынд ункюл сэу ва луа пе чел морт сэ-л ардэ, ридикынду-й оаселе дин касэ, ши ва ынтреба пе чел дин фундул касей: „Май есте чинева ку тине?”, ачела ва рэспунде: „Нимень…” Яр челэлалт ва зиче: „Тэчере! Кэч ну требуе сэ поменим акум Нумеле Домнулуй!”
1e060b009f	Кэч ятэ кэ Домнул порунчеште сэ се дэрыме каса чя маре ши сэ се факэ букэць каса чя микэ.
1e060c00ee	Пот каий сэ алерӂе пе о стынкэ? Сау поате чинева сэ аре маря ку боий, де аць префэкут жудеката ын отравэ ши родул дрептэций ын пелин?
1e060d00ae	Вэ букураць де лукрурь де нимик ши зичець: „Оаре ну прин тэрия ноастрэ ам кыштигат ной путере?”
1e060e013b	„Де ачея, ятэ, вой ридика ымпотрива воастрэ, каса луй Исраел”, зиче Домнул Думнезеул оштирилор, „ун ням каре вэ ва асупри де ла интраря Хаматулуй пынэ ла пырыул пустиулуй.”
1e07010100	Домнул Думнезеу мь-а тримис ведения ачаста. Ятэ, фэчя ниште лэкусте ын клипа кынд ынчепя сэ кряскэ отава; ера отава дупэ коситул ымпэратулуй.
1e07020114	Ши, дупэ че ау мынкат еле ку десэвыршире тоатэ ярба дин царэ, ам зис: „Доамне Думнезеуле, яртэ! Кум ар путя сэ стя Иаков ын пичоаре? Кэч есте аша де слаб!”
1e0703009f	Атунч, Домнул С-а кэит де лукрул ачеста: „Ну се ва ынтымпла уна ка ачаста”, а зис Домнул.
1e07040100	Домнул Думнезеу мь-а тримис ведения ачаста: Ятэ, Домнул Думнезеу вестя педяпса прин фок ши фокул мынка адынкул чел маре ши апукасе ши кымпия.
1e070500b1	Еу ам зис: „Доамне Думнезеуле, опреште! Кум ар путя сэ стя ын пичоаре Иаков? Кэч есте аша де слаб!”
1e070600bc	Атунч, Домнул С-а кэит ши де лукрул ачеста: „Нич уна ка ачаста ну се ва ынтымпла”, а зис Домнул Думнезеу.
1e070700b3	Ел мь-а тримис ведения ачаста: Ятэ, Домнул стэтя пе ун зид фэкут ла кумпэнэ ши авя о кумпэнэ ын мынэ.
1e07080117	Домнул мь-а зис: „Че везь, Амос?” Еу ам рэспунс: „О кумпэнэ.” Ши Домнул а зис: „Ятэ, вой пуне кумпэна ын мижлокул попорулуй Меу Исраел ши ну-л вой май ерта,
1e0709010b	чи ынэлцимиле луй Исаак вор фи пустиите; сфинтеле локашурь але луй Исраел вор фи дэрымате ши Мэ вой ридика ымпотрива касей луй Иеробоам ку сабия.”
1e070a015a	Атунч, Амация, преотул дин Бетел, а тримис сэ спунэ луй Иеробоам, ымпэратул луй Исраел: „Амос унелтеште ымпотрива та ын мижлокул касей луй Исраел; цара ну поате сэ суфере тоате кувинтеле луй!
1e070b00b9	Кэч ятэ че зиче Амос: ‘Иеробоам ва фи учис де сабие, ши Исраел ва фи дус ын робие департе де цара са!’”
1e070c00cc	Ши Амация а зис луй Амос: „Плякэ, вэзэторуле, ши фуӂь ын цара луй Иуда! Мэнынкэ-ць пыня аколо ши аколо пророчеште.
1e070d00b7	Дар ну май пророчи ла Бетел, кэч есте ун локаш сфынт ал ымпэратулуй ши есте ун темплу ал ымпэрэцией!”
1e070e00d5	Амос а рэспунс луй Амация: „Еу ну сунт нич пророк, нич фиу де пророк, чи сунт пэстор ши стрынгэтор де смокине де Еӂипт.
1e070f00a5	Дар Домнул м-а луат де ла ой ши Домнул мь-а зис: ‘Ду-те ши пророчеште попорулуй Меу Исраел!’
1e071000d6	Аскултэ акум Кувынтул Домнулуй, ту, каре зичь: ‘Ну пророчи ымпотрива луй Исраел, ну ворби ымпотрива касей луй Исаак!’
1e071101d2	Дин причина ачаста, ятэ че зиче Домнул: ‘Невастэ-та ва курви ын четате, фиий ши фийчеле тале вор кэдя ловиць де сабие, огорул тэу ва фи ымпэрцит ку фрынгия де мэсурат; ту ынсэ вей мури ынтр-ун пэмынт некурат ши Исраел ва фи дус ын робие департе де цара луй!’”
1e0801008e	Домнул Думнезеу мь-а тримис урмэтоаря ведение. Ятэ, ера ун кош ку поаме коапте.
1e08020106	Ел а зис: „Че везь, Амос?” Еу ам рэспунс: „Ун кош ку поаме коапте.” Ши Домнул мь-а зис: „А венит сфыршитул попорулуй Меу Исраел; ну-л май пот ерта!
1e0803010f	Ын зиуа ачея, кынтечеле Темплулуй се вор префаче ын ӂемете”, зиче Домнул Думнезеу. „Претутиндень вор арунка ын тэчере о мулциме де трупурь моарте.”
1e080400b0	Аскултаць лукрул ачеста, вой, каре мынкаць пе чел липсит ши прэпэдиць пе чей ненорочиць дин царэ!
1e08050137	Вой, каре зичець: „Кынд ва трече луна ноуэ, ка сэ виндем грыул, ши Сабатул, ка сэ дескидем грынареле, сэ микшорэм ефа ши сэ мэрим сиклул ши сэ стрымбэм кумпэна ка сэ ыншелэм?
1e080600d7	Апой, вом кумпэра пе чей невояшь пе арӂинт ши пе сэрак, пе о переке де ынкэлцэминте ши вом винде кодина ын лок де грыу.”
1e08070091	Домнул а журат пе слава луй Иаков: „Ничодатэ ну вой уйта ничуна дин фаптеле лор!
1e08080140	Ну се ва кутремура цара дин причина ачестор мишелий ши ну се вор жели тоць локуиторий ей? Ну се ва умфла тоатэ цара ка рыул, ридикынду-се ши коборынду-се ярэшь ка рыул Еӂиптулуй?
1e080900dd	Ын зиуа ачея”, зиче Домнул Думнезеу, „вой фаче сэ асфинцяскэ соареле ла амязэ ши вой ынтунека пэмынтул зиуа-н амяза маре.
1e080a01ac	Вэ вой префаче сэрбэториле ын жале ши тоате кынтэриле, ын бочирь пентру морць; вой акопери тоате коапселе ку сачь ши вой фаче тоате капетеле плешуве; вой арунка цара ынтр-о жале ка пентру ун сингур фиу ши сфыршитул ей ва фи ка о зи амарэ.
1e080b011e	Ятэ, вин зиле”, зиче Домнул Думнезеу, „кынд вой тримите фоамете ын царэ, ну фоамете де пыне, нич сете де апэ, чи фоаме ши сете дупэ аузиря кувинтелор Домнулуй.
1e080c011b	Вор прибеӂь атунч де ла о маре ла алта, де ла мязэноапте ла рэсэрит, вор умбла истовиць ынкоаче ши ынколо, ка сэ кауте Кувынтул Домнулуй, ши тот ну-л вор гэси.
1e080d006d	Ын зиуа ачея, се вор топи де сете фетеле фрумоасе ши флэкэий.
1e080e00fe	Ей, каре журэ акум пе пэкатул Самарией ши зик: ‘Пе Думнезеул тэу чел виу, Дане!’ ши ‘Пе друмул Беер-Шебей!’ вор кэдя ши ну се вор май скула.”
1e090101fa	Ам вэзут пе Домнул стынд пе алтар. Ши а зис: „Ловеште прагул де сус ал порций, ка сэ се кутремуре ушорий, ши сфэрымэ-й песте капетеле лор, але тутурор. Рэмэшица лор ынсэ о вой перде ку сабия, аша кэ ничунул дин ей ну ва путя сэ скапе фуӂинд ши ничунул дин чей че вор скэпа ну ва скэпа.
1e090200ea	Де ар пэтрунде кяр пынэ ын Локуинца морцилор, ши де аколо ый ва смулӂе мына Мя; де с-ар суи кяр ын черурь, ши де аколо ый вой коборы.
1e09030135	Де с-ар аскунде кяр пе вырфул Кармелулуй, ши аколо ый вой кэута ши-й вой луа; де с-ар аскунде де привириле Меле кяр ын фундул мэрий, ши аколо вой порунчи шарпелуй сэ-й муште.
