0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
2c09250115	ସେହି ସମୟରେ ସେ ପୀଡ଼ିତା ହୋଇ ପ୍ରାଣତ୍ୟାଗ କଲେ, ସେଥିରେ ସେମାନେ ତାହାଙ୍କୁ ସ୍ନାନ କରାଇ ଗୋଟିଏ ଉପର କୋଠରୀରେ ଶୁଆଇଦେଲେ।
2c092601dd	ପୁଣି, ଲୂଦ ଯାଫୋ ସହରର ନିକଟବର୍ତ୍ତୀ ଥିବାରୁ ଶିଷ୍ୟମାନେ ପିତର ସେଠାରେ ଅଛନ୍ତି ବୋଲି ଶୁଣି, ଦୁଇ ଜଣ ଲୋକଙ୍କୁ ତାହାଙ୍କ ନିକଟକୁ ପଠାଇ ଏହା ନିବେଦନ କଲେ, ଆମ୍ଭମାନଙ୍କ ନିକଟକୁ ଆସିବା ପାଇଁ ବିଳମ୍ବ କରନ୍ତୁ ନାହିଁ।
2c0927027c	ଏଣୁ ପିତର ଉଠି ସେମାନଙ୍କ ସାଙ୍ଗରେ ଗଲେ। ସେ ଆସନ୍ତେ, ସେମାନେ ତାହାଙ୍କୁ ସେହି ଉପର କୋଠରୀକୁ ଘେନିଗଲେ, ଆଉ ବିଧବାମାନେ ସମସ୍ତେ ତାହାଙ୍କୁ ଘେରି ବିଳାପ କରୁ କରୁ, ଦର୍କା ସେମାନଙ୍କ ସାଙ୍ଗରେ ଥିବା ସମୟରେ ଯେଉଁ ସବୁ ଅଙ୍ଗରଖା ଓ ବସ୍ତ୍ରଗୁଡ଼ିକ ବୁଣିଥିଲେ, ସେହିସବୁ ଦେଖାଇବାକୁ ଲାଗିଲେ।
2c09280193	କିନ୍ତୁ, ପିତର ସମସ୍ତଙ୍କୁ ବାହାର କରିଦେଇ ଆଣ୍ଠୁ ମାଡ଼ି ପ୍ରାର୍ଥନା କଲେ, ପୁଣି, ଶବ ଆଡ଼କୁ ବୁଲିପଡ଼ି କହିଲେ, ଟାବୀଥା, ଉଠ। ସେଥିରେ ସେ ଆଖି ମେଲା କଲେ, ଆଉ ପିତରକୁ ଦେଖି ଉଠି ବସିଲେ।
2c092900f8	ପୁଣି, ସେ ହାତ ଦେଇ ତାହାଙ୍କୁ ଉଠାଇଲେ ଏବଂ ସାଧୁମାନଙ୍କୁ ଓ ବିଧବାମାନଙ୍କୁ ଡାକି ତାହାଙ୍କୁ ଜୀବିତ ଦେଖାଇଲେ।
2c092a00bb	ଏହି କଥା ଯାଫୋ ସହରର ସବୁଆଡ଼େ ଜଣାପଡ଼ିଲା ଓ ଅନେକେ ପ୍ରଭୁଙ୍କଠାରେ ବିଶ୍ୱାସ କଲେ।
2c092b00b2	ପୁଣି, ପିତର ଅନେକ ଦିନ ଯାଫୋ ସହରରେ ଶିମୋନ ନାମକ ଜଣେ ଚର୍ମକାରକ ସହିତ ବାସ କଲେ।
2c0a0100f7	କାଇସରିୟା ସହରରେ କର୍ଣ୍ଣିଲୀୟ ନାମକ ଜଣେ ବ୍ୟକ୍ତି ଥିଲେ, ସେ ଇତାଲିକ ନାମକ ସୈନ୍ୟଦଳର ଜଣେ ଶତ-ସେନାପତି ଥିଲେ;
2c0a02014c	ସେ ଜଣେ ଭକ୍ତ, ଆଉ ସପରିବାରରେ ଈଶ୍ବରଙ୍କୁ ଭୟ କରୁଥିଲେ। ସେ ଲୋକମାନଙ୍କୁ ବହୁତ ଦାନ ଦେଉଥିଲେ, ଆଉ ସର୍ବଦା ଈଶ୍ବରଙ୍କ ଛାମୁରେ ପ୍ରାର୍ଥନା କରୁଥିଲେ।
2c0a030170	ଦିନେ ଅପରାହ୍ନ ପ୍ରାୟ ତିନି ଘଣ୍ଟା ସମୟରେ ସେ ସ୍ପଷ୍ଟ ରୂପେ ଗୋଟିଏ ଦର୍ଶନ ପାଇଲେ, ଯେପରି ଈଶ୍ବରଙ୍କର ଜଣେ ଦୂତ ତାହାଙ୍କ ନିକଟକୁ ଆସି କହୁଅଛନ୍ତି, ହେ କର୍ଣ୍ଣିଲୀୟ।
2c0a0401cc	ସେ ସେଥିରେ ତାହାଙ୍କ ପ୍ରତି ଏକଦୃଷ୍ଟିରେ ଚାହିଁ ଭୀତ ହୋଇ କହିଲେ, ହେ ପ୍ରଭୁ କଅଣ? ସେ ତାହାଙ୍କୁ କହିଲେ, ତୁମ୍ଭର ପ୍ରାର୍ଥନା ଓ ଦାନସବୁ ସ୍ମରଣାର୍ଥକ ବଳି ସ୍ୱରୂପେ ଊର୍ଦ୍ଧ୍ୱରେ ଈଶ୍ବରଙ୍କ ଛାମୁରେ ଉଠିଅଛି।
2c0a0500b5	ଏବେ ତୁମ୍ଭେ ଯାଫୋ ସହରକୁ ଲୋକ ପଠାଇ ଶିମୋନଙ୍କୁ ଡକାଇ ଆଣ, ତାହାଙ୍କ ଉପନାମ ପିତର;
2c0a0600de	ସେ ଶିମୋନ ନାମକ ଜଣେ ଚର୍ମକାରକଙ୍କ ଅତିଥି ସ୍ୱରୂପେ ବାସ କରୁଅଛନ୍ତି, ତାହାଙ୍କ ଘର ସମୁଦ୍ରକୂଳରେ।
2c0a070197	ତାହାଙ୍କ ସାଙ୍ଗରେ କଥା କହୁଥିବା ଦୂତ ଗଲା ପରେ ସେ ଆପଣା ଗୃହର ଦାସମାନଙ୍କ ମଧ୍ୟରୁ ଦୁଇ ଜଣଙ୍କୁ, ପୁଣି, ତାହାଙ୍କର ସେବା କରୁଥିବା ସୈନ୍ୟମାନଙ୍କ ମଧ୍ୟରୁ ଜଣେ ଭକ୍ତ ସୈନ୍ୟକୁ ଡାକିଲେ,
2c0a08007f	ଆଉ ସେମାନଙ୍କୁ ସମସ୍ତ କଥା ବୁଝାଇ ଯାଫୋ ସହରକୁ ପଠାଇଲେ।
2c0a09016a	ପରଦିନ ସେମାନେ ଯାଉ ଯାଉ ଯେତେବେଳେ ସେହି ନଗରର ନିକଟବର୍ତ୍ତୀ ହେଲେ, ସେତେବେଳେ ପିତର ପ୍ରାୟ ଦିନ ବାର ଘଣ୍ଟା ସମୟରେ ପ୍ରାର୍ଥନା କରିବା ନିମନ୍ତେ ଛାତ ଉପରକୁ ଗଲେ,
2c0a0a0124	ଆଉ ସେ କ୍ଷୁଧିତ ହୋଇ ଖାଇବାକୁ ଇଚ୍ଛା କଲେ, କିନ୍ତୁ ସେମାନେ ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ କରୁଥିବା ସମୟରେ ସେ ମୂର୍ଚ୍ଛିତ ହୋଇ ଦର୍ଶନ ଦେଖିଲେ,
2c0a0b0131	ଆକାଶ ଖୋଲା ହୋଇଅଛି, ପୁଣି, ଗୋଟିଏ ପାତ୍ର ତଳକୁ ଆସୁଅଛି, ଯେପରି ଗୋଟିଏ ବଡ଼ ଚାଦର ଚାରି କୋଣରେ ଧରା ହୋଇ ପୃଥିବୀ ଉପରକୁ ଖସାଇ ଦିଆଯାଉଅଛି;
2c0a0c00d6	ସେଥିରେ ପୃଥିବୀର ସବୁପ୍ରକାର ଚାରିଗୋଡ଼ିଆ ପ୍ରାଣୀ, ସରୀସୃପ ଓ ଆକାଶର ପକ୍ଷୀଗୁଡ଼ିକ ଅଛନ୍ତି।
2c0a0d0093	ଆଉ, ତାହାଙ୍କ ପ୍ରତି ଏହି ବାଣୀ ହେଲା, “ହେ ପିତର, ଉଠ, ବଧ କରି ଖାଅ।”
2c0a0e00df	କିନ୍ତୁ ପିତର କହିଲେ, ନାହିଁ, ପ୍ରଭୁ, ମୁଁ କେବେହେଲେ କୌଣସି ଅପବିତ୍ର ଓ ଅଶୁଚି ପଦାର୍ଥ ଖାଇ ନାହିଁ।
2c0a0f0110	ପୁଣି, ଦ୍ୱିତୀୟ ଥର ତାହାଙ୍କ ପ୍ରତି ଏହି ବାଣୀ ହେଲା, “ଈଶ୍ବର ଯାହା ଶୁଚି କରିଅଛନ୍ତି, ତାହା ତୁମ୍ଭେ ଅଶୁଚି ବୋଲି ନ କୁହ।”
2c0a1000be	ଏହି ପ୍ରକାର ତିନି ଥର ହେଲା, ଆଉ ସଙ୍ଗେ ସଙ୍ଗେ ସେହି ପାତ୍ରଟି ଆକାଶକୁ ଉଠାଇ ନିଆଗଲା।
2c0a1101a3	ପିତର ଯେଉଁ ଦର୍ଶନ ପାଇଥିଲେ, ସେଥିର ଅର୍ଥ କଅଣ, ତାହା ଭାବି ସେ ଅବାକ୍ ହେଉଥିବା ସମୟରେ, ଦେଖ, କର୍ଣ୍ଣିଲୀୟଙ୍କ ପ୍ରେରିତ ଲୋକମାନେ ଶିମୋନଙ୍କ ଗୃହର ଅନୁସନ୍ଧାନ କରି ଦ୍ୱାର ନିକଟରେ ଠିଆ ହୋଇ,
2c0a1200eb	ପିତର ଉପନାମପ୍ରାପ୍ତ ଶିମୋନ ସେଠାରେ ଅତିଥି ସ୍ୱରୂପେ ବାସ କରୁଅଛନ୍ତି କି ନାହିଁ, ତାହା ଡାକି ପଚାରିଲେ।
2c0a13010a	ପିତର ସେହି ଦର୍ଶନ ବିଷୟ ଚିନ୍ତା କରୁଥିବା ସମୟରେ ଆତ୍ମା ତାହାଙ୍କୁ କହିଲେ, ଦେଖ, ତିନି ଜଣ ଲୋକ ତୁମ୍ଭକୁ ଖୋଜୁଅଛନ୍ତି।
2c0a1400d8	ଉଠ, ତଳକୁ ଯାଇ କିଛି ସନ୍ଦେହ ନ କରି ସେମାନଙ୍କ ସାଙ୍ଗରେ ଯାଅ, କାରଣ ଆମ୍ଭେ ସେମାନଙ୍କୁ ପଠାଇଅଛୁ।
2c0a150141	ସେଥିରେ ପିତର ସେହି ଲୋକମାନଙ୍କ ନିକଟକୁ ଓହ୍ଲାଇ ଆସି କହିଲେ, ଦେଖ, ତୁମ୍ଭେମାନେ ଯାହାକୁ ଖୋଜୁଅଛ, ମୁଁ ସେହି। ତୁମ୍ଭମାନଙ୍କ ଆସିବାର କାରଣ କଅଣ?
2c0a160288	ସେମାନେ କହିଲେ, କର୍ଣ୍ଣିଲୀୟ ନାମକ ଜଣେ ଶତ-ସେନାପତି, ଯେ ଧାର୍ମିକ ବ୍ୟକ୍ତି ଓ ଈଶ୍ବରଙ୍କୁ ଭୟ କରନ୍ତି, ପୁଣି, ସମସ୍ତ ଯିହୁଦୀ ଜାତିଙ୍କ ନିକଟରେ ସୁଖ୍ୟାତି ପ୍ରାପ୍ତ, ସେ ନିଜ ଗୃହକୁ ଆପଣଙ୍କୁ ଡକାଇପଠାଇ ଆପଣଙ୍କଠାରୁ କଥା ଶୁଣିବା ନିମନ୍ତେ ପବିତ୍ର ଦୂତଙ୍କ ଦ୍ୱାରା ପ୍ରତ୍ୟାଦେଶ ପାଇଅଛନ୍ତି।
2c0a1701c9	ସେଥିରେ ସେ ସେମାନଙ୍କୁ ଭିତରକୁ ଡାକି ନେଇ ସେମାନଙ୍କର ଆତିଥ୍ୟ କଲେ। ତହିଁ ଆରଦିନ ସେ ଉଠି ସେମାନଙ୍କ ସହିତ ପ୍ରସ୍ଥାନ କଲେ, ପୁଣି, ଯାଫୋ ସହରନିବାସୀ ଭାଇମାନଙ୍କ ମଧ୍ୟରୁ କେତେକ ଜଣ ତାହାଙ୍କ ସାଙ୍ଗରେ ଗଲେ।
2c0a180150	ପରଦିନ ସେମାନେ କାଇସରିୟାରେ ପ୍ରବେଶ କଲେ, ଆଉ କର୍ଣ୍ଣିଲୀୟ ଆପଣା ଆତ୍ମୀୟ ଓ ନିକଟସ୍ଥ ବନ୍ଧୁମାନଙ୍କୁ ଡାକି ଏକତ୍ର କରି ସେମାନଙ୍କ ଅପେକ୍ଷାରେ ଥିଲେ।
2c0a1900d1	ପିତର ପ୍ରବେଶ କରନ୍ତେ କର୍ଣ୍ଣିଲୀୟ ତାହାଙ୍କୁ ଭେଟି ଚରଣ ତଳେ ପଡ଼ି ତାହାଙ୍କୁ ପ୍ରଣାମ କଲେ।
2c0a1a00a2	କିନ୍ତୁ ପିତର ତାହାଙ୍କୁ ଉଠାଇ କହିଲେ, ଠିଆ ହୁଅ; ମୁଁ ମଧ୍ୟ ଜଣେ ମନୁଷ୍ୟ।
2c0a1b00e1	ସେଥିରେ ସେ ତାହାଙ୍କ ସାଙ୍ଗରେ ଆଳାପ କରୁ କରୁ ଭିତରକୁ ଯାଇ ଦେଖିଲେ, ଅନେକ ଲୋକ ଏକତ୍ରିତ ହୋଇଅଛନ୍ତି,
2c0a1c0236	ଆଉ ସେ ସେମାନଙ୍କୁ କହିଲେ, କୌଣସି ଅଣଯିହୁଦୀ ସାଙ୍ଗରେ ମିଶିବା କିମ୍ବା ତାହା ପାଖକୁ ଯିବା ଯିହୁଦୀ ଲୋକ ପକ୍ଷରେ କିପରି ବିଧିସଙ୍ଗତ ନୁହେଁ, ତାହା ଆପଣମାନେ ଜାଣନ୍ତି; ତଥାପି କୌଣସି ଲୋକକୁ ଅପବିତ୍ର କି ଅଶୁଚି ବୋଲି ନ କହିବାକୁ ଈଶ୍ବର ମୋତେ ଦେଖାଇଅଛନ୍ତି।
2c0a1d0131	ସେଥିପାଇଁ ମୋତେ ଆହ୍ୱାନ କରାଯିବା ମାତ୍ରେ ମୁଁ ମଧ୍ୟ ଆପତ୍ତି ନ କରି ଆସିଲି। ଏଣୁ ମୁଁ ପଚାରେ, କି ନିମନ୍ତେ ଆପଣମାନେ ମୋତେ ଡକାଇଅଛନ୍ତି?
2c0a1e0247	କର୍ଣ୍ଣିଲୀୟ କହିଲେ, ଚାରି ଦିନ ପୂର୍ବେ ଠିକ୍ ଏହି ସମୟରେ ମୁଁ ଆପଣା ଗୃହରେ ଅପରାହ୍ନ ତିନି ଘଣ୍ଟା ସମୟର ପ୍ରାର୍ଥନା କରୁଥିଲି; ଆଉ ଦେଖନ୍ତୁ, ଉଜ୍ଜ୍ୱଳବସ୍ତ୍ର ପରିହିତ ଜଣେ ବ୍ୟକ୍ତି ମୋ ସମ୍ମୁଖରେ ଠିଆ ହୋଇ କହିଲେ, କର୍ଣ୍ଣିଲୀୟ, ତୁମ୍ଭର ପ୍ରାର୍ଥନା ଶୁଣାଯାଇଅଛି,
2c0a1f0097	ପୁଣି, ତୁମ୍ଭର ଦାନସବୁ ଈଶ୍ବରଙ୍କ ସାକ୍ଷାତରେ ସ୍ମରଣ କରାଯାଇଅଛି।
2c0a200164	ଅତଏବ ଯାଫୋ ସହରକୁ ଲୋକ ପଠାଇ ପିତର ଉପନାମପ୍ରାପ୍ତ ଶିମୋନଙ୍କୁ ପାଖକୁ ଡକାଇ ଆଣ, ସେ ସମୁଦ୍ରକୂଳରେ ଶିମୋନ ଚର୍ମକାରକଙ୍କ ଗୃହରେ ଅତିଥି ରୂପେ ବାସ କରୁଅଛନ୍ତି।
2c0a21020d	ଏନିମନ୍ତେ ମୁଁ ଅବିଳମ୍ବରେ ଆପଣଙ୍କ ନିକଟକୁ ଲୋକ ପଠାଇଲି, ଆଉ ଆପଣ ଯେ ଆସିଅଛନ୍ତି, ଭଲ କରିଅଛନ୍ତି। ଅତଏବ ପ୍ରଭୁ ଆପଣଙ୍କୁ ଯାହାସବୁ ଆଦେଶ ଦେଇଅଛନ୍ତି, ତାହା ଶୁଣିବା ନିମନ୍ତେ ଆମ୍ଭେମାନେ ସମସ୍ତେ ଈଶ୍ବରଙ୍କ ସାକ୍ଷାତରେ ଉପସ୍ଥିତ ଅଛୁ।
2c0a2200ed	ସେଥିରେ ପିତର ମୁଖ ଫିଟାଇ କହିଲେ, ପ୍ରକୃତରେ ବର୍ତ୍ତମାନ ମୁଁ ଜାଣିଲି ଯେ ଈଶ୍ବର ପକ୍ଷପାତ କରନ୍ତି ନାହିଁ,
2c0a230132	କିନ୍ତୁ ପ୍ରତ୍ୟେକ ଜାତିରେ ଯେ କେହି ତାହାଙ୍କୁ ଭୟ କରି ଧର୍ମାଚରଣ କରେ, ସେ ଯେ ତାହାଙ୍କ ନିକଟରେ ଗ୍ରାହ୍ୟ ହୁଏ, ଏହା ମୁଁ ସତ୍ୟ ବୁଝୁଅଛି।
2c0a24017d	ସେ ତ ଯୀଶୁ ଖ୍ରୀଷ୍ଟଙ୍କ ଦ୍ୱାରା ଶାନ୍ତିର ସୁସମାଚାର ପ୍ରଚାର କରାଇ ଇସ୍ରାଏଲ ସନ୍ତାନମାନଙ୍କ ନିକଟକୁ ଏହି ବାକ୍ୟ ପ୍ରେରଣ କଲେ; ସେହି ଯୀଶୁ ଖ୍ରୀଷ୍ଟ ସମସ୍ତଙ୍କର ପ୍ରଭୁ।
2c0a250185	ଆପଣମାନେ ଜାଣନ୍ତି ଯେ ବାପ୍ତିଜକ ଯୋହନଙ୍କ ଦ୍ୱାରା ପ୍ରଚାରିତ ବାପ୍ତିସ୍ମ ସମୟ ପରେ ସେହି ସୁସମ୍ବାଦ ଗାଲିଲୀରୁ ଆରମ୍ଭ କରି ସମଗ୍ର ଯିହୂଦିୟା ପ୍ରଦେଶରେ ପ୍ରଚାରିତ ହୋଇଅଛି,
2c0a26024e	ଅର୍ଥାତ୍‍ ନାଜରିତୀୟ ଯୀଶୁଙ୍କ କଥା, କିପରି ଈଶ୍ବର ତାହାଙ୍କୁ ପବିତ୍ର ଆତ୍ମା ଓ ଶକ୍ତିରେ ଅଭିଷିକ୍ତ କଲେ, ଆଉ ସେ ମଙ୍ଗଳ ସାଧନ କରୁ କରୁ ଓ ଶୟତାନ କର୍ତ୍ତୃକ ପ୍ରପୀଡ଼ିତ ସମସ୍ତ ଲୋକଙ୍କୁ ସୁସ୍ଥ କରୁ କରୁ ସର୍ବତ୍ର ଭ୍ରମଣ କଲେ, କାରଣ ଈଶ୍ବର ତାହାଙ୍କ ସହବର୍ତ୍ତୀ ଥିଲେ।
2c0a27015b	ପୁଣି, ସେ ଯିହୁଦୀମାନଙ୍କ ଦେଶ ଓ ଯିରୂଶାଲମ ସହରରେ ଯାହା ଯାହା ସାଧନ କଲେ, ଆମ୍ଭେମାନେ ସେହି ସମସ୍ତର ସାକ୍ଷୀ; ତାହାଙ୍କୁ ସେମାନେ କ୍ରୁଶରେ ଟଙ୍ଗାଇ ବଧ କଲେ।
2c0a280095	ତାହାଙ୍କୁ ଈଶ୍ବର ତୃତୀୟ ଦିବସରେ ଉଠାଇ ପ୍ରତ୍ୟକ୍ଷ ହେବାକୁ ଦେଲେ;
2c0a29021b	ସମସ୍ତ ଲୋକଙ୍କର ପ୍ରତ୍ୟକ୍ଷ ହେବାକୁ ଦେଲେ ନାହିଁ, ମାତ୍ର ଈଶ୍ବରଙ୍କ ଦ୍ୱାରା ପୂର୍ବନିରୂପିତ ସାକ୍ଷୀ ଯେ ଆମ୍ଭେମାନେ, ଆମ୍ଭମାନଙ୍କର ପ୍ରତ୍ୟକ୍ଷ ହେବାକୁ ଦେଲେ। ସେ ମୃତମାନଙ୍କ ମଧ୍ୟରୁ ଉଠିଲା ପରେ ଆମ୍ଭେମାନେ ତାହାଙ୍କ ସହିତ ଭୋଜନପାନ କଲୁ,
2c0a2a01c2	ଆଉ ଲୋକମାନଙ୍କ ନିକଟରେ ପ୍ରଚାର କରିବାକୁ, ପୁଣି, ମୃତ ଓ ଜୀବିତମାନଙ୍କର ବିଚାରକର୍ତ୍ତା ହେବା ନିମନ୍ତେ ଈଶ୍ବର ତାହାଙ୍କୁ ନିଯୁକ୍ତ କରିଅଛନ୍ତି ବୋଲି ସାକ୍ଷ୍ୟ ଦେବାକୁ ସେ ଆମ୍ଭମାନଙ୍କୁ ଆଜ୍ଞା ଦେଲେ।
2c0a2b013a	ଯେ କେହି ତାହାଙ୍କଠାରେ ବିଶ୍ୱାସ କରେ, ସେ ଯେ ତାହାଙ୍କ ନାମରେ ପାପ କ୍ଷମା ପାଇବ, ଏହା ସମସ୍ତ ଭାବବାଦୀ ତାହାଙ୍କ ବିଷୟରେ ସାକ୍ଷ୍ୟ ଦିଅନ୍ତି।
2c0a2c0103	ପିତର ଏହିସବୁ କଥା କହୁଥିବା ସମୟରେ ଯେତେ ଲୋକ ବାକ୍ୟ ଶୁଣୁଥିଲେ, ସେହି ସମସ୍ତଙ୍କ ଉପରେ ପବିତ୍ର ଆତ୍ମା ଅବତରଣ କଲେ।
2c0a2d0165	ସେଥିରେ ପିତରଙ୍କ ସହିତ ଆଗତ ସୁନ୍ନତ ବିଶ୍ୱାସୀମାନେ ସମସ୍ତେ ଅଣଯିହୁଦୀମାନଙ୍କ ଉପରେ ସୁଦ୍ଧା ପବିତ୍ର ଆତ୍ମାଙ୍କ ଦାନ ବୃଷ୍ଟି କରାଯିବା ଦେଖି ଆଚମ୍ଭିତ ହେଲେ;
2c0a2e00e9	କାରଣ ସେମାନେ ସେମାନଙ୍କୁ ବିଭିନ୍ନ ଭାଷାରେ କଥା କହୁଥିବା ଓ ଈଶ୍ବରଙ୍କ ପ୍ରଶଂସା କରୁଥିବା ଶୁଣୁଥିଲେ।
2c0a2f01b6	ସେତେବେଳେ ପିତର ଉତ୍ତର ଦେଲେ, ଏହି ଯେଉଁ ଲୋକମାନେ ଆମ୍ଭମାନଙ୍କ ପରି ପବିତ୍ର ଆତ୍ମା ପ୍ରାପ୍ତ କରିଅଛନ୍ତି, ଏମାନେ ଯେପରି ବାପ୍ତିଜିତ ନ ହୁଅନ୍ତି, ସେଥିନିମନ୍ତେ କଅଣ କେହି ଜଳକୁ ନିଷେଧ କରିପାରିବ?
2c0a300152	ପୁଣି, ସେ ସେମାନଙ୍କୁ ଯୀଶୁ ଖ୍ରୀଷ୍ଟଙ୍କ ନାମରେ ବାପ୍ତିସ୍ମ ନେବା ନିମନ୍ତେ ଆଦେଶ ଦେଲେ। ପରେ ସେମାନେ କିଛି ଦିନ ରହିବା ପାଇଁ ତାହାଙ୍କୁ ଅନୁରୋଧ କଲେ।
2c0b010129	ଅଣଯିହୁଦୀମାନେ ମଧ୍ୟ ଯେ ଈଶ୍ବରଙ୍କ ବାକ୍ୟ ଗ୍ରହଣ କରିଅଛନ୍ତି, ଏହା ପ୍ରେରିତମାନେ ଓ ଯିହୂଦିୟା ପ୍ରଦେଶରେ ଥିବା ଭାଇମାନେ ଶୁଣିଲେ।
2c0b020100	ଆଉ, ଯେତେବେଳେ ପିତର ଯିରୂଶାଲମ ସହରକୁ ଆସିଲେ, ସେତେବେଳେ ସୁନ୍ନତି ଶିଷ୍ୟମାନେ ତାହାଙ୍କ ସହିତ ବିବାଦ କରି କହିଲେ,
2c0b0300c9	ତୁମ୍ଭେ ଅସୁନ୍ନତି ବିଶ୍ୱାସୀମାନଙ୍କ ଗୃହରେ ପ୍ରବେଶ କରି ସେମାନଙ୍କ ସହିତ ଭୋଜନ କରିଅଛ।
2c0b040090	କିନ୍ତୁ ପିତର ବିଷୟଟିର ସବୁ କଥା ବୁଝାଇବାକୁ ଆରମ୍ଭ କରି କହିଲେ,
2c0b050199	ମୁଁ ଯାଫୋ ନଗରରେ ପ୍ରାର୍ଥନା କରୁଥିଲି ଏବଂ ମୂର୍ଚ୍ଛିତ ହୋଇ ଏହି ଦର୍ଶନ ପାଇଲି, ଗୋଟିଏ ପାତ୍ର ତଳକୁ ଆସୁଅଛି, ଯେପରି ଗୋଟିଏ ବଡ଼ ଚାଦର ଚାରି କୋଣରେ ଧରା ହୋଇ ଆକାଶରୁ ଖସାଇ ଦିଆଯାଉଅଛି,
2c0b0601a5	ଆଉ ତାହା ମୋ ପର୍ଯ୍ୟନ୍ତ ଆସିଲା; ମୁଁ ତାହା ପ୍ରତି ଏକଦୃଷ୍ଟିରେ ଚାହିଁ ଚିନ୍ତା କରିବାକୁ ଲାଗିଲି ଓ ସେଥିରେ ପୃଥିବୀର ଚାରିଗୋଡ଼ିଆ ପ୍ରାଣୀ, ବନ୍ୟ-ପଶୁ, ସରୀସୃପ ଓ ଆକାଶର ପକ୍ଷୀସବୁ ଦେଖିଲି,
2c0b0700cf	ପୁଣି, ମୋତେ କୁହାଯାଉଥିବା ଗୋଟିଏ ବାଣୀ ମଧ୍ୟ ମୁଁ ଶୁଣିଲି, “ହେ ପିତର, ଉଠ, ବଧ କରି ଭୋଜନ କର।”
2c0b0800f1	କିନ୍ତୁ ମୁଁ କହିଲି, ନାହିଁ ପ୍ରଭୁ, ଅପବିତ୍ର କି ଅଶୁଚି ବସ୍ତୁ ମୋହର ମୁଖରେ କେବେହେଲେ ପ୍ରବେଶ କରି ନାହିଁ।
2c0b090118	କିନ୍ତୁ ଦ୍ୱିତୀୟ ଥର ଆକାଶରୁ ଗୋଟିଏ ସ୍ୱର ଉତ୍ତର ଦେଲା, “ଈଶ୍ବର ଯାହା ଶୁଚି କରିଅଛନ୍ତି, ତୁମ୍ଭେ ତାହା ଅଶୁଚି ବୋଲି ନ କୁହ।”
2c0b0a009d	ଏହି ପ୍ରକାରେ ତିନି ଥର ହେଲା, ପରେ ସମସ୍ତ ପୁନର୍ବାର ଆକାଶକୁ ନିଆଗଲା।
2c0b0b016c	ପୁଣି, ଦେଖନ୍ତୁ, ସେହିକ୍ଷଣି ତିନି ଜଣ ଲୋକ, ଆମ୍ଭେମାନେ ଯେଉଁ ଗୃହରେ ଥିଲୁ, ସେଥିର ସମ୍ମୁଖରେ ଆସି ଠିଆ ହେଲେ, ସେମାନେ କାଇସରିୟାରୁ ମୋ ନିକଟକୁ ପ୍ରେରିତ ହୋଇଥିଲେ।
2c0b0c01a2	ପୁଣି, କିଛି ସନ୍ଦେହ ନ କରି ସେମାନଙ୍କ ସାଙ୍ଗରେ ଯିବା ନିମନ୍ତେ ଆତ୍ମା ମୋତେ କହିଲେ। ଆଉ, ଏହି ଛଅ ଜଣ ଭାଇ ମଧ୍ୟ ମୋ ସାଙ୍ଗରେ ଗଲେ, ପୁଣି, ଆମ୍ଭେମାନେ ସେହି ବ୍ୟକ୍ତିଙ୍କ ଗୃହରେ ପ୍ରବେଶ କଲୁ।
2c0b0d01a9	ସେ କିପରି ଜଣେ ଦୂତଙ୍କର ଦର୍ଶନ ପାଇଥିଲେ, ତାହା ଆମ୍ଭମାନଙ୍କୁ ଜଣାଇଲେ, ସେହି ଦୂତ କିପରି ତାହାଙ୍କ ଗୃହରେ ଠିଆ ହୋଇ କହିଲେ, ଯାଫୋ ସହରକୁ ଲୋକ ପଠାଇ ପିତର ଉପନାମପ୍ରାପ୍ତ ଶିମୋନଙ୍କୁ ଡକାଇ ଆଣ;
2c0b0e00f3	ଯେ ସମସ୍ତ ବାକ୍ୟ ଦ୍ୱାରା ତୁମ୍ଭେ ଓ ତୁମ୍ଭର ସମସ୍ତ ପରିବାର ପରିତ୍ରାଣ ପାଇବ, ସେ ତୁମ୍ଭକୁ ସେହିସବୁ କହିବେ।
2c0b0f0142	ପରେ ମୁଁ କଥା କହିବାକୁ ଆରମ୍ଭ କରିବା ସମୟରେ ପବିତ୍ର ଆତ୍ମା ପ୍ରଥମରେ ଆମ୍ଭମାନଙ୍କ ଉପରେ ଅବତରଣ କଲା ପରି ସେମାନଙ୍କ ଉପରେ ସୁଦ୍ଧା ଅବତରଣ କଲେ।
2c0b100164	ସେତେବେଳେ ପ୍ରଭୁଙ୍କ ଉକ୍ତ ଏହି ବାକ୍ୟ ମୋହର ସ୍ମରଣରେ ପଡ଼ିଲା, “ଯୋହନ ଜଳରେ ବାପ୍ତିସ୍ମ ଦେଲେ ସତ, କିନ୍ତୁ ତୁମ୍ଭେମାନେ ପବିତ୍ର ଆତ୍ମାରେ ବାପ୍ତିଜିତ ହେବ।”
