0100000009	1 Mosebog
1c03030093	Og jeg sagde til hende: »I lang Tid skal du vente paa mig; du maa ikke bedrive Hor eller tilhøre nogen Mand; heller ikke jeg vil komme til dig.«
1c03040071	Thi i lang Tid skal Israeliterne vente uden Konge og Fyrste, uden Slagtoffer og Stenstøtte, uden Efod og Husgud.
1c03050097	Siden skal Israeliterne omvende sig og søge HERREN deres Gud og David, deres Konge, og bævende komme til HERREN og hans Velsignelse i de sidste Dage.
1c04010086	Hør, Israeliter, HERRENS Ord, thi HERREN gaar i rette med Landets Folk. Thi ej er der Troskab, ej Godhed, ej kender man Gud i Landet.
1c04020063	Man sværger og lyver, myrder og stjæler, horer, gør Indbrud, og Blodskyld følger paa Blodskyld.
1c04030075	Derfor sørger Landet, og alt, hvad der bor der, sygner, Markens Dyr og Himlens Fugle; selv Havets Fisk svinder bort.
1c0404004d	Dog skænde man ej, dog revse man ej, naar mit Folk kun er som dets Præster.
1c04050037	Du skal styrte ved Dag, og med dig Profeten ved Nat....
1c040600b0	Mit Folk skal gaa til Grunde, fordi det er uden Kundskab. Da du har vraget Kundskab, vrager jeg dig som Præst; du glemte din Guds Aabenbaring, saa glemmer og jeg dine Sønner.
1c0407003f	Jo fler, des mere de synded, ombytted deres Ære med Skændsel;
1c04080039	mit Folks Synd lever de af, dets Brøde hungrer de efter.
1c04090060	Men Præst skal det gaa som Folk; jeg hjemsøger ham for hans Færd, hans Id gengælder jeg ham.
1c040a006a	De skal spise, men ikke mættes, hore, men ej blive fler; thi de har sveget HERREN og holder fast ved Hor.
1c040b001d	Vin og Most tager Forstanden.
1c040c0078	Mit Folk raadspørger sit Træ, og Svaret giver dets Stok; thi Horeaand ledte dem vild, de boler sig bort fra deres Gud.
1c040d00b2	De ofrer paa Bjergenes Tinder, paa Højene brænder de Ofre under en Eg, en Poppel, en Terebinte, thi Skyggen er god. Saa horer jo og eders Døtre, saa boler jo og eders Kvinder;
1c040e0095	jeg straffer ej Døtrenes Hor, ej Kvinderne for deres Bolen; thi selv gaar de bort med Horer, ofrer sammen med Skøger; og det uvise Folk drages ned.
1c040f009c	Men selv om du, Israel, horer, maa Juda ej gøre sig skyldigt. Gaa ikke over til Gilgal, drag ikke op til Bet-Aven, sværg ikke: »Saa sandt HERREN lever!«
1c04100055	Thi som en uvan Ko er Israel uvan, skal HERREN saa lade dem græsse i Frihed som Lam?
1c04110032	Efraim er bundet til Afgudsbilleder; lad ham fare!
1c0412005a	Deres Drikken er skejet ud. Hor har de bedrevet; højt har deres Skjolde elsket Skændsel.
1c04130056	Et Vejr har omspændt dem med sine Vinger, og de skal blive til Skamme for deres Ofre.
1c0501009e	Hører dette, I Præster, lyt til du Israels Hus, laan Øre, du Kongehus, thi eder gælder Dommen. Thi I blev en Snare for Mizpa, et Garn bredt ud over Tabor,
1c0502003a	en dyb Faldgrube i Sjittim; men jeg er en Lænke for alle.
1c05030060	Efraim kender jeg, ej skjult er Israel for mig; thi du har bolet, Efraim, uren er Israel blevet.
1c0504006e	Deres Gerninger tillader ikke, at de vender sig til deres Gud; thi Horeaand har de i sig, HERREN kender de ej.
1c0505005a	Mod Israel vidner dets Hovmod; Efraim styrter for sin Brøde, med dem skal og Juda styrte.
1c05060079	Da gaar de med Smaakvæg og Hornkvæg hen for at søge HERREN; men ham skal de ikke finde, thi bort fra dem vil han vige.
1c0507006c	Troløse var de mod HERREN, thi uægte Børn har de født; nu vil han opsluge dem, Plovmand sammen med Mark.
1c05080058	Lad Hornet gjalde i Gibea, Trompeten i Rama, opløft Raab i Bet-Aven, Benjamin, var dig!
1c05090065	Til Ørk skal Efraim blive paa Straffens Dag. Jeg kundgør om Israels Stammer, hvad sikkert skal ske.
1c050a0059	Som Folk, der flytter Skel, blev Judas Fyrster, over dem vil jeg øse min Harme som Vand.
1c050b0046	Efraim er undertrykt, Retten knust; frivilligt løb han efter Fjenden.
1c050c0030	Jeg er som Møl for Efraim, Edder for Judas Hus.
1c050d00a4	Da Efraim mærked sin Sygdom og Juda mærked sin Byld, gik Efraim hen til Assur, Storkongen sendte han Bud. Men han kan ej give jer Helse, han læger ej eders Byld.
1c050e007e	Thi jeg er som en Løve for Efraim, en Løveunge for Judas Hus; jeg, jeg river sønder og gaar, slæber bort, og ingen redder.
1c050f0074	Jeg gaar til mit sted igen, indtil de bøder for Skylden og søger frem for mit Aasyn, søger mig i deres Trængsel.
1c06010064	»Kom, vi vil tilbage til HERREN! Han sønderrev, han vil og læge, han slog os, vil ogsaa forbinde.
1c06020054	Om to Dage gør han os levende, rejser os op den tredje; da lever vi for hans Aasyn.
1c06030097	Saa lad os da kende, jage efter at kende HERREN! Som Morgenrøden er hans Opgang vis. Da kommer han til os som Regn, som Vaarregn, der væder Jorden.«
1c0604007a	Hvor kan jeg hjælpe dig, Efraim, hvor kan jeg hjælpe dig, Juda? Eders Kærlighed er Morgentaage, Dug, som aarle svinder!
1c0605005d	Thi hugged jeg løs ved Profeter, dræbte med Ord af min Mund, min Ret straaler frem som Lys:
1c06060049	Ej Slagtoffer — Kærlighed vil jeg, ej Brændofre — Kendskab til Gud!
1c06070029	De bryder Pagten i Adam, er mig utro der;
1c06080030	Gilead er Udaadsmænds By, den er sølet i Blod.
1c0609005b	Som en Stimandsflok er Præsternes Flok, de myrder paa Vejen til Sikem, gør Niddingsværk.
1c060a0050	Grufulde Ting har jeg set i Israels Hus, der har Efraim bolet, Israel blev uren.
1c060b0067	Juda, ogsaa for dig er der fastsat en Høst, naar jeg vender mit Folks Skæbne, naar jeg læger Israel.
1c0701007e	Afsløret er Efraims Brøde, Samarias ondskab, thi Svig er, hvad de har for, og Tyve gør Indbrud, Ransmænd røver paa Gaden.
1c07020068	De tænker ej paa, at jeg husker al deres Ondskab. Nu staar deres Gerninger om dem, de er for mit Aasyn.
1c0703003f	Med ondt i Sinde glæder de Kongen, under sleske Lader Fyrster.
1c07040073	Horkarle er de alle. De ligner en gloende Ovn, som en Bager standser med at ilde, fra Æltning til Dejgen er syret.
1c0705004a	De gør paa Kongens Dag Fyrsterne syge af Rus. Spottere giver han Haanden,
1c0706006d	thi lumskelig nærmed de sig. Hjertet er som en Ovn; deres Vrede sover om Natten, men brænder i Lue ved Gry.
1c0707006c	Som Ovnen gløder de alle, deres Herskere æder de op; alle deres Konger falder, ej en af dem paakalder mig.
1c07080054	Efraim er iblandt Folkene, aflægs er han; Efraim er som en Kage, der ikke er vendt.
1c0709005f	Fremmede tæred hans Kraft, han mærker det ej; hans Haar er ogsaa graanet, han mærker det ej.
1c070a0061	Mod Israel vidner dets Hovmod; de vendte ej om til HERREN deres Gud og søgte ham ikke trods alt.
1c070b0059	Efraim er som en Due, tankeløs, dum; de kalder Ægypten til Hjælp og vandrer til Assur.
1c070c0075	Men medens de vandrer, kaster jeg Nettet over dem, bringer dem ned som Himlens Fugle og revser dem for deres Ondskab.
1c070d0077	Ve dem, fordi de veg fra mig, Død over dem for deres Frafald! Og jeg skulde genløse dem, endskønt de lyver imod mig!
1c070e0071	De raaber ej til mig af Hjertet, naar de jamrer paa Lejet, saarer sig for Korn og Most og er genstridige mod mig.
1c070f0038	Jeg gav deres Arme Styrke, men ondt har de for imod mig.
1c07100093	De vender sig, dog ej opad, de er som en slappet Bue. Deres Fyrster skal falde for Sværd ved deres Tunges Frækhed. Det spottes de for i Ægypten.
1c0801006b	Sæt Hornet for din Mund, som en Ørn over HERRENS Hus! — fordi de brød min Pagt og overtraadte min Lov.
1c08020037	De raaber til mig: »Min Gud! Vi, Israel, kender dig.«
1c08030035	Israel vragede Lykken, lad saa Fjenden forfølge dem.
1c0804007c	De kaarer sig Drot uden mig, uden mit Vidende Fyrster. Af deres Sølv og Guld lavede de sig Gudebilleder til egen Undergang.
1c08050067	Modbydelig er din Kalv, Samaria; min Vrede luer imod dem — hvor længe? De kan ikke slippe for Straf.
1c08060077	Thi den er et Værk af Israel, en Haandværker lavede den; den er ikke Gud. Nej, til Splinter skal Samarias Kalv blive.
1c08070075	Thi Vind har de saaet, og Storm skal de høste, Sæd uden Spire, der ej giver Mel; og gav den, slugte fremmede Melet.
1c08080046	Israel er opslugt, blandt Folkene regnes det nu for et Kar uden Værd.
1c0809005e	Thi de er draget til Assur som et enligt strejfende Vildæsel. Efraim tinged med Elskovsgaver.
1c080a0060	Selv om de tinger blandt Folkene, samler jeg dem nu; snart salver de ikke mere Konge og Fyrster.
1c080b0047	Thi saa mange Altre Efraim har bygget, de er blevet ham Altre til Synd;
1c080c0030	jeg skriver ham mange Love, han regner dem ikke.
1c080d00a2	Slagtofre elsker de — slagter, elsker Kød — og æder; HERREN behager de ej. Han mindes nu deres Skyld og straffer deres Synder. De skal tilbage til Ægypten.
1c080e009c	Israel glemte sin Skaber og byggede Helligdomme, og Juda byggede mange faste Stæder; derfor sender jeg Ild imod hans Byer, og den skal fortære hans Borge.
1c0901007d	Israel, glæd dig ikke med Folkenes Jubel, ved Hor veg du bort fra din Gud, paa hver en Tærskeplads elsker du Skøgens Løn.
1c0902004b	Tærskeplads og Perse skal ej kendes ved dem, og Mosten slaar fejl for dem.
1c0903005c	Ej skal de blive i HERRENS Land; til Ægypten skal Efraim tilbage, spise uren Føde i Assur.
1c090400c5	Ej skal de udgyde Vin for HERREN, ej heller gøre Slagtoffer rede. Som Sørgebrød er deres Brød, det gør hver, som spiser det, uren; thi Hungeren kræver alt Brødet, i HERRENS Hus kommer intet.
1c09050033	Hvad gør I paa Højtidsdagen, paa HERRENS Festdag?
1c09060094	Slipper de bort fra Vold, skal Ægypten sanke dem op og Memfis jorde dem; deres kostbare Sølvtøj skal Tidsler arve, Nælder skal bo i deres Telte.
1c090700b2	Hjemsøgelsens Dage kommer, Gengældelsens Dage, det skal Israel mærke. »Afsindig er Profeten, forrykt den af Aanden grebne« — fordi din Brøde er stor og Fjendskabet stort!
1c09080064	I sin Guds Hus lurer Efraim paa Profeten; der er Snarer paa alle hans Veje, man gør Faldgruben dyb.
1c0909004a	Det er som i Gibeas Dage, han mindes deres Skyld og straffer deres Synder.
1c090a00c1	Som Druer i Ørkenen fandt jeg Israel, som tidligmodne Figner paa Træet saa jeg eders Fædre. De kom til Ba'al-Peor, til Skændselen viede de sig, som Efraims Elskere blev de en væmmelig Hob.
1c090b004e	Deres Herlighed flyver som Fugle, Fødsel, Svangerskab, Undfangelse — forbi!
1c090c006c	Ja, selv om de opfostrer Sønner, jeg lader dem dø ud uden Børn. Ja, ve ogsaa dem, naar jeg viger fra dem!
1c090d006c	Efraim saa jeg som en Mand, der gør Jagt paa sine Børn; thi Efraim selv fører Sønnerne ud til Bøddelen.
1c090e0056	Giv dem, HERRE — ja hvad skal du give? Du give dem barnløst Skød og golde Bryster!
1c090f00a9	I Gilgal er al deres Ondskab, der fik jeg Had til dem; for deres onde Gerninger driver jeg dem ud af mit Hus; jeg elsker dem ikke mer, genstridige er alle deres Fyrster.
1c09100075	Efraim er ramt, dets Rod er vissen, de bærer slet ingen Frugt; og faar de end Børn, jeg dræber den dyre Livsfrugt.
1c09110057	Deres Gud vil forkaste dem, fordi de ej adlød ham; hjemløse bliver de blandt Folkene.
1c0a010080	En frodig Vinstok var Israel, som bar sin Frugt, jo flere Frugter, des flere Altre; som Landet gik frem, des skønnere Støtter.
1c0a02005f	Deres Hjerte var glat, saa lad dem da bøde! Han skal slaa Altrene ned, lægge Støtterne øde.
1c0a03005f	De siger jo nu: »Vi har ingen Konge; thi HERREN frygter vi ej; en Konge, hvad gavner han os?«
1c0a04006d	Med Ord slaar de om sig, gør Mened og indgaar Forbund, saa Ret bliver Gifturt, der gror langs Markens Furer.
1c0a05009a	For Bet-Avens Kalv skal Samarias Borgere ængstes, ja, over den skal dens Folk og dens Præster sørge, jamre over deres Skat, thi den bortføres fra dem;
1c0a060068	som Gave til Storkongen føres og den til Assur. Efraim høster kun Skændsel, Israel Skam af sin Afgud.
1c0a070032	Samarias Konge slettes som Skum paa Vandets Flade.
1c0a080098	Øde er Afgudshøjene, Israels Synd, og paa deres Altre skal Torn og Tidsel gro. De siger til Bjergene: »Skjul os!« til Højene: »Fald ned over os!«
1c0a090085	Du syndede, Israel, helt fra Gibeas Dage. Der i Gibea sagde man: »Krig skal ej naa os!« Men jeg kom over de Niddinger, revsede dem;
1c0a0a0039	Stammerne samled sig mod dem til Tugt for tvefold Brøde.
1c0a0b008e	En tilvænnet Kvie var Efraim, tærskede villigt, Aaget lagde jeg selv paa dens skønne Hals; for Ploven spændte jeg Efraim, Juda for Harven.
1c0a0c0083	Saa eders Sæd i Retfærd, høst i Fromhed; bryd eder Kundskabs Nyjord og søg saa HERREN, til Retfærds Frugt bliver eder til Del.
1c0a0d0072	I pløjede Gudløshed, høstede Uret, fortærede Løgnens Frugt. Fordi du slaar Lid til dine Vogne og mange Helte,
1c0a0e0098	skal Kampgny staa i dine Byer og alle dine Borge. De skal ødelægges, som da Sjalman ødelagde Bet-Arbel paa Stridens Dag. Moder skal knuses hos Børn.
1c0a0f0060	Det voldte Betel eder. For din Ondskabs Skyld skal Israels Konge ved Morgengry gøres til intet.
1c0b010044	Jeg fik Israel kær i hans Ungdom, fra Ægypten kaldte jeg min Søn.
1c0b020070	Jo mer jeg kaldte dem, des mere fjerned de sig fra mig; de ofrer til Ba'alerne, tænder for Billederne Offerild.
1c0b03005d	Jeg lærte dog Efraim at gaa og tog ham paa Armen; de vidste ej, det var mig, der lægte dem.
1c0b040098	Jeg drog dem med Menneskesnore, med Kærligheds Reb; jeg var dem som den, der løfter et Aag over Kæben, jeg bøjed mig ned til ham og rakte ham Føde.
1c0b05004e	Han skal til Ægypten igen, have Assur til Konge, thi omvende sig vil de ikke.
1c0b060052	Sværdet skal rase i hans Byer, fortære hans Slaaer og hærge i hans Fæstninger.
1c0b070061	Mit Folk, det hælder til Frafald fra mig, og raaber man til det: »Op, op!« — staar ingen op.
1c0b080098	Hvor kan jeg ofre dig, Efraim, lade dig, Israel, fare, ofre dig ligesom Adma, gøre dig som Zebojim? Mit Hjerte vender sig i mig, al min Medynk er vakt.
1c0b09009a	Jeg fuldbyrder ikke min Harmglød, gør ej Efraim til intet igen. Thi Gud er jeg, ikke et Menneske, hellig udi din Midte, med Vredesglød kommer jeg ikke.
1c0b0a0067	HERREN skal de holde sig til, han brøler som Løven, ja brøler, og bævende kommer Sønner fra Havet,
1c0b0b0074	bævende som Fugle fra Ægypten, som Duer fra Assurs Land; jeg fører dem hjem til deres Huse, lyder det fra HERREN.
1c0b0c0069	Efraim omgiver mig med Løgn, Israels Hus med svig, Juda kender ej Gud, med Skøger slaar han sig sammen.
1c0c010095	Efraims Hu staar til Vind, efter Østenstorm jager han stadig, af Løgn og Svig er han fuld; med Assur slutter de Pagt, til Ægypten bringer de Olie.
1c0c020062	HERREN gaar i Rette med Juda og hjemsøger Jakob, gengælder ham efter hans Veje og efter hans Id.
1c0c030048	I Moders Liv overlisted han sin Broder, han stred med Gud i sin Manddom,
1c0c04006b	ja stred med en Engel og sejred, han bad ham med Graad om Naade; i Betel traf han ham og talte med ham der,
1c0c05002d	HERREN, Hærskarers Gud, HERREN er hans Navn:
1c0c06005c	»Drag du nu hjem med din Gud, tag Vare paa Kærlighed og Ret og bi bestandig paa din Gud!«
1c0c070033	I Kana'ans Haand er falske Lodder, han elsker Svig.
1c0c08005c	Efraim siger: »Jeg vandt dog Rigdom og Gods!« Al hans Vinding soner ej Brøden, han øved.
1c0c090063	Men jeg, som er HERREN din Gud, fra du var i Ægypten, lader dig bo i Telt igen som i svundne Dage.
1c0c0a0054	Jeg har talet til Profeterne og givet mange Syner, ved Profeterne talet i Lignelser.
1c0c0b0065	Gilead er Løgn og Tomhed, i Gilgal ofrer de Tyre; som Stendynger langs med Markfurer er deres Altre.
1c0c0c0073	Jakob flyede til Arams Slette, og Israel trællede for en Kvindes Skyld, og for en Kvindes Skyld vogtede han Kvæg.
1c0c0d0052	Ved en Profet førte HERREN Israel op fra Ægypten, og det vogtedes ved en Profet.
1c0c0e0069	Efraim vakte bitter Vrede, han bærer Blodskyld; med Skændsel dænges han til, hans Herre gør Gengæld.
1c0d01005c	Naar Efraim talte, skjalv man, i Israel var han Fyrste, han forbrød sig med Ba'al og døde.
1c0d0200a9	Nu bliver de ved at synde og laver sig støbte Guder, dannet som Billeder af Sølv, Arbejderes Værk til Hobe; de siger: »Til dem skal I ofre!« Mennesker kysser Kalve!
1c0d03007a	Derfor: som Morgentaage, som Duggen, der aarle svinder, som Avner, der blæses fra Lo, som Røg fra Røghul skal de blive.
1c0d040070	Og jeg er HERREN din Gud, fra du var i Ægyptens Land; du kender ej Gud uden mig, uden mig er der ingen Frelser;
1c0d050037	jeg var din Vogter i Ørken, den svidende Tørkes Land.
1c0d06005d	Som de græssede, aad de sig mætte, ja mætte, men Hjertet blev stolt; derfor glemte de mig.
1c0d07003f	Saa blev jeg for dem som en Løve, en lurende Panter ved Vejen,
1c0d080088	jeg falder over dem som Bjørnen, hvis Unger man tog. Jeg sønderriver dem Brystet, Hunde skal æde deraf, Markens Dyr flaa dem sønder.
1c0d09003a	Naar Ulykken kommer, Israel, hvor mon du da finder Hjælp?
1c0d0a0078	Hvor er da din Konge til Frelse for dig i alle dine Byer, Herskerne, om hvem du siger: »Giv mig dog Konge og Fyrster!«
1c0d0b0039	Jeg giver dig Konge i Vrede og fjerner ham atter i Harme.
1c0d0c0030	Tilbundet er Efraims Brøde, hans Synd gemt hen.
1c0d0d0069	Hans Fødselsstunds Veer er der, men sært er Barnet, som ej kommer frem i Tide, saa Fødselen faar Ende.
1c0d0e00a0	Dem skal jeg fri fra Dødsriget, løse fra Døden! Nej, Død, hvor er din Pest, Dødsrige, hvor er din Sot? Til Mildhed kender jeg ej, thi et sært Barn er han.
1c0d0f009d	En Østenstorm, Herrens Aande, bruser frem fra Ørken, løfter sig, tørrer hans Væld, gør hans Kilde tør, den tager hans Skatkammer med alle dets Skatte.
1c0d10007f	Samaria skal bøde, thi det stod sin Gud imod. For Sværd skal de falde, Børnene knuses, frugtsommelige Kvinders Liv rives op.
1c0e010040	Israel, vend om til HERREN din Gud, thi du faldt ved din Brøde.
1c0e020081	Tag Angersord med og vend jer atter til HERREN; sig til ham: »Tilgiv al vor Brøde, vær naadig! Vi betaler med Læbernes Frugt.
1c0e03008a	Vi vil ej søge Hjælp hos Assur, ej ride paa Stridshest, vi kalder ej mer vore Hænders Værk vor Gud; hos dig finder faderløs Medynk.«
1c0e040051	Jeg læger deres Frafald, elsker dem frivilligt, min Vrede har vendt sig fra dem.
1c0e05005b	Jeg vil være Israel som Dug, han skal blomstre som Liljen, Rod skal han slaa som en Poppel
1c0e060042	og bugne af Skud, som et Olietræ staa i Pragt, som Libanon dufte.
1c0e07005f	Atter skal de bo i min Skygge, Korn skal de avle, skyde som en Vinstok med Ry som Libanons Vin.
1c0e08007a	Hvad skal Efraim mere med Afguder? Jeg hører ham, ser ned til ham. Jeg er som en grøn Cypres, du faar din Frugt fra mig.
1c0e090093	Hvem er saa viis, at han fatter det, saa klog, at han ved det? Thi rette er HERRENS Veje; retfærdige vandrer paa dem, men Syndere snubler paa dem.
1d00000004	Joel
1d0101002c	HERRENS Ord, som kom til Joel, Petuels Søn.
1d0102006d	Hør dette, I Ældste, laan Øre, alle, som bor i Landet! Er sligt mon sket i eders eller eders Fædres Dage?
1d01030057	I skal fortælle det til eders Børn, og de igen til deres, og deres til næste Slægt.
1d01040074	Græshoppen aad, hvad Gnaveren levned, Springeren aad, hvad Græshoppen levned, Æderen aad, hvad Springeren levned.
1d01050069	Vaagn op, I drukne, og græd; enhver, som drikker Vin, skal jamre over Most, der gik tabt for eders Mund.
1d0106007a	Thi et Folk drog op mod mit Land, vældigt og uden Tal; dets Tænder er Løvetænder, det har Kindtænder som en Løvinde.
1d01070068	Det lagde min Vinstok øde, knækked mit Figentræ, afbarked og hærgede det; dets Grene stritter hvide.
1d01080036	Klag som sørgeklædt Jomfru over sin Ungdoms Brudgom!
1d01090059	Afgrødeoffer og Drikoffer gik tabt for HERRENS Hus; Præsterne, HERRENS Tjenere sørger.
1d010a0061	Marken er ødelagt, Jorden sørger; thi Kornet er ødelagt, Mosten slog fejl og Olien hentørres.
1d010b0061	Bønder skuffes og Vingaardsmænd jamrer baade over Hveden og Byggen; thi Markens Høst gik tabt;
1d010c009d	fejl slog Vinstokken, Figentræet tørres; Granatæble-, Palme— og Æbletræ, hvert Markens Træ tørres hen. Ja, med Skam veg Glæde fra Menneskens Børn.
1d010d00a2	Sørg, I Præster, i Sæk, I Alterets Tjenere, jamrer! Gaa ind og bær Sæk i Nat, I, som tjener min Gud! Thi Afgrødeoffer og Drikoffer unddrages eders Guds Hus.
1d010e008b	Helliger en Faste, udraab festlig Samling, I Ældste, kald alle, som bor i Landet, sammen til HERREN eders Guds Hus og raab saa til HERREN!
1d010f004f	Ak, hvilken Dag! Thi nær er HERRENS Dag, den kommer som Vold fra den Vældige.
1d01100042	Saa vi ej Føden gaa tabt, vor Guds Hus tømt for Glæde og Jubel?
1d01110068	Sæden skrumper ind i den klumpede Jord; Lader er nedbrudt, Forraadshuse jævnet, thi Kornet er vissent.
1d01120070	Hvor Kvæget dog stønner! Oksernes Hjorde er skræmte, fordi de ikke har Græs; selv Smaakvægets Hjorde lider.
1d0113006a	Jeg raaber til dig, o HERRE; thi Ild har fortæret Ørkenens Græsning, og Luen afsved hvert Markens Træ;
1d0114006a	til dig skriger selv Markens Dyr, thi Bækkenes Lejer er tørre, og Ild har fortæret Ørkenens Græsning.
1d02010070	Stød i Horn paa Zion, blæs Alarm paa mit hellige Bjerg! Alle i Landet skal bæve, thi HERRENS Dag, den kommer;
1d020200c5	ja, nær er Mulms og Mørkes Dag, Skyers og Taages Dag. Et stort, et vældigt Folk er bredt som Gry over Bjerge. Dets Lige har aldrig været, skal aldrig komme herefter til fjerneste Slægters Aar.
1d0203007e	Foran det æder Ild, og bag det flammer Lue; foran det er Landet som Eden og bag det en øde Ørk; fra det slipper ingen bort.
1d02040035	At se til er de som Heste, som Hingste farer de frem;
1d02050094	det lyder som raslende Vogne, naar de hopper paa Bjergenes Tinder, som knitrende Lue, der æder Straa, som en vældig Hær, der er rustet til Strid.
1d02060032	Folkeslag skælver for dem, alle Ansigter blusser.
1d0207006a	Som Helte haster de frem, som Stridsmænd stormer de Mure; enhver gaar lige ud, de bøjer ej af fra Vejen.
1d0208008a	De trænger ikke hverandre, hver følger sin egen Sti. Trods Vaabenmagt styrter de frem uden at lade sig standse, de kaster sig over Byen,
1d02090052	stormer Muren i Løb; i Husene trænger de ind, gennem Vinduer kommer de som Tyve.
1d020a005e	Foran dem skælver Jorden, Himlen bæver; Sol og Maane sortner, Stjernerne mister deres Glans.
1d020b00b0	Foran sin Stridsmagt løfter HERREN sin Røst, thi saare stor er hans Hær, ja, hans Ords Fuldbyrder er vældig; thi stor er HERRENS Dag og saare frygtelig; hvem holder den ud?
1d020c0061	Selv nu, saa lyder det fra HERREN, vend om til mig af ganske Hjerte, med Faste og Graad og Klage!
1d020d009d	Sønderriv Hjerterne, ej eders Klæder, vend om til HERREN eders Gud! Thi naadig og barmhjertig er han, langmodig og rig paa Miskundhed, han angrer det onde.
1d020e006f	Maaske slaar han om og angrer og levner Velsignelse efter sig, Afgrødeoffer og Drikoffer til HERREN eders Gud.
1d020f003e	Stød i Horn paa Zion, helliger Faste, udraab festlig Samling,
1d021000a2	kald Folket sammen, helliger et Stævne, lad de gamle samles, kald Børnene sammen, ogsaa dem, som dier Bryst; lad Brudgom gaa ud af sit Kammer, Brud af sit Telt!
1d021100d3	Imellem Forhal og Alter skal Præsterne, HERRENS Tjenere, græde og sige: »HERRE, spar dog dit Folk! Overgiv ej din Arv til Skændsel, til Hedningers Spot! Hvi skal man sige blandt Folkene: Hvor er deres Gud?«
1d0212003f	Og HERREN blev nidkær for sit Land og fik Medynk med sit Folk.
1d021300a2	Og HERREN svarede sit Folk: Se, jeg sender eder Korn, Most og Olie, saa I kan mættes deraf; og jeg vil ikke længer gøre eder til Skændsel iblandt Hedningerne.
1d021400df	Fjenden fra Nord driver jeg langt bort fra eder og støder ham ud i et tørt og øde Land, hans Fortrop ud i Havet i Øst og hans Bagtrop i Havet i Vest, og han skal udsprede Stank og ilde Lugt; thi han udførte store Ting.
1d02150049	Frygt ikke, Jord, fryd dig, vær glad! Thi HERREN har udført store Ting.
1d02160085	Frygt ikke, I Markens Dyr! Thi Ørkenens Græsmarker grønnes, og Træerne bærer Frugt; Figentræ og Vinstok giver alt, hvad de kan.
1d021700a2	Og I, Zions Sønner, fryd eder, vær glade i HERREN eders Gud! Thi han giver eder Føde til Frelse, idet han sender eder Regn, Tidligregn og Sildigregn, som før.
1d02180051	Tærskepladserne skal fyldes med Korn, Persekummerne løbe over med Most og Olie.
1d02190080	Og jeg godtgør eder de Aar, da Græshoppen, Springeren, Æderen og Gnaveren hærgede, min store Hær, som jeg sendte imod eder.
1d021a0090	I skal spise og mættes og love HERREN eders Guds Navn, fordi han handler underfuldt med eder; og mit Folk skal i Evighed ikke blive til Skamme.
1d021b008d	Og I skal kende, at jeg er i Israels Midte, og at jeg, og ingen anden, er HERREN eders Gud; og mit Folk skal i Evighed ikke blive til Skamme.
1d021c00ac	Og det skal ske derefter, at jeg vil udgyde min Aand over alt Kød, eders Sønner og eders Døtre skal profetere, eders gamle skal drømme Drømme og eders unge skue Syner;
1d021d0045	ogsaa over Trælle og Trælkvinder vil jeg udgyde min Aand i de Dage.
1d021e004c	Og jeg lader ske Tegn paa Himmelen og paa Jorden, Blod, Ild og Røgstøtter.
1d021f005d	Solen skal vendes til Mørke og Maanen til Blod, før HERRENS store og frygtelige Dag kommer.
1d022000c0	Men enhver, som paakalder HERRENS Navn, skal frelses; thi paa Zions Bjerg og i Jerusalem skal der være Frelse, som HERREN har sagt; og til de undslupne skal hver den høre, som HERREN kalder.
1d0301004e	Thi se, i de Dage og paa den Tid, naar jeg vender Judas og Jerusalems Skæbne,
1d030200bb	samler jeg alle Hedningefolk og fører dem ned i Josafats Dal. Der vil jeg holde Rettergang med dem om mit Folk og min Arvelod Israel, som de spredte blandt Folkene; og de delte mit Land,
1d0303005b	kastede Lod om mit Folk, gav en Dreng for en Skøge og solgte en Pige for Vin, som de drak.
1d030400c7	Og desuden, hvad vil I mig, Tyrus og Zidon og alle Filisterlands Kredse? Er der noget, I vil gengælde mig, eller vil I gøre mig noget? Hastigt og brat lader jeg Gengældelse komme over eders Hoved,
1d0305004e	I, som tog mit Sølv og Guld, bortførte mine kostbareste Ting til eders Borge
1d0306006b	og solgte Judæerne og Jerusalems Borgere til Grækerne, for at de skulde føres langt bort fra deres Hjem.
1d03070064	Se, jeg vækker dem op fra det Sted, I solgte dem til, og lader Gengældelse komme over eders Hoved.
1d0308008d	Jeg sælger eders Sønner og Døtre til Judæerne, og de skal sælge dem til Sabæerne, Folket i det fjerne Land, saa sandt HERREN har talet.
1d0309006c	Raab det ud blandt Folkene, helliger en Krig, væk Heltene op! Lad alle vaabenføre Mænd komme og drage op!
1d030a006c	Smed eders Plovjern om til Sværd, eders Vingaardsknive til Spyd! Svæklingen skal sige: »Jeg er en Helt!«
1d030b005b	Skynd eder og kom, alle Hedningefolk viden om, og saml eder! Før dine Helte derned, HERRE!
1d030c007a	Hedningefolkene skal vækkes op og drage til Josafats Dal; thi der vil jeg sidde til Doms over alle Hedningefolk viden om.
1d030d0082	Sving Seglen, thi Høsten er moden; kom og stamp, thi Persekummen er fuld! Persekarrene løber over, thi stor er Folkenes Ondskab.
1d030e004b	Skarer paa Skarer i Opgørets Dal! Thi nær er HERRENS Dag i Opgørets Dal.
1d030f0037	Sol og Maane sortner, og Stjernerne mister deres Glans.
