2800000006	iMatiu
33020a0054	a di nu ema kwogwudu mbi iKrestu, o li ikye mgbi ali mfye bɛyi mfye ogbɛ-gbɛ duu.
33020b00bc	A di kyɛ ema ikyɛ mbon, ngwi li odulu ema tɔ mi mfye mgbi ali ibwubwe mgbi atta. Ikyɛ okyɛ-kyɛ nɛ a kyɛ mi abɔ mgbi inggisɛ owamyɛ ba kpaa, li ikyɛ ngwi iKrestu abuon kyɛ ema.
33020c00b2	Bana ngwi a kyɔ ema iBatisima ma, li ungwonyi yi okye ema ndzi yi iKrestu. A di kyile ema mi ikwu ikyekyɛ ema noyɛyɛ mi mfye mgbi Imgbasho, Ongwu nkyile iKrestu mi ikwu nani.
33020d00c8	Mi onɔ ngwi ema li ikwukwɔ mi ali ibwubwe mgbi ema bɛyi mi ikyɛ okyɛ-kyɛ ba mgbi ali ibwubwe mgbi atta nɛ kpaa, Imgbasho nu ema oshishe mbi iKrestu. O kye ali ibwubwe mgbi ema duu ta ema mkpaa,
33020e0091	Imgbasho kyi ngwɔdɔ mkpa mgbi ungwɔ obube bɛyi ola mgbi ungwɔ obube ama ndɔto eyi ikye duu, o kyi gbelu ma klɛklɛ, kyi gbokwo mi ekwatsi.
33020f0084	Li imbe na iKrestu ngha ali mfye duu. Onghaangha mgban mi ekwatsi na, o nu ɛsɛ duu di ayiwi mgbi ama mi ododa dafi emi obawi mani.
33021000aa	Inghawanɛ, ka nu inggisɛ onyi kpaa wo ema ola mi ungwogye naadi ungwɔ owawa mgbi ema naadi mi odzɛ oga mgbi odzimgbasho, oga mgbi ofyia ofufɛ hona egbe otonyidɔ ba.
3302110058	Ungwɔ ntonɛ li ambɛ mgbi ungwɔ ama nkawa ba; nghaduu, ingblimɔ mgban ma li iKrestu.
33021200ef	Ka nu inggisɛ onyi nli yilewo esɛ mgbi atsika dile sunu engyesɔ ndɛlu ema umba na ba. Bana inggisɛ ntona li kye mfye mgbi ama byikɛ mi inɛ odiidi, dile kyile ewo esho mi itɔdzɛ ba ikyegbɛɛ itukwu ibwubwe mgbi ama le kye ma teyi.
33021300c8	A dzɛ yi okwokyiikwokyi yi iKrestu nli ikye mgbi ewo duu na wuba. IKrestu li nu ikpewo mfye, o di li gbe imbe okwokyiikwokyi yi mmbwewo kwokyi mbonyi, di li she dafi Imgbasho mina gbɛɛ no she mani.
33021400ae	Ema teyi kwulu yi iKrestu a di dulu ema tɔ mi ola ongwi ɛsɛ nɛni, kyɔsinɛse ngwi ema le kyɔ dafi ema ka li mgbi ɛsɛ nɛ ngha? Kyɔsinɛ ngwi ema kale ngyo ola ntona:
3302150056	“Ka kye abɔ byi ungwɔnɛ ba! Ka mbadi ungwɔ na ba! Ka kye abɔ gbo oka na ba!”?
3302160074	Ungwɔ ntonɛ duu dzɛ yi oyabɔ ba, bana a ka wa nyɛ, ikyekyɛ a dzɛ mi ola bɛyi otsootso mgbi inggisɛ owamyɛ.
33021700f0	Ongyo itɔ ola ntonɛ dzɛ dafi li okyungwɔ nli ayin mani. A li dzɛ dafi a nu abu nghao dzɛ yi okpitukwu mbi Imgbasho di dzɛ yi ewo oyile esɛ saan di dzɛ yi obwa ewo fyii. Nghaduu a yama dzɛ yi mfye onyonyi mi ikye imina mgbi abu ba.
3303010083	Dafi a teyi kyile ema yi iKrestu nɛ, kye itukwu mgbi ema byi ungwɔ emi esho, imbe ngwi iKrestu sɔdzɛ abugye mgbi Imgbasho nani.
330302004d	Kye itukwu mgbi ema byi ungwɔ emi esho na, no ka li ungwɔ emi ɛsɛ nɛ ba.
330303004f	Lubana ema kwulu, a di kye oshishe mgbi ema da onɛnɛ yi iKrestu mbi Imgbasho.
3303040068	Onɔ ngwi iKrestu, nli oshishe mgbi ema na, wa mblegba tɔ ta, ema kpaa ka mblegba tɔ yan mi okwɔkwɔ.
33030500b8	Ikyenghanɛ, kyi ngwɔlu alungwɔ mgbi atta ongwi ɛsɛ ndzɛ mbi ema duu: ungwɔ dafi, amah idza yi okpɛkpɛ yi imina mgbi amah yi imina ibwubwe yi nggwɔ ngwi li osunu adagyɛ nani.
3303060031	Ikye ungwɔ ntonɛ, itingga mgbi Imgbasho kyɛma.
330307004e	Ema tsekise kyikyɛ mi itɔ ofɛ ntonɛni, mi oshishe nose ngwi ema kyɔ mani.
3303080073	Nghaduu onɛnɛ li kyɛmɛ ema ka nya okyungwɔ ntonɛni: itingga, ibe, anyi, idzɛ, bɛyi ito mi ikpondu mgbi ema.
330309005e	Ka kpagya ewema wo ba na, bana ema tɔ mi odzɛɛdzɛ mgbi ema ogbugbe bɛyi okyɔɔkyɔ mgban
33030a0050	di kyɔ ali ofufɛ, ngwi a yɛ tan mi ozoyeye mi odzɛɛdzɛ mgbi Imgbasho nani.
33030b00e2	Ikyenghanɛ, ogbua-gbua dzɛma mbi inggisɛ iGriki naadi inggisɛ iJuda ba, ama nkyiikyɛ naadi ama nkyiikyɛ ba, ama nkwiinɛ ba, inbwanaka, ofyɛɛ, hona ama nto myɛɛ, kpaa li iKrestu wuuta aali, iKrestu di dzɛ mboma duu.
33030c00ae	Ema li inggisɛ ama Imgbasho sadu, le osaan di kpan itukwu, ikyenghanɛ, ema kye elela odiidi, mse okyɔɔkyɔ, ewo oyile esɛ, okyɔ dumɔɔ bɛyi itukwu oshiishi wo ewo na.
33030d007f	Shitukwu yi ewema di dzɛ ewema ta alonɔ ngwi ema dzɛ yi okakewo yi ewema. Dzɛ ewema ta dafi Otsɛ tsekise dzɛ ema ta mani.
33030e0058	Ungwɔ ntonɛ duu kye okpitukwu wele. Bana li ongwu kyi kwulu alungwɔ duu wokɛ mbonyi.
33030f0087	Ni iyu mgbi iKrestu gyutɔ mi itukwu mgbi ema, lubana ngwi ema li alewo onyi, ngwi Imgbasho di kwu ema ela kaka iyu nɛni. Di gbede na.
33031000b8	Ni elodzɛ mgbi iKrestu gbɛlu ema sɔ ngwi ema le tso diyɛ kwu ewema ɛwɛ wo yi ali ozoyeye duu, dile shashi ibɔ bɛyi ashi ngwi onodzi nu yi mgbede mi itukwu mgbi ema nu Imgbasho.
3303110099	Alungwɔ ngwi ema kyɔ duu, no li mi odzɛ ogbɔɔgbɔ naadi okyɔɔkyɔ kpaa, kyɔ ma duu mi iyi mgbi Otsɛ iYesu, ota Imgbasho Otseyi angba mi ikpewon.
3303120059	Engyaa, sunu obeema na, ikyesinɛ li ungwɔ ngbuo ngwi ema ka kyɔ dafi emi iKrestu aali.
3303130034	Engyulɔ, di ewema kpa itukwu na, ka nunɔ wo ma ba.
3303140049	Ɛngbɛ, fwo ama omba ema mi alungwɔ duu, lubana ungwɔnɛ li kpa Otsɛ.
330315004a	Etsɛngwɛ, ka nu engwɛ ema itukwu owulu-wulu ba, di a wa yɛɛ tsantsan.
33031600f0	Ema ofyɛɛ, fwadɔ engyukwo mgbi ema emi ɛsɛ nɛ mi alungwɔ duu, di kyɔ mi ele, no ka li mi onɔ ngwi inɛ mgbi ama byi mbi ema ta ba ikyegbɛɛ ni ema tu mgbede mboma kpaa no li mi itukwu otsitsi bɛyi osusunu mi ikye mgbi Otsɛ mani.
3303170074	Alungwɔ ngwi ema kyɔ duu, kyɔ mi itukwu onyi, dafi ema le kyidɔ mgbi Otsɛ mani, no ka li ikye mgbi inggisɛ ba,
330318005c	lubana ema ye ema kawa gyokwudɛ tu umba mbi Otsɛ. Li Otsɛ iKrestu ngwi ema le kyɔn idɔ.
3303190073	Ali inggisɛ nkyungwɔ obube a ka kpan mkpa mi obube mgban, ikyena Imgbasho li fwo ali inggisɛ duu ikwɔ ungwonyi.
330401007d	Emi otsungwudɛ, kyungwɔ nli ayin dile yɛyɛ ma yi ofyɛɛ mgbi ema, ikyesinɛ ema kpaa ye ema dzɛ yi Otsungwudɛ mi esho.
3304020027	Kwasisa mi ibɔ obɔɔbɔ, di gbede na.
330403009b	Di bibɔ mi ikye mgbi eyi kpaa gbɛɛ, Imgbasho ki kwulu ofɛ mi ikye esɔ mgbi eyi, adzi ni eyi ki gbɔ iba mgbi iKrestu, ongwi a ta ani itse ikyon nɛni.
330404003a	Bibɔ na gbɛɛ ni ani gbɔn saan, dafi ani ki gbɔn mani.
330405007d	Ema kwiinɛ mi ofɛ ngwi ema le kyungwɔ yi emi ɛsɛ, alonɔ ngwi ofɛ nu ema okye iKrestu tso yɔ, kyɔ oyabɔ yan saan na.
3304060075	Ni odzɛ mgbi ema ogbɔɔgbɔ alonɔ tishi di fyumfya, ema di ye dafi ngwi ema ka nu ali inggisɛ duu uka osuse mani.
3304070090	ITacikɔ ka nya ema ali odzɛ mgbi ani duu. O li ongwunani itukwu-tukwu, inggisɛ ogbeesɔ mi otsitsi, di li ongbidɔ ungwonyi yi ani mbi Otsɛ.
330408005e	Ani le dɔn esɔ mbi ema ikyegbɛɛ no ka kwu ema ɛwɛ wo di nya ema dafi eyi le kiyayi mani.
3304090085	O kyɛma yi Onesimɔ, eyi noyɛyɛ o di li ongwuneyi itukwu-tukwu, o li onyi mbi ema. A ka nya ema alungwɔ nle kyɔ mi imbe nɛ duu.
33040a00bb	Aristakɔ, nwodzɛ obawi yi ani nɛ kpaa dɛsɔ angba mgban, iMaki kpaa kyɔ ngha, o li ongwɔtsɔ iBanabasi. (Ema teyi fwo dafi ani nya ema gbɛɛ o kyɛma mani. Ki non ba yɔ, gban na.)
33040b00a7	IYesu, ngwu a li kwun di iJɔstusu, na kpaa dɛsɔ angba. Ama ntonɛ li emi iJuda ama nwoto yi ani le kyidɔ mgbi esutɔ mgbi Imgbasho, a di dzɛ yi ani oyabɔ kpakpa.
33040c0109	Epafra, ongwu nli onyi mi idzidzɛ mgbi ema di li ongwongbɛ idɔ mgbi iYesu iKrestu na kpaa, dɛsɔ angba kwuba. O li le bibɔ kpɔklɔɔ alonɔ mi ikye mgbi ema, ikyegbɛɛ ni ema kwudzɛ kpɔklɔɔ mi ali oweka mgbi Imgbasho, di myɛ di dzɛ yi eka ogbe byiibyi.
33040d006f	Ani kyɔ obwɛndɛ ikyon gbɛɛ o le kwunewo idɔ mi ikye mgbi ema bɛyi ama nto mi iLaodisia bɛyi iHierapoli.
33040e0050	Okeyi itukwu-tukwu iLuku, inggisɛ obwotse, bɛyi iDema kpaa dɛsɔ angba kwuba.
33040f0073	Kye angba mgbi ani nu emi engwunani mi iLaodisia, bɛyi ongyaa iNyimfa bɛyi okwakye mgbi emi iKrestu mi udan nani.
33041000a0	Ni a gbɔ afɛ nɛ nya ema ngyɛ yɔ, fya nu ma di gbɔn mi kwakye mgbi emi iKrestu ongwi iLaodisia nani, ema kpaa di gbɔ ongwi ani lɔ mbi emi iLaodisia nani.
3304110042	Nya Acipɔ no gbekabyi ongyɛlu idɔ ngwi Otsɛ kye won abɔ nani.
3304120074	Ani, iPol, lɔ angba nɛ mi abɔ mgbi ani abuen. Wɛ dafi ani wodzɛ obawi mani. Elela mgbi Imgbasho no dzɛ yi ema.
3400000011	1 Emi iTesalonika
34010100ad	IPol yi iSaila bɛyi iTimoti lɔ Afɛ nɛ, Le kɛ mbi okwakye emi iKrestu mi iTesalonika, emidi Otsɛ Imgbasho bɛyi Otsɛ iYesu iKrestu: Ni elela bɛyi iyu dzɛ yi ema duu.
3401020051	Eyi li ta Imgbasho angba mi ikye ema alonɔ duu, di kwu iyi ema mi ibɔ mgbi eyi.
34010300dc	Eyi li le wɛ alonɔ mi inai Otseyi Imgbasho odzɛ idɔ ntɔ mi oyɛyɛ onuunu mgbi ema yi ongwi nkyɛ mi okpitukwu kpaa nani, bɛyi itukwu oshiishi mgbi ema ngwi ema tu mi eka ogbe byiibyi mbi Otseyi iYesu iKrestu nani.
3401040057	Emi okani osuse, ema kpa Imgbasho itukwu, eyi di ye o dulu ema gbɛɛ ni ema li emidan,
34010500de	ikyekyɛ Esɔ Osuse mgbi eyi ba mbi ema li mi elodzɛ ayayi ta ba, kpaa li mi mfye mgbi Imgbasho bɛyi Onodzi Osaan bɛyi okyata-kyata ongwi itukwu. Ema ye itɔ inggisɛ ngwu eyi dzɛ nose, bɛyi abɔ ngwi eyi ya ema mani.
340106008b	Ema kye afɔ eyi bɛyi Otsɛ iYesu; dafi ema nose le gyadzɛ kpakpa nɛ kpaa, ema gbɛ esɔ nɛ yi atsa ongwi Onodzi Osaan kye nu ema mani.
3401070046	Ma ema di yɛɛ ambɛ mbi ama onoyɛyɛ mi iMasidonia bɛyi Acaya duu.
34010800dd	Esɔ mgbi Imgbasho tɔ mbi ema gbɔfwɛ kpaa i tasɛ li mi iMasidonia yi Acaya ta ba, kpaa oyɛyɛ onuunu mgbi ema mbi Imgbasho yɛɛ ungwɔ ngwi a yen kpatsɛ ali imbe duu. Nghawanɛ eyi mina ogbɔdzɛ onyonyi mi efu ba,
34010900a3	lubana ama abuoma gbɔ itɔ ogbɛ-gbɛ ngwi ema gbɛ eyi mani. A gbɔ dafi ema kyata ba mbi Imgbasho dzata emi angwula ikye osunu Imgbasho oshishe yi otsitsi mani.
34010a0079	Ema di fɛ Ongwan ongwu nkyɛ mi adopo, ongwu o kyilen mi ikwu; nli iYesu, ongwu nnagbɛ eyi mi itingga nkyɛ le ba nani.
3402010044	Emi ongwunani, ema ye gbɛɛ okɛɛkɛ mgbi eyi mbi ema wɛɛsɛ ba.
34020200b3	Eyi teyi gyadzɛ di gbɛ ito mi iFyilipi, dafi ema ye nani, nghaduu yi abɔ oyaaya mgbi Imgbasho mgbi eyi yɔ, ngwi a fwa eyi kpakpa nɛ kpaa, eyi yɛyikpa onya ema Esɔ Osuse ba.
3402030074	Lubana ekyɛ mgbi eyi otooto yi ema kyɛ mi ɛndɛ hona oweka obube naadi eyi le fya okyɔ ema ikwangha ewo kpaa ba.
34020400b7	Nghaduu eyi le gbɔdzɛ dafi ama ngwu Imgbasho sadu ma di kye Esɔ Osuse wo ma abɔ. Eyi le fya okyungwɔ okpa inggisɛ owamyɛ ba kpaa li Imgbasho, ongwu nli di itukwu mgbi eyi nani.
3402050057	Ema ye, eyi le fyumfya ondu yi ema ba. Imgbasho li obwɛndɛ gbɛɛ eyi kyɔ nggwɔ ba.
3402060090	Eyi le mina otsɛɛtsɛ mbi inggisɛ ba, mbi ema ba naadi inggisɛ oka mbeka kpaa ba. Dafi ama ogbikye iKrestu nɛ, eyi kika yɛɛ okye mbi ema,
3402070064	nghaduu eyi kwu blii mi idzidzɛ ema, dafi onɔngwɛ li kyinɛbyi ɛngbɛ mgban ama oshilɛlɛ mani.
34020800aa	Ema kpa eyi itukwu kpakpa, nghanɛ eyi dzɛ yi atsa okye ghalu Esɔ Osuse mgbi Imgbasho yi oshishe mgbi eyi kpaa yi ema, ikyesinɛ ema yɛɛ abugye mgbi eyi itukwu-tukwu.
34020900cf	Emi ongwuneyi, otsitsi ema wɛ idɔ bɛyi adzɛ mgbi eyi mbi ema wulo? Eyi kyidɔ otu yi onɔ ikyegbɛɛ ni eyi ka yɛɛ okye mbi inggisɛ onyi ba mi onɔ ngwi eyi gbɔ Esɔ Osuse mgbi Imgbasho nya ema mani.
34020a00a4	Ema li obwɛndɛ, di li ngha Imgbasho kpaa li obwɛndɛ, mi ofɛ ngwi eyi le saan, le nyaan, di dzɛ yi idza ewo ba mi onɔ ngwi eyi dzɛ yi ema ama onoyɛyɛ mani.
34020b0060	Lubana ema ye dafi eyi kyɔ yi ali inggisɛ mgbi ema dafi otsɔngwɛ li kyɔ yi emi ongwan mani.
34020c00a2	Eyi le kwu ema ɛwɛ wo, le gyila ema di wɛ ema odzɛ gbɛɛ ni ema dzɛ mi oshishe nmɛ mbi Imgbasho, ongwu nkwu ema ela kaka esutɔ bɛyi okwɔkwɔ mgban nani.
34020d00e9	Ma eyi abueyi kpaa le kiyayi ota Imgbasho angba ikyesinɛ, onɔ ngwi ema fwo elodzimgbasho mbi eyi ma, ema gbela yan dafi elodzɛ nkyɛ mbi inggisɛ ba, kpaa mbi Imgbasho abuon, lubana li Imgbasho na le kyidɔ mbi ama nnoyɛyɛ aali.
34020e00d6	Emi ongwuneyi, ema yɛɛ ama ogbama okwakye emi iKrestu mgbi Imgbasho mi iJudia, ama nto mbi iYesu iKrestu mani. Ema gyadzɛ mi abɔ emidi ema ungwonyi dafi okwakye emi iKrestu ntona gyadzɛ mi abɔ emi iJuda nani.
34020f00b5	Emi iJuda ntona ngwɔ Otsɛ iYesu bɛyi ama ogbɛɛsɛ mgbi Imgbasho, diyɛ lɔ eyi onya tasɛ mi ɛsɛ mgbi ama. A kyungwɔ okpa Imgbasho ba, a di dzɛ yi anyi yi ali inggisɛ duu.
34021000d5	A di fya otukwu eyi ofɛ ogbɔ Esɔ Osuse mgbi owatɔ-watɔ nya Udzengye ikye nu ma ka watɔ mi itingga mgbi Imgbasho ba. Mi okyɔ nghanɛ, ali ibwubwe mgbi ama kɛ byulu. Onɛnɛ ikamba mgbi Imgbasho dɔ ma ikye.
34021100b2	Emi ongwunani, onɔ ngwi a wa gbua eyi yi ema mi ongwonɔ gwee ma, (li mi ewo ta, li mi ɛwɛ otsɛɛtsɛ ba), mi ofyaafya mgbi eyi, eyi fya mi ali ofɛ duu gbɛɛ ni eyi di ema.
3402120065	Lubana eyi mina oba mbi ema; onghaangha duu yɔ, ani iPol, fya diyɛ fya, kpaa iSatan nu eyi ofɛ ba.
3402130099	Lubana li ema li ɛwɛ ogbe byiibyi mgbi eyi, atsa mgbi eyi, bɛyi okpapyi ngwi eyi kawa kwɔ mi inɛ Otsɛ mgbi eyi iYesu mi onɔ ngwi o kawa ba ma baa?
3402140035	Mi otsitsi yɔ, ema li okwɔkwɔ bɛyi atsa mgbi eyi.
3403010062	Ta ngwi eyi yagba okye afɔ twɛsɛ mi ele gbɛ wuba nɛ, eyi gbela abueyi tila tokɛ Atɛn yueyi.
34030200c4	Eyi dɔ iTimoti ongwuneyi esɔ mbi ema, o di li inggisɛ idɔ mgbi Imgbasho ogbɔfwɛ Esɔ Osuse mgbi iKrestu. Eyi dɔn esɔ no ka fyi ema mfyitukwu di kwu ema ɛwɛ wo mi oyɛyɛ onuunu mgbi ema,
3403030082	ikyegbɛɛ ni itukwu ka sha inggisɛ onyi mgbi ema anyɛ ikye imbadi ntonɛ ba. Ema ye saan gbɛɛ okakewo ntona teyi to ikye eyi.
3403040092	Odzimɔ, onɔ ngwi eyi to yi ema ma, eyi li le nya ema alonɔ gbɛɛ a kawa nu eyi isɔ, di li ngha yɛyɛ ngwi i wa dzɛ, dafi ema ye saan nɛni.
34030500a4	Ngwi ani yagba fwo mbi ema wuba nɛ, ani dɔ iTimoti esɔ oka kya di mi oyɛyɛ onuunu mgbi ema. Ani mio gbɛɛ kaba iSatan wa mbadi ema ta adzɛ mgbi eyi ka labɔ.
3403060103	Nghanɛ iTimoti kwa yɛ mbi ema ba mbi eyi onɛnɛ aani, o di ba yi eyi elodzɛ osuse mgbi oyɛyɛ onuunu bɛyi okpitukwu mgbi ema. O nya eyi gbɛɛ alonɔ duu ema li le tsɛwɛ osuse mi ikye mgbi eyi dile mina odi eyi, yɛyɛ dafi eyi kpa mina odi ema nɛni.
3403070082	Inghawanɛ, emi ongwunani, mi okakewo mgbi eyi bɛyi isɔ ngwi a nu eyi duu ema nu eyi abɔ otsigɛgɛ mi oyɛyɛ onuunu mgbi ema.
3403080055	Lubana onɛnɛ itukwu bɛ eyi esɛ dafi ema kwudzɛ kpɔklɔɔ mbi Otsɛ iYesu nɛni.
340309007e	Eyi ka ta Imgbasho angba mi ikye mgbi ema sinɛse ngwi ka gyɔ okpan mkpa mi atsa ngwi eyi dzɛyan mi inain ikye mgbi ema nɛ?
34030a0086	Otu yi onɔ eyi li bibɔ mi itukwu mgbi eyi onyi gbɛɛ eyi ki yɛ di ema ikye ombwo ema ungwɔ ama nkwoba mi oyɛyɛ onuunu mgbi ema.
34030b005b	Onɛnɛ ni Otseyi Imgbasho abuon bɛyi Otsɛ mgbi eyi iYesu kyi mɛlu eyi ofɛ oba mbi ema.
34030c0088	Otsɛ iYesu ki nu okpitukwu mgbi ema mbwo le fɛ ikye ewema yi inggisɛ angbeka duu, yɛyɛ dafi okpitukwu mgbi eyi dzɛ ikye ema nɛni.
34030d00bd	O ki fyi ema mfyitukwu ikyegbɛɛ nu ma ka tu ungwɔ okye ondu kwo ema ewo ba, ni ema dile saan inai Otseyi Imgbasho yi onɔ ngwi Otsɛ mgbi eyi iYesu wa yɛ ba yi ama osaan mgban duu mani.
34040100de	Ongwikpa yɔ, emi ongwunani, eyi teyi wɛ ema odzɛ mi itɔ oshishe ngwi ema ka dzɛ se ka kpa Imgbasho mani, dafi ema le kyɔ nani. Onɛnɛ eyi le nya ema dile tu ema wo mbi Otsɛ iYesu gbɛɛ ni ema kiyayi ole kyɔ ngha.
3404020040	Lubana ema ye ola ngwi eyi wo ema mi mfye mgbi Otsɛ iYesu mani.
3404030050	Li owitukwu mgbi Imgbasho gbɛɛ ni ema le saan, ni ema nya yi amah okyɔɔkyɔ;
3404040058	gbɛɛ ni ali inggisɛ mgbi ema non kpayi obwa ewon fyii mi ofɛ osaan di dzɛ yi mmwɛ,
3404050056	no ka li mi ofɛ mgbi imina amah dafi ama nli emi iKrestu ba, di ye Imgbasho ba na ba.
34040600d5	Ma mi itɔdzɛ nɛ, inggisɛ onyi kpaa no ka kyɔ ongwunɔn obube naadi kyɔ ongwunɔn ogye ba. Otsɛ Imgbasho ka kwo ali inggisɛ duu adɔ mi itɔ ali ibwubwe ntonɛni, dafi eyi teyi nya ema di kwo ema adɔ mani.
340407005d	Bana Imgbasho kwu eyi ela gbɛɛ ni eyi wa le kpɛkpɛ ba, kpaa ni eyi dzɛ mi oshishe osaan.
3404080084	Ikyenghanɛ, inggisɛ nfwa otsootso nɛ, fwa ama ngwu tso ma ma ta ba kpaa li Imgbasho abuon, ongwu nnu ema Onodzi mgban Osaan nani.
34040900b2	Mi odzɛ mgbi okpitukwu mgbi engwuneka yɔ, eyi di oyabɔ olɔ afɛ dɛsɔ nu ema mi ele ba, lubana ema abuema Imgbasho teyi tso ema dafi ema ka dzɛ yi okpitukwu mbi ewema mani.
34040a00a6	Ma mi otsitsi yɔ, ema teyi dzɛ yi okpitukwu mbi ama okyɛdɔ iYesu kpatsɛ ɛsɛ iMasidonia duu. Nghaduu eyi kale gbɔ yi ema emi ongwuneyi, kiyayi mi okpitukwu na.
34040b0090	Fya mi ofyaafya mgbi ema odzɛ mi oshishe oshilididi, kye eka byi ungwɔ mgbi ema di kyidɔ mi abɔ mgbi ema, yɛyɛ dafi eyi teyi nya ema mani,
34040c006b	ikye ni odzɛɛdzɛ mgbi ema nu etasɛ nu ema mmwɛ, adzi ni ema ka kye inɛ byi mbi inggisɛ onyi ba mani.
34040d00a6	Emi ongwunani, eyi mina gbɛɛ ni ema ka li inzunubu mi odzɛ inggisɛ ama nteyi kwulu hona wulu itukwu dafi inggisɛ angbeka, ama ndzɛ yi eka ogbe byiibyi ba na ba.
34040e0087	Eyi noyɛyɛ gbɛɛ iYesu kwulu diyɛ kyɛɛ di li ngha ngwi eyi noyɛyɛ gbɛɛ Imgbasho ka yile ama nnuna mi ifu iKrestu ba yan aali.
34040f00ae	Mi elodzɛ mgbi Otsɛ abuon ma, eyi nya ema gbɛɛ eyi ama nka to oshishe ngwu a dzita eyi nghataa ba oyɛɛyɛ mgbi Otsɛ iYesu ma, ka yagba oteyi ama nteyi nuna mbon na ba.
34041000c0	Lubana Otsɛ iYesu abuon ka kyɛ adopo ba esɛ, yi ola owoowo mi ela okwukwo, yi ela mgbi ongbodzi ongyesɔ bɛyi agba ofoofo mgbi Imgbasho, man ama nkwulu mi ifu iKrestu ka teyi kyato ababɔ.
34041100b3	Ta eyi ama nka to oshishe ngwu a di dzita eyi to ɛsɛ nɛ, a kawa gbe eyi ka kwakye yi ama mi akpa oka tu Otsɛ mi awo. Ma di li ngha ngwi eyi ka dzɛ yi Otsɛ iYesu gyegwu aali.
3404120036	Inghawanɛ le kwu ewema ɛwɛ wo yi elodzɛ ntonɛ na.
3405010066	Nghanɛ, emi ongwunani, mi odzɛ onɔ yi egbe oyɛɛyɛ yɔ, eyi di oyabɔ olungwɔ nya ema mi ele ba,
3405020059	lubana ema ye saan gbɛɛ oyɛɛyɛ mgbi Otsɛ iYesu kale bwabwa dafi emumyi mi otu mani.
34050300a4	Onɔ ngwi inggisɛ kale gbɔgbɛɛ ama dzɛ mi iyu yi omyɛɛ-myɛɛ mani, odzili-dzili ka ba mboma bwabwa, dafi imba li kwu ongyaa ifu mani. Ta a ka watɔ gbɛ ba.
340504005d	Nghaduu, emi ongwunani, ngwi ema to mi iyifu ba nɛ, egbe na ka tu ema bwabwa dafi emumyi ba.
340505004e	Ema duu li emi ongwɛ osa di li kyikyɛ mi osa. Eyi li mgbi otu hona iyifu ba.
340506004a	Nghanɛ, ni eyi kwasisa di kwu blii, ni eyi ka nuna dafi angbeka ntona ba.
3405070045	Lubana ama ngwu nuna, nuna mi otu, ama ndi fyɛbyɛ, fyɛbyɛ mi otu.
34050800b0	Kpaa dafi eyi li emi ongwɛ osa nɛ, ni eyi bwa eweyi fyii di kye oyɛyɛ onuunu yi okpitukwu wo dafi abiika, odi kye eka ogbe byiibyi mgbi owatɔ-watɔ dafi angwikye ika mani.
3405090081	Lubana Imgbasho dulu eyi gbɛɛ ni eyi gyadzɛ mi itingga mgban ba, kpaa ni eyi tu owatɔ-watɔ mbi Otsɛ mgbi eyi iYesu iKrestu.
34050a0083	O kwulu mi ikye mgbi eyi ikyegbɛɛ, kini eyi dzɛ oshishe naadi kwulu kpaa, mi onɔ oyɛɛyɛ mgban ma, ni eyi dzɛ oshishe biyan.
34050b005c	Inghawanɛ, kwu ewema ɛwɛ wo di fyi eka mfye itukwu, yɛyɛ dafi ema tsekise le kyɔ nani.
34050c00a0	Emi ongwuneyi, onɛnɛ eyi le nya ema gbɛɛ ni ema kye mmwɛ nu ama nkyidɔ kpɔklɔɔ mi idzidzɛ ema, ama nteyi ema mbi Otsɛ iYesu di li wɛ ema odzɛ mani.
34050d0054	Kye mmwɛ onghaangha nu ma mi okpitukwu mi ikye idɔ mgbi ama. Dzɛ mi iyu yi ewema.
34050e0097	Emi ongwuneyi, eyi dile nya ema gbɛɛ ni ema kwo emi okwulo adɔ, kwu ama nli wo imio ɛwɛ wo, ya ama oshɛshɛ abɔ di shitukwu yi ali inggisɛ duu.
34050f0070	Di gbɛɛ inggisɛ onyi kpaa kpumkpa alobube mi alobube ba, kpaa alonɔ kyɔ osuse yi ewema yi ali inggisɛ duu.
3405100014	Dzɛ yi atsa alonɔ;
3405110011	bibɔ alonɔ duu,
340512006a	Ta Imgbasho angba mi alungwɔ nkyɔ duu, lubana li oweka mgbi Imgbasho mi ikye ema mbi iYesu iKrestu aani.
3405130020	Ka kye myunu ola mgbi Onodzi ba;
3405140030	ka kwu elodzɛ oyegbɔ mgbi Imgbasho shanyɛ ba.
3405150028	Mbadi alungwɔ duu. Gbela yi osuse mani.
340516001e	Dzɛ enggengga yi alobube duu.
34051700c9	N bibɔ gbɛɛ ni Imgbasho abuon, ongwu nli nu iyu na, kye ema dzɛ nyaan. Ni onodzi mgbi ema olɔlɔ yi oshishe bɛyi ewo duu dzɛ yi idza ba, mi onɔ oyɛɛyɛ mgbi Otsɛ mgbi eyi iYesu iKrestu mani.
3405180040	Imgbasho nkwu ema ela na li wɛndɛ ba, o dika kyɔ ngha yɛyɛ.
340519001d	Engwunɛn, bibɔ ikye eyi na.
34051a0038	Ta ama onoyɛyɛ angba di tsɛkwulu eka mi okpitukwu na.
34051b005f	Mi iyi mgbi Otsɛ iYesu, ani le tɛkyɛ nu ema gbɛɛ ni a gbɔ afɛ nɛ nya ama onoyɛyɛ duu.
